firm_id,year,patents,rd_spending,employees,firm_age,tech_sector,public_funding,international
8,2021,46,9.34,8.0,15.9,1,1,0
8,2022,3,9.56,3.8,16.9,1,1,0
9,2018,0,4.99,28.8,37.5,0,0,1
9,2019,3,4.86,28.2,38.5,0,0,1
9,2020,0,4.63,28.2,39.5,0,0,1
9,2021,3,4.88,29.6,40.5,0,0,1
9,2022,3,5.02,30.9,41.5,0,0,1
10,2018,21,14.0,9.5,36.8,0,0,1
10,2019,26,14.96,10.1,37.8,0,0,1
10,2020,4,14.51,9.6,38.8,0,0,1
10,2021,37,14.74,10.6,39.8,0,0,1
10,2022,0,14.97,8.4,40.8,0,0,1
11,2018,2,1.39,11.9,14.0,1,0,0
11,2019,0,1.59,11.9,15.0,1,0,0
11,2020,7,1.71,11.9,16.0,1,0,0
11,2021,6,1.56,9.3,17.0,1,0,0
11,2022,4,2.32,10.0,18.0,1,0,0
12,2018,3,3.58,20.4,12.1,0,0,1
12,2019,2,3.67,18.0,13.1,0,0,1
12,2020,11,3.9,22.5,14.1,0,0,1
12,2021,2,3.48,20.1,15.1,0,0,1
12,2022,8,3.72,20.5,16.1,0,0,1
13,2018,2,2.62,17.9,8.5,0,1,0
13,2019,25,2.43,16.8,9.5,0,1,0
13,2020,8,2.5,17.9,10.5,0,1,0
13,2021,15,2.37,19.1,11.5,0,1,0
13,2022,1,2.07,19.8,12.5,0,1,0
14,2018,0,1.1,7.7,46.0,0,0,1
14,2019,1,1.53,8.0,47.0,0,0,1
14,2020,0,1.01,7.0,48.0,0,0,1
14,2021,0,1.07,8.2,49.0,0,0,1
14,2022,2,1.21,9.7,50.0,0,0,1
15,2018,0,3.81,23.6,15.5,1,0,1
15,2019,1,4.71,23.8,16.5,1,0,1
15,2020,1,4.26,23.0,17.5,1,0,1
15,2021,0,4.68,20.3,18.5,1,0,1
15,2022,4,3.97,21.0,19.5,1,0,1
16,2018,21,4.61,40.2,20.5,1,0,0
16,2019,10,4.3,39.5,21.5,1,0,0
16,2020,2,4.23,40.2,22.5,1,0,0
16,2021,0,4.14,42.0,23.5,1,0,0
16,2022,0,3.99,40.6,24.5,1,0,0
17,2018,1,15.4,11.0,17.6,0,0,0
17,2019,3,15.08,9.3,18.6,0,0,0
17,2020,2,14.45,7.9,19.6,0,0,0
17,2021,0,14.71,9.0,20.6,0,0,0
17,2022,0,14.98,7.9,21.6,0,0,0
18,2018,5,7.52,51.3,23.6,1,0,0
18,2019,2,7.41,50.1,24.6,1,0,0
18,2020,1,7.79,49.7,25.6,1,0,0
18,2021,4,6.84,50.8,26.6,1,0,0
18,2022,3,7.47,45.9,27.6,1,0,0
19,2018,5,1.43,7.6,37.1,0,1,0
19,2019,2,2.2,4.8,38.1,0,1,0
19,2020,2,1.95,6.7,39.1,0,1,0
19,2021,0,2.1,6.3,40.1,0,1,0
19,2022,0,1.72,7.7,41.1,0,1,0
20,2018,15,20.14,88.8,44.2,0,0,0
20,2019,0,20.06,90.4,45.2,0,0,0
20,2020,7,19.93,87.5,46.2,0,0,0
20,2021,5,19.71,89.5,47.2,0,0,0
20,2022,0,19.93,88.7,48.2,0,0,0
21,2018,2,11.69,12.6,13.2,0,0,1
21,2019,16,12.16,13.7,14.2,0,0,1
21,2020,11,12.4,14.8,15.2,0,0,1
21,2021,24,12.22,16.7,16.2,0,0,1
21,2022,4,11.68,15.8,17.2,0,0,1
22,2018,1,7.25,20.5,35.9,0,0,0
22,2019,0,6.75,22.0,36.9,0,0,0
22,2020,1,7.31,25.3,37.9,0,0,0
22,2021,12,7.27,22.4,38.9,0,0,0
22,2022,1,6.58,21.7,39.9,0,0,0
23,2018,0,3.39,6.1,20.9,0,0,0
23,2019,3,3.65,6.5,21.9,0,0,0
23,2020,6,3.65,4.7,22.9,0,0,0
23,2021,0,3.38,6.1,23.9,0,0,0
23,2022,1,3.86,4.8,24.9,0,0,0
24,2018,4,2.16,20.3,49.1,1,0,1
24,2019,0,2.02,19.5,50.1,1,0,1
24,2020,0,1.85,20.0,51.1,1,0,1
24,2021,2,2.39,18.1,52.1,1,0,1
24,2022,1,2.58,18.0,53.1,1,0,1
25,2018,0,3.18,25.0,18.5,0,0,0
25,2019,1,3.14,23.5,19.5,0,0,0
25,2020,1,3.47,24.0,20.5,0,0,0
25,2021,0,3.22,23.1,21.5,0,0,0
25,2022,8,3.29,24.9,22.5,0,0,0
26,2018,0,10.93,18.0,5.3,0,0,0
26,2019,5,10.14,18.7,6.3,0,0,0
26,2020,3,11.1,20.1,7.3,0,0,0
26,2021,0,10.73,20.7,8.3,0,0,0
26,2022,0,10.58,18.1,9.3,0,0,0
27,2018,0,20.21,16.5,28.2,0,0,0
27,2019,0,20.23,14.0,29.2,0,0,0
27,2020,1,19.72,12.0,30.2,0,0,0
27,2021,2,20.69,14.1,31.2,0,0,0
27,2022,0,20.25,13.0,32.2,0,0,0
28,2018,4,15.54,11.0,11.8,0,1,0
28,2019,17,15.69,10.3,12.8,0,1,0
28,2020,0,15.1,10.5,13.8,0,1,0
28,2021,1,15.55,9.0,14.8,0,1,0
28,2022,6,15.32,11.8,15.8,0,1,0
29,2018,2,3.29,42.6,7.0,0,0,0
29,2019,6,2.39,42.7,8.0,0,0,0
29,2020,0,3.0,44.9,9.0,0,0,0
29,2021,0,2.85,46.7,10.0,0,0,0
29,2022,0,3.16,43.8,11.0,0,0,0
30,2018,10,1.97,21.6,36.4,0,0,1
30,2019,0,1.62,22.1,37.4,0,0,1
30,2020,7,1.62,21.7,38.4,0,0,1
30,2021,0,1.8,20.1,39.4,0,0,1
30,2022,1,1.56,18.9,40.4,0,0,1
31,2018,7,5.27,55.7,38.0,1,0,0
31,2019,0,4.91,58.7,39.0,1,0,0
31,2020,2,4.14,60.8,40.0,1,0,0
31,2021,3,4.9,57.4,41.0,1,0,0
31,2022,7,4.7,60.1,42.0,1,0,0
32,2018,0,0.6,12.5,25.7,1,1,0
32,2019,0,0.72,14.1,26.7,1,1,0
32,2020,2,1.12,15.0,27.7,1,1,0
32,2021,33,1.49,12.9,28.7,1,1,0
32,2022,3,1.18,14.1,29.7,1,1,0
33,2018,0,5.62,14.2,35.5,1,0,0
33,2019,11,5.94,15.9,36.5,1,0,0
33,2020,3,5.67,15.2,37.5,1,0,0
33,2021,1,5.6,14.9,38.5,1,0,0
33,2022,11,5.46,17.2,39.5,1,0,0
34,2018,1,3.46,36.5,29.2,0,0,0
34,2019,3,3.87,34.5,30.2,0,0,0
34,2020,1,4.03,35.4,31.2,0,0,0
34,2021,0,3.95,35.4,32.2,0,0,0
34,2022,0,3.86,35.7,33.2,0,0,0
35,2018,7,2.8,10.2,33.3,1,0,0
35,2019,13,3.27,7.0,34.3,1,0,0
35,2020,6,2.69,3.4,35.3,1,0,0
35,2021,10,3.32,5.6,36.3,1,0,0
35,2022,0,2.79,3.6,37.3,1,0,0
36,2018,0,1.03,8.1,31.9,0,0,0
36,2019,2,0.81,5.6,32.9,0,0,0
36,2020,2,1.1,7.3,33.9,0,0,0
36,2021,1,1.54,6.3,34.9,0,0,0
36,2022,2,1.41,9.2,35.9,0,0,0
37,2018,0,7.05,43.3,35.0,0,1,1
37,2019,12,6.92,43.8,36.0,0,1,1
37,2020,3,6.43,43.1,37.0,0,1,1
37,2021,9,6.66,41.2,38.0,0,1,1
37,2022,4,6.52,44.1,39.0,0,1,1
38,2018,1,3.33,11.7,14.0,0,1,0
38,2019,0,2.57,9.5,15.0,0,1,0
38,2020,1,3.19,8.2,16.0,0,1,0
38,2021,0,3.19,6.7,17.0,0,1,0
38,2022,2,3.48,7.5,18.0,0,1,0
39,2018,0,1.63,6.3,17.1,0,0,0
39,2019,0,1.97,7.2,18.1,0,0,0
39,2020,0,2.44,6.0,19.1,0,0,0
39,2021,4,1.57,6.8,20.1,0,0,0
39,2022,0,1.3,6.7,21.1,0,0,0
40,2018,4,0.1,75.0,24.8,1,0,0
40,2019,0,0.66,73.3,25.8,1,0,0
40,2020,7,0.1,74.6,26.8,1,0,0
40,2021,3,0.34,73.0,27.8,1,0,0
40,2022,8,0.58,74.3,28.8,1,0,0
41,2018,0,4.44,8.1,25.1,0,0,1
41,2019,1,4.51,10.1,26.1,0,0,1
41,2020,0,4.45,5.6,27.1,0,0,1
41,2021,5,4.77,8.3,28.1,0,0,1
41,2022,12,4.1,9.8,29.1,0,0,1
42,2018,24,18.3,24.0,39.8,0,0,0
42,2019,1,18.27,24.1,40.8,0,0,0
42,2020,0,18.75,23.7,41.8,0,0,0
42,2021,0,18.77,24.8,42.8,0,0,0
42,2022,6,18.64,21.2,43.8,0,0,0
43,2018,4,17.28,19.0,21.5,0,1,0
43,2019,10,16.58,21.1,22.5,0,1,0
43,2020,3,17.43,17.8,23.5,0,1,0
43,2021,12,17.39,22.9,24.5,0,1,0
43,2022,2,17.15,22.9,25.5,0,1,0
44,2018,7,3.64,2.2,12.3,1,0,0
44,2019,3,2.61,2.3,13.3,1,0,0
44,2020,2,2.95,2.7,14.3,1,0,0
44,2021,0,2.89,2.9,15.3,1,0,0
44,2022,11,3.33,3.0,16.3,1,0,0
45,2018,4,2.45,17.5,16.3,1,0,0
45,2019,0,3.0,16.4,17.3,1,0,0
45,2020,0,3.18,18.1,18.3,1,0,0
45,2021,0,2.98,17.3,19.3,1,0,0
45,2022,2,2.85,15.7,20.3,1,0,0
46,2018,10,6.22,29.5,14.7,0,1,0
46,2019,11,6.27,25.5,15.7,0,1,0
46,2020,0,6.9,27.4,16.7,0,1,0
46,2021,0,6.75,28.9,17.7,0,1,0
46,2022,0,6.51,26.4,18.7,0,1,0
47,2018,8,1.89,26.2,37.9,1,0,1
47,2019,4,1.41,26.6,38.9,1,0,1
47,2020,7,1.7,24.4,39.9,1,0,1
47,2021,0,2.59,25.6,40.9,1,0,1
47,2022,0,1.63,25.5,41.9,1,0,1
48,2018,0,5.76,37.0,26.2,1,0,1
48,2019,16,6.01,41.3,27.2,1,0,1
48,2020,7,5.33,36.7,28.2,1,0,1
48,2021,0,5.76,39.3,29.2,1,0,1
48,2022,0,5.99,37.2,30.2,1,0,1
49,2018,0,8.28,13.7,36.9,0,0,0
49,2019,5,9.13,15.5,37.9,0,0,0
49,2020,0,7.77,16.3,38.9,0,0,0
49,2021,8,8.59,16.7,39.9,0,0,0
49,2022,2,8.22,17.7,40.9,0,0,0
50,2018,3,12.19,37.5,23.7,0,1,0
50,2019,0,12.09,33.4,24.7,0,1,0
50,2020,11,11.74,32.1,25.7,0,1,0
50,2021,1,12.03,33.8,26.7,0,1,0
50,2022,7,11.4,32.7,27.7,0,1,0
51,2018,7,4.32,13.8,45.0,0,1,0
51,2019,0,4.23,10.5,46.0,0,1,0
51,2020,1,4.33,15.9,47.0,0,1,0
51,2021,3,4.45,13.7,48.0,0,1,0
51,2022,0,4.25,9.9,49.0,0,1,0
52,2018,1,3.85,6.4,49.3,0,0,0
52,2019,1,3.54,8.7,50.3,0,0,0
52,2020,0,3.59,9.2,51.3,0,0,0
52,2021,0,4.16,5.6,52.3,0,0,0
52,2022,0,4.24,8.6,53.3,0,0,0
53,2018,2,2.15,5.2,35.1,1,1,0
53,2019,0,2.23,8.0,36.1,1,1,0
53,2020,5,1.95,9.8,37.1,1,1,0
53,2021,8,2.57,7.3,38.1,1,1,0
53,2022,1,2.42,5.8,39.1,1,1,0
54,2018,1,2.9,7.4,43.9,0,0,0
54,2019,0,2.05,6.3,44.9,0,0,0
54,2020,6,2.2,8.2,45.9,0,0,0
54,2021,0,2.38,5.9,46.9,0,0,0
54,2022,0,2.51,6.1,47.9,0,0,0
55,2018,24,3.67,37.7,27.9,0,0,0
55,2019,6,3.48,41.0,28.9,0,0,0
55,2020,1,4.0,40.5,29.9,0,0,0
55,2021,0,3.96,38.9,30.9,0,0,0
55,2022,12,3.46,41.0,31.9,0,0,0
56,2018,24,6.42,8.5,47.1,1,1,0
56,2019,22,6.36,6.6,48.1,1,1,0
56,2020,30,6.05,7.4,49.1,1,1,0
56,2021,5,6.04,7.4,50.1,1,1,0
56,2022,13,6.18,5.2,51.1,1,1,0
57,2018,3,9.05,27.4,42.4,0,0,0
57,2019,1,9.32,23.6,43.4,0,0,0
57,2020,0,8.66,25.3,44.4,0,0,0
57,2021,0,9.57,25.5,45.4,0,0,0
57,2022,0,8.84,24.1,46.4,0,0,0
58,2018,2,2.81,17.6,49.6,0,0,0
58,2019,0,2.26,17.0,50.6,0,0,0
58,2020,0,2.29,14.5,51.6,0,0,0
58,2021,3,2.17,16.2,52.6,0,0,0
58,2022,3,2.27,15.8,53.6,0,0,0
59,2018,11,15.22,18.0,33.0,0,0,0
59,2019,2,14.05,16.7,34.0,0,0,0
59,2020,11,15.18,20.4,35.0,0,0,0
59,2021,4,14.89,21.1,36.0,0,0,0
59,2022,14,14.43,20.2,37.0,0,0,0
60,2018,6,3.29,54.1,40.1,0,0,0
60,2019,0,4.11,51.7,41.1,0,0,0
60,2020,17,3.32,51.2,42.1,0,0,0
60,2021,3,3.26,51.0,43.1,0,0,0
60,2022,6,3.95,53.1,44.1,0,0,0
61,2018,3,4.51,15.1,29.4,0,0,0
61,2019,0,4.12,14.7,30.4,0,0,0
61,2020,4,4.47,16.7,31.4,0,0,0
61,2021,2,4.1,15.4,32.4,0,0,0
61,2022,2,4.74,13.5,33.4,0,0,0
62,2018,3,2.78,29.8,16.7,1,0,0
62,2019,0,2.62,31.8,17.7,1,0,0
62,2020,12,2.57,32.4,18.7,1,0,0
62,2021,7,2.99,31.6,19.7,1,0,0
62,2022,5,2.47,33.7,20.7,1,0,0
63,2018,2,0.29,23.1,21.0,0,0,1
63,2019,0,0.78,21.3,22.0,0,0,1
63,2020,6,1.27,19.4,23.0,0,0,1
63,2021,2,0.34,18.7,24.0,0,0,1
63,2022,0,0.54,20.0,25.0,0,0,1
64,2018,6,9.22,19.2,45.2,1,0,0
64,2019,0,9.07,20.8,46.2,1,0,0
64,2020,2,8.8,18.7,47.2,1,0,0
64,2021,0,9.43,19.8,48.2,1,0,0
64,2022,1,9.79,17.7,49.2,1,0,0
65,2018,14,8.14,101.4,7.5,0,0,0
65,2019,31,7.81,101.7,8.5,0,0,0
65,2020,0,7.62,97.5,9.5,0,0,0
65,2021,2,8.16,99.9,10.5,0,0,0
65,2022,4,8.41,101.9,11.5,0,0,0
66,2018,9,3.72,7.7,31.6,0,1,0
66,2019,0,3.58,5.5,32.6,0,1,0
66,2020,7,3.4,3.7,33.6,0,1,0
66,2021,2,3.25,6.8,34.6,0,1,0
66,2022,0,3.83,7.2,35.6,0,1,0
67,2018,15,5.0,48.2,21.8,1,1,0
67,2019,0,4.26,49.7,22.8,1,1,0
67,2020,4,5.21,50.3,23.8,1,1,0
67,2021,4,4.9,50.5,24.8,1,1,0
67,2022,1,5.15,46.0,25.8,1,1,0
68,2018,2,6.37,29.8,22.4,0,1,0
68,2019,26,6.36,31.3,23.4,0,1,0
68,2020,6,6.73,32.7,24.4,0,1,0
68,2021,9,6.92,32.5,25.4,0,1,0
68,2022,7,7.31,32.5,26.4,0,1,0
69,2018,4,1.5,13.8,44.8,1,0,0
69,2019,3,1.21,13.9,45.8,1,0,0
69,2020,1,0.98,13.3,46.8,1,0,0
69,2021,0,1.65,15.5,47.8,1,0,0
69,2022,0,0.99,13.0,48.8,1,0,0
70,2018,3,3.42,64.1,43.4,1,0,0
70,2019,3,2.85,63.1,44.4,1,0,0
70,2020,0,3.41,62.8,45.4,1,0,0
70,2021,5,3.14,61.9,46.4,1,0,0
70,2022,10,2.89,60.8,47.4,1,0,0
71,2018,0,8.3,4.5,31.9,0,0,0
71,2019,7,8.36,5.0,32.9,0,0,0
71,2020,3,8.59,2.0,33.9,0,0,0
71,2021,2,8.48,5.2,34.9,0,0,0
71,2022,7,8.28,6.9,35.9,0,0,0
72,2018,3,1.59,14.8,17.3,0,0,0
72,2019,2,1.67,13.2,18.3,0,0,0
72,2020,1,1.0,14.0,19.3,0,0,0
72,2021,25,1.78,13.1,20.3,0,0,0
72,2022,0,1.35,14.2,21.3,0,0,0
73,2018,0,5.32,10.9,26.4,1,0,0
73,2019,1,5.16,10.1,27.4,1,0,0
73,2020,3,5.13,9.4,28.4,1,0,0
73,2021,0,5.26,7.9,29.4,1,0,0
73,2022,0,5.46,9.7,30.4,1,0,0
74,2018,1,2.1,24.3,23.4,1,0,0
74,2019,5,1.36,26.4,24.4,1,0,0
74,2020,3,1.57,27.7,25.4,1,0,0
74,2021,0,1.63,27.9,26.4,1,0,0
74,2022,28,1.55,27.8,27.4,1,0,0
75,2018,0,6.49,9.7,20.9,0,1,0
75,2019,8,6.15,8.9,21.9,0,1,0
75,2020,0,6.94,10.0,22.9,0,1,0
75,2021,5,7.05,7.8,23.9,0,1,0
75,2022,0,6.0,7.9,24.9,0,1,0
76,2018,10,4.05,27.3,9.6,0,0,1
76,2019,5,4.27,27.5,10.6,0,0,1
76,2020,0,4.07,24.5,11.6,0,0,1
76,2021,7,4.51,27.9,12.6,0,0,1
76,2022,0,4.14,28.4,13.6,0,0,1
77,2018,0,1.88,17.5,29.4,0,0,0
77,2019,0,1.59,21.2,30.4,0,0,0
77,2020,0,1.29,16.6,31.4,0,0,0
77,2021,2,1.54,17.1,32.4,0,0,0
77,2022,9,1.56,17.0,33.4,0,0,0
78,2018,11,11.21,14.2,18.6,0,1,1
78,2019,15,11.13,13.9,19.6,0,1,1
78,2020,24,11.4,12.2,20.6,0,1,1
78,2021,0,11.64,13.5,21.6,0,1,1
78,2022,6,11.42,14.2,22.6,0,1,1
79,2018,1,2.02,28.2,34.7,1,0,0
79,2019,0,2.25,29.7,35.7,1,0,0
79,2020,4,2.47,28.4,36.7,1,0,0
79,2021,5,2.47,25.2,37.7,1,0,0
79,2022,1,3.08,25.3,38.7,1,0,0
80,2018,0,1.93,16.4,19.4,0,1,0
80,2019,0,2.5,19.3,20.4,0,1,0
80,2020,1,2.79,16.4,21.4,0,1,0
80,2021,3,3.03,14.7,22.4,0,1,0
80,2022,0,2.22,15.9,23.4,0,1,0
81,2018,7,5.41,10.5,24.4,0,1,0
81,2019,2,5.43,10.4,25.4,0,1,0
81,2020,0,5.32,9.1,26.4,0,1,0
81,2021,3,5.23,10.4,27.4,0,1,0
81,2022,2,5.39,6.0,28.4,0,1,0
82,2018,0,10.47,142.9,7.4,0,0,0
82,2019,0,11.44,144.0,8.4,0,0,0
82,2020,0,11.27,141.5,9.4,0,0,0
82,2021,5,11.17,141.5,10.4,0,0,0
82,2022,0,11.85,139.9,11.4,0,0,0
83,2018,2,1.79,16.7,49.7,0,0,1
83,2019,0,1.87,13.2,50.7,0,0,1
83,2020,25,2.59,14.6,51.7,0,0,1
83,2021,0,1.74,15.2,52.7,0,0,1
83,2022,2,1.82,16.5,53.7,0,0,1
84,2018,5,4.66,4.0,27.8,0,0,0
84,2019,0,4.96,3.4,28.8,0,0,0
84,2020,0,4.77,4.5,29.8,0,0,0
84,2021,3,4.32,6.2,30.8,0,0,0
84,2022,1,4.55,4.0,31.8,0,0,0
85,2018,4,6.13,9.7,6.1,0,0,0
85,2019,0,6.29,8.8,7.1,0,0,0
85,2020,0,6.44,9.3,8.1,0,0,0
85,2021,10,6.44,12.4,9.1,0,0,0
85,2022,11,5.78,10.7,10.1,0,0,0
86,2018,0,8.12,7.4,29.4,0,0,0
86,2019,2,7.88,7.2,30.4,0,0,0
86,2020,3,8.22,8.4,31.4,0,0,0
86,2021,4,7.94,7.9,32.4,0,0,0
86,2022,1,8.13,7.9,33.4,0,0,0
87,2018,0,5.3,37.8,44.2,0,0,0
87,2019,1,5.56,38.1,45.2,0,0,0
87,2020,4,5.32,33.4,46.2,0,0,0
87,2021,1,5.13,36.3,47.2,0,0,0
87,2022,3,5.84,34.6,48.2,0,0,0
88,2018,0,3.61,24.8,39.8,0,1,0
88,2019,15,3.51,25.6,40.8,0,1,0
88,2020,0,2.96,24.8,41.8,0,1,0
88,2021,8,2.95,25.5,42.8,0,1,0
88,2022,1,3.43,26.2,43.8,0,1,0
89,2018,10,2.36,27.0,36.5,0,1,1
89,2019,0,2.13,25.6,37.5,0,1,1
89,2020,0,2.35,25.6,38.5,0,1,1
89,2021,11,2.79,24.4,39.5,0,1,1
89,2022,0,2.52,25.3,40.5,0,1,1
90,2018,7,4.46,18.4,11.3,1,0,0
90,2019,0,4.77,14.3,12.3,1,0,0
90,2020,5,4.56,13.7,13.3,1,0,0
90,2021,8,4.69,16.0,14.3,1,0,0
90,2022,2,4.68,15.3,15.3,1,0,0
91,2018,3,1.76,16.2,34.6,1,0,0
91,2019,1,1.52,18.6,35.6,1,0,0
91,2020,0,1.86,17.3,36.6,1,0,0
91,2021,1,1.73,15.7,37.6,1,0,0
91,2022,4,1.02,15.9,38.6,1,0,0
92,2018,3,1.05,14.7,39.5,0,0,0
92,2019,2,0.76,16.8,40.5,0,0,0
92,2020,0,0.32,15.0,41.5,0,0,0
92,2021,1,0.44,12.8,42.5,0,0,0
92,2022,1,0.1,15.4,43.5,0,0,0
93,2018,4,6.86,16.7,30.8,0,0,1
93,2019,1,6.92,22.3,31.8,0,0,1
93,2020,3,6.4,17.5,32.8,0,0,1
93,2021,4,6.66,18.7,33.8,0,0,1
93,2022,0,6.41,19.4,34.8,0,0,1
94,2018,63,8.84,35.6,45.2,1,0,1
94,2019,5,9.11,35.6,46.2,1,0,1
94,2020,6,9.28,36.7,47.2,1,0,1
94,2021,9,9.1,38.3,48.2,1,0,1
94,2022,11,9.17,37.2,49.2,1,0,1
95,2018,0,0.65,27.6,17.5,0,1,0
95,2019,5,0.65,23.8,18.5,0,1,0
95,2020,0,0.69,25.9,19.5,0,1,0
95,2021,0,0.36,25.6,20.5,0,1,0
95,2022,1,0.46,25.9,21.5,0,1,0
96,2018,5,1.61,30.6,15.9,1,1,1
96,2019,0,2.29,28.2,16.9,1,1,1
96,2020,4,1.37,27.9,17.9,1,1,1
96,2021,1,2.34,29.3,18.9,1,1,1
96,2022,0,2.41,25.8,19.9,1,1,1
97,2018,14,7.26,28.1,44.1,1,0,0
97,2019,25,6.57,28.3,45.1,1,0,0
97,2020,2,7.25,27.1,46.1,1,0,0
97,2021,7,7.34,30.1,47.1,1,0,0
97,2022,11,7.05,26.9,48.1,1,0,0
98,2018,0,23.09,37.1,33.1,0,0,0
98,2019,6,23.7,37.7,34.1,0,0,0
98,2020,8,23.44,39.3,35.1,0,0,0
98,2021,1,22.97,37.3,36.1,0,0,0
98,2022,3,22.76,38.7,37.1,0,0,0
99,2018,2,4.46,25.6,5.1,0,0,0
99,2019,15,4.49,24.8,6.1,0,0,0
99,2020,12,4.71,22.9,7.1,0,0,0
99,2021,3,4.4,22.4,8.1,0,0,0
99,2022,6,4.71,24.7,9.1,0,0,0
100,2018,1,3.08,25.0,20.9,0,0,0
100,2019,0,2.75,27.2,21.9,0,0,0
100,2020,4,2.49,26.9,22.9,0,0,0
100,2021,1,2.45,25.5,23.9,0,0,0
100,2022,1,2.4,24.1,24.9,0,0,0
101,2018,0,4.23,46.9,43.6,0,0,0
101,2019,1,3.68,44.6,44.6,0,0,0
101,2020,0,3.89,45.0,45.6,0,0,0
101,2021,1,3.89,44.7,46.6,0,0,0
101,2022,0,3.72,46.0,47.6,0,0,0
102,2018,0,13.05,14.4,6.2,1,0,0
102,2019,14,13.56,12.6,7.2,1,0,0
102,2020,11,13.44,11.9,8.2,1,0,0
102,2021,9,13.61,10.3,9.2,1,0,0
102,2022,13,13.3,13.4,10.2,1,0,0
103,2018,1,3.04,9.9,5.1,1,0,0
103,2019,5,2.41,11.2,6.1,1,0,0
103,2020,9,3.19,10.5,7.1,1,0,0
103,2021,2,2.15,12.3,8.1,1,0,0
103,2022,8,2.8,10.8,9.1,1,0,0
104,2018,2,2.51,8.7,17.7,0,0,0
104,2019,1,2.13,9.5,18.7,0,0,0
104,2020,0,2.49,11.9,19.7,0,0,0
104,2021,1,2.75,10.1,20.7,0,0,0
104,2022,0,1.7,8.6,21.7,0,0,0
105,2018,0,3.2,22.8,46.1,0,0,0
105,2019,3,2.3,22.0,47.1,0,0,0
105,2020,8,2.76,21.4,48.1,0,0,0
105,2021,6,3.53,22.0,49.1,0,0,0
105,2022,3,2.87,21.7,50.1,0,0,0
106,2018,0,1.74,6.5,45.6,0,0,1
106,2019,2,2.03,3.9,46.6,0,0,1
106,2020,0,2.71,7.5,47.6,0,0,1
106,2021,1,1.54,6.6,48.6,0,0,1
106,2022,0,1.77,5.5,49.6,0,0,1
107,2018,14,5.39,27.8,28.3,0,0,0
107,2019,12,5.5,26.9,29.3,0,0,0
107,2020,3,4.91,28.2,30.3,0,0,0
107,2021,12,4.57,29.4,31.3,0,0,0
107,2022,8,5.57,26.7,32.3,0,0,0
108,2018,2,16.92,16.3,29.9,0,1,0
108,2019,0,16.64,19.7,30.9,0,1,0
108,2020,24,16.2,19.1,31.9,0,1,0
108,2021,1,16.43,16.9,32.9,0,1,0
108,2022,16,16.39,17.5,33.9,0,1,0
109,2018,4,5.9,43.2,19.9,1,1,0
109,2019,0,6.24,43.4,20.9,1,1,0
109,2020,15,6.07,44.0,21.9,1,1,0
109,2021,1,5.48,44.0,22.9,1,1,0
109,2022,14,6.22,43.5,23.9,1,1,0
110,2018,0,3.76,11.4,16.0,0,1,1
110,2019,2,3.87,12.2,17.0,0,1,1
110,2020,12,4.1,12.8,18.0,0,1,1
110,2021,11,3.33,12.1,19.0,0,1,1
110,2022,13,3.65,14.3,20.0,0,1,1
111,2018,3,3.39,18.2,41.7,0,1,0
111,2019,6,3.08,15.0,42.7,0,1,0
111,2020,7,3.65,18.2,43.7,0,1,0
111,2021,0,4.3,18.3,44.7,0,1,0
111,2022,2,3.0,16.8,45.7,0,1,0
112,2018,0,1.27,41.8,9.8,0,0,0
112,2019,1,1.48,44.1,10.8,0,0,0
