"model_name","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","deviance","n_obs","alpha","n_groups","equation","vuong_statistic","vuong_pvalue"
"negbin_patents","public_funding",0.221845147198872,0.0418017739641137,5.30707494350176,1.1139838499894e-07,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"negbin_patents","international",0.172458246062772,0.0383143348496657,4.50114158941943,6.75894609453769e-06,-19706.9368264164,39429.8736528328,39485.254919229,8111.43374084619,7500,2.09876064323658,NA,NA,NA,NA
"pooled_poisson_crime","(Intercept)",4.18647869593441,0.0940647816645812,44.5063351219235,0,-34125.5651549004,NA,NA,NA,1500,NA,150,NA,NA,NA
"pooled_poisson_crime","unemployment_rate",0.0794510998035082,0.00538878428277265,14.7437892545643,3.37314982985149e-49,-34125.5651549004,NA,NA,NA,1500,NA,150,NA,NA,NA
"pooled_poisson_crime","police_per_capita",-0.115635094140686,0.0194040261353382,-5.95933510572291,2.53266271643633e-09,-34125.5651549004,NA,NA,NA,1500,NA,150,NA,NA,NA
"pooled_poisson_crime","median_income",-0.0043159657868109,0.000621011291422702,-6.94989905404661,3.65547685318853e-12,-34125.5651549004,NA,NA,NA,1500,NA,150,NA,NA,NA
"pooled_poisson_crime","temperature",0.0100496097029855,0.000577350234975939,17.4064356333107,7.37341184948647e-68,-34125.5651549004,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_poisson_crime","unemployment_rate",0.0797176822370879,0.00116965342020069,68.1549601448692,0,-5495.43502165598,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_poisson_crime","police_per_capita",-0.15208574825264,0.00287846549337343,-52.8357031212495,0,-5495.43502165598,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_poisson_crime","median_income",-0.00508306987219544,0.000144701844419392,-35.1278858441023,2.52994553751396e-270,-5495.43502165598,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_poisson_crime","temperature",0.0102001341164417,0.000270346815791276,37.7298104532396,1.61239781031535e-311,-5495.43502165598,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_year_poisson_crime","unemployment_rate",0.0798509442315008,0.00114238029563317,69.8987408455278,0,-5489.04218037275,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_year_poisson_crime","police_per_capita",-0.151717384582718,0.00285431742406491,-53.1536483306239,0,-5489.04218037275,NA,NA,NA,1500,NA,150,NA,NA,NA
"fe_year_poisson_crime","median_income",-0.00507176146057411,0.000140614596981224,-36.068527517462,7.06698286023182e-285,-5489.04218037275,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","(Intercept)",4.31751944991753,0.0487789054419638,88.5120199151338,0,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","unemployment_rate",0.0797193293560461,0.000995102509751173,80.1116755056522,0,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","police_per_capita",-0.151974971480035,0.00309054085786237,-49.1742314596518,0,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","median_income",-0.00508081277958932,0.000123570663744482,-41.1166584821085,0,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","temperature",0.0101997545558837,0.000268888456918959,37.9330324282302,7.34869153725116e-315,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"re_poisson_crime","sigma",3.44582268576825,0.381362766396667,9.03555089639806,1.63178416910722e-19,-6008.9086230239,NA,NA,NA,1500,NA,150,NA,NA,NA
"ppml_pooled_gravity","(Intercept)",2.13270800011018,0.280957345626495,7.59086043952525,3.17788087974866e-14,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","log_gdp_exporter",0.887466775046957,0.027455880003122,32.3233775404774,3.28406360228036e-229,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","log_gdp_importer",0.785641329963441,0.0259934157832,30.2246282872609,1.12457020088581e-200,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","log_distance",-1.24285131748488,0.0225386627614447,-55.1430814968731,0,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","contiguous",0.514798063893347,0.0647796688156645,7.94690793122522,1.91224422223658e-15,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","common_language",0.376567611471459,0.0723549312543652,5.2044498549467,1.94572153159448e-07,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pooled_gravity","trade_agreement",0.381815281772635,0.0731439423496426,5.22005335653747,1.78871589785111e-07,-1087223.16151159,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pair_fe_gravity","trade_agreement",0.565050506492381,0.0965535502701213,5.8521981316231,4.85118214681237e-09,-980574.846379817,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","log_gdp_exporter",0.884172202413967,0.0273568762615446,32.319925490062,3.67210155438198e-229,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","log_gdp_importer",0.783248990364781,0.0251096817797532,31.1931069949417,1.32134374041901e-213,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","log_distance",-1.24142269117071,0.0226255719405446,-54.8681241929669,0,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","contiguous",0.513974129247519,0.0647337187971085,7.93982083523489,2.02473506227583e-15,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","common_language",0.37770373099708,0.0727487303441505,5.19189447307585,2.08164985155907e-07,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_year_fe_gravity","trade_agreement",0.362907730871422,0.0768717428805914,4.72095099281337,2.34744498638221e-06,-1079112.86752738,NA,NA,NA,9990,NA,666,NA,NA,NA
"ppml_pair_year_fe_gravity","trade_agreement",0.288155651507817,0.107784474490255,2.67344302480104,0.0075077028155332,-943074.192062978,NA,NA,NA,9990,NA,666,NA,NA,NA
"poisson_baseline","(Intercept)",-0.49340032452673,0.104255258020682,-4.73261813259195,2.21642230817447e-06,-6214.91369426745,12437.8273885349,12461.8528588055,NA,3000,NA,NA,"count",NA,NA
"poisson_baseline","age",0.0130611844154738,0.00160773098573763,8.12398624604558,4.51116907931277e-16,-6214.91369426745,12437.8273885349,12461.8528588055,NA,3000,NA,NA,"count",NA,NA
"poisson_baseline","income",-0.00319584971872988,0.000888598152732791,-3.59650727260841,0.000322518570641482,-6214.91369426745,12437.8273885349,12461.8528588055,NA,3000,NA,NA,"count",NA,NA
"poisson_baseline","chronic_condition",0.691531382405797,0.0635733158147872,10.8776988197452,1.47232948080484e-27,-6214.91369426745,12437.8273885349,12461.8528588055,NA,3000,NA,NA,"count",NA,NA
"negbin_baseline","(Intercept)",-0.509950923693268,0.120011044834355,-4.24919993319886,2.14535376991176e-05,-4388.79974736106,8787.59949472212,8817.63133256037,NA,3000,3.10661116149252,NA,"count",NA,NA
"negbin_baseline","age",0.0133142008444918,0.00186188972355636,7.15090731531653,8.62061843677676e-13,-4388.79974736106,8787.59949472212,8817.63133256037,NA,3000,3.10661116149252,NA,"count",NA,NA
"negbin_baseline","income",-0.00308551155339409,0.00103460547674115,-2.98230738456264,0.00286084603724633,-4388.79974736106,8787.59949472212,8817.63133256037,NA,3000,3.10661116149252,NA,"count",NA,NA
"negbin_baseline","chronic_condition",0.68456427417742,0.0771080135375109,8.87799131077859,6.80785555805338e-19,-4388.79974736106,8787.59949472212,8817.63133256037,NA,3000,3.10661116149252,NA,"count",NA,NA
"zip","(Intercept)",0.452737948882349,0.0614307176801585,7.36989515960967,1.70762273555824e-13,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"count",25.7010293962141,5.69159068591667e-146
"zip","age",0.0121005782707211,0.000885102607722035,13.6713847243813,1.50503620126918e-42,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"count",25.7010293962141,5.69159068591667e-146
"zip","income",-0.00231791863584866,0.000506942328036834,-4.57235174033493,4.82280455285491e-06,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"count",25.7010293962141,5.69159068591667e-146
"zip","chronic_condition",0.557387394183458,0.0335486325529059,16.6143103837232,5.49025535977602e-62,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"count",25.7010293962141,5.69159068591667e-146
"zip","(Intercept)",1.12660630104397,0.103612411964497,10.8732755051587,1.54550643774244e-27,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"zero_inflate",25.7010293962141,5.69159068591667e-146
"zip","insurance",-1.2931371111813,0.0941163473874286,-13.7397715389242,5.86606038122935e-43,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"zero_inflate",25.7010293962141,5.69159068591667e-146
"zip","distance_clinic",0.0377031013424214,0.00349924203287409,10.7746480489816,4.53513194074019e-27,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"zero_inflate",25.7010293962141,5.69159068591667e-146
"zip","urban",-0.630399579432771,0.0885037221546222,-7.12285951467012,1.05710556229785e-12,-4192.59273135565,8401.1854627113,8449.2364032525,NA,3000,NA,NA,"zero_inflate",25.7010293962141,5.69159068591667e-146
"zinb","(Intercept)",0.297043606730011,0.0870600725838961,3.41193842267662,0.000645026823791406,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"count",NA,NA
"zinb","age",0.0130781510400705,0.00128159083947796,10.2046227526078,1.8905440012467e-24,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"count",NA,NA
"zinb","income",-0.00255528099341704,0.000718393351687663,-3.55693853153586,0.00037520190455252,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"count",NA,NA
"zinb","chronic_condition",0.621950111223182,0.0502607539079188,12.3744684045655,3.59265050519175e-35,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"count",NA,NA
"zinb","(Intercept)",1.00132444522729,0.110627035334129,9.05135387749453,1.41206528498371e-19,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"zero_inflate",NA,NA
"zinb","insurance",-1.39706050883946,0.102287623022129,-13.6581579233415,1.80491953535591e-42,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"zero_inflate",NA,NA
"zinb","distance_clinic",0.040711761347361,0.00379335410417027,10.7323915008631,7.17157405672981e-27,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"zero_inflate",NA,NA
"zinb","urban",-0.691709035719089,0.0970368333466953,-7.12831418609608,1.01605642288516e-12,-4071.04898051324,8160.09796102649,8214.15526913534,NA,3000,0.316452776399866,NA,"zero_inflate",NA,NA
