id,year,lwage,educ,exper,black,south,married,female,union,hours,age
8,2,-0.5098,13.9,10.9,1,1,1,0,0,33.7,30.9
8,3,0.6158,13.9,14.0,1,1,0,0,0,45.5,31.9
8,4,-2.0146,13.9,12.7,1,1,0,0,0,38.1,32.9
8,5,2.058,13.9,13.6,1,1,1,0,1,52.7,33.9
8,6,-0.5488,13.9,14.3,1,1,1,0,0,44.0,34.9
9,1,1.9943,10.8,8.5,1,0,1,0,1,36.1,24.6
9,2,4.3969,10.8,8.6,1,0,0,0,1,39.9,25.6
9,3,2.6477,10.8,9.1,1,0,1,0,0,40.5,26.6
9,4,-0.0593,10.8,12.1,1,0,1,0,1,34.2,27.6
9,5,1.1002,10.8,13.2,1,0,1,0,0,32.7,28.6
9,6,2.4831,10.8,12.2,1,0,0,0,0,45.6,29.6
10,1,4.086,13.4,10.7,0,1,1,0,0,46.8,31.9
10,2,-1.5977,13.4,14.6,0,1,1,0,0,44.8,32.9
10,3,3.3729,13.4,13.9,0,1,1,0,0,52.1,33.9
10,4,2.2746,13.4,16.4,0,1,1,0,0,35.7,34.9
10,5,2.1461,13.4,14.6,0,1,0,0,0,53.4,35.9
10,6,5.4598,13.4,18.5,0,1,1,0,0,32.8,36.9
11,1,2.155,10.8,4.9,0,0,0,0,0,31.9,22.9
11,2,2.965,10.8,7.8,0,0,0,0,1,25.9,23.9
11,3,1.017,10.8,8.1,0,0,0,0,0,36.4,24.9
11,4,1.5627,10.8,8.1,0,0,0,0,0,36.0,25.9
11,5,1.8224,10.8,9.7,0,0,1,0,0,44.2,26.9
11,6,1.0343,10.8,11.8,0,0,1,0,0,42.0,27.9
12,1,1.603,10.8,20.4,0,1,0,0,0,30.5,37.1
12,2,0.6081,10.8,21.9,0,1,1,0,0,36.9,38.1
12,3,-0.0072,10.8,24.3,0,1,0,0,0,37.0,39.1
12,4,1.1477,10.8,21.7,0,1,1,0,0,25.8,40.1
12,5,2.3777,10.8,25.9,0,1,0,0,1,32.2,41.1
12,6,3.5956,10.8,25.4,0,1,0,0,0,33.8,42.1
13,1,1.6184,12.6,7.7,0,0,1,0,0,51.5,27.2
13,2,2.1822,12.6,8.3,0,0,1,0,0,41.5,28.2
13,3,-0.3021,12.6,10.4,0,0,0,0,0,45.3,29.2
13,4,3.9331,12.6,12.5,0,0,0,0,0,28.0,30.2
13,5,2.0288,12.6,12.5,0,0,1,0,0,49.6,31.2
13,6,2.9034,12.6,15.1,0,0,0,0,0,50.4,32.2
14,1,2.0564,7.2,16.5,1,1,1,1,0,24.0,31.2
14,2,0.6158,7.2,19.0,1,1,1,1,0,34.4,32.2
14,3,1.3823,7.2,18.7,1,1,0,1,1,44.0,33.2
14,4,3.6278,7.2,21.4,1,1,0,1,0,45.2,34.2
14,5,-0.3959,7.2,22.9,1,1,0,1,0,34.6,35.2
14,6,1.6859,7.2,22.6,1,1,0,1,0,37.6,36.2
15,1,4.4216,7.7,15.4,0,1,1,0,0,35.2,31.7
15,2,1.3258,7.7,19.2,0,1,0,0,0,40.9,32.7
15,3,3.1939,7.7,20.4,0,1,1,0,0,49.6,33.7
15,4,3.9465,7.7,21.4,0,1,1,0,0,33.8,34.7
15,5,2.6243,7.7,23.2,0,1,1,0,0,48.0,35.7
15,6,1.1496,7.7,21.9,0,1,1,0,0,33.7,36.7
16,1,1.2471,10.6,12.5,0,1,1,1,1,33.2,28.4
16,2,-1.4055,10.6,14.0,0,1,1,1,0,46.5,29.4
16,3,2.8023,10.6,12.1,0,1,1,1,0,47.4,30.4
16,4,3.1095,10.6,15.2,0,1,1,1,1,46.8,31.4
16,5,1.9396,10.6,15.3,0,1,0,1,0,29.5,32.4
16,6,1.2665,10.6,16.8,0,1,1,1,0,36.3,33.4
17,1,-0.0364,9.5,18.4,0,1,1,0,0,46.6,33.5
17,2,2.759,9.5,18.6,0,1,0,0,0,40.3,34.5
17,3,2.6585,9.5,19.4,0,1,0,0,0,31.4,35.5
17,4,3.9397,9.5,21.1,0,1,0,0,0,43.7,36.5
17,5,2.7468,9.5,21.0,0,1,1,0,0,34.3,37.5
17,6,3.209,9.5,22.0,0,1,0,0,0,54.4,38.5
18,1,2.3269,12.8,9.0,0,0,1,1,0,52.4,27.2
18,2,1.9569,12.8,8.2,0,0,1,1,1,44.8,28.2
18,3,1.3158,12.8,11.0,0,0,1,1,0,50.9,29.2
18,4,3.5376,12.8,11.8,0,0,0,1,0,40.5,30.2
18,5,1.9624,12.8,10.6,0,0,1,1,0,46.1,31.2
18,6,1.2608,12.8,12.7,0,0,1,1,0,51.8,32.2
19,1,0.1245,9.7,20.7,0,0,1,0,0,42.0,35.2
19,2,1.4526,9.7,19.5,0,0,0,0,0,38.0,36.2
19,3,2.3018,9.7,21.0,0,0,0,0,1,26.4,37.2
19,4,1.4879,9.7,23.0,0,0,1,0,0,39.3,38.2
19,5,1.2069,9.7,24.3,0,0,0,0,0,46.6,39.2
19,6,2.2307,9.7,24.2,0,0,1,0,0,47.6,40.2
20,1,0.5514,8.5,6.9,0,0,0,0,0,44.0,21.9
20,2,2.7631,8.5,9.9,0,0,1,0,0,35.7,22.9
20,3,1.7471,8.5,11.2,0,0,0,0,0,24.2,23.9
20,4,2.1227,8.5,11.4,0,0,1,0,1,36.0,24.9
20,5,0.5091,8.5,11.5,0,0,0,0,0,37.6,25.9
20,6,1.3876,8.5,11.6,0,0,1,0,0,37.5,26.9
21,1,1.2111,15.7,8.3,0,0,1,1,0,44.9,30.8
21,2,2.9559,15.7,10.6,0,0,1,1,0,55.9,31.8
21,3,2.7108,15.7,11.5,0,0,1,1,0,41.0,32.8
21,4,0.539,15.7,13.5,0,0,1,1,1,38.3,33.8
21,5,2.0771,15.7,13.7,0,0,0,1,1,37.9,34.8
21,6,0.5316,15.7,12.6,0,0,1,1,0,41.0,35.8
22,1,6.4521,11.4,25.2,0,1,0,1,0,33.4,41.6
22,2,4.913,11.4,24.2,0,1,0,1,1,41.0,42.6
22,3,2.2145,11.4,25.8,0,1,0,1,0,43.6,43.6
22,4,2.6652,11.4,27.4,0,1,0,1,0,41.7,44.6
22,5,3.1728,11.4,30.2,0,1,0,1,0,43.7,45.6
22,6,2.8343,11.4,32.3,0,1,1,1,0,43.5,46.6
23,1,2.1283,12.2,6.4,1,0,0,1,0,25.8,24.0
23,2,4.7173,12.2,6.6,1,0,1,1,1,45.1,25.0
23,3,1.9339,12.2,8.4,1,0,0,1,1,34.6,26.0
23,4,1.9714,12.2,9.7,1,0,0,1,0,31.2,27.0
23,5,3.0907,12.2,9.5,1,0,1,1,0,31.2,28.0
23,6,2.3208,12.2,12.6,1,0,1,1,1,43.5,29.0
24,1,2.3489,8.4,11.7,0,1,1,0,0,38.2,25.9
24,2,0.8765,8.4,13.0,0,1,0,0,0,26.5,26.9
24,3,1.3805,8.4,14.2,0,1,0,0,0,43.8,27.9
24,4,0.4784,8.4,14.9,0,1,1,0,0,28.5,28.9
24,5,1.7423,8.4,16.3,0,1,0,0,0,41.1,29.9
24,6,1.6255,8.4,15.9,0,1,0,0,0,41.9,30.9
25,1,7.802,10.6,15.9,0,0,1,0,0,47.1,33.1
25,2,2.1667,10.6,16.3,0,0,1,0,1,54.3,34.1
25,3,2.7389,10.6,18.9,0,0,0,0,0,29.1,35.1
25,4,1.2891,10.6,20.2,0,0,0,0,0,39.6,36.1
25,5,3.0452,10.6,20.9,0,0,0,0,0,37.8,37.1
25,6,2.1547,10.6,23.1,0,0,1,0,0,43.5,38.1
26,1,2.4755,12.3,12.8,1,1,1,1,0,41.7,31.1
26,2,1.2314,12.3,14.5,1,1,1,1,0,37.2,32.1
26,3,2.0046,12.3,13.7,1,1,1,1,0,36.5,33.1
26,4,2.2931,12.3,15.4,1,1,1,1,0,31.1,34.1
26,5,2.2561,12.3,17.5,1,1,0,1,1,47.9,35.1
26,6,4.1387,12.3,18.6,1,1,1,1,0,43.7,36.1
27,1,3.0209,9.1,16.7,0,0,0,1,0,47.3,32.1
27,2,4.3952,9.1,17.9,0,0,1,1,0,37.5,33.1
27,3,1.8017,9.1,17.5,0,0,0,1,0,34.7,34.1
27,4,4.5747,9.1,19.6,0,0,1,1,1,31.4,35.1
27,5,2.7477,9.1,21.9,0,0,1,1,1,42.9,36.1
27,6,0.8467,9.1,22.6,0,0,1,1,0,31.7,37.1
28,1,1.5956,12.9,14.5,1,1,0,1,0,54.8,32.9
28,2,0.8508,12.9,15.0,1,1,0,1,0,29.5,33.9
28,3,-4.3041,12.9,16.0,1,1,1,1,0,42.2,34.9
28,4,0.6167,12.9,16.3,1,1,1,1,0,52.5,35.9
28,5,-4.3535,12.9,18.7,1,1,0,1,0,44.8,36.9
28,6,2.784,12.9,19.4,1,1,1,1,1,41.4,37.9
29,1,1.6597,10.5,17.8,0,1,1,1,0,32.3,33.8
29,2,1.2572,10.5,17.8,0,1,0,1,0,28.9,34.8
29,3,2.6119,10.5,17.2,0,1,0,1,0,46.2,35.8
29,4,3.1177,10.5,21.4,0,1,1,1,0,52.0,36.8
29,5,5.2498,10.5,20.8,0,1,1,1,0,36.5,37.8
29,6,2.2194,10.5,21.4,0,1,0,1,0,30.9,38.8
30,1,1.732,11.3,20.1,0,0,1,0,0,20.3,36.7
30,2,1.2306,11.3,20.0,0,0,1,0,0,32.2,37.7
30,3,0.9489,11.3,22.4,0,0,0,0,1,39.1,38.7
30,4,0.7832,11.3,23.0,0,0,0,0,0,52.8,39.7
30,5,1.6356,11.3,24.1,0,0,1,0,0,45.4,40.7
30,6,6.7884,11.3,23.0,0,0,0,0,0,42.4,41.7
31,1,-5.0588,10.5,17.2,0,0,0,1,1,36.8,32.5
31,2,1.0849,10.5,17.2,0,0,1,1,0,35.3,33.5
31,3,0.9886,10.5,17.6,0,0,0,1,0,51.2,34.5
31,4,2.9326,10.5,19.1,0,0,1,1,1,41.6,35.5
31,5,1.7631,10.5,18.2,0,0,1,1,0,23.2,36.5
31,6,2.0553,10.5,21.4,0,0,0,1,0,34.6,37.5
32,1,0.1061,16.6,4.9,0,1,1,0,0,33.1,28.6
32,2,1.837,16.6,5.6,0,1,1,0,1,35.6,29.6
32,3,-0.4353,16.6,6.4,0,1,1,0,0,44.5,30.6
32,4,2.2667,16.6,10.0,0,1,1,0,0,39.1,31.6
32,5,-0.4999,16.6,9.3,0,1,0,0,0,39.4,32.6
32,6,3.6617,16.6,12.5,0,1,0,0,1,50.5,33.6
33,1,2.2573,12.0,15.5,0,0,0,0,0,34.4,34.0
33,2,2.8701,12.0,15.4,0,0,1,0,0,54.9,35.0
33,3,2.0491,12.0,17.0,0,0,1,0,1,34.6,36.0
33,4,1.8636,12.0,20.3,0,0,1,0,0,40.7,37.0
33,5,0.2763,12.0,19.9,0,0,1,0,1,37.8,38.0
33,6,2.3871,12.0,20.5,0,0,1,0,1,41.0,39.0
34,1,1.7664,9.4,26.2,0,0,0,0,1,43.6,41.4
34,2,1.5533,9.4,27.5,0,0,0,0,0,43.5,42.4
34,3,2.3563,9.4,29.2,0,0,0,0,0,34.0,43.4
34,4,3.0142,9.4,30.5,0,0,1,0,1,31.0,44.4
34,5,2.5239,9.4,29.7,0,0,0,0,1,60.0,45.4
34,6,0.3256,9.4,29.7,0,0,1,0,0,36.1,46.4
35,1,2.7348,14.1,8.7,0,0,1,1,1,45.6,29.2
35,2,-0.2749,14.1,10.4,0,0,0,1,0,27.1,30.2
35,3,2.8838,14.1,10.2,0,0,0,1,0,37.8,31.2
35,4,1.9241,14.1,11.2,0,0,1,1,0,39.0,32.2
35,5,0.6427,14.1,13.5,0,0,1,1,1,43.8,33.2
35,6,4.081,14.1,14.1,0,0,1,1,0,18.2,34.2
36,1,1.6574,8.9,9.2,0,0,0,0,0,41.3,24.2
36,2,1.1861,8.9,9.4,0,0,1,0,1,30.8,25.2
36,3,-1.5754,8.9,11.0,0,0,0,0,0,42.6,26.2
36,4,1.5574,8.9,11.3,0,0,1,0,0,31.7,27.2
36,5,3.5407,8.9,14.1,0,0,1,0,0,33.2,28.2
36,6,1.7808,8.9,15.2,0,0,1,0,0,37.8,29.2
37,1,5.9544,12.5,16.3,0,0,1,0,0,31.6,36.6
37,2,0.7266,12.5,18.2,0,0,1,0,1,36.2,37.6
37,3,2.4284,12.5,18.6,0,0,0,0,0,30.5,38.6
37,4,3.5557,12.5,20.5,0,0,0,0,1,25.3,39.6
37,5,2.3534,12.5,22.0,0,0,0,0,0,48.1,40.6
37,6,0.0838,12.5,21.7,0,0,0,0,0,29.6,41.6
38,1,1.3165,7.1,15.3,1,0,0,1,0,38.6,29.3
38,2,1.3994,7.1,16.2,1,0,0,1,0,46.0,30.3
38,3,1.7701,7.1,18.4,1,0,0,1,0,35.1,31.3
38,4,1.9522,7.1,19.2,1,0,1,1,0,33.4,32.3
38,5,1.9934,7.1,19.5,1,0,1,1,0,41.8,33.3
38,6,1.6606,7.1,21.4,1,0,1,1,0,48.9,34.3
39,1,0.3815,8.7,2.8,1,0,1,0,0,30.6,18.0
39,2,1.0531,8.7,3.0,1,0,1,0,0,38.8,18.0
39,3,2.2752,8.7,6.0,1,0,0,0,1,26.1,19.0
39,4,3.8831,8.7,6.6,1,0,1,0,0,36.9,20.0
39,5,-0.6232,8.7,5.0,1,0,1,0,0,40.3,21.0
39,6,1.6055,8.7,8.1,1,0,1,0,1,33.2,22.0
40,1,1.4668,12.5,17.4,1,0,1,1,1,36.3,35.1
40,2,0.918,12.5,16.4,1,0,1,1,0,28.7,36.1
40,3,1.9858,12.5,19.4,1,0,1,1,0,40.6,37.1
40,4,2.2907,12.5,21.1,1,0,1,1,0,48.4,38.1
40,5,-3.0006,12.5,19.5,1,0,1,1,0,31.2,39.1
40,6,3.078,12.5,20.7,1,0,0,1,1,35.0,40.1
41,1,3.4484,13.8,8.0,0,1,0,0,0,44.0,26.8
41,2,5.7863,13.8,8.2,0,1,1,0,0,49.7,27.8
41,3,0.8388,13.8,9.5,0,1,1,0,1,28.1,28.8
41,4,2.4311,13.8,10.3,0,1,1,0,0,38.6,29.8
41,5,1.895,13.8,11.3,0,1,0,0,0,42.3,30.8
41,6,1.7153,13.8,10.6,0,1,1,0,1,39.2,31.8
42,1,1.8882,12.4,12.1,0,0,1,0,0,20.2,29.5
42,2,2.8681,12.4,13.2,0,0,0,0,1,44.0,30.5
42,3,-2.109,12.4,12.8,0,0,1,0,1,52.2,31.5
42,4,5.3323,12.4,14.0,0,0,1,0,0,40.9,32.5
42,5,2.9773,12.4,13.5,0,0,1,0,0,31.8,33.5
42,6,2.6364,12.4,16.5,0,0,0,0,0,35.9,34.5
43,1,2.7524,11.7,14.9,0,1,0,1,0,54.2,32.0
43,2,1.5785,11.7,15.2,0,1,0,1,0,47.3,33.0
43,3,2.8033,11.7,17.4,0,1,1,1,0,45.1,34.0
43,4,1.771,11.7,16.9,0,1,1,1,1,42.9,35.0
43,5,3.8434,11.7,18.8,0,1,0,1,0,34.7,36.0
43,6,0.674,11.7,18.3,0,1,0,1,0,38.4,37.0
44,1,1.4806,11.2,13.9,0,0,1,0,0,39.4,31.1
44,2,2.346,11.2,14.7,0,0,0,0,1,44.4,32.1
44,3,1.6274,11.2,16.1,0,0,1,0,0,52.1,33.1
44,4,1.978,11.2,16.5,0,0,1,0,0,48.9,34.1
44,5,2.2483,11.2,17.8,0,0,0,0,1,28.6,35.1
44,6,3.7336,11.2,19.7,0,0,1,0,0,41.8,36.1
45,1,1.6346,8.3,19.5,0,0,0,0,0,45.9,34.3
45,2,1.419,8.3,19.3,0,0,1,0,1,45.0,35.3
45,3,0.9599,8.3,23.7,0,0,1,0,0,35.0,36.3
45,4,1.5561,8.3,24.3,0,0,0,0,1,63.3,37.3
45,5,1.6597,8.3,22.7,0,0,0,0,0,29.8,38.3
45,6,2.4116,8.3,25.6,0,0,1,0,0,31.3,39.3
46,1,0.6034,10.2,10.7,0,0,1,0,1,41.9,27.4
46,2,1.1625,10.2,12.5,0,0,0,0,0,56.9,28.4
46,3,1.8492,10.2,13.5,0,0,1,0,0,33.3,29.4
46,4,1.8686,10.2,14.0,0,0,0,0,1,37.9,30.4
46,5,1.9725,10.2,14.4,0,0,0,0,1,48.6,31.4
46,6,3.3343,10.2,15.5,0,0,1,0,1,39.9,32.4
47,1,1.1162,10.8,15.3,0,0,1,0,0,37.3,33.1
47,2,1.6527,10.8,16.4,0,0,1,0,0,44.5,34.1
47,3,1.9639,10.8,18.2,0,0,0,0,0,42.2,35.1
47,4,0.7738,10.8,18.5,0,0,1,0,0,48.2,36.1
47,5,2.5172,10.8,20.9,0,0,1,0,1,50.3,37.1
47,6,1.856,10.8,22.7,0,0,1,0,0,42.5,38.1
48,1,1.484,14.6,7.2,0,0,0,1,0,42.3,28.4
48,2,3.0736,14.6,9.0,0,0,1,1,0,41.7,29.4
48,3,0.7498,14.6,10.3,0,0,1,1,0,43.9,30.4
48,4,3.8675,14.6,11.3,0,0,0,1,1,40.4,31.4
48,5,1.927,14.6,11.9,0,0,0,1,0,40.0,32.4
48,6,2.1209,14.6,13.5,0,0,0,1,0,49.6,33.4
49,1,4.1006,12.9,16.1,0,0,1,0,1,52.1,34.4
49,2,3.4713,12.9,15.3,0,0,1,0,0,27.9,35.4
49,3,2.4469,12.9,18.4,0,0,0,0,0,40.1,36.4
49,4,3.1407,12.9,19.5,0,0,1,0,0,34.5,37.4
49,5,1.9665,12.9,18.8,0,0,0,0,0,37.5,38.4
49,6,2.3107,12.9,20.6,0,0,0,0,0,43.2,39.4
50,1,-0.4874,7.6,20.8,0,0,1,1,1,45.4,33.7
50,2,-0.2923,7.6,20.9,0,0,0,1,0,39.1,34.7
50,3,2.5745,7.6,23.2,0,0,0,1,1,24.7,35.7
50,4,-0.4723,7.6,25.5,0,0,1,1,1,32.3,36.7
50,5,0.4108,7.6,23.3,0,0,1,1,0,47.2,37.7
50,6,2.3383,7.6,23.7,0,0,1,1,0,18.1,38.7
51,1,-6.0613,12.8,5.9,0,0,1,0,0,49.5,24.4
51,2,1.185,12.8,7.3,0,0,1,0,0,44.2,25.4
51,3,2.2452,12.8,7.3,0,0,0,0,1,50.5,26.4
51,4,2.2235,12.8,10.0,0,0,0,0,0,38.4,27.4
51,5,3.0136,12.8,8.2,0,0,1,0,0,23.5,28.4
51,6,2.0383,12.8,11.3,0,0,1,0,0,43.4,29.4
52,1,1.6512,11.0,18.9,1,1,0,1,0,50.2,36.5
52,2,2.413,11.0,22.2,1,1,1,1,0,47.4,37.5
52,3,1.6862,11.0,23.5,1,1,0,1,0,34.7,38.5
52,4,1.9996,11.0,21.7,1,1,1,1,0,40.7,39.5
52,5,3.5581,11.0,22.9,1,1,1,1,0,35.7,40.5
52,6,1.5013,11.0,25.3,1,1,1,1,0,33.4,41.5
53,1,1.2194,10.3,10.1,0,0,0,1,0,47.6,26.8
53,2,-4.0011,10.3,11.4,0,0,1,1,0,30.4,27.8
53,3,1.8498,10.3,12.5,0,0,0,1,0,32.8,28.8
53,4,-1.5937,10.3,11.6,0,0,1,1,0,31.2,29.8
53,5,1.662,10.3,14.5,0,0,1,1,0,28.1,30.8
53,6,2.8164,10.3,14.8,0,0,1,1,1,41.2,31.8
54,1,2.1603,13.5,14.8,0,0,0,1,0,49.3,34.8
54,2,1.2501,13.5,17.8,0,0,0,1,0,38.5,35.8
54,3,3.3254,13.5,16.1,0,0,1,1,1,28.0,36.8
54,4,1.4414,13.5,19.1,0,0,1,1,1,46.7,37.8
54,5,2.9627,13.5,19.0,0,0,1,1,0,53.5,38.8
54,6,2.4822,13.5,20.0,0,0,1,1,0,34.8,39.8
55,1,0.437,14.6,12.4,0,1,1,0,0,36.2,32.2
55,2,4.325,14.6,13.0,0,1,0,0,0,44.1,33.2
55,3,0.7789,14.6,14.2,0,1,0,0,1,53.0,34.2
55,4,7.5894,14.6,15.6,0,1,1,0,0,35.8,35.2
55,5,-4.0167,14.6,15.3,0,1,1,0,0,29.3,36.2
55,6,1.0819,14.6,16.0,0,1,0,0,0,45.1,37.2
56,1,0.9149,14.3,19.6,0,0,0,0,0,46.4,41.0
56,2,-2.7795,14.3,20.9,0,0,1,0,0,40.0,42.0
56,3,3.3382,14.3,25.6,0,0,1,0,1,35.5,43.0
56,4,3.0191,14.3,24.9,0,0,1,0,0,48.0,44.0
56,5,3.5533,14.3,23.3,0,0,1,0,0,44.2,45.0
56,6,1.3781,14.3,24.4,0,0,1,0,0,33.9,46.0
57,1,1.9169,9.9,13.2,0,0,1,0,0,40.4,28.7
57,2,2.4521,9.9,14.3,0,0,0,0,0,29.2,29.7
57,3,2.0637,9.9,15.3,0,0,1,0,1,45.5,30.7
57,4,2.6578,9.9,15.5,0,0,1,0,0,37.9,31.7
57,5,2.5829,9.9,16.6,0,0,1,0,1,36.5,32.7
57,6,0.4241,9.9,18.1,0,0,0,0,0,39.7,33.7
58,1,2.6631,11.2,10.8,0,1,0,1,0,40.3,27.9
58,2,2.4018,11.2,9.5,0,1,1,1,0,47.2,28.9
58,3,2.2229,11.2,12.4,0,1,1,1,0,44.7,29.9
58,4,0.4797,11.2,12.8,0,1,0,1,1,38.7,30.9
58,5,1.0962,11.2,14.9,0,1,1,1,0,46.1,31.9
58,6,1.6136,11.2,18.7,0,1,1,1,0,43.2,32.9
59,1,1.2059,12.8,11.4,0,0,1,1,0,36.6,29.9
59,2,1.0677,12.8,11.7,0,0,1,1,1,39.0,30.9
59,3,3.1923,12.8,14.0,0,0,1,1,0,38.8,31.9
59,4,2.3708,12.8,14.5,0,0,0,1,0,44.0,32.9
59,5,2.1565,12.8,15.5,0,0,0,1,0,37.1,33.9
59,6,1.0289,12.8,16.7,0,0,1,1,0,36.9,34.9
60,1,3.983,14.4,9.8,0,1,0,1,0,55.8,28.2
60,2,0.2833,14.4,7.6,0,1,1,1,1,47.5,29.2
60,3,2.7849,14.4,10.2,0,1,1,1,0,33.9,30.2
60,4,5.2159,14.4,9.8,0,1,0,1,0,44.6,31.2
60,5,2.3868,14.4,12.3,0,1,0,1,0,40.9,32.2
60,6,7.4198,14.4,11.8,0,1,1,1,0,43.1,33.2
61,1,2.4057,10.8,17.6,0,1,1,0,0,41.1,34.8
61,2,1.0848,10.8,18.7,0,1,0,0,1,49.5,35.8
61,3,1.0404,10.8,21.0,0,1,0,0,1,42.8,36.8
61,4,1.602,10.8,21.9,0,1,0,0,1,39.5,37.8
61,5,-2.8731,10.8,20.8,0,1,1,0,1,48.3,38.8
61,6,2.5895,10.8,23.1,0,1,1,0,0,41.9,39.8
62,1,0.5564,11.5,2.1,0,0,1,1,0,41.0,20.3
62,2,2.491,11.5,2.5,0,0,1,1,0,42.5,21.3
62,3,0.9241,11.5,4.5,0,0,0,1,0,39.3,22.3
62,4,1.3467,11.5,5.5,0,0,1,1,0,40.1,23.3
62,5,4.6469,11.5,9.2,0,0,1,1,0,35.3,24.3
62,6,0.5405,11.5,8.2,0,0,0,1,0,34.0,25.3
63,1,1.8372,9.2,7.1,1,0,1,1,1,32.0,23.7
63,2,1.8955,9.2,8.9,1,0,1,1,0,28.9,24.7
63,3,0.4017,9.2,11.5,1,0,0,1,1,33.0,25.7
63,4,1.1987,9.2,13.5,1,0,0,1,0,38.6,26.7
63,5,0.7615,9.2,10.9,1,0,0,1,0,40.8,27.7
63,6,2.0283,9.2,11.6,1,0,1,1,0,37.8,28.7
64,1,1.9437,9.0,10.5,0,0,0,0,0,21.2,23.6
64,2,1.5777,9.0,10.0,0,0,0,0,0,52.6,24.6
64,3,2.5556,9.0,9.7,0,0,1,0,0,48.7,25.6
64,4,0.914,9.0,12.1,0,0,1,0,0,43.6,26.6
64,5,2.392,9.0,9.9,0,0,0,0,0,55.3,27.6
64,6,3.1675,9.0,13.6,0,0,1,0,0,32.2,28.6
65,1,3.8816,14.0,16.0,0,0,0,0,0,55.1,35.7
65,2,3.1527,14.0,17.6,0,0,1,0,0,32.3,36.7
65,3,1.6866,14.0,16.7,0,0,1,0,0,41.9,37.7
65,4,6.6208,14.0,18.8,0,0,1,0,0,29.8,38.7
65,5,1.569,14.0,18.7,0,0,0,0,0,40.1,39.7
65,6,2.4863,14.0,20.9,0,0,1,0,0,43.1,40.7
66,1,0.4817,15.4,18.0,1,0,1,1,0,38.8,40.3
66,2,6.8947,15.4,19.5,1,0,0,1,1,45.7,41.3
66,3,2.871,15.4,19.9,1,0,0,1,0,40.8,42.3
66,4,3.1681,15.4,22.5,1,0,0,1,0,35.8,43.3
66,5,-0.7517,15.4,23.7,1,0,1,1,0,35.5,44.3
66,6,3.2908,15.4,23.6,1,0,1,1,0,46.5,45.3
67,1,2.7198,11.8,11.6,0,1,0,1,0,34.8,29.4
67,2,2.259,11.8,11.1,0,1,0,1,0,47.3,30.4
