firm_id,month,returns,size,book_to_market,momentum,volatility,sector
2,57,1.2021,8.5162,0.1061,-0.3718,0.7686,Consumer
2,58,0.1213,8.6391,0.1542,0.5093,0.1611,Consumer
2,59,-0.2307,8.459,0.1604,0.1057,0.1388,Consumer
2,60,-0.0345,8.3885,0.0483,0.295,0.0985,Consumer
3,1,0.8781,8.8219,1.1973,0.1597,0.4847,Healthcare
3,2,2.1188,9.221,1.2592,-0.0878,1.0607,Healthcare
3,3,1.0584,8.9985,1.289,-0.0662,0.6405,Healthcare
3,4,2.0908,9.0783,1.2244,0.2367,1.17,Healthcare
3,5,0.998,9.2154,1.3553,0.5911,0.5538,Healthcare
3,6,1.2078,9.0476,1.3816,-0.0029,0.6561,Healthcare
3,7,1.3114,9.0054,1.2931,0.4522,0.7446,Healthcare
3,8,1.2406,9.1668,1.2351,0.3768,0.7645,Healthcare
3,9,0.1818,9.0709,1.3085,0.0042,0.6097,Healthcare
3,10,1.5376,9.0835,1.2349,0.4301,0.8663,Healthcare
3,11,1.2397,8.8725,1.3413,0.4058,1.0266,Healthcare
3,12,0.5285,9.1454,1.2726,-0.5436,0.8173,Healthcare
3,13,0.3972,9.0624,1.3205,0.3105,0.3392,Healthcare
3,14,0.4175,8.8877,1.3293,0.4842,0.3321,Healthcare
3,15,1.1935,9.0734,1.3111,-0.2502,0.6061,Healthcare
3,16,0.5488,8.8186,1.3734,-0.2941,0.3123,Healthcare
3,17,0.3895,9.259,1.2931,0.1624,1.1395,Healthcare
3,18,1.6788,8.9147,1.259,0.5736,1.045,Healthcare
3,19,-0.5141,9.186,1.1791,-0.2264,0.4224,Healthcare
3,20,1.1277,8.9436,1.17,-0.3734,0.6893,Healthcare
3,21,0.9955,9.0809,1.3168,-0.036,0.67,Healthcare
3,22,1.2923,8.9336,1.275,-0.0778,0.8174,Healthcare
3,23,1.7606,9.1246,1.2434,-0.4013,0.9179,Healthcare
3,24,1.2077,9.0013,1.2285,-0.0753,0.8342,Healthcare
3,25,2.2021,9.0716,1.3212,0.2046,1.1949,Healthcare
3,26,0.7153,9.0264,1.235,0.6569,0.539,Healthcare
3,27,-0.004,8.8883,1.3657,0.2685,0.0661,Healthcare
3,28,3.068,9.0753,1.4017,0.3418,1.6632,Healthcare
3,29,0.093,8.9745,1.2392,-0.2265,0.2458,Healthcare
3,30,2.2322,9.1294,1.3177,0.0717,1.258,Healthcare
3,31,-0.019,9.0013,1.3062,0.0339,0.16,Healthcare
3,32,2.3171,9.0172,1.2348,0.1978,1.1893,Healthcare
3,33,0.6207,9.1931,1.2351,0.279,0.4161,Healthcare
3,34,0.9369,9.263,1.278,0.3859,0.5166,Healthcare
3,35,-0.0428,9.1035,1.2272,0.1096,0.0907,Healthcare
3,36,0.6019,8.9961,1.3387,-0.0569,0.5438,Healthcare
3,37,2.1608,8.9874,1.2719,0.4672,1.0877,Healthcare
3,38,1.1937,8.943,1.2281,0.3175,0.6415,Healthcare
3,39,2.1482,8.9623,1.2797,0.2854,1.3076,Healthcare
3,40,0.7951,8.9975,1.3075,0.0882,0.6785,Healthcare
3,41,1.8932,9.2213,1.2479,0.4649,0.9825,Healthcare
3,42,-0.4094,9.0051,1.1845,-0.2771,0.2318,Healthcare
3,43,1.027,8.9022,1.2905,0.3679,0.7544,Healthcare
3,44,0.1033,9.029,1.2233,0.3664,0.2412,Healthcare
3,45,5.1871,9.0427,1.2445,-0.1702,2.7178,Healthcare
3,46,2.3019,9.0284,1.3076,-0.1042,1.2428,Healthcare
3,47,0.1851,9.1048,1.2548,-0.2855,0.4048,Healthcare
3,48,-1.996,9.0317,1.2771,0.2531,1.0471,Healthcare
3,49,0.6928,9.1017,1.3568,-0.6745,0.5028,Healthcare
3,50,-0.1618,8.9468,1.2666,0.167,0.4798,Healthcare
3,51,0.7488,9.2029,1.3852,-0.1291,0.4027,Healthcare
3,52,0.9854,9.0501,1.3212,-0.1953,0.5249,Healthcare
3,53,3.6604,9.0649,1.2376,-0.4634,1.8492,Healthcare
3,54,1.5875,8.9464,1.2603,-0.1659,0.8404,Healthcare
3,55,2.1783,9.072,1.221,0.5289,1.2154,Healthcare
3,56,1.9454,9.09,1.316,-0.1158,1.0326,Healthcare
3,57,0.2636,8.9079,1.3504,0.2259,0.2547,Healthcare
3,58,1.5494,8.8589,1.2662,-0.2273,0.8737,Healthcare
3,59,0.8113,9.0542,1.1911,0.4078,0.5192,Healthcare
3,60,1.1105,8.976,1.3022,0.2815,1.0105,Healthcare
4,1,-1.5536,9.113,0.7587,0.0317,0.8116,Consumer
4,2,0.4045,8.9579,0.7663,0.1695,0.3689,Consumer
4,3,-1.4302,8.9309,0.8174,0.1953,0.8117,Consumer
4,4,0.2818,9.1076,0.8634,-0.2003,0.3116,Consumer
4,5,1.2409,9.052,0.8388,-0.144,0.7572,Consumer
4,6,-0.0756,8.8759,0.8233,0.3754,0.2496,Consumer
4,7,0.8751,9.2213,0.7939,0.564,0.552,Consumer
4,8,0.3082,8.9562,0.7358,0.1441,0.3356,Consumer
4,9,1.6945,9.3443,0.8192,0.3078,1.0466,Consumer
4,10,-0.508,9.0246,0.8377,0.4614,0.2834,Consumer
4,11,0.2104,9.1271,0.772,0.0026,0.4935,Consumer
4,12,0.4404,9.2517,0.7835,0.077,0.4136,Consumer
4,13,1.6739,9.2349,0.8573,0.3143,0.8522,Consumer
4,14,2.0588,9.2856,0.7822,0.755,1.3253,Consumer
4,15,0.1016,8.9347,0.7883,0.3248,0.0825,Consumer
4,16,2.6168,8.9734,0.7974,0.1911,1.4408,Consumer
4,17,-0.2079,9.1096,0.8351,-0.0761,0.1603,Consumer
4,18,1.8,9.171,0.8165,0.0826,1.0286,Consumer
4,19,0.9975,9.0859,0.8128,0.3063,0.8273,Consumer
4,20,0.6252,8.9232,0.8777,0.2742,0.6446,Consumer
4,21,-0.523,9.1366,0.7813,-0.0799,0.4928,Consumer
4,22,-1.0483,9.0676,0.7543,0.493,0.777,Consumer
4,23,0.0087,9.0664,0.8529,0.4933,0.1107,Consumer
4,24,0.8046,8.8592,0.8133,0.0667,0.7065,Consumer
4,25,-1.8101,9.1667,0.7723,0.1841,0.9994,Consumer
4,26,-1.334,9.1015,0.7838,-0.0922,0.702,Consumer
4,27,-1.1222,9.2665,0.7381,-0.1426,0.9034,Consumer
4,28,0.8644,9.0795,0.8134,0.2041,0.5245,Consumer
4,29,0.1029,9.1436,0.7287,-0.1342,0.1892,Consumer
4,30,0.5339,9.1702,0.8359,0.2945,0.4147,Consumer
4,31,0.2723,8.9124,0.7757,-0.0191,0.149,Consumer
4,32,1.1099,9.3486,0.7321,0.415,0.6205,Consumer
4,33,0.1847,9.0439,0.8567,0.0743,0.159,Consumer
4,34,0.3446,9.1364,0.9146,-0.477,0.3615,Consumer
4,35,0.9164,9.151,0.8237,-0.0116,0.6278,Consumer
4,36,1.6131,9.0055,0.7875,0.1321,1.482,Consumer
4,37,-1.9466,9.2717,0.7538,-0.4201,1.1703,Consumer
4,38,-0.2656,9.1136,0.8149,-0.3923,0.1706,Consumer
4,39,-0.2736,9.0656,0.8336,0.0437,0.2004,Consumer
4,40,0.5872,9.1008,0.8021,0.4014,0.321,Consumer
4,41,0.2919,9.1634,0.8466,0.2894,0.443,Consumer
4,42,-0.0208,9.0881,0.8775,0.0957,0.2909,Consumer
4,43,-0.9914,9.1752,0.7388,-0.1558,0.863,Consumer
4,44,0.3907,8.9185,0.8165,-0.1704,0.3571,Consumer
4,45,1.1462,9.0122,0.7066,0.2947,0.6201,Consumer
4,46,1.1018,8.8731,0.7611,0.1595,0.8914,Consumer
4,47,-0.3708,9.2867,0.8378,0.3563,0.2332,Consumer
4,48,0.5365,9.2854,0.7995,0.4612,0.341,Consumer
4,49,0.236,9.1496,0.7213,-0.0362,0.1213,Consumer
4,50,-0.3058,8.9857,0.8543,0.232,0.2823,Consumer
4,51,0.3644,9.326,0.7746,0.2716,0.268,Consumer
4,52,-0.0486,9.0265,0.8443,-0.1092,0.1809,Consumer
4,53,0.9311,9.0657,0.8274,-0.0935,0.9816,Consumer
4,54,0.4995,9.1029,0.7601,0.3168,0.2586,Consumer
4,55,0.5256,9.1321,0.8452,0.1005,0.2772,Consumer
4,56,0.0324,9.1514,0.8177,-0.1619,0.1407,Consumer
4,57,0.2511,9.1554,0.8105,-0.1457,1.05,Consumer
4,58,1.0922,9.0725,0.7784,-0.2851,0.597,Consumer
4,59,-0.5694,9.1538,0.7467,-0.0075,0.4,Consumer
4,60,2.3861,9.0681,0.7809,-0.2087,1.2272,Consumer
5,1,0.4698,8.1141,1.0184,0.1307,0.3481,Consumer
5,2,0.7033,8.1059,1.083,0.7844,0.382,Consumer
5,3,0.2291,8.1325,0.9579,0.2381,0.1438,Consumer
5,4,0.8115,8.12,1.1139,0.4201,0.4678,Consumer
5,5,0.5989,8.012,1.1167,0.2202,0.7205,Consumer
5,6,-0.5435,8.1021,1.0083,-0.3948,0.4333,Consumer
5,7,-0.6158,8.1215,1.1105,0.138,0.3776,Consumer
5,8,-0.8146,7.9271,0.9901,-0.1048,0.56,Consumer
5,9,-0.5302,8.0288,1.0967,-0.1473,0.2985,Consumer
5,10,2.3769,8.117,0.9994,0.032,1.3406,Consumer
5,11,1.3347,8.2271,1.092,0.2893,1.0467,Consumer
5,12,-0.9392,8.1387,0.9685,0.0084,0.8841,Consumer
5,13,1.1447,8.2334,1.0945,0.3576,0.7048,Consumer
5,14,-0.5792,8.0164,1.1048,0.155,0.6071,Consumer
5,15,-0.1772,8.0812,0.9669,0.1952,0.1621,Consumer
5,16,0.8896,8.1368,1.1282,0.0823,0.77,Consumer
5,17,0.3863,7.8236,1.0913,0.4858,0.2542,Consumer
5,18,1.3944,8.2073,0.9405,-0.1103,0.8794,Consumer
5,19,-1.0394,7.8701,1.0159,-0.0933,0.8965,Consumer
5,20,2.1293,8.1559,1.0923,0.0045,1.1895,Consumer
5,21,1.8621,8.1249,1.0765,0.2507,0.9792,Consumer
5,22,-0.5843,7.8222,1.046,0.2912,0.4717,Consumer
5,23,-0.4662,7.8273,1.0868,-0.0681,0.2511,Consumer
5,24,0.9204,8.1994,0.9967,0.3691,0.5238,Consumer
5,25,0.3326,8.1777,1.0427,-0.1941,0.5056,Consumer
5,26,0.5361,7.9681,0.9981,0.3139,0.4684,Consumer
5,27,-0.0628,7.968,1.0471,0.2073,0.0398,Consumer
5,28,1.0781,8.1075,1.0904,0.1052,0.667,Consumer
5,29,-0.5604,8.0549,1.0795,0.2419,0.323,Consumer
5,30,0.0674,8.1616,1.0515,0.0643,0.0357,Consumer
5,31,0.1091,8.1042,1.0899,0.1766,0.1012,Consumer
5,32,1.0936,8.2145,1.0948,0.8218,0.7699,Consumer
5,33,1.2378,8.1532,1.1302,0.3683,0.6961,Consumer
5,34,1.5845,8.1283,1.0988,-0.0626,0.8386,Consumer
5,35,0.136,8.021,1.0732,0.0084,1.0929,Consumer
5,36,0.2988,8.0137,1.0871,0.4625,0.2784,Consumer
5,37,-0.0782,8.051,1.0526,-0.0184,0.0768,Consumer
5,38,1.3434,8.2403,1.0264,0.6102,0.7057,Consumer
5,39,0.0359,8.0156,1.0838,0.3296,0.0343,Consumer
5,40,0.4978,8.0823,1.0782,-0.3068,0.3908,Consumer
5,41,-0.2167,7.8317,1.055,0.3605,0.4255,Consumer
5,42,-0.2033,8.1238,1.0306,-0.5469,0.3965,Consumer
5,43,-0.9741,8.2819,1.0279,-0.0045,0.9088,Consumer
5,44,1.7778,7.9628,1.0199,0.3566,0.8924,Consumer
5,45,-0.4089,8.3736,1.1032,-0.4599,0.328,Consumer
5,46,1.2246,8.0744,1.0993,0.7088,0.9854,Consumer
5,47,1.9843,7.7989,1.0972,0.3905,1.338,Consumer
5,48,0.2854,8.0176,0.9878,-0.1937,0.1901,Consumer
5,49,0.1834,8.1892,1.0224,0.556,0.1963,Consumer
5,50,-0.2795,8.2561,1.0275,-0.4729,0.1549,Consumer
5,51,1.1084,8.128,1.0101,-0.2023,0.6023,Consumer
5,52,0.966,8.213,1.1335,-0.3245,1.2069,Consumer
5,53,-1.3737,7.9384,1.0604,-0.4925,0.8188,Consumer
5,54,-1.6083,7.9882,1.0568,0.0001,1.8069,Consumer
5,55,-0.0868,7.8883,1.0171,0.1573,0.0459,Consumer
5,56,1.6927,7.9957,1.0835,0.1484,1.3793,Consumer
5,57,2.8672,8.1324,1.15,0.1391,1.4991,Consumer
5,58,0.476,8.0775,1.0444,0.1158,0.251,Consumer
5,59,-2.2367,8.143,1.0287,-0.2544,1.1324,Consumer
5,60,-0.6049,7.9625,1.0358,-0.0507,0.3657,Consumer
6,1,0.3024,5.5183,0.1723,-0.7253,0.2475,Finance
6,2,-0.1711,5.6263,0.1883,0.4239,0.0989,Finance
6,3,-1.8656,5.5456,0.1579,0.1284,1.2189,Finance
6,4,-1.2496,5.736,0.1441,0.1205,0.7246,Finance
6,5,-0.8735,5.5431,0.1874,0.3338,0.5049,Finance
6,6,-0.7971,5.5563,0.1925,0.3553,0.5091,Finance
6,7,-0.7303,5.6477,0.1748,-0.0084,0.4654,Finance
6,8,-2.366,5.5669,0.2613,0.0649,1.1993,Finance
6,9,-0.2223,5.4823,0.2092,0.5698,0.1189,Finance
6,10,1.6361,5.4959,0.2256,-0.0756,0.9883,Finance
6,11,-3.5222,5.6596,0.2269,0.5672,1.8614,Finance
6,12,2.8464,5.47,0.1937,-0.0051,1.4269,Finance
6,13,-0.1371,5.7455,0.1994,-0.4725,0.2334,Finance
6,14,-1.5429,5.5368,0.1454,0.1269,0.9549,Finance
6,15,-0.9142,5.6674,0.2212,-0.0074,0.9832,Finance
6,16,-0.7259,5.5428,0.1718,-0.3045,0.5121,Finance
6,17,0.1409,5.5143,0.1564,0.0757,0.1187,Finance
6,18,-1.0518,5.6304,0.2535,-0.0457,0.5668,Finance
6,19,-0.7067,5.711,0.1218,0.6622,0.4451,Finance
6,20,-1.1361,5.5811,0.2744,0.3905,0.5826,Finance
6,21,-0.9285,5.5993,0.2704,-0.1884,0.567,Finance
6,22,-0.5123,5.6866,0.1773,-0.1221,0.3157,Finance
6,23,-1.5159,5.6899,0.2777,0.4002,1.0236,Finance
6,24,-1.4132,5.602,0.144,0.4638,0.8847,Finance
6,25,-2.276,5.5615,0.2381,0.0001,1.1825,Finance
6,26,0.8729,5.6141,0.1893,-0.0443,0.5341,Finance
6,27,-2.1108,5.5867,0.0981,0.0619,1.2447,Finance
6,28,0.6777,5.6371,0.1569,0.187,0.3674,Finance
6,29,0.5794,5.4864,0.1797,0.3177,0.8108,Finance
6,30,-0.8713,5.6335,0.2274,0.3332,0.4501,Finance
6,31,-2.4419,5.534,0.1646,-0.2167,1.6804,Finance
6,32,-1.4803,5.6964,0.1748,-0.0079,0.7427,Finance
6,33,-0.8049,5.5386,0.2155,-0.5264,0.5015,Finance
6,34,-1.6186,5.5403,0.2128,0.0929,0.8603,Finance
6,35,0.6505,5.6504,0.1838,-0.3164,0.8399,Finance
6,36,-1.2044,5.6072,0.1733,-0.1195,0.8924,Finance
6,37,-0.5424,5.8335,0.2354,0.4312,0.6205,Finance
6,38,-1.9054,5.4429,0.173,0.217,1.0542,Finance
6,39,1.0454,5.6168,0.129,0.2047,0.5395,Finance
6,40,-0.7947,5.7188,0.1687,0.1007,0.4399,Finance
6,41,-3.8011,5.548,0.2158,0.5211,2.0141,Finance
6,42,-1.06,5.5148,0.181,-0.0884,0.6039,Finance
6,43,-0.6233,5.5187,0.1633,0.1491,0.3712,Finance
6,44,-4.6665,5.4446,0.1257,0.1331,2.3874,Finance
6,45,-0.5986,5.7408,0.1812,-0.0046,0.3393,Finance
6,46,-1.3446,5.5729,0.1998,0.7415,0.7881,Finance
6,47,0.4284,5.561,0.1381,-0.2663,0.389,Finance
6,48,-0.4369,5.3934,0.179,-0.4545,0.3947,Finance
6,49,-0.9717,5.4625,0.1337,0.1324,0.4927,Finance
6,50,-0.5039,5.7524,0.182,-0.0809,0.2561,Finance
6,51,-2.3534,5.6361,0.2747,-0.5964,1.1904,Finance
6,52,1.573,5.7225,0.197,0.2128,0.7892,Finance
6,53,-1.215,5.7098,0.1093,0.1725,0.6946,Finance
6,54,-0.7737,5.5058,0.205,0.4367,0.3951,Finance
6,55,0.4671,5.8488,0.254,-0.0668,0.3194,Finance
6,56,-1.0324,5.8008,0.1192,-0.4577,0.5778,Finance
6,57,0.305,5.5494,0.1362,-0.1815,0.1615,Finance
6,58,-1.4948,5.249,0.2013,-0.4766,0.7607,Finance
6,59,-2.1098,5.5702,0.1841,0.549,1.2767,Finance
6,60,-0.4918,5.6297,0.249,0.4017,0.4393,Finance
7,1,0.6392,9.5226,0.964,0.485,0.3702,Healthcare
7,2,0.2569,9.5572,1.0143,0.2999,0.1493,Healthcare
7,3,1.0194,9.4965,1.0494,-0.3201,0.5758,Healthcare
7,4,1.4609,9.6715,0.9297,-0.0212,0.8297,Healthcare
7,5,1.2935,9.5857,1.0104,0.3377,0.756,Healthcare
7,6,-0.5315,9.6745,0.953,-0.4098,0.2695,Healthcare
7,7,0.9603,9.7016,0.8623,0.2322,0.618,Healthcare
7,8,1.1288,9.3619,0.9969,0.3335,0.7136,Healthcare
7,9,0.9382,9.5023,1.003,0.779,0.6236,Healthcare
7,10,0.977,9.5169,0.8956,0.3867,0.6362,Healthcare
7,11,-2.2643,9.8365,0.9503,0.2425,1.6035,Healthcare
7,12,2.7742,9.5942,0.9419,0.1085,1.5726,Healthcare
7,13,1.6336,9.6606,1.0135,0.263,0.874,Healthcare
7,14,0.3316,9.3913,0.8956,0.2831,0.4166,Healthcare
7,15,0.7454,9.5937,0.9784,-0.5215,0.4574,Healthcare
7,16,0.8267,9.6772,0.856,0.164,0.4227,Healthcare
7,17,0.6279,9.6655,0.992,-0.6934,0.4709,Healthcare
7,18,1.7246,9.6417,0.9793,-0.5761,0.9346,Healthcare
7,19,0.8856,9.5806,0.9475,0.1126,0.8424,Healthcare
7,20,0.7953,9.5855,1.0444,0.2436,0.4604,Healthcare
7,21,-0.3355,9.41,0.8419,-0.2978,0.1747,Healthcare
7,22,0.2889,9.4893,0.9721,0.4281,0.5845,Healthcare
7,23,0.5962,9.6024,1.0329,0.5559,0.566,Healthcare
7,24,-0.0642,9.5077,0.9795,0.3418,0.6141,Healthcare
7,25,0.5538,9.6482,1.0413,0.092,0.3069,Healthcare
7,26,1.9853,9.626,0.9505,0.1919,0.9959,Healthcare
7,27,0.1049,9.7161,0.9647,0.1339,0.5051,Healthcare
7,28,-0.2256,9.6752,1.0347,0.1642,0.3162,Healthcare
7,29,1.3995,9.6021,1.0178,-0.2072,0.9915,Healthcare
7,30,1.1958,9.6541,1.093,-0.0118,0.5985,Healthcare
7,31,1.7577,9.6799,0.9782,0.1179,1.0394,Healthcare
7,32,1.2928,9.5286,0.983,0.2011,0.8328,Healthcare
7,33,0.2943,9.5464,0.95,0.2769,0.2103,Healthcare
7,34,4.6958,9.5697,0.9628,-0.1995,2.4441,Healthcare
7,35,0.6981,9.5318,1.0269,0.0482,0.3704,Healthcare
7,36,1.5222,9.6809,0.973,0.0195,0.7736,Healthcare
7,37,-0.1166,9.5166,0.9327,0.6878,0.3078,Healthcare
7,38,0.463,9.7045,0.9542,0.1749,0.4905,Healthcare
7,39,1.4338,9.5426,0.9685,0.3021,0.7562,Healthcare
7,40,0.1136,9.6266,0.9359,0.3989,0.3114,Healthcare
7,41,0.2851,9.596,0.9501,0.3561,0.2104,Healthcare
7,42,0.2541,9.4817,0.923,-0.5104,0.1782,Healthcare
7,43,0.6191,9.5774,0.9519,0.0465,0.5452,Healthcare
7,44,0.2905,9.6127,1.0313,0.3034,0.3292,Healthcare
7,45,-2.6203,9.5729,0.9755,0.139,1.4614,Healthcare
7,46,0.8767,9.4451,1.0961,-0.4004,0.6764,Healthcare
7,47,1.6482,9.7495,0.9348,-0.213,1.1225,Healthcare
