firm_id,year,log_output,log_capital,log_labor,log_materials,profit,size,capital,labor,sector,exporter
5,2017,5.0317,6.3826,5.2151,6.6377,-0.0293,4.7531,-0.5111,0.1874,Finance,0
5,2018,5.5794,5.8172,5.2891,6.3999,0.0102,4.93,-0.89,0.2449,Finance,0
5,2019,5.1641,6.2907,5.0589,6.7784,0.0687,3.7356,-0.5727,0.0659,Finance,0
5,2020,4.8334,6.4614,5.1757,6.9819,0.0353,4.7512,-0.4583,0.1567,Finance,0
5,2021,4.9656,5.974,5.1864,6.5443,-0.0007,3.935,-0.7849,0.1651,Finance,0
6,2010,5.6833,8.908,4.9346,5.7326,-0.0283,5.6136,1.1813,-0.0306,Services,0
6,2011,5.9153,8.6573,5.4257,5.8101,0.0214,4.7038,1.0133,0.351,Services,0
6,2012,5.4298,8.4325,4.8669,5.7678,-0.0022,6.3727,0.8626,-0.0832,Services,0
6,2013,5.2036,8.5624,4.8833,5.5895,0.0788,5.5683,0.9496,-0.0705,Services,0
6,2014,5.3114,8.6852,5.2752,5.4247,0.1026,5.5215,1.0319,0.2341,Services,0
6,2015,5.4142,8.5887,5.185,5.5481,0.1784,6.014,0.9673,0.164,Services,0
6,2016,5.4064,8.6813,4.9241,5.6561,0.1828,5.2967,1.0293,-0.0388,Services,0
6,2017,5.2539,8.3894,5.1691,5.746,0.1397,5.1768,0.8337,0.1516,Services,0
6,2018,5.4564,8.6074,5.2982,5.6312,0.0094,6.6483,0.9798,0.252,Services,0
6,2019,5.6647,8.2908,5.0735,5.4884,0.1611,6.5718,0.7676,0.0773,Services,0
6,2020,6.2244,8.5513,5.4679,5.6755,0.064,5.62,0.9422,0.3838,Services,0
6,2021,5.6972,8.3927,4.8194,5.7364,0.2219,6.1759,0.836,-0.1202,Services,0
7,2010,5.7641,5.7964,6.08,6.3686,-0.107,4.9002,-0.904,0.8596,Technology,1
7,2011,5.7469,6.1907,6.1509,6.1254,0.0101,4.2337,-0.6397,0.9147,Technology,1
7,2012,5.7142,6.1617,6.1096,6.2564,0.0586,4.4497,-0.6591,0.8826,Technology,1
7,2013,5.3329,6.0653,5.9453,6.4822,0.1057,5.5918,-0.7237,0.7549,Technology,1
7,2014,5.2534,5.725,5.9324,6.016,-0.1114,3.9288,-0.9518,0.7449,Technology,1
7,2015,5.1345,5.8802,6.0426,5.874,0.035,5.8934,-0.8478,0.8305,Technology,1
7,2016,5.4863,6.1861,6.0983,6.5943,0.0275,4.6369,-0.6428,0.8738,Technology,1
7,2017,5.4472,5.9718,6.0663,6.3949,0.0136,5.5962,-0.7864,0.849,Technology,1
7,2018,5.7992,6.4074,6.1319,6.414,0.116,4.8905,-0.4945,0.9,Technology,1
7,2019,5.4043,6.0221,5.8231,6.0773,0.0935,5.158,-0.7527,0.6599,Technology,1
7,2020,5.3489,5.9819,5.9418,6.4401,-0.0599,5.471,-0.7796,0.7522,Technology,1
7,2021,5.3236,5.8817,5.8349,6.3477,-0.023,5.3863,-0.8468,0.6691,Technology,1
8,2010,5.2549,4.914,3.9295,6.207,-0.0297,3.3437,-1.4953,-0.8119,Technology,0
8,2011,5.5319,4.8568,4.1397,6.8087,-0.0537,3.2416,-1.5336,-0.6485,Technology,0
8,2012,4.8167,5.0289,4.0036,6.5556,0.0101,3.6749,-1.4182,-0.7543,Technology,0
8,2013,5.0675,5.0786,4.3784,6.4446,-0.1062,3.2026,-1.3849,-0.4629,Technology,0
8,2014,5.4926,4.7301,4.0164,6.4482,-0.0572,3.6896,-1.6185,-0.7443,Technology,0
8,2015,5.0205,4.6211,3.9963,6.1208,-0.0397,3.099,-1.6916,-0.7599,Technology,0
8,2016,5.0141,4.5201,4.0033,6.6425,-0.1567,4.0024,-1.7593,-0.7545,Technology,0
8,2017,5.1473,4.9889,3.8917,6.5762,-0.266,3.3769,-1.4451,-0.8412,Technology,0
8,2018,5.0582,4.6666,3.9787,6.485,-0.1954,2.6558,-1.661,-0.7736,Technology,0
8,2019,5.3776,4.4567,4.1565,6.7795,-0.1031,4.1758,-1.8017,-0.6354,Technology,0
8,2020,4.844,4.965,4.0045,6.2471,-0.0937,3.7755,-1.4611,-0.7536,Technology,0
8,2021,5.3018,5.3859,3.8684,6.4045,-0.036,3.868,-1.179,-0.8593,Technology,0
9,2010,4.7808,4.6638,2.7688,8.0081,0.1512,3.7098,-1.6629,-1.7139,Technology,0
9,2011,4.93,4.8328,2.8401,8.1223,-0.1876,3.7042,-1.5497,-1.6586,Technology,0
9,2012,4.8774,4.6814,2.9187,8.1916,-0.2396,2.8354,-1.6511,-1.5975,Technology,0
9,2013,5.0314,4.6453,3.0866,8.2641,-0.168,3.0237,-1.6753,-1.4669,Technology,0
9,2014,4.594,4.8489,2.7065,8.1087,-0.1293,2.6799,-1.5389,-1.7624,Technology,0
9,2015,4.4378,4.607,2.8596,8.0026,-0.1477,2.4292,-1.701,-1.6434,Technology,0
9,2016,5.6434,4.7185,2.9292,8.5153,-0.1262,3.5273,-1.6263,-1.5893,Technology,0
9,2017,4.7517,4.7294,2.6325,8.6604,-0.1178,3.3506,-1.619,-1.8199,Technology,0
9,2018,4.6664,4.5314,2.7826,8.2067,-0.2053,3.4809,-1.7516,-1.7033,Technology,0
9,2019,4.9878,4.8635,2.8056,8.0267,-0.1379,3.9142,-1.5291,-1.6853,Technology,0
9,2020,5.2987,4.6301,2.7882,8.4732,-0.1379,3.5387,-1.6855,-1.6989,Technology,0
9,2021,4.5275,4.5139,2.9364,7.8887,-0.1208,3.5696,-1.7634,-1.5837,Technology,0
10,2010,6.6244,8.0163,5.1641,8.9309,0.1207,4.5184,0.5837,0.1477,Finance,1
10,2011,6.4265,7.7293,5.1049,8.8587,0.0815,5.2426,0.3914,0.1017,Finance,1
10,2012,7.3612,7.9147,5.2524,8.766,0.1339,6.0153,0.5156,0.2163,Finance,1
10,2013,6.6815,7.9072,5.4466,8.9419,0.0206,5.0035,0.5106,0.3673,Finance,1
10,2014,7.0168,8.1262,5.4341,8.825,0.0094,5.7392,0.6573,0.3576,Finance,1
10,2015,6.552,8.004,4.8998,9.0004,0.0034,5.7316,0.5754,-0.0577,Finance,1
10,2016,6.5127,7.904,5.2747,9.0033,0.0832,5.7559,0.5084,0.2337,Finance,1
10,2017,6.838,8.0726,5.1615,8.8736,0.0459,5.7691,0.6214,0.1457,Finance,1
10,2018,6.7088,8.1871,5.2115,8.9238,-0.0304,5.9564,0.6981,0.1845,Finance,1
10,2019,6.7106,8.0206,5.1284,8.9517,0.1705,5.6392,0.5866,0.12,Finance,1
10,2020,7.5662,7.9111,5.2058,9.1598,0.0788,4.7858,0.5132,0.1802,Finance,1
10,2021,6.9663,7.6466,5.2109,8.9682,-0.0597,5.6401,0.336,0.1841,Finance,1
11,2010,5.0381,4.8663,5.2506,5.7498,0.1189,4.1507,-1.5272,0.215,Energy,1
11,2011,5.023,5.0183,5.203,5.702,-0.0008,3.3452,-1.4254,0.178,Energy,1
11,2012,4.7499,4.9575,5.2702,5.6991,0.0037,4.7496,-1.4661,0.2302,Energy,1
11,2013,4.7502,5.042,5.3726,5.8624,-0.1058,4.3997,-1.4095,0.3098,Energy,1
11,2014,4.8652,5.0907,5.4273,5.361,-0.1167,3.4834,-1.3769,0.3523,Energy,1
11,2015,4.9152,5.1853,5.4655,5.4902,-0.1526,3.8237,-1.3135,0.382,Energy,1
11,2016,4.699,5.0653,5.2633,5.9375,-0.1266,3.8296,-1.3939,0.2249,Energy,1
11,2017,4.8819,5.1767,5.3801,5.5334,-0.088,3.92,-1.3193,0.3156,Energy,1
11,2018,4.5134,5.0923,5.4819,5.0218,-0.0799,4.3372,-1.3758,0.3947,Energy,1
11,2019,4.6928,4.6843,5.5123,5.5442,-0.0728,3.5077,-1.6492,0.4184,Energy,1
11,2020,4.6584,4.8915,5.3287,5.6118,-0.0615,4.6084,-1.5104,0.2756,Energy,1
11,2021,4.2799,5.0505,5.3043,5.0614,-0.0869,4.6395,-1.4038,0.2567,Energy,1
12,2010,5.8538,9.3903,6.8162,8.2243,0.0846,7.0496,1.5044,1.4318,Technology,0
12,2011,6.2132,9.7522,6.6151,7.8148,0.0137,6.8827,1.747,1.2755,Technology,0
12,2012,7.1943,9.9383,6.7585,8.0233,0.0419,7.4654,1.8717,1.3869,Technology,0
12,2013,6.563,9.8759,6.8992,7.9124,0.0246,6.8698,1.8299,1.4963,Technology,0
12,2014,6.7443,9.5895,6.8838,7.6999,0.1259,6.4977,1.6379,1.4843,Technology,0
12,2015,5.9394,9.9303,6.747,7.7434,0.243,7.5843,1.8664,1.378,Technology,0
12,2016,6.2261,9.6619,6.8202,7.7705,0.2625,7.0358,1.6865,1.4349,Technology,0
12,2017,6.1394,9.5648,6.6638,8.1747,0.2319,6.4395,1.6214,1.3134,Technology,0
12,2018,6.4871,9.5095,6.893,7.928,0.1121,6.6138,1.5843,1.4915,Technology,0
12,2019,7.2332,9.5717,6.7758,7.8532,0.1734,6.4504,1.626,1.4004,Technology,0
12,2020,6.6086,9.5546,6.7461,7.7706,0.2023,7.8122,1.6145,1.3773,Technology,0
12,2021,7.1147,9.6663,6.7333,8.1968,-0.0134,6.8552,1.6894,1.3673,Technology,0
13,2010,2.8355,3.9092,3.4661,6.2631,0.3728,3.0733,-2.1686,-1.172,Finance,0
13,2011,3.2777,3.8777,3.4084,6.2072,0.229,3.322,-2.1897,-1.2169,Finance,0
13,2012,3.5397,3.9645,3.5743,6.0688,0.1633,2.4469,-2.1316,-1.0879,Finance,0
13,2013,2.8647,4.1152,3.4163,6.0283,0.1621,3.6308,-2.0305,-1.2107,Finance,0
13,2014,2.7503,4.067,3.7145,5.7271,0.007,2.8439,-2.0629,-0.9789,Finance,0
13,2015,2.4125,3.5801,3.6953,5.9211,-0.03,3.8137,-2.3891,-0.9938,Finance,0
13,2016,2.5054,3.3663,3.3418,5.8335,-0.2172,2.5294,-2.5324,-1.2686,Finance,0
13,2017,2.8253,4.064,3.486,5.6052,-0.171,3.5966,-2.0649,-1.1565,Finance,0
13,2018,3.3783,3.6037,3.378,6.1817,-0.1282,1.5669,-2.3733,-1.2405,Finance,0
13,2019,2.3784,3.8322,3.4266,5.8311,-0.1638,2.3565,-2.2202,-1.2027,Finance,0
13,2020,2.9449,3.6431,3.7759,6.2095,-0.2469,2.8075,-2.347,-0.9312,Finance,0
13,2021,2.2078,3.5167,3.4294,6.1466,-0.2564,1.7718,-2.4316,-1.2005,Finance,0
14,2010,6.3643,9.653,6.4397,8.4292,0.0772,7.0588,1.6805,1.1391,Services,0
14,2011,6.6112,9.6965,6.4668,8.4404,0.0933,6.9448,1.7097,1.1602,Services,0
14,2012,6.449,9.4294,6.2355,8.1947,0.0263,6.0899,1.5306,0.9805,Services,0
14,2013,6.4824,9.0265,6.2574,8.6894,0.0443,6.3825,1.2606,0.9974,Services,0
14,2014,6.4384,9.4354,6.2047,8.3264,0.0533,6.9824,1.5347,0.9565,Services,0
14,2015,6.5793,9.623,6.2527,8.3782,0.028,5.6358,1.6604,0.9938,Services,0
14,2016,6.156,9.2489,5.9581,8.188,-0.0565,5.7751,1.4097,0.7649,Services,0
14,2017,6.0918,9.5814,6.4673,8.1316,0.1255,6.5633,1.6325,1.1606,Services,0
14,2018,5.9884,9.5416,6.6938,8.4133,0.1814,6.7908,1.6059,1.3366,Services,0
14,2019,6.3025,9.6605,6.4078,8.3613,0.1881,6.7233,1.6856,1.1144,Services,0
14,2020,6.2661,9.5686,6.1732,8.1599,0.191,7.0809,1.6239,0.932,Services,0
14,2021,6.6253,9.3501,6.2892,8.0301,0.1227,6.8004,1.4775,1.0222,Services,0
15,2010,6.7458,7.5558,7.7721,6.4365,-0.1127,6.4579,0.2751,2.1747,Energy,0
15,2011,6.7297,7.2848,7.6883,6.9297,0.0607,5.254,0.0935,2.1096,Energy,0
15,2012,6.9203,7.3111,7.9699,6.5678,0.1135,6.1189,0.1111,2.3285,Energy,0
15,2013,6.6804,7.1299,7.9624,6.6227,0.0548,5.8001,-0.0103,2.3227,Energy,0
15,2014,7.0202,7.2279,7.6676,6.9805,0.0591,6.6452,0.0553,2.0935,Energy,0
15,2015,7.3144,7.1396,7.9497,6.466,0.1151,6.0419,-0.0038,2.3127,Energy,0
15,2016,7.4824,7.2819,8.0699,6.5451,-0.0159,5.7274,0.0916,2.4062,Energy,0
15,2017,6.985,7.6589,8.1263,6.5367,0.1479,6.6936,0.3442,2.45,Energy,0
15,2018,7.0418,7.0421,8.2707,7.0141,-0.128,6.2839,-0.0691,2.5622,Energy,0
15,2019,7.2209,6.9938,7.7056,7.0891,0.1009,5.3978,-0.1015,2.123,Energy,0
15,2020,7.0209,7.6108,8.2645,6.8408,0.0031,6.1105,0.3119,2.5575,Energy,0
15,2021,7.0035,7.2747,7.7878,6.8471,0.0921,5.8079,0.0867,2.1869,Energy,0
16,2010,4.7562,6.7211,4.4578,6.0172,0.0747,5.3116,-0.2843,-0.4012,Services,0
16,2011,5.2807,7.0629,4.5957,6.5227,-0.1284,5.0118,-0.0552,-0.294,Services,0
16,2012,5.4903,6.7338,4.4594,6.1868,-0.0751,5.0681,-0.2757,-0.4,Services,0
16,2013,5.1547,7.2201,4.6065,6.3039,-0.0205,4.7454,0.0502,-0.2856,Services,0
16,2014,5.1247,6.9905,4.3487,6.1122,-0.131,4.9673,-0.1037,-0.486,Services,0
16,2015,4.6695,6.7573,4.5109,6.0797,-0.0676,5.3836,-0.26,-0.36,Services,0
16,2016,6.0788,7.2864,4.7395,6.4659,-0.0689,4.8845,0.0946,-0.1823,Services,0
16,2017,5.5636,6.7338,4.5381,6.2412,-0.0443,4.7859,-0.2758,-0.3388,Services,0
16,2018,5.378,7.0033,4.5679,6.4235,-0.0413,4.1904,-0.0951,-0.3156,Services,0
16,2019,5.4049,6.9148,4.618,6.1843,0.0215,4.46,-0.1545,-0.2767,Services,0
16,2020,5.4129,7.1153,4.7223,5.9636,-0.0943,4.8071,-0.0201,-0.1957,Services,0
16,2021,5.5899,7.1672,4.2984,6.0166,-0.1533,4.3427,0.0147,-0.5251,Services,0
17,2010,4.9745,6.189,3.5385,8.5602,0.0917,4.8171,-0.6408,-1.1157,Energy,0
17,2011,5.2215,6.0319,3.4106,8.4143,0.0898,3.6202,-0.7461,-1.2151,Energy,0
17,2012,5.3966,6.2746,3.4759,8.3181,0.025,4.5735,-0.5835,-1.1644,Energy,0
17,2013,5.5321,6.0471,3.6099,8.7798,0.0747,4.1999,-0.736,-1.0603,Energy,0
17,2014,4.4455,6.5853,3.2717,8.4306,0.0794,4.2896,-0.3753,-1.3231,Energy,0
17,2015,4.8746,6.2099,3.299,8.5672,-0.0471,4.8377,-0.6268,-1.3019,Energy,0
17,2016,4.6779,6.1096,3.1606,8.5988,-0.1585,2.8726,-0.6941,-1.4095,Energy,0
17,2017,5.0901,6.2196,3.3685,8.4219,-0.14,4.0222,-0.6204,-1.2479,Energy,0
17,2018,4.5492,5.9132,3.6504,8.8297,-0.1578,3.5115,-0.8257,-1.0287,Energy,0
17,2019,4.3582,5.9883,3.4328,8.3161,-0.1201,3.0433,-0.7753,-1.1979,Energy,0
17,2020,5.7582,6.4227,3.2499,8.5919,-0.0924,3.5889,-0.4842,-1.3401,Energy,0
17,2021,5.2251,6.0512,3.378,8.5888,-0.0701,4.0476,-0.7332,-1.2405,Energy,0
18,2010,5.2513,7.3893,4.2885,6.7261,-0.0232,4.6185,0.1635,-0.5328,Finance,1
18,2011,5.376,7.706,4.3429,6.4776,-0.0655,5.6042,0.3758,-0.4906,Finance,1
18,2012,5.5376,7.8358,4.57,6.9112,0.0323,5.182,0.4628,-0.3141,Finance,1
18,2013,5.6765,7.7425,4.3355,6.8857,0.0002,5.0095,0.4002,-0.4962,Finance,1
18,2014,5.2533,7.7979,4.6785,6.6019,0.0005,5.1424,0.4373,-0.2297,Finance,1
18,2015,5.4009,7.4473,4.501,6.8785,0.2185,5.0247,0.2024,-0.3677,Finance,1
18,2016,5.3648,7.3143,4.5245,6.812,0.0215,4.8053,0.1133,-0.3494,Finance,1
18,2017,5.056,7.899,4.4699,6.4809,-0.0132,4.8648,0.5051,-0.3918,Finance,1
18,2018,5.7203,7.5342,4.6276,6.5662,0.0427,5.6499,0.2606,-0.2693,Finance,1
18,2019,5.3079,7.5485,4.6291,6.9647,0.1187,4.851,0.2702,-0.2681,Finance,1
18,2020,5.7766,7.8643,4.5619,6.7989,-0.055,5.109,0.4819,-0.3203,Finance,1
18,2021,5.4279,7.71,4.5963,6.6241,0.0297,5.4486,0.3784,-0.2935,Finance,1
19,2010,7.0805,7.0347,4.985,6.9176,-0.0146,5.1722,-0.0741,0.0085,Manufacturing,1
19,2011,6.4373,7.3765,5.0981,6.9862,-0.0526,4.771,0.155,0.0965,Manufacturing,1
19,2012,6.2131,6.8148,4.9661,7.0004,0.0096,5.2748,-0.2214,-0.0061,Manufacturing,1
19,2013,6.3589,7.1291,5.0171,6.9201,-0.046,5.3385,-0.0108,0.0335,Manufacturing,1
19,2014,6.559,6.955,4.9756,6.7409,-0.0435,5.0591,-0.1276,0.0012,Manufacturing,1
19,2015,7.1287,6.9973,4.9482,7.3172,0.0654,4.7674,-0.0992,-0.0201,Manufacturing,1
19,2016,7.1991,7.2492,4.9134,7.2834,0.0479,4.8953,0.0697,-0.0471,Manufacturing,1
19,2017,5.9155,7.0451,5.087,6.8346,-0.0954,4.9477,-0.0671,0.0878,Manufacturing,1
19,2018,6.8,7.0512,5.2134,7.1165,-0.081,4.4737,-0.063,0.186,Manufacturing,1
19,2019,5.734,7.158,5.1925,6.9088,-0.0126,5.1171,0.0085,0.1698,Manufacturing,1
19,2020,6.7547,6.8706,4.8283,7.0369,-0.0077,5.3298,-0.1841,-0.1132,Manufacturing,1
19,2021,6.9527,6.7757,5.2102,7.0203,0.0338,5.3891,-0.2477,0.1836,Manufacturing,1
20,2010,5.2125,8.446,5.6288,4.5284,0.0791,5.7212,0.8716,0.5089,Energy,1
20,2011,5.3642,8.2617,5.7667,5.0146,0.1472,6.3929,0.7481,0.6161,Energy,1
20,2012,5.4012,9.0662,5.5406,4.5259,0.127,7.1482,1.2873,0.4404,Energy,1
20,2013,4.9908,8.4343,5.6978,4.4524,0.299,5.7684,0.8638,0.5626,Energy,1
20,2014,5.4199,8.6107,5.7236,4.4615,0.3533,6.3682,0.982,0.5826,Energy,1
20,2015,5.2135,8.5996,5.4539,4.8228,-0.03,4.8045,0.9746,0.3729,Energy,1
20,2016,5.5722,8.7164,5.7678,4.2836,-0.0298,5.4595,1.0529,0.6169,Energy,1
20,2017,5.3727,8.8181,5.8784,4.4615,-0.0049,6.2181,1.121,0.7029,Energy,1
20,2018,5.1818,8.827,5.6503,4.9034,-0.0401,5.6053,1.127,0.5257,Energy,1
20,2019,4.9132,8.5383,5.8806,4.6628,0.008,7.0529,0.9335,0.7046,Energy,1
20,2020,4.7557,8.6215,5.6481,4.6524,0.0334,6.3041,0.9893,0.5239,Energy,1
20,2021,5.8872,8.7115,5.804,5.0404,-0.0698,6.5798,1.0495,0.6451,Energy,1
21,2010,6.0431,7.1216,3.9575,8.7798,-0.0025,4.7336,-0.0159,-0.79,Services,0
21,2011,6.5891,7.4928,4.6531,8.5889,-0.0427,4.6407,0.2329,-0.2494,Services,0
21,2012,6.9284,7.2695,4.5146,8.6741,0.0839,4.7298,0.0833,-0.357,Services,0
21,2013,6.1031,7.3183,4.2476,8.5034,-0.084,5.0606,0.116,-0.5646,Services,0
21,2014,6.1103,7.3039,3.9945,8.9817,0.0433,4.5314,0.1063,-0.7613,Services,0
21,2015,6.3742,7.406,4.3335,8.8454,-0.0951,5.3387,0.1747,-0.4978,Services,0
21,2016,6.2997,7.2075,4.0737,8.9554,-0.0281,5.1816,0.0417,-0.6997,Services,0
21,2017,6.872,6.912,4.3571,8.9731,-0.0767,4.7656,-0.1564,-0.4795,Services,0
21,2018,6.7942,7.2513,4.3521,8.6477,0.0035,4.0184,0.071,-0.4834,Services,0
21,2019,6.3501,7.0411,4.1491,8.5416,-0.1186,5.6227,-0.0698,-0.6411,Services,0
21,2020,6.7589,7.0656,4.4585,8.7202,0.0426,4.764,-0.0534,-0.4007,Services,0
21,2021,6.2799,7.2886,4.4112,8.556,-0.1016,6.3223,0.096,-0.4375,Services,0
22,2010,6.9371,7.4731,7.0126,8.6002,-0.062,6.1666,0.2197,1.5844,Finance,0
22,2011,6.6815,7.2297,6.8676,8.7936,-0.0502,5.5701,0.0566,1.4717,Finance,0
22,2012,6.2623,7.2872,6.6539,8.5336,0.0019,5.8637,0.0951,1.3057,Finance,0
22,2013,7.2357,7.5659,7.0129,8.5972,0.073,4.8772,0.2819,1.5847,Finance,0
22,2014,6.8686,7.2736,6.8257,8.5484,0.2206,6.1976,0.086,1.4392,Finance,0
22,2015,6.8423,7.7458,6.6578,8.7277,0.1384,7.1537,0.4024,1.3087,Finance,0
22,2016,6.7844,7.3386,7.069,8.4336,0.1478,4.7454,0.1295,1.6283,Finance,0
22,2017,6.1565,6.8733,7.1811,8.1279,0.1539,5.4473,-0.1823,1.7154,Finance,0
22,2018,6.4869,7.3761,6.8601,8.6614,0.1189,5.6934,0.1547,1.4659,Finance,0
22,2019,7.0,7.3017,7.1901,8.7647,0.1476,6.2455,0.1048,1.7224,Finance,0
22,2020,6.6593,7.4834,6.8799,8.6565,-0.0549,6.8587,0.2266,1.4813,Finance,0
22,2021,6.6367,7.3601,6.8092,8.4391,-0.0011,5.9142,0.1439,1.4263,Finance,0
23,2010,4.935,6.4269,3.568,7.2801,-0.0134,5.3547,-0.4814,-1.0928,Energy,0
23,2011,4.897,6.2097,3.9081,7.606,0.0511,4.3625,-0.627,-0.8284,Energy,0
23,2012,4.7278,6.4128,3.5455,7.5354,0.0792,4.4958,-0.4909,-1.1103,Energy,0
23,2013,4.5621,6.2845,3.7729,7.4819,0.1071,4.4382,-0.5769,-0.9336,Energy,0
23,2014,5.0476,6.3385,3.5787,7.8716,-0.0848,4.853,-0.5407,-1.0845,Energy,0
