farm_id,log_milk,log_cows,log_feed,log_land,log_labor,organic,breed,cooperative
102,4.0885,3.6399,9.7224,3.0553,7.1594,0,mixed,0
103,4.1544,2.6834,8.2729,4.5938,8.9774,0,mixed,1
104,4.0468,2.3532,8.0797,5.4189,7.1364,1,jersey,1
105,3.7555,2.5598,7.691,4.3603,6.7679,0,mixed,0
106,3.6303,2.8652,7.8271,1.8702,7.0033,0,mixed,1
107,3.9781,2.3365,8.9646,3.2416,7.2052,0,mixed,0
108,4.0143,3.6621,7.9677,3.5274,7.3482,0,holstein,0
109,4.3384,4.2297,8.5307,0.8285,8.6614,0,jersey,1
110,3.3135,1.9129,7.504,3.9632,6.3237,1,holstein,0
111,4.528,3.5251,7.6578,5.7276,7.6872,0,jersey,0
112,3.7788,3.2801,6.5931,3.7679,7.1662,0,jersey,0
113,3.5677,3.8415,6.0223,4.7681,5.7431,0,mixed,1
114,3.5761,3.4871,7.7384,3.2195,7.6166,0,mixed,1
115,3.63,2.0464,8.0565,2.9121,8.0141,0,holstein,1
116,3.0245,2.2376,6.4139,3.8575,6.3143,1,jersey,0
117,3.4609,3.5294,7.9655,2.021,6.9929,0,jersey,0
118,4.0066,4.5288,8.0538,1.8435,5.6197,0,holstein,1
119,2.9679,1.2858,5.844,4.5196,5.993,0,holstein,0
120,4.1836,3.8457,7.0849,4.6468,7.8384,0,holstein,1
121,3.8992,4.6896,8.4073,1.8107,6.6269,0,mixed,1
122,4.1311,3.347,8.3871,4.1616,6.113,0,holstein,0
123,3.7207,4.0502,6.8463,2.8956,7.1836,0,mixed,1
124,3.8475,2.7969,8.1584,3.4078,6.5821,0,holstein,0
125,3.8166,3.3806,9.0224,3.5523,6.6233,0,mixed,0
126,4.1585,1.8791,8.7771,4.1932,7.5915,0,holstein,1
127,2.7547,1.1557,7.9047,3.0993,6.0706,0,mixed,0
128,4.2984,4.4428,7.532,4.6922,6.2757,0,holstein,1
129,3.4758,2.515,7.3707,3.3713,7.1233,0,jersey,1
130,3.793,3.0445,8.4678,3.749,7.7755,0,mixed,1
131,2.887,2.1136,8.1951,2.0001,7.9905,0,mixed,1
132,3.896,2.09,8.3294,5.9904,6.468,1,mixed,0
133,4.6993,3.3262,8.1319,3.5638,7.7499,0,holstein,0
134,4.0426,2.7704,8.8188,3.8556,6.3727,0,holstein,1
135,3.9012,3.878,8.0946,1.0702,8.461,0,holstein,1
136,4.3205,3.9525,8.7847,2.0128,6.093,0,holstein,0
137,4.5425,3.8208,8.5708,4.8855,8.0628,1,jersey,0
138,3.3836,3.7386,7.1955,3.3443,6.4748,0,jersey,0
139,3.0289,5.0778,6.1919,0.7035,8.6106,0,mixed,0
140,4.3301,2.4324,9.5435,4.2459,7.4731,0,mixed,1
141,3.676,3.4451,8.2567,2.3475,6.1872,0,jersey,0
142,4.2844,4.6327,6.2855,4.6936,6.5822,0,mixed,1
143,4.2827,4.7645,6.9862,3.2946,7.6249,1,holstein,1
144,3.6241,2.0782,8.7719,3.2456,7.8421,0,holstein,1
145,4.0218,3.1876,7.7203,4.4147,6.9434,0,jersey,0
146,3.8285,4.8581,7.4879,1.923,7.0357,0,mixed,0
147,3.9498,4.0081,9.4009,1.8086,7.6067,0,holstein,1
148,3.6057,3.6953,6.9527,2.7642,7.1054,0,jersey,1
149,3.2837,3.2823,7.2018,3.9926,5.9652,0,jersey,0
150,3.5391,3.1162,8.2114,1.4029,6.3496,0,holstein,1
151,3.9365,3.7882,8.0905,1.3984,7.1881,1,holstein,0
152,4.043,3.2476,8.1963,4.3885,7.9724,1,mixed,1
153,4.3435,3.4574,8.9112,2.2764,8.2928,0,jersey,0
154,3.8918,3.5786,8.1986,2.5293,7.6236,0,holstein,0
155,3.2873,2.8219,8.4894,0.7718,7.2298,0,mixed,0
156,4.3959,4.0321,7.7408,2.1852,7.5991,0,holstein,0
157,4.5233,6.4142,8.0627,2.9909,6.4666,0,mixed,0
158,3.0473,1.723,8.1075,4.1165,6.8774,0,holstein,0
159,4.0301,3.824,8.2151,2.0745,6.3407,0,jersey,0
160,4.0607,2.7398,8.7725,4.9889,6.001,0,holstein,1
161,4.4984,4.0774,8.5551,2.1785,7.2668,0,holstein,0
162,3.5856,3.5466,7.7442,2.5803,7.1484,1,mixed,1
163,4.3929,4.2619,7.1909,4.8448,7.5501,0,holstein,1
164,4.6209,4.6755,8.0677,3.2538,7.4369,0,holstein,0
165,3.7647,3.6924,7.972,2.3376,7.1941,0,holstein,0
166,4.7765,4.6321,8.1932,2.8138,7.4453,0,jersey,1
167,3.21,1.1557,9.9065,5.0237,6.9659,1,mixed,1
168,4.5778,5.0905,7.1762,5.1594,7.3303,1,mixed,0
169,4.2339,3.8751,8.4223,2.0198,6.4191,0,holstein,1
170,5.0476,4.5778,8.7685,3.3491,7.2958,1,holstein,0
171,3.535,2.2801,8.098,3.1082,7.5347,0,holstein,0
172,4.1465,2.6692,10.3378,1.8165,6.4643,0,jersey,1
173,3.5837,3.6459,7.622,2.9332,7.0415,0,mixed,0
174,3.9759,3.483,8.0241,3.4064,6.5011,1,jersey,1
175,3.9821,3.7831,7.2012,4.3683,6.5788,0,jersey,0
176,4.2761,4.5845,7.6485,4.4489,6.1001,0,holstein,1
177,2.9589,1.7348,8.2489,2.6049,8.0126,0,mixed,0
178,4.9593,4.4738,8.5463,3.1433,7.8525,1,holstein,0
179,4.5291,3.5083,8.0191,4.1972,7.4299,1,holstein,0
180,4.1299,3.2962,9.2591,2.2978,8.5778,0,holstein,0
181,3.3648,2.0289,7.605,4.1064,6.8486,1,holstein,1
182,3.8473,4.003,7.3678,3.2945,9.4254,1,holstein,0
183,3.1319,1.0859,10.704,1.8367,6.818,0,holstein,0
184,4.1583,4.1484,8.3942,1.8518,7.2042,0,holstein,0
185,2.8871,2.0079,7.2805,4.7365,6.6818,0,jersey,0
186,3.5137,3.5535,7.3057,2.8123,7.2979,0,holstein,1
187,4.3325,3.3808,7.0573,4.9684,7.6685,0,holstein,0
188,3.8223,4.6695,8.9366,2.3836,6.9089,0,mixed,1
189,4.2743,3.3213,7.6356,3.3494,8.4214,0,mixed,0
190,4.0177,2.8059,8.1274,5.8712,7.1913,0,jersey,1
191,4.1112,2.9934,7.6365,2.1311,7.2164,1,holstein,0
192,3.4935,4.7729,8.7315,0.7226,6.2728,0,mixed,0
193,4.3197,4.0363,7.1533,4.5439,7.3348,0,holstein,1
194,3.8037,3.1144,6.6244,2.4078,6.8928,1,holstein,1
195,4.0187,3.2636,8.2243,2.9752,6.5134,0,mixed,1
196,3.4315,1.9328,8.601,2.2969,6.3788,0,jersey,0
197,4.4325,3.8885,8.3325,3.3218,9.1374,0,jersey,0
198,3.0424,1.7402,6.8905,2.2594,6.7892,1,jersey,1
199,3.5871,4.2518,8.6775,2.7841,5.8344,0,jersey,0
200,3.7248,3.6286,7.2561,3.5398,6.4414,0,holstein,1
201,4.2876,5.887,7.4785,1.79,6.9587,0,holstein,1
202,3.5687,2.3999,6.756,2.5599,7.4373,1,holstein,1
203,4.1199,3.3973,9.3012,2.5831,7.4438,0,holstein,1
204,4.4645,5.2983,8.6334,1.2854,7.5413,0,mixed,1
205,4.3989,4.6914,8.605,2.4929,6.4841,0,holstein,0
206,3.6358,2.8038,9.2472,3.1426,7.2724,0,jersey,0
207,4.4294,3.724,10.8126,2.5205,6.2992,0,mixed,1
208,3.1644,3.502,6.2908,2.6743,6.5043,0,mixed,0
209,3.4697,3.782,7.2616,2.9761,6.2658,0,holstein,0
210,3.1946,2.8013,7.3838,2.2131,6.0493,0,holstein,0
211,3.7053,3.4107,7.1492,3.8293,7.8514,0,mixed,1
212,3.3354,1.9019,6.9224,4.7232,7.5509,0,jersey,1
213,3.9713,3.6351,7.7003,2.4427,7.7813,0,mixed,1
214,3.6762,3.95,6.4834,3.9822,7.0315,1,mixed,0
215,3.7959,3.2726,8.335,2.7125,7.6214,0,mixed,0
216,3.643,1.8849,8.0517,3.4386,5.591,0,holstein,0
217,4.5462,4.4885,8.481,4.8789,7.6905,0,jersey,0
218,4.4309,3.8645,8.5077,3.6104,7.1417,0,holstein,1
219,3.3891,2.774,8.303,1.2719,7.5017,1,jersey,1
220,3.9892,3.2194,7.6266,3.5448,7.304,0,mixed,0
221,3.1974,1.9993,10.1211,4.4794,6.2104,0,jersey,0
222,3.4595,2.4746,8.2344,2.7341,5.8016,0,holstein,0
223,3.4541,2.9622,6.1375,4.1948,6.4304,0,holstein,1
224,3.2535,4.7284,6.6976,2.5719,7.4519,1,mixed,1
225,3.0063,2.8605,6.2595,1.2174,7.5521,0,holstein,0
226,4.072,4.1402,7.7173,3.5694,5.9056,1,holstein,1
227,2.979,2.9617,7.8782,0.8922,6.2151,0,holstein,0
228,3.9717,3.7479,7.5316,2.7123,6.4214,0,holstein,0
229,5.2171,3.3586,10.0109,4.5442,6.7142,0,holstein,1
230,3.2959,4.3731,8.549,0.7083,5.9104,0,jersey,0
231,3.3287,2.9652,8.7261,1.4646,5.8624,0,holstein,0
232,2.7761,1.9275,7.0689,1.7616,6.3425,0,holstein,1
233,2.8855,2.1181,6.7009,3.324,7.069,1,holstein,0
234,3.4546,2.9681,8.0368,2.5611,6.0555,0,holstein,1
235,3.6912,2.2509,7.873,5.079,6.9074,1,holstein,0
236,3.8937,3.9102,5.8437,4.5452,7.8468,1,jersey,0
237,3.4592,3.0342,7.8197,3.5943,5.9586,0,holstein,0
238,4.6501,5.8746,8.0141,3.1748,6.8348,0,holstein,0
239,3.1628,1.7623,7.7849,3.4719,7.8198,0,holstein,0
240,3.306,3.7036,7.1866,1.9656,6.6654,0,holstein,0
241,3.7615,2.372,7.1605,4.4287,6.5411,1,holstein,1
242,3.446,3.0066,7.8231,1.6655,7.9308,0,holstein,0
243,3.7469,3.6414,8.0908,4.0025,6.755,0,mixed,0
244,2.7614,1.1746,8.6048,4.4234,7.8836,0,holstein,0
245,4.0738,3.7368,9.0809,3.253,7.3432,0,jersey,0
246,4.5063,5.4029,7.4057,3.1885,6.7257,1,holstein,0
247,3.8589,3.0466,7.5438,3.4804,7.3838,0,holstein,1
248,3.4868,3.7598,8.4377,-0.4338,7.2564,0,holstein,0
249,4.316,4.5249,8.6108,3.3627,7.8167,0,mixed,1
250,3.6354,3.336,7.5658,2.864,6.5613,0,mixed,1
251,4.0402,2.919,8.7904,2.9392,7.033,0,holstein,0
252,3.4563,1.2243,8.6796,4.2478,6.9508,1,holstein,0
253,4.4981,4.141,9.2917,2.9103,7.5633,0,holstein,0
254,4.0246,3.3868,9.7783,1.6318,6.1799,0,holstein,1
255,3.3706,2.4873,7.1336,2.8303,7.8136,0,jersey,0
256,3.6536,3.6266,8.0139,3.0811,7.3731,0,holstein,1
257,3.5292,2.9163,7.7113,3.5379,5.9465,1,holstein,1
258,3.8279,2.9716,7.9019,3.1943,7.9666,0,mixed,1
259,4.1197,4.1063,7.3507,4.2472,8.7873,0,holstein,0
260,3.3467,2.1616,6.5144,1.6968,7.8015,0,holstein,1
261,4.0795,4.5473,8.0927,3.2108,8.1416,0,jersey,0
262,3.563,2.1023,6.9316,4.9479,7.0683,1,holstein,0
263,2.4279,2.8373,8.086,0.9185,5.6708,0,holstein,0
264,4.3028,5.4229,7.206,3.2156,5.5247,0,holstein,1
265,4.0146,4.6274,6.6003,2.6975,7.2041,1,mixed,1
266,4.0762,3.5976,8.2343,2.5551,6.5264,0,holstein,1
267,3.3223,2.5595,8.1509,1.9142,6.2683,0,holstein,0
268,3.538,2.9707,8.5793,2.7965,6.9498,0,holstein,1
269,5.2305,3.5733,10.1859,5.2095,7.4925,0,holstein,0
270,3.2659,3.5375,8.2773,1.4827,5.8378,0,jersey,0
271,3.3827,3.4091,8.4851,1.5965,6.6409,0,holstein,1
272,3.4719,3.4692,6.9224,1.4377,8.2079,0,jersey,0
273,4.2441,3.2856,6.7131,5.0729,6.1398,0,jersey,0
274,3.2814,2.058,9.5828,2.4452,7.6958,0,mixed,1
275,3.1842,2.9835,7.0765,2.9692,6.6122,0,holstein,0
276,3.5644,4.4146,6.9561,2.5167,7.4366,0,mixed,0
277,3.2835,2.1317,7.9609,1.8667,7.8779,0,jersey,0
278,4.1875,3.3104,7.9098,2.7178,7.593,0,holstein,0
279,3.8173,2.6802,6.7975,6.3499,7.7273,1,mixed,1
280,3.727,3.6114,7.395,5.0705,6.0787,1,mixed,1
281,3.8978,3.1114,9.2294,1.9765,7.8909,0,holstein,0
282,4.1022,4.9774,7.194,3.7771,6.3178,0,mixed,0
283,3.4237,4.0066,6.6063,2.0022,7.2076,0,holstein,0
284,3.666,2.1882,8.9426,0.8684,7.2066,0,jersey,1
285,4.9523,4.1712,8.4923,4.2234,7.3881,0,mixed,1
286,3.7752,2.7253,7.3795,4.3921,7.2696,0,holstein,1
287,2.9586,2.923,6.4178,4.2553,6.325,0,mixed,0
288,3.6035,3.8138,7.2554,2.4362,5.9201,0,holstein,0
289,3.8228,3.0083,7.9453,2.7999,7.6979,0,mixed,0
290,4.5993,4.3929,9.1657,3.8997,7.1487,0,jersey,1
291,3.8065,2.7255,6.6634,3.8698,7.9195,1,holstein,0
292,3.71,2.8811,7.9155,2.5276,6.9642,0,holstein,1
293,3.3467,2.8436,8.3751,1.4571,5.8759,1,holstein,1
294,3.3428,2.9344,5.6187,3.1367,7.7729,0,holstein,0
295,5.0623,4.5992,8.7338,4.6948,6.7037,1,holstein,0
296,3.3555,4.1288,6.5175,1.9629,7.2736,1,holstein,0
297,4.657,5.2099,8.032,4.1665,6.482,1,holstein,0
298,4.668,5.7676,7.9467,3.7979,8.3154,1,holstein,0
299,3.3933,2.4693,9.0846,3.9002,6.2987,0,jersey,1
300,3.9624,3.5704,8.5509,4.0464,6.7301,0,jersey,0
301,2.6962,2.3238,5.6227,2.1666,7.086,0,jersey,0
302,2.9657,2.7224,7.2152,1.0596,6.1263,0,holstein,1
303,3.8132,2.8699,8.1382,2.3598,7.2644,0,mixed,1
304,3.7026,2.4428,7.805,4.067,8.2895,0,jersey,0
305,3.8242,2.4481,8.1776,2.7496,6.6076,1,holstein,1
306,4.423,3.3557,8.7894,2.1671,7.3161,0,holstein,1
307,3.1078,2.2833,8.6085,0.8144,4.8005,0,jersey,1
308,4.5784,4.3421,7.7857,5.1032,6.9689,0,holstein,1
309,3.0621,2.5822,6.1537,3.9909,6.7496,0,jersey,0
310,4.7983,6.3096,7.5445,3.9239,6.3452,0,mixed,1
311,4.2358,3.0486,8.4164,4.1613,7.8652,0,holstein,0
312,3.6599,3.572,6.9096,3.6921,6.739,0,holstein,1
313,3.4244,2.2047,8.6313,2.7068,6.858,0,mixed,1
314,4.2101,5.2061,8.9084,2.8035,6.6982,0,jersey,0
315,4.0476,4.6195,8.1269,2.4869,5.4665,0,holstein,0
316,3.3176,3.7969,4.9362,6.1617,6.0944,0,mixed,1
317,2.9739,2.1532,6.7219,3.6671,7.7689,0,mixed,1
318,4.0643,3.7107,9.8862,2.4434,5.312,0,jersey,0
319,3.4336,2.3786,7.4535,3.5586,6.3869,0,jersey,1
320,3.3557,4.9624,5.7159,2.187,6.6802,1,holstein,1
321,4.9668,4.3092,8.9352,5.2054,8.3949,1,holstein,0
322,3.2879,3.5954,8.0134,2.2067,7.6149,0,jersey,0
323,2.7691,1.0636,9.1049,3.6013,6.5543,0,holstein,0
324,4.3365,2.5166,8.277,4.2792,8.0436,0,jersey,1
325,4.6816,4.1878,8.1586,3.8617,6.4076,1,mixed,0
326,4.0712,4.7129,8.363,3.1134,7.8073,0,holstein,1
327,4.4644,4.6092,8.3975,3.413,5.9129,1,jersey,0
328,4.166,1.908,10.2774,2.9323,7.8586,0,holstein,1
329,4.3629,3.8016,8.971,2.308,6.6751,0,mixed,0
330,3.3703,4.5155,6.4197,2.4606,6.1772,0,holstein,0
331,3.5522,1.8417,8.4467,4.7755,6.8263,0,jersey,1
332,4.4295,3.4921,9.1415,2.8698,7.2219,0,jersey,0
333,4.244,3.7738,9.2027,2.057,6.6042,0,holstein,0
334,3.5813,3.1992,7.2734,2.7804,7.4432,1,jersey,1
335,3.1536,1.6478,9.1649,4.3204,6.5336,0,jersey,1
336,4.0997,3.1743,8.9277,3.8107,7.4963,0,jersey,1
337,4.2609,3.1727,10.5725,3.6724,7.3538,0,mixed,0
338,3.5544,3.3519,7.25,2.691,6.9513,0,mixed,1
339,3.4463,2.9365,7.4926,3.688,6.6469,0,holstein,1
340,3.7122,3.057,7.3939,2.6277,7.1212,1,jersey,0
341,3.9626,3.4603,7.5098,2.6885,7.4402,0,holstein,0
342,3.8831,3.9425,6.81,4.5638,8.6494,1,mixed,1
343,3.5194,3.1956,4.9373,4.4491,7.7515,1,jersey,0
344,3.9431,3.0904,7.5653,1.8217,7.7808,0,holstein,1
345,4.6009,3.5924,8.3694,1.9734,9.4708,0,holstein,1
346,2.7085,1.5791,7.5068,3.1304,7.4128,0,mixed,1
347,4.9572,3.977,9.6354,5.4714,7.3877,1,holstein,0
348,3.0634,3.4994,8.0134,0.7013,7.5632,0,jersey,0
349,4.0817,3.5397,9.291,3.334,6.1928,0,holstein,0
350,3.6481,4.4607,8.2614,1.3487,6.6449,0,mixed,0
351,3.2132,1.5472,8.8264,2.2388,6.5951,0,holstein,1
352,3.3259,1.5262,8.2792,2.5627,7.5181,0,holstein,1
353,4.0751,3.7738,9.3688,2.4954,6.8607,0,mixed,0
354,3.67,3.4929,8.0559,2.3594,7.1106,0,mixed,0
355,4.5916,3.6702,8.4961,3.0086,7.87,0,holstein,1
356,3.8564,3.0379,8.3663,2.3577,7.6905,0,holstein,0
357,3.5021,4.1644,7.7117,1.2451,6.8706,0,jersey,0
358,4.5171,4.4326,8.405,3.9358,6.464,0,mixed,0
359,5.5167,3.984,10.2344,3.9034,7.9082,0,holstein,1
360,3.0985,3.2392,7.7296,4.0118,7.6191,0,jersey,0
361,3.1671,1.3923,8.1195,1.5511,5.715,1,jersey,1
362,4.7031,4.2692,9.2578,3.3587,6.7495,0,jersey,0
363,4.7686,4.7217,9.1403,3.8112,7.1324,0,mixed,1
364,3.9457,4.1446,8.0117,1.7626,7.6231,0,jersey,0
365,3.3084,2.6204,5.6166,3.011,7.7281,0,holstein,0
366,4.3261,4.1738,8.5167,2.8605,7.2271,0,mixed,0
367,3.7213,4.3605,5.7805,5.2106,7.4682,0,mixed,0
368,5.1815,5.0588,9.4699,5.3094,7.0513,0,mixed,0
369,3.21,2.6239,8.1695,1.0028,6.4609,0,holstein,0
370,4.2981,3.2735,8.6997,6.3927,6.791,1,holstein,0
371,2.9875,4.2473,7.0979,1.9017,7.0152,0,jersey,0
372,4.2143,3.5574,6.4475,4.1768,6.9723,0,holstein,1
373,2.8383,2.3827,8.2608,4.1646,5.4915,0,mixed,0
374,3.4824,3.9146,7.9664,1.8052,6.682,0,holstein,1
375,4.1815,4.0787,7.5085,3.5919,7.045,0,jersey,1
376,4.0424,3.588,8.0847,2.871,6.7749,0,mixed,0
377,4.9756,3.7196,10.4674,4.0652,6.8025,1,holstein,1
378,4.3477,3.2413,8.8345,3.2768,7.3904,0,holstein,1
379,4.7477,4.9783,9.0495,4.4356,6.1368,0,jersey,1
380,3.5022,2.5993,8.8439,3.0905,5.6976,0,jersey,0
381,3.5991,2.9127,9.4795,2.7986,6.7215,0,holstein,0
382,3.9105,3.511,7.5099,4.7153,7.6113,1,jersey,0
383,3.8768,4.379,5.9452,3.6965,8.35,0,mixed,0
384,4.0954,2.0026,7.8114,3.8782,7.6257,0,holstein,1
385,3.4847,2.1897,8.8117,2.2025,5.8254,0,holstein,1
386,2.5005,1.4623,6.7302,2.1457,6.8141,1,holstein,0
387,4.0321,3.5327,7.8236,2.3187,7.2053,0,holstein,1
388,3.7069,2.3817,7.0082,2.655,7.1421,1,holstein,0
389,4.4977,3.1154,9.502,3.9434,7.4314,0,holstein,1
390,4.167,4.1614,8.4495,4.5712,6.2664,1,jersey,0
391,4.0747,2.8585,8.6515,2.8138,7.052,0,holstein,1
392,4.3882,3.7313,8.6216,4.7171,7.3363,0,mixed,1
393,3.9845,3.2007,7.9628,4.6422,7.6605,0,holstein,0
394,4.1213,4.1721,8.1976,3.2921,6.3554,0,holstein,0
395,3.5739,3.9751,6.8148,2.0137,6.7239,0,mixed,1
396,2.7849,2.8081,5.8136,4.8905,4.8369,0,mixed,0
397,3.5143,3.3313,7.8501,3.3268,6.5028,1,holstein,0
398,4.4949,4.5437,8.324,3.1514,6.5805,0,holstein,1
399,4.2563,3.8934,9.2093,2.5925,6.1843,0,holstein,1
400,3.0789,2.103,9.5713,1.9323,7.1325,0,jersey,0
401,4.0029,4.1556,9.57,1.2376,6.9552,0,holstein,0
402,3.2445,2.4154,6.702,4.1594,5.1926,1,holstein,0
403,4.0894,4.9125,7.6477,2.0599,7.1724,0,holstein,1
