hospital_id,year,log_output,log_labor,log_capital,log_supplies,teaching,accreditation,occupancy_rate,avg_stay
47,2010,6.2658,5.7448,2.9412,6.4059,0,0,0.6992,4.46
48,2010,6.8001,5.9463,4.7803,4.6766,0,0,0.6747,4.23
49,2010,6.2488,4.8508,3.3427,6.4963,0,0,0.7782,2.65
50,2010,6.734,5.6477,3.8917,6.2708,0,0,0.9241,4.62
51,2010,7.4702,6.6912,6.7213,5.631,0,0,0.9135,3.42
52,2010,6.5076,4.539,4.9689,6.3057,0,1,0.7127,4.93
53,2010,6.946,5.3597,5.0337,4.7651,1,0,0.98,5.84
54,2010,6.2978,4.6903,5.0835,6.2877,0,0,0.9717,5.15
55,2010,6.4262,5.3798,3.6082,5.6675,0,0,0.8955,4.85
56,2010,6.2356,3.4507,5.2082,6.1928,1,0,0.5561,6.46
57,2010,7.9056,7.3673,4.8491,6.2375,0,1,0.592,7.17
58,2010,7.0211,5.1255,4.0491,6.5306,0,0,0.825,8.0
59,2010,6.7305,5.3836,5.417,4.4939,0,1,0.6949,4.65
60,2010,6.9485,5.3822,5.534,5.8661,0,0,0.4716,3.57
61,2010,7.313,6.0538,4.3809,6.5469,0,0,0.8759,3.55
62,2010,5.9823,4.5149,3.0836,6.4692,0,0,0.6258,5.48
63,2010,5.6408,3.6197,3.1113,5.3053,0,1,0.6273,5.31
64,2010,7.1171,5.8403,4.539,6.3684,1,0,0.8421,3.22
65,2010,5.8437,4.2235,2.492,6.7182,0,0,0.769,7.06
66,2010,7.1414,6.9522,4.9753,5.7522,0,0,0.5268,5.7
67,2010,7.2957,6.8414,5.4574,5.2795,0,0,0.7141,3.47
68,2010,6.9025,6.0993,5.0786,6.2449,0,0,0.8031,8.0
69,2010,7.7366,6.9015,5.737,6.1946,0,0,0.6833,2.94
70,2010,6.5756,5.7497,3.4787,6.1404,0,0,0.7743,3.31
71,2010,7.0259,5.8492,4.6524,5.9893,0,1,0.9657,7.29
72,2010,6.7452,5.8407,4.8009,4.6896,0,1,0.7319,4.01
73,2010,6.6048,4.801,3.5074,6.2211,1,0,0.8771,7.55
74,2010,6.6392,5.1276,4.6077,5.7561,0,0,0.882,5.24
75,2010,6.4604,5.1311,4.6843,6.1499,0,0,0.6895,4.24
76,2010,6.0757,4.0358,4.5451,6.0437,0,0,0.9225,3.18
77,2010,5.6976,4.6942,4.2305,5.5574,0,0,0.4293,6.29
78,2010,7.8359,6.9657,4.4883,7.1765,0,0,0.9213,9.17
79,2010,6.5232,6.1287,3.8242,6.6325,0,1,0.7657,6.23
80,2010,7.1876,5.5511,4.3837,6.0853,1,1,0.6912,7.32
1,2011,6.9694,5.5419,4.6345,5.5983,1,0,0.835,3.44
2,2011,6.7309,5.6931,3.5629,6.487,0,0,0.7062,4.23
3,2011,6.9721,5.2384,4.3358,5.9125,1,1,0.528,1.5
4,2011,6.8807,5.6639,5.5625,5.6455,0,0,0.6217,3.06
5,2011,6.7864,5.4828,4.1759,6.6988,0,0,0.655,4.28
6,2011,7.301,5.7623,4.495,7.2758,1,0,0.8125,2.33
7,2011,6.5293,5.5002,3.4821,5.4313,1,1,0.98,4.95
8,2011,7.4731,6.7261,5.0268,7.0281,1,0,0.6803,7.37
9,2011,7.3421,5.3048,6.1398,5.833,0,0,0.651,5.64
10,2011,7.8216,6.5168,6.0385,6.2969,0,0,0.7641,5.41
11,2011,7.2754,5.7101,5.3209,6.3855,0,0,0.7445,7.28
12,2011,5.5355,5.8038,1.207,4.7976,1,0,0.7123,6.07
13,2011,7.0036,5.1195,6.5162,6.0108,0,0,0.6155,3.98
14,2011,6.5304,5.4291,3.2324,5.7901,1,0,0.7707,3.4
15,2011,6.8142,5.7242,5.0819,5.3464,0,0,0.7592,4.83
16,2011,6.6081,5.8443,3.0951,6.1438,0,0,0.7055,2.57
17,2011,6.8541,5.1699,3.992,6.5386,0,0,0.8308,2.59
18,2011,7.2099,6.0212,4.5324,6.0171,0,0,0.9128,5.18
19,2011,7.1293,5.5262,4.8165,6.4961,1,0,0.6675,4.57
20,2011,6.8742,6.7902,4.1441,4.967,0,1,0.8457,6.16
21,2011,7.247,5.2533,5.0673,6.2641,1,1,0.6325,5.5
22,2011,6.3342,3.7563,4.5253,6.0035,0,0,0.8289,1.5
23,2011,6.8959,5.1105,4.5159,6.7253,1,0,0.7793,4.4
24,2011,7.4618,6.3936,5.2071,6.1778,1,1,0.8517,6.75
25,2011,6.5938,4.7631,4.9069,5.1611,1,1,0.6519,4.32
26,2011,7.3875,6.6547,4.6102,6.2741,0,1,0.7682,10.29
27,2011,7.0332,6.5043,3.9864,6.0503,0,0,0.7366,8.31
28,2011,6.1281,4.6526,4.3194,4.9301,0,0,0.9284,5.25
29,2011,7.7558,6.7811,4.8115,6.0166,0,0,0.9133,11.02
30,2011,6.0967,4.4062,3.1217,6.4851,0,1,0.7624,5.62
31,2011,7.1172,4.8872,5.5302,7.0347,0,0,0.756,6.99
32,2011,7.2301,5.8792,4.8856,5.1511,1,0,0.904,7.66
33,2011,6.9997,6.832,4.3545,5.324,0,0,0.6596,8.01
34,2011,6.9511,5.9295,3.7137,6.4509,0,0,0.7645,7.67
35,2011,7.0787,6.9127,4.4006,5.8317,0,0,0.7267,5.03
36,2011,7.5232,6.5847,4.3286,6.8901,0,1,0.6477,4.87
37,2011,6.7393,7.002,2.5,4.7162,0,1,0.7595,5.22
38,2011,7.1655,5.114,5.3507,6.6586,0,1,0.7567,6.78
39,2011,6.4691,5.5269,4.4475,6.9834,0,0,0.7877,4.28
40,2011,6.3687,4.3556,3.652,5.4574,0,0,0.6126,4.67
41,2011,6.1207,3.9519,4.3711,5.2889,0,0,0.7056,4.67
42,2011,6.8237,5.8436,3.3113,6.6129,1,0,0.6636,5.7
43,2011,7.4287,5.7892,5.0419,5.9049,0,0,0.7537,2.65
44,2011,6.9601,7.1054,3.4151,5.3901,0,0,0.7242,6.9
45,2011,6.7039,5.5407,3.9989,5.6416,1,0,0.5963,4.43
46,2011,6.1658,5.126,4.3381,5.5219,1,0,0.98,6.0
47,2011,7.7473,6.6215,4.4986,6.9635,0,0,0.5377,1.5
48,2011,6.4337,4.8847,4.8806,6.2678,0,0,0.6469,6.45
49,2011,6.6178,4.8721,4.521,6.411,0,0,0.6129,5.57
50,2011,6.5308,5.0178,5.3898,6.0036,0,0,0.9082,3.4
51,2011,6.7974,6.6259,3.7097,6.1411,0,0,0.7344,2.28
52,2011,7.6233,6.8315,4.0133,6.6531,0,1,0.6796,6.95
53,2011,7.1683,4.8144,5.0758,6.4468,1,0,0.7013,5.3
54,2011,6.8702,5.0844,4.576,5.6593,0,0,0.9289,4.65
55,2011,6.2583,3.7926,5.1367,5.9645,0,0,0.7288,7.79
56,2011,6.4783,5.6482,4.1067,5.7409,1,0,0.7522,9.41
57,2011,6.0179,4.9421,3.4292,5.3054,0,1,0.7859,7.09
58,2011,5.8531,5.2829,2.2477,5.2946,0,0,0.4495,6.63
59,2011,7.2079,6.2339,3.9526,6.368,0,1,0.4216,4.7
60,2011,7.1207,6.5054,3.8478,5.6601,0,0,0.7306,6.15
61,2011,6.051,4.3459,4.4688,6.628,0,0,0.7825,7.33
62,2011,8.1412,6.9852,4.9124,6.4647,0,0,0.8602,5.94
63,2011,7.161,5.8055,3.9842,5.2436,0,1,0.7293,3.8
64,2011,7.0464,5.2898,4.9926,5.095,1,1,0.6671,7.23
65,2011,6.8643,5.2011,4.286,5.7675,0,0,0.8109,4.65
66,2011,7.1061,4.6225,5.7064,6.8993,0,0,0.8584,4.64
67,2011,6.9941,5.4038,4.763,6.3283,0,0,0.8545,6.21
68,2011,6.2048,5.2633,4.3572,4.7949,0,0,0.9318,7.85
69,2011,7.1421,4.9907,5.8433,5.6512,0,0,0.6246,6.07
70,2011,7.0676,6.1718,3.3822,7.019,0,0,0.9785,6.61
71,2011,7.4629,6.2159,4.8429,6.6026,0,1,0.7305,4.42
72,2011,6.3384,4.1874,5.5836,6.9128,0,1,0.8166,4.56
73,2011,7.26,5.3132,4.2943,6.2683,1,0,0.8745,7.34
74,2011,6.7451,5.9167,5.0831,5.7229,0,0,0.6456,7.05
75,2011,5.7956,5.1108,1.8045,5.1005,0,0,0.5587,5.87
76,2011,7.2003,5.42,4.78,7.6651,0,0,0.7983,2.62
77,2011,6.8271,5.5223,4.2166,7.1264,0,0,0.6838,4.75
78,2011,6.8289,6.222,3.8041,5.3663,0,0,0.7659,8.97
79,2011,5.6372,4.3695,3.1763,4.7319,0,1,0.8736,5.48
80,2011,6.4728,5.1856,4.2246,7.3319,1,1,0.89,5.37
1,2012,7.1832,5.6903,4.8559,6.6431,1,0,0.9647,6.2
2,2012,6.2076,4.987,4.4496,5.5593,0,0,0.5952,5.96
3,2012,6.4996,4.5051,5.0697,5.12,1,1,0.7176,3.09
4,2012,6.8349,5.8418,2.5456,5.9322,0,0,0.919,5.96
5,2012,5.3511,3.864,2.9424,6.1264,0,0,0.7681,6.4
6,2012,5.8881,3.4905,4.417,6.0471,1,0,0.7222,1.5
7,2012,6.5896,3.7465,5.0063,6.3613,1,1,0.8895,7.7
8,2012,6.9617,6.1865,3.0317,5.4375,1,0,0.6202,9.32
9,2012,6.8826,6.5388,4.2328,4.7203,0,0,0.8608,5.77
10,2012,6.4616,5.1291,4.227,5.1321,0,0,0.8075,2.17
11,2012,6.5201,5.2372,4.649,5.4853,0,0,0.8526,6.92
12,2012,6.8865,6.0912,3.0622,6.0366,1,0,0.6838,2.97
13,2012,7.0196,5.5403,5.4235,4.4772,0,0,0.7584,2.39
14,2012,6.3193,5.3721,3.0019,4.3431,1,0,0.7416,6.4
15,2012,6.8779,5.4166,3.8701,6.3258,0,0,0.7053,2.53
16,2012,7.1969,5.4397,5.4921,6.8833,0,0,0.7886,8.46
17,2012,6.6014,5.2478,4.081,6.146,0,0,0.923,6.32
18,2012,7.1375,7.7492,2.824,6.1674,0,0,0.7694,3.94
19,2012,7.2288,5.6877,5.5292,4.4011,1,0,0.7656,6.82
20,2012,6.7004,4.9817,4.7261,6.1286,0,1,0.805,7.46
21,2012,6.7753,5.5394,4.3262,5.0114,1,1,0.8901,1.77
22,2012,7.0715,5.5533,4.3856,6.8404,0,0,0.7047,6.6
23,2012,6.6874,5.2344,4.3043,4.953,1,0,0.6992,7.85
24,2012,8.0524,7.534,3.5882,6.0496,1,1,0.5488,6.8
25,2012,7.0637,5.5392,4.7669,5.5563,1,1,0.903,3.91
26,2012,6.5829,5.3052,3.0218,6.6932,0,1,0.5682,5.57
27,2012,7.2703,5.1783,5.672,5.6598,0,0,0.7263,2.3
28,2012,5.8077,5.1265,3.1104,5.0926,0,0,0.7898,5.02
29,2012,5.6792,4.2527,4.7754,5.3479,0,0,0.8092,4.37
30,2012,7.7716,7.057,4.1029,6.2247,0,1,0.777,1.5
31,2012,6.2071,5.3315,3.5151,6.0329,0,0,0.6903,1.5
32,2012,6.6099,4.2924,3.8215,7.2803,1,0,0.8328,2.62
33,2012,6.844,5.6821,4.5173,6.124,0,0,0.6471,4.24
34,2012,6.763,5.5062,3.8656,6.2286,0,0,0.698,7.13
35,2012,6.246,4.8859,3.9699,6.2371,0,0,0.8208,2.68
36,2012,6.7739,4.9642,3.9679,6.7726,0,1,0.8671,3.75
37,2012,6.433,5.6933,3.5291,5.588,0,1,0.9652,9.84
38,2012,7.0934,4.4581,5.1915,5.3101,0,1,0.6331,3.2
39,2012,6.9563,4.4121,5.9818,6.751,0,0,0.7227,4.4
40,2012,6.411,6.2188,4.6245,4.3696,0,0,0.7853,3.06
41,2012,6.9818,5.7297,5.3903,4.8415,0,0,0.9055,7.52
42,2012,6.7711,5.2577,4.3664,5.6352,1,0,0.7239,1.6
43,2012,6.5173,5.5808,2.7614,6.3525,0,0,0.8131,4.69
44,2012,6.8585,5.766,4.5138,6.1728,0,0,0.8753,1.5
45,2012,6.9252,3.9464,5.2768,6.9837,1,0,0.8719,6.27
46,2012,6.5624,4.8264,4.3016,6.5594,1,0,0.8409,7.02
47,2012,6.9503,5.7472,4.3058,7.1099,0,0,0.8098,6.46
48,2012,5.5856,4.3077,2.543,5.9094,0,0,0.7613,7.06
49,2012,7.0008,5.2766,5.102,6.3592,0,1,0.8394,4.02
50,2012,7.0316,5.977,3.4733,6.9597,0,1,0.8852,6.09
51,2012,6.5878,5.1259,4.6389,6.555,0,0,0.7789,4.88
52,2012,6.8163,3.987,5.1042,7.2348,0,1,0.6861,2.91
53,2012,6.3834,5.5744,2.6728,6.1933,1,0,0.847,8.14
54,2012,5.6895,4.9667,3.5317,4.5849,0,0,0.5727,6.39
55,2012,6.4868,4.5533,3.9213,6.6871,0,0,0.5739,6.21
56,2012,6.9776,5.6403,4.079,6.337,1,1,0.8343,2.98
57,2012,6.1306,6.4335,1.7281,5.5649,0,1,0.8212,6.4
58,2012,5.9448,3.9566,5.4964,5.9685,0,0,0.5841,3.11
59,2012,6.5184,6.1862,3.0129,5.8177,0,1,0.69,3.27
60,2012,5.8883,4.6335,3.9227,5.5065,0,0,0.598,8.51
61,2012,5.8217,4.1847,3.9033,5.4872,0,0,0.6127,1.5
62,2012,6.7041,4.9845,4.6845,5.302,0,0,0.7668,5.79
63,2012,6.6929,5.5958,3.8818,5.7917,0,1,0.6157,4.73
64,2012,7.091,5.1577,5.2035,5.8492,1,0,0.8182,5.78
65,2012,6.5748,4.0249,4.7101,7.1495,0,1,0.9636,2.62
66,2012,6.4132,4.9053,4.2497,6.1812,0,0,0.6927,5.36
67,2012,7.0201,5.6186,5.3036,6.0156,0,0,0.5968,6.08
68,2012,6.1648,5.1657,3.9061,6.3401,0,0,0.749,4.24
69,2012,7.7031,6.4893,5.0768,5.1608,0,0,0.8947,5.11
70,2012,6.9585,5.6989,4.0568,6.6135,0,0,0.7588,8.48
71,2012,6.6383,5.6143,3.4125,5.1311,0,1,0.7618,3.72
72,2012,7.3186,6.4983,4.0047,6.4319,0,1,0.4478,5.71
73,2012,6.8764,4.7021,4.7479,6.6557,1,0,0.8484,4.37
74,2012,7.0987,5.9313,4.8603,5.9991,0,0,0.6684,2.54
75,2012,6.3252,5.7659,4.9894,5.6436,0,1,0.613,7.62
76,2012,6.5961,5.7635,4.8607,5.8358,0,0,0.6289,2.41
77,2012,6.1384,5.3427,3.3061,4.73,0,0,0.7561,6.36
78,2012,6.367,5.5047,2.5158,5.3384,0,1,0.6912,2.73
79,2012,7.4373,6.2856,5.1601,5.9175,0,1,0.8064,2.99
80,2012,7.3382,5.8517,4.4898,6.4528,1,1,0.6845,6.24
1,2013,7.124,6.8434,4.79,4.9137,1,0,0.8695,3.59
2,2013,6.2281,4.6522,3.7517,6.158,0,1,0.7314,4.18
3,2013,7.1508,5.8267,4.1956,6.0059,1,1,0.8246,7.02
4,2013,6.5726,4.8055,4.503,5.9578,0,0,0.8577,6.31
5,2013,7.2351,5.5504,6.5605,5.7296,0,0,0.7021,6.04
6,2013,7.497,5.9556,5.7609,6.1275,1,0,0.7228,5.7
7,2013,6.5213,4.9089,3.6023,6.6431,1,1,0.98,5.99
8,2013,6.8603,4.7366,4.7522,6.5244,1,0,0.7574,6.66
9,2013,7.1339,4.7026,5.6169,6.4252,0,0,0.8463,3.71
10,2013,6.3189,5.1116,3.7902,5.3559,0,1,0.98,1.78
11,2013,7.4603,5.967,5.0658,5.8106,0,0,0.8052,5.3
12,2013,7.0548,5.5313,4.381,5.7061,1,0,0.5415,3.2
13,2013,6.7729,5.5562,4.6533,4.7427,0,0,0.8521,3.34
14,2013,7.2378,5.3361,4.5424,6.4225,1,0,0.7392,3.57
15,2013,7.1577,5.2183,5.2381,6.7619,0,0,0.7103,6.08
16,2013,6.6018,5.4151,3.8884,4.9733,0,1,0.661,5.23
17,2013,7.5189,5.6194,4.5623,6.3647,0,0,0.7753,3.61
18,2013,7.0415,6.694,3.5922,5.2248,0,0,0.8232,3.04
19,2013,6.4541,4.899,3.2561,6.7169,1,0,0.6567,4.59
20,2013,7.1512,5.6126,5.6439,5.4299,0,1,0.6905,2.04
21,2013,6.828,4.5968,4.8084,6.2289,1,1,0.846,1.5
22,2013,6.9783,5.3645,4.9227,6.5893,0,0,0.4797,3.63
23,2013,7.0007,4.6805,5.0853,6.7009,1,0,0.5434,4.29
24,2013,6.2918,5.1972,2.7926,7.0011,1,1,0.3973,2.64
25,2013,7.8667,5.838,5.1409,7.6546,1,1,0.8976,5.75
26,2013,7.413,6.4593,4.0914,6.8317,0,1,0.5754,6.09
27,2013,6.0751,5.2263,3.7654,4.1886,0,0,0.675,4.19
28,2013,7.5557,6.5971,4.761,6.6535,0,0,0.7058,9.07
29,2013,7.1589,5.4222,4.9566,7.7166,0,0,0.7717,6.19
30,2013,5.8705,5.554,2.3659,6.4195,0,1,0.8153,7.72
31,2013,6.3805,4.19,4.6612,5.9358,0,0,0.7853,7.2
32,2013,7.1553,6.0957,5.7494,5.8162,1,0,0.98,6.87
33,2013,7.5088,5.1087,5.9509,6.6852,0,1,0.8624,3.26
34,2013,6.6317,3.9187,4.7385,6.3924,0,0,0.7605,5.6
35,2013,8.2447,5.8999,6.7679,7.0685,0,0,0.9534,3.2
36,2013,6.6529,4.6188,4.2624,5.9378,0,1,0.7185,3.43
37,2013,6.7363,5.0877,4.6261,6.0866,0,1,0.7224,1.5
38,2013,6.8498,5.9887,3.8809,4.8413,0,1,0.8598,2.13
39,2013,5.81,4.1305,4.7242,5.3611,0,0,0.7596,1.5
40,2013,6.9861,5.2246,5.4208,6.2869,0,1,0.743,3.91
41,2013,6.4415,5.731,4.1572,4.3568,0,0,0.8341,3.47
42,2013,7.421,6.4176,5.7208,5.5232,1,1,0.9541,1.79
43,2013,7.4377,6.7568,4.098,6.1042,0,0,0.4857,1.5
44,2013,6.089,4.3392,5.4451,5.3558,0,0,0.6958,5.17
45,2013,7.61,6.439,4.4677,6.1926,1,0,0.65,3.23
46,2013,6.6134,5.2364,4.0932,6.5896,1,0,0.8538,6.84
47,2013,6.9546,5.2531,4.6193,6.7872,0,0,0.7166,6.28
48,2013,6.0723,5.2423,3.307,5.4096,0,1,0.535,2.68
49,2013,6.7746,5.1573,4.1072,6.271,0,0,0.9237,6.52
50,2013,7.056,6.0723,4.1973,7.2575,0,0,0.7694,1.5
51,2013,7.2518,5.5182,5.19,6.9241,0,0,0.7607,5.0
52,2013,7.1331,4.8502,5.4289,7.531,0,1,0.8628,3.8
53,2013,7.6449,5.7024,5.3878,6.3607,1,0,0.6992,7.66
54,2013,6.8112,5.3576,4.0136,7.3039,0,0,0.9476,5.92
55,2013,7.157,6.5727,4.9201,4.7541,0,0,0.7798,4.03
56,2013,7.1232,6.0784,4.4388,5.7872,1,0,0.7393,1.6
57,2013,7.1801,5.687,4.6019,5.8886,0,1,0.7,7.5
58,2013,7.0016,5.888,4.8473,5.7977,0,0,0.5704,6.43
59,2013,7.1014,7.2267,2.9987,6.465,0,1,0.7595,4.23
60,2013,6.454,5.269,2.643,6.6704,0,0,0.713,1.5
61,2013,7.5108,6.9829,5.6005,5.4795,0,0,0.8081,5.29
62,2013,6.9427,6.0296,5.8168,6.1622,0,0,0.5478,6.14
63,2013,7.6727,6.4874,5.6934,5.3025,0,1,0.8108,3.57
64,2013,7.4854,5.5783,5.7557,6.2459,1,0,0.8058,6.12
65,2013,6.2353,4.2629,3.7741,6.9285,0,0,0.98,6.14
66,2013,6.6663,5.4739,4.6948,6.8826,0,0,0.8896,4.11
67,2013,6.3806,4.1088,5.1763,5.547,0,0,0.7414,6.85
68,2013,6.5967,4.9203,5.9971,5.5721,0,0,0.6835,5.18
69,2013,7.6715,6.6307,5.8333,5.4892,0,0,0.7904,4.1
70,2013,7.6296,6.6436,5.7377,5.9908,0,0,0.6467,5.09
71,2013,6.8707,5.6098,3.7402,5.5066,0,1,0.8447,4.03
72,2013,7.1709,5.6947,6.6022,5.2451,0,1,0.7462,8.48
73,2013,6.9134,5.7215,3.6273,5.8989,1,0,0.6658,5.16
74,2013,6.6668,5.0749,4.5191,5.6629,0,0,0.681,4.51
75,2013,6.7037,5.1112,4.9012,5.8359,0,1,0.6863,6.58
76,2013,7.2124,6.5415,4.3195,6.764,0,0,0.826,1.65
77,2013,6.58,6.6559,2.8536,5.2338,0,0,0.7819,1.69
78,2013,6.7189,5.8679,4.5873,6.2692,0,0,0.7211,8.0
79,2013,7.3546,6.4266,4.6505,5.8759,0,1,0.8679,2.98
80,2013,6.9534,5.3177,5.007,5.8424,1,1,0.4216,5.8
1,2014,7.5084,6.4501,3.5815,6.2518,1,0,0.7781,5.33
2,2014,6.5791,4.7762,4.3174,7.3139,0,0,0.7916,3.93
3,2014,6.3256,5.0753,4.4058,5.6951,1,1,0.6296,2.5
4,2014,6.8633,5.9808,3.6937,4.749,0,0,0.98,7.88
5,2014,6.9373,6.0818,4.8088,5.7337,0,0,0.8955,4.16
6,2014,7.4857,5.9755,5.3028,6.8194,1,0,0.8995,2.7
7,2014,6.5774,5.0407,3.8261,4.7276,1,1,0.576,4.03
8,2014,7.351,5.4116,4.4029,5.8194,1,0,0.8624,7.04
9,2014,7.4193,6.6714,3.8509,6.3476,0,1,0.7143,6.03
10,2014,6.9764,5.1532,4.1514,7.1609,0,1,0.7813,5.12
11,2014,6.8303,6.0191,4.2913,6.4883,0,0,0.708,7.3
12,2014,6.5892,4.843,4.5884,7.2573,1,0,0.8864,6.85
13,2014,6.6021,5.2003,4.0171,6.0622,0,1,0.6049,3.83
14,2014,6.3739,4.255,4.7297,6.4874,1,1,0.8636,6.61
15,2014,6.8064,4.2442,6.7713,5.4506,0,1,0.756,8.78
16,2014,7.2482,5.9471,4.6803,6.8656,0,0,0.6505,6.09
17,2014,5.9774,4.9103,3.4857,5.5768,0,0,0.9015,6.26
18,2014,7.2529,6.5325,4.6424,5.3952,0,0,0.8871,4.79
19,2014,7.0612,4.3789,5.0799,5.5237,1,1,0.7851,4.42
20,2014,7.3791,6.8898,4.6529,6.5711,0,1,0.6397,2.59
21,2014,5.9553,5.6464,2.4911,5.1457,1,1,0.6887,2.95
22,2014,7.4893,6.1324,5.5196,6.0504,0,1,0.8176,5.71
23,2014,6.8094,4.9088,4.8966,6.0142,1,0,0.787,4.31
24,2014,6.8495,5.7074,3.8018,6.7174,1,1,0.6905,2.68
25,2014,7.0998,5.2304,4.5502,6.8752,1,1,0.6012,7.14
26,2014,7.3684,7.0175,4.4743,4.4667,0,1,0.6261,6.19
27,2014,6.8806,6.3582,3.9166,6.2944,0,1,0.9591,8.76
28,2014,6.2617,5.7958,3.3103,5.8719,0,0,0.6889,6.9
29,2014,5.8101,3.4712,3.0019,7.1626,0,0,0.9114,7.21
30,2014,6.7549,5.5742,4.2469,5.9804,0,1,0.6799,8.39
31,2014,5.8718,4.5063,5.1059,5.7681,0,0,0.8207,6.55
32,2014,7.4399,5.578,6.1738,5.0759,1,0,0.6478,6.16
33,2014,7.6769,6.8,3.9856,7.5975,0,0,0.6816,5.16
34,2014,7.0627,5.7732,4.8896,5.6317,0,1,0.7636,5.04
35,2014,6.3629,5.3691,4.7226,5.1225,0,0,0.98,4.92
36,2014,7.8633,6.6163,5.0537,7.1724,0,1,0.7953,8.27
37,2014,7.2617,4.6889,6.6856,6.7359,0,1,0.98,4.13
38,2014,5.541,4.2132,4.1948,5.6587,0,1,0.9199,6.48
39,2014,6.264,5.1858,4.0673,6.0804,0,0,0.7376,6.58
40,2014,6.0136,3.9557,3.4357,7.1559,0,0,0.6943,7.21
41,2014,6.1759,4.4218,3.7195,6.2234,0,1,0.7496,5.13
42,2014,6.9811,5.929,4.6249,5.9925,1,0,0.6225,5.81
43,2014,6.9062,5.1331,4.671,5.7871,0,0,0.9212,4.86
44,2014,6.0604,4.8196,3.7071,6.0306,0,0,0.8767,7.95
45,2014,7.7869,5.4,5.6451,6.298,1,0,0.717,4.15
46,2014,7.8477,5.8954,6.3745,5.4746,1,1,0.7352,5.11
47,2014,5.8073,4.9058,4.5306,4.8973,0,0,0.5815,6.64
48,2014,6.4468,4.9581,3.9533,6.434,0,1,0.714,2.88
49,2014,6.8396,5.0041,5.3407,5.5077,0,0,0.7885,7.04
50,2014,6.4675,5.9456,3.535,5.6354,0,0,0.9294,3.79
