firm_id,year,log_output,log_labor,log_capital,log_spectrum,technology,market_share
11,2006,6.463,6.2258,6.6055,3.4244,2G,0.0237
12,2006,8.9854,8.9872,10.0945,4.307,2G,0.0119
13,2006,8.6679,7.1713,9.3548,4.7626,3G,0.01
14,2006,9.3318,9.6791,8.9991,6.2442,2G,0.0103
15,2006,7.9345,6.8517,7.5968,5.4023,3G,0.0416
16,2006,8.6994,7.5682,9.822,5.2717,2G,0.0449
17,2006,6.9972,7.9487,6.2145,4.7836,2G,0.01
18,2006,7.0621,7.7889,7.4608,3.7705,3G,0.0523
19,2006,8.051,7.4939,7.9443,5.4548,3G,0.0767
20,2006,8.5207,6.8894,9.5606,5.3027,2G,0.069
21,2006,7.6685,8.5923,7.2511,4.3088,2G,0.0274
22,2006,8.7435,6.4762,10.3294,5.0943,2G,0.0561
23,2006,7.6226,6.1489,8.1402,5.4652,2G,0.0354
24,2006,6.5748,8.1139,5.4043,4.3915,2G,0.0513
25,2006,8.1108,6.7622,8.1464,4.877,3G,0.0188
26,2006,8.495,7.611,8.9877,5.4541,2G,0.0314
27,2006,7.5246,6.7208,7.6403,4.2361,3G,0.0357
28,2006,7.9259,6.1241,8.5029,5.3194,2G,0.01
29,2006,8.0456,7.7566,8.3944,4.5324,2G,0.048
30,2006,8.1036,6.9508,8.9453,4.3361,2G,0.0536
31,2006,8.2907,8.4207,8.533,5.4493,3G,0.0589
32,2006,8.5905,5.8713,9.4078,6.6035,3G,0.01
33,2006,8.0402,8.545,6.8741,5.1985,2G,0.0164
34,2006,7.0218,5.255,6.7525,4.6423,3G,0.01
35,2006,8.411,5.2605,9.3024,4.6049,3G,0.054
36,2006,8.4653,7.6227,9.7012,5.4562,2G,0.01
37,2006,7.3419,7.205,6.6721,5.3802,2G,0.01
38,2006,8.3682,7.146,7.6158,6.1405,3G,0.037
39,2006,7.8277,6.2861,9.0288,4.5538,2G,0.0316
40,2006,8.9373,4.6258,10.7318,7.1085,2G,0.01
1,2007,7.7087,6.7012,8.3788,4.1876,2G,0.0269
2,2007,9.1828,7.5656,11.0925,5.1352,2G,0.01
3,2007,7.9881,5.2969,8.9063,4.7927,2G,0.0201
4,2007,8.1855,5.9409,9.4845,5.372,2G,0.0495
5,2007,6.8452,6.4606,6.0878,4.9289,2G,0.0579
6,2007,6.7663,5.1372,6.2843,5.3675,2G,0.0365
7,2007,7.8645,7.2439,7.6711,4.0142,3G,0.0325
8,2007,8.5137,7.3517,9.0366,4.9075,2G,0.0519
9,2007,7.6939,6.4372,8.0115,4.6757,2G,0.0318
10,2007,8.2514,6.4585,8.8603,4.8122,2G,0.0227
11,2007,6.732,6.2567,5.6954,4.3419,3G,0.01
12,2007,7.6905,6.7849,7.3566,5.0611,2G,0.04
13,2007,8.0315,7.5245,8.3019,5.5819,2G,0.01
14,2007,7.5529,7.0494,8.4752,4.1549,2G,0.01
15,2007,7.6965,5.9798,8.5251,5.9905,2G,0.0357
16,2007,8.4523,8.3438,8.8185,5.6223,2G,0.0142
17,2007,8.4654,7.0515,9.3487,4.932,2G,0.0233
18,2007,6.7357,7.6807,6.3303,3.2047,2G,0.0406
19,2007,8.196,5.1792,8.8405,5.8574,2G,0.01
20,2007,7.4923,6.0624,8.5874,4.8176,2G,0.0596
21,2007,7.8969,8.0794,7.3552,5.7329,2G,0.0451
22,2007,8.7984,7.5341,9.4399,5.5287,2G,0.053
23,2007,8.1731,6.5138,7.0996,6.4788,2G,0.0443
24,2007,8.2398,8.2967,8.5725,5.213,2G,0.0671
25,2007,7.9196,5.6188,8.4492,4.9705,2G,0.015
26,2007,7.8171,7.1771,8.5847,4.8765,2G,0.0175
27,2007,7.8992,5.7576,9.3244,5.405,2G,0.0225
28,2007,8.7792,8.0521,9.9684,5.1131,2G,0.0256
29,2007,9.0351,7.3764,10.3154,5.9647,2G,0.0368
30,2007,8.3516,7.216,8.3819,4.6235,3G,0.0762
31,2007,8.08,7.4642,8.3787,5.3838,2G,0.0196
32,2007,7.1606,8.3612,7.0083,3.3423,3G,0.01
33,2007,8.2946,6.7963,10.0816,2.891,3G,0.0123
34,2007,7.2337,6.507,7.4792,4.2957,2G,0.01
35,2007,9.4373,6.6795,11.149,5.1254,2G,0.0859
36,2007,10.2997,7.4271,12.8819,5.8088,3G,0.0235
37,2007,8.4838,6.46,9.7441,5.078,2G,0.01
38,2007,7.1572,7.3094,5.9359,5.5428,2G,0.0295
39,2007,7.5874,6.9698,7.5548,5.6754,2G,0.025
40,2007,8.1996,6.972,9.0401,4.2927,2G,0.01
1,2008,7.5025,5.0088,8.6497,4.9315,2G,0.01
2,2008,7.4939,7.7941,7.0196,4.09,3G,0.0222
3,2008,6.1702,6.5762,5.4804,3.7718,2G,0.0327
4,2008,8.2334,7.0632,8.3558,5.9859,2G,0.01
5,2008,8.1102,5.2288,8.8339,5.055,3G,0.0433
6,2008,8.1323,8.8831,8.1316,3.9903,2G,0.0257
7,2008,8.7722,7.3485,9.3614,4.5999,3G,0.01
8,2008,8.7719,7.441,10.345,3.5664,3G,0.033
9,2008,8.5763,6.367,8.4015,6.5947,3G,0.01
10,2008,8.4402,6.9389,8.4999,5.3975,2G,0.0272
11,2008,8.2358,7.6087,7.2558,5.0725,3G,0.0236
12,2008,8.9578,7.8964,9.3747,6.0969,2G,0.022
13,2008,6.1734,4.0153,9.1277,2.1752,2G,0.0171
14,2008,7.8339,5.879,7.8634,6.2541,2G,0.0197
15,2008,8.9493,7.3901,10.7921,5.2229,2G,0.0427
16,2008,7.4843,5.4979,8.1585,4.4447,2G,0.0319
17,2008,8.2481,6.867,8.9654,5.6056,2G,0.01
18,2008,7.4852,6.4414,6.6343,5.3875,3G,0.0472
19,2008,8.386,7.7546,9.2385,5.6483,2G,0.0328
20,2008,9.3244,6.4527,9.7442,6.2704,3G,0.0609
21,2008,8.7201,7.2761,9.5891,5.1759,3G,0.01
22,2008,7.8193,6.1494,7.979,5.5563,2G,0.0268
23,2008,8.472,6.6752,9.7865,5.4664,2G,0.056
24,2008,6.8663,5.271,7.2383,4.2639,2G,0.052
25,2008,8.4817,7.5212,8.9976,5.3171,2G,0.01
26,2008,6.775,6.5439,5.7329,5.0977,2G,0.01
27,2008,7.9987,7.1907,8.0494,5.5101,2G,0.0612
28,2008,8.7383,6.4151,9.7222,5.6538,3G,0.0254
29,2008,7.3837,7.0791,7.6909,4.4274,2G,0.0439
30,2008,7.9517,7.4163,7.0703,4.9526,3G,0.0635
31,2008,8.6966,8.6048,9.136,5.5474,2G,0.01
32,2008,8.1945,8.3575,7.9656,5.9714,2G,0.01
33,2008,8.7594,7.3489,10.4218,4.9974,2G,0.01
34,2008,7.4237,5.274,7.3112,5.2226,2G,0.01
35,2008,8.7633,8.4307,9.0293,5.006,2G,0.0375
36,2008,7.0781,6.6333,6.9718,3.9228,2G,0.0231
37,2008,8.4453,6.9383,9.6363,5.2275,2G,0.01
38,2008,9.4971,8.4436,9.1369,5.8185,3G,0.0214
39,2008,8.2609,7.4641,9.1719,4.1627,2G,0.0385
40,2008,9.5911,8.3021,9.8099,6.319,3G,0.01
1,2009,8.3692,7.0495,8.8084,6.0452,2G,0.0283
2,2009,7.8965,7.2767,8.508,4.4578,2G,0.01
3,2009,8.1253,8.7589,8.6446,4.9699,2G,0.01
4,2009,9.3133,6.3188,10.5973,5.0445,3G,0.0108
5,2009,7.9981,6.6556,8.3723,6.378,2G,0.0344
6,2009,8.4593,6.8173,9.3618,5.4203,2G,0.0273
7,2009,8.5612,7.1156,9.9306,5.3458,2G,0.0374
8,2009,8.0803,6.8929,10.5274,3.1403,2G,0.01
9,2009,6.8423,6.6639,6.698,4.3309,2G,0.01
10,2009,7.5338,6.4315,8.0594,4.1495,3G,0.0679
11,2009,7.2428,6.9143,6.7116,4.5632,2G,0.01
12,2009,8.1978,5.6695,9.8878,4.5265,2G,0.0261
13,2009,8.1419,6.6097,9.1449,5.6143,2G,0.01
14,2009,9.4008,6.7648,9.8042,6.7347,2G,0.0303
15,2009,7.5903,8.447,7.3544,4.09,2G,0.0242
16,2009,7.1631,6.1921,7.6546,4.4986,2G,0.0306
17,2009,8.0042,7.8399,8.0795,4.9934,2G,0.0203
18,2009,6.1168,5.0231,5.5914,4.1062,2G,0.01
19,2009,8.8464,7.41,9.8091,4.452,3G,0.0541
20,2009,8.1147,7.475,9.3886,4.6774,2G,0.0555
21,2009,7.607,7.2304,7.602,5.1302,2G,0.0112
22,2009,8.1968,8.1357,7.2562,6.426,2G,0.059
23,2009,6.9619,6.6179,6.4934,5.0561,2G,0.044
24,2009,7.7572,6.1092,9.0294,4.5304,2G,0.0924
25,2009,8.4675,8.6211,7.9688,5.8938,2G,0.013
26,2009,7.8574,6.8387,8.457,4.43,2G,0.01
27,2009,9.3174,8.5049,10.624,4.852,2G,0.0493
28,2009,8.9046,6.3531,10.8209,5.4329,2G,0.01
29,2009,8.385,4.943,9.7565,5.1931,3G,0.01
30,2009,9.1243,8.9623,9.7961,5.2816,2G,0.0821
31,2009,8.5266,7.3704,10.0804,3.988,3G,0.01
32,2009,7.1412,6.9369,5.8893,5.587,2G,0.01
33,2009,7.6364,5.8775,10.1859,2.8669,2G,0.01
34,2009,8.5312,6.1716,9.0631,5.5235,2G,0.0302
35,2009,8.2279,5.4904,10.2999,4.5486,2G,0.0567
36,2009,8.5432,7.2504,10.0871,5.4221,2G,0.01
37,2009,7.351,5.0318,7.2457,5.8144,2G,0.0192
38,2009,9.4898,7.3129,9.3892,7.2382,3G,0.0599
39,2009,7.9943,7.2848,7.8516,4.2446,2G,0.0347
40,2009,8.4346,7.8945,8.6157,4.9567,2G,0.01
1,2010,9.3248,8.8404,9.3517,4.8673,4G,0.0402
2,2010,8.4651,6.4286,9.7352,3.701,3G,0.0126
3,2010,9.053,5.8406,10.5398,6.1915,2G,0.0154
4,2010,8.2376,7.3895,6.7542,5.187,4G,0.0327
5,2010,8.9701,7.0156,10.323,6.0138,3G,0.0372
6,2010,8.103,5.0307,8.6271,6.0709,3G,0.0349
7,2010,8.9593,6.2396,10.6398,4.7236,3G,0.01
8,2010,8.4285,7.4742,8.4153,5.5915,3G,0.0415
9,2010,8.1029,6.6944,8.0583,4.6845,3G,0.01
10,2010,9.3057,6.8144,9.2392,4.7637,4G,0.0449
11,2010,9.5064,8.3471,7.7241,6.9862,4G,0.0426
12,2010,9.0179,6.7528,8.5444,5.5091,4G,0.0183
13,2010,9.271,7.7304,9.9074,5.6777,3G,0.01
14,2010,7.8959,6.1333,6.743,5.4072,4G,0.01
15,2010,8.688,5.6948,10.2272,4.6463,3G,0.01
16,2010,9.2866,6.6786,8.9482,6.9591,3G,0.0614
17,2010,8.9407,6.6076,9.4182,5.0879,4G,0.01
18,2010,9.3024,9.1133,8.6741,6.5207,3G,0.0228
19,2010,8.7554,6.1253,9.4294,5.9935,3G,0.0138
20,2010,7.3194,5.4684,6.3946,5.2346,3G,0.0398
21,2010,8.3529,6.6926,8.4606,6.8157,3G,0.01
22,2010,8.5978,7.2887,9.3302,5.2008,2G,0.0621
23,2010,8.2595,7.8881,7.0985,5.486,3G,0.0264
24,2010,7.4421,6.2636,7.2836,4.8578,3G,0.0616
25,2010,7.701,7.5734,7.0998,4.6713,3G,0.01
26,2010,8.0679,6.6566,9.2955,3.4431,3G,0.0239
27,2010,8.713,7.0158,9.4924,5.8984,3G,0.0401
28,2010,8.598,6.218,10.4604,4.9198,3G,0.01
29,2010,8.7065,6.703,8.517,4.8352,4G,0.01
30,2010,8.2253,4.8041,9.5671,5.6201,2G,0.0792
31,2010,8.4311,9.1015,7.774,5.8779,3G,0.01
32,2010,9.0695,6.6025,9.7309,5.3152,4G,0.0325
33,2010,7.6743,5.0732,7.579,5.5602,3G,0.01
34,2010,7.2841,6.245,8.1028,4.0004,2G,0.01
35,2010,8.3371,7.7646,8.6028,4.8733,2G,0.0646
36,2010,7.7254,6.0614,8.0441,4.287,3G,0.01
37,2010,8.4348,6.9149,8.397,5.4164,3G,0.01
38,2010,8.8154,6.8538,9.9114,3.3282,4G,0.01
39,2010,7.8194,7.376,7.6623,5.005,3G,0.0231
40,2010,7.5007,5.9736,8.2054,4.0799,3G,0.0345
1,2011,8.9206,7.2854,9.374,5.455,3G,0.0185
2,2011,9.0043,6.7315,10.0565,6.1292,3G,0.01
3,2011,8.3118,7.4556,9.1064,5.0509,2G,0.035
4,2011,8.5841,6.9221,8.9833,4.694,3G,0.011
5,2011,8.1861,7.0284,7.4591,5.5249,3G,0.01
6,2011,8.751,6.9552,10.0163,3.2264,3G,0.0617
7,2011,7.3901,5.6716,7.6792,5.3044,2G,0.0383
8,2011,8.5314,5.0863,9.9585,5.1677,3G,0.026
9,2011,7.836,4.4644,9.5804,3.9853,3G,0.0168
10,2011,8.1659,6.6246,7.7097,4.7235,3G,0.0552
11,2011,7.5229,6.7227,6.8346,5.5435,3G,0.01
12,2011,8.8508,9.337,7.4265,5.1445,3G,0.0203
13,2011,8.6919,7.1099,8.7525,5.4095,4G,0.01
14,2011,8.5616,7.1166,9.4941,5.0657,3G,0.01
15,2011,7.6707,6.1961,8.4453,4.0075,3G,0.05
16,2011,8.4603,6.1632,9.4434,4.6978,3G,0.0572
17,2011,7.1844,6.3784,6.751,4.0966,3G,0.0319
18,2011,8.9524,6.3279,11.6832,3.7323,3G,0.0333
19,2011,8.0589,7.1005,5.8488,5.4222,4G,0.0184
20,2011,8.0354,7.9004,8.5194,4.7122,3G,0.0722
21,2011,7.8423,5.8507,8.8768,4.702,3G,0.01
22,2011,7.8384,7.866,6.8209,4.609,2G,0.01
23,2011,7.8715,6.0495,8.2353,5.312,2G,0.0446
24,2011,8.0097,6.6517,6.8422,4.7575,4G,0.0614
25,2011,8.4199,6.0217,8.8205,4.8434,3G,0.01
26,2011,8.4129,7.5195,7.6801,4.6973,4G,0.01
27,2011,7.7924,6.1534,8.0152,4.6868,3G,0.0553
28,2011,9.8985,8.6228,11.7428,4.3774,3G,0.0182
29,2011,7.4788,6.2871,7.4276,4.3633,3G,0.0144
30,2011,9.4077,6.001,12.4571,4.8447,2G,0.0994
31,2011,8.7128,8.1922,9.4472,4.2311,3G,0.0663
32,2011,7.8306,7.6526,8.8031,3.2065,3G,0.0314
33,2011,8.0577,7.9431,6.5935,5.3905,3G,0.036
34,2011,7.4922,7.0806,8.2269,3.6494,2G,0.014
35,2011,8.3032,6.372,8.2565,5.1852,3G,0.0462
36,2011,7.703,7.074,6.4122,5.6294,3G,0.0127
37,2011,7.0348,4.9169,6.1569,5.3922,3G,0.0236
38,2011,9.1803,7.4687,9.8264,5.5168,3G,0.0135
39,2011,9.2524,8.0275,9.4543,4.4268,4G,0.0416
40,2011,8.4345,6.0624,8.5432,5.8169,3G,0.0469
1,2012,8.6937,7.4661,8.9401,5.404,3G,0.0414
2,2012,8.2044,6.1791,8.6383,5.8508,3G,0.01
3,2012,8.0022,6.9602,7.4388,4.9474,3G,0.01
4,2012,8.6045,6.6453,9.7948,5.6465,2G,0.0207
5,2012,7.4108,7.0778,6.6713,5.6174,2G,0.0546
6,2012,8.3347,7.0327,8.7891,4.9646,2G,0.0586
7,2012,8.0271,7.7434,8.0688,4.7247,3G,0.0215
8,2012,10.0135,7.5614,11.0842,6.3313,4G,0.01
9,2012,7.6482,6.4017,8.9094,3.6027,2G,0.0352
10,2012,8.4951,5.222,9.3578,5.9784,3G,0.0358
11,2012,7.9668,6.6727,8.1558,4.0219,3G,0.01
12,2012,8.7758,6.3754,10.2894,5.739,2G,0.01
13,2012,8.7598,6.8983,8.9814,4.8381,4G,0.01
14,2012,7.3417,7.5133,5.1568,6.2299,4G,0.0204
15,2012,7.6313,6.5848,6.9441,4.3631,3G,0.0633
16,2012,7.7729,6.7276,7.101,4.692,4G,0.0552
17,2012,7.9579,5.174,8.3106,4.5416,3G,0.029
18,2012,7.3278,6.7404,7.1257,4.6106,3G,0.0572
19,2012,7.0247,5.7111,6.0773,4.959,4G,0.0302
20,2012,9.3005,5.9843,11.3738,5.2521,3G,0.0488
21,2012,7.8185,7.0587,7.4204,5.9254,3G,0.01
22,2012,8.0672,6.963,7.8452,4.9524,3G,0.0163
23,2012,8.7336,7.2084,8.8482,4.939,3G,0.0523
24,2012,9.1957,6.9508,10.9624,4.1284,3G,0.0559
25,2012,8.6889,8.3965,9.351,5.3208,2G,0.0181
26,2012,7.9884,6.0423,8.3503,5.3476,3G,0.0122
27,2012,9.1887,7.2986,9.5688,5.4273,3G,0.0102
28,2012,8.8333,7.1967,8.7158,4.8073,3G,0.0135
29,2012,8.2475,7.3312,9.1693,4.1109,2G,0.0166
30,2012,8.9199,8.0876,9.658,4.2242,2G,0.0603
31,2012,8.9495,8.643,9.3083,5.316,3G,0.032
32,2012,7.9701,6.8381,7.6921,5.2896,3G,0.0117
33,2012,7.4771,7.3791,5.3207,5.3436,4G,0.01
34,2012,8.8588,7.4462,8.1419,5.2522,4G,0.01
35,2012,8.8684,5.9217,9.2554,5.9851,3G,0.0691
36,2012,7.97,5.5825,7.6567,5.8061,3G,0.01
37,2012,9.1525,7.6166,7.1708,6.1303,4G,0.01
38,2012,7.8295,7.3675,8.0133,3.7114,3G,0.0238
39,2012,9.0118,8.5082,9.011,5.4643,3G,0.01
40,2012,8.4518,6.8862,9.5675,5.0922,2G,0.035
1,2013,7.837,6.6059,8.9392,4.2294,2G,0.01
2,2013,8.2921,5.8313,9.1934,5.4872,3G,0.01
3,2013,8.4993,7.6846,8.8087,4.9106,3G,0.0283
4,2013,9.1051,7.5541,9.1325,5.9514,3G,0.02
5,2013,7.973,5.8599,6.1768,6.3577,4G,0.0511
6,2013,8.3014,7.4947,8.2611,4.7522,2G,0.0239
7,2013,9.3481,7.0629,9.3468,5.6447,4G,0.01
8,2013,8.5723,6.5523,8.8541,5.3071,3G,0.0141
9,2013,8.0983,6.8827,7.7656,5.2931,3G,0.0179
10,2013,8.5724,6.2395,9.241,6.0436,2G,0.076
11,2013,8.5871,7.2432,7.9135,5.0115,4G,0.01
12,2013,8.9123,8.1691,8.8132,5.0209,2G,0.0241
13,2013,7.8747,6.1517,7.6044,5.9932,3G,0.01
14,2013,8.1939,7.6729,7.8883,4.4472,3G,0.01
15,2013,8.1413,6.0726,9.7709,4.673,2G,0.0494
16,2013,9.3516,7.3961,9.4776,6.1862,2G,0.0587
17,2013,8.0061,6.257,7.7692,4.4001,4G,0.01
18,2013,8.3954,6.8054,9.3015,5.5886,2G,0.0318
19,2013,7.1038,7.1535,6.5305,4.4908,3G,0.0707
20,2013,9.9715,6.3671,11.4267,5.6762,4G,0.0646
21,2013,7.5676,6.8602,9.0172,3.7439,2G,0.01
22,2013,7.9758,5.9653,8.0165,5.0577,3G,0.0237
23,2013,8.6061,6.6557,8.4104,5.6635,3G,0.0642
24,2013,9.6913,7.8057,10.476,6.6534,3G,0.0778
25,2013,7.418,6.7034,7.9117,4.0259,2G,0.014
26,2013,7.7561,6.0143,7.3376,5.4063,3G,0.019
27,2013,8.4461,7.1652,9.5305,4.4099,3G,0.0811
28,2013,8.1113,5.8289,8.824,5.1898,3G,0.01
29,2013,7.8955,6.0712,7.0701,6.0188,3G,0.0545
30,2013,8.1996,6.1342,8.8135,6.1984,2G,0.0509
31,2013,8.3312,4.6515,10.4852,4.4225,3G,0.0457
32,2013,7.1197,7.3543,5.6686,4.5878,3G,0.0238
33,2013,8.2119,7.5833,9.5342,5.0378,2G,0.0213
34,2013,9.0625,5.6763,9.5186,5.9179,4G,0.0225
35,2013,8.8794,8.7816,8.2019,3.6896,4G,0.0236
36,2013,9.1254,7.2186,9.5855,5.5981,3G,0.043
37,2013,8.8477,5.2494,9.3836,6.1463,3G,0.0238
38,2013,9.8012,7.6921,12.0382,4.5896,3G,0.046
39,2013,6.399,5.8758,5.1048,4.8428,2G,0.0164
40,2013,9.505,6.9119,10.5959,5.4882,3G,0.0544
1,2014,8.5213,6.9034,9.5507,5.5813,2G,0.0605
2,2014,9.0881,6.456,9.2493,6.2138,3G,0.0623
3,2014,7.9557,7.4042,6.0873,6.491,3G,0.01
4,2014,8.3415,5.3521,9.3401,5.2996,3G,0.01
5,2014,9.6283,7.4789,9.9317,5.8281,3G,0.089
6,2014,8.5756,6.5142,9.7199,4.416,3G,0.01
7,2014,8.8367,7.581,9.7262,5.775,2G,0.0468
8,2014,8.6899,4.6051,9.0077,5.5102,4G,0.01
9,2014,8.9676,5.8205,8.3995,5.6533,4G,0.0382
10,2014,7.6732,6.3554,7.5839,5.8499,2G,0.0542
11,2014,8.076,8.4921,8.5308,3.3714,2G,0.0151
12,2014,8.3669,6.8033,8.6209,5.9489,3G,0.0186
13,2014,7.7674,6.2119,6.7785,5.8088,3G,0.024
14,2014,7.9257,7.6274,6.8712,5.5847,3G,0.01
15,2014,8.2846,6.6788,8.0927,5.769,3G,0.0339
16,2014,7.4713,6.0451,7.6054,3.9004,3G,0.0383
17,2014,8.1036,6.3175,7.744,6.5527,3G,0.01
18,2014,8.2002,8.0905,7.7477,4.7068,3G,0.0473
19,2014,9.5626,6.6183,11.0066,4.9741,4G,0.01
20,2014,8.1512,6.2387,8.8306,6.7246,2G,0.1091
21,2014,7.8403,6.9058,8.5169,4.4925,3G,0.01
22,2014,8.4806,6.629,8.849,5.6861,3G,0.0479
23,2014,9.2053,9.5337,8.5544,4.9769,3G,0.059
24,2014,8.7547,6.4029,9.5403,4.5987,4G,0.0513
25,2014,6.6854,6.1769,6.4007,3.711,3G,0.0337
26,2014,7.8743,5.5994,7.8936,4.6296,4G,0.0142
27,2014,8.3446,6.884,8.3405,4.9554,3G,0.0506
28,2014,8.0465,6.8894,6.2737,5.4613,4G,0.01
29,2014,8.0659,5.9759,9.2046,5.2661,2G,0.0663
30,2014,9.7116,7.7067,10.7157,5.294,3G,0.0847
31,2014,9.1751,6.2508,10.5991,7.167,2G,0.0475
32,2014,9.5826,8.0153,9.518,5.4447,4G,0.01
33,2014,9.3579,7.6933,10.7614,5.5263,2G,0.0361
34,2014,9.2221,8.4535,9.019,5.8651,3G,0.01
35,2014,8.8687,8.3114,9.6742,3.9378,3G,0.0494
36,2014,9.6462,5.1211,11.4903,5.8837,4G,0.0166
37,2014,9.184,6.2678,10.3356,5.6969,3G,0.026
38,2014,8.3551,7.79,7.609,3.9221,4G,0.0192
39,2014,8.8881,7.1535,8.3196,5.8505,4G,0.0358
40,2014,7.7653,8.8992,6.7021,5.7089,2G,0.01
1,2015,8.1195,4.7424,9.4515,5.0143,4G,0.0245
2,2015,9.2606,8.1965,9.2106,5.2744,3G,0.0464
3,2015,8.2825,5.926,9.2743,5.6966,3G,0.0305
4,2015,9.6655,7.5246,10.9565,5.5028,3G,0.0616
5,2015,9.3154,5.6606,10.2535,6.2808,4G,0.0174
6,2015,9.3707,7.0226,9.303,6.0173,4G,0.0364
7,2015,9.1826,7.4357,7.8359,7.0346,4G,0.0229
8,2015,9.0673,5.9488,10.4618,5.5105,4G,0.01
9,2015,9.1024,8.2098,8.7833,5.4628,3G,0.01
10,2015,8.629,6.5267,9.8474,4.1841,4G,0.012
11,2015,7.7765,6.4869,6.6181,4.8096,4G,0.01
12,2015,9.1147,8.5274,8.1267,4.8002,4G,0.01
13,2015,9.3034,6.6508,10.6689,6.4769,3G,0.01
14,2015,8.6364,5.9152,8.9967,5.3719,3G,0.012
15,2015,9.1361,8.0495,8.5422,5.1569,4G,0.0565
16,2015,8.2835,6.6348,7.5109,4.483,4G,0.0444
17,2015,9.3688,6.3196,9.3339,7.2363,4G,0.0472
18,2015,8.1045,8.0003,7.6813,5.2259,3G,0.0283
19,2015,8.4282,6.6991,9.6165,4.5461,3G,0.01
20,2015,8.3064,6.3729,9.0469,4.9774,3G,0.0384
21,2015,9.2597,7.4744,10.739,4.9174,3G,0.01
22,2015,8.838,8.3045,9.4591,3.8404,3G,0.0353
23,2015,8.3053,7.9057,8.1862,4.1849,3G,0.0382
24,2015,7.7083,8.0729,6.3941,4.2671,4G,0.0572
25,2015,9.8135,8.1606,10.0764,5.6705,4G,0.01
26,2015,8.8633,7.6255,7.4015,5.9472,4G,0.01
27,2015,7.6275,7.2482,5.2599,5.5737,4G,0.0339
28,2015,8.2985,6.7581,7.4725,5.2088,4G,0.0198
29,2015,8.5177,7.8765,7.5501,5.4653,3G,0.0332
30,2015,8.0777,6.2534,8.4827,4.602,3G,0.0862
31,2015,8.3803,5.8231,7.5287,6.8104,4G,0.01
32,2015,9.2486,5.819,8.5333,7.2422,4G,0.01
