school_id,year,log_output,log_teachers,log_budget,log_facilities,teacher_experience,class_size,ses_index,school_type
26,2012,6.0894,3.3249,8.5787,4.3014,14.7,19.4,0.3731,public
27,2012,5.7589,2.1374,7.9814,3.6859,11.4,31.6,0.101,public
28,2012,6.9117,4.3282,9.0311,4.0568,10.6,26.6,0.5634,public
29,2012,6.309,4.5983,8.3568,3.3528,9.0,13.2,0.2668,public
30,2012,5.525,3.0835,7.7676,3.6974,6.8,28.8,0.6803,private
31,2012,6.4228,4.2636,8.6315,3.8094,8.7,28.4,0.6716,private
32,2012,7.2244,3.6676,8.6534,4.9477,17.3,22.3,0.7172,charter
33,2012,6.2135,3.4669,8.1617,4.1453,12.3,26.3,0.5614,public
34,2012,6.9504,4.6004,8.3165,4.5117,4.1,10.0,0.2324,public
35,2012,6.0827,3.325,8.5741,4.551,13.7,21.7,0.3573,public
36,2012,6.4896,3.8385,9.0733,3.9649,12.0,45.0,0.4335,public
37,2012,5.84,3.6537,8.7662,3.8128,8.1,28.4,0.2723,public
38,2012,5.843,2.5573,8.3658,4.6515,10.5,32.5,0.1253,public
39,2012,4.924,3.775,8.2826,3.7296,8.4,13.0,0.05,public
40,2012,6.1995,3.7445,8.4656,4.3593,4.2,22.6,0.7149,private
41,2012,5.4597,3.475,8.1449,4.7618,16.5,38.0,0.2545,public
42,2012,6.6575,3.0665,9.1259,3.8631,19.3,26.1,0.7387,private
43,2012,5.4847,3.0467,8.9591,3.1692,4.2,30.1,0.6192,private
44,2012,6.3698,2.8503,8.4363,4.3237,13.2,23.6,0.362,public
45,2012,6.6571,3.2198,9.314,3.5593,13.9,29.5,0.7445,private
46,2012,6.7356,3.0527,8.6337,4.4581,5.8,17.9,0.6894,private
47,2012,5.8443,3.4226,8.5752,4.1066,11.2,19.8,0.4823,public
48,2012,6.4624,3.6994,8.9992,2.7826,12.9,13.4,0.6004,public
49,2012,6.4323,2.97,9.2989,4.0994,10.5,16.4,0.8072,private
50,2012,5.9402,3.2395,7.8393,3.7355,5.9,27.0,0.6732,public
51,2012,5.7994,3.1714,8.269,3.7137,13.2,10.8,0.4773,public
52,2012,6.4936,3.6482,8.7152,3.2928,15.8,28.6,0.1472,public
53,2012,6.6952,4.3636,8.5967,3.7749,8.0,14.7,0.8071,private
54,2012,6.3049,4.271,8.2866,3.4486,13.3,20.0,0.7707,private
55,2012,6.29,3.2529,7.7253,3.8548,20.1,45.0,0.6392,private
56,2012,5.4938,3.5813,8.7797,3.8167,14.9,29.2,0.4758,private
57,2012,5.4451,3.3931,8.3438,4.8323,15.1,11.2,0.4247,public
58,2012,5.5752,3.3853,8.571,3.2071,14.9,27.6,0.2696,public
59,2012,5.4597,3.7951,7.8177,3.7425,7.5,22.3,0.3878,public
60,2012,6.1602,3.7538,7.9733,5.2208,15.9,27.2,0.2929,public
61,2012,5.9287,3.1647,8.75,3.7673,13.9,23.7,0.8225,private
62,2012,5.8739,3.2992,8.3301,4.4405,16.0,37.0,0.3312,public
63,2012,6.4449,3.3359,8.1145,4.5275,7.9,18.7,0.0519,public
64,2012,6.3805,3.8025,8.1096,3.8675,6.8,24.5,0.8574,private
65,2012,6.4755,2.8662,8.4952,3.2821,11.9,30.6,0.5447,private
66,2012,5.4386,2.5651,8.9512,3.5139,10.2,16.8,0.3856,public
67,2012,6.0459,3.5727,8.0522,4.2995,13.4,31.1,0.229,public
68,2012,5.792,2.111,8.8228,4.4738,13.4,26.3,0.5167,public
69,2012,5.5595,3.8517,8.8723,3.8421,6.9,10.1,0.4149,public
70,2012,5.8564,4.199,9.3195,3.5511,12.1,22.6,0.2477,public
71,2012,6.1252,3.8751,8.7541,4.1657,15.2,28.5,0.5874,public
72,2012,6.048,4.3137,9.1727,4.1264,12.4,20.6,0.208,public
73,2012,6.2686,2.6889,8.6588,3.9548,12.1,26.6,0.386,charter
74,2012,6.4699,3.3983,8.5995,3.4722,21.0,32.2,0.4017,public
75,2012,5.9669,3.4059,8.6565,4.4842,8.3,15.0,0.4767,public
76,2012,6.5245,3.6724,8.0665,4.6069,17.1,25.3,0.2732,public
77,2012,6.6145,3.0958,8.5869,4.0881,11.3,15.0,0.3521,public
78,2012,6.4345,2.8241,8.5976,3.7646,8.9,27.5,0.6397,private
79,2012,6.2112,3.5005,8.5116,4.6545,6.2,10.0,0.1207,public
80,2012,6.6042,2.9706,8.3481,3.8417,14.0,37.5,0.5308,private
81,2012,5.825,3.4387,8.5142,4.062,21.2,22.3,0.95,private
82,2012,6.7458,3.219,8.8876,4.4629,27.9,31.8,0.2939,public
83,2012,5.6279,3.9587,8.67,3.5482,13.4,25.1,0.7505,private
84,2012,6.1598,3.2657,8.8324,3.7141,11.7,25.7,0.296,public
85,2012,5.2019,2.3064,8.5252,3.9815,13.4,16.9,0.5086,public
86,2012,6.133,2.8466,8.8791,3.4865,11.5,24.8,0.4338,public
87,2012,6.1246,3.1847,7.8184,3.8087,18.2,21.5,0.3247,private
88,2012,5.7704,2.6477,8.1551,4.2409,10.4,33.4,0.2986,public
89,2012,6.3187,2.742,9.3241,4.0405,11.3,37.7,0.3067,public
90,2012,6.1552,4.1394,8.2511,4.6814,8.2,28.2,0.4833,public
91,2012,6.7252,3.0956,8.1532,3.8759,18.8,10.0,0.3523,public
92,2012,7.0701,3.8433,8.5303,4.6322,11.2,28.3,0.6652,private
93,2012,6.1388,4.0971,8.4648,4.1575,13.5,29.7,0.2274,public
94,2012,5.2236,1.7336,8.3577,4.1861,14.5,34.6,0.4434,public
95,2012,7.0598,4.3051,8.035,3.7465,3.4,28.6,0.4716,public
96,2012,6.0464,3.4999,8.5524,4.026,12.0,28.3,0.9425,private
97,2012,6.7572,3.3865,8.5138,4.0783,10.7,19.1,0.5387,public
98,2012,5.794,3.726,8.3351,4.2048,7.0,16.7,0.5657,public
99,2012,6.1572,3.7276,8.7528,3.868,13.1,30.9,0.4562,public
100,2012,7.0203,3.6939,9.0259,4.3716,16.4,36.8,0.8192,charter
1,2013,6.7795,3.8983,8.2283,4.0135,13.0,31.6,0.6911,private
2,2013,6.0617,4.3246,8.6715,3.7225,15.7,22.0,0.5134,public
3,2013,6.8233,3.8548,8.4105,4.1586,7.1,16.8,0.5578,charter
4,2013,5.9384,3.5801,8.3742,4.0367,14.3,29.9,0.3838,private
5,2013,6.6589,3.4831,8.7141,4.4824,18.2,26.6,0.3249,public
6,2013,6.0662,3.5943,8.9096,3.641,16.3,30.4,0.4068,charter
7,2013,6.6619,3.3355,8.695,4.0268,9.6,29.3,0.5567,private
8,2013,6.7267,3.7576,8.6845,3.917,5.4,36.8,0.7225,private
9,2013,6.642,3.7303,8.4959,4.6941,10.0,34.1,0.3033,public
10,2013,6.6766,3.6208,7.8829,4.6493,11.3,16.1,0.3656,public
11,2013,6.0793,3.575,8.4595,4.0804,9.4,36.5,0.4366,public
12,2013,6.4646,3.4274,8.4093,4.3456,5.3,12.7,0.648,charter
13,2013,6.5765,4.2647,8.7178,4.5781,9.0,34.8,0.9369,private
14,2013,6.3292,3.0339,8.8003,4.6589,15.3,29.2,0.5354,private
15,2013,6.5622,3.5207,8.4238,4.549,19.7,22.8,0.2272,public
16,2013,6.2305,3.2934,8.5212,3.8645,14.1,17.1,0.4675,public
17,2013,6.1506,3.3454,7.681,3.6592,21.2,24.2,0.3634,public
18,2013,6.2868,3.4785,8.5349,4.8435,11.5,35.3,0.4093,public
19,2013,6.5815,3.2799,8.796,4.5165,2.3,20.7,0.7022,private
20,2013,6.4322,3.5674,8.2954,4.0013,13.2,32.7,0.7409,private
21,2013,6.2618,2.6677,8.3747,3.5555,1.0,13.7,0.5219,private
22,2013,5.725,2.3444,8.3746,3.9344,24.6,39.4,0.3382,public
23,2013,6.5846,3.7044,8.5795,3.3091,11.9,12.2,0.4357,charter
24,2013,6.6876,3.7273,7.9694,4.3119,8.3,30.1,0.5484,charter
25,2013,5.8513,4.6862,8.82,3.3926,20.0,33.1,0.6615,private
26,2013,6.2144,3.4997,8.3255,3.7155,19.7,16.5,0.2016,public
27,2013,6.0328,3.2441,8.639,3.9321,8.7,18.0,0.7422,public
28,2013,6.551,4.311,7.6201,3.9885,1.0,14.0,0.1284,public
29,2013,6.0786,3.2199,8.7296,4.3237,14.4,31.3,0.2649,public
30,2013,6.436,2.971,8.5546,3.9776,9.6,16.0,0.5224,private
31,2013,5.6229,3.1526,8.1195,4.5032,15.4,37.4,0.8915,private
32,2013,6.2008,4.3684,7.8962,3.5737,10.2,10.5,0.5243,charter
33,2013,5.4825,3.1931,8.5046,4.488,8.7,20.0,0.5162,public
34,2013,6.5649,3.8353,8.4738,4.2838,16.3,21.4,0.3926,public
35,2013,6.8803,3.5426,8.6692,3.7192,20.0,36.6,0.3438,public
36,2013,5.4461,3.9675,7.6518,4.0236,14.1,23.3,0.579,public
37,2013,6.1547,3.1704,8.8497,3.7586,5.7,24.8,0.7005,public
38,2013,5.8605,2.8751,8.2554,3.9963,13.6,31.8,0.1637,public
39,2013,6.0788,4.2538,7.5277,2.6204,15.4,31.0,0.3623,public
40,2013,6.6068,4.6395,8.6816,3.9237,6.4,31.4,0.5987,private
41,2013,6.149,2.6521,8.2957,4.1743,4.9,34.5,0.2859,public
42,2013,5.787,2.9863,8.8168,4.5257,13.8,12.3,0.6814,private
43,2013,5.1335,3.3904,8.7832,3.6135,14.4,39.9,0.7703,private
44,2013,6.5014,3.0161,9.4439,4.4283,14.5,20.8,0.2451,public
45,2013,5.4577,3.6838,8.6611,3.7479,11.0,29.5,0.5062,private
46,2013,6.2001,4.0292,8.8865,3.8182,10.2,23.0,0.6433,private
47,2013,6.1776,3.9609,8.9038,4.178,6.7,35.6,0.5868,public
48,2013,6.3418,4.3655,8.5909,4.6006,12.2,27.9,0.4834,public
49,2013,5.573,2.8205,8.5577,4.1498,10.7,23.7,0.4372,private
50,2013,6.4158,4.6111,8.7049,4.2971,8.9,36.8,0.3186,public
51,2013,6.6088,3.253,8.3904,3.7417,15.2,13.7,0.5774,public
52,2013,7.285,4.8449,8.7253,3.2207,13.6,30.2,0.3987,public
53,2013,6.2907,3.5097,8.9182,3.8866,19.1,18.2,0.95,private
54,2013,6.3615,4.0061,8.1554,4.2963,14.3,36.2,0.7272,private
55,2013,5.9209,3.3746,7.8658,3.7298,10.9,17.6,0.5698,private
56,2013,6.6368,4.3413,8.6642,3.9134,6.1,34.0,0.6003,private
57,2013,6.7422,3.8035,8.2827,3.9458,23.9,37.1,0.354,public
58,2013,5.6811,3.7939,8.5563,4.5345,19.6,24.1,0.7449,public
59,2013,5.5945,2.6897,8.5361,3.2903,8.0,28.7,0.5483,public
60,2013,6.3075,3.4465,7.6158,5.0775,12.8,34.0,0.398,public
61,2013,6.5421,3.6755,8.7453,4.3738,10.3,38.6,0.7675,private
62,2013,6.1831,3.4331,8.5915,3.6532,16.7,14.0,0.4493,public
63,2013,5.7165,2.7477,8.06,3.6879,10.5,16.2,0.4484,public
64,2013,5.8185,3.4415,8.7195,4.977,18.9,27.6,0.6682,private
65,2013,5.85,3.722,7.721,3.7064,12.6,29.4,0.8343,private
66,2013,6.5698,3.35,7.4201,3.7631,10.7,10.0,0.2098,public
67,2013,6.1938,3.7234,8.7669,4.5159,18.3,23.6,0.0798,public
68,2013,6.3487,4.3692,7.8451,3.8425,22.3,17.3,0.5124,public
69,2013,5.6426,3.06,8.4253,4.3035,13.5,24.2,0.6046,public
70,2013,6.0936,3.1403,8.3738,3.6472,4.5,19.2,0.3127,public
71,2013,6.0628,2.8049,8.576,3.5252,16.3,23.8,0.3412,public
72,2013,6.3242,3.3662,7.8852,4.1695,6.5,26.3,0.5095,public
73,2013,5.7104,3.678,8.9315,4.5752,5.0,14.9,0.5544,charter
74,2013,5.1915,4.0857,7.8716,3.5209,15.1,19.4,0.3821,public
75,2013,6.3905,3.751,8.2282,4.1468,5.4,13.7,0.3739,public
76,2013,5.9665,2.5918,8.9731,3.8071,20.2,16.5,0.3918,public
77,2013,6.279,3.2911,8.3665,3.9404,14.8,26.6,0.3673,public
78,2013,6.2873,3.0517,7.8092,4.2939,8.9,29.3,0.95,private
79,2013,6.1484,4.5253,8.9728,4.2349,16.1,34.4,0.4289,public
80,2013,6.7562,4.1579,8.5132,3.1222,6.2,18.4,0.7219,private
81,2013,5.6527,3.8837,8.7212,3.2504,12.3,23.4,0.4793,private
82,2013,6.9159,4.2766,8.2423,4.2767,11.7,34.4,0.3732,public
83,2013,6.2264,3.6359,7.8161,5.2327,11.1,12.5,0.7583,private
84,2013,6.1822,3.5111,8.2415,4.1476,11.8,39.4,0.5787,public
85,2013,6.564,2.5125,8.7,4.4819,11.9,12.2,0.4203,public
86,2013,6.9581,4.2868,8.1098,3.7134,8.7,22.8,0.1749,public
87,2013,6.2579,2.5758,8.8692,3.3219,9.6,27.0,0.6788,private
88,2013,6.2286,3.6913,9.4698,3.4821,6.1,28.3,0.3301,public
89,2013,6.7989,3.6641,9.2812,4.518,13.0,10.0,0.4355,public
90,2013,6.019,3.5209,8.4747,3.6714,9.4,10.0,0.4961,public
91,2013,6.625,4.5922,7.9609,4.5226,15.3,14.3,0.5571,public
92,2013,6.5592,3.5558,8.535,3.9423,7.6,20.8,0.711,private
93,2013,6.8991,3.6444,8.4442,3.8574,9.7,32.3,0.1947,public
94,2013,6.4724,3.6802,8.2101,3.7487,14.8,14.5,0.5007,public
95,2013,6.2892,3.86,8.2937,4.8435,8.4,20.0,0.3015,public
96,2013,6.317,2.9315,8.209,3.5179,7.1,25.6,0.5236,private
97,2013,7.0204,3.4934,9.6438,3.3191,6.2,31.7,0.2623,public
98,2013,6.6541,4.3372,8.6043,4.3778,17.9,27.4,0.198,public
99,2013,5.8465,2.5737,9.0052,4.1701,1.0,17.1,0.5032,public
100,2013,5.6653,3.2868,8.3997,3.8245,4.0,24.9,0.5911,charter
1,2014,6.3922,3.2722,8.717,4.0582,9.8,21.5,0.694,private
2,2014,5.4513,2.275,8.9243,4.1097,15.0,25.0,0.406,public
3,2014,6.4362,3.3265,8.9131,2.9348,13.5,21.3,0.6497,charter
4,2014,6.4846,4.4938,8.8095,3.6009,18.7,30.2,0.5681,private
5,2014,6.1971,3.5367,8.7058,4.0991,16.3,25.5,0.2324,public
6,2014,5.56,2.6348,8.5444,3.367,20.0,17.8,0.4619,charter
7,2014,6.603,3.5968,8.8046,3.8223,12.8,16.1,0.6423,private
8,2014,6.3037,2.6526,8.9575,4.3216,15.0,19.5,0.6747,private
9,2014,6.8656,3.8644,8.6029,3.7861,19.7,33.2,0.4435,public
10,2014,6.0675,2.3877,8.0623,4.3547,17.0,20.5,0.3076,public
11,2014,6.568,3.5987,9.1088,3.0213,19.7,12.0,0.5087,public
12,2014,5.2638,2.9524,8.7571,3.3797,7.3,26.6,0.3158,charter
13,2014,6.6455,2.8741,8.7212,3.7357,11.3,20.3,0.4673,private
14,2014,6.6974,3.5991,8.0756,3.7722,15.6,24.0,0.7929,private
15,2014,4.9324,1.6447,7.3731,3.6742,8.7,29.1,0.4828,public
16,2014,5.84,4.1123,8.9508,3.9291,11.0,13.3,0.2359,public
17,2014,5.8918,3.2611,8.833,3.5706,9.7,16.9,0.5299,public
18,2014,6.4163,2.9952,8.0752,3.3468,5.8,37.8,0.395,public
19,2014,6.235,2.965,7.8189,3.5714,6.5,10.0,0.643,private
20,2014,6.0975,2.8863,8.2784,4.4547,12.9,27.0,0.4335,private
21,2014,6.5806,3.4304,8.2838,3.6809,11.2,20.3,0.7246,private
22,2014,6.9875,3.3052,8.8586,4.0452,13.8,24.3,0.3354,public
23,2014,5.3342,3.7471,8.6269,4.0546,5.9,31.2,0.266,charter
24,2014,6.0697,3.0477,8.424,3.6022,12.8,23.0,0.4321,charter
25,2014,6.8508,3.7451,8.9261,4.1585,14.6,29.4,0.7347,private
26,2014,6.0574,3.7123,8.2736,3.3384,9.9,42.7,0.3322,public
27,2014,6.4379,4.6039,8.7903,4.3545,12.1,16.1,0.5783,public
28,2014,6.2067,3.802,8.2759,4.018,20.6,26.3,0.3958,public
29,2014,5.4693,2.0047,7.9513,4.1466,13.2,24.4,0.2,public
30,2014,6.8884,3.8886,8.3812,3.7331,19.1,21.1,0.7989,private
31,2014,5.3013,3.0131,8.804,3.2912,7.6,27.4,0.8384,private
32,2014,6.2883,2.7235,8.0908,4.5517,15.9,29.0,0.5653,charter
33,2014,6.404,2.8267,7.8159,3.2648,14.4,29.7,0.3261,public
34,2014,5.8675,3.4186,8.4709,4.224,14.0,28.0,0.3536,public
35,2014,6.2568,2.7569,8.4354,4.0018,10.9,13.7,0.1033,public
36,2014,6.5422,3.5851,8.6948,4.5045,1.8,17.7,0.4611,public
37,2014,6.6977,3.8115,8.7271,4.0218,12.1,21.3,0.3056,public
38,2014,5.7559,4.3804,8.2182,4.0979,13.1,31.3,0.5306,public
39,2014,5.2379,2.8857,8.3352,3.6103,9.0,31.2,0.358,public
40,2014,6.5084,3.3822,8.6194,4.0565,14.6,29.0,0.8367,private
41,2014,6.5627,3.6305,8.5577,4.0459,13.7,31.2,0.4833,public
42,2014,7.3187,5.0338,8.9674,3.8984,23.6,20.8,0.7633,private
43,2014,6.8049,4.2741,8.8785,3.9649,8.6,22.2,0.7373,private
44,2014,6.3334,4.0174,8.2623,3.7881,26.1,28.2,0.2921,public
45,2014,6.3295,3.7646,8.1098,4.1023,12.3,30.9,0.573,private
46,2014,6.2766,3.8921,8.1624,4.3105,16.0,19.0,0.6218,private
47,2014,5.7682,2.8169,8.2935,3.8258,26.7,11.3,0.2892,public
48,2014,6.4091,3.2573,8.7431,5.0481,14.3,25.4,0.4722,public
49,2014,6.7532,3.1914,8.5469,4.9871,3.3,17.0,0.4389,private
50,2014,6.1856,2.3799,8.5547,3.9056,16.2,17.6,0.2501,public
51,2014,6.6858,3.9108,8.4693,4.5724,11.5,18.5,0.3191,public
52,2014,6.5075,4.0948,8.3663,4.6506,10.3,28.5,0.4916,public
53,2014,6.1644,2.6015,8.5008,4.0416,8.3,25.1,0.7017,private
54,2014,6.9521,3.801,8.6337,5.0619,13.0,18.6,0.5351,private
55,2014,6.2248,2.7983,9.1731,3.9302,15.0,16.4,0.507,private
56,2014,6.0291,4.0437,8.2176,4.2316,8.1,22.6,0.8844,private
57,2014,6.2008,3.4469,9.0063,4.336,4.7,19.0,0.3918,public
58,2014,5.9372,3.9101,8.6387,2.8644,17.8,15.5,0.4498,public
59,2014,6.088,3.3773,8.8557,3.0807,13.3,23.4,0.4716,public
60,2014,6.4039,1.706,8.9034,3.3904,14.7,16.3,0.4947,public
61,2014,6.2826,3.6437,8.5453,4.2143,9.9,10.0,0.8853,private
62,2014,6.2357,4.1316,7.9079,4.5658,16.1,43.2,0.5457,public
63,2014,6.1586,3.2729,8.24,3.7259,18.4,32.4,0.7859,public
64,2014,5.5956,3.4754,8.3427,4.6238,1.0,21.5,0.7554,private
65,2014,6.6422,3.8156,8.5624,3.9197,16.7,27.2,0.9053,private
66,2014,6.0569,3.4701,9.0431,2.7837,23.8,22.8,0.4629,public
67,2014,6.5643,2.6062,8.9399,4.1555,1.5,36.8,0.4254,public
68,2014,6.3663,3.9657,8.8738,4.7126,10.1,25.7,0.8151,public
69,2014,6.6301,3.1269,8.1521,4.779,2.3,23.5,0.5218,public
70,2014,5.9296,2.2055,8.619,4.0866,15.9,30.0,0.3944,public
71,2014,7.087,3.7812,8.1408,5.2613,18.6,37.6,0.6355,public
72,2014,6.4861,3.3551,8.8556,3.9414,18.2,21.9,0.2675,public
73,2014,6.7407,3.4185,8.2604,3.8435,10.8,10.0,0.6257,charter
74,2014,6.0922,3.9212,8.2944,4.5749,4.9,20.9,0.5026,public
75,2014,6.5147,2.7836,8.6635,3.7654,2.8,30.6,0.151,public
76,2014,5.9083,3.0263,8.9321,3.5303,9.4,29.7,0.3331,public
77,2014,6.3964,4.3879,8.3257,3.1103,14.1,22.2,0.05,public
78,2014,5.6124,2.1115,8.2872,3.0746,18.1,35.9,0.5883,private
79,2014,5.6902,3.225,8.9935,4.039,20.3,21.5,0.4151,public
80,2014,6.3768,2.9324,8.581,3.5132,5.0,33.2,0.5473,private
81,2014,6.8733,3.9385,8.7685,4.4061,17.6,24.0,0.7105,private
82,2014,6.5171,3.271,8.8676,4.2791,10.7,21.3,0.5153,public
83,2014,5.1014,2.4088,8.2982,3.4095,10.5,25.7,0.8494,private
84,2014,6.8708,4.3034,8.2304,4.3376,11.8,15.5,0.2946,public
85,2014,6.3143,3.5034,8.7737,2.9719,10.3,21.5,0.4492,public
86,2014,6.5323,3.5283,8.1875,3.983,16.4,22.8,0.6725,public
87,2014,6.1269,3.0982,8.5391,4.3958,13.1,31.8,0.9067,private
88,2014,6.8688,4.3082,7.663,4.3226,18.1,42.7,0.3817,public
89,2014,5.904,3.7235,8.9078,4.4581,17.6,28.9,0.5827,public
90,2014,6.4586,3.093,8.862,3.9688,9.6,38.7,0.4324,public
91,2014,6.7396,2.3581,9.2529,4.9055,15.4,11.3,0.3677,public
92,2014,6.2352,3.8996,8.3232,4.1719,12.2,22.0,0.8624,private
93,2014,6.0576,3.9563,7.8912,4.2918,11.7,33.4,0.2702,public
94,2014,6.9288,4.7043,8.3452,3.1271,11.0,31.3,0.3932,public
95,2014,5.8388,3.2547,7.706,2.9389,4.2,24.1,0.335,public
96,2014,6.2559,4.5752,8.5584,4.6106,19.8,36.9,0.7538,private
97,2014,5.2206,3.8341,8.7277,4.7035,13.6,28.5,0.1286,public
98,2014,5.8255,4.2831,8.1545,3.4776,12.2,28.1,0.2776,public
99,2014,6.9928,4.375,8.9377,4.174,12.2,27.7,0.469,public
100,2014,6.1706,2.9886,8.8252,4.6071,8.4,42.3,0.6205,charter
1,2015,6.6441,3.6408,9.1245,4.6015,3.3,33.3,0.6184,private
2,2015,5.7717,3.9535,8.0276,3.6713,7.9,23.4,0.5241,public
3,2015,6.7393,4.4774,8.9322,3.6464,3.6,19.6,0.5489,charter
4,2015,6.2231,4.4382,8.4979,3.6306,20.6,26.7,0.6172,private
5,2015,6.0941,4.2084,8.5621,3.8247,13.4,17.1,0.3916,public
6,2015,6.0857,2.9591,8.5248,4.7457,16.2,20.3,0.6383,charter
7,2015,6.0949,2.3193,9.5171,4.6153,21.1,20.9,0.7437,private
8,2015,6.5047,3.7606,8.1798,3.4897,12.8,20.3,0.7402,private
9,2015,6.509,3.2944,8.6075,3.9615,11.2,13.6,0.3366,public
10,2015,6.9149,3.704,8.7541,4.7727,16.4,36.5,0.3303,public
11,2015,5.6248,3.1237,8.4714,3.2824,4.0,28.6,0.5849,public
12,2015,5.6029,2.8031,7.7961,3.9165,4.1,23.1,0.743,charter
13,2015,6.3343,3.0024,8.6183,4.4416,19.9,32.6,0.7743,private
14,2015,5.9509,1.7938,8.4895,4.1583,17.1,34.5,0.7316,private
15,2015,6.5195,3.5138,8.1039,4.0396,12.6,30.7,0.3888,public
16,2015,5.7382,3.5427,9.076,3.6639,18.1,16.3,0.4264,public
17,2015,5.8328,2.7221,8.0542,4.8659,8.4,23.6,0.6762,public
18,2015,5.1847,4.3114,8.4659,3.5576,12.8,21.8,0.2583,public
19,2015,6.3358,3.2286,9.024,3.9236,8.7,10.8,0.8529,private
20,2015,5.9663,2.7824,8.6056,4.32,14.9,21.9,0.4571,private
21,2015,6.5053,4.1056,7.9132,3.7771,16.7,32.0,0.5958,private
22,2015,5.8544,3.8353,8.868,3.8707,3.8,39.0,0.5239,public
23,2015,5.8945,2.8474,8.3745,4.7215,10.8,45.0,0.6334,charter
24,2015,6.5113,3.4742,8.5978,3.717,15.4,33.5,0.6077,charter
25,2015,6.2358,3.9153,8.3535,4.2868,20.3,24.1,0.5821,private
26,2015,6.0058,2.972,8.9479,3.613,15.8,19.9,0.3611,public
27,2015,6.0798,3.3189,8.0096,3.8148,21.5,10.0,0.4417,public
28,2015,6.2055,4.022,8.8719,3.2403,12.9,20.7,0.1806,public
29,2015,6.1193,4.7205,8.5135,3.2117,16.3,16.8,0.4014,public
30,2015,6.2951,3.382,8.1617,4.2415,8.3,32.8,0.8456,private
31,2015,6.4936,3.9103,8.9984,3.6485,18.9,25.6,0.6748,private
32,2015,7.2219,4.3169,8.9504,4.6564,10.1,20.0,0.6679,charter
33,2015,6.4116,2.9486,8.6105,3.254,8.8,37.6,0.3908,public
34,2015,6.0728,4.3556,8.057,3.991,9.0,45.0,0.2371,public
35,2015,5.5936,2.1829,7.802,3.358,3.7,19.6,0.239,public
36,2015,6.3578,4.1745,8.9175,3.9924,8.7,28.2,0.4458,public
37,2015,6.3804,3.6868,8.427,3.9089,15.5,26.1,0.3404,public
38,2015,6.1892,3.9394,8.5914,3.6893,9.6,15.3,0.5468,public
39,2015,5.9372,3.5261,8.5765,3.4098,18.0,20.7,0.3387,public
40,2015,6.8249,4.7045,7.666,4.8131,10.5,40.1,0.6998,private
41,2015,6.4074,3.2032,8.6497,3.7218,7.8,32.3,0.2917,public
42,2015,6.9087,4.1529,8.4353,4.6765,16.9,27.2,0.4974,private
43,2015,6.9535,3.0682,9.1287,4.8338,9.1,10.0,0.435,private
44,2015,5.8662,3.709,8.6509,4.3333,13.0,22.7,0.3802,public
45,2015,5.3559,2.7932,7.5536,4.2017,7.1,31.0,0.6558,private
46,2015,5.9394,3.0703,8.549,4.0222,13.8,40.6,0.5096,private
47,2015,5.9971,3.4314,8.547,3.9602,19.9,19.5,0.7047,public
48,2015,7.284,4.8611,8.51,3.9427,13.5,27.5,0.2824,public
49,2015,6.9178,4.4241,8.3812,4.0926,11.9,27.1,0.5018,private
50,2015,7.1099,3.0338,9.5161,3.3907,16.1,38.0,0.3911,public
51,2015,5.2307,2.6193,8.8351,3.8993,17.0,22.3,0.5874,public
