generator_id,year,log_output,log_labor,log_capital,log_fuel,fuel_type
13,2009,7.0508,4.2741,8.2163,3.5872,hydro
14,2009,5.8217,4.165,3.0768,5.7138,hydro
15,2009,7.7006,4.9407,6.7484,6.9805,gas
16,2009,8.584,4.7253,5.6402,9.8329,coal
17,2009,9.9995,4.5651,5.3036,13.6071,gas
18,2009,8.8483,3.5633,6.7914,10.5672,coal
19,2009,7.4682,5.5086,5.5786,5.9824,hydro
20,2009,6.772,4.4111,3.4021,6.4821,hydro
21,2009,6.9066,5.1276,6.408,4.6832,hydro
22,2009,9.5771,6.3963,6.6139,10.7623,gas
23,2009,9.3661,5.0203,7.9113,8.9844,nuclear
24,2009,9.0421,5.2171,8.3883,9.1949,nuclear
25,2009,7.3419,4.3088,7.4371,5.1733,hydro
26,2009,7.3484,3.7677,4.6917,9.6493,coal
27,2009,9.3115,3.5523,5.7096,11.9343,gas
28,2009,9.1539,4.9439,5.6628,11.2911,coal
29,2009,8.0941,3.6213,5.8975,9.5112,coal
30,2009,7.1303,4.9755,5.3517,5.9038,hydro
31,2009,6.9454,3.25,4.5279,6.2826,hydro
32,2009,9.2902,3.5843,6.6383,10.0898,nuclear
33,2009,10.3307,4.7775,6.3288,11.6288,gas
34,2009,9.8516,2.6226,7.37,12.2693,gas
35,2009,10.1895,4.5811,7.3993,13.5976,gas
36,2009,8.4275,3.7564,5.9688,9.3627,coal
37,2009,7.8431,5.9085,7.6713,8.1321,coal
38,2009,9.7558,4.9142,7.9748,11.351,gas
39,2009,7.707,4.8049,3.3784,10.2103,coal
40,2009,8.3223,5.9257,8.7272,6.2552,hydro
41,2009,9.2913,4.653,4.3443,10.7816,gas
42,2009,7.358,4.4173,5.8108,6.8942,hydro
43,2009,7.3043,4.5219,5.6732,5.8489,hydro
44,2009,8.0635,4.9235,6.6111,6.446,gas
45,2009,7.5233,5.358,7.5564,5.155,hydro
46,2009,8.3104,4.7384,7.8226,5.8678,hydro
47,2009,7.9655,4.6792,5.7059,8.8515,gas
48,2009,8.3698,4.0112,6.49,9.2143,coal
49,2009,6.5365,3.7395,5.5299,4.8379,hydro
50,2009,8.0331,4.6359,6.2341,9.9149,coal
51,2009,8.7187,4.7656,8.2568,7.6762,coal
52,2009,8.9456,3.7673,5.4819,12.832,coal
53,2009,8.324,5.9362,5.907,5.9067,hydro
54,2009,9.0863,7.0076,7.2179,6.969,hydro
55,2009,7.5566,5.2458,6.0782,6.014,hydro
56,2009,6.609,3.0228,7.1204,4.5577,hydro
57,2009,8.2054,3.9015,7.1736,7.2573,gas
58,2009,8.1281,4.4235,6.3529,7.9319,gas
59,2009,7.2624,2.8576,2.8474,9.8036,coal
60,2009,9.7608,4.4679,6.3221,11.8823,coal
1,2010,6.649,3.6182,6.4215,5.5687,hydro
2,2010,8.0368,3.8507,5.192,9.2061,gas
3,2010,7.3497,5.4178,5.1166,8.3798,nuclear
4,2010,8.2343,4.8249,6.1758,7.5883,hydro
5,2010,7.7027,4.295,4.0434,10.107,coal
6,2010,8.4658,4.884,6.944,8.8442,nuclear
7,2010,7.6599,5.6748,6.837,4.1192,hydro
8,2010,8.3571,4.6875,5.2964,7.8822,hydro
9,2010,8.3832,4.3252,6.1319,10.0267,coal
10,2010,9.5153,5.7444,6.342,11.0811,gas
11,2010,9.8781,5.1701,7.1621,10.3138,gas
12,2010,8.99,5.5593,6.5991,9.4207,nuclear
13,2010,5.2543,4.9097,0.6997,6.4518,hydro
14,2010,8.5646,3.9195,8.0379,8.2429,hydro
15,2010,8.2273,5.7705,6.1582,7.9647,gas
16,2010,8.2547,3.4959,5.7624,8.6325,coal
17,2010,9.1702,4.2073,5.73,10.3577,gas
18,2010,8.8452,3.613,7.5675,9.1037,coal
19,2010,6.8749,4.9093,3.7683,6.7356,hydro
20,2010,7.4147,3.3529,6.4571,5.5172,hydro
21,2010,8.7125,5.9352,7.9717,6.3527,hydro
22,2010,9.1048,4.5948,7.2193,9.8684,gas
23,2010,9.3607,5.0274,6.0382,10.7074,nuclear
24,2010,8.0343,5.1894,6.709,7.643,nuclear
25,2010,6.7105,3.1814,4.4415,6.0522,hydro
26,2010,9.2483,5.0344,6.5742,10.6836,coal
27,2010,6.1982,2.6906,5.2483,5.4756,gas
28,2010,10.0131,5.3335,7.7766,10.4017,coal
29,2010,9.107,4.0271,5.9136,11.9048,coal
30,2010,7.3751,4.9688,4.4459,6.6986,hydro
31,2010,6.8397,3.7599,5.1057,5.0444,hydro
32,2010,11.0971,4.3167,6.1311,14.8635,nuclear
33,2010,9.325,4.6748,6.7083,10.31,gas
34,2010,9.8644,5.5837,5.1827,12.1584,gas
35,2010,9.8954,3.6443,6.6856,12.8927,gas
36,2010,7.1709,3.5793,5.6076,6.7757,coal
37,2010,9.3783,5.5356,10.181,8.8006,coal
38,2010,8.9528,4.4392,6.7492,10.2041,gas
39,2010,7.9574,3.4138,3.7384,11.3495,coal
40,2010,7.3665,4.587,7.3261,5.3439,hydro
41,2010,10.7642,4.8864,7.445,12.4716,gas
42,2010,8.0037,4.9369,6.7099,6.7007,hydro
43,2010,7.6738,5.5294,7.2379,5.7283,hydro
44,2010,10.302,4.5962,6.1427,12.2868,gas
45,2010,7.0018,3.7197,6.6931,5.2502,hydro
46,2010,8.5905,4.2188,8.5486,5.7561,hydro
47,2010,8.9395,4.295,4.9803,12.7707,gas
48,2010,8.3222,4.5631,6.0787,9.8407,coal
49,2010,5.7282,2.7954,3.2494,6.0145,hydro
50,2010,10.2303,4.3052,7.7163,12.2105,coal
51,2010,9.2854,4.6669,5.0725,11.3274,coal
52,2010,6.2018,5.6611,2.295,7.1416,coal
53,2010,6.3328,4.2085,3.5927,5.1392,hydro
54,2010,6.8773,4.1352,5.3956,4.0919,hydro
55,2010,6.5495,4.4511,3.6313,6.1486,hydro
56,2010,7.6429,3.516,7.4026,6.6329,hydro
57,2010,9.3352,4.2033,6.4751,11.1676,gas
58,2010,9.2787,5.2668,5.5496,11.4479,gas
59,2010,8.8529,3.3888,4.3955,12.7981,coal
60,2010,8.506,4.1013,6.6141,9.7822,coal
1,2011,6.554,3.923,4.6689,6.2975,hydro
2,2011,7.0937,4.3684,4.9583,4.7194,gas
3,2011,7.8417,2.7785,4.3376,12.7544,nuclear
4,2011,8.1208,4.8419,7.1958,6.524,hydro
5,2011,8.8978,4.923,6.8082,8.868,coal
6,2011,8.0906,4.6356,6.6011,8.5035,nuclear
7,2011,8.3529,5.0203,8.3707,4.9987,hydro
8,2011,7.7698,5.428,6.2556,4.1923,hydro
9,2011,8.4084,5.2848,8.2935,8.4208,coal
10,2011,8.9554,3.9237,7.0393,9.825,gas
11,2011,10.3732,5.2174,6.0093,11.4821,gas
12,2011,8.8342,4.5067,4.911,11.4562,nuclear
13,2011,8.5431,5.833,8.3464,6.3731,hydro
14,2011,7.7357,4.0094,8.4122,5.782,hydro
15,2011,8.7001,2.8657,7.1554,10.0903,gas
16,2011,10.6548,4.5691,9.1514,11.7653,coal
17,2011,7.9062,4.1179,2.6955,10.4267,gas
18,2011,7.1745,3.9172,4.1743,7.9977,coal
19,2011,6.7825,5.03,7.1951,3.5193,hydro
20,2011,7.0121,2.2539,5.4393,6.8046,hydro
21,2011,8.7175,4.9521,8.7538,6.376,hydro
22,2011,7.6611,3.8818,5.1425,9.9424,gas
23,2011,7.9049,5.2942,6.4732,6.8492,nuclear
24,2011,8.3493,3.0821,4.5286,11.8657,nuclear
25,2011,8.9433,5.993,6.7119,8.7107,hydro
26,2011,8.4929,4.8809,6.7229,8.9981,coal
27,2011,8.283,4.6385,4.6966,11.6678,gas
28,2011,8.6679,4.9469,4.0573,10.7014,coal
29,2011,8.1713,4.1484,5.155,9.1119,coal
30,2011,6.7001,5.1599,3.2783,5.6203,hydro
31,2011,7.8868,5.5102,7.7806,4.4852,hydro
32,2011,9.3243,3.1957,5.9301,10.7023,nuclear
33,2011,11.3854,4.7879,8.302,12.5253,gas
34,2011,7.4884,4.2887,3.2392,10.0823,gas
35,2011,7.8301,4.771,4.6293,8.6586,gas
36,2011,9.5099,4.8407,3.1448,13.6859,coal
37,2011,8.733,4.9408,3.8525,12.3388,coal
38,2011,8.5758,4.1668,5.2293,11.4696,gas
39,2011,8.3675,4.5253,6.8236,9.2054,coal
40,2011,9.2876,5.589,8.1856,8.2293,hydro
41,2011,8.9849,4.5131,5.6587,9.5688,gas
42,2011,7.0094,4.6033,4.5632,6.9212,hydro
43,2011,6.3043,4.2698,4.5841,4.3645,hydro
44,2011,6.9893,4.1626,1.5908,7.5248,gas
45,2011,6.696,4.7991,3.9316,5.856,hydro
46,2011,7.473,5.6481,5.4317,5.6745,hydro
47,2011,9.4614,4.1892,8.2098,9.7788,gas
48,2011,10.3277,5.9419,6.5588,11.9442,coal
49,2011,7.2459,5.0188,7.7346,4.7136,hydro
50,2011,9.0185,3.1985,6.3519,12.4002,coal
51,2011,10.187,4.2962,5.6705,14.1237,coal
52,2011,8.9799,5.8474,6.6462,11.1036,coal
53,2011,6.8907,5.0343,4.6394,4.627,hydro
54,2011,7.2705,3.9715,5.9069,4.9283,hydro
55,2011,6.2596,4.7772,4.3064,4.8185,hydro
56,2011,7.5398,5.6325,6.616,6.4987,hydro
57,2011,9.0505,6.0543,6.1256,10.0775,gas
58,2011,7.8642,2.8628,3.4111,10.3683,gas
59,2011,5.9675,4.119,2.8835,7.2922,coal
60,2011,9.0289,4.3395,5.347,12.1447,coal
1,2012,7.5246,2.7851,6.9141,6.3094,hydro
2,2012,9.9178,6.1242,4.5894,11.5213,gas
3,2012,8.6178,5.7915,5.7393,11.7843,nuclear
4,2012,7.4614,5.6042,5.667,5.1968,hydro
5,2012,7.8679,3.2217,4.8724,8.8037,coal
6,2012,8.7773,4.0637,5.0177,11.6316,nuclear
7,2012,7.6008,4.2121,6.2528,4.8532,hydro
8,2012,7.0816,3.6614,6.3967,4.4129,hydro
9,2012,7.342,4.7842,5.9989,7.1075,coal
10,2012,7.8271,5.2496,2.5563,10.5935,gas
11,2012,9.1195,4.8581,4.8086,9.6518,gas
12,2012,7.5034,5.3533,4.6876,9.221,nuclear
13,2012,6.663,4.4643,5.078,6.4525,hydro
14,2012,7.3397,5.7514,4.3807,7.1327,hydro
15,2012,9.7878,4.2271,7.9989,10.9855,gas
16,2012,9.0974,4.2806,6.5785,9.6122,coal
17,2012,11.4187,3.8911,6.6875,15.7399,gas
18,2012,8.7314,3.8382,6.7766,10.0215,coal
19,2012,8.8221,4.6925,7.7624,7.5905,hydro
20,2012,6.9435,3.5004,4.7144,5.983,hydro
21,2012,7.708,3.0875,7.4602,5.7962,hydro
22,2012,6.9953,2.5589,6.9562,7.0027,gas
23,2012,8.7009,5.4559,5.7658,8.6387,nuclear
24,2012,8.0656,5.0135,5.5623,9.6397,nuclear
25,2012,8.0692,3.0976,7.1368,8.387,hydro
26,2012,8.9883,5.9773,7.8515,8.6591,coal
27,2012,8.1685,4.6026,4.747,9.6573,gas
28,2012,7.4056,4.8571,5.654,6.766,coal
29,2012,7.2267,3.8686,5.4948,6.9312,coal
30,2012,7.0994,5.4096,4.9189,5.4617,hydro
31,2012,7.0806,5.1458,5.11,4.6181,hydro
32,2012,10.668,4.8081,5.2679,14.7225,nuclear
33,2012,8.8554,3.6526,5.3515,10.3561,gas
34,2012,8.7434,5.9427,5.1872,10.4135,gas
35,2012,8.1654,4.0371,2.5895,11.2844,gas
36,2012,7.8289,4.5722,5.0761,8.9044,coal
37,2012,7.0562,5.3182,3.8707,8.6484,coal
38,2012,7.7065,4.6382,4.6895,9.0217,gas
39,2012,8.3511,4.4596,6.0076,9.6143,coal
40,2012,6.1222,5.3119,4.0812,5.1802,hydro
41,2012,8.6783,5.6726,6.7444,7.364,gas
42,2012,7.6772,3.9966,6.4011,6.8929,hydro
43,2012,7.1135,3.9615,5.1292,6.6288,hydro
44,2012,8.3586,3.69,6.1299,7.667,gas
45,2012,5.8951,3.6649,4.4398,4.7833,hydro
46,2012,7.5554,6.6826,5.2145,4.7047,hydro
47,2012,8.359,4.743,3.9888,10.4286,gas
48,2012,6.386,5.161,6.166,5.1455,coal
49,2012,8.0489,5.6214,7.9155,6.3016,hydro
50,2012,8.6006,4.6063,6.5984,9.5486,coal
51,2012,8.2008,4.187,5.6926,8.8048,coal
52,2012,7.8649,4.8367,5.5146,9.1577,coal
53,2012,7.9214,4.7938,5.8528,6.9607,hydro
54,2012,6.9589,4.6836,5.9303,5.5379,hydro
55,2012,7.7385,4.9061,5.6403,6.7692,hydro
56,2012,8.0977,3.8686,7.1313,7.5588,hydro
57,2012,8.0395,5.0541,6.0132,7.707,gas
58,2012,8.8614,4.5311,6.264,9.4303,gas
59,2012,9.1436,3.9013,5.8017,11.5861,coal
60,2012,7.1686,2.8601,6.0328,7.7504,coal
1,2013,7.3467,3.9796,6.3351,6.6721,hydro
2,2013,10.3433,4.3822,7.5942,10.8096,gas
3,2013,9.3167,3.7107,8.2494,12.1527,nuclear
4,2013,8.1058,4.3459,7.0397,6.2356,hydro
5,2013,7.4019,3.9824,4.1674,7.8382,coal
6,2013,8.218,6.0135,8.2486,6.8363,nuclear
7,2013,7.9001,4.1603,6.195,6.2667,hydro
8,2013,7.5935,3.3432,6.9679,5.2168,hydro
9,2013,6.1927,4.2979,5.1459,6.9126,coal
10,2013,9.1552,3.5659,5.0457,12.0447,gas
11,2013,8.9145,4.9132,4.1218,9.9553,gas
12,2013,8.8733,4.9474,4.9944,11.1517,nuclear
13,2013,5.9681,5.5557,1.6009,7.0253,hydro
14,2013,7.6873,3.6142,7.5224,7.129,hydro
15,2013,8.6012,4.0105,4.4358,11.7018,gas
16,2013,9.4517,4.2648,4.8514,12.7039,coal
17,2013,7.2276,4.4069,4.1464,8.5569,gas
18,2013,6.075,4.5222,4.0687,5.5677,coal
19,2013,7.4572,3.9369,4.7007,8.001,hydro
20,2013,6.6332,3.0552,4.9796,4.9755,hydro
21,2013,7.0388,4.2706,5.1204,5.3595,hydro
22,2013,8.824,3.9027,6.7113,10.4637,gas
23,2013,8.8525,5.1575,5.68,9.4136,nuclear
24,2013,7.0926,3.5122,7.2955,6.3263,nuclear
25,2013,7.285,4.8964,6.265,6.031,hydro
26,2013,8.0556,4.3067,6.362,8.5171,coal
27,2013,8.6457,4.6896,6.613,10.2993,gas
28,2013,9.3496,4.8107,6.4509,9.813,coal
29,2013,7.8998,4.0878,4.9169,10.8006,coal
30,2013,8.1307,5.325,5.7368,7.1888,hydro
31,2013,8.9117,5.8691,6.9004,7.5902,hydro
32,2013,9.8207,3.9517,6.8394,10.9265,nuclear
33,2013,8.2854,4.6589,5.9869,7.4063,gas
34,2013,7.8604,2.3389,6.1755,8.9377,gas
35,2013,8.9117,5.0294,5.4077,10.2299,gas
36,2013,8.6932,5.2682,4.461,10.5505,coal
37,2013,7.176,6.0135,4.8221,7.2155,coal
38,2013,7.4312,4.9585,6.2537,7.8343,gas
39,2013,10.3614,5.4594,10.34,10.776,coal
40,2013,6.1922,3.1321,5.2297,4.553,hydro
41,2013,9.2878,4.7945,5.521,9.6419,gas
42,2013,6.8462,4.8828,5.6364,4.5931,hydro
43,2013,6.4727,4.5318,4.0484,6.0538,hydro
44,2013,8.3739,4.8404,6.6048,7.712,gas
45,2013,7.0199,5.1323,5.8747,5.3707,hydro
46,2013,8.1291,4.9385,6.0894,6.0946,hydro
47,2013,8.897,3.8618,3.2968,13.0942,gas
48,2013,8.3997,3.9426,7.1806,9.4589,coal
49,2013,6.6796,3.8132,5.0545,6.3905,hydro
50,2013,8.8731,4.7715,6.9218,9.6317,coal
51,2013,10.0509,4.6209,7.0735,11.042,coal
52,2013,8.3283,4.5369,5.9292,10.3634,coal
53,2013,9.6329,4.75,7.4563,8.3378,hydro
54,2013,7.6883,3.8255,5.4136,6.8463,hydro
55,2013,7.3421,4.443,5.5333,6.3942,hydro
56,2013,7.3081,3.8182,7.5254,6.1274,hydro
57,2013,8.3027,3.7789,4.3137,10.3903,gas
58,2013,8.6516,3.8132,6.9508,8.4599,gas
59,2013,9.1964,5.4121,6.7354,11.0382,coal
60,2013,7.3254,3.1229,4.8762,8.7546,coal
1,2014,6.2402,4.2532,4.1632,6.0517,hydro
2,2014,11.1428,4.9996,5.4685,14.2652,gas
3,2014,6.981,3.7765,3.5198,10.1391,nuclear
4,2014,7.8011,6.1219,6.8454,5.0689,hydro
5,2014,7.6925,4.6138,3.1744,9.6065,coal
6,2014,8.3182,3.9157,5.3013,9.7348,nuclear
7,2014,8.0384,5.3904,5.6014,6.4377,hydro
8,2014,9.473,5.2245,7.623,7.7783,hydro
9,2014,7.784,4.52,5.8712,8.7161,coal
10,2014,7.7841,3.8118,6.0065,8.314,gas
11,2014,11.1603,4.5386,6.7321,14.2623,gas
12,2014,9.2441,3.737,4.2347,13.2977,nuclear
13,2014,6.8609,4.5721,6.0371,5.695,hydro
14,2014,7.2774,3.3743,7.3959,5.3795,hydro
15,2014,8.1346,4.4332,7.7102,7.8962,gas
16,2014,8.2646,2.6827,7.6968,7.752,coal
17,2014,7.5086,5.3012,6.7157,5.1569,gas
18,2014,9.5811,4.2903,6.6269,11.5072,coal
19,2014,6.73,3.0615,5.3811,4.9096,hydro
20,2014,6.8216,4.5778,1.3649,7.8862,hydro
21,2014,7.5766,5.4879,6.0195,6.277,hydro
22,2014,10.6811,5.0482,9.3998,11.9289,gas
23,2014,9.3063,5.4334,7.8378,9.1738,nuclear
24,2014,8.3217,6.6425,5.0157,9.0978,nuclear
25,2014,5.757,3.7934,1.865,6.3694,hydro
26,2014,9.1774,4.5493,8.0009,10.5744,coal
27,2014,9.2558,5.472,5.8789,10.8282,gas
28,2014,10.0693,4.8211,9.3467,9.4553,coal
29,2014,6.6553,5.3616,5.9333,5.1658,coal
30,2014,7.3931,5.6028,6.1323,5.0979,hydro
31,2014,8.2855,4.4204,5.1749,8.7674,hydro
32,2014,9.9718,5.1551,8.1858,9.5931,nuclear
33,2014,8.6095,5.2043,4.6369,9.7205,gas
34,2014,9.4583,5.02,6.8447,11.1371,gas
35,2014,7.5322,3.5537,2.7234,10.3026,gas
36,2014,8.8426,5.728,8.3066,7.9652,coal
37,2014,10.2744,6.5059,8.1874,12.2126,coal
38,2014,7.6143,5.1913,4.4493,9.6033,gas
39,2014,7.206,4.2485,2.3949,11.0519,coal
40,2014,6.4622,4.5109,5.7232,4.4671,hydro
41,2014,8.6494,3.9995,3.5713,11.3248,gas
42,2014,7.6327,2.8896,6.9894,6.3088,hydro
43,2014,7.2192,4.133,5.7027,6.5887,hydro
44,2014,8.2976,4.7395,4.9779,8.2875,gas
45,2014,5.3487,4.2269,2.4594,5.099,hydro
46,2014,7.9062,3.2819,7.5565,5.255,hydro
47,2014,6.9717,2.6437,3.2173,9.4458,gas
48,2014,11.1666,4.5944,7.7235,14.232,coal
49,2014,6.4236,6.1087,3.9684,4.9817,hydro
50,2014,8.439,3.8462,4.713,10.703,coal
51,2014,8.8567,4.5049,6.7714,7.9885,coal
52,2014,8.1482,6.5657,5.4071,9.0608,coal
53,2014,7.1408,3.9841,5.2489,5.1724,hydro
54,2014,6.7725,5.2613,5.034,4.0834,hydro
55,2014,6.1327,4.3952,4.2482,5.2259,hydro
56,2014,6.7969,5.1019,6.1448,5.5668,hydro
57,2014,7.1693,3.7302,5.9818,5.8784,gas
58,2014,9.0711,4.2367,8.6594,8.1852,gas
59,2014,8.5317,4.2909,5.6138,10.0424,coal
60,2014,8.6281,4.4884,7.2067,8.5835,coal
1,2015,7.699,5.3654,9.3041,3.8075,hydro
2,2015,10.2485,4.9596,6.402,12.0402,gas
3,2015,9.4088,5.3139,8.4132,10.8221,nuclear
4,2015,8.8912,4.032,8.5821,6.8049,hydro
5,2015,10.0433,4.4841,8.1129,11.0776,coal
6,2015,7.3067,5.9922,5.7899,6.4875,nuclear
7,2015,7.7207,4.4697,5.4857,5.458,hydro
8,2015,8.7291,4.7879,6.3718,7.0456,hydro
9,2015,8.7733,5.0025,6.9652,10.9751,coal
10,2015,8.4918,5.0565,5.8092,8.9278,gas
11,2015,7.504,3.0299,6.6129,6.5323,gas
12,2015,8.333,2.931,6.7486,9.372,nuclear
13,2015,7.8986,5.7514,8.4076,6.0461,hydro
14,2015,6.982,5.3961,4.5697,6.4395,hydro
15,2015,10.2547,6.2954,6.9216,12.9162,gas
16,2015,8.1043,4.8927,4.9224,8.1894,coal
17,2015,9.1644,3.6407,7.3413,9.7375,gas
18,2015,10.1766,5.2418,6.0346,12.7487,coal
19,2015,8.8631,3.872,9.3023,6.713,hydro
20,2015,8.0463,5.4666,6.3909,7.0383,hydro
21,2015,7.0953,4.4294,6.3065,5.1025,hydro
22,2015,6.4782,5.1519,3.9873,6.6509,gas
23,2015,7.6471,4.2065,3.2485,8.669,nuclear
24,2015,8.7054,3.9675,8.6268,8.7435,nuclear
25,2015,7.2407,4.6746,5.181,7.3531,hydro
26,2015,8.1532,4.5047,6.1996,8.079,coal
27,2015,9.0655,5.2892,7.6061,9.1776,gas
28,2015,9.0003,4.0289,6.8781,9.8203,coal
29,2015,9.6682,5.6071,5.681,13.2132,coal
30,2015,7.9276,6.341,4.292,7.2866,hydro
31,2015,7.5843,3.9786,6.3144,5.8201,hydro
32,2015,7.7138,3.9199,5.4455,7.1156,nuclear
33,2015,9.2042,4.2353,5.6845,10.0335,gas
34,2015,9.0416,5.5692,5.1708,10.8643,gas
35,2015,7.7799,5.7545,6.7661,6.4556,gas
36,2015,8.5173,4.2937,7.445,8.581,coal
37,2015,8.7061,3.0752,5.6076,12.5475,coal
38,2015,7.4229,3.7345,6.0053,9.3488,gas
39,2015,9.0287,4.9285,6.2723,10.8295,coal
40,2015,7.4086,3.6906,7.3868,6.2109,hydro
41,2015,8.7834,2.2015,6.4379,9.7609,gas
42,2015,6.5508,4.3984,4.2201,6.0676,hydro
43,2015,7.6092,5.3181,4.3486,7.2899,hydro
44,2015,8.2364,4.0462,5.4682,8.2098,gas
45,2015,6.8733,3.4991,4.2632,7.7274,hydro
46,2015,8.2126,4.1127,4.4749,8.4582,hydro
47,2015,7.0949,5.0235,4.7618,6.4545,gas
48,2015,8.3877,5.3505,5.318,9.6847,coal
49,2015,7.022,4.3361,3.8231,7.079,hydro
50,2015,9.7095,4.8778,7.3129,11.8941,coal
51,2015,8.6137,4.022,7.2484,8.8477,coal
52,2015,9.1316,5.8849,7.2098,11.5168,coal
53,2015,8.7743,4.2167,5.608,8.6347,hydro
54,2015,7.0791,4.837,4.4246,5.3389,hydro
55,2015,7.5275,4.8268,6.1733,5.9436,hydro
56,2015,6.9567,5.756,5.9578,5.4837,hydro
57,2015,9.4493,4.9045,5.5408,11.0884,gas
58,2015,8.6482,5.2366,7.246,7.9838,gas
59,2015,7.8115,5.7521,2.9119,10.3849,coal
60,2015,7.8526,4.1987,5.353,8.9194,coal
1,2016,7.6615,3.3229,7.1579,6.8432,hydro
2,2016,8.8111,5.0579,4.4818,10.0412,gas
3,2016,9.4126,6.118,3.6341,15.0923,nuclear
4,2016,6.927,5.2896,4.5284,5.8925,hydro
5,2016,9.1019,5.4324,6.072,9.6314,coal
6,2016,7.9408,5.1518,5.1137,7.998,nuclear
7,2016,8.9386,5.1547,7.5069,7.4309,hydro
8,2016,9.0313,3.9346,8.5166,6.1262,hydro
9,2016,7.7003,3.3361,6.9676,8.4479,coal
10,2016,10.3757,3.4206,6.6428,12.9607,gas
11,2016,7.7078,2.9431,4.8469,7.7433,gas
12,2016,7.0189,2.8048,4.1818,9.0577,nuclear
13,2016,8.139,4.8479,7.5131,7.1408,hydro
14,2016,7.1508,4.8984,6.1945,5.6676,hydro
15,2016,7.6647,4.4018,4.9669,8.6449,gas
