firm_id,year,log_output,log_labor,log_capital,log_materials,sector,exporter
35,2011,5.6446,4.9379,6.3654,5.9274,chemicals,0
36,2011,5.5321,4.3482,6.9426,5.4775,food,0
37,2011,6.9732,5.9396,7.6324,5.7866,food,1
38,2011,7.2075,6.1321,6.8118,5.5609,chemicals,0
39,2011,7.7837,6.3152,6.906,9.5899,food,1
40,2011,8.8072,6.3648,9.8572,10.0092,metals,0
41,2011,5.4341,7.2519,5.3765,5.7476,textiles,0
42,2011,6.3702,5.3069,5.9318,6.5422,metals,0
43,2011,7.8113,8.1989,7.3976,8.6089,metals,1
44,2011,4.7914,4.6858,3.0874,5.7621,textiles,0
45,2011,5.6455,4.0614,8.9876,7.4402,metals,0
46,2011,7.5535,6.4737,5.7032,8.2257,metals,0
47,2011,6.8913,6.2086,7.9073,6.8332,textiles,0
48,2011,6.1308,5.7129,7.6492,6.6036,textiles,0
49,2011,9.0605,6.2261,9.3118,9.1442,metals,0
50,2011,5.8555,4.7621,8.4322,7.4705,food,0
51,2011,6.0155,5.3842,4.793,8.8685,food,1
52,2011,7.5452,5.8475,5.8971,6.6681,food,1
53,2011,9.1902,7.6812,6.4137,8.9145,metals,0
54,2011,6.1341,5.0022,6.9859,7.3994,metals,0
55,2011,7.9778,6.2805,7.8966,9.5013,metals,0
56,2011,7.4356,5.9838,6.1212,7.5768,metals,1
57,2011,8.2164,6.0928,6.8978,9.2423,chemicals,0
58,2011,6.7545,6.6208,7.3288,8.0275,chemicals,1
59,2011,8.082,7.9194,8.2636,7.7419,food,1
60,2011,6.9947,2.967,7.4233,8.6285,food,1
61,2011,6.2618,4.2018,5.685,7.6814,metals,0
62,2011,5.9559,6.3512,6.5546,4.214,chemicals,1
63,2011,4.9896,2.2014,6.5337,6.011,chemicals,0
64,2011,7.9412,5.9928,7.8655,9.8998,metals,0
65,2011,6.8763,3.7515,8.8386,6.5546,chemicals,0
66,2011,6.9285,3.572,7.2757,8.6977,chemicals,0
67,2011,6.4912,5.2422,7.9661,4.9306,chemicals,1
68,2011,7.3305,5.6786,7.4203,9.7458,textiles,1
69,2011,8.0567,8.6791,6.582,6.3772,food,0
70,2011,7.54,4.8435,5.4232,10.4765,textiles,1
71,2011,7.2938,6.5871,6.8255,7.1599,food,0
72,2011,8.3561,6.0784,10.0928,8.2954,textiles,0
73,2011,7.0336,5.1005,6.7552,7.1234,electronics,0
74,2011,7.1997,6.4722,6.3495,7.9184,food,1
75,2011,6.9577,7.0308,8.4959,5.5771,food,0
76,2011,6.5113,3.5531,6.9408,7.9523,textiles,0
77,2011,8.3052,5.8382,9.2006,9.0833,textiles,0
78,2011,6.6603,5.3263,4.4113,7.6541,metals,1
79,2011,7.4816,5.9601,5.7113,6.6972,chemicals,1
80,2011,7.2618,6.0392,4.1776,9.9055,metals,1
81,2011,7.2751,6.2804,5.017,9.148,metals,1
82,2011,6.0661,4.8344,6.0291,8.3153,textiles,1
83,2011,7.3596,5.4999,7.7905,6.9711,metals,0
84,2011,8.3799,7.218,9.3446,6.641,food,0
85,2011,8.0218,6.6921,7.0855,7.2527,food,1
86,2011,6.7165,7.2989,7.4425,6.4591,food,1
87,2011,7.7444,6.3025,8.1479,7.171,metals,0
88,2011,6.3923,3.591,7.4364,7.4588,chemicals,0
89,2011,5.5713,4.009,8.6953,6.6459,food,1
90,2011,7.4714,7.2237,6.7861,7.8767,chemicals,0
91,2011,6.8291,5.0837,6.0483,7.0216,food,1
92,2011,7.812,5.068,9.266,7.4053,metals,0
93,2011,8.6897,7.5885,7.4666,8.6902,textiles,0
94,2011,7.3628,6.1116,8.5727,7.6272,textiles,1
95,2011,4.7509,3.8788,4.4825,7.755,textiles,0
96,2011,6.6569,2.825,6.7723,7.3363,chemicals,0
97,2011,8.5175,5.0197,9.5487,8.0742,textiles,0
98,2011,6.5372,5.94,8.2341,6.5035,food,1
99,2011,6.8456,5.8809,7.2557,6.686,food,0
100,2011,6.5146,4.2941,6.5878,6.164,electronics,0
1,2012,7.0032,6.4314,5.3476,6.8622,metals,1
2,2012,6.9294,5.9335,6.7465,8.199,textiles,1
3,2012,7.6994,7.9568,7.2942,7.666,electronics,0
4,2012,5.5957,3.0702,4.4425,7.74,metals,1
5,2012,5.2119,5.1283,4.1193,5.8654,food,1
6,2012,7.4831,5.3087,6.424,8.9503,electronics,1
7,2012,7.0306,3.0199,8.0521,8.3258,metals,0
8,2012,7.4008,4.0927,10.0118,6.2473,metals,0
9,2012,6.5282,4.4428,9.3693,7.2377,food,0
10,2012,7.823,5.3741,9.0579,7.1984,chemicals,1
11,2012,6.1821,6.1726,7.6209,5.4822,textiles,0
12,2012,5.5603,5.1437,5.0632,6.7878,electronics,0
13,2012,6.6518,6.3415,6.612,6.841,chemicals,0
14,2012,5.363,4.0466,5.4935,6.5881,metals,0
15,2012,6.5634,6.2845,4.5037,7.4293,textiles,0
16,2012,5.2882,5.3295,4.6146,5.6789,food,1
17,2012,6.5767,2.8121,7.4874,9.0155,chemicals,1
18,2012,6.0114,4.7325,6.9396,5.4903,food,1
19,2012,5.2415,4.3166,6.3268,5.702,metals,0
20,2012,7.5813,4.6593,7.6277,8.1361,chemicals,0
21,2012,7.8479,7.495,5.553,7.5566,metals,0
22,2012,7.4416,3.9135,6.7109,9.415,textiles,0
23,2012,7.15,5.2536,6.457,7.8985,electronics,0
24,2012,6.9971,5.7158,6.165,8.3436,electronics,0
25,2012,7.2294,5.9157,5.9094,8.2889,metals,0
26,2012,8.1815,6.8678,7.2407,8.9263,food,0
27,2012,6.5949,5.9255,8.5944,5.8907,chemicals,0
28,2012,6.9618,5.3885,7.3091,8.8066,food,0
29,2012,5.6124,5.4633,6.6411,5.5376,food,0
30,2012,6.4234,6.2712,4.7642,7.5673,metals,0
31,2012,7.1343,5.3659,6.0832,6.9437,metals,0
32,2012,7.6835,5.1863,6.866,5.6475,electronics,1
33,2012,7.5022,6.3185,7.0878,10.5086,textiles,0
34,2012,7.8848,7.7074,8.8683,6.6603,textiles,0
35,2012,6.2281,5.7803,5.8827,7.3202,chemicals,0
36,2012,6.1339,6.0956,6.7487,5.4732,food,0
37,2012,6.399,4.639,6.6053,5.5673,food,1
38,2012,7.7081,6.8568,5.8885,8.1975,chemicals,0
39,2012,7.119,5.4199,8.4471,6.9183,food,1
40,2012,5.5474,4.8364,5.1029,8.0088,metals,0
41,2012,4.5465,3.3947,7.2894,6.0156,textiles,0
42,2012,6.9161,2.6493,7.2829,9.9075,metals,0
43,2012,6.7008,6.7008,6.7254,6.7159,metals,1
44,2012,5.9707,5.4163,5.5659,7.7331,textiles,0
45,2012,6.2408,6.2334,5.0126,8.8745,metals,0
46,2012,8.271,7.8522,8.7655,7.6865,metals,0
47,2012,6.3635,5.6351,7.1343,7.4444,textiles,0
48,2012,6.195,3.8887,6.4039,8.8379,textiles,0
49,2012,7.0163,4.5106,7.171,6.9939,metals,0
50,2012,5.7372,3.8351,7.8918,6.39,food,0
51,2012,6.6247,5.0099,8.4913,6.6192,food,1
52,2012,8.1677,4.8164,8.654,8.3176,food,1
53,2012,7.1044,4.3667,7.2627,6.1013,metals,0
54,2012,5.3151,4.2802,5.5024,7.3769,metals,0
55,2012,7.4488,4.4089,11.2406,6.9314,metals,0
56,2012,8.4562,7.5935,8.7559,7.9474,metals,1
57,2012,8.3986,4.3206,9.4384,8.7575,chemicals,0
58,2012,6.9769,4.4957,8.2897,9.2937,chemicals,1
59,2012,6.8253,5.8871,8.5706,5.3804,food,1
60,2012,6.4721,5.1711,4.2786,7.121,food,1
61,2012,7.055,4.9246,6.4885,7.5752,metals,0
62,2012,6.361,4.965,7.0897,4.9567,chemicals,1
63,2012,7.0051,5.5926,8.5161,5.0213,chemicals,0
64,2012,6.3168,5.5095,7.2925,6.9269,metals,0
65,2012,6.5646,6.1243,6.6817,4.8183,chemicals,0
66,2012,7.2185,6.231,5.633,8.3309,chemicals,0
67,2012,6.8823,4.3495,6.5334,8.3584,chemicals,1
68,2012,6.9316,5.8621,7.6903,7.4578,textiles,1
69,2012,7.3723,7.2101,5.5716,6.6659,food,0
70,2012,5.1552,3.6888,5.0264,4.8397,textiles,1
71,2012,6.8195,5.0366,8.0013,6.6696,food,0
72,2012,7.5702,6.4718,7.9561,6.8048,textiles,0
73,2012,7.1898,6.075,5.0607,8.4818,electronics,0
74,2012,7.2225,6.6768,7.3738,7.6478,food,1
75,2012,7.2022,5.1011,7.4299,8.6948,food,0
76,2012,5.0864,4.0562,5.4005,5.1164,textiles,0
77,2012,6.8704,7.2091,4.571,8.4467,textiles,0
78,2012,7.45,5.6556,4.0476,7.8934,metals,1
79,2012,7.8144,3.693,7.9193,8.9176,chemicals,1
80,2012,5.4207,2.9073,6.6048,6.7434,metals,1
81,2012,5.8977,5.0598,5.5381,6.9048,metals,1
82,2012,6.2007,5.2783,7.8488,5.918,textiles,1
83,2012,7.078,4.9567,7.6939,6.516,metals,0
84,2012,5.6322,2.2142,9.0982,3.8019,food,0
85,2012,5.9809,5.156,4.8641,6.1282,food,1
86,2012,6.2721,6.9823,7.1078,6.1089,food,1
87,2012,7.0112,6.5663,8.1483,5.3033,metals,0
88,2012,7.6727,7.1158,5.0758,9.6678,chemicals,0
89,2012,5.1932,4.703,5.8316,5.8679,food,1
90,2012,5.0335,2.8908,6.4526,5.171,chemicals,0
91,2012,7.525,4.4161,9.9596,7.5332,food,1
92,2012,6.3795,4.7675,7.4081,6.2368,metals,0
93,2012,6.608,5.1125,6.0715,7.667,textiles,0
94,2012,6.6276,5.2866,6.0083,8.2205,textiles,1
95,2012,6.7511,5.0848,8.3488,7.3211,textiles,0
96,2012,7.9109,7.5834,5.068,8.5638,chemicals,0
97,2012,8.2867,7.3886,7.7429,7.7261,textiles,0
98,2012,5.6298,5.2516,5.9087,7.194,food,1
99,2012,6.101,4.5293,4.9672,8.0102,food,0
100,2012,8.352,6.7484,7.27,8.1238,electronics,0
1,2013,8.3013,4.95,10.461,7.0259,metals,1
2,2013,6.809,5.8494,4.9769,9.0251,textiles,1
3,2013,7.186,6.9963,8.0542,5.9488,electronics,0
4,2013,8.163,5.4649,9.3713,7.6887,metals,1
5,2013,7.4526,6.2147,7.756,7.5479,food,1
6,2013,6.5058,5.461,5.0805,5.6494,electronics,1
7,2013,7.1747,5.838,6.429,9.3196,metals,0
8,2013,7.479,5.0242,7.1893,8.4675,metals,0
9,2013,6.3719,4.3767,7.5566,8.7913,food,0
10,2013,5.6239,4.5939,4.9634,6.2284,chemicals,1
11,2013,6.7256,5.6439,5.3632,8.5313,textiles,0
12,2013,7.9687,9.0211,7.6968,8.3777,electronics,0
13,2013,5.0438,4.6573,5.2114,5.4845,chemicals,0
14,2013,6.878,5.8884,6.4603,7.2036,metals,0
15,2013,7.3742,6.0557,6.6104,6.9668,textiles,0
16,2013,5.2966,5.0411,6.8997,5.663,food,1
17,2013,5.9496,2.8919,5.6161,8.0134,chemicals,1
18,2013,7.7948,5.7763,8.6723,8.6226,food,1
19,2013,6.9329,4.7534,7.7318,7.773,metals,0
20,2013,8.6103,6.5274,7.2227,8.5829,chemicals,0
21,2013,7.7051,3.4419,9.4896,7.9767,metals,0
22,2013,7.2923,6.5558,6.7799,6.9988,textiles,0
23,2013,7.192,4.567,7.3698,8.0464,electronics,0
24,2013,7.2136,5.8698,7.9362,7.3299,electronics,0
25,2013,7.7581,5.795,8.2285,8.275,metals,0
26,2013,7.2539,5.5484,6.93,7.7208,food,0
27,2013,8.1652,5.9922,8.6003,7.6189,chemicals,0
28,2013,6.5691,5.8079,5.7063,6.9548,food,0
29,2013,7.3293,5.8463,8.8554,7.3416,food,0
30,2013,6.1772,5.9762,5.9432,6.6102,metals,0
31,2013,7.5223,5.153,7.3354,7.5348,metals,0
32,2013,8.2974,4.3684,7.5771,8.4811,electronics,1
33,2013,6.1609,6.2393,5.7991,6.7426,textiles,0
34,2013,7.6626,6.3196,8.0087,9.2017,textiles,0
35,2013,5.6203,4.5659,6.0265,6.3453,chemicals,0
36,2013,6.4044,4.1057,7.6124,7.6549,food,0
37,2013,8.222,6.2438,6.4861,10.2907,food,1
38,2013,5.9688,4.1898,4.257,7.4028,chemicals,0
39,2013,8.4058,8.0127,7.9809,8.5725,food,1
40,2013,5.7529,5.5288,7.256,5.0773,metals,0
41,2013,5.5491,5.2318,5.7839,6.7956,textiles,0
42,2013,7.7498,6.1755,8.569,7.0661,metals,0
43,2013,6.9139,6.2139,6.34,8.5136,metals,1
44,2013,7.2193,7.6961,5.8053,7.6016,textiles,0
45,2013,5.4883,4.7367,4.8118,7.6485,metals,0
46,2013,6.433,4.6018,5.445,7.8792,metals,0
47,2013,7.7752,8.1802,7.5139,8.2082,textiles,0
48,2013,6.1114,7.5284,5.8134,6.3067,textiles,0
49,2013,7.6917,4.4213,6.5665,9.1123,metals,0
50,2013,6.0838,6.5503,7.6434,6.6054,food,0
51,2013,6.5724,5.5444,8.9206,6.2935,food,1
52,2013,6.7717,2.6476,8.5759,5.978,food,1
53,2013,7.9679,6.9151,8.0034,4.5548,metals,0
54,2013,6.8523,5.3248,7.8167,8.6057,metals,0
55,2013,6.3985,3.3046,6.363,8.0745,metals,0
56,2013,6.3249,6.6462,7.2869,3.5935,metals,1
57,2013,6.9066,5.0205,4.2886,9.3264,chemicals,0
58,2013,7.3692,6.0181,7.9659,8.2038,chemicals,1
59,2013,6.5488,6.7004,4.6968,8.1319,food,1
60,2013,8.2712,5.0301,8.8242,8.7655,food,1
61,2013,7.3461,5.0018,6.7138,7.0046,metals,0
62,2013,6.2655,4.9449,7.5252,6.8277,chemicals,1
63,2013,8.5636,7.1042,7.4871,8.6493,chemicals,0
64,2013,6.9725,5.5952,7.8015,8.0189,metals,0
65,2013,8.2481,8.2348,6.6874,8.1186,chemicals,0
66,2013,6.3316,5.4816,3.3974,8.1417,chemicals,0
67,2013,6.7303,5.6142,8.3926,6.2292,chemicals,1
68,2013,6.1872,5.3342,6.105,7.4685,textiles,1
69,2013,9.1098,6.7056,8.2086,9.3677,food,0
70,2013,6.7925,5.2693,8.2294,6.243,textiles,1
71,2013,8.229,7.3104,8.1534,8.3656,food,0
72,2013,6.1811,5.9124,5.4856,4.877,textiles,0
73,2013,9.4549,7.0641,9.5331,9.6855,electronics,0
74,2013,8.785,6.0342,10.7568,9.3825,food,1
75,2013,6.7758,4.4962,8.2799,6.1454,food,0
76,2013,6.5203,7.411,6.4852,4.3373,textiles,0
77,2013,6.8161,5.5598,6.9001,7.1636,textiles,0
78,2013,7.722,4.9235,8.1055,6.7634,metals,1
79,2013,7.3277,6.9242,7.0575,5.0516,chemicals,1
80,2013,6.1059,5.8751,5.6932,6.0067,metals,1
81,2013,6.8739,4.8367,8.0548,7.0609,metals,1
82,2013,5.1744,4.6073,5.6412,5.3005,textiles,1
83,2013,5.8074,2.6838,6.2571,6.3742,metals,0
84,2013,7.8749,3.9952,8.9977,9.5426,food,0
85,2013,5.7659,6.2862,3.5928,5.1455,food,1
86,2013,6.4629,5.1146,7.3619,9.1479,food,1
87,2013,7.7859,5.5167,9.8027,5.5744,metals,0
88,2013,6.8987,5.6965,6.7571,6.3519,chemicals,0
89,2013,6.7701,6.7204,6.8594,7.631,food,1
90,2013,8.6718,6.4049,8.2711,10.9144,chemicals,0
91,2013,7.6313,6.3943,8.2068,6.7792,food,1
92,2013,6.6373,4.5692,6.4894,7.7002,metals,0
93,2013,4.9634,3.2553,4.0957,5.8311,textiles,0
94,2013,5.6741,4.1533,6.0758,6.5986,textiles,1
95,2013,6.3914,6.4057,7.1981,7.0433,textiles,0
96,2013,7.2946,6.2585,5.7371,7.6254,chemicals,0
97,2013,8.2325,6.4231,6.6098,9.8807,textiles,0
98,2013,6.0144,5.5211,6.9572,7.4372,food,1
99,2013,7.7751,7.1601,7.0242,8.5771,food,0
100,2013,8.4656,4.6858,8.7942,10.503,electronics,0
1,2014,7.7144,4.9393,9.0076,8.3474,metals,1
2,2014,8.0516,6.1385,8.9307,8.7759,textiles,1
3,2014,7.3678,6.6661,6.675,6.8258,electronics,0
4,2014,7.6553,6.453,7.1916,6.7341,metals,1
5,2014,6.2144,6.1928,4.4939,7.264,food,1
6,2014,8.5118,3.3942,9.9402,8.4648,electronics,1
7,2014,7.8546,6.9004,6.3532,9.1266,metals,0
8,2014,7.9835,5.6851,6.7762,8.8839,metals,0
9,2014,6.8307,6.3164,8.0816,8.2312,food,0
10,2014,7.4004,6.465,6.9837,6.9028,chemicals,1
11,2014,5.2354,3.4492,7.8173,5.3666,textiles,0
12,2014,5.897,3.1002,7.7507,7.1406,electronics,0
13,2014,7.7191,7.1125,9.1059,7.8473,chemicals,0
14,2014,7.2622,7.4616,8.6442,6.2193,metals,0
15,2014,7.5013,3.2573,7.6284,10.3815,textiles,0
16,2014,6.5565,5.5845,6.7251,7.8456,food,1
17,2014,7.5462,7.0087,9.0673,6.2105,chemicals,1
18,2014,8.0559,6.004,7.849,8.9201,food,1
19,2014,6.8306,5.8899,7.9864,6.4511,metals,0
20,2014,7.376,6.4104,4.6885,6.5083,chemicals,0
21,2014,7.3145,3.3252,8.7518,6.9511,metals,0
22,2014,8.2555,5.8852,8.9878,6.5128,textiles,0
23,2014,6.1675,6.5274,5.0764,5.3853,electronics,0
24,2014,5.8856,5.1708,4.4369,6.7991,electronics,0
25,2014,7.0764,4.6214,9.5757,6.6784,metals,0
26,2014,6.6678,5.7309,6.164,7.283,food,0
27,2014,6.7973,4.5153,6.9539,7.6237,chemicals,0
28,2014,7.4261,5.4353,8.6349,8.9964,food,0
29,2014,6.9662,6.2705,6.109,8.2453,food,0
30,2014,7.2387,4.3649,9.213,7.3244,metals,0
31,2014,8.9854,5.9497,10.7534,6.2577,metals,0
32,2014,7.289,4.6769,7.2296,6.9532,electronics,1
33,2014,6.1194,5.2204,7.6096,6.1248,textiles,0
34,2014,6.1635,3.8549,6.4874,7.7498,textiles,0
35,2014,6.2848,5.4381,5.9871,8.3647,chemicals,0
36,2014,7.3955,6.1578,6.7704,8.0779,food,0
37,2014,7.4515,3.4021,7.7472,9.1509,food,1
38,2014,6.3918,4.5745,4.6594,7.5787,chemicals,0
39,2014,5.995,7.1538,4.3128,5.9802,food,1
40,2014,7.4376,5.0558,9.1152,8.7462,metals,0
41,2014,6.4291,5.9718,5.731,8.6263,textiles,0
42,2014,7.334,6.8831,7.284,7.2346,metals,0
43,2014,6.221,5.8536,6.8413,7.4353,metals,1
44,2014,6.5795,4.2038,6.9128,7.6863,textiles,0
45,2014,6.4273,6.773,5.4311,7.7714,metals,0
46,2014,6.8393,5.7802,6.2364,7.1077,metals,0
47,2014,6.2141,7.7767,5.2214,6.0721,textiles,0
48,2014,5.7831,5.0842,7.1802,7.1552,textiles,0
49,2014,8.8796,8.4642,9.1321,6.4203,metals,0
50,2014,6.265,3.2976,8.4542,8.9352,food,0
51,2014,7.4258,5.4199,8.3167,8.165,food,1
52,2014,7.5835,5.6518,8.6637,5.9733,food,1
53,2014,8.6764,6.5238,8.505,6.7575,metals,0
54,2014,6.0518,6.6357,6.3072,6.6922,metals,0
55,2014,7.5364,6.521,8.2211,8.8062,metals,0
56,2014,8.2368,5.3696,6.4753,11.0166,metals,1
57,2014,8.5243,6.2449,5.7686,9.6914,chemicals,0
58,2014,7.5949,6.9749,7.8752,7.8697,chemicals,1
59,2014,7.2021,4.8532,6.4131,9.4897,food,1
60,2014,7.9968,4.9325,8.7474,8.4527,food,1
61,2014,7.5137,6.3088,6.2277,7.3194,metals,0
62,2014,6.4776,4.2983,5.7079,7.6252,chemicals,1
63,2014,6.3841,5.899,5.0509,6.7653,chemicals,0
64,2014,6.2677,4.8975,7.0881,6.8618,metals,0
