bank_id,year,log_loans,log_labor,log_capital,log_deposits,log_assets,public_ownership,npl_ratio
6,2016,7.886079,5.713865,8.315642,7.156483,8.999985,1,5.5203
6,2017,8.141664,5.927245,6.837864,8.803013,8.260683,1,4.6959
6,2018,8.114395,5.08094,7.301657,8.402139,10.17708,1,4.074
6,2019,8.5237,5.318037,7.783553,8.996272,9.735866,1,5.6075
7,2010,9.332389,7.57108,10.322911,7.8567,10.236001,1,3.9213
7,2011,9.217783,6.462903,8.795575,9.065898,10.780579,1,4.5975
7,2012,8.567246,6.169784,8.99111,7.840801,9.178954,1,3.1813
7,2013,9.495285,7.229778,9.504903,8.773727,10.521886,1,3.6789
7,2014,9.781637,7.566859,9.294902,9.645248,10.343183,1,3.9812
7,2015,9.448983,7.334311,9.20694,9.244991,10.032699,1,4.002
7,2016,9.564824,7.715078,9.525798,8.463504,9.615062,1,3.7535
7,2017,8.855225,6.650074,8.009713,8.644827,10.323721,1,4.29
7,2018,8.407107,6.00706,8.942023,7.431251,9.335015,1,3.4447
7,2019,10.339731,7.993878,9.487422,10.424624,10.965159,1,3.9074
8,2010,7.453928,4.921089,6.215266,7.358575,7.320296,0,1.1574
8,2011,8.519262,4.788231,7.103384,9.188441,10.210293,0,1.3545
8,2012,7.517673,5.952351,6.325862,7.180348,9.086576,0,1.4531
8,2013,7.526162,5.581088,6.346827,7.140007,8.619152,0,0.5349
8,2014,7.814274,5.274835,7.082441,7.096659,8.421447,0,0.5
8,2015,8.301863,6.340808,6.235422,8.527032,9.247516,0,1.7361
8,2016,7.235941,4.869212,6.029414,6.841732,9.56097,0,1.2634
8,2017,8.113431,5.75741,6.586774,8.369965,7.99559,0,0.723
8,2018,7.901949,5.282912,6.757395,7.367806,9.13708,0,1.8728
8,2019,7.143047,5.408771,6.333403,5.838326,7.397675,0,1.1551
9,2010,7.231471,5.728506,5.730774,6.844217,8.089976,0,4.1715
9,2011,6.661867,4.96441,5.542568,6.069268,7.590743,0,3.6156
9,2012,7.517967,5.240065,5.981561,7.41098,8.230596,0,4.6123
9,2013,7.262998,5.592819,6.08914,6.271981,8.123627,0,4.4596
9,2014,7.89167,4.610445,6.131562,8.622015,8.247944,0,3.4574
9,2015,7.411718,4.364482,5.999169,7.422275,8.999292,0,4.0677
9,2016,6.461026,4.112359,4.835986,6.685339,6.809791,0,3.9046
9,2017,7.257167,3.783967,5.817391,8.115557,9.012048,0,4.2662
9,2018,8.310812,6.223286,6.616885,8.69091,9.048558,0,3.0994
9,2019,7.437641,4.284212,6.174571,7.717271,7.846145,0,3.9249
10,2010,7.412613,5.028102,6.497411,7.112785,8.437824,0,2.2377
10,2011,6.947571,4.868923,6.638059,5.998402,7.103307,0,0.8291
10,2012,7.472842,5.329323,6.438475,6.97032,8.366864,0,1.1168
10,2013,7.687325,5.495895,6.812044,7.026997,7.692807,0,0.6888
10,2014,7.829949,5.642348,6.786751,7.852275,9.090014,0,1.5737
10,2015,7.182062,4.781137,6.115376,7.078594,7.885538,0,2.0672
10,2016,8.385323,5.090676,7.188178,8.795541,9.075259,0,2.4596
10,2017,7.636661,5.321014,6.85185,7.280318,8.859099,0,1.7455
10,2018,7.632586,5.046057,6.663508,7.640179,8.307362,0,2.5228
10,2019,8.431365,6.275431,6.270639,8.791191,9.082385,0,1.0184
11,2010,8.44732,6.57477,7.795927,8.790323,8.644196,1,5.4018
11,2011,8.760207,6.624131,8.532155,8.758824,10.192761,1,6.2257
11,2012,8.527909,6.936549,8.412537,7.914357,10.368887,1,6.4455
11,2013,8.583896,7.226092,8.382505,8.045195,11.248097,1,6.2371
11,2014,8.355581,6.383249,8.380283,7.701194,9.32561,1,5.2197
11,2015,8.469524,5.714734,8.704769,8.401551,10.013819,1,6.2089
11,2016,9.256984,6.633377,8.453239,9.5607,9.010683,1,5.6012
11,2017,8.138185,6.099396,7.622622,7.99962,10.003157,1,6.5883
11,2018,8.010385,6.196114,8.061418,7.104331,9.492429,1,6.4367
11,2019,9.482624,6.83224,8.1363,10.290193,10.187568,1,5.7835
12,2010,8.531766,6.460469,7.605933,8.397653,10.004492,0,4.5588
12,2011,7.565837,5.759585,7.41681,6.835058,8.539618,0,4.2861
12,2012,8.089749,5.929557,7.260019,7.660876,8.49199,0,4.7844
12,2013,8.575711,6.794023,7.294549,8.355178,9.561027,0,5.2933
12,2014,9.130505,6.01361,7.5981,9.893801,9.210367,0,4.3229
12,2015,8.454587,7.38531,7.88829,7.27412,9.526626,0,5.0677
12,2016,8.337786,6.323387,6.613092,8.631934,8.392979,0,4.5506
12,2017,9.091339,5.028143,7.99007,9.794092,9.45784,0,4.4193
12,2018,8.328324,6.349876,7.988498,7.747396,8.750424,0,4.7622
12,2019,8.380019,6.228511,7.336323,7.990245,9.555033,0,4.2981
13,2010,7.335178,5.847036,6.461431,6.62458,7.831753,0,4.3826
13,2011,7.439175,5.494325,6.065513,7.341713,7.806494,0,4.0605
13,2012,7.863902,4.987738,7.062484,7.956576,8.562926,0,5.6418
13,2013,7.89182,4.422905,6.983254,8.52433,8.96928,0,4.6771
13,2014,8.095587,5.026027,6.427639,8.787173,8.480416,0,4.3096
13,2015,7.408706,4.489137,6.591591,7.10761,7.719035,0,4.7664
13,2016,6.699299,4.881817,6.23508,5.529439,9.147938,0,4.6033
13,2017,7.527496,5.605092,5.861945,7.490639,7.900386,0,4.549
13,2018,8.015902,6.10883,6.63405,8.025591,8.766997,0,4.9665
13,2019,7.924984,5.443813,6.542304,7.972271,8.771408,0,5.0382
14,2010,7.956688,5.312744,7.26729,7.86004,8.650503,1,3.6492
14,2011,8.37035,6.227771,7.755652,8.436234,9.717404,1,3.6266
14,2012,9.257597,6.827217,8.039913,10.039159,10.688956,1,3.777
14,2013,8.414956,5.892458,7.766281,8.733406,9.493429,1,2.7635
14,2014,8.169256,5.882932,7.816842,8.047989,8.456523,1,3.1569
14,2015,7.609563,5.932649,7.316507,7.419982,9.568159,1,4.5979
14,2016,7.977864,5.641384,7.367595,7.830977,9.033279,1,4.737
14,2017,8.992026,6.563065,7.476066,9.93637,10.897838,1,3.79
14,2018,8.390669,6.026285,8.068791,8.454813,8.170463,1,4.2028
14,2019,8.250711,6.538986,7.16226,7.970287,8.998881,1,4.0701
15,2010,7.428654,4.921014,7.18747,7.587018,10.263645,1,3.9998
15,2011,8.545091,5.414187,7.722681,9.489796,9.465993,1,3.0201
15,2012,8.875013,6.000213,7.056838,10.057578,9.672611,1,2.3964
15,2013,7.375491,5.595608,6.122646,7.809168,8.83452,1,1.9826
15,2014,8.255172,6.9028,7.429158,8.208748,9.068238,1,1.6571
15,2015,7.853719,5.370922,7.075112,8.041081,8.719238,1,2.5621
15,2016,6.976144,5.787225,6.804336,5.588175,7.972252,1,2.0822
15,2017,8.376438,6.372883,7.080668,9.035328,9.137597,1,1.7492
15,2018,8.019272,4.857637,7.494281,8.358506,10.07071,1,2.137
15,2019,7.822022,4.706343,6.987794,8.281541,9.287138,1,1.9196
16,2010,7.680202,5.458926,7.670504,7.664017,9.274249,1,7.1727
16,2011,8.58349,6.957364,7.912683,8.203984,9.768193,1,6.7699
16,2012,8.420363,6.079282,8.109093,8.154323,9.36251,1,6.3251
16,2013,9.641886,7.897727,8.746596,9.804256,9.684053,1,7.0691
16,2014,8.62702,6.06392,8.333759,8.383919,9.180805,1,6.3678
16,2015,9.699233,6.726874,8.199404,10.748717,10.404851,1,5.8985
16,2016,9.427259,7.291396,8.975473,9.315991,9.384759,1,7.0907
16,2017,9.319296,7.796757,9.829147,8.177033,9.693533,1,6.5986
16,2018,9.397089,7.740786,9.110643,9.026502,9.787669,1,5.8105
16,2019,8.979031,7.248824,8.756624,8.344826,11.060552,1,6.234
17,2010,6.489254,5.561627,6.03237,5.315158,5.793497,0,2.2749
17,2011,7.821211,5.277674,5.946928,9.037127,9.097574,0,2.0213
17,2012,7.775982,5.43223,6.647217,8.649479,10.439918,0,3.1758
17,2013,7.18509,4.694259,5.589474,7.706928,8.487556,0,3.6674
17,2014,7.029354,4.424102,5.727318,7.572921,9.088929,0,2.0135
17,2015,6.619865,4.904904,6.121688,6.041824,7.986815,0,2.9942
17,2016,6.986044,4.777526,5.786837,7.016339,7.704946,0,2.3874
17,2017,7.325911,4.653674,5.448371,8.040162,7.174863,0,2.4692
17,2018,7.136706,5.740894,6.592542,6.871909,8.65462,0,2.4165
17,2019,6.685357,5.745803,6.398428,5.216586,7.156981,0,2.2807
18,2010,7.523537,5.123041,6.787427,7.544285,8.213707,0,4.8909
18,2011,7.965693,5.979376,6.643695,7.822553,8.582091,0,4.4511
18,2012,7.735659,4.608277,6.685278,8.133327,10.006137,0,5.0018
18,2013,7.952823,5.203635,6.308864,8.471179,10.482496,0,4.8415
18,2014,8.068462,4.909899,7.062202,8.592548,9.409788,0,4.7471
18,2015,6.783541,4.159687,5.343598,7.399968,8.032169,0,4.4128
18,2016,8.265979,5.26295,6.733634,9.076891,8.601281,0,4.5782
18,2017,7.209894,5.304844,6.693166,6.257242,8.515144,0,5.2443
18,2018,8.378746,6.281763,6.625077,8.486355,10.059071,0,5.1171
18,2019,8.144229,5.541661,6.893165,8.587554,9.18341,0,4.3778
19,2010,7.062461,4.509611,6.758378,6.369292,6.784405,0,4.9041
19,2011,6.948009,6.194418,5.909148,5.985639,8.381915,0,5.2302
19,2012,7.759173,5.937244,6.935117,7.186801,9.223134,0,4.0198
19,2013,7.182102,5.854887,5.859972,6.760952,7.231065,0,5.1262
19,2014,7.747217,5.12796,6.12245,8.277783,8.904242,0,4.5232
19,2015,7.688021,4.640086,7.123099,7.527716,9.017152,0,5.1398
19,2016,7.176153,5.135959,6.347575,6.929408,8.157695,0,4.4729
19,2017,7.553317,5.988621,6.448217,7.14078,7.910782,0,3.952
19,2018,8.584685,6.479864,6.781875,8.975639,9.90199,0,4.0407
19,2019,8.822864,6.313734,7.836934,8.427377,9.201191,0,4.8785
20,2010,6.0788,4.095181,4.236574,6.440996,6.757297,0,4.5419
20,2011,6.138922,3.417977,4.228054,6.423778,6.263667,0,3.9599
20,2012,7.725788,4.354732,5.694152,8.697029,9.555371,0,4.7313
20,2013,6.284012,3.089135,5.409741,6.501703,8.14933,0,3.5813
20,2014,7.369038,4.512288,5.150111,8.544608,8.763667,0,4.379
20,2015,6.409433,4.102406,4.393979,7.033021,7.705557,0,3.8065
20,2016,6.932624,3.981478,5.84166,7.191843,8.138469,0,4.0861
20,2017,7.496302,3.336506,5.245106,9.705483,8.581276,0,4.4357
20,2018,6.609671,4.748578,5.529163,6.113847,7.609269,0,3.9818
20,2019,6.487015,4.135061,4.635214,6.533514,6.60168,0,4.2198
21,2010,7.3738,4.939986,7.030616,6.731216,8.093241,0,2.6809
21,2011,7.895374,4.068644,6.736058,8.718166,9.086134,0,1.8893
21,2012,8.879232,5.719041,7.412058,9.923222,10.226756,0,2.5956
21,2013,9.766064,6.764009,8.576644,10.190788,10.189148,0,1.6129
21,2014,9.342199,6.821562,7.994403,9.546053,10.325311,0,2.4427
21,2015,7.926176,5.561402,6.829964,7.699612,9.637399,0,2.8986
21,2016,8.482054,5.767853,7.990881,8.138444,9.993622,0,0.942
21,2017,7.94483,6.231069,7.772232,6.678014,9.17781,0,1.7793
21,2018,9.017484,5.189715,7.436785,10.096322,9.98481,0,2.4663
21,2019,8.936056,6.071106,8.10544,8.939909,9.237007,0,2.0763
22,2010,7.950112,6.296736,7.176173,7.63525,9.307411,1,4.5825
22,2011,9.052787,6.699954,7.7036,9.738035,10.882975,1,4.0949
22,2012,7.658854,5.556259,7.210295,7.130761,8.787756,1,4.4402
22,2013,7.964581,5.484753,6.711748,8.378179,10.140919,1,4.319
22,2014,8.053709,5.475257,7.477124,8.105673,8.322762,1,4.9808
22,2015,8.744976,5.377783,8.120175,9.124019,9.093918,1,4.5241
22,2016,7.692478,5.632233,6.569979,7.693366,9.355755,1,4.5657
22,2017,7.755186,6.148832,7.477629,6.6476,8.779028,1,4.1909
22,2018,8.483389,6.179526,7.688523,8.409024,10.12319,1,4.1531
22,2019,8.362916,5.43338,7.319655,9.319902,9.829404,1,4.1806
23,2010,8.347427,6.432997,7.279297,8.178961,8.625198,0,4.6018
23,2011,7.995776,5.454355,6.532709,8.681671,9.120625,0,4.1941
23,2012,7.402884,5.430392,6.963366,6.905865,7.591624,0,4.5494
23,2013,7.716193,5.124844,6.724249,7.970474,8.29927,0,5.4422
23,2014,6.467172,4.037515,5.454518,6.583418,8.64599,0,4.8401
23,2015,8.824586,6.160568,7.769108,9.278693,10.286731,0,4.2415
23,2016,8.320155,5.977174,7.658523,8.358568,9.323338,0,5.0052
23,2017,8.276507,5.434995,6.942712,8.732153,8.244853,0,4.2005
23,2018,8.546165,5.605215,7.224076,9.34726,9.514131,0,3.3855
23,2019,8.576215,6.059279,7.535634,8.940093,8.854475,0,3.9005
24,2010,7.477774,4.437189,6.575236,8.082575,9.656105,0,1.3323
24,2011,7.418225,4.967978,6.915626,7.088487,8.087624,0,2.0919
24,2012,7.868281,5.809254,6.710481,7.839154,8.125312,0,2.2769
24,2013,7.357811,4.451439,6.840864,7.255252,8.713373,0,3.1059
24,2014,7.801616,5.515039,6.980635,7.860554,8.595358,0,2.4312
24,2015,7.125573,4.569902,6.412549,7.284764,9.549383,0,2.1581
24,2016,7.413733,5.950809,6.362776,6.717338,7.840395,0,2.6824
24,2017,7.181138,5.29629,6.776558,6.046541,7.352629,0,1.1621
24,2018,6.858571,4.62621,5.965419,6.753717,6.901002,0,2.3855
24,2019,8.329732,6.267401,6.999115,8.09215,8.919428,0,2.6531
25,2010,5.96241,3.813475,4.52723,5.440811,6.671756,0,0.9387
25,2011,6.479036,3.935877,4.615648,6.644198,6.928132,0,2.2498
25,2012,8.089843,4.423718,6.024972,9.383964,9.992008,0,1.8472
25,2013,7.730018,5.014265,5.824417,8.459769,9.169762,0,1.4703
25,2014,7.720121,3.691361,5.628725,8.930909,8.782133,0,1.9944
25,2015,6.796633,4.485531,4.768084,7.120825,8.860325,0,2.8133
25,2016,7.546204,4.713103,5.279546,8.466701,9.041474,0,1.7689
25,2017,6.671894,4.719462,4.874322,6.22355,7.213691,0,1.8021
25,2018,6.477282,4.360107,4.952545,6.475048,7.338655,0,1.4483
25,2019,5.464464,4.165652,4.775531,4.122621,7.058354,0,1.253
26,2010,8.09298,4.544861,6.647167,8.921728,9.430701,0,3.6424
26,2011,8.239304,5.186753,6.18758,9.161032,9.301598,0,2.7992
26,2012,7.471863,4.64188,6.602099,7.226294,8.208731,0,3.263
26,2013,6.874153,3.382879,5.993779,7.125161,8.549326,0,2.9884
26,2014,8.301158,5.459073,7.539018,7.662625,8.767042,0,3.4667
26,2015,7.701409,5.769582,5.878253,7.759553,8.519691,0,3.394
26,2016,7.770453,3.908503,6.445638,8.663725,9.957748,0,3.746
26,2017,6.928222,4.430892,6.626097,6.203093,7.75276,0,2.9722
26,2018,7.868848,5.592242,6.199145,7.958581,7.755756,0,3.0923
26,2019,8.540684,6.557045,7.534153,7.929623,8.605378,0,2.7378
27,2010,7.576036,5.324041,6.763538,7.818625,9.346238,1,5.549
27,2011,7.316489,4.725565,6.38754,8.326858,9.134385,1,5.9598
27,2012,6.94869,4.934164,6.079781,7.22274,8.297286,1,6.1496
27,2013,7.72657,6.138454,6.718771,7.761644,8.438619,1,5.31
27,2014,7.737123,4.820442,7.368894,8.061834,9.685215,1,6.2059
27,2015,7.674723,4.693075,6.465958,8.745467,8.670416,1,6.4489
27,2016,7.646611,4.959476,6.644714,8.235151,9.232201,1,5.9778
27,2017,7.035135,4.741107,6.012001,7.556417,8.201192,1,6.7095
27,2018,6.953957,5.364685,6.256702,6.276427,7.406851,1,5.3842
27,2019,8.073983,6.125807,7.389328,7.834864,8.843481,1,5.1488
28,2010,7.245926,5.061505,5.551129,8.095516,8.127405,0,2.8948
28,2011,6.953311,4.774026,5.657358,7.386712,8.245718,0,4.5321
28,2012,7.337961,4.708016,5.901324,8.178368,8.837115,0,4.1113
28,2013,7.435048,3.786267,5.354786,9.040155,6.767651,0,3.7563
28,2014,7.734472,5.367667,6.217347,8.524662,8.51235,0,3.9241
28,2015,7.353354,4.830596,6.037052,7.831349,8.392032,0,3.2214
28,2016,7.221754,4.849542,6.220268,7.175893,9.338275,0,5.007
28,2017,7.253158,6.900649,7.020872,5.456715,7.243144,0,3.8487
28,2018,7.17754,5.043785,5.735518,7.308328,8.291941,0,3.8388
28,2019,6.770115,4.515075,5.40634,7.113698,9.137051,0,4.147
29,2010,8.186312,5.144756,7.172861,8.332925,8.466618,0,3.5207
29,2011,8.339059,6.209493,7.469788,8.058463,9.559156,0,3.3922
29,2012,7.438029,5.533256,6.257509,7.070526,7.845098,0,2.885
29,2013,7.053691,4.630782,6.804242,6.141987,7.964569,0,3.516
29,2014,7.406352,5.994763,6.156596,6.67487,7.70669,0,4.2213
29,2015,8.082059,5.195002,6.812669,8.379069,8.775361,0,3.953
29,2016,9.494095,6.639798,8.089365,10.195137,11.940208,0,4.0768
29,2017,7.966046,6.056763,6.808414,7.60173,9.311011,0,3.0246
29,2018,7.885204,5.386787,6.392981,8.061655,9.469646,0,2.7854
29,2019,8.831533,6.373243,7.420327,9.308185,10.040661,0,3.2174
30,2010,7.433688,5.860055,7.040559,7.150284,7.773218,1,2.992
30,2011,8.395581,6.347361,7.532425,8.677033,9.599071,1,3.5113
30,2012,7.844383,6.224143,7.777791,7.491591,9.540951,1,2.1179
30,2013,8.236471,5.46215,7.081266,8.951179,8.863958,1,3.729
30,2014,8.116465,5.577245,7.379199,8.301664,9.965163,1,2.8852
30,2015,8.656151,6.612753,8.230603,8.837511,10.241436,1,2.7507
30,2016,8.006537,5.952776,7.685857,7.484293,9.999466,1,2.4581
30,2017,8.327911,5.868611,7.366797,8.85107,9.083021,1,2.1368
30,2018,8.837318,5.469636,7.308579,10.277246,9.472374,1,3.3758
30,2019,7.939813,6.391936,7.786818,7.254281,8.607217,1,3.0008
31,2010,9.957685,8.33183,9.767691,9.004375,11.144329,0,2.815
31,2011,9.469747,6.61684,9.232812,9.343866,9.048739,0,2.8125
31,2012,9.917027,7.43303,9.542023,9.947514,9.462291,0,3.2921
31,2013,9.793959,8.083095,9.859258,9.049749,10.254272,0,4.2945
31,2014,8.159869,7.145019,9.125645,6.144443,8.744253,0,3.3302
31,2015,10.415206,7.503781,9.812598,10.698545,10.94632,0,2.7085
31,2016,9.587561,6.571168,9.053985,9.689668,10.884469,0,3.3372
31,2017,9.122785,7.516075,9.408627,7.641214,9.050501,0,3.3237
31,2018,9.456695,7.20823,9.533669,8.714556,8.701828,0,2.1116
31,2019,10.527492,7.828449,9.899206,10.924126,12.244045,0,3.4329
32,2010,8.87612,6.371113,7.674501,9.89567,9.386972,1,6.488
32,2011,9.049537,7.321086,7.707624,9.312522,8.989354,1,6.9516
32,2012,8.038805,5.954124,7.494587,8.096906,9.740501,1,7.528
32,2013,8.302376,6.064526,7.683369,8.390224,9.186554,1,7.1668
32,2014,7.992385,5.90483,7.518976,8.05362,9.195392,1,6.4691
32,2015,8.322956,5.648278,6.965968,9.145001,9.723691,1,6.0502
32,2016,7.751992,5.914427,7.470438,7.304868,9.591249,1,7.8902
32,2017,8.026707,5.705332,7.617859,7.684806,8.741783,1,6.6331
32,2018,8.469718,5.809003,7.269521,9.018106,10.364476,1,6.6105
32,2019,8.026815,6.716703,6.732566,7.975537,7.793292,1,6.5914
33,2010,8.232688,5.145054,7.204376,9.469524,10.111827,1,3.1176
33,2011,8.373401,6.491048,8.458754,8.087773,8.98165,1,2.9464
33,2012,8.164873,6.444505,7.639533,8.348304,10.385139,1,2.7318
33,2013,7.29021,5.631447,6.990577,7.00985,8.546406,1,2.7452
33,2014,7.560956,4.598405,6.989694,8.088635,8.708262,1,3.0022
33,2015,7.187552,5.372267,7.284277,6.392837,9.006521,1,2.7469
33,2016,8.484191,6.676313,8.277011,8.078873,9.91808,1,2.6622
33,2017,7.109059,5.721361,6.827173,6.384926,8.773222,1,3.0718
33,2018,8.277242,5.377031,7.436748,8.786947,8.729784,1,2.8911
33,2019,8.40579,5.485678,7.654526,9.022357,9.246217,1,3.7706
34,2010,7.580084,5.992601,6.980119,6.298372,8.349437,0,1.7478
34,2011,8.696554,5.843602,7.202026,9.505165,9.717775,0,3.6191
34,2012,8.880473,5.259962,7.306553,10.674779,10.723818,0,3.6964
34,2013,8.088988,5.331107,7.043789,8.001332,7.961692,0,2.0366
34,2014,7.411522,5.303988,6.437968,7.114771,8.67115,0,2.902
34,2015,9.032818,4.925668,6.918374,10.795946,10.039263,0,2.8876
34,2016,7.993019,6.421369,7.350504,6.949889,8.147776,0,2.3696
34,2017,8.056739,5.183344,6.731776,7.963688,8.549725,0,2.6844
34,2018,8.609343,6.358259,7.367413,8.366377,9.148801,0,2.518
34,2019,9.00269,6.369308,7.323763,9.417304,7.547967,0,3.9495
35,2010,6.975347,4.381627,5.196706,7.392797,7.837708,0,4.9773
35,2011,5.92583,3.507789,4.275989,6.084382,6.73059,0,5.1453
35,2012,5.739588,4.123258,4.059584,5.547081,7.343965,0,4.8703
35,2013,6.111906,3.788384,4.181528,6.275747,6.991696,0,3.945
35,2014,5.681856,3.27794,4.410986,5.770083,7.033533,0,4.2472
35,2015,6.682984,4.140909,4.959329,7.022378,9.005237,0,4.7542
35,2016,5.73949,3.219188,4.306435,6.090634,8.111951,0,3.8984
35,2017,5.959336,4.657329,4.470483,5.255534,7.717439,0,4.866
35,2018,7.200471,3.701262,5.276196,8.341653,8.207483,0,4.3893
35,2019,6.253127,3.920244,4.46023,6.139903,7.957864,0,4.3221
36,2010,7.590245,5.721789,7.427998,6.770318,8.699909,0,4.3186
36,2011,7.77294,5.402041,6.825326,7.674889,8.714605,0,4.1852
36,2012,8.35358,5.766485,7.285153,8.258262,9.485715,0,3.7826
36,2013,7.380479,5.226787,7.224298,6.295391,8.047423,0,4.5427
36,2014,8.714866,6.074985,7.785889,8.700811,10.46493,0,3.4225
36,2015,7.457236,4.7551,7.151163,7.075067,8.567342,0,4.271
36,2016,8.950451,5.705351,7.385418,9.955807,10.265508,0,4.2596
36,2017,8.872178,6.922632,7.396685,8.614349,10.328677,0,3.8083
36,2018,7.669357,5.144115,6.65345,7.526531,9.560202,0,4.1261
36,2019,7.781494,5.118269,7.081094,7.408114,7.802215,0,3.3375
37,2010,8.276934,5.924759,7.616016,8.090056,9.477383,0,4.2501
37,2011,8.186824,5.81485,7.050169,8.555491,9.629633,0,3.6956
37,2012,8.43183,5.843266,7.524319,8.355774,9.993926,0,3.5267
37,2013,8.406178,6.016818,7.703483,8.119898,8.532253,0,4.3126
37,2014,8.305035,6.216267,7.046836,7.85981,8.419434,0,3.4359
37,2015,7.917132,6.422398,7.152219,7.332282,9.439132,0,3.0838
37,2016,8.144412,5.945029,7.239828,7.751771,8.690032,0,3.0097
37,2017,7.168746,5.653961,7.231994,5.9139,8.1217,0,4.0911
37,2018,8.67079,6.13224,7.243993,9.05438,10.460955,0,3.1478
37,2019,9.104933,6.876527,8.10331,8.853692,9.684705,0,4.6655
38,2010,9.574489,7.602196,10.569274,9.157407,10.239165,1,4.6743
38,2011,10.478465,7.308542,10.198563,11.468971,10.733167,1,6.5635
38,2012,9.934105,8.339323,9.963773,9.676157,10.748041,1,5.8208
38,2013,9.369175,7.857926,9.939339,8.576402,9.267205,1,5.6669
38,2014,9.945507,6.543303,10.03393,10.517134,10.651844,1,5.4428
38,2015,10.041444,8.18544,9.720077,9.786562,10.697749,1,5.9149
38,2016,10.192817,7.552486,10.697419,10.046961,11.818272,1,5.6965
