firm_id,year,log_output,log_labor,log_capital,log_materials,sector,region,exporter,foreign_owned,firm_age,r_and_d
48,2010,1.9183,4.5995,8.7082,6.7232,textiles,NE,1,0,31.5,3.13
49,2010,3.7321,5.6151,8.1887,8.2925,machinery,S,1,0,28.8,0.08
50,2010,1.8805,5.3468,7.8798,6.5135,food,SE,0,0,3.9,2.73
51,2010,3.1227,3.6762,10.345,9.1253,food,SE,0,0,41.8,3.41
52,2010,-0.4994,4.8614,1.6897,6.0234,food,NE,0,0,23.6,1.26
53,2010,2.9903,4.8835,9.2769,6.9366,electronics,NE,0,0,8.3,2.74
54,2010,1.3198,4.0016,6.676,6.9646,machinery,CO,0,0,42.8,0.93
55,2010,1.2226,4.0307,7.151,6.2297,electronics,N,0,0,34.4,0.49
56,2010,2.378,4.5009,6.5602,7.3856,electronics,NE,0,0,6.0,0.1
57,2010,2.9134,4.1939,7.4712,8.8269,metals,SE,1,1,51.7,0.18
58,2010,0.6345,1.8776,8.7333,7.951,metals,SE,0,0,34.9,2.75
59,2010,2.0413,7.1921,5.8028,7.8204,food,SE,0,0,24.8,4.15
60,2010,3.9576,3.7076,7.3963,12.676,food,SE,1,1,48.9,2.73
61,2010,1.9842,6.2068,7.5936,5.5974,machinery,NE,1,1,27.4,7.7
62,2010,0.2749,6.7856,7.238,2.5908,metals,NE,0,0,24.6,1.54
63,2010,1.6007,4.0779,8.3368,5.8901,metals,S,0,1,15.1,4.53
64,2010,2.4407,4.475,6.2019,9.6223,electronics,SE,0,1,33.7,2.55
65,2010,0.7516,4.5537,3.819,5.0678,machinery,SE,0,0,32.1,1.35
66,2010,-1.3343,5.4165,3.6154,1.9582,metals,S,1,0,25.2,0.96
67,2010,1.8652,6.1992,5.2208,8.1152,metals,S,0,0,13.2,1.41
68,2010,1.9063,3.8756,7.0711,8.4945,textiles,N,0,0,26.9,0.45
69,2010,1.3802,3.7153,4.2147,10.9484,food,SE,0,0,24.0,0.09
70,2010,2.191,4.3667,7.0859,6.7624,chemicals,SE,0,0,5.0,1.15
71,2010,0.748,4.8063,2.3467,10.9384,textiles,SE,1,0,2.9,0.22
72,2010,1.0506,2.4775,6.1205,6.3434,chemicals,S,0,0,33.5,0.85
73,2010,2.5767,5.5828,5.6231,6.6201,automotive,SE,0,0,1.0,0.03
74,2010,-0.7278,1.6773,4.3856,4.0094,textiles,S,1,0,28.1,2.15
75,2010,-0.2965,2.2432,5.7626,4.0714,food,S,1,0,17.8,0.85
76,2010,1.417,5.1041,7.3731,5.6934,textiles,SE,0,0,44.6,0.2
77,2010,1.9414,4.3832,8.6636,9.0619,textiles,CO,0,0,17.6,0.8
78,2010,1.9104,4.5238,6.3391,7.1222,machinery,SE,0,0,34.9,0.76
79,2010,2.3436,4.1549,9.4332,4.8697,metals,S,0,1,19.0,3.98
80,2010,1.4135,4.1537,3.7922,8.5579,electronics,SE,0,1,26.7,6.81
81,2010,1.2391,3.1921,7.1697,5.8782,machinery,SE,0,1,36.1,3.8
82,2010,1.0147,4.5353,4.4734,7.6947,chemicals,SE,1,0,18.1,0.29
83,2010,1.285,2.8661,6.0103,9.0999,electronics,NE,1,0,39.9,0.6
84,2010,1.3028,2.8404,5.9017,7.9762,food,SE,1,0,10.1,14.26
85,2010,1.9157,5.1496,6.2851,7.892,food,CO,1,0,29.4,1.17
86,2010,2.5331,6.2265,8.0593,4.808,food,SE,1,1,38.8,1.76
87,2010,1.7911,3.2045,6.8008,8.5904,electronics,NE,1,0,34.9,3.79
88,2010,1.4612,3.8361,2.8419,7.6326,metals,SE,1,0,53.7,3.65
89,2010,4.6229,7.7261,9.5746,8.9932,food,NE,0,0,13.5,0.21
90,2010,0.7363,4.3503,5.4388,8.3919,metals,N,0,0,4.3,1.35
91,2010,0.978,6.3252,7.2465,4.4236,food,CO,0,0,10.1,0.19
92,2010,2.6878,5.9186,6.2682,8.9415,machinery,SE,0,0,34.9,2.73
93,2010,2.3062,2.4202,9.3052,9.7043,chemicals,SE,0,1,32.5,0.21
94,2010,2.2406,6.1131,8.4067,5.8935,chemicals,SE,0,0,26.5,1.15
95,2010,1.2888,3.9862,5.7544,8.0401,textiles,N,0,0,8.2,3.12
96,2010,1.223,3.1232,7.8161,6.6253,machinery,SE,0,0,36.5,0.87
97,2010,3.6527,4.3023,10.8406,10.0461,chemicals,S,0,0,6.6,1.86
98,2010,2.7035,5.7589,9.2496,5.9975,food,SE,1,0,42.4,2.0
99,2010,3.9937,6.203,11.1558,7.6662,food,CO,1,0,67.9,4.5
100,2010,1.7213,3.2236,5.785,8.7236,pharma,SE,0,0,30.5,4.59
101,2010,2.6035,3.4767,7.1832,6.7043,automotive,SE,0,1,33.7,3.41
102,2010,1.3189,4.9623,6.5778,4.8991,machinery,S,0,0,17.6,3.89
103,2010,0.7284,3.8441,5.7787,7.7831,textiles,CO,1,0,1.0,0.97
104,2010,2.1555,3.4625,8.2168,7.8898,pharma,S,1,0,16.0,1.78
105,2010,1.1519,2.28,7.7525,8.1278,electronics,CO,0,0,8.6,0.9
106,2010,1.6444,5.7353,3.8714,7.3748,electronics,S,1,0,3.3,6.02
107,2010,3.4669,5.1361,9.1451,6.8737,chemicals,S,0,1,50.8,4.59
108,2010,0.508,2.9948,6.2515,6.7616,textiles,NE,0,0,29.1,0.56
109,2010,0.3845,4.8355,3.7956,4.5075,food,S,1,0,30.7,1.06
110,2010,2.202,4.9413,8.5453,5.1981,automotive,SE,0,0,20.4,4.73
111,2010,0.5774,5.0153,6.1447,5.8045,metals,SE,0,0,22.4,0.41
112,2010,2.732,5.9313,5.5952,9.5958,textiles,SE,0,0,39.5,0.76
113,2010,-0.0149,3.7694,1.624,7.1732,textiles,CO,0,0,24.5,0.68
114,2010,1.0735,1.6087,9.2371,8.9029,metals,CO,1,0,33.0,0.06
115,2010,2.0016,5.8249,3.7832,8.5484,food,SE,1,0,22.1,2.01
116,2010,0.2876,2.7777,6.9606,5.973,automotive,S,0,0,19.9,0.81
117,2010,1.3226,1.2797,9.7032,9.0912,electronics,S,0,0,3.9,0.2
118,2010,3.3398,5.991,7.7849,7.7209,electronics,SE,1,0,1.0,0.04
119,2010,1.815,4.6298,7.0806,7.1087,chemicals,NE,0,1,21.1,1.49
120,2010,0.9313,4.6162,4.9935,9.0207,machinery,N,1,0,25.8,3.87
121,2010,1.025,4.0629,7.7244,3.6926,machinery,S,0,0,5.7,2.32
122,2010,2.4735,6.3021,6.0048,7.3787,machinery,SE,0,0,24.5,0.41
123,2010,3.1437,6.4352,7.1858,8.3401,food,CO,1,0,25.8,0.81
124,2010,0.8909,3.4702,5.0298,6.3488,chemicals,SE,0,0,1.0,1.0
125,2010,1.8774,5.504,9.5235,5.6698,food,CO,0,0,11.3,0.14
126,2010,2.9861,7.4168,7.4291,8.2092,metals,SE,0,0,31.1,1.53
127,2010,2.6803,5.2308,6.4481,9.3966,chemicals,S,0,0,30.8,0.45
128,2010,2.0189,3.0235,5.3237,10.4591,food,NE,0,0,7.7,3.19
129,2010,3.0041,4.7256,5.6059,9.3069,food,SE,0,0,27.4,1.57
130,2010,1.8231,5.4178,6.6305,7.0826,machinery,S,1,0,40.3,0.84
131,2010,3.6462,6.9123,8.0906,8.8771,food,CO,1,0,36.7,3.73
132,2010,1.5155,5.3921,7.2181,4.8326,pharma,S,0,1,23.6,6.17
133,2010,3.2352,3.7757,10.0214,8.4134,machinery,N,0,0,18.0,1.18
134,2010,1.1029,4.4897,4.9415,7.3627,chemicals,SE,1,0,15.6,0.72
135,2010,1.8676,3.732,6.4112,8.2938,machinery,N,1,1,32.0,11.45
136,2010,-0.023,5.2646,6.7217,2.4083,food,NE,0,0,27.9,3.03
137,2010,2.4236,2.01,7.2712,10.3927,pharma,S,0,0,34.4,3.66
138,2010,2.0557,2.5275,10.2314,7.3302,metals,S,0,1,27.0,3.02
139,2010,1.1224,5.5346,5.3081,6.3857,electronics,S,0,0,37.3,1.57
140,2010,-0.4211,1.337,6.9115,4.851,food,S,0,0,26.4,1.79
141,2010,0.6807,3.0839,5.521,4.0291,metals,S,0,0,36.8,0.27
142,2010,3.7653,7.9865,8.6471,7.5009,metals,S,1,0,38.1,2.11
143,2010,3.9291,7.5633,6.5856,11.2765,pharma,N,1,0,12.9,0.43
144,2010,1.0312,3.5593,5.7434,7.4261,metals,NE,1,0,1.0,0.67
145,2010,1.3482,2.7028,7.204,8.392,metals,SE,0,0,48.2,0.59
146,2010,1.6481,3.0285,7.347,8.5354,textiles,S,0,0,28.8,2.17
147,2010,2.8777,6.7291,9.0282,7.7605,chemicals,N,1,0,1.0,1.62
148,2010,1.5555,4.1728,7.5078,6.6417,metals,SE,1,0,14.3,1.62
149,2010,0.302,2.0651,6.5888,4.9049,chemicals,S,0,1,36.6,2.91
150,2010,1.6583,2.538,7.8181,8.8827,food,N,1,0,20.8,1.61
151,2010,2.1179,5.2579,5.5045,6.0332,automotive,SE,0,0,17.3,1.89
152,2010,2.2086,5.4434,8.9087,3.9901,automotive,CO,1,0,46.0,0.17
153,2010,2.7389,5.9555,7.6894,7.5153,food,S,0,0,9.3,0.76
154,2010,1.2512,3.9867,8.6718,4.5896,metals,NE,0,0,13.0,1.12
155,2010,0.4204,3.6454,6.641,6.0128,food,S,0,1,28.2,0.32
156,2010,2.205,4.2947,8.8001,6.3299,machinery,SE,0,0,30.9,0.92
157,2010,4.0548,6.0295,7.2069,13.2707,textiles,S,0,0,32.4,0.94
158,2010,2.1536,3.1311,6.7289,10.0014,machinery,SE,0,0,38.7,1.84
159,2010,2.3444,5.6294,4.4209,8.3188,electronics,SE,0,0,28.0,0.59
160,2010,3.0622,4.9137,8.1233,9.192,electronics,SE,1,0,32.3,2.47
161,2010,0.8978,2.948,6.685,4.6972,food,SE,0,0,21.1,2.05
162,2010,2.4692,3.3971,8.7825,9.5271,automotive,CO,0,0,25.9,1.77
163,2010,0.2951,3.5643,3.3867,7.7892,textiles,NE,1,0,26.6,0.72
164,2010,1.3952,7.4564,3.939,8.1812,food,NE,0,0,28.2,1.96
165,2010,1.9381,5.0234,7.8647,5.8901,metals,SE,0,1,36.6,3.24
166,2010,2.6705,7.1334,7.9287,5.8573,chemicals,S,1,1,33.3,1.35
167,2010,1.9267,4.6376,9.9012,6.1482,automotive,S,1,0,25.7,0.6
168,2010,1.4373,5.0227,5.3646,5.9549,electronics,CO,0,0,12.9,0.56
169,2010,4.3963,6.8445,10.7147,7.8339,textiles,SE,1,0,26.0,0.39
170,2010,0.9458,5.5121,4.9546,5.5705,pharma,SE,0,1,24.6,2.22
171,2010,2.7945,4.4866,9.1818,8.8977,textiles,NE,0,0,27.9,1.11
172,2010,1.6113,4.8747,8.3819,4.7457,metals,SE,1,0,58.1,1.34
173,2010,3.5098,4.4536,10.1452,11.0459,textiles,CO,0,0,17.1,0.53
174,2010,2.3832,5.2925,7.7113,8.1633,pharma,S,1,0,31.3,0.24
175,2010,2.7255,6.2574,5.0249,9.0568,food,SE,0,0,41.0,3.43
176,2010,3.4029,6.2123,7.3973,7.879,food,SE,1,1,26.5,2.95
177,2010,0.9165,4.3037,5.5575,5.2736,chemicals,CO,0,0,60.1,2.28
178,2010,3.0023,4.4782,5.9025,8.0606,pharma,SE,0,0,19.3,2.68
179,2010,1.1283,4.4818,8.7208,4.002,automotive,NE,0,1,29.9,4.13
180,2010,3.148,4.5583,6.3594,8.0586,electronics,SE,0,0,13.0,0.83
181,2010,3.1602,4.959,11.0194,6.5356,automotive,N,1,0,19.7,2.25
182,2010,3.9941,7.1443,8.4604,8.0185,automotive,NE,0,0,28.7,0.07
183,2010,2.2508,4.7202,8.9438,7.6042,metals,N,0,0,37.7,2.56
184,2010,2.6118,5.8506,9.257,6.1334,textiles,SE,0,0,29.8,3.57
185,2010,3.1194,6.7984,9.3019,5.2552,electronics,SE,0,0,43.9,4.11
186,2010,2.0732,4.2483,10.4182,5.1188,machinery,SE,1,0,23.6,0.63
187,2010,3.1243,4.9223,8.2293,8.2769,chemicals,SE,0,0,20.0,0.37
188,2010,2.6562,6.1525,6.1938,8.6607,food,CO,1,0,65.6,1.54
189,2010,1.8137,4.8247,9.2699,4.6109,electronics,S,0,0,30.9,1.54
190,2010,3.2546,5.3673,8.7072,9.9478,textiles,SE,0,0,14.2,1.38
191,2010,2.083,6.5696,3.753,8.6361,pharma,SE,0,0,14.6,3.0
192,2010,0.9819,2.6209,8.7978,5.2654,textiles,CO,0,1,10.9,2.04
193,2010,1.0408,5.5219,5.6748,6.2061,food,NE,1,0,39.0,1.64
194,2010,1.9614,7.8892,3.9263,8.0172,automotive,SE,1,0,19.5,1.75
195,2010,1.4707,3.1193,5.6886,6.4718,food,CO,1,0,26.9,1.28
196,2010,1.2784,5.3259,7.129,5.2266,food,SE,0,0,24.0,0.82
197,2010,0.9751,6.3215,5.695,4.7106,machinery,S,0,0,36.0,0.58
198,2010,1.5588,4.7756,6.6485,5.9744,automotive,SE,0,0,12.3,0.23
199,2010,1.137,3.312,8.0002,4.0393,food,SE,0,1,8.9,0.83
200,2010,3.0129,5.7493,7.9768,7.0905,textiles,SE,1,0,28.4,0.34
201,2010,2.2653,3.0771,8.0283,9.0002,electronics,NE,0,1,34.0,1.81
202,2010,2.89,5.786,6.2644,6.518,pharma,SE,0,1,30.0,9.88
203,2010,0.7231,4.8869,4.8539,5.8928,metals,NE,1,0,12.9,1.98
204,2010,1.5031,3.0443,8.3732,6.5684,food,S,1,0,35.2,1.77
205,2010,3.6635,5.6259,8.4723,10.8334,food,SE,0,0,13.8,1.23
206,2010,-0.3806,3.34,6.3835,3.1696,textiles,SE,0,1,17.2,0.67
207,2010,1.5816,5.6686,7.695,6.4103,food,S,0,0,10.8,1.0
208,2010,0.0872,3.385,6.0668,3.5397,machinery,S,0,0,44.5,0.34
209,2010,1.5177,4.6909,5.2207,6.6713,food,SE,0,1,34.5,2.95
210,2010,2.8194,5.1841,7.8685,7.5769,metals,SE,0,0,34.1,2.78
211,2010,1.6915,3.8946,6.2011,7.6416,machinery,CO,1,0,43.7,0.56
212,2010,2.2514,2.9628,8.2785,8.5854,machinery,S,1,0,67.2,6.14
213,2010,1.0802,4.1791,4.0676,8.223,food,S,0,1,1.0,6.0
214,2010,1.1853,4.4055,5.5082,8.5523,electronics,CO,0,1,13.9,0.0
215,2010,1.5035,5.0665,4.7339,5.9272,electronics,S,0,0,15.8,0.67
216,2010,1.2178,2.7069,7.3005,8.1981,electronics,NE,0,0,12.2,0.32
217,2010,3.9108,4.2448,10.1201,10.3968,food,SE,0,0,8.8,0.26
218,2010,1.7709,2.9334,8.3547,7.1449,food,NE,0,0,20.5,2.64
219,2010,2.371,4.3309,7.4548,8.0517,pharma,SE,0,0,6.8,1.89
220,2010,2.8725,2.491,10.2579,11.9878,chemicals,CO,0,0,30.0,0.99
221,2010,2.132,3.2339,7.8694,9.7865,textiles,SE,0,0,25.8,2.45
222,2010,2.8841,4.9706,8.9765,7.0935,metals,SE,0,0,32.2,2.17
223,2010,2.3377,6.185,6.8318,8.2268,machinery,N,1,0,32.6,0.21
224,2010,2.7802,6.0685,7.8153,8.4173,pharma,CO,0,0,34.0,0.13
225,2010,0.7672,3.7019,7.3578,6.5202,textiles,NE,0,0,19.4,2.13
226,2010,1.4704,2.9836,7.0929,7.7735,pharma,N,1,0,56.8,0.23
227,2010,1.5867,5.1372,7.5642,7.0957,food,NE,0,0,28.5,2.83
228,2010,2.6948,4.1594,10.6024,10.1069,metals,N,0,1,1.0,2.8
229,2010,0.9888,4.4433,4.5831,7.2012,machinery,SE,1,0,10.0,2.88
230,2010,2.4135,5.2659,8.929,6.3281,food,SE,0,0,1.0,0.8
231,2010,1.6852,5.6997,6.279,7.3589,food,SE,0,1,25.3,0.84
232,2010,2.9829,5.1338,11.9646,7.7513,chemicals,N,0,0,23.2,0.61
233,2010,2.4104,3.8685,9.5918,8.3391,pharma,NE,0,0,18.0,0.19
234,2010,1.7318,7.314,2.9197,10.159,machinery,SE,0,0,55.2,0.64
235,2010,-0.4579,4.5083,2.3298,8.3285,pharma,N,0,1,33.2,3.17
236,2010,1.3411,5.2543,6.0045,4.002,electronics,S,0,0,35.9,3.1
237,2010,0.025,6.0413,2.81,4.5895,metals,NE,0,1,11.0,0.17
238,2010,1.1577,4.5902,7.8203,4.9542,electronics,SE,0,0,10.0,2.96
239,2010,0.6173,3.6171,6.57,3.9175,food,SE,0,0,25.6,4.58
240,2010,2.7473,4.6039,7.5489,7.7606,food,SE,0,0,27.6,3.94
241,2010,2.3647,6.0436,6.8658,8.1203,automotive,N,1,0,1.0,1.78
242,2010,2.547,5.4433,6.1122,8.3859,electronics,NE,0,0,22.3,2.95
243,2010,0.8552,4.112,6.1297,4.6626,textiles,S,0,0,25.2,2.15
244,2010,2.7954,5.7552,5.9101,10.8885,metals,N,0,1,21.8,2.05
245,2010,1.379,3.0101,3.5331,10.2595,machinery,SE,0,0,12.8,1.25
246,2010,2.8593,3.2224,10.7157,6.9468,automotive,SE,0,0,16.9,0.27
247,2010,4.3635,5.5725,11.52,8.0487,machinery,SE,0,0,22.3,2.6
248,2010,1.3253,1.7037,6.4067,9.5293,chemicals,SE,0,0,26.4,0.12
249,2010,2.4934,3.0102,7.4573,9.3261,chemicals,S,1,0,34.1,2.59
250,2010,0.4896,3.3271,8.7659,1.8896,chemicals,S,1,0,41.2,8.71
251,2010,1.2959,2.279,6.5754,7.5356,machinery,SE,0,0,20.6,2.14
252,2010,2.6644,5.1987,7.2906,8.9231,automotive,SE,0,0,18.2,1.21
253,2010,0.7688,4.718,7.378,4.4103,metals,NE,0,1,31.6,1.29
254,2010,0.0577,2.6003,2.8298,7.6824,textiles,SE,0,0,34.2,2.83
255,2010,0.6327,4.0865,3.41,8.4229,textiles,S,0,0,18.5,0.14
256,2010,4.1389,6.2376,8.5815,9.5811,electronics,NE,1,0,36.9,1.52
257,2010,3.0488,5.41,8.9175,4.381,electronics,SE,1,0,39.7,3.35
258,2010,2.3006,4.2763,7.7357,8.0496,food,CO,1,1,44.4,1.41
259,2010,1.5853,3.3131,7.6476,6.12,food,N,0,1,51.7,1.33
260,2010,1.0595,-0.5724,11.8795,8.5684,machinery,SE,1,1,12.0,0.32
261,2010,0.824,4.2242,7.6085,6.9176,food,S,0,0,25.2,0.24
262,2010,2.5858,4.6348,9.2824,8.4459,automotive,NE,0,0,25.2,0.04
263,2010,2.9942,8.256,7.5624,7.6481,textiles,N,0,0,23.5,0.64
264,2010,-0.05,3.6326,6.4873,4.7703,food,NE,1,0,15.3,1.66
265,2010,3.0705,4.4459,10.5799,8.5005,pharma,CO,0,0,2.7,0.6
266,2010,3.0197,6.7084,9.458,7.7262,food,N,1,0,26.4,0.78
267,2010,2.3225,2.9599,7.7139,11.5306,textiles,NE,0,1,13.5,3.12
268,2010,0.3354,5.1834,6.155,5.072,food,N,1,0,26.3,6.23
269,2010,0.6778,4.1208,6.3676,5.8738,food,NE,0,0,13.1,1.13
270,2010,3.1542,3.0363,10.8583,8.4031,food,SE,0,0,8.5,1.18
271,2010,1.0919,5.5845,6.0729,7.9041,food,NE,1,0,28.5,0.75
272,2010,1.685,5.1181,6.3825,5.234,food,SE,0,0,27.3,0.7
273,2010,1.773,1.7566,8.1444,9.3483,food,SE,0,0,33.7,0.62
274,2010,2.0461,3.7369,4.8441,7.9295,machinery,S,0,1,57.8,8.27
275,2010,1.129,4.2529,3.0641,9.1859,machinery,N,0,0,29.2,1.86
276,2010,1.0157,2.3769,5.859,7.0171,chemicals,S,0,0,32.3,2.3
277,2010,4.0907,6.6527,8.4572,9.2248,textiles,SE,0,0,8.8,0.32
278,2010,2.8592,4.493,9.0855,9.4891,metals,NE,0,0,5.7,2.59
279,2010,2.1547,3.2401,6.4536,8.9061,automotive,S,1,0,48.7,1.31
280,2010,3.9157,6.4092,9.3092,9.5936,automotive,S,0,0,11.1,0.22
281,2010,-0.1925,3.5101,3.5918,6.8882,food,NE,0,0,9.3,1.54
282,2010,4.7249,7.4703,7.2755,11.8384,food,CO,0,0,24.4,0.24
283,2010,1.3112,2.5976,9.2444,6.6162,textiles,SE,0,0,23.6,0.91
284,2010,2.9514,6.2353,9.2613,6.8456,textiles,SE,0,0,11.5,0.2
285,2010,3.2007,5.6899,10.1297,8.182,metals,CO,1,0,20.4,1.77
286,2010,3.3472,4.1854,8.71,10.6158,chemicals,SE,1,0,43.4,0.51
287,2010,2.5646,4.4915,6.5007,8.4805,food,S,0,0,12.9,0.36
288,2010,2.6575,5.2917,7.2567,7.0417,chemicals,SE,0,0,4.1,0.24
289,2010,3.255,7.0571,6.4925,7.5706,metals,S,0,1,39.1,0.11
290,2010,3.7236,6.5175,10.2035,7.827,food,SE,0,0,32.4,0.2
291,2010,2.2407,5.3282,7.6786,7.6483,automotive,NE,0,0,15.7,2.24
292,2010,2.7523,3.921,6.3222,10.408,food,SE,0,0,1.3,0.71
293,2010,1.4079,2.5515,5.0027,7.2429,pharma,SE,0,0,13.8,2.68
294,2010,1.9378,4.8316,8.1609,6.3425,food,N,0,0,24.2,4.01
295,2010,-0.2832,1.9934,4.495,5.3248,automotive,N,0,1,42.5,7.82
296,2010,1.2438,5.5004,3.438,4.9302,automotive,SE,0,0,9.5,0.11
297,2010,1.0812,6.4503,3.512,9.154,pharma,N,0,0,23.7,1.18
298,2010,0.9805,9.2845,2.4149,8.7184,electronics,NE,0,0,35.1,0.16
299,2010,1.5446,4.2117,7.2902,5.8852,electronics,S,1,0,1.0,4.78
300,2010,1.231,6.4464,6.299,5.0759,machinery,S,0,0,40.5,2.28
301,2010,4.0008,7.3264,9.3937,6.0213,electronics,S,0,0,7.3,0.67
302,2010,3.9534,6.8545,7.9662,7.8954,food,SE,0,0,30.0,0.74
303,2010,2.3189,6.4066,6.9369,6.7286,metals,CO,1,0,28.7,1.83
304,2010,1.5034,2.361,5.4491,10.1542,metals,SE,0,0,41.3,1.76
305,2010,-0.4968,0.7219,8.0527,7.1376,automotive,NE,1,0,33.3,4.18
306,2010,0.5732,3.782,2.7882,9.1909,metals,NE,1,0,1.0,0.26
307,2010,0.8858,3.1376,4.1819,8.0072,chemicals,S,0,0,13.2,1.24
308,2010,1.1368,2.412,7.4309,7.3874,machinery,NE,0,0,27.1,0.72
309,2010,0.3953,-0.0741,7.957,5.5793,textiles,SE,0,0,22.1,0.48
310,2010,0.7919,5.0353,3.6048,8.6708,food,CO,1,0,32.2,2.77
311,2010,1.3274,3.2282,5.0827,9.3822,metals,N,0,0,36.8,0.77
312,2010,0.3555,4.3905,7.002,4.5914,chemicals,N,1,0,34.1,3.18
313,2010,0.5206,2.5249,8.0386,7.6957,textiles,CO,0,0,21.8,2.63
314,2010,1.1097,1.1676,7.6527,10.3802,chemicals,SE,0,0,1.0,0.71
315,2010,1.7659,4.1049,5.8088,7.0237,chemicals,NE,0,0,18.2,0.03
316,2010,3.0226,5.6182,11.2412,7.3671,chemicals,CO,0,0,31.2,5.29
317,2010,2.3305,5.6365,6.8408,9.0442,chemicals,CO,0,0,8.6,1.83
318,2010,0.8795,4.1907,5.4344,6.6919,machinery,SE,0,0,34.5,3.41
319,2010,2.2581,4.4611,8.4369,6.6604,textiles,SE,1,0,38.6,0.21
320,2010,1.7872,5.9613,5.6919,5.7045,pharma,SE,1,0,26.9,0.31
321,2010,3.1463,7.0241,7.7913,8.731,automotive,N,0,1,1.0,0.17
322,2010,0.6669,3.0202,4.7835,5.0604,metals,SE,0,0,5.8,0.37
323,2010,0.9578,4.5885,1.7715,11.1629,chemicals,SE,0,0,53.3,0.01
324,2010,-0.2277,2.4531,5.5529,3.6872,metals,S,1,0,16.8,4.72
