hospital_id,log_cases,log_doctors,log_nurses,log_beds,teaching,urban,region
78,6.7718,4.3804,5.5599,5.4245,1,0,4
79,7.0704,4.5367,5.8279,6.5316,0,0,2
80,6.8651,3.705,5.6459,5.7478,0,1,4
81,6.8497,4.4121,5.8454,5.2488,0,0,3
82,6.8489,4.6428,6.0649,4.9178,0,1,4
83,7.0179,5.0912,6.4344,4.6574,0,1,1
84,6.6742,4.2927,5.3049,5.3814,0,0,1
85,7.0205,4.1766,6.6532,4.9975,1,0,5
86,6.2696,4.2993,5.0192,4.7311,0,0,5
87,7.0179,4.8662,5.7393,5.0414,0,0,3
88,6.8703,4.6315,6.0353,4.8674,0,1,2
89,7.0257,4.2881,5.9124,5.9749,0,1,4
90,7.085,4.7053,5.5509,5.6527,0,0,3
91,7.0247,4.5388,5.7168,5.2968,0,1,5
92,7.2283,4.8875,5.6028,5.892,0,1,4
93,6.8786,4.2192,5.5643,5.3309,1,1,5
94,6.7504,4.3689,6.1398,4.9555,1,1,4
95,7.2594,4.3432,5.9428,5.9092,0,1,2
96,6.3007,3.9146,5.5228,5.5156,0,1,3
97,6.8493,4.6184,6.1598,4.8851,0,1,4
98,6.8885,4.6044,5.9229,5.2239,0,1,1
99,6.7103,4.502,6.1251,4.9498,0,0,1
100,6.7547,4.4062,6.0519,4.7469,0,1,4
101,6.601,3.9339,5.4684,5.6705,1,1,4
102,6.8674,4.3317,5.5759,6.0638,0,0,4
103,6.9382,4.3629,6.0989,4.7406,0,1,1
104,6.7552,4.1791,6.0441,5.5252,0,0,1
105,6.7551,4.4355,5.7916,5.0397,0,0,4
106,6.993,4.6616,5.8469,5.1051,0,1,5
107,7.3082,5.2545,6.3111,5.063,0,1,5
108,6.5866,4.5698,5.5634,4.9544,0,0,2
109,7.064,4.603,6.0188,5.3194,1,0,3
110,6.8452,4.4702,5.7191,4.9676,0,1,5
111,6.5889,3.7325,5.7129,5.4082,0,0,1
112,7.1942,4.4894,6.2395,5.2799,0,1,5
113,6.9033,4.5241,6.1302,5.2044,0,0,2
114,7.1025,5.4853,6.1254,4.937,0,1,2
115,6.8558,4.4231,6.3222,5.0693,1,0,3
116,6.8692,4.6206,5.8084,5.6022,1,0,5
117,6.5994,4.4861,6.0728,5.5004,1,0,1
118,6.3327,4.0325,5.6759,4.909,0,1,1
119,7.1002,4.9571,5.9297,5.3397,0,1,4
120,6.9964,4.8008,5.7479,5.6006,0,1,1
121,6.5824,4.8164,5.8388,4.6322,0,1,3
122,6.5087,4.1362,6.0381,5.5173,1,1,3
123,6.7786,5.0611,5.4727,5.035,0,0,1
124,6.8121,3.9393,6.637,5.5282,0,1,1
125,6.8826,4.7347,5.3976,4.9947,0,1,4
126,6.5617,5.3762,5.3143,4.578,0,0,1
127,6.5592,4.1038,6.2632,4.649,0,0,4
128,7.093,4.2735,6.1167,5.3192,0,0,4
129,6.9014,4.5399,6.0496,5.4039,0,0,1
130,6.8214,4.2986,6.0513,4.9383,1,1,2
131,6.5908,3.8797,5.7951,5.5554,1,1,2
132,6.7497,4.5274,5.4411,4.6354,0,0,4
133,6.6006,4.0751,5.8303,5.2736,0,0,1
134,6.4642,4.6894,5.5291,4.8156,0,1,2
135,6.7378,4.1322,6.19,5.0393,0,0,1
136,7.3602,5.12,5.7412,5.319,0,1,1
137,6.7574,4.1867,5.4698,4.9558,0,1,1
138,6.7216,4.3712,5.6714,5.1462,0,1,5
139,7.2122,4.8254,5.9652,5.7025,0,1,1
140,6.5784,4.0077,5.5745,5.0692,0,1,5
141,7.0184,4.591,5.4711,5.6343,0,1,4
142,6.803,5.0229,5.8975,4.8481,1,0,2
143,6.6576,3.857,5.898,5.5119,1,1,2
144,6.8247,4.5739,5.5972,5.8766,0,1,2
145,6.3422,4.604,5.6116,4.3113,1,0,2
146,6.8872,4.8127,5.8928,4.9812,0,0,2
147,6.4076,4.0052,5.2208,5.5308,1,0,2
148,6.4111,3.9718,5.237,5.2188,1,0,2
149,6.7467,4.7088,5.5126,5.4485,0,0,4
150,6.4942,4.6188,5.7146,5.0584,0,1,1
151,6.9341,4.6002,5.9244,5.3346,0,1,3
152,7.2079,4.6386,6.3901,5.2377,0,1,5
153,6.8511,4.228,6.1431,5.7671,0,1,3
154,6.7309,4.5929,5.736,5.4018,0,1,3
155,6.774,4.6172,5.7924,5.435,0,0,1
156,6.7644,4.2143,5.399,5.1352,1,1,1
157,6.892,5.2463,5.7926,5.105,1,1,1
158,6.6581,4.6895,5.6845,5.127,0,1,2
159,6.8745,4.0235,5.9291,5.4578,0,0,4
160,6.6673,4.7626,5.4691,5.1316,0,1,2
161,6.8072,4.1101,6.0077,5.4159,0,0,4
162,7.2931,4.8148,6.4131,6.1302,1,1,4
163,6.8265,4.9634,5.7565,5.6484,0,1,3
164,6.8407,4.1717,5.9607,5.1696,0,1,3
165,7.0527,4.8854,6.0761,5.7805,0,0,4
166,6.912,4.6651,5.6395,5.1368,0,1,4
167,6.5984,4.8288,5.8896,4.4848,0,0,2
168,7.0406,5.2587,5.805,4.8968,1,1,2
169,6.5302,4.4018,5.8391,4.5517,0,1,3
170,6.7024,4.1985,5.4908,5.1594,0,0,1
171,6.6411,4.1442,5.8098,5.3074,0,0,4
172,6.9783,4.1737,5.9992,5.9706,1,0,2
173,6.9919,4.4692,6.3805,5.4308,1,0,3
174,6.9881,4.6365,6.1837,5.2124,0,0,2
175,7.1571,4.6107,6.6613,5.6318,0,0,4
176,6.5539,4.8309,5.4931,4.4155,0,0,4
177,6.7563,4.5052,6.1489,5.3942,0,0,5
178,6.9815,5.0814,5.8733,5.6083,1,0,1
179,6.7646,4.3941,6.6759,4.7086,0,0,5
180,7.4634,5.5881,5.4767,5.7575,0,0,3
181,6.6388,4.7503,5.4641,5.4354,0,1,2
182,6.5105,4.1571,5.5602,5.1339,0,0,3
183,6.4359,4.0716,4.9504,5.5531,0,0,4
184,7.0267,4.693,5.5897,6.2083,1,1,5
185,6.6784,4.4106,5.4963,5.3727,0,0,5
186,7.0684,4.7856,5.8602,5.3993,0,1,5
187,6.9112,4.6893,5.9367,5.1163,0,1,3
188,7.0056,4.4709,6.5505,4.9601,0,0,4
189,6.7173,4.1613,6.1802,5.6321,0,1,2
190,6.6593,3.8941,5.5692,4.9576,0,0,2
191,6.5938,4.3214,5.4406,5.3286,1,0,3
192,6.9267,4.8426,5.9968,5.1089,0,1,5
193,6.8727,4.5856,5.2719,5.4916,0,1,1
194,6.9359,4.0017,6.5326,5.4335,0,1,3
195,7.02,4.5693,6.2718,5.715,0,0,3
196,6.5835,4.6541,5.6123,5.096,1,0,4
197,6.2892,4.1465,5.1147,5.1921,1,0,2
198,6.8214,4.5615,6.3415,4.9085,0,1,3
199,6.9093,4.5233,5.7542,5.1223,0,0,3
200,7.1483,4.0428,6.2951,5.4509,0,1,5
