contract_id,month,lgd_logit,saldo_real,pib_growth,selic,collateral_ratio
13,3,2.0611,13.0139,0.8183,11.4135,0.9503
14,1,0.3721,13.067,3.4791,10.024,0.5775
14,2,1.6863,12.5999,-3.2331,10.7809,0.5009
14,3,2.7955,12.9411,0.5099,10.882,0.4901
15,1,0.5095,7.9568,2.9742,10.5458,1.0375
15,2,1.2603,8.2379,-3.6324,10.6143,0.9212
15,3,2.2568,8.1584,0.0509,11.0542,0.927
16,1,0.0598,8.516,3.2891,10.6072,0.5037
16,2,0.9203,8.2638,-3.4984,10.7603,0.5851
16,3,0.9496,8.0183,0.7465,11.4914,0.5975
17,1,-0.064,13.3785,3.3017,10.4538,0.581
17,2,1.3623,14.2964,-3.2297,10.2969,0.4873
17,3,2.1618,14.2144,0.8388,11.2166,0.4006
18,1,1.4634,9.604,3.0015,10.5065,0.4896
18,2,1.8091,9.8736,-3.7941,10.6457,0.3741
18,3,2.2631,10.05,0.6697,11.0103,0.4732
19,1,0.4583,10.8881,2.8805,10.0316,0.6191
19,2,0.6468,10.1817,-3.3266,10.2286,0.6206
19,3,1.9144,10.7119,0.4983,11.1159,0.547
20,1,0.273,11.1718,2.9357,10.1356,0.7278
20,2,1.3877,11.3986,-3.3876,9.655,0.5386
20,3,2.6259,11.8111,1.4117,11.3514,0.5985
21,1,-0.1844,10.7823,2.982,10.3654,0.5161
21,2,0.3894,10.3173,-3.8177,10.7033,0.5879
21,3,1.7217,10.6181,0.6926,11.0664,0.601
22,1,1.175,11.0851,2.7425,10.1985,0.4805
22,2,2.2179,11.0347,-3.8355,10.0406,0.4501
22,3,2.9348,11.4546,0.45,11.3213,0.455
23,1,1.9245,11.0018,2.618,9.7703,0.6068
23,2,2.625,11.2573,-3.404,10.8979,0.6655
23,3,3.2683,11.485,0.6004,11.1756,0.5846
24,1,-0.4068,8.8593,3.0326,10.2454,0.7182
24,2,0.0323,8.7427,-3.4298,10.4517,0.7158
24,3,0.66,8.0991,0.7389,10.9493,0.8208
25,1,0.1537,6.9888,2.8911,10.5199,0.649
25,2,0.2813,6.8157,-3.7254,9.8145,0.7025
25,3,0.7378,6.3487,0.8002,10.782,0.8274
26,1,0.8215,8.9,3.2158,10.0505,0.86
26,2,1.7184,9.3258,-3.4293,10.5973,0.8284
26,3,2.5666,8.9946,0.8113,11.2257,0.8482
27,1,0.5111,9.3553,3.0511,9.6966,0.3696
27,2,0.9507,9.603,-4.3533,10.5929,0.484
27,3,1.4476,9.2293,-0.0996,10.9007,0.4321
28,1,1.0229,7.6275,3.0319,10.0828,0.7629
28,2,1.7421,8.1717,-4.144,10.1693,0.7183
28,3,1.8565,8.1915,0.2979,11.0556,0.6834
29,1,0.8005,11.5252,3.0336,10.1376,0.5784
29,2,1.6002,12.0073,-3.9984,10.604,0.4739
29,3,1.8628,11.332,0.2835,11.2538,0.5545
30,1,0.2278,10.8821,3.213,9.9208,0.4388
30,2,0.8933,10.7915,-4.1028,10.2755,0.3363
30,3,1.3978,10.9271,0.8446,11.317,0.3103
31,1,-0.6327,8.5141,2.9813,10.5193,0.4997
31,2,0.5926,8.122,-3.9227,10.6495,0.4418
31,3,1.243,8.4843,0.4122,11.3331,0.4442
32,1,0.775,7.9179,2.6423,10.5999,0.6942
32,2,1.9339,7.8811,-3.705,10.2759,0.6796
32,3,2.7186,7.9358,0.9586,11.1749,0.7011
33,1,0.3436,8.8634,3.0361,9.8828,0.4774
33,2,0.979,8.4161,-3.5864,10.3997,0.4423
33,3,1.6316,8.5977,1.1081,10.8871,0.5151
34,1,0.888,10.875,3.118,9.8347,0.5492
34,2,1.4979,11.3908,-3.5094,10.2586,0.556
34,3,2.6394,10.6662,1.0311,11.5085,0.5502
35,1,0.2922,11.0449,3.3139,10.6712,0.5061
35,2,0.4247,10.5947,-3.8068,10.5578,0.4262
35,3,1.1204,10.7752,0.5803,11.3027,0.5675
36,1,0.1419,12.0079,3.2882,10.0839,0.7398
36,2,1.2778,11.2269,-3.6489,10.3461,0.8115
36,3,2.637,11.8241,0.4854,10.9943,0.851
37,1,-0.7328,9.5383,3.3525,10.6389,0.461
37,2,-0.2932,9.5025,-4.1355,10.9747,0.4397
37,3,0.0357,10.1169,0.9554,11.17,0.4735
38,1,0.692,8.2678,3.0637,10.837,0.6294
38,2,1.4172,8.5917,-4.1704,10.5529,0.705
38,3,1.8,8.3461,0.5855,11.0976,0.7027
39,1,-0.2577,9.4354,3.7863,9.6453,0.4401
39,2,0.7352,9.4867,-3.7599,10.097,0.4318
39,3,1.2325,9.4435,0.8897,11.234,0.4699
40,1,0.1543,9.6273,3.2713,10.5218,0.7137
40,2,0.2231,9.9173,-3.5763,10.6365,0.7201
40,3,1.0216,9.2401,0.6204,11.2135,0.6888
41,1,0.1226,7.9137,3.3405,10.2308,0.8962
41,2,0.4566,8.043,-3.5152,10.4492,0.8636
41,3,0.7744,8.1661,0.6964,11.2355,0.8063
42,1,-0.0774,10.7399,3.449,9.8428,0.4292
42,2,1.0699,10.6523,-3.6641,10.8762,0.3788
42,3,1.1865,10.4429,0.7193,11.211,0.3707
43,1,1.0926,11.6336,2.9946,9.8983,0.6232
43,2,1.43,11.5312,-3.5754,9.7182,0.7416
43,3,2.1535,10.9569,0.759,11.5732,0.7172
44,1,-0.3668,8.0159,3.363,10.6898,0.6806
44,2,0.8495,8.1434,-3.5089,10.6516,0.6799
44,3,1.4383,8.1866,0.8377,11.286,0.6416
45,1,-0.5752,9.4693,3.1069,10.0276,0.4778
45,2,-0.0041,9.2101,-3.6745,10.5287,0.3901
45,3,0.2469,8.5344,0.1608,10.7489,0.4907
46,1,0.5036,11.7575,2.7278,9.6746,0.6395
46,2,1.2928,12.1071,-4.0253,10.6469,0.5352
46,3,1.627,11.8156,1.2008,11.2135,0.5328
47,1,0.2984,10.6935,2.4922,10.2778,0.4195
47,2,1.4664,10.3695,-3.7166,9.7851,0.4438
47,3,2.9338,10.0211,1.1126,11.5291,0.5215
48,1,0.1294,9.7801,3.5752,10.2308,0.7643
48,2,1.0324,10.1147,-4.1647,10.1766,0.8154
48,3,1.8293,9.5066,0.5984,11.3232,0.7391
49,1,0.3618,9.9818,2.6015,9.8286,0.7339
49,2,1.0958,10.212,-3.735,10.7012,0.7861
49,3,1.4256,10.8333,0.4294,11.1727,0.7214
50,1,-0.4013,9.4279,2.9431,10.16,0.6594
50,2,-0.8057,9.0459,-3.5753,10.3004,0.7557
50,3,-0.5465,9.2342,0.3051,11.1224,0.7137
