"model_name","quantile","variable","coefficient","std_error","t_statistic","p_value","n_obs","source"
"pooled_qr_tau0.75",0.75,"exper_sq",-0.000230417100045076,0.000591983733701582,-0.389228769183089,0.697134585738264,3000,"notebook_01_pooled"
"pooled_qr_tau0.90",0.9,"(Intercept)",1.76330006952337,0.552270146625545,3.1928216295909,0.00142349335347181,3000,"notebook_01_pooled"
"pooled_qr_tau0.90",0.9,"educ",0.18607651787173,0.0331310791631089,5.61637358552824,2.12864135207269e-08,3000,"notebook_01_pooled"
"pooled_qr_tau0.90",0.9,"exper",-0.0151167445853685,0.0410916839368909,-0.367878440041176,0.71298986415579,3000,"notebook_01_pooled"
"pooled_qr_tau0.90",0.9,"exper_sq",0.000635183480448289,0.00130794692902243,0.485633985870537,0.627262207763584,3000,"notebook_01_pooled"
"ols",NA,"(Intercept)",0.722032087179101,0.245127106189415,2.94554159433176,0.00324873256386876,3000,"notebook_01_pooled"
"ols",NA,"educ",0.0782731928311381,0.0147053495645344,5.3227699544058,1.09741098068619e-07,3000,"notebook_01_pooled"
"ols",NA,"exper",0.0223909864787361,0.0182386928452421,1.22766399262967,0.219669574859695,3000,"notebook_01_pooled"
"ols",NA,"exper_sq",-0.000274088917791493,0.00058053698487886,-0.472129984704913,0.636868396114864,3000,"notebook_01_pooled"
"qr_process_tau0.05",0.05,"(Intercept)",0.244448722298417,0.574081736309622,0.425808220045128,0.670278193054937,3000,"notebook_02_process"
"qr_process_tau0.05",0.05,"female",-0.270653326194103,0.153738409539106,-1.76047955098207,0.0784285847663095,3000,"notebook_02_process"
"qr_process_tau0.05",0.05,"educ",-0.115671103993618,0.0340550089038421,-3.39659591105166,0.000691193703108439,3000,"notebook_02_process"
"qr_process_tau0.05",0.05,"exper",0.0310948933684136,0.0422472266106663,0.736022121758946,0.461774874494142,3000,"notebook_02_process"
"qr_process_tau0.05",0.05,"exper_sq",-0.000474698242762216,0.00134516882560008,-0.352891201259033,0.724194840682152,3000,"notebook_02_process"
"qr_process_tau0.10",0.1,"(Intercept)",0.268142538120037,0.39504390218123,0.678766427324891,0.497338313615126,3000,"notebook_02_process"
"qr_process_tau0.10",0.1,"female",-0.373862273682493,0.105792289456686,-3.53392743084137,0.000415626906463462,3000,"notebook_02_process"
"qr_process_tau0.10",0.1,"educ",-0.0652955712222727,0.0234343347911952,-2.78632066171581,0.0053645847142989,3000,"notebook_02_process"
"qr_process_tau0.10",0.1,"exper",0.065663531890163,0.0290716603595469,2.25867842008548,0.0239750372541132,3000,"notebook_02_process"
"qr_process_tau0.10",0.1,"exper_sq",-0.00144993262112541,0.000925653453763587,-1.56638817176145,0.117363413622967,3000,"notebook_02_process"
"qr_process_tau0.15",0.15,"(Intercept)",0.131935455591607,0.377143210272953,0.349828531968322,0.726491982058062,3000,"notebook_02_process"
"qr_process_tau0.15",0.15,"female",-0.255357330528802,0.100998505349707,-2.52832781677936,0.0115117064422017,3000,"notebook_02_process"
"qr_process_tau0.15",0.15,"educ",-0.0155097451384477,0.0223724507705676,-0.693251950691596,0.488205206710091,3000,"notebook_02_process"
"qr_process_tau0.15",0.15,"exper",0.0594834754628027,0.0277543312412264,2.14321415082219,0.0321762427633061,3000,"notebook_02_process"
"qr_process_tau0.15",0.15,"exper_sq",-0.00134032435164558,0.000883709160488425,-1.51670301901678,0.129447217186624,3000,"notebook_02_process"
"qr_process_tau0.20",0.2,"(Intercept)",0.257062119570025,0.363588073919897,0.707014718053319,0.479612335186142,3000,"notebook_02_process"
"qr_process_tau0.20",0.2,"female",-0.263939276440655,0.0973684558773081,-2.71072673446973,0.00675188481095956,3000,"notebook_02_process"
"qr_process_tau0.20",0.2,"educ",0.00182617995630388,0.0215683487411884,0.0846694375270594,0.932529852979916,3000,"notebook_02_process"
"qr_process_tau0.20",0.2,"exper",0.060972099300612,0.0267567957318626,2.27875190705309,0.0227519103803369,3000,"notebook_02_process"
"qr_process_tau0.20",0.2,"exper_sq",-0.00130253712011914,0.000851947225391686,-1.52889413956397,0.126396291350005,3000,"notebook_02_process"
"qr_process_tau0.25",0.25,"(Intercept)",0.432787644387972,0.373549684635767,1.1585812067007,0.246719304101031,3000,"notebook_02_process"
"qr_process_tau0.25",0.25,"female",-0.249900979477898,0.100036163437124,-2.49810639364402,0.0125390946894952,3000,"notebook_02_process"
"qr_process_tau0.25",0.25,"educ",0.036719112055801,0.0221592798232436,1.65705349400774,0.0976133989793266,3000,"notebook_02_process"
"qr_process_tau0.25",0.25,"exper",0.0233007956901337,0.027489880236564,0.847613575963913,0.396720940483471,3000,"notebook_02_process"
"qr_process_tau0.25",0.25,"exper_sq",-8.23112204568625e-05,0.000875288933270937,-0.0940389136982084,0.925084535392822,3000,"notebook_02_process"
"qr_process_tau0.30",0.3,"(Intercept)",0.553576653789051,0.196645443700169,2.81510033170717,0.00490807298765672,3000,"notebook_02_process"
"qr_process_tau0.30",0.3,"female",-0.258735447968226,0.052661417086557,-4.91318810397667,9.44214205933491e-07,3000,"notebook_02_process"
"qr_process_tau0.30",0.3,"educ",0.0547444709149722,0.0116651722438657,4.69298436152627,2.8132975198325e-06,3000,"notebook_02_process"
"qr_process_tau0.30",0.3,"exper",0.00936902411211145,0.0144713271586739,0.647419826072816,0.517409887586107,3000,"notebook_02_process"
"qr_process_tau0.30",0.3,"exper_sq",0.000301793601788659,0.000460772924535433,0.654972516219214,0.512535747918697,3000,"notebook_02_process"
"qr_process_tau0.35",0.35,"(Intercept)",0.616170657951715,0.246325265343119,2.50145131110859,0.0124215180249359,3000,"notebook_02_process"
"qr_process_tau0.35",0.35,"female",-0.271293328841222,0.0659656145248364,-4.11264763915871,4.0167114779166e-05,3000,"notebook_02_process"
"qr_process_tau0.35",0.35,"educ",0.0652911437590501,0.014612220828389,4.46825602527172,8.17823693011199e-06,3000,"notebook_02_process"
"qr_process_tau0.35",0.35,"exper",0.00948455897171048,0.0181273129707625,0.523219243084075,0.600860398347715,3000,"notebook_02_process"
"qr_process_tau0.35",0.35,"exper_sq",0.000248710162694302,0.000577180995213761,0.430904975660522,0.666568474673907,3000,"notebook_02_process"
"qr_process_tau0.40",0.4,"(Intercept)",0.707598616288788,0.195047273516755,3.62783136380526,0.000290583695086388,3000,"notebook_02_process"
"qr_process_tau0.40",0.4,"female",-0.29679548649383,0.0522334290029257,-5.68209845991933,1.45827745434701e-08,3000,"notebook_02_process"
"qr_process_tau0.40",0.4,"educ",0.0710067988232431,0.0115703674514752,6.13695279091501,9.51860812392624e-10,3000,"notebook_02_process"
"qr_process_tau0.40",0.4,"exper",0.0120159388682945,0.0143537162791933,0.837130861065745,0.402585806548983,3000,"notebook_02_process"
"qr_process_tau0.40",0.4,"exper_sq",0.000147805051833356,0.000457028146444161,0.323404702715427,0.746411347231889,3000,"notebook_02_process"
"qr_process_tau0.45",0.45,"(Intercept)",0.615273032988062,0.193942082711833,3.1724575934469,0.00152684264640701,3000,"notebook_02_process"
"qr_process_tau0.45",0.45,"female",-0.258258205368902,0.0519374602133972,-4.97248429761078,6.98237307972249e-07,3000,"notebook_02_process"
"qr_process_tau0.45",0.45,"educ",0.0810353574699675,0.0115048066082685,7.04360883491321,2.31414887252868e-12,3000,"notebook_02_process"
"qr_process_tau0.45",0.45,"exper",0.0261005708602505,0.0142723842258803,1.82874637111591,0.0675370083317912,3000,"notebook_02_process"
"qr_process_tau0.45",0.45,"exper_sq",-0.000271074067505127,0.000454438500888324,-0.596503304573091,0.550884129398425,3000,"notebook_02_process"
"qr_process_tau0.50",0.5,"(Intercept)",0.595683667250681,0.173949609909,3.42446106985987,0.000624302116120967,3000,"notebook_02_process"
"qr_process_tau0.50",0.5,"female",-0.224792435526099,0.0465834996585473,-4.82558067070543,1.46583076943152e-06,3000,"notebook_02_process"
"qr_process_tau0.50",0.5,"educ",0.0882032563241527,0.0103188363948856,8.54779094742401,0,3000,"notebook_02_process"
"qr_process_tau0.50",0.5,"exper",0.0318818682976698,0.0128011189415352,2.49055324329689,0.0128082277863415,3000,"notebook_02_process"
"qr_process_tau0.50",0.5,"exper_sq",-0.000378938702399835,0.000407592817669229,-0.929699165374777,0.352601791849102,3000,"notebook_02_process"
"qr_process_tau0.55",0.55,"(Intercept)",0.770769162815967,0.202584547879366,3.80467893965408,0.000144826565652068,3000,"notebook_02_process"
"qr_process_tau0.55",0.55,"female",-0.206172490535532,0.0542519021566207,-3.80028132359912,0.000147408432853435,3000,"notebook_02_process"
"qr_process_tau0.55",0.55,"educ",0.0900047360008347,0.012017484872732,7.48948194684709,9.05941988094128e-14,3000,"notebook_02_process"
"qr_process_tau0.55",0.55,"exper",0.0191141675168991,0.0149083915421113,1.28210796335123,0.199904007755519,3000,"notebook_02_process"
"qr_process_tau0.55",0.55,"exper_sq",7.65701483508677e-05,0.000474689231724027,0.161305846506718,0.871863398504425,3000,"notebook_02_process"
"qr_process_tau0.60",0.6,"(Intercept)",0.74861201808736,0.202856641794698,3.69035004949453,0.000227933733164543,3000,"notebook_02_process"
"qr_process_tau0.60",0.6,"female",-0.165760169117914,0.0543247685851146,-3.05128164252012,0.00229864560403259,3000,"notebook_02_process"
"qr_process_tau0.60",0.6,"educ",0.108142590772233,0.0120336257114372,8.9867005477369,0,3000,"notebook_02_process"
"qr_process_tau0.60",0.6,"exper",0.012450263723808,0.0149284151947959,0.833997685712024,0.404348798510501,3000,"notebook_02_process"
"qr_process_tau0.60",0.6,"exper_sq",0.000241541005807904,0.000475326792944653,0.508157775646425,0.611380123526657,3000,"notebook_02_process"
"qr_process_tau0.65",0.65,"(Intercept)",0.612306850773946,0.201179940930714,3.04357804232989,0.00235813574226817,3000,"notebook_02_process"
"qr_process_tau0.65",0.65,"female",-0.175600870003874,0.0538757500781702,-3.25936752154891,0.00112909799707772,3000,"notebook_02_process"
"qr_process_tau0.65",0.65,"educ",0.125354439694128,0.0119341624133725,10.5038322214943,0,3000,"notebook_02_process"
"qr_process_tau0.65",0.65,"exper",0.0250466990684704,0.014805025167072,1.69177011087945,0.0907938414734377,3000,"notebook_02_process"
"qr_process_tau0.65",0.65,"exper_sq",-4.44413090723117e-05,0.000471398004429995,-0.0942755562277979,0.924896573058171,3000,"notebook_02_process"
"qr_process_tau0.70",0.7,"(Intercept)",0.692106065447845,0.278630044867382,2.48396064314335,0.0130473016707042,3000,"notebook_02_process"
"qr_process_tau0.70",0.7,"female",-0.177996813422184,0.0746167962476654,-2.38547917323311,0.0171187047649588,3000,"notebook_02_process"
"qr_process_tau0.70",0.7,"educ",0.129014485660683,0.0165285673775886,7.80554555717978,7.99360577730113e-15,3000,"notebook_02_process"
"qr_process_tau0.70",0.7,"exper",0.0305923665699331,0.0205046527376438,1.4919719422397,0.135811820900698,3000,"notebook_02_process"
"qr_process_tau0.70",0.7,"exper_sq",-0.000205216797823794,0.000652876457349986,-0.314327152577634,0.753294471011831,3000,"notebook_02_process"
"qr_process_tau0.75",0.75,"(Intercept)",0.900585732572807,0.248553629467906,3.62330549950426,0.000295695318790035,3000,"notebook_02_process"
"qr_process_tau0.75",0.75,"female",-0.205304279619404,0.0665623678001121,-3.08438966948916,0.00205830906187865,3000,"notebook_02_process"
"qr_process_tau0.75",0.75,"educ",0.137519869731368,0.014744409252634,9.32691621448317,0,3000,"notebook_02_process"
"qr_process_tau0.75",0.75,"exper",0.0233477223566454,0.0182913004279426,1.27643862439537,0.201899476166116,3000,"notebook_02_process"
"qr_process_tau0.75",0.75,"exper_sq",-0.00016983932215197,0.000582402422343664,-0.291618502320979,0.77059852293401,3000,"notebook_02_process"
"qr_process_tau0.80",0.8,"(Intercept)",0.884279916174354,0.341159872572333,2.59198102492804,0.00958886966632,3000,"notebook_02_process"
"qr_process_tau0.80",0.8,"female",-0.218127593471996,0.0913622101009441,-2.38750346812967,0.0170249027312008,3000,"notebook_02_process"
"qr_process_tau0.80",0.8,"educ",0.166736842105263,0.0202378890726779,8.23884553900268,2.22044604925031e-16,3000,"notebook_02_process"
"qr_process_tau0.80",0.8,"exper",0.0173654542576643,0.0251062828434171,0.691677631689613,0.489193410163806,3000,"notebook_02_process"
"qr_process_tau0.80",0.8,"exper_sq",4.41627692914019e-05,0.000799394225777092,0.0552452943333075,0.955946729211498,3000,"notebook_02_process"
"qr_process_tau0.85",0.85,"(Intercept)",1.11277802518329,0.478252673137162,2.32675756495802,0.0200445440645818,3000,"notebook_02_process"
"qr_process_tau0.85",0.85,"female",-0.250900216495089,0.128075499838368,-1.95900243849703,0.0502051559445436,3000,"notebook_02_process"
"qr_process_tau0.85",0.85,"educ",0.184109317098994,0.0283703487009875,6.48949785705615,1.00419672577345e-10,3000,"notebook_02_process"
"qr_process_tau0.85",0.85,"exper",0.011669146003907,0.0351950737695746,0.331556230860772,0.740247572053763,3000,"notebook_02_process"
"qr_process_tau0.85",0.85,"exper_sq",0.000196086127886266,0.00112062541964764,0.174979189699197,0.861107813213093,3000,"notebook_02_process"
"qr_process_tau0.90",0.9,"(Intercept)",1.65292410520039,0.438580979275637,3.76880025196344,0.00016719734265358,3000,"notebook_02_process"
"qr_process_tau0.90",0.9,"female",-0.308353352059701,0.117451467175006,-2.62536824338044,0.00869955101659148,3000,"notebook_02_process"
"qr_process_tau0.90",0.9,"educ",0.191593670913821,0.0260169906297667,7.36417495936729,2.29150032282632e-13,3000,"notebook_02_process"
"qr_process_tau0.90",0.9,"exper",0.00725009090607554,0.0322755956977397,0.224630738777759,0.822281873266214,3000,"notebook_02_process"
"qr_process_tau0.90",0.9,"exper_sq",1.07345042373438e-05,0.0010276680540566,0.0104454976438847,0.991666545948118,3000,"notebook_02_process"
"qr_process_tau0.95",0.95,"(Intercept)",3.0890699108343,0.912897399442411,3.3838084243871,0.00072407048410783,3000,"notebook_02_process"
"qr_process_tau0.95",0.95,"female",-0.128225784510401,0.244472843126589,-0.524499093111972,0.599970266523007,3000,"notebook_02_process"
"qr_process_tau0.95",0.95,"educ",0.203730977791656,0.0541538375112815,3.7620783153034,0.000171734865238804,3000,"notebook_02_process"
"qr_process_tau0.95",0.95,"exper",-0.0807530769186171,0.0671809968288745,-1.20202260654622,0.229449800137266,3000,"notebook_02_process"
"qr_process_tau0.95",0.95,"exper_sq",0.00235340140662583,0.00213907017944046,1.10019831478434,0.271334144818672,3000,"notebook_02_process"
"ols",NA,"(Intercept)",0.868149515492247,0.247313379902185,3.51032166490794,0.000454166935082818,3000,"notebook_02_process"
"ols",NA,"female",-0.261635543619931,0.0662302304342883,-3.95039458423021,7.98219761580275e-05,3000,"notebook_02_process"
"ols",NA,"educ",0.0775316044426252,0.0146708366107397,5.28474322901728,1.34911836114619e-07,3000,"notebook_02_process"
"ols",NA,"exper",0.0206025319047062,0.0182000292706443,1.13200542693286,0.257722776393648,3000,"notebook_02_process"
"ols",NA,"exper_sq",-0.000192380196546099,0.000579496311686851,-0.331978293332188,0.739928879650064,3000,"notebook_02_process"
"canay_fe_qr_tau0.10",0.1,"(Intercept)",-0.377041467346294,0.0493388888909962,-7.64187187472518,2.48689957516035e-14,6000,"notebook_03_canay"
"canay_fe_qr_tau0.10",0.1,"log_capital",0.345155464432107,0.00401494895621062,85.9675846932489,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.10",0.1,"log_labor",0.373311902020134,0.0046565571625797,80.1690796410887,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.10",0.1,"log_materials",0.260171839089161,0.00437703270708083,59.4402318877525,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.25",0.25,"(Intercept)",-0.155767999961089,0.0442343249916804,-3.52142821192334,0.000432421601909816,6000,"notebook_03_canay"
"canay_fe_qr_tau0.25",0.25,"log_capital",0.341666297637446,0.00359956539245127,94.9187639024316,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.25",0.25,"log_labor",0.375226447060664,0.00417479330203313,89.8790478747603,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.25",0.25,"log_materials",0.254473763545357,0.00392418823399082,64.8474916012278,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.50",0.5,"(Intercept)",0.0088457693129437,0.0401646147157253,0.220237872952392,0.825693400194406,6000,"notebook_03_canay"
"canay_fe_qr_tau0.50",0.5,"log_capital",0.342986766647295,0.00326839297669979,104.940491884676,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.50",0.5,"log_labor",0.37607656249628,0.00379069793707688,99.2103746431147,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.50",0.5,"log_materials",0.256374813995882,0.00356314939856928,71.9517441785698,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.75",0.75,"(Intercept)",0.178819692675577,0.0413024122716213,4.32952176012352,1.51866637021492e-05,6000,"notebook_03_canay"
"canay_fe_qr_tau0.75",0.75,"log_capital",0.34199990595734,0.0033609811806927,101.755971715037,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.75",0.75,"log_labor",0.37785042586636,0.00389808218259928,96.9323908954647,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.75",0.75,"log_materials",0.259240462102332,0.00366408756779307,70.7517102978179,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.90",0.9,"(Intercept)",0.371119859328412,0.0641286908622575,5.78711110952729,7.52291917649472e-09,6000,"notebook_03_canay"
"canay_fe_qr_tau0.90",0.9,"log_capital",0.342388703661838,0.00521846815418578,65.6109596811864,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.90",0.9,"log_labor",0.376576769377043,0.00605240453268495,62.2193654345817,0,6000,"notebook_03_canay"
"canay_fe_qr_tau0.90",0.9,"log_materials",0.256718632973437,0.00568908995876475,45.1247272998259,0,6000,"notebook_03_canay"
"pooled_qr_tau0.10",0.1,"(Intercept)",-0.615130385870522,0.125298591496466,-4.90931604676394,9.38141272666115e-07,6000,"notebook_03_canay"
"pooled_qr_tau0.10",0.1,"log_capital",0.319849931684833,0.0101961649411039,31.369630986982,0,6000,"notebook_03_canay"
"pooled_qr_tau0.10",0.1,"log_labor",0.310476058781475,0.0118255612724285,26.2546573163808,0,6000,"notebook_03_canay"
"pooled_qr_tau0.10",0.1,"log_materials",0.236555002435606,0.0111156948496113,21.2811709601651,0,6000,"notebook_03_canay"
"pooled_qr_tau0.25",0.25,"(Intercept)",-0.114785780390777,0.0782436448142142,-1.4670300784598,0.142420319321531,6000,"notebook_03_canay"
"pooled_qr_tau0.25",0.25,"log_capital",0.312776648953841,0.00636707163736456,49.1240976649832,0,6000,"notebook_03_canay"
"pooled_qr_tau0.25",0.25,"log_labor",0.304752591233516,0.00738456039192363,41.2688873892641,0,6000,"notebook_03_canay"
"pooled_qr_tau0.25",0.25,"log_materials",0.22683806721623,0.00694127898237953,32.6795778979724,0,6000,"notebook_03_canay"
"pooled_qr_tau0.50",0.5,"(Intercept)",0.324839127751866,0.0799254519932789,4.06427639319677,4.87976842369342e-05,6000,"notebook_03_canay"
"pooled_qr_tau0.50",0.5,"log_capital",0.301686034401657,0.00650392858996136,46.3852009179962,0,6000,"notebook_03_canay"
"pooled_qr_tau0.50",0.5,"log_labor",0.323103355843275,0.00754328774557469,42.8332269351419,0,6000,"notebook_03_canay"
"pooled_qr_tau0.50",0.5,"log_materials",0.220452997600737,0.00709047822855698,31.0914144990757,0,6000,"notebook_03_canay"
"pooled_qr_tau0.75",0.75,"(Intercept)",0.677038617931302,0.0742467255555638,9.11876736469178,0,6000,"notebook_03_canay"
"pooled_qr_tau0.75",0.75,"log_capital",0.301662663403127,0.00604182258603246,49.9290833366264,0,6000,"notebook_03_canay"
"pooled_qr_tau0.75",0.75,"log_labor",0.321081486468228,0.007007334973588,45.8207703325795,0,6000,"notebook_03_canay"
"pooled_qr_tau0.75",0.75,"log_materials",0.225986560784478,0.00658669770347548,34.3095388551438,0,6000,"notebook_03_canay"
"pooled_qr_tau0.90",0.9,"(Intercept)",0.986822009689859,0.10437908769806,9.45421186803682,0,6000,"notebook_03_canay"
"pooled_qr_tau0.90",0.9,"log_capital",0.306957497760902,0.00849384164546967,36.1388298220303,0,6000,"notebook_03_canay"
"pooled_qr_tau0.90",0.9,"log_labor",0.336432671382965,0.00985119850424188,34.1514457594271,0,6000,"notebook_03_canay"
"pooled_qr_tau0.90",0.9,"log_materials",0.219807705337828,0.00925984940193986,23.7377192432287,0,6000,"notebook_03_canay"
"fe_ols",NA,"log_capital",0.343106186459476,0.0196221307616302,17.4856742434108,1.14222768044931e-66,6000,"notebook_03_canay"
"fe_ols",NA,"log_labor",0.37642829925858,0.0264866645807417,14.2119932885879,4.8082629796171e-45,6000,"notebook_03_canay"
"fe_ols",NA,"log_materials",0.257481997358273,0.0197257814015535,13.053069590338,2.25952164778007e-38,6000,"notebook_03_canay"
