firm_id,year,size,log_size,profit_margin,age,industry,adopted
6,2015,38.0,3.637,1.07,10,5,0
6,2016,49.0,3.892,0.62,11,5,1
6,2017,41.5,3.727,1.04,12,5,1
6,2018,46.6,3.841,4.38,13,5,1
6,2019,50.0,3.911,3.76,14,5,1
6,2020,58.0,4.061,3.35,15,5,1
6,2021,57.9,4.058,0.94,16,5,1
7,2015,78.9,4.369,7.36,10,2,0
7,2016,89.9,4.499,5.53,11,2,1
7,2017,99.3,4.598,6.14,12,2,1
7,2018,85.2,4.445,5.98,13,2,1
7,2019,116.3,4.756,5.28,14,2,1
7,2020,113.1,4.728,6.48,15,2,1
7,2021,130.5,4.872,3.22,16,2,1
8,2015,77.9,4.355,8.51,10,5,1
8,2016,70.6,4.257,10.21,11,5,1
8,2017,79.9,4.381,11.62,12,5,1
8,2018,82.1,4.408,8.73,13,5,1
8,2019,86.6,4.462,9.01,14,5,1
8,2020,91.8,4.52,9.58,15,5,1
8,2021,93.7,4.54,10.37,16,5,1
9,2015,38.7,3.657,5.38,10,4,0
9,2016,41.5,3.725,2.31,11,4,0
9,2017,43.2,3.767,0.36,12,4,1
9,2018,52.5,3.961,4.33,13,4,1
9,2019,55.6,4.018,5.13,14,4,1
9,2020,48.8,3.888,1.77,15,4,1
9,2021,59.7,4.09,1.75,16,4,1
10,2015,72.3,4.281,5.63,10,4,0
10,2016,56.4,4.032,4.36,11,4,0
10,2017,60.5,4.103,8.56,12,4,1
10,2018,63.4,4.15,7.87,13,4,1
10,2019,76.5,4.337,8.35,14,4,1
10,2020,78.4,4.362,8.39,15,4,1
10,2021,84.7,4.439,5.4,16,4,1
11,2015,82.6,4.413,4.43,10,4,1
11,2016,68.7,4.23,3.79,11,4,1
11,2017,88.8,4.487,8.37,12,4,1
11,2018,89.7,4.497,6.07,13,4,1
11,2019,82.2,4.409,6.72,14,4,1
11,2020,98.4,4.589,9.51,15,4,1
11,2021,106.9,4.672,5.68,16,4,1
12,2015,135.3,4.908,1.74,10,1,0
12,2016,147.0,4.99,6.17,11,1,1
12,2017,123.6,4.817,5.14,12,1,1
12,2018,166.0,5.112,4.99,13,1,1
12,2019,160.5,5.078,2.65,14,1,1
12,2020,147.9,4.997,2.86,15,1,1
12,2021,151.5,5.021,7.28,16,1,1
13,2015,48.4,3.88,5.25,10,2,0
13,2016,52.7,3.965,4.66,11,2,0
13,2017,39.6,3.679,1.91,12,2,0
13,2018,44.5,3.796,3.74,13,2,0
13,2019,55.7,4.019,2.66,14,2,0
13,2020,53.9,3.987,0.38,15,2,1
13,2021,64.3,4.164,6.22,16,2,1
14,2015,54.8,4.003,6.74,10,5,0
14,2016,53.9,3.987,5.96,11,5,0
14,2017,68.0,4.219,8.11,12,5,1
14,2018,64.7,4.17,6.01,13,5,1
14,2019,60.8,4.108,7.95,14,5,1
14,2020,79.2,4.372,9.03,15,5,1
14,2021,79.2,4.372,1.21,16,5,1
15,2015,42.7,3.753,5.71,10,3,0
15,2016,40.0,3.689,4.44,11,3,0
15,2017,52.6,3.963,8.72,12,3,0
15,2018,54.7,4.002,6.14,13,3,0
15,2019,48.5,3.882,4.61,14,3,0
15,2020,51.9,3.95,6.17,15,3,1
15,2021,54.4,3.995,1.96,16,3,1
16,2015,175.1,5.165,9.97,10,5,1
16,2016,260.3,5.562,10.44,11,5,1
16,2017,241.3,5.486,9.02,12,5,1
16,2018,240.5,5.483,6.88,13,5,1
16,2019,251.3,5.527,4.36,14,5,1
16,2020,250.9,5.525,6.25,15,5,1
16,2021,290.5,5.672,9.44,16,5,1
17,2015,48.3,3.877,4.49,10,4,1
17,2016,59.4,4.084,3.41,11,4,1
17,2017,52.5,3.961,1.72,12,4,1
17,2018,75.1,4.318,1.36,13,4,1
17,2019,61.0,4.11,4.14,14,4,1
17,2020,71.8,4.274,5.61,15,4,1
17,2021,70.4,4.254,6.87,16,4,1
18,2015,102.8,4.633,5.69,10,3,0
18,2016,110.2,4.702,6.89,11,3,1
18,2017,97.3,4.577,10.08,12,3,1
18,2018,135.3,4.908,11.89,13,3,1
18,2019,124.1,4.821,8.02,14,3,1
18,2020,116.7,4.76,2.88,15,3,1
18,2021,127.7,4.85,7.97,16,3,1
19,2015,67.7,4.215,11.72,10,3,1
19,2016,65.6,4.184,8.52,11,3,1
19,2017,75.5,4.324,3.95,12,3,1
19,2018,72.9,4.289,12.43,13,3,1
19,2019,72.0,4.276,11.61,14,3,1
19,2020,87.7,4.474,10.18,15,3,1
19,2021,97.1,4.576,7.81,16,3,1
20,2015,65.3,4.179,6.07,10,5,1
20,2016,73.8,4.301,6.77,11,5,1
20,2017,69.5,4.241,8.37,12,5,1
20,2018,70.4,4.254,8.65,13,5,1
20,2019,74.2,4.307,8.57,14,5,1
20,2020,69.5,4.241,6.48,15,5,1
20,2021,83.7,4.427,9.75,16,5,1
21,2015,19.0,2.946,3.76,10,5,0
21,2016,22.1,3.098,3.57,11,5,0
21,2017,20.2,3.007,4.73,12,5,0
21,2018,22.5,3.115,4.4,13,5,0
21,2019,23.4,3.152,4.53,14,5,0
21,2020,24.2,3.185,2.46,15,5,0
21,2021,24.7,3.206,-1.58,16,5,0
22,2015,67.7,4.216,5.78,10,5,0
22,2016,76.6,4.339,5.0,11,5,1
22,2017,80.3,4.386,4.06,12,5,1
22,2018,86.2,4.457,6.75,13,5,1
22,2019,101.3,4.618,5.54,14,5,1
22,2020,97.7,4.582,5.18,15,5,1
22,2021,86.3,4.458,5.03,16,5,1
23,2015,42.9,3.758,3.08,10,5,0
23,2016,35.9,3.582,4.46,11,5,0
23,2017,43.6,3.774,5.74,12,5,0
23,2018,47.8,3.866,5.01,13,5,1
23,2019,57.9,4.058,10.88,14,5,1
23,2020,47.1,3.852,0.58,15,5,1
23,2021,59.0,4.078,4.94,16,5,1
24,2015,111.1,4.71,3.05,10,2,1
24,2016,115.1,4.746,7.59,11,2,1
24,2017,108.9,4.69,3.35,12,2,1
24,2018,106.6,4.669,3.17,13,2,1
24,2019,117.7,4.768,5.26,14,2,1
24,2020,134.8,4.904,2.8,15,2,1
24,2021,170.5,5.139,3.66,16,2,1
25,2015,37.2,3.616,5.63,10,1,0
25,2016,46.5,3.84,6.2,11,1,1
25,2017,41.0,3.713,6.5,12,1,1
25,2018,54.1,3.991,4.86,13,1,1
25,2019,50.8,3.929,4.44,14,1,1
25,2020,58.1,4.061,9.19,15,1,1
25,2021,55.7,4.021,5.87,16,1,1
26,2015,106.1,4.664,9.71,10,1,0
26,2016,118.6,4.776,7.46,11,1,1
26,2017,121.1,4.797,5.86,12,1,1
26,2018,102.6,4.631,8.92,13,1,1
26,2019,111.1,4.711,7.97,14,1,1
26,2020,140.4,4.945,7.32,15,1,1
26,2021,163.8,5.099,3.68,16,1,1
27,2015,204.3,5.319,7.33,10,5,0
27,2016,209.8,5.346,4.29,11,5,1
27,2017,209.9,5.347,9.43,12,5,1
27,2018,250.6,5.524,6.93,13,5,1
27,2019,285.2,5.653,1.56,14,5,1
27,2020,347.6,5.851,3.32,15,5,1
27,2021,323.0,5.778,7.07,16,5,1
28,2015,22.6,3.119,3.5,10,1,0
28,2016,24.1,3.18,1.23,11,1,0
28,2017,25.9,3.253,1.79,12,1,0
28,2018,22.6,3.117,7.63,13,1,0
28,2019,25.8,3.252,4.51,14,1,0
28,2020,26.7,3.283,2.58,15,1,0
28,2021,33.5,3.511,0.62,16,1,0
29,2015,22.8,3.126,2.6,10,5,1
29,2016,19.8,2.984,3.67,11,5,1
29,2017,22.5,3.115,3.53,12,5,1
29,2018,31.2,3.44,3.59,13,5,1
29,2019,30.5,3.417,5.84,14,5,1
29,2020,27.7,3.323,6.26,15,5,1
29,2021,32.8,3.489,2.54,16,5,1
30,2015,120.7,4.794,8.75,10,5,1
30,2016,116.6,4.758,8.3,11,5,1
30,2017,127.5,4.848,6.64,12,5,1
30,2018,125.7,4.834,7.58,13,5,1
30,2019,176.4,5.173,10.19,14,5,1
30,2020,141.6,4.953,8.84,15,5,1
30,2021,151.1,5.018,6.74,16,5,1
31,2015,51.8,3.948,2.99,10,5,1
31,2016,77.4,4.349,4.04,11,5,1
31,2017,75.3,4.321,4.83,12,5,1
31,2018,85.3,4.446,6.77,13,5,1
31,2019,86.4,4.459,4.56,14,5,1
31,2020,76.2,4.333,2.88,15,5,1
31,2021,77.3,4.348,5.98,16,5,1
32,2015,167.6,5.122,5.45,10,2,1
32,2016,168.4,5.126,8.65,11,2,1
32,2017,181.0,5.198,10.15,12,2,1
32,2018,191.6,5.255,10.95,13,2,1
32,2019,196.7,5.282,10.14,14,2,1
32,2020,193.9,5.267,5.3,15,2,1
32,2021,202.8,5.312,7.31,16,2,1
33,2015,104.8,4.652,9.01,10,4,1
33,2016,100.6,4.611,5.56,11,4,1
33,2017,85.6,4.45,7.94,12,4,1
33,2018,84.1,4.432,6.81,13,4,1
33,2019,109.6,4.697,9.4,14,4,1
33,2020,99.6,4.601,5.86,15,4,1
33,2021,121.6,4.801,7.03,16,4,1
34,2015,99.5,4.6,4.66,10,1,1
34,2016,108.5,4.687,5.49,11,1,1
34,2017,100.9,4.614,6.52,12,1,1
34,2018,130.0,4.868,8.72,13,1,1
34,2019,126.0,4.836,9.25,14,1,1
34,2020,112.0,4.718,7.81,15,1,1
34,2021,110.2,4.702,7.06,16,1,1
35,2015,54.2,3.993,4.55,10,1,0
35,2016,64.3,4.163,5.82,11,1,0
35,2017,63.5,4.152,3.66,12,1,0
35,2018,73.2,4.293,3.44,13,1,1
35,2019,95.3,4.557,5.99,14,1,1
35,2020,78.1,4.358,5.93,15,1,1
35,2021,80.6,4.389,4.21,16,1,1
36,2015,19.7,2.981,5.51,10,2,1
36,2016,21.4,3.061,3.81,11,2,1
36,2017,22.2,3.099,4.37,12,2,1
36,2018,21.1,3.048,3.4,13,2,1
36,2019,20.0,2.998,0.36,14,2,1
36,2020,24.4,3.195,4.94,15,2,1
36,2021,27.9,3.329,5.11,16,2,1
37,2015,47.5,3.862,8.18,10,2,1
37,2016,63.0,4.143,4.46,11,2,1
37,2017,50.6,3.923,6.31,12,2,1
37,2018,62.9,4.142,2.25,13,2,1
37,2019,56.1,4.028,4.31,14,2,1
37,2020,73.1,4.292,5.37,15,2,1
37,2021,61.2,4.115,10.75,16,2,1
38,2015,34.9,3.552,6.66,10,5,1
38,2016,28.8,3.361,6.12,11,5,1
38,2017,32.7,3.488,6.56,12,5,1
38,2018,33.6,3.515,9.7,13,5,1
38,2019,40.8,3.71,7.3,14,5,1
38,2020,35.7,3.576,3.58,15,5,1
38,2021,45.6,3.821,4.47,16,5,1
39,2015,81.8,4.405,6.43,10,5,1
39,2016,100.2,4.608,8.58,11,5,1
39,2017,91.2,4.513,7.99,12,5,1
39,2018,121.2,4.798,9.15,13,5,1
39,2019,98.0,4.585,8.78,14,5,1
39,2020,121.8,4.803,7.37,15,5,1
39,2021,139.7,4.939,5.56,16,5,1
40,2015,93.2,4.534,3.07,10,4,0
40,2016,117.9,4.77,7.3,11,4,1
40,2017,106.6,4.669,5.39,12,4,1
40,2018,128.0,4.852,4.79,13,4,1
40,2019,113.1,4.728,5.91,14,4,1
40,2020,115.1,4.746,10.37,15,4,1
40,2021,136.5,4.916,7.79,16,4,1
41,2015,26.9,3.293,0.41,10,1,0
41,2016,33.6,3.514,1.64,11,1,0
41,2017,29.8,3.396,3.02,12,1,0
41,2018,29.2,3.373,0.88,13,1,0
41,2019,35.3,3.564,2.56,14,1,1
41,2020,36.1,3.586,3.24,15,1,1
41,2021,43.1,3.763,-0.22,16,1,1
42,2015,81.0,4.394,4.41,10,2,1
42,2016,85.6,4.449,5.03,11,2,1
42,2017,97.2,4.577,3.05,12,2,1
42,2018,109.4,4.695,3.64,13,2,1
42,2019,109.3,4.694,5.55,14,2,1
42,2020,129.7,4.865,7.8,15,2,1
42,2021,121.6,4.801,6.93,16,2,1
43,2015,23.8,3.168,0.26,10,4,0
43,2016,22.6,3.117,3.81,11,4,0
43,2017,21.0,3.046,3.91,12,4,0
43,2018,25.3,3.232,7.35,13,4,0
43,2019,31.8,3.458,2.83,14,4,0
43,2020,28.0,3.331,1.26,15,4,0
43,2021,33.1,3.5,6.45,16,4,1
44,2015,85.2,4.445,1.17,10,1,0
44,2016,82.1,4.408,3.65,11,1,1
44,2017,118.2,4.772,4.92,12,1,1
44,2018,94.4,4.547,5.55,13,1,1
44,2019,94.7,4.55,8.32,14,1,1
44,2020,105.4,4.658,8.01,15,1,1
44,2021,117.9,4.77,5.4,16,1,1
45,2015,103.6,4.64,5.61,10,4,0
45,2016,126.5,4.84,3.87,11,4,1
45,2017,99.4,4.6,4.32,12,4,1
45,2018,131.2,4.876,1.34,13,4,1
45,2019,142.3,4.958,4.58,14,4,1
45,2020,130.0,4.868,5.77,15,4,1
45,2021,161.0,5.081,-0.94,16,4,1
46,2015,198.5,5.291,11.34,10,4,1
46,2016,234.7,5.458,7.35,11,4,1
46,2017,207.9,5.337,8.03,12,4,1
46,2018,256.3,5.546,8.62,13,4,1
46,2019,283.3,5.646,7.82,14,4,1
46,2020,257.7,5.552,10.14,15,4,1
46,2021,285.6,5.655,7.95,16,4,1
47,2015,51.2,3.935,0.15,10,5,0
47,2016,65.9,4.188,1.32,11,5,0
47,2017,65.8,4.187,3.7,12,5,1
47,2018,73.0,4.29,2.13,13,5,1
47,2019,67.8,4.216,2.31,14,5,1
47,2020,77.9,4.356,-2.0,15,5,1
47,2021,83.3,4.422,-0.73,16,5,1
48,2015,69.2,4.238,1.08,10,4,0
48,2016,66.1,4.191,5.14,11,4,1
48,2017,75.4,4.323,2.4,12,4,1
48,2018,94.6,4.549,6.71,13,4,1
48,2019,108.2,4.684,3.39,14,4,1
48,2020,116.4,4.757,3.33,15,4,1
48,2021,138.8,4.933,4.48,16,4,1
49,2015,101.2,4.617,6.86,10,5,1
49,2016,86.7,4.462,4.01,11,5,1
49,2017,108.1,4.683,7.67,12,5,1
49,2018,129.4,4.863,5.98,13,5,1
49,2019,127.2,4.846,6.67,14,5,1
49,2020,161.3,5.084,8.42,15,5,1
49,2021,150.3,5.013,7.84,16,5,1
50,2015,93.5,4.537,2.81,10,1,0
50,2016,94.6,4.55,5.31,11,1,0
50,2017,92.1,4.523,5.92,12,1,0
50,2018,104.7,4.652,3.65,13,1,1
50,2019,90.6,4.506,3.6,14,1,1
50,2020,132.4,4.886,7.28,15,1,1
50,2021,118.5,4.775,5.79,16,1,1
51,2015,19.6,2.976,1.47,10,1,0
51,2016,21.7,3.077,1.58,11,1,0
51,2017,21.5,3.067,1.03,12,1,0
51,2018,24.5,3.199,-1.47,13,1,0
51,2019,29.4,3.381,2.0,14,1,0
51,2020,32.7,3.486,6.33,15,1,0
51,2021,27.1,3.299,0.46,16,1,1
52,2015,58.1,4.062,4.84,10,5,1
52,2016,49.4,3.899,8.95,11,5,1
52,2017,55.5,4.016,7.66,12,5,1
52,2018,54.6,4.001,5.51,13,5,1
52,2019,63.6,4.153,10.87,14,5,1
52,2020,73.4,4.296,7.25,15,5,1
52,2021,66.4,4.195,6.51,16,5,1
53,2015,50.8,3.928,8.07,10,3,1
53,2016,50.4,3.92,8.97,11,3,1
53,2017,74.6,4.313,3.99,12,3,1
53,2018,65.2,4.177,8.73,13,3,1
53,2019,64.9,4.173,4.84,14,3,1
53,2020,60.2,4.098,6.68,15,3,1
53,2021,70.5,4.256,3.2,16,3,1
54,2015,34.2,3.531,2.59,10,4,1
54,2016,29.3,3.377,5.48,11,4,1
54,2017,29.7,3.392,2.46,12,4,1
54,2018,39.7,3.681,0.61,13,4,1
54,2019,36.0,3.582,3.25,14,4,1
54,2020,38.4,3.647,4.06,15,4,1
54,2021,29.4,3.381,0.94,16,4,1
55,2015,22.5,3.112,3.02,10,1,0
55,2016,20.6,3.024,7.31,11,1,0
55,2017,21.1,3.05,6.03,12,1,0
55,2018,23.4,3.153,4.02,13,1,1
55,2019,26.4,3.273,5.31,14,1,1
55,2020,27.8,3.324,1.86,15,1,1
55,2021,27.1,3.298,5.73,16,1,1
56,2015,59.9,4.093,2.35,10,4,0
56,2016,53.9,3.987,1.81,11,4,0
56,2017,52.1,3.953,-0.76,12,4,0
56,2018,54.4,3.996,0.66,13,4,0
56,2019,66.0,4.19,-1.32,14,4,0
56,2020,65.9,4.188,3.68,15,4,0
56,2021,76.1,4.332,0.4,16,4,0
57,2015,72.3,4.28,4.94,10,3,1
57,2016,66.7,4.2,2.3,11,3,1
57,2017,77.1,4.345,5.09,12,3,1
57,2018,76.4,4.337,7.42,13,3,1
57,2019,86.4,4.459,6.43,14,3,1
57,2020,101.4,4.619,8.08,15,3,1
57,2021,92.0,4.522,4.88,16,3,1
58,2015,105.3,4.657,14.8,10,4,0
58,2016,134.6,4.902,6.58,11,4,1
58,2017,153.1,5.031,7.65,12,4,1
58,2018,128.6,4.857,9.95,13,4,1
58,2019,170.7,5.14,12.68,14,4,1
58,2020,167.9,5.124,6.36,15,4,1
58,2021,183.1,5.21,6.22,16,4,1
59,2015,42.2,3.742,5.98,10,3,1
59,2016,42.3,3.746,6.06,11,3,1
59,2017,44.0,3.784,6.96,12,3,1
59,2018,52.6,3.963,2.74,13,3,1
59,2019,58.5,4.069,3.47,14,3,1
59,2020,52.0,3.952,7.57,15,3,1
59,2021,54.3,3.995,4.19,16,3,1
60,2015,45.1,3.808,4.62,10,2,0
60,2016,48.0,3.87,6.73,11,2,1
60,2017,44.5,3.796,4.44,12,2,1
60,2018,44.8,3.802,7.42,13,2,1
60,2019,58.8,4.074,-0.2,14,2,1
60,2020,57.7,4.054,2.33,15,2,1
60,2021,64.9,4.174,5.31,16,2,1
61,2015,115.9,4.753,9.28,10,3,0
61,2016,96.2,4.567,9.59,11,3,0
61,2017,84.1,4.432,7.19,12,3,1
61,2018,118.1,4.771,6.7,13,3,1
61,2019,129.6,4.864,7.1,14,3,1
61,2020,141.7,4.953,6.55,15,3,1
61,2021,138.3,4.93,3.58,16,3,1
62,2015,112.0,4.719,8.36,10,1,1
62,2016,102.5,4.629,4.91,11,1,1
62,2017,118.3,4.773,7.35,12,1,1
62,2018,111.5,4.714,7.3,13,1,1
62,2019,129.8,4.866,3.43,14,1,1
62,2020,125.9,4.835,8.99,15,1,1
62,2021,146.8,4.989,5.81,16,1,1
63,2015,33.7,3.516,5.53,10,5,0
63,2016,31.8,3.458,4.74,11,5,1
63,2017,30.4,3.416,4.94,12,5,1
63,2018,32.3,3.474,2.09,13,5,1
63,2019,40.9,3.71,7.49,14,5,1
63,2020,47.6,3.862,5.98,15,5,1
63,2021,41.5,3.726,5.27,16,5,1
64,2015,36.0,3.583,1.18,10,5,1
64,2016,31.5,3.45,7.73,11,5,1
64,2017,43.0,3.76,10.31,12,5,1
64,2018,33.2,3.503,11.24,13,5,1
64,2019,37.0,3.612,8.16,14,5,1
64,2020,40.3,3.696,6.58,15,5,1
64,2021,41.9,3.735,6.3,16,5,1
65,2015,17.0,2.836,2.7,10,4,1
65,2016,22.1,3.095,-1.87,11,4,1
65,2017,23.4,3.153,1.71,12,4,1
65,2018,22.8,3.125,3.05,13,4,1
65,2019,22.6,3.117,0.9,14,4,1
65,2020,24.6,3.201,1.27,15,4,1
65,2021,26.7,3.283,2.08,16,4,1
66,2015,69.5,4.241,4.25,10,2,0
66,2016,75.7,4.326,5.75,11,2,1
66,2017,90.4,4.504,8.19,12,2,1
66,2018,84.1,4.431,2.91,13,2,1
66,2019,99.9,4.604,6.58,14,2,1
66,2020,98.2,4.588,5.89,15,2,1
66,2021,93.6,4.539,6.51,16,2,1
67,2015,56.0,4.025,9.3,10,4,0
67,2016,66.1,4.192,9.27,11,4,1
67,2017,66.5,4.197,6.3,12,4,1
67,2018,65.7,4.186,9.36,13,4,1
67,2019,67.7,4.215,6.21,14,4,1
67,2020,73.5,4.297,7.12,15,4,1
67,2021,76.5,4.337,7.98,16,4,1
68,2015,50.1,3.915,1.87,10,3,0
68,2016,47.4,3.859,0.84,11,3,1
68,2017,61.5,4.119,2.54,12,3,1
68,2018,61.7,4.123,5.3,13,3,1
68,2019,64.6,4.168,4.76,14,3,1
68,2020,64.1,4.16,0.22,15,3,1
68,2021,79.7,4.379,4.67,16,3,1
69,2015,34.7,3.546,1.91,10,5,0
69,2016,33.6,3.514,4.28,11,5,0
69,2017,31.2,3.442,4.87,12,5,0
69,2018,31.7,3.458,8.7,13,5,1
69,2019,37.8,3.632,4.78,14,5,1
69,2020,38.3,3.647,9.28,15,5,1
69,2021,41.8,3.732,7.88,16,5,1
70,2015,20.6,3.023,2.36,10,3,0
70,2016,23.3,3.15,1.66,11,3,0
70,2017,18.0,2.892,-3.11,12,3,0
70,2018,18.4,2.915,2.82,13,3,0
70,2019,21.5,3.067,0.3,14,3,0
70,2020,22.8,3.127,1.11,15,3,0
70,2021,24.6,3.202,2.51,16,3,0
71,2015,18.5,2.917,4.5,10,5,1
71,2016,24.3,3.192,1.64,11,5,1
71,2017,22.4,3.11,6.46,12,5,1
71,2018,26.0,3.258,6.87,13,5,1
71,2019,26.1,3.261,4.04,14,5,1
71,2020,31.6,3.452,4.04,15,5,1
71,2021,32.4,3.479,6.13,16,5,1
72,2015,17.9,2.887,6.07,10,5,0
72,2016,18.3,2.905,3.93,11,5,0
72,2017,21.1,3.051,4.72,12,5,0
72,2018,19.9,2.993,5.17,13,5,0
72,2019,20.3,3.012,2.46,14,5,0
72,2020,23.4,3.153,4.68,15,5,1
72,2021,23.4,3.154,2.2,16,5,1
73,2015,43.0,3.762,8.17,10,5,0
73,2016,50.9,3.93,11.38,11,5,1
73,2017,46.4,3.838,9.43,12,5,1
73,2018,49.7,3.907,5.7,13,5,1
73,2019,49.4,3.899,10.28,14,5,1
73,2020,64.4,4.165,11.6,15,5,1
73,2021,61.9,4.125,5.2,16,5,1
74,2015,22.3,3.105,2.16,10,1,0
74,2016,20.0,2.998,3.38,11,1,0
74,2017,23.9,3.172,5.89,12,1,1
74,2018,25.8,3.251,5.69,13,1,1
74,2019,24.6,3.204,6.76,14,1,1
74,2020,28.9,3.364,6.54,15,1,1
74,2021,28.4,3.347,8.92,16,1,1
75,2015,65.5,4.182,5.13,10,3,1
75,2016,70.2,4.252,7.52,11,3,1
75,2017,76.1,4.333,4.62,12,3,1
75,2018,83.8,4.428,4.21,13,3,1
75,2019,80.0,4.382,4.45,14,3,1
75,2020,95.7,4.561,6.54,15,3,1
75,2021,85.4,4.447,4.99,16,3,1
76,2015,29.8,3.393,12.27,10,4,1
76,2016,31.9,3.462,10.13,11,4,1
76,2017,33.3,3.505,8.86,12,4,1
76,2018,35.0,3.556,9.22,13,4,1
76,2019,29.4,3.38,2.79,14,4,1
76,2020,40.0,3.69,7.87,15,4,1
76,2021,47.4,3.859,10.19,16,4,1
77,2015,23.5,3.157,-0.75,10,2,0
77,2016,35.6,3.571,1.93,11,2,0
77,2017,29.5,3.385,2.6,12,2,0
77,2018,30.9,3.431,3.72,13,2,0
77,2019,38.9,3.66,2.78,14,2,1
77,2020,34.9,3.551,1.03,15,2,1
77,2021,33.7,3.518,1.9,16,2,1
78,2015,26.3,3.271,5.25,10,4,1
78,2016,30.4,3.414,6.41,11,4,1
78,2017,36.7,3.604,8.79,12,4,1
78,2018,30.9,3.43,5.18,13,4,1
78,2019,33.3,3.504,2.13,14,4,1
78,2020,37.6,3.628,3.43,15,4,1
78,2021,33.1,3.499,5.16,16,4,1
79,2015,18.0,2.889,0.4,10,3,0
79,2016,15.7,2.754,0.92,11,3,1
79,2017,21.1,3.048,3.41,12,3,1
79,2018,17.8,2.878,1.98,13,3,1
79,2019,25.1,3.222,1.82,14,3,1
79,2020,20.6,3.027,-1.9,15,3,1
79,2021,25.7,3.248,1.78,16,3,1
80,2015,73.4,4.296,4.26,10,2,0
80,2016,63.5,4.151,5.79,11,2,1
80,2017,63.6,4.152,7.28,12,2,1
80,2018,63.4,4.149,2.95,13,2,1
80,2019,66.7,4.201,2.63,14,2,1
80,2020,85.1,4.444,0.63,15,2,1
80,2021,98.7,4.592,0.27,16,2,1
81,2015,23.2,3.144,2.7,10,4,0
81,2016,24.8,3.213,0.45,11,4,1
81,2017,25.4,3.236,1.32,12,4,1
81,2018,26.3,3.269,2.9,13,4,1
81,2019,25.3,3.232,9.82,14,4,1
81,2020,38.1,3.641,-1.05,15,4,1
81,2021,34.9,3.553,3.68,16,4,1
82,2015,45.5,3.819,4.94,10,2,0
82,2016,65.0,4.175,1.8,11,2,1
82,2017,59.4,4.084,3.99,12,2,1
82,2018,73.7,4.3,2.57,13,2,1
82,2019,63.4,4.149,4.75,14,2,1
82,2020,64.9,4.173,0.36,15,2,1
82,2021,68.0,4.22,4.39,16,2,1
83,2015,37.5,3.626,1.12,10,3,0
83,2016,39.1,3.667,0.82,11,3,0
83,2017,32.4,3.477,3.6,12,3,0
83,2018,35.7,3.575,4.9,13,3,0
83,2019,37.3,3.62,4.28,14,3,0
83,2020,42.9,3.758,4.79,15,3,0
83,2021,41.0,3.714,3.5,16,3,0
84,2015,33.4,3.51,1.98,10,5,0
84,2016,36.8,3.606,4.23,11,5,0
84,2017,33.6,3.515,3.52,12,5,1
84,2018,42.1,3.741,3.17,13,5,1
84,2019,38.0,3.637,1.29,14,5,1
84,2020,47.0,3.849,5.72,15,5,1
84,2021,45.3,3.814,4.13,16,5,1
85,2015,43.8,3.779,8.08,10,3,0
85,2016,45.0,3.806,7.28,11,3,1
85,2017,46.8,3.846,10.0,12,3,1
85,2018,43.7,3.777,4.15,13,3,1
85,2019,43.9,3.781,7.21,14,3,1
85,2020,49.2,3.895,8.0,15,3,1
85,2021,49.6,3.903,7.98,16,3,1
86,2015,56.6,4.036,2.03,10,1,0
86,2016,49.9,3.911,7.12,11,1,1
86,2017,75.0,4.317,6.88,12,1,1
