id,year,age,experience,prior_wage,training,employed,education
43,2010,25,3,15.52,1,1,16
43,2011,26,5,13.64,1,1,16
43,2012,27,6,15.5,1,1,16
43,2013,28,8,21.89,1,1,16
43,2014,29,7,16.84,1,1,16
43,2015,30,8,16.28,1,1,16
44,2010,25,3,9.84,0,1,10
44,2011,26,4,14.29,1,1,10
44,2012,27,6,13.03,1,1,10
44,2013,28,6,16.51,1,1,10
44,2014,29,7,16.12,1,1,10
44,2015,30,8,13.78,0,1,10
45,2010,25,3,15.36,1,1,12
45,2011,26,5,14.7,1,1,12
45,2012,27,5,16.73,1,1,12
45,2013,28,6,16.25,1,1,12
45,2014,29,7,16.23,1,1,12
45,2015,30,8,21.34,1,1,12
46,2010,25,3,16.45,1,1,16
46,2011,26,5,13.54,1,1,16
46,2012,27,5,10.91,1,1,16
46,2013,28,6,13.34,1,1,16
46,2014,29,9,17.8,0,1,16
46,2015,30,8,18.99,1,1,16
47,2010,25,4,17.19,1,1,14
47,2011,26,5,19.2,1,1,14
47,2012,27,5,20.42,1,1,14
47,2013,28,6,20.97,1,1,14
47,2014,29,7,22.93,1,1,14
47,2015,30,8,23.69,1,1,14
48,2010,25,3,16.13,1,1,12
48,2011,26,4,21.2,1,1,12
48,2012,27,8,19.72,1,1,12
48,2013,28,7,17.72,1,1,12
48,2014,29,7,22.82,1,1,12
48,2015,30,9,21.65,1,1,12
49,2010,25,3,9.07,0,0,14
49,2011,26,4,13.76,0,0,14
49,2012,27,7,13.25,1,1,14
49,2013,28,7,17.53,1,1,14
49,2014,29,8,18.77,1,1,14
49,2015,30,9,18.12,1,1,14
50,2010,25,3,13.41,0,1,16
50,2011,26,4,18.43,1,1,16
50,2012,27,5,18.65,0,1,16
50,2013,28,6,17.68,0,1,16
50,2014,29,8,18.42,1,1,16
50,2015,30,9,16.33,0,1,16
51,2010,25,3,14.38,0,1,14
51,2011,26,4,18.24,1,1,14
51,2012,27,5,14.69,1,1,14
51,2013,28,6,19.1,1,1,14
51,2014,29,9,20.0,1,1,14
51,2015,30,8,17.13,1,1,14
52,2010,25,3,14.4,0,0,10
52,2011,26,4,18.3,1,0,10
52,2012,27,5,16.77,0,0,10
52,2013,28,6,15.87,0,0,10
52,2014,29,8,17.96,1,1,10
52,2015,30,10,17.71,0,1,10
53,2010,25,4,17.47,1,1,14
53,2011,26,4,20.59,1,1,14
53,2012,27,5,19.93,1,1,14
53,2013,28,6,21.45,1,1,14
53,2014,29,7,16.05,1,1,14
53,2015,30,8,18.65,1,1,14
54,2010,25,4,21.62,1,1,12
54,2011,26,6,21.39,1,1,12
54,2012,27,5,18.11,1,1,12
54,2013,28,7,22.93,1,1,12
54,2014,29,8,18.71,1,1,12
54,2015,30,9,19.46,1,1,12
55,2010,25,3,20.51,1,1,14
55,2011,26,4,19.51,1,1,14
55,2012,27,5,18.73,1,1,14
55,2013,28,6,19.82,1,1,14
55,2014,29,7,19.27,1,1,14
55,2015,30,8,19.12,1,1,14
56,2010,25,3,20.56,0,1,14
56,2011,26,4,14.98,0,1,14
56,2012,27,5,17.37,1,1,14
56,2013,28,8,18.06,1,0,14
56,2014,29,7,17.12,1,1,14
56,2015,30,9,20.15,1,1,14
57,2010,25,3,16.34,0,1,10
57,2011,26,5,18.17,0,0,10
57,2012,27,6,19.72,1,1,10
57,2013,28,6,17.65,0,1,10
57,2014,29,7,14.76,0,0,10
57,2015,30,8,21.39,0,1,10
58,2010,25,3,17.71,1,1,14
58,2011,26,4,16.54,1,1,14
58,2012,27,6,20.69,1,1,14
58,2013,28,7,22.63,1,1,14
58,2014,29,8,21.07,1,1,14
58,2015,30,8,23.83,1,1,14
59,2010,25,3,23.56,1,1,14
59,2011,26,4,17.67,1,1,14
59,2012,27,5,20.77,1,1,14
59,2013,28,6,17.41,1,1,14
59,2014,29,7,22.12,1,1,14
59,2015,30,9,21.93,1,1,14
60,2010,25,3,13.7,1,1,16
60,2011,26,4,15.29,1,1,16
60,2012,27,5,16.23,1,1,16
60,2013,28,7,18.9,1,1,16
60,2014,29,7,17.27,1,1,16
60,2015,30,8,18.2,1,1,16
61,2010,25,4,14.32,0,1,16
61,2011,26,4,13.25,0,1,16
61,2012,27,5,16.08,1,1,16
61,2013,28,8,18.98,1,1,16
61,2014,29,7,14.76,0,0,16
61,2015,30,8,16.58,1,1,16
62,2010,25,3,12.93,1,1,12
62,2011,26,4,15.16,0,1,12
62,2012,27,6,18.57,1,1,12
62,2013,28,6,19.73,1,1,12
62,2014,29,8,14.02,1,1,12
62,2015,30,8,18.98,1,1,12
63,2010,25,4,15.73,0,1,16
63,2011,26,4,12.98,1,1,16
63,2012,27,6,14.26,1,1,16
63,2013,28,6,14.8,0,1,16
63,2014,29,8,16.02,0,1,16
63,2015,30,9,14.21,1,1,16
64,2010,25,4,19.05,1,1,16
64,2011,26,5,16.44,1,1,16
64,2012,27,5,20.14,1,1,16
64,2013,28,7,21.52,1,1,16
64,2014,29,7,17.84,1,1,16
64,2015,30,8,20.37,1,1,16
65,2010,25,3,18.82,1,1,16
65,2011,26,4,20.09,1,1,16
65,2012,27,6,21.06,1,1,16
65,2013,28,8,19.04,1,1,16
65,2014,29,7,21.32,1,1,16
65,2015,30,11,21.09,1,1,16
66,2010,25,3,19.13,1,1,16
66,2011,26,4,14.83,1,1,16
66,2012,27,5,16.33,1,1,16
66,2013,28,6,17.2,1,1,16
66,2014,29,8,18.43,1,1,16
66,2015,30,8,17.06,1,1,16
67,2010,25,3,18.6,1,1,10
67,2011,26,4,19.11,1,1,10
67,2012,27,6,18.9,1,1,10
67,2013,28,8,24.21,1,1,10
67,2014,29,7,16.09,1,1,10
67,2015,30,8,23.22,1,1,10
68,2010,25,4,15.38,1,1,16
68,2011,26,4,15.36,1,1,16
68,2012,27,5,18.75,1,1,16
68,2013,28,6,21.13,1,1,16
68,2014,29,8,18.48,1,1,16
68,2015,30,9,19.43,1,1,16
69,2010,25,3,11.53,1,0,10
69,2011,26,4,15.65,1,1,10
69,2012,27,5,16.68,1,1,10
69,2013,28,6,15.2,1,1,10
69,2014,29,7,17.67,1,1,10
69,2015,30,9,20.36,1,1,10
70,2010,25,3,17.8,1,1,10
70,2011,26,4,21.97,1,1,10
70,2012,27,5,20.89,1,1,10
70,2013,28,6,17.33,1,1,10
70,2014,29,7,17.39,1,1,10
70,2015,30,10,25.33,1,1,10
71,2010,25,6,21.75,1,1,16
71,2011,26,4,19.62,1,1,16
71,2012,27,6,22.66,1,1,16
71,2013,28,6,22.65,1,1,16
71,2014,29,8,23.46,1,1,16
71,2015,30,8,23.55,1,1,16
72,2010,25,3,19.67,1,1,14
72,2011,26,4,19.51,1,1,14
72,2012,27,5,18.96,1,1,14
72,2013,28,7,19.27,1,1,14
72,2014,29,8,19.46,1,1,14
72,2015,30,8,18.34,1,1,14
73,2010,25,4,19.0,1,1,10
73,2011,26,5,21.48,1,1,10
73,2012,27,5,19.91,1,1,10
73,2013,28,6,19.67,1,1,10
73,2014,29,8,23.76,1,1,10
73,2015,30,9,21.78,1,1,10
74,2010,25,4,15.37,0,1,14
74,2011,26,4,12.97,0,1,14
74,2012,27,5,10.56,0,1,14
74,2013,28,7,14.21,0,1,14
74,2014,29,9,16.14,0,1,14
74,2015,30,8,13.91,0,0,14
75,2010,25,3,17.86,1,1,14
75,2011,26,4,19.26,1,1,14
75,2012,27,6,16.91,1,1,14
75,2013,28,7,17.64,1,1,14
75,2014,29,8,21.07,1,1,14
75,2015,30,8,19.52,1,1,14
76,2010,25,3,18.81,1,1,16
76,2011,26,5,19.47,1,1,16
76,2012,27,6,14.83,0,1,16
76,2013,28,6,16.74,0,1,16
76,2014,29,9,20.72,1,1,16
76,2015,30,8,22.03,1,1,16
77,2010,25,3,15.69,1,1,12
77,2011,26,4,15.49,1,1,12
77,2012,27,7,17.48,1,1,12
77,2013,28,8,21.41,1,1,12
77,2014,29,8,16.45,0,1,12
77,2015,30,8,21.01,1,1,12
78,2010,25,3,15.1,0,1,16
78,2011,26,4,15.87,1,1,16
78,2012,27,6,14.85,1,1,16
78,2013,28,7,16.57,1,1,16
78,2014,29,8,17.07,1,1,16
78,2015,30,8,19.55,1,1,16
79,2010,25,3,12.12,1,0,12
79,2011,26,4,13.47,1,1,12
79,2012,27,8,13.04,1,1,12
79,2013,28,6,11.99,0,1,12
79,2014,29,7,14.59,1,1,12
79,2015,30,9,11.59,1,1,12
80,2010,25,3,12.47,1,1,12
80,2011,26,5,18.18,1,1,12
80,2012,27,5,16.79,1,1,12
80,2013,28,7,15.71,1,1,12
80,2014,29,9,20.04,1,1,12
80,2015,30,8,20.63,1,1,12
81,2010,25,3,16.33,0,1,16
81,2011,26,4,20.08,1,1,16
81,2012,27,5,16.24,1,1,16
81,2013,28,6,21.52,1,1,16
81,2014,29,7,18.56,1,0,16
81,2015,30,9,21.82,1,1,16
82,2010,25,3,16.69,1,1,16
82,2011,26,4,17.83,1,1,16
82,2012,27,5,20.36,1,1,16
82,2013,28,7,21.74,1,1,16
82,2014,29,7,23.45,1,1,16
82,2015,30,8,20.48,1,1,16
83,2010,25,3,14.98,1,1,12
83,2011,26,5,13.12,1,1,12
83,2012,27,5,12.07,1,1,12
83,2013,28,8,17.64,1,1,12
83,2014,29,7,20.25,1,1,12
83,2015,30,8,19.38,1,1,12
84,2010,25,4,19.26,1,1,16
84,2011,26,5,14.57,1,1,16
84,2012,27,5,14.02,1,1,16
84,2013,28,7,18.78,1,1,16
84,2014,29,7,16.76,1,1,16
84,2015,30,8,19.3,1,1,16
85,2010,25,4,17.77,1,1,12
85,2011,26,4,17.52,1,1,12
85,2012,27,6,19.01,1,1,12
85,2013,28,6,15.9,1,1,12
85,2014,29,8,19.07,1,1,12
85,2015,30,8,18.85,1,1,12
86,2010,25,3,19.37,0,1,14
86,2011,26,4,19.65,1,1,14
86,2012,27,7,22.09,1,1,14
86,2013,28,7,20.95,1,1,14
86,2014,29,7,16.55,1,1,14
86,2015,30,11,19.78,1,1,14
87,2010,25,3,23.46,1,1,16
87,2011,26,4,15.41,1,1,16
87,2012,27,5,22.0,1,1,16
87,2013,28,6,17.11,1,1,16
87,2014,29,8,22.02,1,1,16
87,2015,30,8,17.94,1,0,16
88,2010,25,3,16.16,0,1,14
88,2011,26,4,13.21,1,1,14
88,2012,27,5,17.63,1,1,14
88,2013,28,6,16.99,1,1,14
88,2014,29,7,14.63,1,1,14
88,2015,30,8,17.78,1,1,14
89,2010,25,3,17.4,1,1,10
89,2011,26,4,16.92,1,1,10
89,2012,27,5,18.96,1,1,10
89,2013,28,7,18.87,1,1,10
89,2014,29,8,23.27,1,1,10
89,2015,30,9,20.3,1,1,10
90,2010,25,3,21.1,1,1,14
90,2011,26,4,15.31,0,1,14
90,2012,27,5,17.76,1,1,14
90,2013,28,8,19.64,1,1,14
90,2014,29,8,17.17,1,1,14
90,2015,30,8,17.21,1,1,14
91,2010,25,4,20.08,1,1,14
91,2011,26,5,18.03,1,1,14
91,2012,27,5,18.86,1,1,14
91,2013,28,6,19.21,0,0,14
91,2014,29,7,20.6,1,1,14
91,2015,30,9,21.57,1,1,14
92,2010,25,3,15.93,1,1,12
92,2011,26,4,17.63,1,1,12
92,2012,27,6,18.14,1,1,12
92,2013,28,6,19.3,1,1,12
92,2014,29,8,19.37,1,1,12
92,2015,30,9,20.39,1,1,12
93,2010,25,3,14.16,0,1,14
93,2011,26,4,17.84,1,1,14
93,2012,27,5,17.08,1,1,14
93,2013,28,6,16.07,1,1,14
93,2014,29,8,17.86,1,1,14
93,2015,30,8,18.35,1,1,14
94,2010,25,5,11.29,1,1,16
94,2011,26,4,11.5,1,1,16
94,2012,27,5,15.69,1,1,16
94,2013,28,6,12.82,1,1,16
94,2014,29,8,20.86,1,1,16
94,2015,30,8,17.68,1,1,16
95,2010,25,3,12.79,1,1,12
95,2011,26,4,12.63,0,0,12
95,2012,27,6,15.05,0,1,12
95,2013,28,6,15.69,1,1,12
95,2014,29,7,16.13,0,0,12
95,2015,30,8,15.05,0,1,12
96,2010,25,3,14.88,1,0,10
96,2011,26,5,18.88,1,1,10
96,2012,27,5,18.62,1,1,10
96,2013,28,7,20.45,1,1,10
96,2014,29,7,19.46,1,1,10
96,2015,30,8,16.3,1,1,10
97,2010,25,4,15.93,1,1,16
97,2011,26,4,17.82,1,1,16
97,2012,27,5,17.7,1,1,16
97,2013,28,6,19.38,1,1,16
97,2014,29,7,18.38,1,1,16
97,2015,30,9,20.07,1,1,16
98,2010,25,3,21.07,1,1,10
98,2011,26,5,14.76,1,1,10
98,2012,27,5,18.55,1,1,10
98,2013,28,6,16.79,1,1,10
98,2014,29,7,19.52,1,1,10
98,2015,30,9,21.66,1,1,10
99,2010,25,3,16.36,1,1,14
99,2011,26,4,20.92,1,1,14
99,2012,27,5,17.5,1,1,14
99,2013,28,6,19.6,1,1,14
99,2014,29,8,17.03,1,1,14
99,2015,30,8,16.04,1,1,14
100,2010,25,4,16.03,0,1,16
100,2011,26,4,13.97,0,0,16
100,2012,27,5,10.68,1,1,16
100,2013,28,6,15.75,0,1,16
100,2014,29,8,16.26,0,1,16
100,2015,30,8,19.19,0,1,16
101,2010,25,3,15.38,1,1,16
101,2011,26,5,19.07,1,1,16
101,2012,27,6,16.39,1,1,16
101,2013,28,6,15.8,1,1,16
101,2014,29,7,18.25,1,1,16
101,2015,30,8,18.02,1,1,16
102,2010,25,5,13.32,1,1,10
102,2011,26,4,16.62,0,1,10
102,2012,27,5,16.14,1,1,10
102,2013,28,6,16.12,1,1,10
102,2014,29,9,20.62,1,1,10
102,2015,30,9,19.66,1,1,10
103,2010,25,3,16.78,1,1,16
103,2011,26,4,15.78,1,1,16
103,2012,27,5,14.01,1,1,16
103,2013,28,6,15.27,1,1,16
103,2014,29,9,18.35,1,1,16
103,2015,30,8,16.75,1,1,16
104,2010,25,3,18.14,1,1,16
104,2011,26,5,13.69,1,1,16
104,2012,27,6,16.59,1,1,16
104,2013,28,6,17.83,1,1,16
104,2014,29,8,20.79,1,1,16
104,2015,30,8,17.46,1,1,16
105,2010,25,4,18.84,1,1,16
105,2011,26,4,19.45,1,1,16
105,2012,27,6,19.45,0,1,16
105,2013,28,8,19.48,1,1,16
105,2014,29,8,18.05,1,1,16
105,2015,30,9,21.01,1,1,16
106,2010,25,3,22.02,1,1,14
106,2011,26,4,21.17,1,1,14
106,2012,27,5,22.49,1,1,14
106,2013,28,6,24.51,1,1,14
106,2014,29,7,20.1,1,1,14
106,2015,30,9,25.28,1,1,14
107,2010,25,3,17.3,1,1,10
107,2011,26,4,16.23,1,1,10
107,2012,27,5,15.14,1,1,10
107,2013,28,8,19.8,1,1,10
107,2014,29,7,17.09,1,1,10
107,2015,30,8,19.55,1,1,10
108,2010,25,4,16.26,0,1,16
108,2011,26,5,20.2,1,1,16
108,2012,27,6,15.1,1,1,16
108,2013,28,7,17.28,1,1,16
108,2014,29,9,19.33,1,1,16
108,2015,30,9,22.61,1,1,16
109,2010,25,3,17.63,1,1,12
109,2011,26,4,17.75,1,1,12
109,2012,27,5,18.39,1,1,12
109,2013,28,6,16.22,1,1,12
109,2014,29,7,18.36,1,1,12
109,2015,30,9,22.6,1,1,12
110,2010,25,3,13.74,1,1,12
110,2011,26,5,11.74,1,1,12
110,2012,27,6,11.46,1,1,12
110,2013,28,7,15.98,1,1,12
110,2014,29,7,14.52,1,1,12
110,2015,30,8,14.81,1,1,12
111,2010,25,3,14.16,0,1,12
111,2011,26,6,19.03,1,1,12
111,2012,27,6,15.17,0,1,12
111,2013,28,7,19.97,1,1,12
111,2014,29,7,20.63,1,1,12
111,2015,30,9,21.85,1,1,12
112,2010,25,3,16.79,1,1,12
112,2011,26,4,19.26,1,1,12
112,2012,27,5,16.07,1,1,12
112,2013,28,6,17.87,1,1,12
112,2014,29,8,18.64,1,1,12
112,2015,30,8,17.11,1,1,12
113,2010,25,4,20.13,1,1,14
113,2011,26,4,22.37,1,1,14
113,2012,27,5,24.13,1,1,14
113,2013,28,6,20.47,1,1,14
113,2014,29,9,23.23,1,1,14
113,2015,30,8,23.33,1,1,14
114,2010,25,3,16.32,0,1,16
114,2011,26,5,17.53,1,1,16
114,2012,27,6,15.65,1,1,16
114,2013,28,6,20.34,1,1,16
114,2014,29,7,15.36,1,1,16
114,2015,30,9,19.96,1,1,16
115,2010,25,3,14.78,1,1,10
115,2011,26,4,21.27,1,1,10
115,2012,27,5,16.35,1,1,10
115,2013,28,9,22.4,1,1,10
115,2014,29,7,19.21,1,1,10
115,2015,30,8,18.98,1,1,10
116,2010,25,3,15.61,1,1,16
116,2011,26,4,18.21,1,1,16
116,2012,27,5,14.8,1,1,16
116,2013,28,6,15.04,1,1,16
116,2014,29,8,18.81,1,1,16
116,2015,30,10,21.21,1,1,16
117,2010,25,3,14.73,1,1,14
117,2011,26,4,14.32,1,1,14
117,2012,27,5,13.56,1,1,14
117,2013,28,7,15.67,1,1,14
117,2014,29,9,15.45,1,1,14
117,2015,30,8,16.73,1,1,14
118,2010,25,4,20.75,1,1,12
118,2011,26,5,17.44,1,1,12
118,2012,27,6,18.71,1,1,12
118,2013,28,6,17.4,0,1,12
118,2014,29,8,20.32,1,0,12
118,2015,30,9,21.4,1,1,12
119,2010,25,3,15.01,1,1,14
119,2011,26,5,20.92,1,1,14
119,2012,27,6,20.48,1,1,14
119,2013,28,7,21.1,1,1,14
119,2014,29,7,24.78,1,1,14
119,2015,30,9,23.37,1,1,14
120,2010,25,4,18.81,0,1,16
120,2011,26,4,17.0,1,1,16
120,2012,27,6,19.58,1,1,16
120,2013,28,6,20.16,1,1,16
120,2014,29,7,22.0,1,1,16
120,2015,30,8,21.62,1,1,16
121,2010,25,3,13.57,1,1,10
121,2011,26,4,15.95,1,1,10
121,2012,27,6,15.71,1,1,10
121,2013,28,7,15.87,1,1,10
121,2014,29,8,14.64,1,1,10
121,2015,30,8,18.52,1,1,10
122,2010,25,3,17.25,1,1,14
122,2011,26,4,22.53,1,1,14
