id,year,rating,income,debt_ratio,age,size,profitability,sector
33,2017,3,10.8884,0.2377,31.8,9.3663,0.0755,2
33,2018,2,10.6347,0.2234,32.8,9.2949,0.0534,2
33,2019,3,10.5515,0.2542,33.8,9.703,0.0795,2
34,2015,2,11.6647,0.4605,38.9,7.608,-0.0146,1
34,2016,0,12.0075,0.4884,39.9,7.4805,0.1087,1
34,2017,1,11.5882,0.4195,40.9,7.3767,0.1008,1
34,2018,0,11.6736,0.4866,41.9,7.6103,0.0939,1
34,2019,3,11.894,0.5303,42.9,7.6101,0.0937,1
35,2015,0,9.6141,0.3321,25.9,8.2869,0.0659,4
35,2016,0,9.9712,0.4279,26.9,8.328,0.0608,4
35,2017,3,9.5318,0.4084,27.9,8.2615,0.0267,4
35,2018,2,9.7697,0.4429,28.9,8.4178,0.0746,4
35,2019,2,9.9083,0.4698,29.9,8.2338,0.0639,4
36,2015,1,9.5716,0.3951,44.8,8.5869,0.0631,2
36,2016,1,9.8708,0.3517,45.8,8.5518,0.0604,2
36,2017,0,9.42,0.3397,46.8,8.5561,0.0384,2
36,2018,1,9.7076,0.4049,47.8,8.4998,0.0816,2
36,2019,1,9.5953,0.3682,48.8,8.5153,0.0794,2
37,2015,3,9.9963,0.4491,23.4,8.3873,0.1046,1
37,2016,1,9.8326,0.4218,24.4,8.5004,0.0599,1
37,2017,1,10.0814,0.3558,25.4,8.4342,0.0499,1
37,2018,1,10.0928,0.4101,26.4,8.4239,0.0171,1
37,2019,3,9.7474,0.3192,27.4,8.2934,0.0986,1
38,2015,1,10.0191,0.1404,25.2,8.8591,0.1114,3
38,2016,3,10.3214,0.2534,26.2,8.8244,0.0435,3
38,2017,3,10.3157,0.1107,27.2,8.8655,0.0253,3
38,2018,1,10.2578,0.1416,28.2,8.9405,-0.0014,3
38,2019,1,10.2313,0.202,29.2,8.9656,0.0884,3
39,2015,1,10.4613,0.4744,39.4,6.205,0.0903,5
39,2016,3,10.367,0.4014,40.4,6.1149,0.0685,5
39,2017,0,10.506,0.5186,41.4,6.3158,-0.0091,5
39,2018,0,10.3779,0.4126,42.4,6.2485,0.0579,5
39,2019,0,10.7875,0.5073,43.4,6.3225,0.0563,5
40,2015,1,9.887,0.53,32.3,7.3074,0.0173,1
40,2016,2,9.9973,0.4844,33.3,7.4238,0.0854,1
40,2017,1,9.8786,0.4633,34.3,7.3483,0.0568,1
40,2018,3,9.9977,0.4814,35.3,7.6696,0.0502,1
40,2019,0,9.8764,0.3963,36.3,7.696,0.042,1
41,2015,2,10.5052,0.389,5.3,5.8689,0.0529,3
41,2016,3,10.1944,0.3493,6.3,5.893,0.0773,3
41,2017,2,10.4598,0.3302,7.3,5.8756,0.0392,3
41,2018,2,10.6016,0.426,8.3,5.7984,0.1092,3
41,2019,1,10.5503,0.402,9.3,5.9659,0.0843,3
42,2015,3,9.2207,0.362,37.3,9.2439,0.0314,1
42,2016,3,9.0157,0.4211,38.3,9.2686,0.0917,1
42,2017,1,9.1805,0.3945,39.3,9.3536,0.0878,1
42,2018,1,9.2018,0.4197,40.3,9.1565,0.0147,1
42,2019,1,9.4202,0.3867,41.3,9.2109,0.0613,1
43,2015,2,10.3262,0.2766,23.5,8.2368,0.1118,5
43,2016,1,10.2698,0.3005,24.5,8.0237,0.0301,5
43,2017,2,10.4051,0.3333,25.5,8.1422,0.0677,5
43,2018,3,10.477,0.3414,26.5,8.2325,0.1048,5
43,2019,1,10.2299,0.3523,27.5,8.1036,0.068,5
44,2015,0,11.5577,0.3794,9.0,7.1706,0.0457,5
44,2016,2,11.4602,0.3831,10.0,7.3217,0.0954,5
44,2017,1,11.6619,0.3906,11.0,7.1575,0.103,5
44,2018,2,11.6995,0.448,12.0,7.3521,0.0567,5
44,2019,1,11.8459,0.482,13.0,7.2239,0.1284,5
45,2015,1,10.6576,0.5173,47.8,8.7246,0.0617,2
45,2016,2,10.7597,0.4779,48.8,8.6983,0.0797,2
45,2017,3,11.0562,0.4934,49.8,8.7292,0.0985,2
45,2018,1,11.0817,0.4762,50.8,8.7415,0.0503,2
45,2019,1,10.7981,0.564,51.8,8.7734,0.0788,2
46,2015,3,10.5772,0.3618,40.0,6.3564,0.0909,4
46,2016,2,10.4578,0.3516,41.0,6.4225,0.0672,4
46,2017,1,10.5289,0.3726,42.0,6.3587,0.074,4
46,2018,2,10.856,0.326,43.0,6.3446,0.0931,4
46,2019,3,10.6092,0.4177,44.0,6.3375,0.0986,4
47,2015,3,12.2318,0.468,28.8,7.5679,0.0584,1
47,2016,0,12.432,0.4361,29.8,7.4025,0.049,1
47,2017,3,12.6601,0.5238,30.8,7.5202,0.122,1
47,2018,1,12.6667,0.4752,31.8,7.4401,0.0705,1
47,2019,3,12.5537,0.468,32.8,7.4354,0.0423,1
48,2015,2,10.438,0.4218,37.7,7.5715,0.0109,1
48,2016,0,10.5783,0.4684,38.7,7.6851,0.0407,1
48,2017,3,10.644,0.4842,39.7,7.6661,0.0682,1
48,2018,3,10.5156,0.5264,40.7,7.5544,0.0832,1
48,2019,3,10.4852,0.5412,41.7,7.5369,0.0775,1
49,2015,3,9.1389,0.2957,12.5,8.8316,0.0468,3
49,2016,3,8.7399,0.3017,13.5,8.9496,0.0693,3
49,2017,1,8.8505,0.3214,14.5,8.7608,0.0619,3
49,2018,2,9.0519,0.2581,15.5,8.8135,0.1101,3
49,2019,0,9.2507,0.2998,16.5,8.948,0.0683,3
50,2015,2,10.9606,0.3219,15.7,6.9858,0.0857,5
50,2016,2,11.1558,0.3192,16.7,6.8419,0.0901,5
50,2017,3,10.9223,0.3777,17.7,6.8598,0.0648,5
50,2018,3,11.035,0.4203,18.7,6.9616,0.0458,5
50,2019,0,10.9408,0.3441,19.7,6.975,0.1364,5
51,2015,0,9.8783,0.6478,23.8,7.0222,0.0702,1
51,2016,0,9.7669,0.7298,24.8,7.0519,0.0035,1
51,2017,2,9.9114,0.6157,25.8,7.1655,0.0524,1
51,2018,1,9.8341,0.647,26.8,7.0881,0.0134,1
51,2019,2,9.7056,0.7143,27.8,6.9167,0.0728,1
52,2015,3,9.7003,0.2118,47.8,8.9298,0.0244,5
52,2016,2,10.0553,0.3529,48.8,8.9255,0.0755,5
52,2017,3,10.1642,0.3567,49.8,8.733,0.0342,5
52,2018,2,10.1734,0.334,50.8,8.8116,0.0943,5
52,2019,1,10.251,0.38,51.8,8.8352,0.0401,5
53,2015,1,10.1274,0.6237,14.5,11.6513,-0.0127,1
53,2016,1,10.444,0.6309,15.5,11.8372,0.0268,1
53,2017,0,10.3323,0.6094,16.5,11.7616,0.0693,1
53,2018,2,10.605,0.6442,17.5,11.5775,0.027,1
53,2019,1,10.2309,0.5772,18.5,11.6328,0.0495,1
54,2015,3,10.51,0.2086,40.3,7.4408,0.112,2
54,2016,2,10.7166,0.2379,41.3,7.5552,0.1082,2
54,2017,1,10.6229,0.1718,42.3,7.6039,0.0749,2
54,2018,1,10.8903,0.1738,43.3,7.7042,0.0789,2
54,2019,0,10.7655,0.2537,44.3,7.5629,0.0899,2
55,2015,2,10.6372,0.5704,20.6,6.9645,0.0522,4
55,2016,2,10.4716,0.7177,21.6,7.1897,0.0684,4
55,2017,3,10.4136,0.7396,22.6,7.1368,0.0891,4
55,2018,2,10.6665,0.7445,23.6,7.1283,0.0617,4
55,2019,3,10.4951,0.7104,24.6,7.0579,0.054,4
56,2015,1,10.5233,0.3257,31.1,8.2867,0.0393,1
56,2016,3,10.5421,0.3573,32.1,8.197,0.0564,1
56,2017,2,10.2113,0.4081,33.1,8.1787,0.0684,1
56,2018,3,10.3702,0.4681,34.1,8.377,0.0406,1
56,2019,2,10.5903,0.4239,35.1,8.3458,0.022,1
57,2015,2,11.4202,0.2096,13.3,8.9671,0.0552,5
57,2016,2,11.8403,0.1034,14.3,8.9408,0.0961,5
57,2017,2,11.6055,0.177,15.3,8.9829,0.0731,5
57,2018,0,11.7618,0.2323,16.3,9.0015,0.0555,5
57,2019,3,11.6484,0.1818,17.3,9.0573,0.033,5
58,2015,3,11.3042,0.5132,38.8,9.0298,0.1164,2
58,2016,1,11.4237,0.5848,39.8,8.908,0.0404,2
58,2017,2,11.4104,0.5246,40.8,9.0235,0.0617,2
58,2018,2,11.2846,0.5709,41.8,9.0257,0.0465,2
58,2019,1,11.2391,0.5952,42.8,9.0921,0.0794,2
59,2015,3,10.2668,0.4707,35.8,10.8233,0.0472,1
59,2016,3,10.6326,0.4792,36.8,10.9204,0.109,1
59,2017,2,10.5077,0.6252,37.8,10.8659,0.0207,1
59,2018,2,10.3527,0.4718,38.8,11.0125,0.1126,1
59,2019,3,10.6556,0.4846,39.8,10.9031,0.0903,1
60,2015,0,10.6406,0.3863,43.6,6.3329,0.1029,3
60,2016,0,10.7632,0.3827,44.6,6.2624,0.0623,3
60,2017,1,10.6893,0.3673,45.6,6.2581,0.0166,3
60,2018,2,10.7866,0.4005,46.6,6.3085,0.066,3
60,2019,1,10.9132,0.4751,47.6,6.2828,0.0349,3
61,2015,2,9.6552,0.1297,34.7,6.9331,0.0125,4
61,2016,0,9.7363,0.1737,35.7,6.819,0.0742,4
61,2017,2,10.1828,0.2077,36.7,6.7224,0.046,4
61,2018,2,9.7951,0.1512,37.7,6.9665,0.0669,4
61,2019,3,9.7235,0.2707,38.7,6.9392,0.0976,4
62,2015,2,11.1738,0.3115,42.5,8.7611,0.0743,1
62,2016,3,11.1607,0.2328,43.5,8.7061,0.021,1
62,2017,2,11.1852,0.3643,44.5,8.5807,0.1224,1
62,2018,3,11.0567,0.1743,45.5,8.6868,0.1078,1
62,2019,1,11.2942,0.2597,46.5,8.521,0.0548,1
63,2015,3,10.8343,0.2526,16.4,7.3314,0.0815,2
63,2016,3,11.04,0.1695,17.4,7.2666,0.0616,2
63,2017,3,10.8562,0.2403,18.4,7.2858,0.1134,2
63,2018,2,10.9807,0.1879,19.4,7.266,0.0726,2
63,2019,1,10.8815,0.2482,20.4,7.3276,0.0708,2
64,2015,0,12.0121,0.05,10.3,7.8302,0.1091,3
64,2016,3,12.0211,0.1885,11.3,7.5903,0.0974,3
64,2017,3,12.2073,0.05,12.3,8.104,0.1513,3
64,2018,1,11.918,0.1005,13.3,7.6912,0.0674,3
64,2019,3,12.1086,0.0755,14.3,7.6183,0.135,3
65,2015,2,10.8397,0.2491,14.1,7.4602,0.0983,2
65,2016,3,10.9208,0.3298,15.1,7.3602,0.0289,2
65,2017,2,10.9954,0.2606,16.1,7.3051,0.1056,2
65,2018,0,11.0337,0.2606,17.1,7.4645,0.0389,2
65,2019,3,10.6591,0.3749,18.1,7.3314,0.0539,2
66,2015,3,10.0443,0.5448,46.6,5.9688,0.0043,2
66,2016,3,10.1753,0.6074,47.6,6.3596,0.0564,2
66,2017,3,9.9292,0.6207,48.6,6.4627,0.0412,2
66,2018,1,10.051,0.5289,49.6,6.3574,0.0818,2
66,2019,0,10.0322,0.6553,50.6,6.2023,0.0398,2
67,2015,3,10.866,0.1811,16.5,10.5796,0.0542,3
67,2016,2,11.0357,0.1171,17.5,10.66,0.1103,3
67,2017,1,10.7509,0.0814,18.5,10.5983,0.1558,3
67,2018,1,10.8117,0.1691,19.5,10.5311,0.1421,3
67,2019,3,10.848,0.1746,20.5,10.4848,0.0751,3
68,2015,3,10.5069,0.2234,19.3,8.5213,0.0598,2
68,2016,2,10.1294,0.2369,20.3,8.6531,0.0539,2
68,2017,2,10.2461,0.1667,21.3,8.4128,0.0907,2
68,2018,2,10.5667,0.1596,22.3,8.7521,0.0106,2
68,2019,3,10.5426,0.1837,23.3,8.7609,0.0773,2
69,2015,2,9.2083,0.3571,33.9,7.5107,0.0589,3
69,2016,3,9.3402,0.2273,34.9,7.4783,0.0964,3
69,2017,0,9.4565,0.278,35.9,7.6711,0.0394,3
69,2018,0,9.2523,0.4144,36.9,7.3827,0.0904,3
69,2019,0,9.2524,0.3824,37.9,7.5318,0.0434,3
70,2015,3,9.3339,0.0766,44.3,7.6309,0.1206,1
70,2016,3,9.6186,0.2314,45.3,7.6067,0.0495,1
70,2017,1,9.3752,0.2201,46.3,7.5568,0.067,1
70,2018,2,9.47,0.2028,47.3,7.5703,0.0504,1
70,2019,0,9.0875,0.0892,48.3,7.616,0.0892,1
71,2015,3,11.9016,0.5228,19.3,7.0473,0.105,3
71,2016,2,12.0942,0.4146,20.3,6.8566,0.0494,3
71,2017,3,11.8734,0.4453,21.3,6.9535,0.0402,3
71,2018,1,11.9416,0.4137,22.3,6.9693,0.0891,3
71,2019,0,12.1613,0.4733,23.3,6.966,0.1001,3
72,2015,3,10.5701,0.3344,21.5,7.2163,0.1138,3
72,2016,3,10.3434,0.38,22.5,7.2641,0.0925,3
72,2017,3,10.7505,0.4361,23.5,7.0273,0.0476,3
72,2018,3,10.5549,0.4828,24.5,7.3155,0.0449,3
72,2019,0,10.6469,0.5031,25.5,7.1704,0.0502,3
73,2015,3,10.9917,0.1103,5.4,6.8484,0.0938,4
73,2016,2,11.1716,0.05,6.4,6.8305,0.0488,4
73,2017,3,11.1589,0.0591,7.4,6.8733,0.0762,4
73,2018,3,11.3161,0.1001,8.4,6.7537,0.0784,4
73,2019,3,11.107,0.05,9.4,6.8022,0.0735,4
74,2015,3,10.837,0.2818,41.7,9.5489,0.1292,3
74,2016,3,10.9945,0.1815,42.7,9.2869,0.1339,3
74,2017,3,11.1634,0.2386,43.7,9.2912,0.0928,3
74,2018,0,11.2157,0.3407,44.7,9.5438,0.084,3
74,2019,3,10.9537,0.2385,45.7,9.4318,0.1025,3
75,2015,1,9.7984,0.3853,34.8,9.2896,0.0804,3
75,2016,0,10.1597,0.3917,35.8,9.2205,0.0833,3
75,2017,1,10.1295,0.3997,36.8,9.2633,0.0988,3
75,2018,0,10.0755,0.4363,37.8,9.4254,0.0583,3
75,2019,0,9.9663,0.3981,38.8,9.5732,0.0654,3
76,2015,1,10.4688,0.2899,5.4,8.2216,0.0933,1
76,2016,3,10.5895,0.4037,6.4,8.2294,0.0731,1
76,2017,2,10.8549,0.337,7.4,8.2415,0.0761,1
76,2018,0,10.877,0.3892,8.4,8.0319,0.1214,1
76,2019,2,10.6634,0.3718,9.4,8.273,0.1263,1
77,2015,3,9.6024,0.4647,21.9,8.5662,0.0568,4
77,2016,1,9.8511,0.4211,22.9,8.7173,0.0322,4
77,2017,1,9.5456,0.4097,23.9,8.601,0.0486,4
77,2018,3,9.7951,0.4896,24.9,8.4882,0.0562,4
77,2019,1,10.0114,0.3858,25.9,8.5045,0.0286,4
78,2015,2,11.8711,0.554,17.8,9.8189,0.0819,5
78,2016,2,11.8377,0.5145,18.8,9.8667,0.0205,5
78,2017,2,11.6917,0.5447,19.8,9.7744,0.0402,5
78,2018,1,11.638,0.6165,20.8,9.7513,0.1339,5
78,2019,3,11.9515,0.5673,21.8,9.8003,0.0535,5
79,2015,1,9.4574,0.5324,31.8,6.366,0.1018,1
79,2016,1,9.6262,0.5555,32.8,6.3754,0.0788,1
79,2017,1,9.5576,0.513,33.8,6.5638,0.0976,1
79,2018,0,9.755,0.5328,34.8,6.313,0.0611,1
79,2019,3,9.7541,0.5701,35.8,6.208,0.0196,1
80,2015,0,8.3562,0.2473,21.8,6.9888,0.0551,1
80,2016,0,8.8217,0.1475,22.8,6.9268,0.1056,1
80,2017,0,8.4331,0.2726,23.8,6.8945,0.0289,1
80,2018,1,8.5072,0.3071,24.8,6.9329,0.0574,1
80,2019,1,8.6809,0.2265,25.8,6.9546,0.0578,1
81,2015,3,10.3715,0.4748,16.9,9.3548,0.0478,5
81,2016,0,10.2097,0.3992,17.9,9.3057,0.0377,5
81,2017,2,10.4011,0.4153,18.9,8.9727,0.067,5
81,2018,0,10.5626,0.3617,19.9,9.2275,0.0929,5
81,2019,2,10.6744,0.3737,20.9,9.1627,0.0636,5
82,2015,3,9.9993,0.2974,13.2,9.3176,0.1067,3
82,2016,3,10.4718,0.2187,14.2,9.2785,0.1262,3
82,2017,2,10.6465,0.3335,15.2,9.3201,0.0315,3
82,2018,3,10.5357,0.2376,16.2,9.2966,0.0774,3
82,2019,1,10.3289,0.3054,17.2,9.1707,0.0556,3
83,2015,3,9.9646,0.1008,21.7,7.6791,0.1315,2
83,2016,0,10.0638,0.1312,22.7,7.8131,0.092,2
83,2017,1,9.9336,0.05,23.7,7.7944,0.0744,2
83,2018,1,9.7761,0.062,24.7,7.8382,0.0786,2
83,2019,3,10.1884,0.1137,25.7,7.6257,0.1178,2
84,2015,0,8.0886,0.2219,4.1,7.5813,0.0019,4
84,2016,3,7.9722,0.2079,5.1,7.6289,0.1287,4
84,2017,3,7.8716,0.3471,6.1,7.4992,0.0225,4
84,2018,1,7.9945,0.2733,7.1,7.51,0.0641,4
84,2019,0,7.9875,0.3331,8.1,7.5487,0.0272,4
85,2015,1,9.8266,0.4375,30.2,10.4412,-0.0101,2
85,2016,1,9.9895,0.4035,31.2,10.4094,0.0349,2
85,2017,1,9.8987,0.3837,32.2,10.3013,0.1218,2
85,2018,2,10.1773,0.3446,33.2,10.2555,0.0725,2
85,2019,0,10.3403,0.4475,34.2,10.5982,0.0367,2
86,2015,1,11.8077,0.5624,29.5,7.2105,0.0689,5
86,2016,0,11.9961,0.5356,30.5,6.9264,0.0768,5
