worker_id,year,mode,prod_remote,commute,kids,age,educ,income,sector,firm_size,tech_job
19,2021,1,5.42,37.3,2,45.0,16.9,17361.78,2,2,0
19,2022,1,5.01,36.3,1,46.0,16.9,18284.58,2,2,0
19,2023,1,5.08,34.6,1,47.0,16.9,20622.87,2,2,0
20,2019,1,6.25,22.0,2,27.0,15.1,16184.53,1,2,1
20,2020,1,6.34,26.1,2,28.0,15.1,16560.79,1,2,1
20,2021,1,6.57,21.1,3,29.0,15.1,17671.72,1,2,1
20,2022,1,6.85,21.9,3,30.0,15.1,17003.98,1,2,1
20,2023,2,6.48,15.5,3,31.0,15.1,17368.93,1,2,1
21,2019,2,9.01,40.8,1,45.0,14.1,37836.84,1,2,1
21,2020,2,10.0,38.6,1,46.0,14.1,38795.42,1,2,1
21,2021,2,9.48,38.0,1,47.0,14.1,40103.05,1,2,1
21,2022,2,8.92,40.6,1,48.0,14.1,40431.79,1,2,1
21,2023,2,9.26,30.9,2,49.0,14.1,45950.8,1,2,1
22,2019,0,5.5,29.4,0,37.0,9.2,10314.42,2,2,0
22,2020,1,5.75,35.2,0,38.0,9.2,11756.38,2,2,0
22,2021,0,5.8,25.2,0,39.0,9.2,11687.46,2,2,0
22,2022,0,6.28,35.8,0,40.0,9.2,12438.22,2,2,0
22,2023,1,5.3,37.3,0,41.0,9.2,12434.41,2,2,0
23,2019,1,4.45,17.0,0,43.0,8.0,8889.4,3,3,0
23,2020,1,4.51,22.1,0,44.0,8.0,9430.28,3,3,0
23,2021,1,4.34,17.6,0,45.0,8.0,8821.42,3,3,0
23,2022,1,4.98,9.6,0,46.0,8.0,10256.95,3,3,0
23,2023,1,4.68,15.9,1,47.0,8.0,9366.92,3,3,0
24,2019,0,6.1,30.4,1,32.0,12.9,12370.86,3,2,0
24,2020,1,6.21,22.7,1,33.0,12.9,13045.19,3,2,0
24,2021,1,6.66,22.9,0,34.0,12.9,13666.14,3,2,0
24,2022,0,6.4,34.0,1,35.0,12.9,11670.3,3,2,0
24,2023,0,5.98,33.2,1,36.0,12.9,14411.74,3,2,0
25,2019,0,6.91,27.7,0,43.0,10.6,17255.08,2,1,1
25,2020,0,7.34,29.1,0,44.0,10.6,18361.58,2,1,1
25,2021,0,7.4,28.0,0,45.0,10.6,19709.26,2,1,1
25,2022,2,7.43,32.3,0,46.0,10.6,20838.54,2,1,1
25,2023,2,7.0,29.5,0,47.0,10.6,19445.94,2,1,1
26,2019,0,7.22,14.6,0,33.0,13.5,14774.62,3,3,0
26,2020,2,7.8,15.9,0,34.0,13.5,15260.28,3,3,0
26,2021,2,7.76,5.1,0,35.0,13.5,14794.04,3,3,0
26,2022,2,7.2,10.5,0,36.0,13.5,15231.04,3,3,0
26,2023,2,7.65,14.0,0,37.0,13.5,16705.35,3,3,0
27,2019,1,6.93,10.8,1,25.0,13.5,13007.44,4,1,0
27,2020,1,6.76,12.8,1,26.0,13.5,13708.02,4,1,0
27,2021,1,6.86,14.4,2,27.0,13.5,14028.13,4,1,0
27,2022,1,6.53,12.5,2,28.0,13.5,13235.3,4,1,0
27,2023,1,7.57,16.9,2,29.0,13.5,14939.97,4,1,0
28,2019,2,9.62,14.6,1,42.0,11.9,14942.79,1,3,1
28,2020,2,9.66,16.7,1,43.0,11.9,16945.16,1,3,1
28,2021,2,9.52,12.3,1,44.0,11.9,17057.95,1,3,1
28,2022,2,9.96,18.4,1,45.0,11.9,18635.79,1,3,1
28,2023,1,10.0,15.0,1,46.0,11.9,16866.76,1,3,1
29,2019,2,6.71,54.2,0,45.0,15.0,19041.13,5,2,0
29,2020,1,7.34,64.0,1,46.0,15.0,22859.91,5,2,0
29,2021,1,7.61,53.1,1,47.0,15.0,22110.15,5,2,0
29,2022,1,6.6,50.0,1,48.0,15.0,21848.99,5,2,0
29,2023,1,7.28,62.4,1,49.0,15.0,23483.71,5,2,0
30,2019,2,6.17,13.7,0,40.0,18.2,13435.79,2,3,0
30,2020,2,7.12,19.1,0,41.0,18.2,14482.17,2,3,0
30,2021,1,7.03,22.1,0,42.0,18.2,14321.92,2,3,0
30,2022,1,6.85,24.0,0,43.0,18.2,15223.71,2,3,0
30,2023,2,6.87,19.4,0,44.0,18.2,14319.28,2,3,0
31,2019,0,4.79,46.8,1,32.0,14.6,13151.63,3,3,0
31,2020,2,4.46,43.7,1,33.0,14.6,13190.19,3,3,0
31,2021,1,4.8,49.5,1,34.0,14.6,15432.91,3,3,0
31,2022,2,5.34,47.4,1,35.0,14.6,14859.6,3,3,0
31,2023,1,4.86,42.4,1,36.0,14.6,15908.01,3,3,0
32,2019,2,5.0,5.0,0,39.0,9.8,7266.19,4,2,0
32,2020,2,5.41,8.3,1,40.0,9.8,7402.63,4,2,0
32,2021,2,6.06,5.0,1,41.0,9.8,7670.73,4,2,0
32,2022,2,6.06,10.1,1,42.0,9.8,7328.86,4,2,0
32,2023,2,4.87,10.6,1,43.0,9.8,7928.52,4,2,0
33,2019,1,7.51,35.2,2,50.0,15.8,20678.44,2,2,0
33,2020,2,7.76,36.8,2,51.0,15.8,17666.76,2,2,0
33,2021,2,7.37,44.3,2,52.0,15.8,19458.42,2,2,0
33,2022,1,8.48,41.8,2,53.0,15.8,18859.92,2,2,0
33,2023,1,8.07,38.6,2,54.0,15.8,20342.9,2,2,0
34,2019,2,5.77,32.0,1,35.0,12.6,12305.56,4,1,0
34,2020,1,6.38,23.1,1,36.0,12.6,12764.19,4,1,0
34,2021,1,6.29,23.3,1,37.0,12.6,13406.63,4,1,0
34,2022,1,6.48,24.8,1,38.0,12.6,13524.16,4,1,0
34,2023,1,6.05,33.7,1,39.0,12.6,15439.93,4,1,0
35,2019,2,8.26,14.9,1,31.0,21.3,16441.05,3,1,0
35,2020,2,9.04,19.4,0,32.0,21.3,17307.63,3,1,0
35,2021,2,8.53,17.2,0,33.0,21.3,19028.6,3,1,0
35,2022,2,9.37,17.4,0,34.0,21.3,17929.13,3,1,0
35,2023,1,9.14,12.2,0,35.0,21.3,18638.4,3,1,0
36,2019,1,5.14,39.1,0,54.0,13.1,11567.96,4,2,0
36,2020,1,5.63,42.2,0,55.0,13.1,12175.65,4,2,0
36,2021,1,5.71,37.3,0,56.0,13.1,12850.01,4,2,0
36,2022,1,5.65,34.0,0,57.0,13.1,11211.61,4,2,0
36,2023,0,6.23,39.9,0,58.0,13.1,14113.95,4,2,0
37,2019,0,6.06,27.0,0,33.0,15.6,15128.06,2,3,0
37,2020,2,5.4,39.1,0,34.0,15.6,14962.8,2,3,0
37,2021,2,6.48,21.5,0,35.0,15.6,14529.03,2,3,0
37,2022,0,6.25,22.9,0,36.0,15.6,14856.23,2,3,0
37,2023,1,6.13,32.4,0,37.0,15.6,15787.59,2,3,0
38,2019,1,7.3,13.0,1,32.0,12.8,9373.12,2,3,1
38,2020,1,6.98,21.1,1,33.0,12.8,9594.47,2,3,1
38,2021,1,7.23,21.3,1,34.0,12.8,9762.47,2,3,1
38,2022,1,7.29,14.7,1,35.0,12.8,9965.08,2,3,1
38,2023,0,6.99,19.5,1,36.0,12.8,9998.46,2,3,1
39,2019,0,7.29,27.4,1,37.0,16.1,10717.13,2,2,1
39,2020,0,7.03,28.4,1,38.0,16.1,10966.59,2,2,1
39,2021,1,7.36,30.2,1,39.0,16.1,10739.56,2,2,1
39,2022,1,7.4,18.4,1,40.0,16.1,10035.38,2,2,1
39,2023,1,6.75,35.4,1,41.0,16.1,11264.61,2,2,1
40,2019,1,5.51,29.6,3,46.0,13.6,14735.72,4,2,0
40,2020,2,6.31,30.9,3,47.0,13.6,15636.28,4,2,0
40,2021,2,6.61,32.8,3,48.0,13.6,17373.03,4,2,0
40,2022,2,6.37,23.6,2,49.0,13.6,17792.16,4,2,0
40,2023,0,6.58,40.5,2,50.0,13.6,17090.92,4,2,0
41,2019,2,8.6,43.1,0,30.0,11.4,7798.6,3,3,0
41,2020,2,8.71,48.6,0,31.0,11.4,7682.79,3,3,0
41,2021,0,9.2,49.1,0,32.0,11.4,8084.04,3,3,0
41,2022,2,8.78,42.8,0,33.0,11.4,8224.17,3,3,0
41,2023,1,9.37,46.2,0,34.0,11.4,8519.71,3,3,0
42,2019,0,8.42,20.0,0,43.0,14.7,18220.55,2,3,1
42,2020,1,8.9,33.4,0,44.0,14.7,19985.5,2,3,1
42,2021,2,8.26,25.4,0,45.0,14.7,19792.31,2,3,1
42,2022,2,8.81,16.0,0,46.0,14.7,19905.72,2,3,1
42,2023,2,8.51,22.4,0,47.0,14.7,23418.17,2,3,1
43,2019,1,6.17,59.2,0,31.0,16.0,15851.87,5,1,0
43,2020,2,6.59,54.6,0,32.0,16.0,15998.27,5,1,0
43,2021,2,6.85,61.2,0,33.0,16.0,16788.38,5,1,0
43,2022,2,6.96,55.4,0,34.0,16.0,17589.23,5,1,0
43,2023,2,6.17,56.5,0,35.0,16.0,19291.6,5,1,0
44,2019,1,5.2,21.9,0,52.0,12.8,15459.55,5,2,0
44,2020,1,5.47,17.9,0,53.0,12.8,15008.77,5,2,0
44,2021,1,5.9,25.9,0,54.0,12.8,16020.57,5,2,0
44,2022,0,6.07,22.7,0,55.0,12.8,18090.05,5,2,0
44,2023,2,5.54,24.3,0,56.0,12.8,13778.47,5,2,0
45,2019,0,7.07,5.0,0,34.0,13.7,10095.17,3,2,0
45,2020,2,6.86,6.9,0,35.0,13.7,9833.94,3,2,0
45,2021,1,7.29,9.5,0,36.0,13.7,10587.16,3,2,0
45,2022,2,7.22,11.5,0,37.0,13.7,10666.65,3,2,0
45,2023,0,7.23,10.9,1,38.0,13.7,10347.12,3,2,0
46,2019,1,3.92,15.7,0,42.0,14.4,13331.77,3,2,0
46,2020,0,4.18,19.6,1,43.0,14.4,14059.41,3,2,0
46,2021,1,4.32,14.8,1,44.0,14.4,14932.88,3,2,0
46,2022,1,4.44,19.8,1,45.0,14.4,13583.68,3,2,0
46,2023,1,3.92,17.7,1,46.0,14.4,15873.1,3,2,0
47,2019,2,7.17,16.7,1,28.0,18.5,11881.47,4,3,0
47,2020,2,8.35,10.5,1,29.0,18.5,11391.03,4,3,0
47,2021,2,7.97,15.0,1,30.0,18.5,12343.06,4,3,0
47,2022,0,7.84,5.0,1,31.0,18.5,12433.32,4,3,0
47,2023,1,7.43,14.4,1,32.0,18.5,13813.97,4,3,0
48,2019,1,7.55,24.4,1,46.0,19.8,24573.46,5,3,0
48,2020,2,6.95,20.7,1,47.0,19.8,23236.01,5,3,0
48,2021,2,7.39,23.6,1,48.0,19.8,27300.4,5,3,0
48,2022,1,8.19,23.4,1,49.0,19.8,26557.01,5,3,0
48,2023,0,6.84,19.5,1,50.0,19.8,29356.39,5,3,0
49,2019,0,8.38,41.9,0,52.0,16.3,18946.21,1,3,1
49,2020,1,8.53,34.8,0,53.0,16.3,17767.86,1,3,1
49,2021,2,8.62,28.1,0,54.0,16.3,22498.61,1,3,1
49,2022,2,9.04,21.9,0,55.0,16.3,20656.49,1,3,1
49,2023,2,9.14,24.1,0,56.0,16.3,20276.6,1,3,1
50,2019,1,7.67,8.3,0,50.0,14.7,33824.28,2,1,1
50,2020,1,7.13,13.8,0,51.0,14.7,33496.44,2,1,1
50,2021,1,7.5,16.0,0,52.0,14.7,35713.71,2,1,1
50,2022,1,7.58,20.3,0,53.0,14.7,35909.35,2,1,1
50,2023,1,7.37,5.0,0,54.0,14.7,36804.84,2,1,1
51,2019,1,7.15,20.7,0,25.0,14.5,7463.24,3,3,0
51,2020,2,7.02,24.1,0,26.0,14.5,7510.32,3,3,0
51,2021,2,6.48,24.1,0,27.0,14.5,7518.34,3,3,0
51,2022,2,6.83,33.2,0,28.0,14.5,7902.93,3,3,0
51,2023,2,6.63,32.0,0,29.0,14.5,7818.75,3,3,0
52,2019,1,4.5,14.8,0,25.0,12.4,4714.69,5,3,0
52,2020,1,4.46,11.5,0,26.0,12.4,5138.35,5,3,0
52,2021,1,4.43,7.5,0,27.0,12.4,5265.97,5,3,0
52,2022,1,4.79,15.8,0,28.0,12.4,5064.3,5,3,0
52,2023,2,4.38,13.6,0,29.0,12.4,5421.06,5,3,0
53,2019,1,7.51,30.8,1,54.0,20.9,39727.45,1,2,1
53,2020,1,7.52,17.1,1,55.0,20.9,42140.67,1,2,1
53,2021,2,7.16,16.2,1,56.0,20.9,42789.08,1,2,1
53,2022,2,7.19,20.5,1,57.0,20.9,40898.29,1,2,1
53,2023,2,7.71,27.6,1,58.0,20.9,44789.94,1,2,1
54,2019,0,6.92,82.5,0,42.0,19.9,19013.01,5,3,0
54,2020,2,6.92,83.2,0,43.0,19.9,17942.23,5,3,0
54,2021,2,7.42,89.4,0,44.0,19.9,22121.87,5,3,0
54,2022,2,6.5,83.2,0,45.0,19.9,20768.75,5,3,0
54,2023,2,7.43,83.5,0,46.0,19.9,21280.94,5,3,0
55,2019,2,8.77,23.4,1,48.0,16.2,23948.47,1,3,1
55,2020,2,9.48,23.1,1,49.0,16.2,25824.42,1,3,1
55,2021,1,8.92,31.3,1,50.0,16.2,23865.06,1,3,1
55,2022,2,9.49,25.9,1,51.0,16.2,27727.1,1,3,1
55,2023,2,9.4,24.3,1,52.0,16.2,25709.2,1,3,1
56,2019,0,6.21,22.7,1,46.0,13.9,12508.93,5,3,0
56,2020,0,6.22,23.9,1,47.0,13.9,12846.06,5,3,0
56,2021,1,5.45,18.5,0,48.0,13.9,11559.52,5,3,0
56,2022,1,6.11,27.3,0,49.0,13.9,14283.27,5,3,0
56,2023,1,6.12,26.6,0,50.0,13.9,13149.3,5,3,0
57,2019,2,5.61,25.4,0,43.0,14.9,16718.16,5,3,0
57,2020,2,6.29,11.8,0,44.0,14.9,17992.82,5,3,0
57,2021,2,6.06,26.7,0,45.0,14.9,16316.96,5,3,0
57,2022,0,6.28,20.8,0,46.0,14.9,18098.04,5,3,0
57,2023,0,6.09,24.4,0,47.0,14.9,17094.53,5,3,0
58,2019,1,9.04,45.5,0,42.0,14.1,10808.73,1,2,1
58,2020,1,8.7,36.7,0,43.0,14.1,10341.53,1,2,1
58,2021,1,9.18,37.6,0,44.0,14.1,10657.54,1,2,1
58,2022,2,9.27,38.7,0,45.0,14.1,11560.74,1,2,1
58,2023,1,9.52,36.8,0,46.0,14.1,11721.49,1,2,1
59,2019,1,7.84,13.9,0,47.0,12.5,7039.98,3,2,0
59,2020,2,7.32,13.0,0,48.0,12.5,7538.67,3,2,0
59,2021,2,7.51,23.1,0,49.0,12.5,8713.09,3,2,0
59,2022,0,7.96,17.6,1,50.0,12.5,8388.54,3,2,0
59,2023,2,7.75,11.5,1,51.0,12.5,7461.74,3,2,0
60,2019,0,9.34,55.7,2,53.0,12.0,23055.96,1,3,1
60,2020,2,9.22,44.1,2,54.0,12.0,24520.11,1,3,1
60,2021,2,10.0,40.2,2,55.0,12.0,25669.3,1,3,1
60,2022,2,9.96,49.0,2,56.0,12.0,28761.64,1,3,1
60,2023,1,9.97,49.8,2,57.0,12.0,28396.37,1,3,1
61,2019,1,7.12,18.5,1,35.0,11.7,11975.91,4,3,0
61,2020,1,7.56,22.5,1,36.0,11.7,12884.66,4,3,0
61,2021,1,6.93,17.8,1,37.0,11.7,13436.45,4,3,0
61,2022,1,7.21,22.9,1,38.0,11.7,13477.27,4,3,0
61,2023,1,7.0,25.6,1,39.0,11.7,13018.55,4,3,0
62,2019,1,5.25,17.7,0,26.0,13.6,17447.05,1,2,1
62,2020,0,4.76,12.1,0,27.0,13.6,18330.32,1,2,1
62,2021,1,4.82,21.6,0,28.0,13.6,18636.09,1,2,1
62,2022,0,4.81,25.2,0,29.0,13.6,17877.58,1,2,1
62,2023,0,4.87,22.2,0,30.0,13.6,19146.69,1,2,1
63,2019,2,6.29,28.3,0,46.0,13.6,10350.19,4,2,0
63,2020,1,7.02,26.0,0,47.0,13.6,10712.8,4,2,0
63,2021,1,7.39,20.0,0,48.0,13.6,11646.54,4,2,0
63,2022,1,6.7,28.8,0,49.0,13.6,12364.67,4,2,0
63,2023,0,6.69,21.3,0,50.0,13.6,13196.15,4,2,0
64,2019,0,4.93,51.5,2,48.0,10.0,8720.4,5,3,0
64,2020,0,5.13,50.0,3,49.0,10.0,9333.15,5,3,0
64,2021,2,4.74,51.7,3,50.0,10.0,9083.69,5,3,0
64,2022,1,5.51,56.0,3,51.0,10.0,11158.72,5,3,0
64,2023,2,5.27,47.8,3,52.0,10.0,9987.44,5,3,0
65,2019,1,8.92,31.3,1,54.0,15.5,18116.03,1,1,1
65,2020,1,9.06,29.5,1,55.0,15.5,20435.1,1,1,1
65,2021,2,8.27,25.5,0,56.0,15.5,18840.71,1,1,1
65,2022,2,8.77,23.9,0,57.0,15.5,19914.12,1,1,1
65,2023,2,9.42,25.6,0,58.0,15.5,22231.58,1,1,1
66,2019,0,6.31,12.7,4,31.0,12.5,13384.63,2,3,0
66,2020,2,6.07,24.0,5,32.0,12.5,13942.36,2,3,0
66,2021,2,6.59,22.5,5,33.0,12.5,14905.17,2,3,0
66,2022,2,7.15,17.0,5,34.0,12.5,14909.67,2,3,0
66,2023,2,6.91,15.4,5,35.0,12.5,16029.53,2,3,0
67,2019,2,9.47,5.0,1,36.0,17.9,16939.85,4,2,0
67,2020,2,9.26,11.2,1,37.0,17.9,17550.51,4,2,0
67,2021,2,9.44,13.4,1,38.0,17.9,20299.71,4,2,0
67,2022,2,9.71,6.4,0,39.0,17.9,20381.45,4,2,0
67,2023,2,9.53,17.1,0,40.0,17.9,17779.64,4,2,0
68,2019,2,6.04,29.2,0,51.0,12.9,10477.48,2,2,0
68,2020,2,6.73,36.9,0,52.0,12.9,11979.48,2,2,0
68,2021,2,6.25,37.3,0,53.0,12.9,11723.17,2,2,0
68,2022,2,5.89,27.6,0,54.0,12.9,13669.93,2,2,0
68,2023,2,6.38,28.5,0,55.0,12.9,12789.85,2,2,0
69,2019,1,4.76,20.5,1,30.0,11.9,12906.14,5,2,0
69,2020,1,5.48,21.3,1,31.0,11.9,14872.65,5,2,0
69,2021,1,5.49,19.6,1,32.0,11.9,14186.01,5,2,0
69,2022,1,5.47,23.5,1,33.0,11.9,15176.07,5,2,0
69,2023,1,5.39,15.4,1,34.0,11.9,14942.43,5,2,0
70,2019,1,5.61,28.2,2,44.0,13.9,9572.11,4,2,0
70,2020,1,5.72,31.2,2,45.0,13.9,9662.69,4,2,0
70,2021,1,5.15,32.0,2,46.0,13.9,10896.52,4,2,0
70,2022,1,5.43,27.7,2,47.0,13.9,11122.56,4,2,0
70,2023,0,5.54,27.7,2,48.0,13.9,12577.23,4,2,0
71,2019,1,6.42,23.8,2,32.0,16.5,12286.89,3,3,0
71,2020,1,5.69,16.9,2,33.0,16.5,12146.37,3,3,0
71,2021,0,5.64,21.4,2,34.0,16.5,12186.29,3,3,0
71,2022,2,6.02,21.3,2,35.0,16.5,12668.04,3,3,0
71,2023,1,6.23,17.5,2,36.0,16.5,13385.96,3,3,0
72,2019,1,8.51,26.1,2,53.0,17.0,17391.0,1,2,1
72,2020,2,8.46,8.0,2,54.0,17.0,17743.82,1,2,1
72,2021,2,9.01,21.7,2,55.0,17.0,19319.94,1,2,1
72,2022,1,8.82,19.1,2,56.0,17.0,20751.44,1,2,1
72,2023,2,8.81,6.6,2,57.0,17.0,21233.11,1,2,1
73,2019,1,5.43,27.9,0,33.0,16.4,12138.1,3,1,0
73,2020,2,5.92,22.6,0,34.0,16.4,12750.67,3,1,0
73,2021,0,5.35,26.5,0,35.0,16.4,13978.6,3,1,0
73,2022,1,5.11,22.7,1,36.0,16.4,14404.53,3,1,0
73,2023,1,5.51,27.9,2,37.0,16.4,16333.97,3,1,0
74,2019,2,6.18,68.2,2,43.0,10.9,10802.93,4,3,0
74,2020,2,6.79,79.3,2,44.0,10.9,11162.32,4,3,0
74,2021,2,6.27,68.0,2,45.0,10.9,12229.57,4,3,0
74,2022,2,7.24,73.4,2,46.0,10.9,12054.9,4,3,0
74,2023,1,6.43,73.7,2,47.0,10.9,11507.49,4,3,0
75,2019,0,4.18,5.0,0,26.0,8.1,5676.83,3,3,0
75,2020,1,4.01,10.2,0,27.0,8.1,5842.0,3,3,0
75,2021,2,3.93,7.2,0,28.0,8.1,6503.04,3,3,0
75,2022,0,4.58,8.7,0,29.0,8.1,6514.9,3,3,0
75,2023,1,4.44,14.5,0,30.0,8.1,6779.87,3,3,0
76,2019,2,7.84,26.2,3,29.0,14.7,13651.78,2,3,0
76,2020,2,7.9,38.8,3,30.0,14.7,13371.98,2,3,0
76,2021,2,7.8,27.8,3,31.0,14.7,12552.52,2,3,0
76,2022,1,8.0,34.9,3,32.0,14.7,15151.55,2,3,0
76,2023,2,7.97,29.6,3,33.0,14.7,14852.25,2,3,0
77,2019,0,6.34,22.5,1,31.0,16.8,16922.95,2,1,0
77,2020,2,6.48,30.7,1,32.0,16.8,18535.45,2,1,0
77,2021,2,6.94,24.9,1,33.0,16.8,17842.7,2,1,0
77,2022,0,6.81,25.2,1,34.0,16.8,18959.93,2,1,0
77,2023,2,6.39,23.1,1,35.0,16.8,18156.61,2,1,0
78,2019,1,6.52,5.0,0,40.0,16.9,19904.27,5,2,0
