exporter,importer,year,trade_value,distance,contiguous,common_language,gdp_exporter,gdp_importer,trade_agreement
C02,C43,2005,36.57,1544.94,0,0,138.06,1181.97,0
C16,C21,2005,0.6,4033.53,0,0,29.0,843.45,0
C01,C31,2005,40.0,429.61,0,0,76.12,1014.75,0
C30,C06,2005,5.65,898.27,1,0,267.19,92.47,0
C24,C01,2005,13.37,1331.52,0,0,408.51,76.12,0
C08,C14,2005,3.87,3568.83,0,0,161.67,247.45,0
C21,C24,2005,0.0,1627.18,0,0,843.45,408.51,0
C05,C50,2005,0.0,2919.86,0,0,471.69,653.22,0
C19,C40,2005,53.81,1173.96,0,0,2729.11,31.04,0
C46,C49,2005,268.84,7193.86,0,0,2200.04,3829.11,0
C09,C50,2005,273.43,168.55,0,0,102.38,653.22,0
C15,C46,2005,24.14,1415.27,0,0,108.16,2200.04,0
C44,C25,2005,6.2,13022.19,0,0,149.71,2394.14,0
C14,C10,2005,0.0,1078.35,0,0,247.45,1980.21,0
C47,C32,2005,4.12,7508.02,0,0,357.31,1118.21,0
C49,C42,2005,2.74,8470.75,0,0,3829.11,29.56,0
C44,C40,2005,0.0,888.1,0,0,149.71,31.04,0
C28,C49,2005,171.59,3112.8,0,0,960.99,3829.11,0
C21,C16,2005,4.42,3581.59,0,0,843.45,29.0,0
C46,C45,2005,48.2,783.64,1,0,2200.04,16.75,0
C02,C13,2005,4.81,2554.05,0,1,138.06,213.51,0
C14,C15,2005,1.32,2628.93,0,0,247.45,108.16,0
C37,C26,2005,987.06,730.87,1,0,9055.82,385.53,0
C33,C47,2005,2.62,10254.29,0,0,1105.52,357.31,0
C28,C41,2005,0.0,1737.73,0,0,960.99,1021.18,0
C28,C32,2005,109.78,1507.73,0,0,960.99,1118.21,0
C31,C37,2005,2798.59,609.86,1,1,1014.75,9055.82,0
C06,C02,2005,0.0,727.7,0,0,92.47,138.06,0
C20,C34,2005,1.72,993.79,1,0,31.01,130.24,0
C43,C13,2005,259.25,252.67,0,0,1181.97,213.51,0
C24,C38,2005,100.4,265.2,1,1,408.51,157.46,0
C11,C17,2005,491.45,829.83,0,0,1374.79,600.58,0
C27,C22,2005,16.71,1406.73,0,0,184.22,767.88,0
C47,C40,2005,5.58,1203.22,0,0,357.31,31.04,0
C14,C44,2005,1.7,4961.33,0,0,247.45,149.71,0
C42,C18,2005,0.0,3520.85,0,0,29.56,85.61,0
C34,C28,2005,38.12,1577.16,0,0,130.24,960.99,0
C39,C23,2005,10086.96,96.08,0,0,1591.96,1519.69,0
C32,C30,2005,445.1,299.43,0,0,1118.21,267.19,0
C08,C32,2005,123.07,1070.56,0,0,161.67,1118.21,0
C48,C05,2005,56.82,9826.46,0,0,6085.17,471.69,0
C48,C24,2005,104.5,2457.33,0,0,6085.17,408.51,0
C14,C29,2005,0.0,15170.44,0,0,247.45,245.1,0
C42,C25,2005,0.0,835.56,0,1,29.56,2394.14,0
C06,C45,2005,0.23,2325.46,0,0,92.47,16.75,0
C21,C32,2005,0.0,1175.93,0,0,843.45,1118.21,0
C05,C15,2005,7.11,3269.32,0,1,471.69,108.16,0
C08,C16,2005,2.09,1281.56,0,1,161.67,29.0,0
C30,C12,2005,133.38,933.37,0,0,267.19,3036.54,0
C06,C24,2005,0.0,2548.03,0,1,92.47,408.51,0
C37,C47,2005,264.42,1545.79,0,0,9055.82,357.31,0
C16,C24,2005,0.0,192.4,1,0,29.0,408.51,0
C03,C29,2005,0.0,418.21,0,0,897.06,245.1,0
C44,C24,2005,0.12,38682.4,0,0,149.71,408.51,0
C35,C30,2005,4.12,9916.27,0,0,1016.03,267.19,0
C06,C30,2005,33.0,517.35,1,0,92.47,267.19,0
C07,C34,2005,3.77,5461.31,0,1,445.17,130.24,0
C38,C16,2005,2.17,1670.68,0,0,157.46,29.0,0
C26,C17,2005,766.67,126.97,0,0,385.53,600.58,0
C18,C11,2005,14.91,3614.83,0,1,85.61,1374.79,0
C11,C19,2005,36.2,12385.61,0,0,1374.79,2729.11,0
C49,C19,2005,394.42,2278.85,0,0,3829.11,2729.11,0
C23,C09,2005,34.57,1200.44,0,0,1519.69,102.38,0
C02,C30,2005,0.0,1723.5,0,0,138.06,267.19,0
C37,C03,2005,300.33,2009.33,0,0,9055.82,897.06,0
C43,C49,2005,508.8,817.21,0,1,1181.97,3829.11,0
C04,C03,2005,0.0,4745.62,0,0,2613.38,897.06,0
C11,C13,2005,40.72,3350.17,0,0,1374.79,213.51,0
C06,C50,2005,0.0,3659.31,0,0,92.47,653.22,0
C41,C14,2005,8.43,5427.3,0,0,1021.18,247.45,0
C32,C05,2005,0.0,138.82,1,0,1118.21,471.69,0
C35,C24,2005,10.01,4823.04,0,0,1016.03,408.51,0
C04,C41,2005,0.0,3220.45,0,0,2613.38,1021.18,0
C33,C50,2005,17.29,4821.58,0,0,1105.52,653.22,0
C31,C47,2005,68.43,1544.27,0,1,1014.75,357.31,0
C09,C45,2005,2.79,1832.41,0,1,102.38,16.75,0
C19,C32,2005,893.0,804.45,1,0,2729.11,1118.21,0
C19,C35,2005,909.64,697.04,1,0,2729.11,1016.03,0
C06,C15,2005,0.66,2004.47,0,0,92.47,108.16,0
C48,C26,2005,18.48,6135.43,0,0,6085.17,385.53,0
C16,C11,2005,1.38,14960.44,0,0,29.0,1374.79,0
C46,C10,2005,69.19,3634.06,0,0,2200.04,1980.21,0
C43,C40,2005,0.79,10937.8,0,0,1181.97,31.04,0
C07,C17,2005,102.99,619.52,0,0,445.17,600.58,0
C22,C29,2005,9.78,6341.98,0,1,767.88,245.1,0
C20,C21,2005,11.43,1190.94,0,1,31.01,843.45,0
C42,C09,2005,0.99,2465.79,0,0,29.56,102.38,0
C42,C36,2005,1.82,4202.99,0,0,29.56,731.79,0
C49,C01,2005,18.98,1605.37,0,0,3829.11,76.12,0
C46,C11,2005,0.0,1301.64,0,0,2200.04,1374.79,0
C25,C50,2005,297.22,1533.97,0,1,2394.14,653.22,0
C17,C03,2005,29.88,4622.41,0,0,600.58,897.06,0
C27,C18,2005,1.41,4131.77,0,0,184.22,85.61,0
C40,C19,2005,42.66,785.33,1,0,31.04,2729.11,0
C34,C42,2005,1.77,2099.0,0,0,130.24,29.56,0
C31,C28,2005,0.0,673.84,0,1,1014.75,960.99,0
C14,C37,2005,0.0,1061.79,0,0,247.45,9055.82,0
C21,C35,2005,195.45,1539.25,0,1,843.45,1016.03,0
C12,C23,2005,2670.94,629.94,0,1,3036.54,1519.69,0
C08,C29,2005,21.94,928.89,0,0,161.67,245.1,0
C49,C48,2005,0.0,4632.68,0,0,3829.11,6085.17,0
C29,C13,2005,160.96,395.06,0,0,245.1,213.51,0
C16,C47,2005,23.69,367.92,1,0,29.0,357.31,0
C15,C18,2005,61.8,126.24,1,0,108.16,85.61,0
C35,C08,2005,152.97,391.07,1,0,1016.03,161.67,0
C03,C31,2005,0.0,15754.65,0,0,897.06,1014.75,0
C27,C06,2005,0.0,3738.92,0,0,184.22,92.47,0
C38,C14,2005,12.54,3134.19,0,0,157.46,247.45,0
C27,C25,2005,28.28,1259.79,0,0,184.22,2394.14,0
C35,C36,2005,48.47,5690.99,0,0,1016.03,731.79,1
C12,C33,2005,85.06,5492.53,0,1,3036.54,1105.52,0
C34,C46,2005,0.0,1385.14,0,0,130.24,2200.04,0
C47,C09,2005,2.18,6886.85,0,0,357.31,102.38,0
C19,C48,2005,0.0,1815.19,0,0,2729.11,6085.17,0
C42,C08,2005,1.22,1149.68,0,0,29.56,161.67,0
C39,C29,2005,87.98,1172.35,0,0,1591.96,245.1,0
C01,C17,2005,0.42,26571.56,0,0,76.12,600.58,0
C49,C14,2005,541.28,843.17,1,0,3829.11,247.45,0
C19,C49,2005,0.0,3893.48,0,0,2729.11,3829.11,0
C15,C08,2005,15.26,428.3,0,0,108.16,161.67,0
C33,C06,2005,19.54,2805.27,0,0,1105.52,92.47,0
C30,C20,2005,17.64,1071.9,0,0,267.19,31.01,0
C16,C35,2005,8.09,801.97,0,0,29.0,1016.03,0
C05,C16,2005,0.74,3800.59,0,1,471.69,29.0,0
C41,C43,2005,88.41,717.94,0,0,1021.18,1181.97,0
C47,C06,2005,0.8,12880.87,0,0,357.31,92.47,0
C19,C09,2005,38.9,936.17,1,0,2729.11,102.38,0
C12,C22,2005,662.05,465.24,1,0,3036.54,767.88,0
C33,C31,2005,352.39,319.69,0,0,1105.52,1014.75,0
C48,C19,2005,4912.3,882.09,1,1,6085.17,2729.11,0
C34,C33,2005,0.0,2677.19,0,1,130.24,1105.52,0
C47,C08,2005,10.05,3219.57,0,0,357.31,161.67,0
C29,C37,2005,24.04,8500.84,0,1,245.1,9055.82,0
C33,C42,2005,0.0,2951.43,0,0,1105.52,29.56,0
C12,C02,2005,848.64,329.59,0,1,3036.54,138.06,0
C44,C30,2005,0.0,10943.35,0,0,149.71,267.19,0
C20,C49,2005,50.64,408.29,0,0,31.01,3829.11,0
C16,C41,2005,0.0,1803.65,0,0,29.0,1021.18,0
C03,C09,2005,0.8,8498.63,0,0,897.06,102.38,0
C35,C34,2005,4.7,6200.64,0,0,1016.03,130.24,0
C40,C45,2005,0.0,19270.13,0,1,31.04,16.75,0
C01,C34,2005,1.27,3450.51,0,0,76.12,130.24,0
C15,C44,2005,8.99,346.25,0,0,108.16,149.71,0
C33,C25,2005,270.52,1536.57,0,0,1105.52,2394.14,0
C03,C27,2005,5.14,3445.27,0,0,897.06,184.22,0
C42,C05,2005,3.8,1633.37,0,0,29.56,471.69,0
C04,C45,2005,3.29,4224.47,0,0,2613.38,16.75,0
C33,C17,2005,7.33,14389.73,0,0,1105.52,600.58,0
C20,C32,2005,0.0,86.85,1,0,31.01,1118.21,0
C49,C23,2005,989.19,1396.01,0,0,3829.11,1519.69,0
C23,C21,2005,0.0,2943.14,0,0,1519.69,843.45,0
C10,C42,2005,6.59,3599.08,0,0,1980.21,29.56,0
C35,C23,2005,294.72,1397.85,0,0,1016.03,1519.69,0
C23,C20,2005,0.82,4192.42,0,0,1519.69,31.01,0
C33,C34,2005,20.11,2075.83,0,0,1105.52,130.24,0
C23,C15,2005,13.21,4547.69,0,0,1519.69,108.16,0
C46,C22,2005,0.0,220.16,1,0,2200.04,767.88,0
C01,C11,2005,0.0,878.23,0,0,76.12,1374.79,0
C45,C09,2005,1.03,1413.95,0,0,16.75,102.38,0
C30,C13,2005,5.2,2322.93,0,0,267.19,213.51,0
C49,C16,2005,291.12,364.18,0,1,3829.11,29.0,0
C16,C28,2005,3.37,7414.41,0,1,29.0,960.99,0
C32,C02,2005,7.71,3766.98,0,0,1118.21,138.06,0
C31,C02,2005,16.75,1457.76,0,0,1014.75,138.06,0
C19,C01,2005,149.47,892.2,1,0,2729.11,76.12,0
C28,C25,2005,0.0,12687.73,0,0,960.99,2394.14,0
C18,C39,2005,4.31,4633.89,0,0,85.61,1591.96,0
C47,C42,2005,4.42,1238.97,0,0,357.31,29.56,0
C36,C43,2005,107.55,2496.89,0,0,731.79,1181.97,0
C15,C11,2005,47.17,1290.77,0,1,108.16,1374.79,0
C14,C38,2005,4.5,2720.11,0,0,247.45,157.46,0
C38,C22,2005,3.23,8589.66,0,0,157.46,767.88,0
C45,C28,2005,0.87,8514.33,0,0,16.75,960.99,0
C25,C24,2005,0.0,1403.28,0,1,2394.14,408.51,0
C45,C12,2005,0.0,2087.71,0,1,16.75,3036.54,0
C21,C50,2005,50.23,881.61,0,0,843.45,653.22,0
C11,C09,2005,107.41,399.23,0,0,1374.79,102.38,0
C09,C06,2005,1.08,2363.46,0,0,102.38,92.47,0
C39,C10,2005,241.2,1701.83,0,0,1591.96,1980.21,0
C44,C33,2005,250.59,386.99,1,0,149.71,1105.52,0
C06,C48,2005,46.53,2488.58,0,0,92.47,6085.17,1
C39,C05,2005,362.79,880.78,0,0,1591.96,471.69,0
C26,C01,2005,6.17,1139.44,0,0,385.53,76.12,0
C21,C11,2005,1.33,33401.54,0,0,843.45,1374.79,0
C20,C33,2005,0.0,1449.91,0,1,31.01,1105.52,0
C01,C24,2005,0.0,912.84,0,0,76.12,408.51,0
C17,C39,2005,0.0,6602.59,0,0,600.58,1591.96,0
C22,C07,2005,64.56,1490.63,0,0,767.88,445.17,0
C22,C38,2005,15.65,2107.12,0,0,767.88,157.46,0
C25,C16,2005,46.94,1271.97,0,1,2394.14,29.0,0
C19,C11,2005,478.83,2264.65,0,0,2729.11,1374.79,0
C49,C27,2005,0.0,1276.44,0,0,3829.11,184.22,0
C30,C41,2005,0.0,973.2,0,0,267.19,1021.18,0
C09,C14,2005,7.3,1187.21,0,0,102.38,247.45,0
C17,C42,2005,0.34,35341.58,0,0,600.58,29.56,0
C18,C50,2005,19.23,826.23,1,0,85.61,653.22,0
C13,C33,2005,0.0,353.13,1,1,213.51,1105.52,0
C03,C01,2005,3.18,4925.8,0,0,897.06,76.12,0
C07,C16,2005,1.18,3404.97,0,0,445.17,29.0,0
C19,C10,2005,0.0,3178.56,0,0,2729.11,1980.21,0
C36,C11,2005,2465.23,51.28,0,0,731.79,1374.79,0
C05,C36,2005,76.92,1346.75,0,0,471.69,731.79,0
C40,C03,2005,4.49,2142.13,0,0,31.04,897.06,0
C27,C16,2005,56.35,225.32,1,0,184.22,29.0,0
C13,C41,2005,43.4,1767.46,0,0,213.51,1021.18,0
C45,C30,2005,0.0,869.86,1,0,16.75,267.19,0
C11,C43,2005,291.22,1640.8,0,0,1374.79,1181.97,0
C31,C16,2005,11.67,1053.53,0,0,1014.75,29.0,0
C28,C47,2005,0.0,1807.17,0,0,960.99,357.31,0
C17,C48,2005,58.03,2772.27,0,0,600.58,6085.17,0
C38,C04,2005,0.0,370.21,1,0,157.46,2613.38,0
C44,C13,2005,23.76,1071.53,0,0,149.71,213.51,0
C35,C11,2005,283.49,449.97,0,0,1016.03,1374.79,0
C07,C30,2005,323.39,336.25,1,0,445.17,267.19,0
C09,C07,2005,11.32,2990.01,0,0,102.38,445.17,0
C36,C49,2005,64.98,3414.37,0,0,731.79,3829.11,0
C20,C25,2005,0.1,53183.82,0,0,31.01,2394.14,0
C50,C13,2005,0.0,1262.98,0,0,653.22,213.51,0
C46,C39,2005,959.66,943.87,1,1,2200.04,1591.96,0
C28,C40,2005,28.77,668.94,0,0,960.99,31.04,0
C05,C42,2005,0.74,6353.61,0,0,471.69,29.56,0
C27,C33,2005,168.36,730.13,0,1,184.22,1105.52,0
C26,C30,2005,0.0,20845.28,0,0,385.53,267.19,0
C10,C35,2005,0.0,1594.6,0,0,1980.21,1016.03,0
C26,C28,2005,0.0,508.5,0,0,385.53,960.99,0
C11,C45,2005,0.0,209.33,1,0,1374.79,16.75,0
C41,C30,2005,0.0,1348.38,0,1,1021.18,267.19,0
C43,C05,2005,50.35,5589.77,0,0,1181.97,471.69,0
C27,C24,2005,65.09,384.32,0,0,184.22,408.51,0
C34,C30,2005,94.59,221.75,1,0,130.24,267.19,0
C10,C29,2005,246.02,1919.18,0,0,1980.21,245.1,1
C28,C50,2005,12.0,6449.88,0,0,960.99,653.22,0
C45,C50,2005,0.0,5107.32,0,1,16.75,653.22,0
C34,C45,2005,0.92,1711.88,0,1,130.24,16.75,0
C02,C06,2005,0.24,10957.48,0,1,138.06,92.47,0
C20,C36,2005,22.84,884.24,0,0,31.01,731.79,0
C02,C44,2005,0.26,30096.06,0,1,138.06,149.71,0
C43,C44,2005,12.04,10418.56,0,0,1181.97,149.71,0
C16,C42,2005,0.16,4770.5,0,0,29.0,29.56,0
C49,C28,2005,0.0,2178.39,0,1,3829.11,960.99,0
C36,C25,2005,0.0,463.76,1,0,731.79,2394.14,0
C30,C46,2005,81.26,2218.45,0,1,267.19,2200.04,0
C31,C18,2005,282.09,279.82,0,0,1014.75,85.61,0
C25,C48,2005,0.0,3282.7,0,0,2394.14,6085.17,0
C47,C07,2005,3.61,13220.69,0,0,357.31,445.17,0
C42,C33,2005,1.76,7242.28,0,0,29.56,1105.52,0
C24,C36,2005,0.0,10851.5,0,0,408.51,731.79,0
C08,C17,2005,80.98,539.35,0,0,161.67,600.58,0
C26,C27,2005,0.0,3090.97,0,0,385.53,184.22,0
C18,C38,2005,6.52,1537.14,0,0,85.61,157.46,0
C19,C31,2005,0.0,1296.84,0,1,2729.11,1014.75,0
C21,C26,2005,38.33,1342.02,0,0,843.45,385.53,0
C44,C37,2005,21.67,3645.48,0,0,149.71,9055.82,0
C45,C37,2005,0.0,442.87,0,0,16.75,9055.82,0
C38,C46,2005,47.5,945.02,0,0,157.46,2200.04,0
C20,C02,2005,0.48,2843.78,0,0,31.01,138.06,0
C19,C03,2005,622.35,1000.84,0,0,2729.11,897.06,0
C48,C18,2005,127.61,2053.16,0,0,6085.17,85.61,0
C05,C20,2005,0.5,9904.13,0,0,471.69,31.01,0
C46,C17,2005,28.78,3818.4,0,0,2200.04,600.58,1
C46,C14,2005,172.71,964.53,0,0,2200.04,247.45,0
C43,C48,2005,0.0,3852.53,0,0,1181.97,6085.17,0
C37,C15,2005,2648.53,300.07,0,0,9055.82,108.16,0
C24,C30,2005,18.24,1914.49,0,1,408.51,267.19,0
C19,C39,2005,1764.04,593.14,1,0,2729.11,1591.96,0
C09,C27,2005,0.0,13449.27,0,0,102.38,184.22,0
C21,C39,2005,337.46,842.75,0,0,843.45,1591.96,0
C14,C09,2005,0.0,2788.99,0,0,247.45,102.38,0
C44,C31,2005,0.0,2547.05,0,0,149.71,1014.75,0
C19,C05,2005,22.04,9199.59,0,0,2729.11,471.69,0
C47,C34,2005,54.29,328.73,0,0,357.31,130.24,0
C37,C36,2005,95.4,3184.07,0,0,9055.82,731.79,0
C47,C11,2005,81.41,2316.54,0,0,357.31,1374.79,0
C33,C21,2005,201.44,1534.23,0,0,1105.52,843.45,0
C39,C03,2005,0.0,282.56,1,1,1591.96,897.06,0
C38,C28,2005,55.27,1354.3,0,0,157.46,960.99,0
C10,C45,2005,4.36,3901.43,0,0,1980.21,16.75,0
C29,C06,2005,3.31,1277.46,0,0,245.1,92.47,0
C38,C42,2005,3.62,1737.75,0,1,157.46,29.56,0
C40,C50,2005,0.09,32012.47,0,0,31.04,653.22,0
C25,C37,2005,0.0,1922.07,0,0,2394.14,9055.82,0
C50,C25,2005,303.63,959.3,0,1,653.22,2394.14,0
C08,C34,2005,2.57,1889.31,0,0,161.67,130.24,0
C41,C15,2005,17.99,1197.48,0,0,1021.18,108.16,0
C49,C17,2005,96.15,2734.16,0,0,3829.11,600.58,0
C44,C32,2005,355.62,409.08,0,1,149.71,1118.21,0
C30,C16,2005,8.15,704.7,0,1,267.19,29.0,0
C49,C43,2005,0.0,3557.48,0,1,3829.11,1181.97,0
C08,C15,2005,0.0,1234.94,0,0,161.67,108.16,0
C03,C40,2005,3.72,2748.1,0,1,897.06,31.04,0
C31,C25,2005,0.0,1421.96,0,0,1014.75,2394.14,0
C09,C37,2005,0.0,109.29,0,1,102.38,9055.82,0
C46,C18,2005,26.11,3247.51,0,0,2200.04,85.61,0
C23,C31,2005,92.79,1510.24,0,0,1519.69,1014.75,0
C46,C38,2005,89.95,1600.3,0,0,2200.04,157.46,0
C02,C36,2005,19.99,2077.04,0,0,138.06,731.79,0
C04,C25,2005,132.69,5026.1,0,0,2613.38,2394.14,0
C01,C30,2005,0.0,3992.33,0,0,76.12,267.19,0
C22,C12,2005,1.2,54490.66,0,0,767.88,3036.54,0
C07,C47,2005,0.51,105919.99,0,0,445.17,357.31,0
C44,C21,2005,48.64,789.24,0,0,149.71,843.45,0
C39,C41,2005,18.84,7133.13,0,0,1591.96,1021.18,0
C30,C48,2005,175.22,1420.98,0,0,267.19,6085.17,0
C11,C20,2005,0.86,16792.39,0,0,1374.79,31.01,0
C29,C09,2005,8.64,1772.16,0,0,245.1,102.38,0
C13,C38,2005,11.8,1326.16,0,0,213.51,157.46,0
C10,C32,2005,0.0,2354.25,0,0,1980.21,1118.21,0
C08,C22,2005,22.08,3281.42,0,0,161.67,767.88,0
C37,C19,2005,218.55,15330.19,0,0,9055.82,2729.11,0
C50,C26,2005,76.92,1012.14,0,0,653.22,385.53,0
C08,C46,2005,172.28,665.29,0,0,161.67,2200.04,0
C50,C42,2005,1.84,3507.8,0,1,653.22,29.56,0
C04,C37,2005,1638.14,1242.94,0,0,2613.38,9055.82,0
C37,C29,2005,1653.75,710.71,1,1,9055.82,245.1,0
C15,C01,2005,0.0,467.95,0,1,108.16,76.12,0
C50,C33,2005,0.0,2004.9,0,0,653.22,1105.52,0
C01,C50,2005,54.84,766.61,1,0,76.12,653.22,1
C02,C12,2005,0.0,752.74,1,0,138.06,3036.54,0
C42,C35,2005,0.0,7848.47,0,0,29.56,1016.03,0
C47,C21,2005,1.62,13487.91,0,0,357.31,843.45,0
C42,C02,2005,1.13,2358.8,0,0,29.56,138.06,0
C26,C39,2005,50.43,1308.25,0,0,385.53,1591.96,0
C17,C05,2005,1042.61,234.47,1,0,600.58,471.69,0
C34,C41,2005,21.27,839.91,0,0,130.24,1021.18,0
C28,C45,2005,0.0,1490.74,0,0,960.99,16.75,0
C40,C08,2005,13.13,403.89,0,0,31.04,161.67,0
C38,C41,2005,172.75,528.13,1,0,157.46,1021.18,0
C32,C29,2005,0.0,2342.42,0,1,1118.21,245.1,0
C46,C28,2005,118.19,1138.27,0,0,2200.04,960.99,0
C01,C08,2005,5.19,422.13,0,0,76.12,161.67,0
C27,C31,2005,12.27,3487.86,0,1,184.22,1014.75,0
C34,C37,2005,33.07,11377.64,0,1,130.24,9055.82,0
C33,C29,2005,164.16,1195.67,0,1,1105.52,245.1,0
C35,C46,2005,183.44,2641.82,0,0,1016.03,2200.04,0
C42,C41,2005,0.0,3997.99,0,0,29.56,1021.18,0
C49,C37,2005,6661.21,1074.83,0,1,3829.11,9055.82,0
C26,C20,2005,0.26,8052.97,0,0,385.53,31.01,0
C40,C44,2005,0.0,6615.14,0,0,31.04,149.71,0
C22,C01,2005,3.69,6154.3,0,0,767.88,76.12,0
C41,C13,2005,685.6,218.64,1,0,1021.18,213.51,0
C04,C38,2005,23.51,1869.05,0,0,2613.38,157.46,0
C46,C32,2005,357.8,1998.71,0,1,2200.04,1118.21,0
C19,C42,2005,4.52,5706.34,0,0,2729.11,29.56,0
C23,C10,2005,0.0,1889.75,0,0,1519.69,1980.21,0
C14,C31,2005,0.0,553.48,0,0,247.45,1014.75,0
C08,C27,2005,1.36,4750.04,0,0,161.67,184.22,0
C24,C04,2005,246.65,1504.04,0,0,408.51,2613.38,0
C47,C03,2005,111.19,1293.05,0,0,357.31,897.06,0
C22,C08,2005,90.54,850.18,1,0,767.88,161.67,0
C36,C35,2005,10.65,17825.29,0,0,731.79,1016.03,0
C29,C12,2005,0.0,4875.15,0,0,245.1,3036.54,0
C07,C28,2005,20.38,3403.61,0,0,445.17,960.99,0
C22,C41,2005,57.44,2999.42,0,0,767.88,1021.18,0
C37,C04,2005,374.78,3952.06,0,0,9055.82,2613.38,0
C28,C38,2005,0.0,2649.5,0,0,960.99,157.46,0
C12,C50,2005,48.75,3118.14,0,0,3036.54,653.22,0
C10,C08,2005,24.21,3091.54,0,1,1980.21,161.67,0
C16,C22,2005,0.07,22902.44,0,0,29.0,767.88,0
C25,C09,2005,28.71,3726.83,0,0,2394.14,102.38,0
C50,C47,2005,19.77,3594.6,0,0,653.22,357.31,0
C48,C20,2005,19.95,3195.42,0,0,6085.17,31.01,0
C42,C06,2005,0.08,10190.67,0,0,29.56,92.47,0
C04,C01,2005,84.76,956.77,0,0,2613.38,76.12,0
C43,C34,2005,1.5,9486.31,0,0,1181.97,130.24,0
C45,C23,2005,0.36,4060.91,0,0,16.75,1519.69,0
C48,C33,2005,638.45,1224.63,0,0,6085.17,1105.52,0
C13,C46,2005,0.0,7745.62,0,0,213.51,2200.04,0
C44,C26,2005,2.7,7486.66,0,0,149.71,385.53,0
C05,C30,2005,2.32,9736.86,0,0,471.69,267.19,0
C10,C34,2005,0.0,336.9,0,0,1980.21,130.24,0
C14,C11,2005,92.05,1145.72,0,0,247.45,1374.79,0
C36,C16,2005,41.38,824.73,1,0,731.79,29.0,0
C47,C24,2005,5.64,6287.18,0,0,357.31,408.51,0
C27,C43,2005,268.84,623.05,1,0,184.22,1181.97,0
C49,C02,2005,287.56,412.98,0,0,3829.11,138.06,0
C02,C40,2005,9.03,336.41,0,0,138.06,31.04,0
C26,C10,2005,0.0,3636.75,0,0,385.53,1980.21,0
C07,C04,2005,0.0,1059.22,0,1,445.17,2613.38,0
C31,C48,2005,104.8,2246.23,0,0,1014.75,6085.17,0
C41,C45,2005,1.87,5277.28,0,0,1021.18,16.75,0
C29,C39,2005,617.56,315.33,0,1,245.1,1591.96,0
C17,C34,2005,32.99,567.62,0,0,600.58,130.24,0
C38,C15,2005,0.0,8518.35,0,1,157.46,108.16,0
C14,C28,2005,238.16,359.81,0,0,247.45,960.99,0
C20,C17,2005,0.39,10367.17,0,1,31.01,600.58,0
C26,C18,2005,139.31,213.75,1,1,385.53,85.61,0
C02,C39,2005,0.0,18109.69,0,0,138.06,1591.96,0
C21,C37,2005,657.46,2079.43,0,0,843.45,9055.82,0
C43,C41,2005,70.72,1582.35,0,0,1181.97,1021.18,0
C05,C26,2005,13.35,2522.12,0,0,471.69,385.53,0
C43,C02,2005,15.37,2621.53,0,0,1181.97,138.06,0
C43,C39,2005,6.94,22418.16,0,0,1181.97,1591.96,0
C18,C43,2005,1.66,8309.35,0,0,85.61,1181.97,0
C20,C15,2005,0.19,6718.47,0,1,31.01,108.16,0
C30,C45,2005,13.67,261.39,1,0,267.19,16.75,0
C29,C10,2005,26.46,1362.65,0,0,245.1,1980.21,0
C17,C29,2005,110.89,450.13,1,0,600.58,245.1,0
