id,year,employed,age,educ,kids,married,exper,husbinc
24,2007,0,47.0,14.5,0,0,25.1,0.0
24,2008,0,48.0,14.5,0,0,25.9,0.0
24,2009,0,49.0,14.5,1,0,26.7,0.0
25,2000,0,29.0,8.0,1,0,17.0,0.0
25,2001,0,30.0,8.0,0,0,17.8,0.0
25,2002,0,31.0,8.0,0,0,18.6,0.0
25,2003,0,32.0,8.0,1,0,19.4,0.0
25,2004,0,33.0,8.0,0,0,20.2,0.0
25,2005,1,34.0,8.0,2,0,21.0,0.0
25,2006,0,35.0,8.0,2,0,21.8,0.0
25,2007,0,36.0,8.0,2,0,22.6,0.0
25,2008,0,37.0,8.0,0,0,23.4,0.0
25,2009,0,38.0,8.0,0,0,24.2,0.0
26,2000,0,38.0,9.3,0,1,22.7,3.67
26,2001,0,39.0,9.3,0,1,23.5,2.2
26,2002,1,40.0,9.3,0,1,24.3,4.67
26,2003,0,41.0,9.3,2,1,25.1,3.68
26,2004,0,42.0,9.3,0,1,25.9,5.69
26,2005,0,43.0,9.3,0,1,26.7,5.15
26,2006,0,44.0,9.3,2,1,27.5,5.09
26,2007,0,45.0,9.3,1,0,28.3,0.0
26,2008,0,46.0,9.3,1,1,29.1,1.93
26,2009,0,47.0,9.3,0,1,29.9,6.52
27,2000,0,32.0,15.7,0,0,9.3,0.0
27,2001,0,33.0,15.7,2,0,10.1,0.0
27,2002,0,34.0,15.7,2,0,10.9,0.0
27,2003,1,35.0,15.7,0,0,11.7,0.0
27,2004,1,36.0,15.7,0,0,12.5,0.0
27,2005,0,37.0,15.7,4,0,13.3,0.0
27,2006,0,38.0,15.7,1,0,14.1,0.0
27,2007,0,39.0,15.7,1,0,14.9,0.0
27,2008,0,40.0,15.7,0,0,15.7,0.0
27,2009,0,41.0,15.7,2,0,16.5,0.0
28,2000,1,39.0,16.3,0,0,19.7,0.0
28,2001,1,40.0,16.3,0,0,20.5,0.0
28,2002,0,41.0,16.3,0,0,21.3,0.0
28,2003,1,42.0,16.3,1,0,22.1,0.0
28,2004,1,43.0,16.3,2,0,22.9,0.0
28,2005,1,44.0,16.3,0,0,23.7,0.0
28,2006,1,45.0,16.3,0,0,24.5,0.0
28,2007,0,46.0,16.3,0,0,25.3,0.0
28,2008,1,47.0,16.3,0,0,26.1,0.0
28,2009,1,48.0,16.3,4,0,26.9,0.0
29,2000,0,31.0,14.4,0,0,10.6,0.0
29,2001,0,32.0,14.4,0,0,11.4,0.0
29,2002,0,33.0,14.4,1,0,12.2,0.0
29,2003,0,34.0,14.4,1,0,13.0,0.0
29,2004,1,35.0,14.4,1,0,13.8,0.0
29,2005,0,36.0,14.4,1,0,14.6,0.0
29,2006,0,37.0,14.4,3,0,15.4,0.0
29,2007,0,38.0,14.4,1,0,16.2,0.0
29,2008,1,39.0,14.4,0,1,17.0,0.0
29,2009,1,40.0,14.4,1,0,17.8,0.0
30,2000,1,39.0,15.5,0,1,17.5,34.72
30,2001,1,40.0,15.5,0,1,18.3,35.71
30,2002,0,41.0,15.5,0,1,19.1,37.51
30,2003,1,42.0,15.5,1,1,19.9,35.98
30,2004,0,43.0,15.5,2,0,20.7,0.0
30,2005,0,44.0,15.5,0,1,21.5,41.12
30,2006,0,45.0,15.5,2,1,22.3,38.0
30,2007,0,46.0,15.5,3,1,23.1,37.63
30,2008,0,47.0,15.5,0,1,23.9,37.31
30,2009,0,48.0,15.5,3,1,24.7,40.41
31,2000,0,40.0,13.3,0,1,23.7,12.47
31,2001,0,41.0,13.3,3,1,24.5,14.72
31,2002,0,42.0,13.3,0,1,25.3,16.96
31,2003,0,43.0,13.3,0,1,26.1,14.81
31,2004,0,44.0,13.3,0,1,26.9,16.47
31,2005,0,45.0,13.3,1,1,27.7,16.04
31,2006,0,46.0,13.3,0,1,28.5,20.6
31,2007,1,47.0,13.3,0,1,29.3,14.2
31,2008,1,48.0,13.3,0,1,30.1,16.33
31,2009,0,49.0,13.3,1,1,30.9,16.97
32,2000,1,28.0,14.5,1,0,9.5,0.0
32,2001,1,29.0,14.5,1,0,10.3,0.0
32,2002,1,30.0,14.5,0,0,11.1,0.0
32,2003,1,31.0,14.5,1,0,11.9,0.0
32,2004,1,32.0,14.5,0,1,12.7,0.39
32,2005,1,33.0,14.5,1,0,13.5,0.0
32,2006,1,34.0,14.5,1,0,14.3,0.0
32,2007,1,35.0,14.5,1,0,15.1,0.0
32,2008,1,36.0,14.5,1,1,15.9,0.0
32,2009,1,37.0,14.5,0,0,16.7,0.0
33,2000,1,33.0,11.2,0,0,13.8,0.0
33,2001,1,34.0,11.2,1,0,14.6,0.0
33,2002,1,35.0,11.2,1,0,15.4,0.0
33,2003,0,36.0,11.2,1,0,16.2,0.0
33,2004,0,37.0,11.2,1,0,17.0,0.0
33,2005,1,38.0,11.2,0,1,17.8,0.21
33,2006,1,39.0,11.2,3,0,18.6,0.0
33,2007,1,40.0,11.2,2,1,19.4,2.28
33,2008,0,41.0,11.2,1,0,20.2,0.0
33,2009,1,42.0,11.2,0,0,21.0,0.0
34,2000,0,41.0,9.7,0,0,24.3,0.0
34,2001,0,42.0,9.7,3,0,25.1,0.0
34,2002,0,43.0,9.7,0,0,25.9,0.0
34,2003,0,44.0,9.7,0,1,26.7,0.13
34,2004,1,45.0,9.7,0,0,27.5,0.0
34,2005,1,46.0,9.7,1,0,28.3,0.0
34,2006,0,47.0,9.7,2,0,29.1,0.0
34,2007,0,48.0,9.7,1,0,29.9,0.0
34,2008,0,49.0,9.7,0,0,30.7,0.0
34,2009,1,50.0,9.7,0,0,31.5,0.0
35,2000,0,27.0,16.8,1,1,4.2,25.54
35,2001,0,28.0,16.8,0,1,5.0,29.3
35,2002,0,29.0,16.8,0,1,5.8,29.75
35,2003,1,30.0,16.8,0,1,6.6,28.78
35,2004,1,31.0,16.8,2,1,7.4,30.04
35,2005,1,32.0,16.8,0,1,8.2,29.07
35,2006,0,33.0,16.8,0,1,9.0,30.95
35,2007,1,34.0,16.8,0,1,9.8,32.94
35,2008,1,35.0,16.8,1,1,10.6,34.44
35,2009,1,36.0,16.8,1,1,11.4,34.2
36,2000,0,23.0,10.1,2,0,9.9,0.0
36,2001,0,24.0,10.1,2,0,10.7,0.0
36,2002,0,25.0,10.1,1,0,11.5,0.0
36,2003,0,26.0,10.1,0,0,12.3,0.0
36,2004,1,27.0,10.1,1,0,13.1,0.0
36,2005,0,28.0,10.1,1,1,13.9,0.33
36,2006,0,29.0,10.1,1,0,14.7,0.0
36,2007,0,30.0,10.1,1,0,15.5,0.0
36,2008,0,31.0,10.1,4,0,16.3,0.0
36,2009,0,32.0,10.1,3,0,17.1,0.0
37,2000,0,23.0,14.4,2,1,3.6,6.86
37,2001,0,24.0,14.4,0,1,4.4,7.46
37,2002,1,25.0,14.4,0,1,5.2,7.56
37,2003,1,26.0,14.4,0,0,6.0,0.0
37,2004,1,27.0,14.4,1,1,6.8,9.44
37,2005,0,28.0,14.4,1,1,7.6,7.12
37,2006,1,29.0,14.4,2,1,8.4,9.25
37,2007,0,30.0,14.4,2,1,9.2,7.71
37,2008,1,31.0,14.4,1,1,10.0,5.9
37,2009,0,32.0,14.4,2,1,10.8,9.24
38,2000,0,25.0,12.3,1,1,8.7,23.3
38,2001,0,26.0,12.3,0,0,9.5,0.0
38,2002,0,27.0,12.3,1,1,10.3,22.7
38,2003,0,28.0,12.3,1,1,11.1,22.28
38,2004,0,29.0,12.3,0,1,11.9,22.91
38,2005,0,30.0,12.3,1,1,12.7,24.73
38,2006,0,31.0,12.3,0,0,13.5,0.0
38,2007,0,32.0,12.3,0,1,14.3,25.77
38,2008,0,33.0,12.3,1,1,15.1,26.96
38,2009,0,34.0,12.3,0,1,15.9,28.54
39,2000,0,25.0,15.0,0,0,2.0,0.0
39,2001,0,26.0,15.0,2,0,2.8,0.0
39,2002,0,27.0,15.0,2,1,3.6,0.0
39,2003,0,28.0,15.0,0,0,4.4,0.0
39,2004,0,29.0,15.0,1,0,5.2,0.0
39,2005,0,30.0,15.0,2,0,6.0,0.0
39,2006,0,31.0,15.0,0,0,6.8,0.0
39,2007,1,32.0,15.0,0,0,7.6,0.0
39,2008,0,33.0,15.0,0,0,8.4,0.0
39,2009,0,34.0,15.0,2,0,9.2,0.0
40,2000,1,37.0,8.0,0,0,26.0,0.0
40,2001,1,38.0,8.0,1,0,26.8,0.0
40,2002,1,39.0,8.0,1,0,27.6,0.0
40,2003,0,40.0,8.0,0,0,28.4,0.0
40,2004,0,41.0,8.0,0,0,29.2,0.0
40,2005,1,42.0,8.0,0,0,30.0,0.0
40,2006,0,43.0,8.0,0,0,30.8,0.0
40,2007,1,44.0,8.0,0,0,31.6,0.0
40,2008,1,45.0,8.0,1,0,32.4,0.0
40,2009,1,46.0,8.0,1,0,33.2,0.0
41,2000,1,41.0,11.8,0,1,21.2,5.6
41,2001,0,42.0,11.8,0,1,22.0,7.77
41,2002,0,43.0,11.8,2,1,22.8,9.72
41,2003,0,44.0,11.8,1,1,23.6,7.97
41,2004,1,45.0,11.8,0,1,24.4,10.66
41,2005,1,46.0,11.8,0,1,25.2,7.34
41,2006,1,47.0,11.8,1,1,26.0,10.89
41,2007,1,48.0,11.8,0,1,26.8,8.45
41,2008,0,49.0,11.8,1,0,27.6,0.0
41,2009,0,50.0,11.8,2,1,28.4,10.7
42,2000,1,33.0,14.0,2,1,13.0,14.32
42,2001,0,34.0,14.0,1,1,13.8,10.74
42,2002,0,35.0,14.0,1,1,14.6,14.41
42,2003,0,36.0,14.0,1,1,15.4,14.17
42,2004,0,37.0,14.0,1,1,16.2,13.57
42,2005,1,38.0,14.0,1,1,17.0,12.66
42,2006,1,39.0,14.0,1,1,17.8,14.85
42,2007,1,40.0,14.0,0,1,18.6,17.21
42,2008,1,41.0,14.0,1,1,19.4,12.54
42,2009,0,42.0,14.0,2,1,20.2,15.64
43,2000,0,22.0,14.0,1,0,4.0,0.0
43,2001,1,23.0,14.0,0,0,4.8,0.0
43,2002,1,24.0,14.0,1,0,5.6,0.0
43,2003,0,25.0,14.0,0,0,6.4,0.0
43,2004,1,26.0,14.0,0,0,7.2,0.0
43,2005,1,27.0,14.0,3,0,8.0,0.0
43,2006,1,28.0,14.0,0,0,8.8,0.0
43,2007,0,29.0,14.0,1,0,9.6,0.0
43,2008,0,30.0,14.0,3,0,10.4,0.0
43,2009,0,31.0,14.0,1,0,11.2,0.0
44,2000,0,22.0,11.0,0,1,6.0,16.3
44,2001,0,23.0,11.0,0,1,6.8,17.59
44,2002,0,24.0,11.0,2,1,7.6,13.43
44,2003,0,25.0,11.0,0,1,8.4,18.57
44,2004,0,26.0,11.0,2,1,9.2,16.14
44,2005,0,27.0,11.0,1,1,10.0,18.49
44,2006,0,28.0,11.0,2,1,10.8,16.63
44,2007,0,29.0,11.0,3,1,11.6,16.89
44,2008,1,30.0,11.0,2,1,12.4,18.09
44,2009,1,31.0,11.0,0,0,13.2,0.0
45,2000,0,36.0,9.7,2,0,20.3,0.0
45,2001,0,37.0,9.7,1,0,21.1,0.0
45,2002,0,38.0,9.7,2,0,21.9,0.0
45,2003,0,39.0,9.7,0,0,22.7,0.0
45,2004,0,40.0,9.7,0,0,23.5,0.0
45,2005,0,41.0,9.7,0,0,24.3,0.0
45,2006,0,42.0,9.7,0,0,25.1,0.0
45,2007,0,43.0,9.7,1,0,25.9,0.0
45,2008,0,44.0,9.7,0,0,26.7,0.0
45,2009,0,45.0,9.7,1,0,27.5,0.0
46,2000,0,28.0,9.5,0,1,15.5,11.3
46,2001,0,29.0,9.5,1,1,16.3,11.52
46,2002,0,30.0,9.5,0,1,17.1,13.55
46,2003,0,31.0,9.5,1,1,17.9,11.22
46,2004,0,32.0,9.5,3,1,18.7,12.57
46,2005,0,33.0,9.5,1,1,19.5,13.63
46,2006,0,34.0,9.5,1,1,20.3,12.5
46,2007,0,35.0,9.5,2,1,21.1,12.2
46,2008,0,36.0,9.5,1,0,21.9,0.0
46,2009,0,37.0,9.5,0,1,22.7,14.8
47,2000,1,33.0,8.6,0,1,20.4,30.95
47,2001,1,34.0,8.6,0,1,21.2,33.15
47,2002,1,35.0,8.6,0,1,22.0,34.65
47,2003,0,36.0,8.6,0,1,22.8,36.72
47,2004,0,37.0,8.6,2,1,23.6,35.55
47,2005,0,38.0,8.6,1,1,24.4,34.2
47,2006,1,39.0,8.6,0,1,25.2,37.0
47,2007,0,40.0,8.6,0,1,26.0,37.27
47,2008,0,41.0,8.6,0,1,26.8,37.38
47,2009,1,42.0,8.6,0,1,27.6,34.36
48,2000,1,41.0,15.2,0,1,20.8,13.42
48,2001,1,42.0,15.2,0,1,21.6,14.3
48,2002,0,43.0,15.2,1,1,22.4,15.01
48,2003,1,44.0,15.2,0,1,23.2,14.88
48,2004,1,45.0,15.2,1,1,24.0,15.83
48,2005,1,46.0,15.2,0,0,24.8,0.0
48,2006,1,47.0,15.2,1,1,25.6,13.94
48,2007,1,48.0,15.2,0,1,26.4,13.87
48,2008,1,49.0,15.2,1,0,27.2,0.0
48,2009,1,50.0,15.2,2,1,28.0,13.59
49,2000,0,36.0,10.2,0,1,20.8,19.42
49,2001,0,37.0,10.2,1,1,21.6,19.53
49,2002,0,38.0,10.2,0,1,22.4,21.25
49,2003,1,39.0,10.2,0,1,23.2,20.44
49,2004,0,40.0,10.2,1,1,24.0,19.79
49,2005,1,41.0,10.2,1,1,24.8,19.09
49,2006,0,42.0,10.2,0,1,25.6,20.04
49,2007,0,43.0,10.2,1,1,26.4,23.0
49,2008,1,44.0,10.2,1,1,27.2,24.8
49,2009,1,45.0,10.2,0,1,28.0,21.96
50,2000,0,27.0,13.3,1,0,7.7,0.0
50,2001,0,28.0,13.3,1,0,8.5,0.0
50,2002,0,29.0,13.3,1,0,9.3,0.0
50,2003,0,30.0,13.3,0,0,10.1,0.0
50,2004,0,31.0,13.3,0,0,10.9,0.0
50,2005,0,32.0,13.3,1,0,11.7,0.0
50,2006,0,33.0,13.3,1,0,12.5,0.0
50,2007,0,34.0,13.3,1,0,13.3,0.0
50,2008,0,35.0,13.3,3,0,14.1,0.0
50,2009,0,36.0,13.3,2,0,14.9,0.0
51,2000,0,23.0,10.6,1,1,4.4,9.26
51,2001,1,24.0,10.6,0,1,5.2,4.65
51,2002,1,25.0,10.6,0,1,6.0,6.13
51,2003,0,26.0,10.6,1,1,6.8,7.76
51,2004,1,27.0,10.6,2,0,7.6,0.0
51,2005,1,28.0,10.6,2,1,8.4,6.7
51,2006,1,29.0,10.6,0,1,9.2,7.24
51,2007,1,30.0,10.6,1,1,10.0,6.2
51,2008,1,31.0,10.6,1,0,10.8,0.0
51,2009,0,32.0,10.6,2,1,11.6,7.91
52,2000,0,38.0,13.5,1,0,20.5,0.0
52,2001,0,39.0,13.5,0,0,21.3,0.0
52,2002,0,40.0,13.5,1,0,22.1,0.0
52,2003,0,41.0,13.5,2,0,22.9,0.0
52,2004,0,42.0,13.5,2,1,23.7,0.0
52,2005,0,43.0,13.5,0,0,24.5,0.0
