id,year,career,educ,exper,age,female,income,urban
12,1,2,10.4,28.6,42.0,1,9810.49,0
12,2,0,10.4,29.6,43.0,1,7291.59,0
12,3,2,10.4,30.6,44.0,1,9355.04,0
12,4,0,10.4,31.6,45.0,1,12823.7,0
12,5,0,10.4,32.6,46.0,1,11507.79,0
13,1,1,9.7,27.3,42.0,0,11137.46,1
13,2,2,9.7,28.3,43.0,0,9922.52,1
13,3,2,9.7,29.3,44.0,0,9516.35,1
13,4,2,10.2,30.3,45.0,0,10288.87,1
13,5,2,9.7,31.3,46.0,0,11649.27,1
14,1,0,12.2,8.8,24.0,0,6850.0,0
14,2,0,12.2,9.8,25.0,0,6244.18,0
14,3,1,12.2,10.8,26.0,0,8885.99,0
14,4,2,12.2,11.8,27.0,0,7109.38,0
14,5,1,12.2,12.8,28.0,0,7892.62,0
15,1,0,10.2,7.8,23.0,1,6478.86,1
15,2,0,10.2,8.8,24.0,1,6779.45,1
15,3,0,10.2,9.8,25.0,1,7743.69,1
15,4,0,10.2,10.8,26.0,1,5914.46,1
15,5,1,10.7,11.8,27.0,1,8126.24,1
16,1,2,10.2,21.8,37.0,0,8306.0,1
16,2,0,10.2,22.8,38.0,0,7750.65,1
16,3,2,10.2,23.8,39.0,0,7929.35,1
16,4,1,10.2,24.8,40.0,0,10006.98,1
16,5,1,10.2,25.8,41.0,0,6101.24,1
17,1,0,9.0,9.0,26.0,0,7358.05,1
17,2,0,9.0,10.0,27.0,0,6540.92,1
17,3,1,9.0,11.0,28.0,0,6281.74,1
17,4,1,9.0,12.0,29.0,0,8107.58,1
17,5,1,9.0,13.0,30.0,0,5583.77,1
18,1,2,13.0,32.0,49.0,0,10345.54,0
18,2,1,13.0,33.0,50.0,0,8020.03,0
18,3,2,13.0,34.0,51.0,0,10406.35,0
18,4,1,13.5,35.0,52.0,0,14056.59,0
18,5,2,13.0,36.0,53.0,0,12673.99,0
19,1,1,8.8,14.2,26.0,0,4740.35,0
19,2,2,8.8,15.2,27.0,0,6956.81,0
19,3,2,8.8,16.2,28.0,0,5963.32,0
19,4,1,8.8,17.2,29.0,0,6916.88,0
19,5,0,8.8,18.2,30.0,0,7194.57,0
20,1,0,19.1,0.0,23.0,0,8406.69,0
20,2,2,19.1,1.0,24.0,0,7510.29,0
20,3,0,19.1,2.0,25.0,0,6869.16,0
20,4,1,19.1,3.0,26.0,0,6416.46,0
20,5,0,19.1,4.0,27.0,0,10450.32,0
21,1,2,11.6,25.4,43.0,0,9096.04,1
21,2,0,11.6,26.4,44.0,0,10595.68,1
21,3,2,11.6,27.4,45.0,0,8797.51,1
21,4,2,11.6,28.4,46.0,0,11677.96,1
21,5,2,11.6,29.4,47.0,0,13836.38,1
22,1,2,13.6,5.4,25.0,0,7380.01,0
22,2,1,13.6,6.4,26.0,0,9835.12,0
22,3,2,13.6,7.4,27.0,0,7783.36,0
22,4,0,13.6,8.4,28.0,0,5494.36,0
22,5,1,13.6,9.4,29.0,0,6005.38,0
23,1,0,7.7,17.3,29.0,0,5211.68,1
23,2,1,7.7,18.3,30.0,0,5664.33,1
23,3,0,7.7,19.3,31.0,0,5531.66,1
23,4,1,8.2,20.3,32.0,0,13241.94,1
23,5,0,7.7,21.3,33.0,0,7486.76,1
24,1,0,12.2,16.8,34.0,0,11280.83,1
24,2,2,12.2,17.8,35.0,0,7864.72,1
24,3,1,12.2,18.8,36.0,0,8684.12,1
24,4,2,12.2,19.8,37.0,0,10189.16,1
24,5,0,12.2,20.8,38.0,0,7689.84,1
25,1,2,17.1,1.9,27.0,1,10355.34,0
25,2,2,17.1,2.9,28.0,1,6962.05,0
25,3,0,17.1,3.9,29.0,1,8569.05,0
25,4,0,17.1,4.9,30.0,1,8017.76,0
25,5,2,17.1,5.9,31.0,1,8246.4,0
26,1,0,9.1,18.9,35.0,1,6669.31,1
26,2,0,9.1,19.9,36.0,1,7399.68,1
26,3,2,9.1,20.9,37.0,1,8347.23,1
26,4,1,9.1,21.9,38.0,1,8635.6,1
26,5,2,9.1,22.9,39.0,1,9613.17,1
27,1,2,8.0,34.0,46.0,0,16208.75,1
27,2,0,8.0,35.0,47.0,0,9319.7,1
27,3,1,8.0,36.0,48.0,0,9242.24,1
27,4,1,8.0,37.0,49.0,0,10825.43,1
27,5,0,8.0,38.0,50.0,0,9849.85,1
28,1,0,17.3,20.7,43.0,0,8778.82,1
28,2,2,17.3,21.7,44.0,0,9617.32,1
28,3,2,17.3,22.7,45.0,0,10966.53,1
28,4,2,17.3,23.7,46.0,0,11997.13,1
28,5,2,17.3,24.7,47.0,0,10835.53,1
29,1,0,12.3,22.7,41.0,1,11435.45,1
29,2,1,12.3,23.7,42.0,1,12652.81,1
29,3,0,12.3,24.7,43.0,1,8825.48,1
29,4,2,12.3,25.7,44.0,1,9178.5,1
29,5,1,12.3,26.7,45.0,1,13162.41,1
30,1,1,10.4,10.6,26.0,0,6498.06,1
30,2,0,10.4,11.6,27.0,0,7871.73,1
30,3,0,10.4,12.6,28.0,0,6732.54,1
30,4,1,10.4,13.6,29.0,0,8274.8,1
30,5,2,10.4,14.6,30.0,0,6687.04,1
31,1,2,12.9,27.1,46.0,1,9112.62,0
31,2,2,12.9,28.1,47.0,1,11678.8,0
31,3,1,12.9,29.1,48.0,1,9132.18,0
31,4,0,12.9,30.1,49.0,1,10909.07,0
31,5,2,12.9,31.1,50.0,1,11454.69,0
32,1,1,10.5,8.5,24.0,1,7354.47,1
32,2,1,10.5,9.5,25.0,1,6769.38,1
32,3,0,10.5,10.5,26.0,1,6419.83,1
32,4,1,10.5,11.5,27.0,1,7092.33,1
32,5,1,10.5,12.5,28.0,1,7995.78,1
33,1,1,10.3,7.7,24.0,1,5176.99,1
33,2,1,10.3,8.7,25.0,1,6593.32,1
33,3,2,10.3,9.7,26.0,1,7662.17,1
33,4,1,10.3,10.7,27.0,1,5965.22,1
33,5,2,10.3,11.7,28.0,1,9123.66,1
34,1,0,6.3,21.7,32.0,1,7211.44,1
34,2,2,6.3,22.7,33.0,1,8499.43,1
34,3,0,6.3,23.7,34.0,1,9518.22,1
34,4,0,6.8,24.7,35.0,1,8368.08,1
34,5,0,6.3,25.7,36.0,1,10410.24,1
35,1,2,14.0,17.0,36.0,0,14967.36,0
35,2,2,14.0,18.0,37.0,0,7301.26,0
35,3,2,14.0,19.0,38.0,0,8234.91,0
35,4,2,14.0,20.0,39.0,0,10633.53,0
35,5,2,14.0,21.0,40.0,0,8165.25,0
36,1,2,12.3,29.7,48.0,0,9693.36,1
36,2,2,12.3,30.7,49.0,0,8150.48,1
36,3,2,12.3,31.7,50.0,0,10767.32,1
36,4,2,12.3,32.7,51.0,0,13785.83,1
36,5,1,12.3,33.7,52.0,0,10020.82,1
37,1,0,15.2,12.8,34.0,1,9022.58,1
37,2,2,15.2,13.8,35.0,1,8483.41,1
37,3,2,15.2,14.8,36.0,1,7415.79,1
37,4,0,15.2,15.8,37.0,1,11094.87,1
37,5,2,15.2,16.8,38.0,1,10666.96,1
38,1,2,11.4,20.6,40.0,0,10693.66,1
38,2,0,11.4,21.6,41.0,0,11586.32,1
38,3,0,11.4,22.6,42.0,0,6580.04,1
38,4,0,11.4,23.6,43.0,0,7523.86,1
38,5,1,11.4,24.6,44.0,0,9818.54,1
39,1,2,14.6,30.4,49.0,0,14792.79,1
39,2,2,14.6,31.4,50.0,0,9592.08,1
39,3,2,14.6,32.4,51.0,0,9427.73,1
39,4,2,14.6,33.4,52.0,0,13928.98,1
39,5,2,14.6,34.4,53.0,0,8483.38,1
40,1,1,9.1,16.9,31.0,1,6667.05,0
40,2,0,9.1,17.9,32.0,1,8092.42,0
40,3,1,9.1,18.9,33.0,1,9864.43,0
40,4,0,9.1,19.9,34.0,1,6174.01,0
40,5,2,9.1,20.9,35.0,1,8021.19,0
41,1,1,10.8,34.2,49.0,0,13458.6,1
41,2,2,10.8,35.2,50.0,0,9269.62,1
41,3,2,10.8,36.2,51.0,0,11377.97,1
41,4,2,10.8,37.2,52.0,0,8779.49,1
41,5,1,10.8,38.2,53.0,0,11750.11,1
42,1,2,12.5,4.5,22.0,0,8912.46,1
42,2,2,12.5,5.5,23.0,0,6375.43,1
42,3,2,12.5,6.5,24.0,0,8091.14,1
42,4,2,12.5,7.5,25.0,0,7503.03,1
42,5,1,12.5,8.5,26.0,0,7400.51,1
43,1,1,10.0,30.0,45.0,1,9639.45,0
43,2,0,10.0,31.0,46.0,1,9680.96,0
43,3,0,10.0,32.0,47.0,1,11162.72,0
43,4,1,10.0,33.0,48.0,1,15082.06,0
43,5,1,10.0,34.0,49.0,1,8008.81,0
44,1,0,12.5,11.5,29.0,0,7461.83,0
44,2,1,12.5,12.5,30.0,0,6519.29,0
44,3,0,12.5,13.5,31.0,0,6263.67,0
44,4,2,12.5,14.5,32.0,0,12400.86,0
44,5,0,12.5,15.5,33.0,0,8851.49,0
45,1,1,11.6,6.4,26.0,1,6000.87,0
45,2,2,11.6,7.4,27.0,1,7239.51,0
45,3,0,11.6,8.4,28.0,1,7432.73,0
45,4,2,11.6,9.4,29.0,1,10512.73,0
45,5,2,11.6,10.4,30.0,1,8241.17,0
46,1,1,8.5,34.5,47.0,0,10080.22,1
46,2,2,8.5,35.5,48.0,0,7545.17,1
46,3,2,8.5,36.5,49.0,0,9045.54,1
46,4,0,8.5,37.5,50.0,0,14356.17,1
46,5,2,8.5,38.5,51.0,0,9837.19,1
47,1,1,9.7,23.3,36.0,0,7241.12,1
47,2,0,9.7,24.3,37.0,0,7879.05,1
47,3,1,9.7,25.3,38.0,0,12567.96,1
47,4,1,9.7,26.3,39.0,0,10464.17,1
47,5,1,9.7,27.3,40.0,0,8403.74,1
48,1,1,11.5,12.5,30.0,1,7546.18,0
48,2,0,11.5,13.5,31.0,1,7307.68,0
48,3,1,11.5,14.5,32.0,1,8666.96,0
48,4,0,11.5,15.5,33.0,1,8525.44,0
48,5,1,11.5,16.5,34.0,1,9493.05,0
49,1,2,18.7,0.3,26.0,0,7515.78,1
49,2,0,18.7,1.3,27.0,0,8188.03,1
49,3,0,18.7,2.3,28.0,0,10564.68,1
49,4,2,18.7,3.3,29.0,0,11906.34,1
49,5,2,18.7,4.3,30.0,0,7734.57,1
50,1,0,13.1,8.9,27.0,1,6461.81,0
50,2,0,13.1,9.9,28.0,1,6310.41,0
50,3,2,13.1,10.9,29.0,1,7804.68,0
50,4,1,13.1,11.9,30.0,1,8181.16,0
50,5,1,13.6,12.9,31.0,1,7729.07,0
51,1,2,16.2,22.8,44.0,1,9212.28,0
51,2,0,16.2,23.8,45.0,1,10930.18,0
51,3,2,16.2,24.8,46.0,1,13184.46,0
51,4,2,16.2,25.8,47.0,1,9063.17,0
51,5,2,16.2,26.8,48.0,1,12599.62,0
52,1,0,7.3,23.7,34.0,0,9076.33,0
52,2,1,7.3,24.7,35.0,0,8142.28,0
52,3,2,7.3,25.7,36.0,0,9143.06,0
52,4,2,7.3,26.7,37.0,0,10619.56,0
52,5,0,7.3,27.7,38.0,0,10937.52,0
53,1,0,12.1,7.9,25.0,1,7883.23,1
53,2,1,12.1,8.9,26.0,1,9565.29,1
53,3,2,12.1,9.9,27.0,1,6357.6,1
53,4,0,12.1,10.9,28.0,1,7604.85,1
53,5,1,12.1,11.9,29.0,1,7094.4,1
54,1,1,11.5,9.5,24.0,0,5669.31,1
54,2,2,11.5,10.5,25.0,0,6361.62,1
54,3,1,11.5,11.5,26.0,0,8317.21,1
54,4,1,11.5,12.5,27.0,0,8727.34,1
54,5,2,11.5,13.5,28.0,0,7795.83,1
55,1,0,9.5,22.5,38.0,1,10709.88,0
55,2,2,9.5,23.5,39.0,1,10338.07,0
55,3,0,9.5,24.5,40.0,1,8004.65,0
55,4,2,9.5,25.5,41.0,1,9227.73,0
55,5,1,9.5,26.5,42.0,1,10903.43,0
56,1,2,10.2,29.8,48.0,1,11674.38,1
56,2,2,10.2,30.8,49.0,1,20476.29,1
56,3,1,10.2,31.8,50.0,1,7706.34,1
56,4,0,10.2,32.8,51.0,1,13437.95,1
56,5,1,10.2,33.8,52.0,1,7243.67,1
57,1,1,8.7,12.3,25.0,0,8021.18,1
57,2,0,8.7,13.3,26.0,0,8558.87,1
57,3,1,8.7,14.3,27.0,0,6605.34,1
57,4,0,8.7,15.3,28.0,0,7580.22,1
57,5,0,8.7,16.3,29.0,0,9204.62,1
58,1,2,9.3,34.7,48.0,1,9816.74,0
58,2,1,9.3,35.7,49.0,1,10272.48,0
58,3,1,9.3,36.7,50.0,1,13377.7,0
58,4,2,9.3,37.7,51.0,1,9170.71,0
58,5,0,9.3,38.7,52.0,1,10881.15,0
59,1,2,15.3,1.7,25.0,1,6128.78,1
59,2,1,15.3,2.7,26.0,1,9520.79,1
59,3,1,15.3,3.7,27.0,1,6285.4,1
59,4,1,15.3,4.7,28.0,1,10441.96,1
59,5,0,15.3,5.7,29.0,1,5634.55,1
60,1,0,14.0,19.0,41.0,0,7065.05,1
60,2,2,14.0,20.0,42.0,0,8181.6,1
60,3,1,14.0,21.0,43.0,0,10962.62,1
60,4,2,14.0,22.0,44.0,0,9591.43,1
60,5,1,14.0,23.0,45.0,0,10005.94,1
61,1,2,6.4,35.6,47.0,0,10764.91,1
61,2,0,6.4,36.6,48.0,0,9785.1,1
61,3,2,6.4,37.6,49.0,0,11011.17,1
61,4,0,6.4,38.6,50.0,0,11734.41,1
61,5,2,6.4,39.6,51.0,0,11263.28,1
62,1,1,13.1,9.9,26.0,1,9311.91,1
62,2,1,13.1,10.9,27.0,1,7494.96,1
62,3,2,13.1,11.9,28.0,1,8458.59,1
62,4,1,13.1,12.9,29.0,1,7297.62,1
62,5,1,13.1,13.9,30.0,1,8265.1,1
63,1,1,15.4,13.6,35.0,0,12228.42,1
63,2,1,15.4,14.6,36.0,0,10127.08,1
63,3,1,15.4,15.6,37.0,0,9140.32,1
63,4,1,15.4,16.6,38.0,0,7348.64,1
63,5,2,15.9,17.6,39.0,0,10388.37,1
64,1,0,9.5,28.5,44.0,0,10509.12,1
64,2,2,9.5,29.5,45.0,0,10175.95,1
64,3,0,9.5,30.5,46.0,0,8442.12,1
64,4,1,9.5,31.5,47.0,0,11876.05,1
64,5,1,9.5,32.5,48.0,0,13917.17,1
65,1,2,11.4,26.6,43.0,0,9938.52,0
65,2,0,11.4,27.6,44.0,0,9637.31,0
65,3,2,11.4,28.6,45.0,0,9219.28,0
65,4,0,11.4,29.6,46.0,0,9806.99,0
65,5,1,11.4,30.6,47.0,0,9660.48,0
66,1,1,16.7,7.3,31.0,1,11139.52,1
66,2,0,16.7,8.3,32.0,1,9407.83,1
66,3,2,16.7,9.3,33.0,1,9976.98,1
66,4,1,16.7,10.3,34.0,1,10379.22,1
66,5,2,16.7,11.3,35.0,1,12394.75,1
67,1,1,16.3,22.7,45.0,0,12362.54,1
67,2,2,16.3,23.7,46.0,0,11279.4,1
67,3,2,16.3,24.7,47.0,0,12924.52,1
67,4,2,16.3,25.7,48.0,0,8598.17,1
67,5,1,16.3,26.7,49.0,0,13080.39,1
68,1,1,9.9,28.1,43.0,1,9697.26,1
68,2,1,9.9,29.1,44.0,1,9782.99,1
68,3,2,9.9,30.1,45.0,1,9686.85,1
68,4,1,9.9,31.1,46.0,1,9724.38,1
68,5,1,9.9,32.1,47.0,1,13259.2,1
69,1,1,10.5,29.5,44.0,1,10733.6,0
69,2,2,10.5,30.5,45.0,1,9291.27,0
69,3,1,10.5,31.5,46.0,1,8331.6,0
69,4,1,10.5,32.5,47.0,1,9276.9,0
69,5,2,10.5,33.5,48.0,1,13991.29,0
70,1,2,14.9,21.1,39.0,1,12183.61,1
70,2,0,14.9,22.1,40.0,1,8927.81,1
70,3,2,14.9,23.1,41.0,1,8116.18,1
70,4,2,14.9,24.1,42.0,1,9137.89,1
70,5,2,14.9,25.1,43.0,1,9338.96,1
71,1,2,6.0,29.0,43.0,0,8655.84,1
71,2,1,6.0,30.0,44.0,0,7313.1,1
71,3,0,6.0,31.0,45.0,0,9419.01,1
71,4,0,6.0,32.0,46.0,0,5319.17,1
71,5,1,6.0,33.0,47.0,0,9742.89,1
72,1,2,12.8,5.2,22.0,1,10130.13,1
72,2,1,12.8,6.2,23.0,1,9060.41,1
72,3,2,12.8,7.2,24.0,1,6552.79,1
72,4,2,12.8,8.2,25.0,1,7169.84,1
72,5,0,12.8,9.2,26.0,1,9325.64,1
73,1,2,6.4,27.6,40.0,1,9118.49,0
73,2,0,6.4,28.6,41.0,1,7270.77,0
73,3,0,6.4,29.6,42.0,1,5375.29,0
73,4,0,6.4,30.6,43.0,1,8974.85,0
73,5,2,6.4,31.6,44.0,1,11714.21,0
74,1,0,16.2,6.8,28.0,1,9062.1,0
74,2,1,16.2,7.8,29.0,1,8354.76,0
74,3,2,16.2,8.8,30.0,1,8707.1,0
74,4,2,16.2,9.8,31.0,1,6837.89,0
74,5,2,16.2,10.8,32.0,1,10221.93,0
75,1,1,9.3,30.7,47.0,1,13403.74,1
75,2,1,9.3,31.7,48.0,1,15554.33,1
75,3,2,9.3,32.7,49.0,1,11335.66,1
75,4,0,9.3,33.7,50.0,1,11692.77,1
75,5,1,9.3,34.7,51.0,1,11660.94,1
76,1,2,14.8,17.2,36.0,0,9140.12,1
76,2,2,14.8,18.2,37.0,0,7371.05,1
76,3,1,14.8,19.2,38.0,0,9207.35,1
76,4,1,14.8,20.2,39.0,0,16273.95,1
76,5,2,14.8,21.2,40.0,0,7999.22,1
77,1,0,12.7,6.3,25.0,1,7995.75,1
77,2,0,12.7,7.3,26.0,1,5323.13,1
77,3,1,12.7,8.3,27.0,1,5626.99,1
77,4,0,12.7,9.3,28.0,1,7238.06,1
77,5,1,12.7,10.3,29.0,1,9517.82,1
78,1,1,14.0,19.0,39.0,0,9055.08,0
78,2,2,14.0,20.0,40.0,0,9197.06,0
78,3,1,14.0,21.0,41.0,0,7238.66,0
78,4,2,14.0,22.0,42.0,0,10625.87,0
78,5,0,14.0,23.0,43.0,0,8088.37,0
79,1,0,9.1,20.9,34.0,0,14498.33,0
79,2,0,9.1,21.9,35.0,0,8288.29,0
79,3,0,9.1,22.9,36.0,0,7683.16,0
79,4,1,9.1,23.9,37.0,0,9770.24,0
79,5,0,9.1,24.9,38.0,0,6818.52,0
80,1,2,14.1,21.9,44.0,1,8160.2,1
80,2,2,14.1,22.9,45.0,1,9162.74,1
80,3,1,14.1,23.9,46.0,1,9912.47,1
80,4,2,14.6,24.9,47.0,1,9298.47,1
80,5,0,14.1,25.9,48.0,1,9214.67,1
81,1,1,14.6,16.4,35.0,0,8204.9,1
81,2,0,14.6,17.4,36.0,0,12484.17,1
81,3,0,14.6,18.4,37.0,0,7679.65,1
81,4,2,14.6,19.4,38.0,0,9732.15,1
81,5,2,14.6,20.4,39.0,0,8391.65,1
82,1,1,9.5,27.5,44.0,0,9422.43,1
82,2,2,9.5,28.5,45.0,0,13619.62,1
82,3,1,9.5,29.5,46.0,0,9161.1,1
82,4,2,9.5,30.5,47.0,0,7827.01,1
82,5,1,9.5,31.5,48.0,0,9111.94,1
83,1,2,16.7,8.3,29.0,1,8286.54,1
83,2,1,16.7,9.3,30.0,1,9072.83,1
83,3,2,16.7,10.3,31.0,1,12789.52,1
83,4,2,16.7,11.3,32.0,1,8812.85,1
83,5,2,16.7,12.3,33.0,1,9793.04,1
84,1,1,11.1,32.9,48.0,1,11897.31,0
84,2,2,11.1,33.9,49.0,1,9084.42,0
84,3,0,11.1,34.9,50.0,1,9225.54,0
84,4,2,11.1,35.9,51.0,1,9430.8,0
84,5,1,11.1,36.9,52.0,1,11905.79,0
85,1,1,11.8,21.2,38.0,1,11014.7,1
85,2,2,11.8,22.2,39.0,1,13807.5,1
85,3,2,11.8,23.2,40.0,1,7192.63,1
85,4,2,11.8,24.2,41.0,1,9945.74,1
85,5,1,11.8,25.2,42.0,1,6412.02,1
86,1,1,7.3,23.7,36.0,1,7297.52,0
86,2,0,7.3,24.7,37.0,1,6713.24,0
86,3,1,7.3,25.7,38.0,1,7217.84,0
86,4,2,7.3,26.7,39.0,1,9406.2,0
86,5,1,7.8,27.7,40.0,1,12303.9,0
87,1,2,13.5,29.5,49.0,1,11415.94,1
87,2,1,13.5,30.5,50.0,1,11889.81,1
87,3,0,13.5,31.5,51.0,1,12547.03,1
87,4,2,13.5,32.5,52.0,1,10127.16,1
87,5,2,13.5,33.5,53.0,1,11057.93,1
88,1,2,8.7,22.3,35.0,0,8977.14,1
88,2,2,8.7,23.3,36.0,0,13035.96,1
88,3,2,8.7,24.3,37.0,0,8128.75,1
88,4,0,9.2,25.3,38.0,0,7491.45,1
88,5,2,8.7,26.3,39.0,0,12845.82,1
89,1,0,9.5,23.5,38.0,1,6086.91,1
89,2,0,9.5,24.5,39.0,1,8911.36,1
89,3,1,9.5,25.5,40.0,1,6335.82,1
89,4,0,9.5,26.5,41.0,1,12004.8,1
89,5,2,9.5,27.5,42.0,1,7998.56,1
90,1,2,13.4,5.6,26.0,1,8144.45,1
90,2,1,13.4,6.6,27.0,1,7737.05,1
90,3,1,13.4,7.6,28.0,1,6686.74,1
90,4,2,13.4,8.6,29.0,1,8349.85,1
90,5,2,13.4,9.6,30.0,1,7716.65,1
91,1,0,7.4,20.6,36.0,1,6981.39,0
91,2,1,7.4,21.6,37.0,1,8135.52,0
91,3,2,7.4,22.6,38.0,1,8305.33,0
91,4,1,7.9,23.6,39.0,1,5841.49,0
91,5,1,7.4,24.6,40.0,1,4492.57,0
92,1,1,13.0,30.0,47.0,1,15384.48,0
92,2,2,13.0,31.0,48.0,1,7760.79,0
92,3,0,13.0,32.0,49.0,1,13309.91,0
92,4,0,13.5,33.0,50.0,1,13522.85,0
92,5,1,13.5,34.0,51.0,1,14595.46,0
93,1,0,12.6,18.4,35.0,0,12559.92,1
93,2,0,12.6,19.4,36.0,0,9796.22,1
93,3,2,12.6,20.4,37.0,0,8741.81,1
93,4,2,12.6,21.4,38.0,0,10189.17,1
93,5,2,12.6,22.4,39.0,0,9162.39,1
94,1,0,14.3,15.7,34.0,0,10218.84,1
94,2,2,14.3,16.7,35.0,0,9783.91,1
94,3,1,14.3,17.7,36.0,0,8771.19,1
94,4,2,14.3,18.7,37.0,0,9897.33,1
94,5,1,14.3,19.7,38.0,0,11885.13,1
95,1,0,11.1,26.9,44.0,0,8123.28,1
95,2,2,11.1,27.9,45.0,0,9659.81,1
95,3,0,11.1,28.9,46.0,0,7734.12,1
95,4,2,11.1,29.9,47.0,0,10702.82,1
95,5,2,11.1,30.9,48.0,0,8470.35,1
96,1,2,11.9,26.1,42.0,1,9858.26,1
96,2,0,11.9,27.1,43.0,1,8340.22,1
96,3,1,11.9,28.1,44.0,1,8479.81,1
96,4,1,11.9,29.1,45.0,1,8373.74,1
96,5,0,12.4,30.1,46.0,1,9123.45,1
97,1,2,7.8,36.2,49.0,0,10394.48,1
97,2,1,7.8,37.2,50.0,0,8309.01,1
97,3,0,7.8,38.2,51.0,0,8902.67,1
97,4,2,7.8,39.2,52.0,0,13662.67,1
97,5,2,7.8,40.2,53.0,0,8462.27,1
98,1,2,12.3,30.7,46.0,1,12835.7,1
98,2,1,12.3,31.7,47.0,1,11824.12,1
98,3,2,12.3,32.7,48.0,1,10266.76,1
98,4,0,12.3,33.7,49.0,1,9704.21,1
98,5,2,12.3,34.7,50.0,1,10589.1,1
99,1,1,9.5,11.5,25.0,1,6667.14,0
99,2,0,9.5,12.5,26.0,1,5468.14,0
99,3,0,9.5,13.5,27.0,1,6891.3,0
99,4,0,9.5,14.5,28.0,1,5014.88,0
99,5,0,9.5,15.5,29.0,1,4747.13,0
100,1,2,13.7,11.3,33.0,1,13492.23,1
100,2,2,13.7,12.3,34.0,1,9649.03,1
100,3,0,13.7,13.3,35.0,1,7440.33,1
100,4,2,13.7,14.3,36.0,1,11086.79,1
100,5,1,13.7,15.3,37.0,1,7031.81,1
101,1,1,13.9,13.1,30.0,1,6247.04,0
101,2,0,13.9,14.1,31.0,1,10259.72,0
101,3,2,13.9,15.1,32.0,1,8995.21,0
101,4,1,13.9,16.1,33.0,1,6924.56,0
101,5,1,13.9,17.1,34.0,1,12792.56,0
102,1,1,9.7,21.3,35.0,0,8602.97,1
102,2,1,9.7,22.3,36.0,0,7069.35,1
102,3,2,9.7,23.3,37.0,0,8418.02,1
102,4,1,9.7,24.3,38.0,0,9742.74,1
102,5,2,9.7,25.3,39.0,0,9478.74,1
103,1,2,15.5,15.5,35.0,1,6995.33,0
103,2,0,15.5,16.5,36.0,1,7837.34,0
103,3,1,15.5,17.5,37.0,1,9822.44,0
103,4,2,15.5,18.5,38.0,1,11909.39,0
103,5,1,16.0,19.5,39.0,1,9988.99,0
104,1,2,11.2,26.8,44.0,1,8722.96,1
