id,year,lfp,age,educ,kids,married,exper
35,2,1,45,17,1,0,22
35,3,1,46,17,2,0,23
35,4,1,47,17,2,0,24
35,5,1,48,17,1,1,25
36,1,0,44,10,0,1,30
36,2,0,45,10,0,1,31
36,3,0,46,10,0,1,32
36,4,1,47,10,1,0,33
36,5,0,48,10,3,1,34
37,1,0,31,12,0,0,14
37,2,0,32,12,0,1,15
37,3,0,33,12,0,1,16
37,4,1,34,12,0,0,17
37,5,1,35,12,1,0,18
38,1,0,39,11,0,0,22
38,2,0,40,11,1,1,23
38,3,0,41,11,2,0,24
38,4,0,42,11,1,0,25
38,5,0,43,11,1,1,26
39,1,1,34,10,0,0,16
39,2,0,35,10,1,1,17
39,3,0,36,10,0,1,18
39,4,0,37,10,1,0,19
39,5,0,38,10,2,0,20
40,1,0,39,17,0,1,17
40,2,0,40,17,1,1,18
40,3,1,41,17,0,0,19
40,4,1,42,17,0,1,20
40,5,0,43,17,0,1,21
41,1,1,32,11,0,0,16
41,2,0,33,11,0,1,17
41,3,1,34,11,0,1,18
41,4,0,35,11,2,0,19
41,5,1,36,11,0,1,20
42,1,0,33,13,0,0,16
42,2,1,34,13,0,0,17
42,3,0,35,13,0,0,18
42,4,0,36,13,0,0,19
42,5,1,37,13,0,0,20
43,1,0,25,16,0,0,5
43,2,0,26,16,0,0,6
43,3,1,27,16,1,0,7
43,4,1,28,16,2,0,8
43,5,1,29,16,3,0,9
44,1,1,28,10,0,0,13
44,2,0,29,10,0,1,14
44,3,0,30,10,1,0,15
44,4,1,31,10,1,1,16
44,5,0,32,10,2,1,17
45,1,0,25,14,0,1,5
45,2,0,26,14,0,0,6
45,3,0,27,14,1,0,7
45,4,0,28,14,2,0,8
45,5,0,29,14,1,1,9
46,1,0,25,17,0,0,2
46,2,1,26,17,0,1,3
46,3,0,27,17,0,0,4
46,4,0,28,17,3,1,5
46,5,0,29,17,2,1,6
47,1,0,28,14,0,1,8
47,2,1,29,14,0,1,9
47,3,1,30,14,0,0,10
47,4,0,31,14,3,0,11
47,5,0,32,14,2,1,12
48,1,1,44,15,0,0,25
48,2,1,45,15,0,1,26
48,3,1,46,15,0,0,27
48,4,1,47,15,0,0,28
48,5,1,48,15,4,1,29
49,1,0,41,17,0,0,19
49,2,0,42,17,1,1,20
49,3,0,43,17,1,1,21
49,4,1,44,17,3,1,22
49,5,1,45,17,1,0,23
50,1,0,44,14,0,0,26
50,2,0,45,14,0,1,27
50,3,0,46,14,0,1,28
50,4,0,47,14,2,0,29
50,5,0,48,14,1,1,30
51,1,1,36,15,0,0,14
51,2,1,37,15,0,1,15
51,3,1,38,15,1,1,16
51,4,1,39,15,1,0,17
51,5,1,40,15,2,1,18
52,1,1,34,12,0,1,14
52,2,1,35,12,0,1,15
52,3,1,36,12,0,0,16
52,4,0,37,12,2,1,17
52,5,0,38,12,1,0,18
53,1,0,36,14,0,0,14
53,2,1,37,14,1,0,15
53,3,0,38,14,0,1,16
53,4,1,39,14,1,1,17
53,5,0,40,14,1,1,18
54,1,0,25,13,0,1,5
54,2,1,26,13,0,0,6
54,3,1,27,13,1,1,7
54,4,1,28,13,0,1,8
54,5,0,29,13,2,0,9
55,1,1,26,10,0,1,8
55,2,1,27,10,0,0,9
55,3,1,28,10,0,0,10
55,4,1,29,10,2,0,11
55,5,0,30,10,1,1,12
56,1,1,36,11,0,1,19
56,2,1,37,11,1,0,20
56,3,1,38,11,0,1,21
56,4,1,39,11,1,1,22
56,5,0,40,11,0,0,23
57,1,0,43,14,0,0,22
57,2,1,44,14,0,1,23
57,3,0,45,14,0,0,24
57,4,0,46,14,0,1,25
57,5,1,47,14,2,1,26
58,1,1,27,12,0,1,11
58,2,1,28,12,0,1,12
58,3,1,29,12,0,0,13
58,4,1,30,12,0,0,14
58,5,0,31,12,1,0,15
59,1,0,33,10,0,1,19
59,2,1,34,10,0,1,20
59,3,1,35,10,0,1,21
59,4,1,36,10,2,1,22
59,5,1,37,10,0,1,23
60,1,1,38,16,0,1,17
60,2,1,39,16,0,1,18
60,3,1,40,16,1,0,19
60,4,1,41,16,2,1,20
60,5,1,42,16,2,0,21
61,1,0,43,16,0,0,21
61,2,1,44,16,0,0,22
61,3,1,45,16,1,0,23
61,4,0,46,16,2,1,24
61,5,1,47,16,2,1,25
62,1,1,25,15,0,0,4
62,2,0,26,15,0,0,5
62,3,0,27,15,0,0,6
62,4,0,28,15,2,1,7
62,5,0,29,15,3,0,8
63,1,1,37,16,0,0,17
63,2,0,38,16,0,0,18
63,3,1,39,16,1,1,19
63,4,0,40,16,1,1,20
63,5,0,41,16,0,0,21
64,1,0,41,17,0,0,18
64,2,0,42,17,0,1,19
64,3,0,43,17,1,0,20
64,4,1,44,17,1,1,21
64,5,1,45,17,1,1,22
65,1,1,27,15,0,0,7
65,2,0,28,15,0,1,8
65,3,1,29,15,1,0,9
65,4,1,30,15,1,0,10
65,5,1,31,15,0,0,11
66,1,1,38,17,0,1,15
66,2,1,39,17,1,1,16
66,3,1,40,17,0,1,17
66,4,1,41,17,0,0,18
66,5,1,42,17,2,0,19
67,1,1,42,13,0,1,24
67,2,0,43,13,0,1,25
67,3,0,44,13,1,1,26
67,4,1,45,13,2,1,27
67,5,1,46,13,0,0,28
68,1,1,30,10,0,1,13
68,2,0,31,10,1,0,14
68,3,0,32,10,0,0,15
68,4,0,33,10,3,1,16
68,5,1,34,10,1,1,17
69,1,1,34,16,0,0,14
69,2,0,35,16,1,0,15
69,3,1,36,16,0,1,16
69,4,0,37,16,1,1,17
69,5,1,38,16,1,1,18
70,1,0,38,12,0,1,21
70,2,1,39,12,0,0,22
70,3,0,40,12,1,0,23
70,4,0,41,12,2,1,24
70,5,0,42,12,1,0,25
71,1,1,36,14,0,0,17
71,2,1,37,14,1,1,18
71,3,1,38,14,0,1,19
71,4,1,39,14,1,1,20
71,5,1,40,14,0,1,21
72,1,1,27,16,0,0,3
72,2,1,28,16,0,0,4
72,3,1,29,16,0,0,5
72,4,1,30,16,0,1,6
72,5,1,31,16,2,1,7
73,1,0,29,15,0,1,10
73,2,1,30,15,0,0,11
73,3,0,31,15,1,0,12
73,4,0,32,15,1,0,13
73,5,1,33,15,0,1,14
74,1,1,32,12,0,1,16
74,2,1,33,12,0,0,17
74,3,0,34,12,0,0,18
74,4,1,35,12,4,1,19
74,5,1,36,12,0,1,20
75,1,0,34,12,0,1,18
75,2,0,35,12,0,0,19
75,3,0,36,12,1,0,20
75,4,0,37,12,1,1,21
75,5,0,38,12,3,1,22
76,1,1,30,12,0,1,11
76,2,1,31,12,0,1,12
76,3,1,32,12,1,0,13
76,4,1,33,12,0,1,14
76,5,0,34,12,0,1,15
77,1,1,40,12,0,0,24
77,2,1,41,12,0,1,25
77,3,0,42,12,0,1,26
77,4,0,43,12,1,1,27
77,5,1,44,12,0,1,28
78,1,0,30,13,0,0,12
78,2,0,31,13,2,0,13
78,3,0,32,13,0,1,14
78,4,0,33,13,0,0,15
78,5,0,34,13,0,1,16
79,1,1,36,10,0,1,22
79,2,1,37,10,1,0,23
79,3,0,38,10,0,0,24
79,4,1,39,10,0,1,25
79,5,1,40,10,2,1,26
80,1,0,26,12,0,1,6
80,2,0,27,12,0,1,7
80,3,0,28,12,2,1,8
80,4,0,29,12,0,0,9
80,5,0,30,12,1,1,10
81,1,0,44,16,0,0,21
81,2,1,45,16,0,0,22
81,3,0,46,16,1,1,23
81,4,0,47,16,1,1,24
81,5,0,48,16,0,1,25
82,1,0,32,14,0,0,14
82,2,1,33,14,1,1,15
82,3,1,34,14,0,0,16
82,4,0,35,14,1,1,17
82,5,1,36,14,1,0,18
83,1,1,28,11,0,0,13
83,2,1,29,11,0,0,14
83,3,1,30,11,0,1,15
83,4,1,31,11,0,0,16
83,5,0,32,11,1,1,17
84,1,1,31,16,0,1,11
84,2,0,32,16,0,0,12
84,3,0,33,16,0,0,13
84,4,1,34,16,1,1,14
84,5,0,35,16,2,1,15
85,1,1,28,16,0,0,8
85,2,0,29,16,0,1,9
85,3,1,30,16,0,1,10
85,4,1,31,16,0,0,11
85,5,0,32,16,2,1,12
86,1,0,41,10,0,1,23
86,2,1,42,10,0,1,24
86,3,1,43,10,0,0,25
86,4,1,44,10,0,0,26
86,5,1,45,10,0,1,27
87,1,0,30,15,0,0,10
87,2,1,31,15,0,0,11
87,3,1,32,15,1,1,12
87,4,0,33,15,2,1,13
87,5,0,34,15,0,0,14
88,1,1,28,17,0,0,5
88,2,1,29,17,0,0,6
88,3,1,30,17,0,1,7
88,4,0,31,17,3,0,8
88,5,1,32,17,2,0,9
89,1,0,32,16,0,0,10
89,2,1,33,16,0,1,11
89,3,1,34,16,0,1,12
89,4,0,35,16,0,1,13
89,5,1,36,16,2,1,14
90,1,1,42,17,0,0,17
90,2,0,43,17,0,1,18
90,3,1,44,17,1,0,19
90,4,1,45,17,1,1,20
90,5,0,46,17,0,1,21
91,1,1,34,10,0,0,17
91,2,0,35,10,0,0,18
91,3,1,36,10,0,1,19
91,4,1,37,10,0,1,20
91,5,1,38,10,0,1,21
92,1,0,35,16,0,1,13
92,2,1,36,16,0,1,14
92,3,1,37,16,1,1,15
92,4,1,38,16,1,0,16
92,5,1,39,16,1,1,17
93,1,1,28,10,0,1,12
93,2,1,29,10,1,0,13
93,3,0,30,10,1,0,14
93,4,1,31,10,0,0,15
93,5,0,32,10,2,0,16
94,1,0,30,17,0,1,5
94,2,1,31,17,0,0,6
94,3,0,32,17,3,1,7
94,4,1,33,17,0,1,8
94,5,0,34,17,1,0,9
95,1,1,39,17,0,1,17
95,2,1,40,17,0,1,18
95,3,1,41,17,0,1,19
95,4,0,42,17,2,0,20
95,5,0,43,17,4,0,21
96,1,1,38,17,0,0,15
96,2,1,39,17,0,0,16
96,3,0,40,17,3,0,17
96,4,1,41,17,3,1,18
96,5,0,42,17,2,0,19
97,1,1,37,13,0,1,20
97,2,1,38,13,0,1,21
97,3,0,39,13,0,1,22
97,4,1,40,13,0,1,23
97,5,1,41,13,4,0,24
98,1,1,36,13,0,0,17
98,2,0,37,13,0,1,18
98,3,0,38,13,1,0,19
98,4,1,39,13,0,1,20
98,5,1,40,13,2,1,21
99,1,0,27,16,0,0,3
99,2,1,28,16,1,0,4
99,3,1,29,16,1,0,5
99,4,1,30,16,1,1,6
99,5,0,31,16,0,0,7
100,1,1,42,15,0,1,19
100,2,1,43,15,0,0,20
100,3,1,44,15,1,1,21
100,4,1,45,15,0,1,22
100,5,1,46,15,0,1,23
101,1,0,32,12,0,1,16
101,2,0,33,12,1,1,17
101,3,0,34,12,0,1,18
101,4,0,35,12,1,0,19
101,5,0,36,12,2,0,20
102,1,1,37,14,0,0,16
102,2,1,38,14,0,1,17
102,3,0,39,14,1,1,18
102,4,0,40,14,2,1,19
102,5,0,41,14,4,1,20
103,1,1,38,14,0,0,18
103,2,1,39,14,0,1,19
103,3,1,40,14,1,1,20
103,4,1,41,14,0,1,21
103,5,0,42,14,4,1,22
104,1,1,44,17,0,0,23
104,2,1,45,17,0,1,24
104,3,1,46,17,0,1,25
104,4,1,47,17,2,1,26
104,5,0,48,17,2,0,27
105,1,1,39,17,0,0,14
105,2,1,40,17,0,0,15
105,3,1,41,17,1,1,16
105,4,1,42,17,1,0,17
105,5,1,43,17,1,1,18
106,1,0,28,11,0,0,13
106,2,0,29,11,0,1,14
106,3,1,30,11,0,0,15
106,4,0,31,11,3,0,16
106,5,1,32,11,1,1,17
107,1,1,41,17,0,1,16
107,2,1,42,17,0,1,17
107,3,1,43,17,0,0,18
107,4,1,44,17,1,0,19
107,5,1,45,17,2,1,20
108,1,1,36,10,0,1,21
108,2,0,37,10,0,1,22
108,3,0,38,10,1,0,23
108,4,0,39,10,1,1,24
108,5,0,40,10,1,1,25
109,1,1,25,15,0,1,6
109,2,0,26,15,1,0,7
109,3,1,27,15,2,1,8
109,4,1,28,15,0,1,9
109,5,1,29,15,2,0,10
110,1,1,30,16,0,0,7
110,2,1,31,16,0,1,8
110,3,1,32,16,1,1,9
110,4,0,33,16,0,0,10
110,5,1,34,16,1,1,11
111,1,0,35,15,0,1,13
111,2,0,36,15,0,0,14
111,3,0,37,15,1,0,15
111,4,0,38,15,0,1,16
111,5,1,39,15,1,0,17
112,1,0,29,16,0,0,5
112,2,0,30,16,0,0,6
112,3,1,31,16,1,1,7
112,4,1,32,16,1,0,8
112,5,1,33,16,1,1,9
113,1,1,32,15,0,0,12
113,2,1,33,15,0,1,13
113,3,1,34,15,1,0,14
113,4,1,35,15,1,1,15
113,5,0,36,15,1,0,16
114,1,1,40,15,0,1,19
114,2,1,41,15,1,0,20
114,3,1,42,15,2,0,21
114,4,1,43,15,2,1,22
114,5,1,44,15,0,0,23
115,1,1,34,15,0,1,15
115,2,1,35,15,0,1,16
115,3,1,36,15,0,1,17
115,4,0,37,15,0,1,18
115,5,1,38,15,3,0,19
116,1,1,32,14,0,0,13
116,2,0,33,14,0,1,14
116,3,0,34,14,0,0,15
116,4,1,35,14,0,0,16
116,5,1,36,14,0,0,17
117,1,1,38,17,0,1,17
117,2,1,39,17,0,1,18
117,3,1,40,17,0,0,19
117,4,1,41,17,1,0,20
117,5,1,42,17,1,1,21
118,1,1,36,17,0,0,11
118,2,0,37,17,0,0,12
118,3,0,38,17,1,1,13
118,4,0,39,17,1,1,14
118,5,0,40,17,2,1,15
119,1,1,32,14,0,0,14
119,2,1,33,14,0,0,15
119,3,1,34,14,1,0,16
119,4,1,35,14,1,0,17
119,5,1,36,14,0,1,18
120,1,1,26,17,0,0,5
120,2,1,27,17,0,0,6
120,3,1,28,17,2,0,7
120,4,1,29,17,0,0,8
120,5,1,30,17,0,1,9
121,1,0,28,14,0,0,10
121,2,1,29,14,0,0,11
121,3,1,30,14,0,1,12
121,4,1,31,14,2,1,13
121,5,1,32,14,0,0,14
122,1,0,41,13,0,0,20
122,2,0,42,13,1,0,21
122,3,1,43,13,0,0,22
122,4,1,44,13,2,0,23
122,5,0,45,13,2,1,24
123,1,0,25,10,0,0,10
123,2,1,26,10,1,1,11
123,3,0,27,10,0,0,12
123,4,1,28,10,0,0,13
123,5,1,29,10,1,1,14
124,1,0,41,10,0,0,24
124,2,1,42,10,1,1,25
124,3,0,43,10,1,0,26
124,4,0,44,10,0,1,27
124,5,0,45,10,2,0,28
125,1,1,30,13,0,0,10
125,2,0,31,13,0,1,11
125,3,1,32,13,0,1,12
125,4,0,33,13,1,1,13
125,5,1,34,13,0,1,14
126,1,1,25,11,0,0,7
126,2,1,26,11,2,1,8
126,3,1,27,11,0,0,9
126,4,1,28,11,0,1,10
126,5,1,29,11,0,1,11
127,1,0,33,11,0,0,17
127,2,1,34,11,1,0,18
127,3,0,35,11,0,1,19
127,4,0,36,11,1,0,20
127,5,0,37,11,1,0,21
128,1,1,26,15,0,1,5
128,2,0,27,15,1,0,6
128,3,1,28,15,0,1,7
128,4,1,29,15,1,1,8
128,5,0,30,15,2,0,9
129,1,1,42,14,0,0,23
129,2,1,43,14,0,1,24
129,3,0,44,14,1,1,25
129,4,1,45,14,0,1,26
129,5,1,46,14,0,0,27
130,1,0,40,11,0,0,21
130,2,0,41,11,1,0,22
130,3,1,42,11,1,1,23
130,4,1,43,11,1,0,24
130,5,1,44,11,0,1,25
131,1,1,25,16,0,0,5
131,2,0,26,16,0,1,6
131,3,0,27,16,1,1,7
131,4,1,28,16,1,1,8
131,5,0,29,16,1,0,9
132,1,1,39,17,0,0,18
132,2,1,40,17,1,1,19
132,3,1,41,17,1,1,20
132,4,1,42,17,1,1,21
132,5,0,43,17,1,0,22
133,1,0,31,17,0,1,9
133,2,1,32,17,1,1,10
133,3,0,33,17,1,0,11
133,4,1,34,17,1,1,12
133,5,0,35,17,1,0,13
134,1,1,40,16,0,0,19
134,2,1,41,16,1,1,20
134,3,0,42,16,1,1,21
134,4,1,43,16,0,1,22
134,5,1,44,16,0,1,23
135,1,1,40,12,0,1,21
135,2,0,41,12,1,1,22
135,3,1,42,12,1,0,23
135,4,0,43,12,0,0,24
135,5,1,44,12,1,1,25
136,1,1,34,13,0,0,15
136,2,1,35,13,0,0,16
136,3,1,36,13,0,1,17
136,4,1,37,13,1,1,18
136,5,0,38,13,1,0,19
137,1,1,36,16,0,1,12
137,2,0,37,16,0,1,13
137,3,0,38,16,0,1,14
137,4,0,39,16,1,0,15
137,5,1,40,16,3,0,16
138,1,1,27,13,0,1,7
138,2,1,28,13,2,1,8
138,3,0,29,13,0,1,9
138,4,1,30,13,0,1,10
138,5,0,31,13,4,1,11
139,1,1,37,13,0,1,17
139,2,1,38,13,0,0,18
139,3,1,39,13,0,1,19
139,4,1,40,13,1,1,20
139,5,1,41,13,0,1,21
140,1,0,28,13,0,0,11
140,2,0,29,13,0,1,12
140,3,0,30,13,2,1,13
140,4,0,31,13,1,1,14
140,5,0,32,13,3,1,15
141,1,1,42,14,0,0,23
141,2,1,43,14,1,0,24
141,3,1,44,14,0,1,25
141,4,0,45,14,0,0,26
141,5,1,46,14,1,1,27
142,1,1,29,13,0,1,10
142,2,0,30,13,0,1,11
142,3,0,31,13,0,0,12
142,4,1,32,13,2,0,13
142,5,1,33,13,1,1,14
143,1,1,41,17,0,1,20
143,2,0,42,17,0,1,21
143,3,1,43,17,0,1,22
143,4,0,44,17,1,0,23
143,5,1,45,17,2,1,24
144,1,1,42,12,0,0,24
144,2,1,43,12,0,0,25
144,3,1,44,12,1,1,26
144,4,1,45,12,1,0,27
144,5,1,46,12,2,1,28
145,1,0,44,11,0,1,27
145,2,1,45,11,0,0,28
145,3,1,46,11,0,1,29
145,4,0,47,11,2,0,30
145,5,1,48,11,2,0,31
146,1,1,39,13,0,0,22
146,2,1,40,13,0,1,23
146,3,1,41,13,1,0,24
146,4,1,42,13,0,0,25
146,5,0,43,13,3,0,26
147,1,0,42,15,0,1,21
147,2,1,43,15,0,0,22
147,3,1,44,15,0,1,23
147,4,0,45,15,3,1,24
147,5,0,46,15,2,1,25
148,1,0,32,17,0,1,9
148,2,0,33,17,0,1,10
148,3,0,34,17,0,1,11
148,4,0,35,17,3,0,12
148,5,0,36,17,2,1,13
149,1,0,36,16,0,0,14
149,2,1,37,16,0,1,15
149,3,1,38,16,1,1,16
149,4,1,39,16,0,1,17
149,5,0,40,16,2,0,18
150,1,0,36,13,0,0,18
150,2,0,37,13,1,0,19
150,3,1,38,13,0,1,20
150,4,1,39,13,1,0,21
150,5,1,40,13,0,0,22
151,1,1,35,14,0,0,16
151,2,1,36,14,2,1,17
151,3,1,37,14,0,0,18
151,4,1,38,14,0,1,19
151,5,1,39,14,1,0,20
152,1,0,44,15,0,0,23
152,2,1,45,15,0,0,24
152,3,0,46,15,1,0,25
152,4,1,47,15,2,0,26
152,5,1,48,15,2,1,27
153,1,0,37,16,0,0,14
153,2,1,38,16,0,1,15
153,3,1,39,16,0,1,16
153,4,1,40,16,2,1,17
153,5,0,41,16,2,0,18
154,1,1,44,11,0,0,25
154,2,1,45,11,1,1,26
154,3,1,46,11,1,1,27
154,4,1,47,11,0,1,28
154,5,1,48,11,0,1,29
155,1,1,42,10,0,0,28
155,2,1,43,10,1,1,29
155,3,1,44,10,1,1,30
155,4,1,45,10,0,1,31
155,5,0,46,10,0,0,32
156,1,1,31,10,0,1,16
156,2,0,32,10,1,1,17
156,3,1,33,10,0,0,18
156,4,0,34,10,1,1,19
156,5,1,35,10,2,0,20
157,1,0,34,10,0,0,17
157,2,1,35,10,0,0,18
157,3,1,36,10,1,1,19
157,4,1,37,10,1,1,20
157,5,1,38,10,2,1,21
158,1,1,35,13,0,0,16
158,2,1,36,13,1,0,17
158,3,0,37,13,1,1,18
158,4,1,38,13,1,1,19
158,5,1,39,13,1,1,20
159,1,0,34,14,0,1,14
159,2,1,35,14,0,1,15
159,3,1,36,14,0,1,16
159,4,0,37,14,0,1,17
159,5,1,38,14,1,0,18
160,1,1,28,12,0,1,12
160,2,1,29,12,0,0,13
160,3,0,30,12,0,1,14
160,4,1,31,12,3,1,15
160,5,0,32,12,1,1,16
161,1,0,41,13,0,0,21
161,2,0,42,13,0,1,22
161,3,1,43,13,1,0,23
161,4,1,44,13,0,0,24
161,5,0,45,13,0,1,25
162,1,1,33,17,0,0,11
162,2,1,34,17,1,0,12
162,3,1,35,17,1,1,13
162,4,1,36,17,0,0,14
162,5,1,37,17,1,1,15
163,1,0,37,11,0,0,18
163,2,0,38,11,0,0,19
163,3,1,39,11,1,0,20
163,4,0,40,11,1,1,21
163,5,1,41,11,0,0,22
164,1,0,44,14,0,0,22
164,2,0,45,14,0,1,23
164,3,0,46,14,1,1,24
164,4,0,47,14,2,0,25
164,5,1,48,14,1,1,26
165,1,1,43,17,0,0,20
165,2,1,44,17,1,1,21
165,3,1,45,17,0,1,22
165,4,1,46,17,0,0,23
165,5,1,47,17,1,0,24
166,1,1,37,10,0,0,23
166,2,1,38,10,0,1,24
166,3,1,39,10,0,0,25
166,4,1,40,10,0,1,26
166,5,1,41,10,0,0,27
167,1,1,38,11,0,1,21
167,2,1,39,11,0,0,22
167,3,0,40,11,0,1,23
167,4,0,41,11,0,1,24
167,5,0,42,11,3,1,25
168,1,1,43,10,0,1,25
168,2,1,44,10,0,0,26
168,3,1,45,10,0,0,27
168,4,1,46,10,0,0,28
168,5,1,47,10,3,1,29
169,1,1,39,13,0,1,18
169,2,1,40,13,0,1,19
169,3,0,41,13,1,0,20
169,4,1,42,13,1,0,21
169,5,1,43,13,0,0,22
170,1,0,33,15,0,1,14
170,2,1,34,15,0,1,15
170,3,1,35,15,0,0,16
170,4,0,36,15,1,0,17
170,5,1,37,15,1,1,18
171,1,1,29,16,0,1,5
171,2,0,30,16,0,1,6
171,3,0,31,16,0,0,7
171,4,1,32,16,0,1,8
171,5,1,33,16,1,1,9
172,1,0,39,15,0,1,16
172,2,0,40,15,2,0,17
172,3,1,41,15,0,1,18
172,4,1,42,15,0,1,19
172,5,0,43,15,2,0,20
173,1,1,26,13,0,0,5
173,2,0,27,13,1,1,6
173,3,1,28,13,0,1,7
173,4,1,29,13,0,1,8
173,5,1,30,13,1,0,9
174,1,0,32,12,0,1,15
174,2,0,33,12,2,1,16
174,3,0,34,12,1,1,17
174,4,1,35,12,1,1,18
174,5,1,36,12,3,1,19
175,1,0,41,12,0,0,25
175,2,1,42,12,1,1,26
