id,year,mode,choice,cost,time,reliability,comfort,income,distance
3,1,metro,1,5.0,43.9,4.8,3.9,36730.65,20.2
3,1,bike,0,0.5,87.9,3.9,1.5,36730.65,20.2
3,2,car,0,35.82,41.9,4.7,3.6,36730.65,20.2
3,2,bus,0,4.83,87.5,1.7,2.3,36730.65,20.2
3,2,metro,1,5.21,43.4,5.0,4.4,36730.65,20.2
3,2,bike,0,0.59,100.4,2.5,2.0,36730.65,20.2
3,3,car,0,28.04,57.8,4.0,3.9,36730.65,20.2
3,3,bus,0,4.18,87.3,2.9,4.0,36730.65,20.2
3,3,metro,0,5.88,37.2,2.9,3.7,36730.65,20.2
3,3,bike,1,0.86,60.0,4.4,2.1,36730.65,20.2
3,4,car,0,22.73,34.6,3.9,3.8,36730.65,20.2
3,4,bus,0,4.09,90.4,2.3,1.2,36730.65,20.2
3,4,metro,1,5.71,49.5,4.5,2.6,36730.65,20.2
3,4,bike,0,1.43,87.2,3.7,1.5,36730.65,20.2
3,5,car,0,34.19,63.5,4.3,3.9,36730.65,20.2
3,5,bus,0,5.05,98.4,1.8,2.5,36730.65,20.2
3,5,metro,1,5.82,44.9,4.5,2.0,36730.65,20.2
3,5,bike,0,0.79,78.8,3.8,3.4,36730.65,20.2
4,1,car,1,13.51,25.7,3.7,4.2,71032.29,6.7
4,1,bus,0,4.18,37.2,4.0,1.8,71032.29,6.7
4,1,metro,0,5.24,22.7,4.5,3.3,71032.29,6.7
4,1,bike,0,0.5,25.4,3.1,1.8,71032.29,6.7
4,2,car,1,14.9,14.8,3.8,3.8,71032.29,6.7
4,2,bus,0,4.44,41.0,4.0,3.1,71032.29,6.7
4,2,metro,0,4.41,16.8,4.6,3.4,71032.29,6.7
4,2,bike,0,0.5,27.8,5.0,3.8,71032.29,6.7
4,3,car,0,11.53,24.3,2.3,3.4,71032.29,6.7
4,3,bus,0,3.44,39.9,3.9,2.1,71032.29,6.7
4,3,metro,0,5.32,24.0,3.9,3.3,71032.29,6.7
4,3,bike,1,0.5,30.3,4.3,2.0,71032.29,6.7
4,4,car,1,9.78,20.9,4.7,4.9,71032.29,6.7
4,4,bus,0,4.67,43.7,2.6,1.8,71032.29,6.7
4,4,metro,0,5.67,21.0,4.6,3.7,71032.29,6.7
4,4,bike,0,0.5,37.9,3.8,2.8,71032.29,6.7
4,5,car,0,9.3,23.8,2.6,3.9,71032.29,6.7
4,5,bus,0,4.16,34.3,3.3,1.8,71032.29,6.7
4,5,metro,0,5.8,20.1,4.2,3.3,71032.29,6.7
4,5,bike,1,0.5,25.9,2.4,2.8,71032.29,6.7
5,1,car,0,11.65,30.4,4.1,3.9,35754.47,9.5
5,1,bus,0,4.35,34.8,2.3,1.6,35754.47,9.5
5,1,metro,0,4.76,27.3,3.6,4.7,35754.47,9.5
5,1,bike,1,0.5,46.0,3.7,1.8,35754.47,9.5
5,2,car,1,15.48,29.1,3.0,4.7,35754.47,9.5
5,2,bus,0,4.56,40.0,2.2,3.2,35754.47,9.5
5,2,metro,0,6.82,21.4,3.8,3.7,35754.47,9.5
5,2,bike,0,0.5,25.8,3.4,1.3,35754.47,9.5
5,3,car,1,13.49,23.3,2.9,4.4,35754.47,9.5
5,3,bus,0,3.96,38.6,2.4,2.4,35754.47,9.5
5,3,metro,0,4.59,19.4,2.5,3.4,35754.47,9.5
5,3,bike,0,0.56,30.7,3.8,2.2,35754.47,9.5
5,4,car,0,13.02,27.1,3.7,4.0,35754.47,9.5
5,4,bus,0,4.67,41.3,5.0,2.1,35754.47,9.5
5,4,metro,1,4.95,26.1,3.0,3.8,35754.47,9.5
5,4,bike,0,0.5,30.7,3.1,2.9,35754.47,9.5
5,5,car,0,20.4,22.2,3.3,3.1,35754.47,9.5
5,5,bus,0,4.59,44.1,2.5,2.8,35754.47,9.5
5,5,metro,1,4.98,30.9,4.3,3.1,35754.47,9.5
5,5,bike,0,0.73,31.3,4.1,2.8,35754.47,9.5
6,1,car,1,24.1,64.1,3.9,4.0,92368.47,21.6
6,1,bus,0,4.28,106.0,4.6,1.9,92368.47,21.6
6,1,metro,0,6.29,48.9,4.1,3.8,92368.47,21.6
6,1,bike,0,1.14,97.9,3.4,1.3,92368.47,21.6
6,2,car,0,30.03,59.1,4.5,3.6,92368.47,21.6
6,2,bus,0,4.18,93.8,3.3,4.2,92368.47,21.6
6,2,metro,0,5.67,46.6,4.0,3.4,92368.47,21.6
6,2,bike,1,1.37,74.4,3.5,2.1,92368.47,21.6
6,3,car,0,32.45,67.4,3.4,4.6,92368.47,21.6
6,3,bus,0,3.73,72.8,2.5,2.6,92368.47,21.6
6,3,metro,1,6.82,69.2,3.4,2.5,92368.47,21.6
6,3,bike,0,1.39,83.6,1.7,1.0,92368.47,21.6
6,4,car,1,24.4,55.7,3.5,4.1,92368.47,21.6
6,4,bus,0,3.74,90.0,2.8,2.1,92368.47,21.6
6,4,metro,0,6.28,33.0,4.0,3.0,92368.47,21.6
6,4,bike,0,0.9,115.6,3.4,2.0,92368.47,21.6
6,5,car,1,29.12,43.3,4.2,3.9,92368.47,21.6
6,5,bus,0,3.36,103.6,3.8,2.8,92368.47,21.6
6,5,metro,0,5.26,46.9,4.4,2.6,92368.47,21.6
6,5,bike,0,1.16,78.5,2.2,2.6,92368.47,21.6
7,1,car,0,33.47,51.1,4.4,4.8,39577.08,27.7
7,1,bus,0,4.7,96.4,1.4,1.0,39577.08,27.7
7,1,metro,1,6.03,71.9,4.5,2.2,39577.08,27.7
7,1,bike,0,0.58,100.7,1.9,1.6,39577.08,27.7
7,2,car,0,36.86,68.9,3.6,4.6,39577.08,27.7
7,2,bus,1,4.48,111.3,1.5,2.2,39577.08,27.7
7,2,metro,0,6.0,70.1,4.3,3.6,39577.08,27.7
7,2,bike,0,1.0,133.9,5.0,3.3,39577.08,27.7
7,3,car,1,37.75,77.8,3.9,4.2,39577.08,27.7
7,3,bus,0,4.09,89.1,1.4,2.6,39577.08,27.7
7,3,metro,0,6.2,52.5,5.0,3.7,39577.08,27.7
7,3,bike,0,0.83,119.0,2.9,1.0,39577.08,27.7
7,4,car,0,42.06,86.1,3.3,4.5,39577.08,27.7
7,4,bus,1,5.29,118.2,3.7,3.4,39577.08,27.7
7,4,metro,0,5.87,65.3,4.1,3.9,39577.08,27.7
7,4,bike,0,0.96,99.2,3.9,1.6,39577.08,27.7
7,5,car,1,29.21,66.9,3.2,3.7,39577.08,27.7
7,5,bus,0,4.61,135.8,3.5,3.4,39577.08,27.7
7,5,metro,0,6.29,76.1,3.2,3.1,39577.08,27.7
7,5,bike,0,0.85,133.0,3.7,2.1,39577.08,27.7
8,1,car,0,30.4,86.0,3.2,4.0,82722.27,25.8
8,1,bus,0,4.76,91.8,4.0,2.3,82722.27,25.8
8,1,metro,1,6.11,57.8,4.9,2.5,82722.27,25.8
8,1,bike,0,1.75,129.1,2.7,1.3,82722.27,25.8
8,2,car,0,39.59,76.1,3.8,5.0,82722.27,25.8
8,2,bus,0,3.8,84.0,2.9,2.1,82722.27,25.8
8,2,metro,1,5.55,70.0,4.3,3.0,82722.27,25.8
8,2,bike,0,1.99,98.1,3.5,1.5,82722.27,25.8
8,3,car,1,40.47,71.6,3.1,4.5,82722.27,25.8
8,3,bus,0,4.21,84.2,2.5,3.9,82722.27,25.8
8,3,metro,0,5.5,53.5,4.2,3.2,82722.27,25.8
8,3,bike,0,1.69,110.1,3.5,1.4,82722.27,25.8
8,4,car,0,28.48,73.0,4.3,4.8,82722.27,25.8
8,4,bus,0,3.87,95.8,3.5,3.5,82722.27,25.8
8,4,metro,1,4.35,53.4,4.3,3.7,82722.27,25.8
8,4,bike,0,1.43,124.4,4.2,1.9,82722.27,25.8
8,5,car,0,40.94,67.6,3.7,4.5,82722.27,25.8
8,5,bus,0,4.29,88.3,4.1,2.6,82722.27,25.8
8,5,metro,1,6.09,64.7,3.9,3.0,82722.27,25.8
8,5,bike,0,0.96,83.5,3.5,2.2,82722.27,25.8
9,1,car,0,8.57,16.9,4.0,4.1,100671.0,4.7
9,1,bus,0,4.12,27.8,3.6,1.7,100671.0,4.7
9,1,metro,1,5.22,12.0,4.7,3.2,100671.0,4.7
9,1,bike,0,0.5,10.0,4.4,2.5,100671.0,4.7
9,2,car,0,9.62,19.7,3.9,4.4,100671.0,4.7
9,2,bus,0,4.58,32.2,2.0,1.8,100671.0,4.7
9,2,metro,0,4.41,17.7,4.2,3.3,100671.0,4.7
9,2,bike,1,0.5,22.7,4.3,2.3,100671.0,4.7
9,3,car,1,9.15,13.9,3.5,5.0,100671.0,4.7
9,3,bus,0,4.82,15.2,2.3,2.5,100671.0,4.7
9,3,metro,0,4.71,17.8,3.8,3.6,100671.0,4.7
9,3,bike,0,0.5,22.7,2.8,3.4,100671.0,4.7
9,4,car,1,7.9,15.4,3.8,4.7,100671.0,4.7
9,4,bus,0,4.26,24.7,3.1,2.6,100671.0,4.7
9,4,metro,0,5.93,15.5,4.4,3.9,100671.0,4.7
9,4,bike,0,0.5,19.8,2.7,1.8,100671.0,4.7
9,5,car,1,11.59,15.2,2.7,4.7,100671.0,4.7
9,5,bus,0,4.07,25.0,3.3,2.4,100671.0,4.7
9,5,metro,0,4.79,21.9,3.7,3.9,100671.0,4.7
9,5,bike,0,0.5,17.5,3.4,2.7,100671.0,4.7
10,1,car,0,43.03,92.2,3.1,4.5,19254.52,29.8
10,1,bus,0,3.58,116.0,2.3,2.2,19254.52,29.8
10,1,metro,1,6.01,73.4,4.0,3.8,19254.52,29.8
10,1,bike,0,1.66,141.7,4.3,1.0,19254.52,29.8
10,2,car,0,50.73,91.0,3.2,4.0,19254.52,29.8
10,2,bus,0,3.78,112.0,4.0,2.3,19254.52,29.8
10,2,metro,1,6.85,53.0,4.5,4.5,19254.52,29.8
10,2,bike,0,0.83,134.3,2.9,2.3,19254.52,29.8
10,3,car,1,35.36,51.1,4.1,5.0,19254.52,29.8
10,3,bus,0,4.42,135.1,3.1,2.4,19254.52,29.8
10,3,metro,0,5.95,54.3,4.6,4.0,19254.52,29.8
10,3,bike,0,2.27,98.4,1.0,1.2,19254.52,29.8
10,4,car,0,45.06,89.3,4.3,3.6,19254.52,29.8
10,4,bus,0,4.32,137.4,3.3,2.7,19254.52,29.8
10,4,metro,1,6.57,77.3,3.3,2.8,19254.52,29.8
10,4,bike,0,2.1,126.9,4.7,1.9,19254.52,29.8
10,5,car,0,47.87,88.1,2.7,3.7,19254.52,29.8
10,5,bus,1,3.56,113.8,1.6,1.0,19254.52,29.8
10,5,metro,0,5.82,75.9,5.0,2.9,19254.52,29.8
10,5,bike,0,1.79,86.8,2.4,1.0,19254.52,29.8
11,1,car,1,33.45,35.1,3.3,4.2,32522.74,17.1
11,1,bus,0,3.15,64.2,3.1,1.8,32522.74,17.1
11,1,metro,0,6.8,44.4,3.9,2.8,32522.74,17.1
11,1,bike,0,0.5,80.6,3.7,1.2,32522.74,17.1
11,2,car,1,23.95,47.3,3.4,4.3,32522.74,17.1
11,2,bus,0,4.87,68.1,2.3,3.3,32522.74,17.1
11,2,metro,0,5.16,31.5,4.0,3.5,32522.74,17.1
11,2,bike,0,0.53,74.7,3.6,1.8,32522.74,17.1
11,3,car,1,30.19,36.7,3.9,4.8,32522.74,17.1
11,3,bus,0,3.78,81.6,2.2,3.6,32522.74,17.1
11,3,metro,0,5.31,28.1,3.8,2.4,32522.74,17.1
11,3,bike,0,1.14,77.6,3.6,2.2,32522.74,17.1
11,4,car,0,18.66,54.3,3.0,4.2,32522.74,17.1
11,4,bus,0,5.22,58.5,2.3,2.1,32522.74,17.1
11,4,metro,1,6.49,39.7,3.9,3.7,32522.74,17.1
11,4,bike,0,1.05,57.2,2.5,2.8,32522.74,17.1
11,5,car,0,26.85,33.8,4.6,3.9,32522.74,17.1
11,5,bus,0,5.24,59.0,2.6,1.5,32522.74,17.1
11,5,metro,0,5.86,44.3,4.8,3.3,32522.74,17.1
11,5,bike,1,0.82,50.2,2.1,2.6,32522.74,17.1
12,1,car,0,50.95,60.0,3.5,4.7,35814.33,33.6
12,1,bus,0,3.86,118.0,3.5,2.3,35814.33,33.6
12,1,metro,1,6.03,72.1,4.0,3.5,35814.33,33.6
12,1,bike,0,1.4,131.9,3.1,2.3,35814.33,33.6
12,2,car,1,33.86,62.5,2.6,4.1,35814.33,33.6
12,2,bus,0,5.06,151.7,1.9,2.5,35814.33,33.6
12,2,metro,0,6.5,77.2,3.8,3.6,35814.33,33.6
12,2,bike,0,2.33,152.1,2.7,1.9,35814.33,33.6
12,3,car,0,47.88,60.9,3.1,4.3,35814.33,33.6
12,3,bus,0,4.67,160.4,2.6,2.5,35814.33,33.6
12,3,metro,1,5.84,49.1,3.8,3.6,35814.33,33.6
12,3,bike,0,1.98,107.6,3.4,3.0,35814.33,33.6
12,4,car,0,34.67,93.5,3.8,4.5,35814.33,33.6
12,4,bus,0,4.89,140.3,1.6,2.6,35814.33,33.6
12,4,metro,1,6.22,41.3,4.1,2.7,35814.33,33.6
12,4,bike,0,1.51,116.5,3.2,3.0,35814.33,33.6
12,5,car,0,48.86,79.3,4.0,4.6,35814.33,33.6
12,5,bus,0,3.25,159.1,2.4,2.7,35814.33,33.6
12,5,metro,1,6.26,86.0,5.0,4.1,35814.33,33.6
12,5,bike,0,1.47,126.7,2.7,3.2,35814.33,33.6
13,1,car,1,9.18,7.9,3.7,4.5,164492.04,4.5
13,1,bus,0,4.22,19.7,2.2,3.4,164492.04,4.5
13,1,metro,0,5.12,14.9,3.5,2.5,164492.04,4.5
13,1,bike,0,0.5,16.8,4.0,1.6,164492.04,4.5
13,2,car,1,9.03,17.7,2.6,4.3,164492.04,4.5
13,2,bus,0,4.86,24.5,1.4,2.2,164492.04,4.5
13,2,metro,0,5.06,16.5,2.8,3.1,164492.04,4.5
13,2,bike,0,0.5,20.3,3.7,2.2,164492.04,4.5
13,3,car,1,11.0,16.4,3.4,4.2,164492.04,4.5
13,3,bus,0,4.32,32.1,2.7,1.5,164492.04,4.5
13,3,metro,0,5.17,17.9,4.5,3.6,164492.04,4.5
13,3,bike,0,0.5,18.7,3.7,2.6,164492.04,4.5
13,4,car,1,11.94,17.0,3.2,4.9,164492.04,4.5
13,4,bus,0,4.59,25.6,3.0,2.1,164492.04,4.5
13,4,metro,0,5.67,16.5,3.2,2.6,164492.04,4.5
13,4,bike,0,0.5,18.4,3.8,2.2,164492.04,4.5
13,5,car,0,12.19,15.0,2.3,4.8,164492.04,4.5
13,5,bus,0,4.34,28.5,4.0,2.1,164492.04,4.5
13,5,metro,1,5.24,20.8,5.0,3.4,164492.04,4.5
13,5,bike,0,0.5,20.5,2.5,1.3,164492.04,4.5
14,1,car,0,41.03,65.3,3.0,5.0,150147.65,25.3
14,1,bus,0,4.09,105.9,1.3,2.9,150147.65,25.3
14,1,metro,1,6.48,56.0,4.0,2.7,150147.65,25.3
14,1,bike,0,1.76,85.9,3.1,3.5,150147.65,25.3
14,2,car,0,42.55,56.7,2.4,2.8,150147.65,25.3
14,2,bus,0,3.43,75.4,3.2,2.5,150147.65,25.3
14,2,metro,1,5.44,42.9,3.7,4.4,150147.65,25.3
14,2,bike,0,1.06,122.2,2.1,3.3,150147.65,25.3
14,3,car,1,37.67,42.2,4.5,3.0,150147.65,25.3
14,3,bus,0,4.58,81.4,2.6,3.1,150147.65,25.3
14,3,metro,0,6.13,65.7,4.0,3.7,150147.65,25.3
14,3,bike,0,0.61,111.7,2.5,1.8,150147.65,25.3
14,4,car,1,41.65,50.0,4.3,4.8,150147.65,25.3
14,4,bus,0,4.1,107.9,2.2,1.8,150147.65,25.3
14,4,metro,0,6.51,49.6,3.5,3.3,150147.65,25.3
14,4,bike,0,2.0,120.4,3.4,2.3,150147.65,25.3
14,5,car,1,34.78,73.9,3.4,4.0,150147.65,25.3
14,5,bus,0,3.77,104.2,3.9,1.8,150147.65,25.3
14,5,metro,0,6.04,57.7,3.6,3.4,150147.65,25.3
14,5,bike,0,1.94,102.2,2.5,3.3,150147.65,25.3
15,1,car,0,54.75,94.5,3.8,4.6,41253.79,39.4
15,1,bus,0,4.84,169.7,3.9,2.4,41253.79,39.4
15,1,metro,1,6.73,75.2,4.7,2.6,41253.79,39.4
15,1,bike,0,2.06,136.7,3.7,2.1,41253.79,39.4
15,2,car,0,60.91,101.8,3.5,4.1,41253.79,39.4
15,2,bus,1,4.2,116.2,3.7,2.5,41253.79,39.4
15,2,metro,0,6.29,82.0,4.9,3.1,41253.79,39.4
15,2,bike,0,1.83,195.4,2.1,3.4,41253.79,39.4
15,3,car,0,60.7,86.7,3.9,3.9,41253.79,39.4
15,3,bus,0,4.48,144.3,2.1,1.1,41253.79,39.4
15,3,metro,1,7.43,77.6,3.7,3.8,41253.79,39.4
15,3,bike,0,2.47,144.7,2.8,3.0,41253.79,39.4
15,4,car,0,61.78,71.9,4.2,3.5,41253.79,39.4
15,4,bus,0,4.56,120.4,1.3,3.0,41253.79,39.4
15,4,metro,0,6.18,99.8,4.1,3.7,41253.79,39.4
15,4,bike,1,2.41,144.5,4.1,1.0,41253.79,39.4
15,5,car,0,50.57,85.1,3.6,4.5,41253.79,39.4
15,5,bus,0,4.95,166.5,3.1,2.2,41253.79,39.4
15,5,metro,0,6.71,104.5,4.5,3.5,41253.79,39.4
15,5,bike,1,2.08,140.1,2.7,1.5,41253.79,39.4
16,1,car,0,29.75,78.0,3.5,4.7,15858.57,25.1
16,1,bus,0,4.93,107.2,3.7,2.9,15858.57,25.1
16,1,metro,1,5.62,69.5,3.4,3.4,15858.57,25.1
16,1,bike,0,0.58,75.2,3.4,2.8,15858.57,25.1
16,2,car,0,40.5,61.7,3.4,5.0,15858.57,25.1
16,2,bus,0,4.52,108.6,2.9,2.1,15858.57,25.1
16,2,metro,1,7.11,36.8,4.3,3.4,15858.57,25.1
16,2,bike,0,1.46,101.3,3.2,1.4,15858.57,25.1
16,3,car,0,39.57,63.1,2.2,4.3,15858.57,25.1
16,3,bus,0,4.29,95.5,2.9,2.0,15858.57,25.1
16,3,metro,1,5.02,41.6,3.9,3.1,15858.57,25.1
16,3,bike,0,0.8,102.4,3.8,1.4,15858.57,25.1
16,4,car,0,41.78,71.4,3.6,3.8,15858.57,25.1
16,4,bus,0,4.07,100.8,4.1,1.0,15858.57,25.1
16,4,metro,1,5.37,67.8,4.5,2.9,15858.57,25.1
16,4,bike,0,1.12,122.0,3.0,1.8,15858.57,25.1
16,5,car,0,39.71,65.7,3.5,3.9,15858.57,25.1
16,5,bus,0,5.01,120.6,2.6,2.6,15858.57,25.1
16,5,metro,1,6.64,62.0,3.9,3.4,15858.57,25.1
16,5,bike,0,1.05,80.3,1.5,1.2,15858.57,25.1
17,1,car,1,36.25,81.1,4.6,4.1,33351.19,27.9
17,1,bus,0,4.9,132.2,3.4,1.6,33351.19,27.9
17,1,metro,0,5.86,59.5,3.4,2.7,33351.19,27.9
17,1,bike,0,1.31,99.2,4.5,1.7,33351.19,27.9
17,2,car,0,25.35,60.8,3.2,4.0,33351.19,27.9
17,2,bus,0,4.0,144.3,2.7,1.2,33351.19,27.9
17,2,metro,1,6.68,45.2,4.2,3.1,33351.19,27.9
17,2,bike,0,1.17,110.8,2.2,1.9,33351.19,27.9
17,3,car,1,33.41,57.5,2.8,4.2,33351.19,27.9
17,3,bus,0,4.35,111.4,2.1,2.8,33351.19,27.9
17,3,metro,0,6.42,63.0,3.2,3.9,33351.19,27.9
17,3,bike,0,1.2,109.8,2.4,1.0,33351.19,27.9
17,4,car,0,37.37,50.0,4.7,4.6,33351.19,27.9
17,4,bus,0,5.38,98.7,2.5,2.4,33351.19,27.9
17,4,metro,1,5.58,77.2,4.2,2.6,33351.19,27.9
17,4,bike,0,1.22,135.2,2.6,2.0,33351.19,27.9
17,5,car,0,32.07,70.6,4.3,5.0,33351.19,27.9
17,5,bus,0,4.1,135.6,2.6,2.6,33351.19,27.9
17,5,metro,1,6.88,57.8,3.9,4.5,33351.19,27.9
17,5,bike,0,1.41,117.6,4.1,1.8,33351.19,27.9
18,1,car,1,16.55,41.3,3.7,4.1,97715.81,13.3
18,1,bus,0,4.13,50.7,3.7,2.0,97715.81,13.3
18,1,metro,0,5.89,39.1,4.0,2.9,97715.81,13.3
18,1,bike,0,0.5,63.9,2.4,1.9,97715.81,13.3
18,2,car,1,16.39,40.2,3.4,3.6,97715.81,13.3
18,2,bus,0,4.7,54.1,2.6,2.5,97715.81,13.3
18,2,metro,0,5.23,25.7,2.8,3.5,97715.81,13.3
18,2,bike,0,0.67,49.9,3.8,3.1,97715.81,13.3
18,3,car,1,18.49,32.3,3.5,3.9,97715.81,13.3
18,3,bus,0,4.08,67.5,1.4,2.6,97715.81,13.3
18,3,metro,0,5.56,30.1,3.6,2.8,97715.81,13.3
18,3,bike,0,0.81,60.8,2.8,2.9,97715.81,13.3
18,4,car,1,20.52,39.5,3.4,4.1,97715.81,13.3
18,4,bus,0,4.96,52.9,3.0,3.5,97715.81,13.3
18,4,metro,0,5.33,32.1,3.7,3.9,97715.81,13.3
18,4,bike,0,0.5,65.3,1.0,2.8,97715.81,13.3
18,5,car,0,20.9,27.2,3.1,4.4,97715.81,13.3
18,5,bus,0,4.5,56.0,2.7,2.7,97715.81,13.3
18,5,metro,1,5.32,27.1,3.7,3.7,97715.81,13.3
18,5,bike,0,0.78,49.1,4.5,1.1,97715.81,13.3
19,1,car,0,16.75,19.2,2.3,4.1,19347.72,8.1
19,1,bus,1,3.97,47.7,2.9,1.0,19347.72,8.1
19,1,metro,0,5.77,19.0,3.1,3.8,19347.72,8.1
19,1,bike,0,0.5,25.5,2.2,1.0,19347.72,8.1
19,2,car,0,12.01,31.0,3.0,3.5,19347.72,8.1
19,2,bus,1,4.96,31.0,1.1,3.0,19347.72,8.1
19,2,metro,0,5.56,21.0,4.2,3.7,19347.72,8.1
19,2,bike,0,0.5,27.4,4.1,1.0,19347.72,8.1
19,3,car,0,12.3,28.7,3.7,4.4,19347.72,8.1
19,3,bus,0,4.31,46.8,2.0,2.2,19347.72,8.1
19,3,metro,1,6.03,14.7,4.2,2.5,19347.72,8.1
19,3,bike,0,0.5,25.5,4.5,3.3,19347.72,8.1
19,4,car,0,15.06,17.6,2.4,3.9,19347.72,8.1
19,4,bus,0,4.36,34.9,2.4,4.0,19347.72,8.1
19,4,metro,0,5.04,27.2,4.1,2.2,19347.72,8.1
19,4,bike,1,0.5,32.7,4.0,1.5,19347.72,8.1
19,5,car,0,16.03,14.7,3.9,4.2,19347.72,8.1
19,5,bus,0,4.19,39.5,2.3,1.6,19347.72,8.1
19,5,metro,1,5.5,24.4,4.0,2.7,19347.72,8.1
19,5,bike,0,0.63,38.0,3.7,2.7,19347.72,8.1
20,1,car,1,10.9,11.4,5.0,4.6,48960.75,3.4
20,1,bus,0,4.71,19.0,2.6,2.4,48960.75,3.4
20,1,metro,0,4.87,14.9,3.8,2.9,48960.75,3.4
20,1,bike,0,0.5,10.0,2.6,3.1,48960.75,3.4
20,2,car,0,11.54,8.8,4.0,3.4,48960.75,3.4
20,2,bus,0,4.1,20.3,2.9,3.6,48960.75,3.4
20,2,metro,0,5.18,10.3,4.4,3.4,48960.75,3.4
20,2,bike,1,0.5,10.0,5.0,1.3,48960.75,3.4
20,3,car,0,6.98,11.6,3.8,4.5,48960.75,3.4
20,3,bus,1,4.22,19.4,3.1,3.3,48960.75,3.4
20,3,metro,0,3.24,13.1,4.7,2.2,48960.75,3.4
20,3,bike,0,0.5,15.3,2.2,2.3,48960.75,3.4
20,4,car,0,9.14,8.3,3.0,4.4,48960.75,3.4
20,4,bus,0,3.12,22.0,3.8,3.0,48960.75,3.4
20,4,metro,1,4.61,12.0,3.4,3.1,48960.75,3.4
20,4,bike,0,0.5,11.0,2.8,1.5,48960.75,3.4
20,5,car,0,12.31,10.3,3.9,4.0,48960.75,3.4
20,5,bus,0,4.64,27.5,2.7,3.8,48960.75,3.4
20,5,metro,1,4.69,15.6,4.3,3.4,48960.75,3.4
20,5,bike,0,0.5,11.0,4.0,2.4,48960.75,3.4
21,1,car,0,25.69,41.1,3.5,4.3,35157.88,15.4
21,1,bus,1,4.62,63.6,3.2,3.4,35157.88,15.4
21,1,metro,0,5.96,31.9,4.5,4.4,35157.88,15.4
21,1,bike,0,0.98,60.7,2.3,2.0,35157.88,15.4
21,2,car,0,20.66,45.4,3.1,3.4,35157.88,15.4
21,2,bus,1,3.97,61.8,2.0,3.4,35157.88,15.4
21,2,metro,0,5.92,49.0,3.3,2.8,35157.88,15.4
21,2,bike,0,0.93,74.4,4.3,1.5,35157.88,15.4
21,3,car,0,20.62,46.3,3.1,5.0,35157.88,15.4
21,3,bus,0,4.32,61.9,1.5,2.1,35157.88,15.4
21,3,metro,1,5.3,33.6,3.2,2.9,35157.88,15.4
21,3,bike,0,1.18,55.6,3.3,3.4,35157.88,15.4
21,4,car,1,20.7,30.1,4.4,4.7,35157.88,15.4
