pair_id,year,log_exports,log_gdp_i,log_gdp_j,log_distance,tariff,border,language
PAIR_0005,2019,11.542,10.9515,12.5162,6.5954,0.0137,1,0
PAIR_0006,2005,9.7539,11.1655,11.9085,7.2697,0.0037,0,0
PAIR_0006,2006,10.7032,10.1672,13.9548,7.2697,0.0153,0,0
PAIR_0006,2007,9.3185,11.5594,10.6023,7.2697,0.0604,0,0
PAIR_0006,2008,12.0987,9.9085,15.6367,7.2697,0.0159,0,0
PAIR_0006,2009,7.1599,10.1666,9.2686,7.2697,0.0393,0,0
PAIR_0006,2010,8.4943,11.0103,10.4062,7.2697,0.0776,0,0
PAIR_0006,2011,11.2701,12.6338,12.0477,7.2697,0.0311,0,0
PAIR_0006,2012,10.7463,11.8984,11.9779,7.2697,0.0478,0,0
PAIR_0006,2013,9.8061,9.9425,12.9777,7.2697,0.0339,0,0
PAIR_0006,2014,10.3316,10.1776,13.0637,7.2697,0.0735,0,0
PAIR_0006,2015,13.1733,12.6637,13.4586,7.2697,0.0191,0,0
PAIR_0006,2016,9.0818,10.1306,11.355,7.2697,0.0049,0,0
PAIR_0006,2017,11.5064,14.3364,11.3824,7.2697,0.0386,0,0
PAIR_0006,2018,11.8458,12.4015,13.2577,7.2697,0.0277,0,0
PAIR_0006,2019,9.1394,9.9793,10.9482,7.2697,0.0,0,0
PAIR_0007,2005,8.4699,10.2338,12.0555,9.0692,0.037,0,1
PAIR_0007,2006,7.1327,9.2165,11.6921,9.0692,0.0786,0,1
PAIR_0007,2007,9.9146,10.5259,14.3039,9.0692,0.0,0,1
PAIR_0007,2008,11.2482,12.9589,13.4013,9.0692,0.0172,0,1
PAIR_0007,2009,9.1224,12.7845,11.3331,9.0692,0.0064,0,1
PAIR_0007,2010,8.0538,10.6225,10.7746,9.0692,0.0173,0,1
PAIR_0007,2011,9.1775,12.4566,11.1921,9.0692,0.0314,0,1
PAIR_0007,2012,8.5095,12.5336,10.0234,9.0692,0.0073,0,1
PAIR_0007,2013,4.936,7.5233,10.4488,9.0692,0.0609,0,1
PAIR_0007,2014,6.7328,9.2667,11.5142,9.0692,0.0,0,1
PAIR_0007,2015,8.7009,10.7557,12.6825,9.0692,0.058,0,1
PAIR_0007,2016,5.1464,9.4507,9.0104,9.0692,0.0618,0,1
PAIR_0007,2017,7.6967,11.4125,10.0058,9.0692,0.0533,0,1
PAIR_0007,2018,6.9996,11.1017,10.353,9.0692,0.0292,0,1
PAIR_0007,2019,9.3385,12.5005,11.3105,9.0692,0.0273,0,1
PAIR_0008,2005,9.5,11.0328,12.1643,8.9371,0.0528,0,1
PAIR_0008,2006,10.6743,11.4149,12.2721,8.9371,0.0514,0,1
PAIR_0008,2007,9.8559,12.0078,11.1771,8.9371,0.0523,0,1
PAIR_0008,2008,11.0457,12.1007,12.0987,8.9371,0.0068,0,1
PAIR_0008,2009,13.1734,14.9302,12.399,8.9371,0.0,0,1
PAIR_0008,2010,7.8996,9.6809,11.1623,8.9371,0.0606,0,1
PAIR_0008,2011,9.3975,14.4471,7.2989,8.9371,0.0306,0,1
PAIR_0008,2012,7.9935,9.8108,10.0083,8.9371,0.0587,0,1
PAIR_0008,2013,12.0896,14.729,11.1401,8.9371,0.0745,0,1
PAIR_0008,2014,11.5574,13.055,11.364,8.9371,0.0,0,1
PAIR_0008,2015,11.8614,14.4938,11.0688,8.9371,0.0581,0,1
PAIR_0008,2016,10.828,14.9914,9.4806,8.9371,0.0227,0,1
PAIR_0008,2017,7.9339,9.36,11.5662,8.9371,0.0125,0,1
PAIR_0008,2018,12.0445,13.0158,13.7081,8.9371,0.0394,0,1
PAIR_0008,2019,11.2053,12.2892,12.2746,8.9371,0.0,0,1
PAIR_0009,2005,8.8611,8.9902,11.8978,6.6516,0.0677,0,0
PAIR_0009,2006,12.7076,12.4956,12.9346,6.6516,0.0927,0,0
PAIR_0009,2007,13.0901,12.2512,13.5174,6.6516,0.0105,0,0
PAIR_0009,2008,9.4597,9.6226,11.6254,6.6516,0.0371,0,0
PAIR_0009,2009,11.4739,12.5027,10.4373,6.6516,0.03,0,0
PAIR_0009,2010,15.3398,14.6273,13.7469,6.6516,0.0479,0,0
PAIR_0009,2011,9.463,12.061,8.5842,6.6516,0.0,0,0
PAIR_0009,2012,11.9145,14.5217,9.8525,6.6516,0.0579,0,0
PAIR_0009,2013,13.0959,13.0275,12.4978,6.6516,0.0,0,0
PAIR_0009,2014,12.5177,12.6624,12.0252,6.6516,0.0678,0,0
PAIR_0009,2015,15.4787,14.4713,14.0765,6.6516,0.045,0,0
PAIR_0009,2016,11.3938,11.4023,12.3448,6.6516,0.0482,0,0
PAIR_0009,2017,12.8119,14.0358,11.168,6.6516,0.0352,0,0
PAIR_0009,2018,11.6706,13.9658,9.6938,6.6516,0.0,0,0
PAIR_0009,2019,11.2409,11.2139,11.8624,6.6516,0.0,0,0
PAIR_0010,2005,8.7623,11.1103,12.5475,9.3877,0.0569,0,0
PAIR_0010,2006,10.1005,13.8333,11.35,9.3877,0.0674,0,0
PAIR_0010,2007,9.2172,12.1555,12.3052,9.3877,0.0503,0,0
PAIR_0010,2008,8.205,12.3428,10.6483,9.3877,0.0,0,0
PAIR_0010,2009,9.8382,11.3263,14.0102,9.3877,0.0509,0,0
PAIR_0010,2010,6.7757,10.9827,10.7062,9.3877,0.015,0,0
PAIR_0010,2011,9.5272,12.7096,12.0799,9.3877,0.0823,0,0
PAIR_0010,2012,6.3995,12.0043,8.6679,9.3877,0.0932,0,0
PAIR_0010,2013,5.8564,8.5343,11.9987,9.3877,0.0097,0,0
PAIR_0010,2014,7.9659,12.0798,10.7988,9.3877,0.0628,0,0
PAIR_0010,2015,9.5172,12.2999,12.5499,9.3877,0.0376,0,0
PAIR_0010,2016,9.9075,11.9324,13.9603,9.3877,0.0533,0,0
PAIR_0010,2017,5.9367,10.0727,10.549,9.3877,0.0388,0,0
PAIR_0010,2018,6.4446,10.7808,9.7455,9.3877,0.0519,0,0
PAIR_0010,2019,8.8786,13.098,11.0678,9.3877,0.0,0,0
PAIR_0011,2005,6.4654,8.6784,11.7456,9.6947,0.0549,1,0
PAIR_0011,2006,9.6383,12.851,11.8648,9.6947,0.0063,1,0
PAIR_0011,2007,6.2787,10.0565,10.0977,9.6947,0.063,1,0
PAIR_0011,2008,8.0189,10.2306,12.6592,9.6947,0.0378,1,0
PAIR_0011,2009,10.2535,12.2004,13.6425,9.6947,0.023,1,0
PAIR_0011,2010,9.1605,12.2727,11.8672,9.6947,0.0271,1,0
PAIR_0011,2011,7.4001,11.844,9.8766,9.6947,0.0257,1,0
PAIR_0011,2012,7.2462,10.2655,12.0156,9.6947,0.0916,1,0
PAIR_0011,2013,9.7907,12.9587,11.8032,9.6947,0.0,1,0
PAIR_0011,2014,10.7467,16.8244,8.6083,9.6947,0.0676,1,0
PAIR_0011,2015,8.1544,10.3458,12.4448,9.6947,0.0428,1,0
PAIR_0011,2016,8.1458,11.2513,11.1316,9.6947,0.037,1,0
PAIR_0011,2017,9.4287,13.2106,11.5002,9.6947,0.0368,1,0
PAIR_0011,2018,6.3735,9.1587,11.1123,9.6947,0.0,1,0
PAIR_0011,2019,9.2572,12.3992,11.9068,9.6947,0.0065,1,0
PAIR_0012,2005,7.8659,10.4295,9.7657,8.0134,0.0828,0,0
PAIR_0012,2006,10.2415,11.7684,11.5649,8.0134,0.0614,0,0
PAIR_0012,2007,9.3469,11.3592,10.0888,8.0134,0.0482,0,0
PAIR_0012,2008,12.9701,12.9031,13.8022,8.0134,0.0361,0,0
PAIR_0012,2009,13.0711,13.489,12.4427,8.0134,0.0791,0,0
PAIR_0012,2010,10.805,10.3346,12.8139,8.0134,0.022,0,0
PAIR_0012,2011,10.2343,9.8383,12.9965,8.0134,0.0214,0,0
PAIR_0012,2012,11.3704,13.5422,10.674,8.0134,0.0,0,0
PAIR_0012,2013,9.184,11.0789,9.7333,8.0134,0.0,0,0
PAIR_0012,2014,12.0164,13.9174,10.7772,8.0134,0.0232,0,0
PAIR_0012,2015,13.144,12.9352,14.3687,8.0134,0.0486,0,0
PAIR_0012,2016,11.2209,12.9066,10.6733,8.0134,0.026,0,0
PAIR_0012,2017,9.2926,10.3819,11.6302,8.0134,0.0,0,0
PAIR_0012,2018,12.5813,10.9397,14.2053,8.0134,0.025,0,0
PAIR_0012,2019,12.9436,13.2123,13.2531,8.0134,0.0,0,0
PAIR_0013,2005,10.8509,12.4464,11.3838,7.6315,0.0412,0,0
PAIR_0013,2006,10.1917,12.3927,9.7738,7.6315,0.0615,0,0
PAIR_0013,2007,14.128,13.6679,13.7566,7.6315,0.02,0,0
PAIR_0013,2008,10.4157,11.3394,12.178,7.6315,0.0444,0,0
PAIR_0013,2009,11.4935,11.8173,12.7663,7.6315,0.0591,0,0
PAIR_0013,2010,8.7871,10.3769,11.3708,7.6315,0.0478,0,0
PAIR_0013,2011,11.4053,12.5246,12.2523,7.6315,0.081,0,0
PAIR_0013,2012,10.2321,11.5406,11.6348,7.6315,0.0565,0,0
PAIR_0013,2013,11.5562,13.5302,11.3241,7.6315,0.0409,0,0
PAIR_0013,2014,8.7988,9.9532,11.5051,7.6315,0.0064,0,0
PAIR_0013,2015,9.1688,11.6441,9.6927,7.6315,0.0203,0,0
PAIR_0013,2016,11.3616,13.3261,11.5141,7.6315,0.0397,0,0
PAIR_0013,2017,9.8131,9.8667,13.0347,7.6315,0.0049,0,0
PAIR_0013,2018,8.4264,10.2431,11.2457,7.6315,0.0432,0,0
PAIR_0013,2019,13.9445,15.7223,11.8787,7.6315,0.0,0,0
PAIR_0014,2005,14.733,13.6612,12.8394,6.3512,0.0176,0,1
PAIR_0014,2006,12.1331,13.2912,10.4911,6.3512,0.022,0,1
PAIR_0014,2007,13.7874,12.5966,14.1907,6.3512,0.0613,0,1
PAIR_0014,2008,11.9282,10.799,12.4999,6.3512,0.0038,0,1
PAIR_0014,2009,12.5827,10.7631,13.0193,6.3512,0.078,0,1
PAIR_0014,2010,10.832,11.1421,11.1832,6.3512,0.0301,0,1
PAIR_0014,2011,11.8137,10.6531,13.4379,6.3512,0.0682,0,1
PAIR_0014,2012,10.3517,10.574,10.9857,6.3512,0.0219,0,1
PAIR_0014,2013,12.6153,11.9496,12.8928,6.3512,0.0786,0,1
PAIR_0014,2014,14.6639,12.5696,15.3645,6.3512,0.0491,0,1
PAIR_0014,2015,9.5596,11.5975,9.2013,6.3512,0.0464,0,1
PAIR_0014,2016,9.4987,10.3838,10.4224,6.3512,0.0623,0,1
PAIR_0014,2017,12.8515,12.8865,12.3186,6.3512,0.032,0,1
PAIR_0014,2018,12.1604,12.5036,11.1211,6.3512,0.0287,0,1
PAIR_0014,2019,12.9998,13.7555,11.1259,6.3512,0.0332,0,1
PAIR_0015,2005,12.3055,15.6086,12.6555,9.6277,0.1085,0,0
PAIR_0015,2006,7.2356,11.6995,9.6584,9.6277,0.0,0,0
PAIR_0015,2007,8.5983,11.0301,12.1416,9.6277,0.0255,0,0
PAIR_0015,2008,11.3571,12.9192,14.166,9.6277,0.115,0,0
PAIR_0015,2009,10.9685,14.6097,12.2396,9.6277,0.0504,0,0
PAIR_0015,2010,7.7973,11.7371,11.1216,9.6277,0.0115,0,0
PAIR_0015,2011,7.5315,11.5887,9.9679,9.6277,0.0337,0,0
PAIR_0015,2012,6.0048,10.3055,9.7885,9.6277,0.0,0,0
PAIR_0015,2013,6.499,10.7202,9.669,9.6277,0.0624,0,0
PAIR_0015,2014,5.1803,9.3921,10.0924,9.6277,0.0574,0,0
PAIR_0015,2015,7.9059,10.2665,11.3852,9.6277,0.0071,0,0
PAIR_0015,2016,9.7259,12.399,12.1297,9.6277,0.0266,0,0
PAIR_0015,2017,8.3522,12.1624,11.0044,9.6277,0.0,0,0
PAIR_0015,2018,8.7417,11.2544,12.4751,9.6277,0.0519,0,0
PAIR_0015,2019,7.0811,11.9069,9.9838,9.6277,0.0,0,0
PAIR_0016,2005,9.5993,13.0158,12.5351,9.963,0.0809,0,1
PAIR_0016,2006,8.6401,10.0145,13.3231,9.963,0.0723,0,1
PAIR_0016,2007,7.3988,11.1801,11.376,9.963,0.0645,0,1
PAIR_0016,2008,10.715,11.8537,15.3626,9.963,0.0333,0,1
PAIR_0016,2009,8.1916,12.1966,10.2283,9.963,0.0388,0,1
PAIR_0016,2010,7.9519,12.4372,10.8672,9.963,0.0652,0,1
PAIR_0016,2011,7.926,11.9157,11.044,9.963,0.0,0,1
PAIR_0016,2012,9.0902,11.6181,12.7601,9.963,0.0367,0,1
PAIR_0016,2013,9.82,12.8747,12.0714,9.963,0.0639,0,1
PAIR_0016,2014,8.6943,10.612,12.6864,9.963,0.0608,0,1
PAIR_0016,2015,7.7016,10.9093,11.1553,9.963,0.0564,0,1
PAIR_0016,2016,7.2812,10.9545,10.7114,9.963,0.015,0,1
PAIR_0016,2017,7.7617,10.4083,12.3696,9.963,0.0,0,1
PAIR_0016,2018,7.8602,12.036,10.381,9.963,0.0114,0,1
PAIR_0016,2019,9.5041,14.9616,9.8208,9.963,0.0291,0,1
PAIR_0017,2005,9.027,10.6009,11.0349,7.2081,0.0462,0,0
PAIR_0017,2006,11.823,12.0269,14.069,7.2081,0.0718,0,0
PAIR_0017,2007,8.0004,11.7303,8.5873,7.2081,0.0,0,0
PAIR_0017,2008,10.8105,11.4451,13.1132,7.2081,0.0,0,0
PAIR_0017,2009,9.3009,12.2704,10.6256,7.2081,0.01,0,0
PAIR_0017,2010,8.4619,10.5407,10.8571,7.2081,0.0215,0,0
PAIR_0017,2011,7.8505,11.3953,9.7435,7.2081,0.0544,0,0
PAIR_0017,2012,8.1563,11.1149,10.0984,7.2081,0.0153,0,0
PAIR_0017,2013,9.3141,10.9683,11.3078,7.2081,0.0327,0,0
PAIR_0017,2014,5.9458,10.1276,7.3449,7.2081,0.0,0,0
PAIR_0017,2015,9.2086,12.6558,10.4939,7.2081,0.0187,0,0
PAIR_0017,2016,7.9104,10.4034,10.5207,7.2081,0.0504,0,0
PAIR_0017,2017,7.0282,10.0922,9.6063,7.2081,0.0509,0,0
PAIR_0017,2018,9.6065,10.2855,13.2088,7.2081,0.0458,0,0
PAIR_0017,2019,9.9678,9.9463,13.9431,7.2081,0.0401,0,0
PAIR_0018,2005,11.828,12.2815,12.621,6.651,0.0597,0,0
PAIR_0018,2006,10.7439,12.9673,10.8063,6.651,0.0432,0,0
PAIR_0018,2007,10.3916,10.8234,11.6579,6.651,0.0468,0,0
PAIR_0018,2008,9.8028,10.9032,10.9637,6.651,0.0278,0,0
PAIR_0018,2009,10.0284,13.8995,8.1144,6.651,0.0274,0,0
PAIR_0018,2010,7.9101,8.4026,11.4139,6.651,0.0294,0,0
PAIR_0018,2011,9.1444,9.965,11.4889,6.651,0.003,0,0
PAIR_0018,2012,11.7697,11.3408,13.1724,6.651,0.0483,0,0
PAIR_0018,2013,13.5212,14.6024,12.3207,6.651,0.0026,0,0
PAIR_0018,2014,9.4156,10.3944,11.4764,6.651,0.0197,0,0
PAIR_0018,2015,12.7216,13.086,13.1933,6.651,0.0354,0,0
PAIR_0018,2016,9.9804,11.9023,10.8023,6.651,0.0666,0,0
PAIR_0018,2017,12.4093,12.7264,12.6947,6.651,0.0529,0,0
PAIR_0018,2018,13.3609,11.2648,15.3497,6.651,0.0,0,0
PAIR_0018,2019,11.0519,11.8076,12.2943,6.651,0.0321,0,0
PAIR_0019,2005,9.1082,12.8166,9.1891,7.4156,0.0225,0,0
PAIR_0019,2006,10.7239,12.053,12.0746,7.4156,0.0538,0,0
PAIR_0019,2007,10.8724,12.4209,11.502,7.4156,0.0895,0,0
PAIR_0019,2008,8.257,10.2776,10.9019,7.4156,0.0354,0,0
PAIR_0019,2009,12.1587,13.0919,12.6366,7.4156,0.0312,0,0
PAIR_0019,2010,9.7801,10.8166,12.8904,7.4156,0.0325,0,0
PAIR_0019,2011,9.8742,9.5884,13.41,7.4156,0.0306,0,0
PAIR_0019,2012,8.6939,11.2952,9.3855,7.4156,0.0013,0,0
PAIR_0019,2013,9.6168,13.1042,9.5014,7.4156,0.0679,0,0
PAIR_0019,2014,10.5469,11.8904,11.5878,7.4156,0.0498,0,0
PAIR_0019,2015,10.8944,11.0646,13.2765,7.4156,0.0702,0,0
PAIR_0019,2016,9.3987,10.1155,12.361,7.4156,0.0124,0,0
PAIR_0019,2017,11.0959,10.3339,13.8356,7.4156,0.0228,0,0
PAIR_0019,2018,10.3963,12.834,10.5644,7.4156,0.0007,0,0
PAIR_0019,2019,9.8727,11.7145,11.1385,7.4156,0.0546,0,0
PAIR_0020,2005,11.2529,10.1166,13.5307,7.4264,0.0048,0,0
PAIR_0020,2006,9.527,11.8157,9.6484,7.4264,0.0375,0,0
PAIR_0020,2007,10.6696,12.4174,10.5726,7.4264,0.0649,0,0
PAIR_0020,2008,10.3659,12.2368,10.2382,7.4264,0.0368,0,0
PAIR_0020,2009,10.8394,11.7025,11.5207,7.4264,0.1048,0,0
PAIR_0020,2010,11.9299,12.6912,11.9703,7.4264,0.056,0,0
PAIR_0020,2011,13.4981,14.3467,11.5299,7.4264,0.0629,0,0
PAIR_0020,2012,11.2185,12.6196,11.2132,7.4264,0.014,0,0
PAIR_0020,2013,13.0635,12.2476,14.3364,7.4264,0.0521,0,0
PAIR_0020,2014,10.31,11.2226,11.4558,7.4264,0.0,0,0
PAIR_0020,2015,12.8778,10.9477,15.8672,7.4264,0.0578,0,0
PAIR_0020,2016,7.2303,9.3662,9.761,7.4264,0.0704,0,0
PAIR_0020,2017,12.8629,14.1546,12.0996,7.4264,0.0186,0,0
PAIR_0020,2018,12.9965,13.6558,12.5793,7.4264,0.051,0,0
PAIR_0020,2019,13.0794,12.78,14.0024,7.4264,0.0399,0,0
PAIR_0021,2005,11.4045,13.284,12.6945,9.3351,0.0332,0,0
PAIR_0021,2006,7.7105,12.3891,8.0904,9.3351,0.0537,0,0
PAIR_0021,2007,6.4772,10.1586,9.8951,9.3351,0.0563,0,0
PAIR_0021,2008,9.6374,13.2604,10.7873,9.3351,0.0643,0,0
PAIR_0021,2009,13.6355,14.6088,14.8923,9.3351,0.0758,0,0
PAIR_0021,2010,6.9974,11.4953,8.6341,9.3351,0.0792,0,0
PAIR_0021,2011,8.2828,11.4864,10.267,9.3351,0.0676,0,0
PAIR_0021,2012,9.3856,11.708,12.2853,9.3351,0.0939,0,0
PAIR_0021,2013,6.9847,9.7731,10.4886,9.3351,0.0701,0,0
PAIR_0021,2014,9.0468,10.524,12.4702,9.3351,0.0171,0,0
PAIR_0021,2015,9.4329,12.4112,10.7873,9.3351,0.0,0,0
PAIR_0021,2016,8.6931,11.4293,10.7905,9.3351,0.0354,0,0
PAIR_0021,2017,6.8302,8.4707,11.9007,9.3351,0.0225,0,0
PAIR_0021,2018,7.8567,12.7375,8.9578,9.3351,0.0,0,0
PAIR_0021,2019,10.3805,12.8438,11.0615,9.3351,0.0146,0,0
PAIR_0022,2005,7.673,9.6317,10.3482,7.8989,0.0263,0,0
PAIR_0022,2006,8.0654,8.8674,11.8096,7.8989,0.0596,0,0
PAIR_0022,2007,9.822,10.4223,11.657,7.8989,0.0466,0,0
PAIR_0022,2008,10.7222,13.2606,10.5575,7.8989,0.042,0,0
PAIR_0022,2009,12.3074,13.8334,11.9795,7.8989,0.0718,0,0
PAIR_0022,2010,11.9543,13.1311,12.7165,7.8989,0.0784,0,0
PAIR_0022,2011,11.9165,11.7322,13.2663,7.8989,0.0099,0,0
PAIR_0022,2012,12.0826,12.497,12.6916,7.8989,0.046,0,0
PAIR_0022,2013,12.4383,12.3091,13.4374,7.8989,0.0125,0,0
PAIR_0022,2014,11.4021,13.5082,10.5044,7.8989,0.0113,0,0
PAIR_0022,2015,12.2186,13.7731,11.4986,7.8989,0.0329,0,0
PAIR_0022,2016,12.4335,10.9898,15.0106,7.8989,0.0003,0,0
PAIR_0022,2017,8.1401,11.8992,8.4574,7.8989,0.0007,0,0
PAIR_0022,2018,9.3757,12.8404,9.2202,7.8989,0.0523,0,0
PAIR_0022,2019,10.6763,13.2223,9.6853,7.8989,0.0347,0,0
PAIR_0023,2005,13.8794,13.4467,11.5406,6.1995,0.0923,0,0
PAIR_0023,2006,11.0116,8.0279,13.4709,6.1995,0.0536,0,0
PAIR_0023,2007,13.6958,10.9451,13.5509,6.1995,0.0239,0,0
PAIR_0023,2008,11.8438,10.0856,11.9622,6.1995,0.0854,0,0
PAIR_0023,2009,14.4323,12.8629,13.2562,6.1995,0.0698,0,0
PAIR_0023,2010,13.6532,12.3794,12.0286,6.1995,0.0728,0,0
PAIR_0023,2011,12.3334,11.7054,11.4797,6.1995,0.0695,0,0
PAIR_0023,2012,13.9555,13.3544,11.8552,6.1995,0.0196,0,0
PAIR_0023,2013,9.8132,7.4115,11.5683,6.1995,0.0532,0,0
PAIR_0023,2014,11.2937,10.7543,11.1678,6.1995,0.012,0,0
PAIR_0023,2015,13.0687,12.5721,11.114,6.1995,0.0083,0,0
PAIR_0023,2016,13.013,12.5465,10.6716,6.1995,0.0607,0,0
PAIR_0023,2017,13.9031,12.8059,12.5514,6.1995,0.0,0,0
PAIR_0023,2018,12.1125,9.6886,13.1549,6.1995,0.0534,0,0
PAIR_0023,2019,12.1808,11.4026,11.3822,6.1995,0.1377,0,0
PAIR_0024,2005,12.069,10.3114,14.1767,6.8324,0.0214,0,0
PAIR_0024,2006,9.6953,10.2054,11.1641,6.8324,0.0479,0,0
PAIR_0024,2007,14.5644,14.0223,13.681,6.8324,0.0235,0,0
PAIR_0024,2008,8.7438,9.8144,9.473,6.8324,0.024,0,0
PAIR_0024,2009,9.4195,9.0486,12.4445,6.8324,0.0558,0,0
PAIR_0024,2010,12.5277,12.5675,12.5606,6.8324,0.0389,0,0
PAIR_0024,2011,9.8159,11.2517,10.3541,6.8324,0.043,0,0
