state,year,unemployment_rate,log_unemployment
AZ,2019,0.0462,-3.0742
AZ,2020,0.1036,-2.2669
AZ,2021,0.1378,-1.9818
AZ,2022,0.1206,-2.1151
AR,1976,0.0261,-3.6464
AR,1977,0.0266,-3.6262
AR,1978,0.0244,-3.7135
AR,1979,0.0214,-3.8451
AR,1980,0.0222,-3.8093
AR,1981,0.0252,-3.6813
AR,1982,0.0241,-3.7273
AR,1983,0.0215,-3.8386
AR,1984,0.0202,-3.9043
AR,1985,0.0228,-3.7807
AR,1986,0.0233,-3.759
AR,1987,0.0276,-3.5899
AR,1988,0.0216,-3.8335
AR,1989,0.0185,-3.9911
AR,1990,0.0236,-3.7481
AR,1991,0.02,-3.9135
AR,1992,0.0279,-3.5801
AR,1993,0.0346,-3.3628
AR,1994,0.0403,-3.212
AR,1995,0.0337,-3.3914
AR,1996,0.0329,-3.415
AR,1997,0.0294,-3.5281
AR,1998,0.0335,-3.3967
AR,1999,0.0409,-3.1973
AR,2000,0.0429,-3.148
AR,2001,0.0404,-3.2101
AR,2002,0.0363,-3.3159
AR,2003,0.038,-3.2712
AR,2004,0.03,-3.5065
AR,2005,0.0321,-3.4393
AR,2006,0.0266,-3.6272
AR,2007,0.0296,-3.5188
AR,2008,0.0555,-2.8905
AR,2009,0.0703,-2.655
AR,2010,0.1041,-2.262
AR,2011,0.0945,-2.3589
AR,2012,0.0906,-2.4013
AR,2013,0.0932,-2.3733
AR,2014,0.081,-2.5131
AR,2015,0.0714,-2.6399
AR,2016,0.0571,-2.8635
AR,2017,0.0582,-2.8444
AR,2018,0.0596,-2.8194
AR,2019,0.05,-2.9948
AR,2020,0.1047,-2.2563
AR,2021,0.1412,-1.9579
AR,2022,0.124,-2.0879
CA,1976,0.0308,-3.4805
CA,1977,0.0346,-3.3626
CA,1978,0.03,-3.5074
CA,1979,0.0346,-3.365
CA,1980,0.0406,-3.2048
CA,1981,0.0361,-3.3216
CA,1982,0.041,-3.1948
CA,1983,0.0426,-3.1552
CA,1984,0.0462,-3.0753
CA,1985,0.0548,-2.9049
CA,1986,0.0518,-2.9605
CA,1987,0.0466,-3.0667
CA,1988,0.0412,-3.1897
CA,1989,0.0367,-3.3056
CA,1990,0.0363,-3.316
CA,1991,0.038,-3.2689
CA,1992,0.0393,-3.2364
CA,1993,0.0432,-3.142
CA,1994,0.0426,-3.155
CA,1995,0.0493,-3.009
CA,1996,0.0468,-3.0617
CA,1997,0.0594,-2.8228
CA,1998,0.0604,-2.807
CA,1999,0.0538,-2.922
CA,2000,0.0468,-3.0613
CA,2001,0.0483,-3.031
CA,2002,0.046,-3.0782
CA,2003,0.0487,-3.0217
CA,2004,0.0499,-2.9971
CA,2005,0.0483,-3.0303
CA,2006,0.043,-3.1476
CA,2007,0.0348,-3.3586
CA,2008,0.0648,-2.7366
CA,2009,0.088,-2.4304
CA,2010,0.1167,-2.1479
CA,2011,0.1046,-2.2575
CA,2012,0.0989,-2.3141
CA,2013,0.0932,-2.3733
CA,2014,0.082,-2.5007
CA,2015,0.0795,-2.5325
CA,2016,0.0782,-2.5491
CA,2017,0.0796,-2.5309
CA,2018,0.0807,-2.5166
CA,2019,0.0696,-2.6648
CA,2020,0.0903,-2.405
CA,2021,0.138,-1.9807
CA,2022,0.1475,-1.914
CO,1976,0.0692,-2.6702
CO,1977,0.0699,-2.6612
CO,1978,0.0701,-2.6571
CO,1979,0.0638,-2.7526
CO,1980,0.0562,-2.8781
CO,1981,0.0578,-2.8515
CO,1982,0.054,-2.9182
CO,1983,0.0547,-2.9053
CO,1984,0.0529,-2.9394
CO,1985,0.045,-3.1019
CO,1986,0.0485,-3.0259
CO,1987,0.0479,-3.0394
CO,1988,0.0498,-3.0007
CO,1989,0.0466,-3.0663
CO,1990,0.0465,-3.0677
CO,1991,0.0559,-2.8834
CO,1992,0.0573,-2.8593
CO,1993,0.0606,-2.8027
CO,1994,0.0546,-2.9083
CO,1995,0.0674,-2.6976
CO,1996,0.0762,-2.5741
CO,1997,0.0818,-2.503
CO,1998,0.0843,-2.4739
CO,1999,0.0824,-2.4965
CO,2000,0.0828,-2.4913
CO,2001,0.0862,-2.4509
CO,2002,0.0809,-2.5142
CO,2003,0.0771,-2.5631
CO,2004,0.0674,-2.6965
CO,2005,0.0632,-2.7613
CO,2006,0.0716,-2.6373
CO,2007,0.0691,-2.6718
CO,2008,0.097,-2.333
CO,2009,0.1124,-2.1853
CO,2010,0.1524,-1.8815
CO,2011,0.1522,-1.8825
CO,2012,0.1372,-1.9864
CO,2013,0.1394,-1.9702
CO,2014,0.1286,-2.0511
CO,2015,0.116,-2.1539
CO,2016,0.1099,-2.2084
CO,2017,0.1149,-2.1641
CO,2018,0.1099,-2.2082
CO,2019,0.1008,-2.2942
CO,2020,0.1109,-2.1992
CO,2021,0.1,-2.3025
CO,2022,0.1043,-2.2608
CT,1976,0.0821,-2.5004
CT,1977,0.0735,-2.6107
CT,1978,0.0796,-2.5312
CT,1979,0.0787,-2.5421
CT,1980,0.0731,-2.6166
CT,1981,0.0757,-2.5809
CT,1982,0.0765,-2.57
CT,1983,0.0732,-2.6144
CT,1984,0.0739,-2.6054
CT,1985,0.0721,-2.6292
CT,1986,0.0732,-2.6142
CT,1987,0.0769,-2.5659
CT,1988,0.0844,-2.4722
CT,1989,0.0764,-2.5723
CT,1990,0.0867,-2.4449
CT,1991,0.0747,-2.5946
CT,1992,0.074,-2.6043
CT,1993,0.0771,-2.5631
CT,1994,0.078,-2.5505
CT,1995,0.0743,-2.5995
CT,1996,0.0734,-2.6122
CT,1997,0.0712,-2.6423
CT,1998,0.069,-2.6743
CT,1999,0.0743,-2.5991
CT,2000,0.0762,-2.5741
CT,2001,0.0725,-2.6242
CT,2002,0.0774,-2.5582
CT,2003,0.0785,-2.5449
CT,2004,0.0818,-2.5029
CT,2005,0.0836,-2.4812
CT,2006,0.0778,-2.5537
CT,2007,0.0744,-2.5979
CT,2008,0.115,-2.1625
CT,2009,0.1376,-1.9831
CT,2010,0.1653,-1.7998
CT,2011,0.1506,-1.8932
CT,2012,0.1349,-2.0029
CT,2013,0.1222,-2.1017
CT,2014,0.1186,-2.1322
CT,2015,0.1143,-2.1693
CT,2016,0.1107,-2.2008
CT,2017,0.1103,-2.2045
CT,2018,0.1036,-2.2676
CT,2019,0.1014,-2.2884
CT,2020,0.1317,-2.0272
CT,2021,0.1586,-1.8413
CT,2022,0.1454,-1.9283
FL,1976,0.0532,-2.9339
FL,1977,0.0576,-2.8546
FL,1978,0.0493,-3.0102
FL,1979,0.0521,-2.9544
FL,1980,0.054,-2.9191
FL,1981,0.0487,-3.0215
FL,1982,0.0477,-3.0418
FL,1983,0.0365,-3.31
FL,1984,0.0463,-3.0718
FL,1985,0.0442,-3.1184
FL,1986,0.048,-3.0363
FL,1987,0.0503,-2.9906
FL,1988,0.0559,-2.8847
FL,1989,0.0517,-2.9632
FL,1990,0.0513,-2.9704
FL,1991,0.0527,-2.9423
FL,1992,0.0555,-2.8906
FL,1993,0.0593,-2.8249
FL,1994,0.0543,-2.9125
FL,1995,0.0492,-3.0117
FL,1996,0.055,-2.9005
FL,1997,0.0429,-3.149
FL,1998,0.0507,-2.9814
FL,1999,0.048,-3.0374
FL,2000,0.0471,-3.055
FL,2001,0.043,-3.146
FL,2002,0.0427,-3.1527
FL,2003,0.0491,-3.0141
FL,2004,0.052,-2.9574
FL,2005,0.053,-2.9379
FL,2006,0.0518,-2.9599
FL,2007,0.0432,-3.1425
FL,2008,0.0629,-2.7655
FL,2009,0.0947,-2.3569
FL,2010,0.1288,-2.0494
FL,2011,0.1157,-2.1572
FL,2012,0.1157,-2.1572
FL,2013,0.1063,-2.2414
FL,2014,0.0942,-2.3621
FL,2015,0.0955,-2.3487
FL,2016,0.0933,-2.3724
FL,2017,0.0945,-2.3596
FL,2018,0.0858,-2.4554
FL,2019,0.084,-2.4771
FL,2020,0.0924,-2.3815
FL,2021,0.1147,-2.1652
FL,2022,0.1087,-2.2195
GA,1976,0.0296,-3.5214
GA,1977,0.0386,-3.2541
GA,1978,0.0413,-3.1859
GA,1979,0.0359,-3.3266
GA,1980,0.0299,-3.5098
GA,1981,0.032,-3.4428
GA,1982,0.0246,-3.7051
GA,1983,0.0344,-3.3707
GA,1984,0.039,-3.2433
GA,1985,0.0346,-3.3644
GA,1986,0.0247,-3.699
GA,1987,0.0321,-3.4388
GA,1988,0.0307,-3.4826
GA,1989,0.0364,-3.3139
GA,1990,0.0268,-3.6195
GA,1991,0.024,-3.7298
GA,1992,0.0247,-3.699
GA,1993,0.0256,-3.6664
GA,1994,0.0237,-3.7403
GA,1995,0.0276,-3.5887
GA,1996,0.0223,-3.8016
GA,1997,0.0227,-3.7871
GA,1998,0.0242,-3.7197
GA,1999,0.0275,-3.5939
GA,2000,0.0311,-3.47
GA,2001,0.0249,-3.6938
GA,2002,0.0178,-4.0304
GA,2003,0.0261,-3.6476
GA,2004,0.0281,-3.5736
GA,2005,0.0243,-3.7184
GA,2006,0.0327,-3.4203
GA,2007,0.0324,-3.4307
GA,2008,0.0736,-2.6085
GA,2009,0.1244,-2.0842
GA,2010,0.1386,-1.9763
GA,2011,0.121,-2.1123
GA,2012,0.1103,-2.2049
GA,2013,0.0899,-2.4089
GA,2014,0.0817,-2.5052
GA,2015,0.0768,-2.5664
GA,2016,0.0588,-2.8336
GA,2017,0.0471,-3.0565
GA,2018,0.0332,-3.404
GA,2019,0.0309,-3.4777
GA,2020,0.0922,-2.3841
GA,2021,0.1297,-2.0427
GA,2022,0.1036,-2.2672
ID,1976,0.0292,-3.5346
ID,1977,0.0292,-3.5344
ID,1978,0.0312,-3.4664
ID,1979,0.0366,-3.3075
ID,1980,0.0285,-3.5591
ID,1981,0.028,-3.5763
ID,1982,0.0278,-3.5829
ID,1983,0.0225,-3.794
ID,1984,0.0259,-3.6553
ID,1985,0.0301,-3.5045
ID,1986,0.0285,-3.5568
ID,1987,0.0389,-3.2461
ID,1988,0.0361,-3.3219
ID,1989,0.033,-3.4118
ID,1990,0.0301,-3.5019
ID,1991,0.026,-3.6507
ID,1992,0.0236,-3.7451
ID,1993,0.0172,-4.0614
ID,1994,0.0179,-4.0246
ID,1995,0.0197,-3.9283
ID,1996,0.015,-4.1997
ID,1997,0.0164,-4.1114
ID,1998,0.0183,-4.0004
ID,1999,0.0223,-3.8013
ID,2000,0.0293,-3.5302
ID,2001,0.0336,-3.394
ID,2002,0.0299,-3.5088
ID,2003,0.0262,-3.6425
ID,2004,0.0295,-3.523
ID,2005,0.0268,-3.6206
ID,2006,0.021,-3.8643
ID,2007,0.034,-3.3826
ID,2008,0.0571,-2.8624
ID,2009,0.0658,-2.7206
ID,2010,0.0813,-2.5093
ID,2011,0.0794,-2.5337
ID,2012,0.068,-2.6888
ID,2013,0.0633,-2.7597
ID,2014,0.0665,-2.7107
ID,2015,0.0493,-3.0089
ID,2016,0.0427,-3.1539
ID,2017,0.0364,-3.3125
ID,2018,0.0346,-3.3646
ID,2019,0.0337,-3.3913
ID,2020,0.0486,-3.0238
ID,2021,0.0689,-2.6753
ID,2022,0.0648,-2.7364
IL,1976,0.0686,-2.6792
IL,1977,0.076,-2.5767
IL,1978,0.0757,-2.5812
IL,1979,0.0707,-2.6494
IL,1980,0.0781,-2.5497
IL,1981,0.0799,-2.5273
IL,1982,0.0736,-2.6093
IL,1983,0.0722,-2.629
IL,1984,0.0674,-2.6967
IL,1985,0.0606,-2.8028
IL,1986,0.0661,-2.7173
IL,1987,0.0759,-2.5789
IL,1988,0.0682,-2.6859
IL,1989,0.071,-2.6448
IL,1990,0.0675,-2.6951
IL,1991,0.0652,-2.7301
IL,1992,0.0626,-2.7712
IL,1993,0.0589,-2.8325
IL,1994,0.0601,-2.8123
IL,1995,0.0568,-2.869
IL,1996,0.0593,-2.8255
IL,1997,0.0599,-2.8143
IL,1998,0.0596,-2.82
IL,1999,0.056,-2.8832
IL,2000,0.0543,-2.9129
IL,2001,0.0595,-2.8217
IL,2002,0.0629,-2.7661
IL,2003,0.0586,-2.8373
IL,2004,0.0601,-2.8123
IL,2005,0.0647,-2.7385
IL,2006,0.0567,-2.8698
IL,2007,0.0606,-2.8034
IL,2008,0.0876,-2.4348
IL,2009,0.0991,-2.3116
IL,2010,0.1101,-2.2066
IL,2011,0.1073,-2.232
IL,2012,0.099,-2.3127
IL,2013,0.0992,-2.3105
IL,2014,0.0879,-2.4315
IL,2015,0.0857,-2.457
IL,2016,0.078,-2.5515
IL,2017,0.0738,-2.6065
IL,2018,0.0735,-2.6102
IL,2019,0.0687,-2.6774
IL,2020,0.1061,-2.2436
IL,2021,0.135,-2.0022
IL,2022,0.1229,-2.0965
IN,1976,0.0702,-2.657
IN,1977,0.0604,-2.8072
IN,1978,0.0555,-2.8906
IN,1979,0.0573,-2.8586
IN,1980,0.0585,-2.8384
IN,1981,0.0615,-2.7882
IN,1982,0.0696,-2.6648
IN,1983,0.0682,-2.686
IN,1984,0.068,-2.6875
IN,1985,0.0644,-2.7424
IN,1986,0.0672,-2.7005
IN,1987,0.065,-2.7329
IN,1988,0.0632,-2.762
IN,1989,0.0659,-2.7203
IN,1990,0.0707,-2.65
IN,1991,0.0586,-2.8367
IN,1992,0.061,-2.7972
IN,1993,0.0599,-2.8153
IN,1994,0.065,-2.7331
IN,1995,0.0635,-2.7567
IN,1996,0.0699,-2.6602
IN,1997,0.0656,-2.7234
IN,1998,0.0541,-2.916
IN,1999,0.0605,-2.8044
IN,2000,0.0566,-2.8711
IN,2001,0.0496,-3.0048
IN,2002,0.0514,-2.9688
IN,2003,0.0517,-2.963
IN,2004,0.0572,-2.8605
IN,2005,0.0624,-2.7736
IN,2006,0.063,-2.7649
IN,2007,0.0586,-2.8378
IN,2008,0.0928,-2.3771
IN,2009,0.1203,-2.118
IN,2010,0.1414,-1.9561
IN,2011,0.1375,-1.9841
IN,2012,0.1327,-2.0197
IN,2013,0.1241,-2.0868
IN,2014,0.1137,-2.1738
IN,2015,0.1092,-2.2146
IN,2016,0.0978,-2.3252
IN,2017,0.0892,-2.4171
IN,2018,0.0933,-2.3715
IN,2019,0.0914,-2.3923
IN,2020,0.1249,-2.08
IN,2021,0.18,-1.7148
IN,2022,0.1627,-1.8156
IA,1976,0.0511,-2.9748
IA,1977,0.0574,-2.857
IA,1978,0.0585,-2.8384
IA,1979,0.0668,-2.7057
IA,1980,0.0611,-2.7951
IA,1981,0.0536,-2.9268
IA,1982,0.044,-3.1225
IA,1983,0.0518,-2.9609
IA,1984,0.0546,-2.9081
IA,1985,0.0536,-2.9266
IA,1986,0.0543,-2.9123
IA,1987,0.048,-3.0361
IA,1988,0.0601,-2.8112
IA,1989,0.0595,-2.821
IA,1990,0.0589,-2.8316
IA,1991,0.0614,-2.7899
IA,1992,0.0625,-2.7729
IA,1993,0.0622,-2.7781
IA,1994,0.0568,-2.8684
IA,1995,0.0582,-2.8435
IA,1996,0.0666,-2.7094
IA,1997,0.0715,-2.6383
IA,1998,0.0772,-2.5616
IA,1999,0.0718,-2.6335
IA,2000,0.0646,-2.7399
IA,2001,0.0623,-2.7756
IA,2002,0.0612,-2.7943
IA,2003,0.0653,-2.7287
IA,2004,0.0551,-2.8979
IA,2005,0.062,-2.7804
IA,2006,0.0598,-2.8164
IA,2007,0.0565,-2.8738
IA,2008,0.0672,-2.7002
IA,2009,0.1039,-2.2642
IA,2010,0.1093,-2.2137
IA,2011,0.1019,-2.284
IA,2012,0.1052,-2.2522
IA,2013,0.0985,-2.3176
IA,2014,0.0862,-2.4505
IA,2015,0.0814,-2.5084
IA,2016,0.0769,-2.5659
IA,2017,0.0606,-2.8034
IA,2018,0.0591,-2.8292
IA,2019,0.0568,-2.8687
IA,2020,0.119,-2.1285
IA,2021,0.1736,-1.7511
IA,2022,0.1564,-1.8552
KS,1976,0.0939,-2.3656
KS,1977,0.0899,-2.4088
KS,1978,0.094,-2.3645
KS,1979,0.0933,-2.3714
KS,1980,0.0942,-2.3626
KS,1981,0.1069,-2.2358
KS,1982,0.0988,-2.3142
KS,1983,0.1048,-2.2558
KS,1984,0.0894,-2.415
KS,1985,0.0798,-2.5284
KS,1986,0.0762,-2.5743
KS,1987,0.0736,-2.6088
KS,1988,0.0784,-2.5455
KS,1989,0.0828,-2.4918
KS,1990,0.0835,-2.4823
KS,1991,0.0847,-2.4685
KS,1992,0.089,-2.4187
KS,1993,0.0941,-2.3637
KS,1994,0.0873,-2.4379
KS,1995,0.0867,-2.445
KS,1996,0.0877,-2.434
KS,1997,0.0912,-2.3943
KS,1998,0.0878,-2.4325
KS,1999,0.0885,-2.4251
KS,2000,0.0896,-2.4124
KS,2001,0.0868,-2.4438
KS,2002,0.0845,-2.4713
KS,2003,0.0867,-2.4453
KS,2004,0.0874,-2.4377
KS,2005,0.091,-2.3964
KS,2006,0.0863,-2.4503
KS,2007,0.0859,-2.4545
KS,2008,0.1191,-2.1274
KS,2009,0.1361,-1.9946
KS,2010,0.1688,-1.7793
KS,2011,0.1494,-1.9008
KS,2012,0.1356,-1.9984
KS,2013,0.1229,-2.0964
KS,2014,0.109,-2.2166
KS,2015,0.1149,-2.1638
KS,2016,0.1046,-2.2573
KS,2017,0.0985,-2.3181
KS,2018,0.1041,-2.2623
KS,2019,0.0934,-2.3714
KS,2020,0.1415,-1.9557
KS,2021,0.18,-1.7148
KS,2022,0.1548,-1.8655
KY,1976,0.0441,-3.1213
KY,1977,0.0463,-3.0736
KY,1978,0.0461,-3.077
KY,1979,0.0517,-2.9631
KY,1980,0.052,-2.9575
KY,1981,0.0524,-2.9487
KY,1982,0.0503,-2.9904
KY,1983,0.0498,-3.0001
KY,1984,0.0512,-2.973
KY,1985,0.0424,-3.1618
KY,1986,0.0359,-3.3279
KY,1987,0.0402,-3.2135
KY,1988,0.0415,-3.1832
KY,1989,0.0408,-3.198
KY,1990,0.0413,-3.1874
KY,1991,0.0433,-3.1387
KY,1992,0.0408,-3.1981
KY,1993,0.0373,-3.2889
KY,1994,0.0388,-3.2487
KY,1995,0.0344,-3.3699
KY,1996,0.0372,-3.2927
KY,1997,0.0292,-3.5336
KY,1998,0.0354,-3.3421
KY,1999,0.0384,-3.26
KY,2000,0.0402,-3.215
KY,2001,0.0455,-3.0911
KY,2002,0.0539,-2.9214
KY,2003,0.0585,-2.8383
KY,2004,0.0486,-3.0232
KY,2005,0.0421,-3.1667
KY,2006,0.0393,-3.2368
KY,2007,0.0399,-3.2225
KY,2008,0.0718,-2.6338
KY,2009,0.0985,-2.3182
KY,2010,0.1123,-2.1864
KY,2011,0.1039,-2.2641
KY,2012,0.0939,-2.3658
KY,2013,0.0863,-2.4502
KY,2014,0.0893,-2.4161
KY,2015,0.0821,-2.5002
KY,2016,0.0932,-2.373
KY,2017,0.093,-2.3753
KY,2018,0.0912,-2.3942
KY,2019,0.0844,-2.4723
KY,2020,0.1333,-2.0148
KY,2021,0.18,-1.7148
KY,2022,0.1718,-1.7612
LA,1976,0.0687,-2.6777
LA,1977,0.0703,-2.6554
LA,1978,0.069,-2.6743
LA,1979,0.0794,-2.5328
LA,1980,0.0779,-2.5526
LA,1981,0.069,-2.6729
LA,1982,0.0676,-2.6936
LA,1983,0.071,-2.6454
LA,1984,0.0739,-2.6054
LA,1985,0.0681,-2.6863
LA,1986,0.0735,-2.61
LA,1987,0.0645,-2.7413
LA,1988,0.0716,-2.6362
LA,1989,0.0651,-2.7311
LA,1990,0.0653,-2.7284
LA,1991,0.0719,-2.6322
LA,1992,0.0726,-2.6231
LA,1993,0.0766,-2.5692
LA,1994,0.0789,-2.5397
LA,1995,0.0841,-2.4758
LA,1996,0.0872,-2.4393
LA,1997,0.0822,-2.4986
LA,1998,0.0835,-2.4825
LA,1999,0.0738,-2.6061
LA,2000,0.0732,-2.614
LA,2001,0.0771,-2.562
LA,2002,0.0769,-2.5651
LA,2003,0.0783,-2.5474
LA,2004,0.0761,-2.5756
LA,2005,0.081,-2.5128
LA,2006,0.079,-2.5381
LA,2007,0.0754,-2.5844
LA,2008,0.1067,-2.2378
LA,2009,0.1302,-2.0391
LA,2010,0.161,-1.8265
LA,2011,0.1453,-1.9288
LA,2012,0.1339,-2.0104
LA,2013,0.1129,-2.181
LA,2014,0.1022,-2.2809
LA,2015,0.1019,-2.2838
LA,2016,0.1008,-2.2948
LA,2017,0.0969,-2.3336
LA,2018,0.0856,-2.4575
LA,2019,0.0861,-2.4521
LA,2020,0.1381,-1.9801
LA,2021,0.18,-1.7148
LA,2022,0.1576,-1.8476
ME,1976,0.0178,-4.0301
ME,1977,0.0253,-3.6779
ME,1978,0.0326,-3.423
ME,1979,0.0287,-3.5521
ME,1980,0.0256,-3.6634
ME,1981,0.0236,-3.7448
ME,1982,0.0165,-4.1025
ME,1983,0.015,-4.1997
ME,1984,0.015,-4.1997
ME,1985,0.015,-4.1997
ME,1986,0.0154,-4.1763
ME,1987,0.017,-4.0734
ME,1988,0.0251,-3.6854
ME,1989,0.0196,-3.9344
ME,1990,0.0245,-3.7081
ME,1991,0.023,-3.7733
ME,1992,0.0224,-3.7981
ME,1993,0.0255,-3.6678
ME,1994,0.0193,-3.9459
ME,1995,0.0213,-3.8483
ME,1996,0.022,-3.8163
ME,1997,0.0243,-3.719
ME,1998,0.0253,-3.6788
ME,1999,0.037,-3.2976
ME,2000,0.032,-3.4424
ME,2001,0.0281,-3.5733
ME,2002,0.0241,-3.7258
ME,2003,0.0209,-3.8688
ME,2004,0.0176,-4.0397
ME,2005,0.0238,-3.738
ME,2006,0.0305,-3.49
ME,2007,0.0265,-3.6292
ME,2008,0.0499,-2.9982
ME,2009,0.0744,-2.5989
ME,2010,0.0931,-2.3746
ME,2011,0.0931,-2.3746
ME,2012,0.0943,-2.3613
ME,2013,0.0834,-2.4845
ME,2014,0.0747,-2.594
ME,2015,0.0704,-2.6542
ME,2016,0.0667,-2.7076
ME,2017,0.065,-2.7326
ME,2018,0.0703,-2.6546
ME,2019,0.0641,-2.7471
ME,2020,0.0766,-2.5694
ME,2021,0.0958,-2.3454
ME,2022,0.0968,-2.3356
MD,1976,0.0484,-3.0292
MD,1977,0.0309,-3.478
MD,1978,0.0277,-3.5862
MD,1979,0.0351,-3.3483
MD,1980,0.0377,-3.2772
MD,1981,0.045,-3.1002
MD,1982,0.0395,-3.2305
MD,1983,0.0319,-3.4452
MD,1984,0.0353,-3.3433
MD,1985,0.0374,-3.2865
MD,1986,0.0396,-3.2283
MD,1987,0.0448,-3.1047
MD,1988,0.0471,-3.055
MD,1989,0.0492,-3.0127
MD,1990,0.0526,-2.9452
MD,1991,0.0547,-2.9056
MD,1992,0.0585,-2.8393
MD,1993,0.0627,-2.7695
MD,1994,0.0692,-2.6702
MD,1995,0.0644,-2.7427
MD,1996,0.0656,-2.7248
MD,1997,0.0624,-2.7745
MD,1998,0.0571,-2.8626
MD,1999,0.053,-2.9383
MD,2000,0.055,-2.9001
MD,2001,0.0565,-2.8727
MD,2002,0.0579,-2.8495
MD,2003,0.056,-2.8828
MD,2004,0.0554,-2.8939
MD,2005,0.0589,-2.8325
MD,2006,0.0506,-2.9843
MD,2007,0.0505,-2.9866
MD,2008,0.0849,-2.4664
MD,2009,0.1061,-2.243
MD,2010,0.1353,-1.9999
MD,2011,0.127,-2.0638
MD,2012,0.1239,-2.0883
MD,2013,0.1186,-2.1321
MD,2014,0.1195,-2.1247
MD,2015,0.107,-2.2345
MD,2016,0.1036,-2.2673
MD,2017,0.1016,-2.2871
MD,2018,0.0967,-2.3361
MD,2019,0.0911,-2.3958
MD,2020,0.1215,-2.1075
MD,2021,0.1248,-2.0811
MD,2022,0.1168,-2.1474
MA,1976,0.0541,-2.9165
MA,1977,0.0562,-2.8788
MA,1978,0.0641,-2.7476
MA,1979,0.0633,-2.7606
MA,1980,0.06,-2.8128
MA,1981,0.0692,-2.6703
MA,1982,0.0611,-2.7947
MA,1983,0.0498,-2.9987
MA,1984,0.0525,-2.9462
MA,1985,0.0503,-2.9891
MA,1986,0.0457,-3.086
MA,1987,0.05,-2.9957
MA,1988,0.0517,-2.9623
MA,1989,0.0492,-3.011
MA,1990,0.0434,-3.138
MA,1991,0.0487,-3.0227
MA,1992,0.0525,-2.9471
MA,1993,0.0523,-2.9507
MA,1994,0.0619,-2.7829
MA,1995,0.0562,-2.8795
MA,1996,0.0486,-3.0244
MA,1997,0.0457,-3.0855
MA,1998,0.0463,-3.0736
MA,1999,0.0482,-3.0322
MA,2000,0.0476,-3.0448
MA,2001,0.05,-2.9955
MA,2002,0.0442,-3.1183
MA,2003,0.0523,-2.9502
MA,2004,0.0522,-2.952
MA,2005,0.0581,-2.8448
