countrycode,year,rgdpna,rkna,emp,labsh,pop,hc
CHE,1987,1387.63,5001.62,9.96,0.5311,63.97,2.559
CHE,1988,1437.8,4985.31,9.78,0.5207,64.34,2.563
CHE,1989,1463.89,5054.81,9.94,0.499,64.5,2.576
CHE,1990,1479.55,5184.16,10.13,0.5213,65.41,2.595
CHE,1991,1479.13,5253.18,10.06,0.5331,65.96,2.619
CHE,1992,1491.11,5316.45,10.14,0.5236,66.34,2.64
CHE,1993,1480.94,5259.85,10.26,0.5239,67.26,2.653
CHE,1994,1508.63,5255.71,10.23,0.5453,68.1,2.675
CHE,1995,1490.58,5268.86,10.31,0.561,68.33,2.696
CHE,1996,1492.75,5327.93,10.51,0.5741,69.5,2.714
CHE,1997,1487.04,5415.37,10.62,0.5564,69.98,2.722
CHE,1998,1455.58,5304.86,10.74,0.5463,70.6,2.736
CHE,1999,1481.55,5346.94,10.65,0.5549,71.49,2.752
CHE,2000,1527.18,5333.7,10.83,0.5727,72.01,2.771
CHE,2001,1516.44,5433.7,10.92,0.5654,72.6,2.785
CHE,2002,1562.75,5542.22,10.98,0.5721,72.64,2.804
CHE,2003,1659.27,5698.06,10.83,0.6032,73.25,2.822
CHE,2004,1693.87,5841.9,10.81,0.5837,74.02,2.837
CHE,2005,1746.76,5816.91,11.01,0.5802,74.46,2.845
CHE,2006,1797.61,6016.07,11.01,0.5782,74.64,2.867
CHE,2007,1771.62,5973.15,11.01,0.5548,74.93,2.872
CHE,2008,1818.87,6069.19,10.88,0.5884,76.08,2.883
CHE,2009,1889.28,6077.5,10.96,0.6226,76.37,2.896
CHE,2010,1922.26,6074.66,11.22,0.6349,77.72,2.916
CHE,2011,1926.89,6220.79,11.27,0.6332,78.86,2.928
CHE,2012,1993.46,6355.61,11.02,0.6011,79.81,2.938
CHE,2013,1990.04,6409.03,11.13,0.591,79.9,2.956
CHE,2014,2097.24,6366.32,11.15,0.6031,80.65,2.97
CHE,2015,2181.38,6237.46,11.06,0.5604,81.44,2.979
CHE,2016,2192.19,6381.75,10.91,0.5794,82.16,2.993
CHE,2017,2210.32,6490.89,10.94,0.5498,83.4,3.008
CHE,2018,2254.61,6520.04,10.69,0.5693,84.0,3.027
CHE,2019,2306.93,6474.4,10.78,0.572,84.44,3.042
CHL,1970,617.58,1465.57,24.82,0.6394,66.84,2.432
CHL,1971,627.75,1499.76,24.56,0.6508,67.2,2.441
CHL,1972,640.65,1495.24,24.8,0.6107,67.73,2.462
CHL,1973,642.25,1502.12,24.97,0.5945,68.67,2.477
CHL,1974,657.07,1540.96,25.14,0.587,69.09,2.493
CHL,1975,654.92,1503.19,25.38,0.551,69.96,2.502
CHL,1976,672.33,1571.64,25.51,0.5695,70.27,2.524
CHL,1977,675.2,1579.11,25.51,0.5885,70.49,2.547
CHL,1978,689.66,1598.75,25.57,0.617,70.51,2.562
CHL,1979,698.31,1698.2,25.77,0.6107,70.81,2.583
CHL,1980,710.74,1691.15,26.14,0.6524,71.14,2.603
CHL,1981,716.41,1749.14,26.29,0.6538,72.02,2.614
CHL,1982,719.7,1802.81,26.33,0.6259,72.45,2.631
CHL,1983,757.92,1804.62,26.47,0.6239,73.55,2.648
CHL,1984,755.95,1844.47,26.55,0.6479,74.5,2.676
CHL,1985,775.89,1882.5,26.74,0.6477,74.97,2.69
CHL,1986,790.72,1948.05,26.6,0.6671,76.0,2.704
CHL,1987,774.38,1962.53,27.09,0.6344,76.61,2.717
CHL,1988,798.57,2009.17,27.16,0.6236,77.08,2.727
CHL,1989,834.73,2032.18,27.63,0.6439,78.29,2.74
CHL,1990,854.37,2064.0,27.52,0.6145,79.05,2.761
CHL,1991,861.4,2102.91,27.73,0.6293,79.58,2.774
CHL,1992,888.97,2096.88,27.91,0.6079,81.0,2.785
CHL,1993,911.78,2135.76,28.14,0.6256,81.85,2.806
CHL,1994,933.54,2162.66,28.48,0.6227,83.3,2.816
CHL,1995,967.54,2193.58,28.0,0.6125,84.32,2.83
CHL,1996,989.4,2234.6,28.34,0.6264,84.81,2.844
CHL,1997,1019.0,2289.9,28.22,0.6152,85.96,2.863
CHL,1998,1042.77,2386.87,28.3,0.6176,86.5,2.877
CHL,1999,1075.23,2371.08,28.14,0.6387,86.73,2.9
CHL,2000,1091.43,2403.36,28.3,0.616,87.94,2.916
CHL,2001,1128.97,2458.92,28.5,0.5645,89.09,2.935
CHL,2002,1135.2,2435.37,28.79,0.5798,90.42,2.955
CHL,2003,1187.47,2520.07,29.41,0.5948,91.49,2.961
CHL,2004,1202.66,2530.5,30.21,0.6062,92.14,2.979
CHL,2005,1224.28,2632.41,30.17,0.5969,92.97,2.988
CHL,2006,1232.22,2673.15,30.19,0.5771,93.4,3.002
CHL,2007,1221.14,2744.82,30.37,0.5852,93.46,3.013
CHL,2008,1249.28,2841.29,29.95,0.5938,94.27,3.032
CHL,2009,1275.78,2856.68,30.01,0.6246,94.65,3.047
CHL,2010,1341.77,2899.94,29.95,0.5885,94.69,3.054
CHL,2011,1371.67,2967.29,29.62,0.5897,95.88,3.07
CHL,2012,1435.53,3052.66,29.69,0.5571,96.22,3.081
CHL,2013,1455.52,3059.16,29.8,0.5729,97.03,3.093
CHL,2014,1485.65,3127.29,29.63,0.5864,98.5,3.108
CHL,2015,1530.8,3187.67,30.06,0.5857,99.43,3.125
CHL,2016,1527.37,3243.58,30.2,0.5948,100.13,3.13
CHL,2017,1539.89,3299.74,30.4,0.629,100.41,3.141
CHL,2018,1594.19,3372.54,30.36,0.6039,102.12,3.161
CHL,2019,1651.39,3394.65,30.94,0.6159,102.81,3.177
CZE,1970,170.39,473.07,43.12,0.5017,182.77,2.959
CZE,1971,169.0,492.03,43.27,0.5236,183.58,2.968
CZE,1972,166.94,512.22,44.31,0.5158,184.63,2.977
CZE,1973,170.29,518.84,44.49,0.4893,186.49,2.99
CZE,1974,167.69,526.55,44.67,0.4975,188.21,3.01
CZE,1975,166.01,524.99,45.13,0.5021,187.8,3.019
CZE,1976,174.68,537.85,45.26,0.4804,190.47,3.03
CZE,1977,173.92,541.5,45.51,0.5057,192.47,3.035
CZE,1978,176.92,543.1,45.65,0.51,196.3,3.055
CZE,1979,187.66,564.1,45.67,0.5066,196.62,3.067
CZE,1980,185.96,577.84,46.02,0.4976,199.96,3.084
CZE,1981,187.43,597.8,46.2,0.4982,200.38,3.1
CZE,1982,192.37,620.13,45.76,0.5118,201.14,3.112
CZE,1983,197.41,609.32,47.26,0.5323,202.49,3.125
CZE,1984,203.3,636.5,48.05,0.5201,203.9,3.145
CZE,1985,217.41,651.51,49.25,0.5333,205.29,3.166
CZE,1986,220.37,657.14,50.06,0.5056,206.39,3.177
CZE,1987,222.86,679.67,50.57,0.5126,208.8,3.189
CZE,1988,230.92,706.56,51.12,0.4937,210.95,3.205
CZE,1989,232.3,720.77,50.55,0.4919,210.91,3.218
CZE,1990,237.99,734.0,50.81,0.4853,213.26,3.232
CZE,1991,250.38,749.08,50.98,0.4867,215.06,3.243
CZE,1992,251.11,755.36,51.68,0.4878,216.1,3.261
CZE,1993,255.44,778.53,51.15,0.4932,217.69,3.277
CZE,1994,252.99,809.59,50.97,0.4956,219.81,3.297
CZE,1995,270.16,809.67,50.89,0.475,221.79,3.316
CZE,1996,281.04,833.54,51.27,0.4596,225.1,3.331
CZE,1997,283.48,862.56,50.59,0.4786,226.88,3.341
CZE,1998,286.62,880.46,51.33,0.4681,227.52,3.362
CZE,1999,291.85,887.64,51.96,0.4984,228.79,3.373
CZE,2000,297.87,919.34,52.11,0.4978,231.5,3.398
CZE,2001,314.51,918.88,52.64,0.5025,232.41,3.414
CZE,2002,315.51,953.39,53.01,0.4932,233.95,3.429
CZE,2003,325.76,971.03,51.79,0.4666,235.85,3.443
CZE,2004,324.66,969.21,52.7,0.4689,237.36,3.461
CZE,2005,330.22,1022.2,52.82,0.4978,239.7,3.484
CZE,2006,333.5,1036.35,53.76,0.5202,242.61,3.492
CZE,2007,352.29,1045.07,54.14,0.4968,244.38,3.5
CZE,2008,348.98,1068.48,53.58,0.4936,244.95,3.502
CZE,2009,363.24,1050.02,53.81,0.5065,246.93,3.516
CZE,2010,387.41,1075.19,54.65,0.5071,248.02,3.539
CZE,2011,395.41,1100.54,55.47,0.462,249.08,3.555
CZE,2012,413.44,1099.59,56.12,0.4281,251.94,3.566
CZE,2013,420.79,1118.98,55.98,0.4833,252.95,3.58
CZE,2014,425.83,1141.19,56.57,0.4844,255.05,3.592
CZE,2015,431.27,1153.74,57.04,0.4971,255.82,3.614
CZE,2016,445.37,1170.6,56.59,0.4748,259.92,3.633
CZE,2017,462.82,1190.18,56.73,0.4892,259.61,3.651
CZE,2018,465.03,1211.63,57.03,0.4927,262.46,3.658
CZE,2019,472.46,1240.82,57.8,0.5388,263.76,3.664
DEU,1970,244.83,493.47,8.7,0.4786,34.39,2.654
DEU,1971,246.72,505.4,8.9,0.4905,34.64,2.662
DEU,1972,247.47,517.52,9.08,0.4781,34.98,2.677
DEU,1973,247.16,530.77,9.21,0.4663,35.18,2.694
DEU,1974,249.9,540.0,9.45,0.4603,35.42,2.705
DEU,1975,257.2,548.64,9.44,0.4916,35.94,2.717
DEU,1976,254.6,565.41,9.42,0.4457,36.37,2.737
DEU,1977,254.53,580.77,9.47,0.4449,36.49,2.755
DEU,1978,259.55,595.49,9.71,0.4848,36.49,2.771
DEU,1979,260.74,596.75,9.74,0.4778,36.96,2.793
DEU,1980,259.81,607.52,9.66,0.4933,37.32,2.806
DEU,1981,254.47,620.06,9.75,0.511,37.7,2.816
DEU,1982,261.83,640.43,9.63,0.4887,38.06,2.83
DEU,1983,268.09,648.29,9.61,0.4613,38.37,2.84
DEU,1984,275.9,651.07,9.73,0.4295,38.77,2.852
DEU,1985,286.15,655.18,9.73,0.4573,39.17,2.865
DEU,1986,288.96,678.57,9.95,0.4629,39.68,2.876
DEU,1987,290.81,695.26,10.04,0.478,40.28,2.884
DEU,1988,301.06,699.5,10.05,0.5156,40.66,2.914
DEU,1989,309.64,710.68,10.16,0.4955,41.17,2.938
DEU,1990,316.7,727.94,10.28,0.5047,41.58,2.95
DEU,1991,320.15,731.49,10.37,0.5034,42.08,2.974
DEU,1992,326.36,750.8,10.31,0.5074,42.34,2.993
DEU,1993,331.28,763.81,10.21,0.514,42.6,3.011
DEU,1994,340.34,778.18,10.26,0.5148,42.8,3.028
DEU,1995,349.64,787.37,10.09,0.4918,43.38,3.039
DEU,1996,360.31,797.95,10.25,0.499,43.87,3.047
DEU,1997,374.23,815.02,10.26,0.4548,44.25,3.064
DEU,1998,375.9,816.52,10.16,0.4468,44.85,3.086
DEU,1999,380.42,814.55,10.1,0.4507,45.49,3.099
DEU,2000,389.05,834.38,10.26,0.4493,46.19,3.107
DEU,2001,394.52,852.22,10.21,0.4624,46.34,3.122
DEU,2002,402.79,859.89,10.24,0.4825,46.5,3.142
DEU,2003,399.86,865.85,10.14,0.4771,46.72,3.15
DEU,2004,402.53,871.07,10.21,0.4606,47.11,3.166
DEU,2005,407.53,884.05,10.44,0.4374,47.81,3.185
DEU,2006,421.11,887.85,10.58,0.4248,48.57,3.195
DEU,2007,436.53,906.95,10.69,0.4462,49.04,3.204
DEU,2008,452.76,936.49,10.72,0.4227,49.42,3.221
DEU,2009,466.31,952.83,10.89,0.4482,49.74,3.231
DEU,2010,476.04,968.15,10.97,0.4522,50.04,3.25
DEU,2011,483.03,966.99,11.22,0.4317,50.8,3.269
DEU,2012,489.68,987.7,11.31,0.4275,51.14,3.28
DEU,2013,493.41,995.71,11.36,0.4539,51.37,3.303
DEU,2014,499.72,1016.75,11.47,0.4603,51.9,3.321
DEU,2015,514.28,1020.03,11.63,0.448,52.55,3.337
DEU,2016,530.91,1035.99,11.82,0.4389,53.61,3.345
DEU,2017,545.02,1064.01,11.85,0.4215,54.43,3.363
DEU,2018,552.0,1105.92,12.15,0.4251,54.66,3.382
DEU,2019,560.94,1125.44,12.21,0.4383,54.57,3.394
DNK,1970,415.63,863.18,18.71,0.5588,45.83,2.556
DNK,1971,396.99,890.4,19.0,0.5448,46.09,2.576
DNK,1972,390.65,878.08,19.23,0.5697,46.46,2.581
DNK,1973,381.58,894.7,19.41,0.5693,47.03,2.596
DNK,1974,384.14,946.38,19.29,0.5458,47.5,2.614
DNK,1975,379.42,981.13,19.41,0.5435,48.3,2.631
DNK,1976,377.69,992.56,19.53,0.5191,48.32,2.649
DNK,1977,383.18,996.88,19.48,0.5327,48.53,2.666
DNK,1978,367.0,1050.01,19.85,0.5616,48.36,2.687
DNK,1979,374.08,1037.11,20.15,0.5712,48.69,2.713
DNK,1980,384.21,1033.65,20.18,0.5755,48.88,2.724
DNK,1981,386.29,1021.26,20.26,0.5162,49.32,2.74
DNK,1982,393.4,1021.53,20.78,0.5064,49.96,2.759
DNK,1983,416.34,1043.77,20.96,0.4798,50.44,2.773
DNK,1984,421.73,1099.86,21.13,0.5011,50.77,2.793
DNK,1985,427.95,1101.89,21.18,0.5277,51.42,2.809
DNK,1986,439.21,1107.56,21.24,0.5306,51.66,2.83
DNK,1987,434.19,1109.86,21.08,0.5347,51.7,2.842
DNK,1988,467.01,1122.92,21.46,0.5371,52.36,2.868
DNK,1989,480.65,1185.59,21.88,0.5581,52.89,2.886
DNK,1990,474.46,1209.26,22.22,0.5433,53.73,2.904
DNK,1991,486.77,1228.29,22.41,0.5581,54.22,2.926
