country,year,exchange_rate,price_domestic,price_foreign,log_S,log_P_ratio
DEU,2012,1.2171,238.5,193.86,0.196439,0.207213
DEU,2013,1.2465,251.42,197.82,0.22037,0.23978
DEU,2014,1.2048,256.74,202.35,0.186297,0.238068
DEU,2015,1.2047,261.99,206.48,0.186209,0.238092
DEU,2016,1.2137,271.07,214.87,0.193664,0.232368
DEU,2017,1.2352,282.11,220.28,0.211267,0.247402
DEU,2018,1.2639,295.82,223.96,0.234175,0.278306
DEU,2019,1.3379,314.95,231.14,0.291105,0.309368
FRA,1985,0.7038,80.14,102.94,-0.351231,-0.250331
FRA,1986,0.7337,83.29,105.43,-0.309712,-0.235657
FRA,1987,0.7205,85.76,108.66,-0.32776,-0.236713
FRA,1988,0.7007,86.78,112.78,-0.355743,-0.262075
FRA,1989,0.7257,90.34,115.41,-0.320594,-0.244925
FRA,1990,0.7304,91.71,118.11,-0.314122,-0.253001
FRA,1991,0.714,94.94,122.64,-0.33684,-0.256011
FRA,1992,0.7229,98.02,126.52,-0.324492,-0.255305
FRA,1993,0.7334,99.62,129.24,-0.310021,-0.260265
FRA,1994,0.7685,103.35,133.09,-0.263284,-0.252876
FRA,1995,0.7535,107.85,135.95,-0.282998,-0.231523
FRA,1996,0.7684,109.9,138.88,-0.263423,-0.234051
FRA,1997,0.7907,113.94,142.67,-0.234785,-0.224822
FRA,1998,0.8611,122.97,144.06,-0.149488,-0.158283
FRA,1999,0.915,128.45,145.68,-0.088818,-0.125857
FRA,2000,0.9179,133.4,148.7,-0.085707,-0.108542
FRA,2001,0.9139,138.72,151.23,-0.090029,-0.086331
FRA,2002,0.9005,142.54,155.45,-0.104849,-0.086687
FRA,2003,0.9819,147.03,158.23,-0.01826,-0.07344
FRA,2004,0.99,148.15,160.41,-0.010008,-0.079549
FRA,2005,0.9426,149.73,166.42,-0.059067,-0.105627
FRA,2006,0.958,156.32,170.32,-0.042895,-0.085753
FRA,2007,0.9244,159.01,174.73,-0.078574,-0.094227
FRA,2008,0.9246,165.2,177.12,-0.078373,-0.069673
FRA,2009,0.938,170.67,180.81,-0.063959,-0.057721
FRA,2010,0.999,174.5,185.56,-0.001023,-0.061427
FRA,2011,0.9524,181.19,188.51,-0.048804,-0.039612
FRA,2012,0.9382,187.12,193.86,-0.063788,-0.035381
FRA,2013,0.9374,194.81,197.82,-0.064644,-0.015346
FRA,2014,0.9635,200.46,202.35,-0.037159,-0.00939
FRA,2015,0.9508,208.72,206.48,-0.050455,0.010813
FRA,2016,0.9311,214.22,214.87,-0.071412,-0.003019
FRA,2017,0.9885,219.02,220.28,-0.011554,-0.005751
FRA,2018,0.9692,226.79,223.96,-0.031271,0.01257
FRA,2019,1.0499,236.28,231.14,0.048721,0.022004
JPN,1985,1.5402,139.27,102.94,0.43189,0.302274
JPN,1986,1.4897,144.85,105.43,0.398591,0.317676
JPN,1987,1.3069,149.16,108.66,0.267627,0.31678
JPN,1988,1.2764,151.82,112.78,0.244006,0.297303
JPN,1989,1.3536,154.12,115.41,0.302768,0.289203
JPN,1990,1.3159,156.11,118.11,0.274542,0.278914
JPN,1991,1.3811,161.12,122.64,0.3229,0.272849
JPN,1992,1.4087,163.19,126.52,0.342662,0.254479
JPN,1993,1.357,168.18,129.24,0.305273,0.263358
JPN,1994,1.3694,174.27,133.09,0.314401,0.269563
JPN,1995,1.3684,178.28,135.95,0.313674,0.271068
JPN,1996,1.3736,182.87,138.88,0.317422,0.27517
JPN,1997,1.467,189.94,142.67,0.383235,0.286179
JPN,1998,1.581,192.84,144.06,0.458045,0.291632
JPN,1999,1.5369,194.11,145.68,0.429758,0.287006
JPN,2000,1.5549,201.44,148.7,0.441412,0.303564
JPN,2001,1.5286,206.03,151.23,0.424358,0.309195
JPN,2002,1.4717,211.05,155.45,0.386425,0.305765
JPN,2003,1.5122,219.7,158.23,0.413534,0.328224
JPN,2004,1.562,224.52,160.41,0.445974,0.336208
JPN,2005,1.5865,232.21,166.42,0.461504,0.33317
JPN,2006,1.5387,241.1,170.32,0.43097,0.347532
JPN,2007,1.5647,246.78,174.73,0.447666,0.345269
JPN,2008,1.5833,256.16,177.12,0.459543,0.368992
JPN,2009,1.6625,264.34,180.81,0.508348,0.379755
JPN,2010,1.6685,270.46,185.56,0.511947,0.376768
JPN,2011,1.6503,278.02,188.51,0.500976,0.38855
JPN,2012,1.7073,290.29,193.86,0.534906,0.40373
JPN,2013,1.8025,302.07,197.82,0.589168,0.423297
JPN,2014,1.8301,311.34,202.35,0.60436,0.430883
JPN,2015,1.8291,319.63,206.48,0.603842,0.436973
JPN,2016,1.7826,328.85,214.87,0.578064,0.425593
JPN,2017,1.7215,341.3,220.28,0.543213,0.437843
JPN,2018,1.7036,360.63,223.96,0.532742,0.476413
JPN,2019,1.7399,366.24,231.14,0.553856,0.460263
CAN,1985,1.2595,129.27,102.94,0.23069,0.227758
CAN,1986,1.3242,132.13,105.43,0.280815,0.225738
CAN,1987,1.2594,135.91,108.66,0.230647,0.223792
CAN,1988,1.2729,139.51,112.78,0.241291,0.212751
CAN,1989,1.2156,142.79,115.41,0.195234,0.21286
CAN,1990,1.2454,147.57,118.11,0.219431,0.222657
CAN,1991,1.198,151.14,122.64,0.180654,0.20894
CAN,1992,1.1124,156.18,126.52,0.106557,0.210585
CAN,1993,1.0695,158.24,129.24,0.067221,0.202451
CAN,1994,1.0959,162.64,133.09,0.091591,0.20055
CAN,1995,1.1874,170.59,135.95,0.171768,0.226961
CAN,1996,1.199,175.45,138.88,0.181464,0.233768
CAN,1997,1.1915,178.63,142.67,0.175209,0.224802
CAN,1998,1.2372,183.43,144.06,0.212891,0.241644
CAN,1999,1.2862,187.15,145.68,0.251683,0.250517
CAN,2000,1.3148,196.43,148.7,0.273653,0.278408
CAN,2001,1.3895,203.39,151.23,0.328965,0.296331
CAN,2002,1.3998,208.58,155.45,0.336356,0.294002
CAN,2003,1.4205,214.97,158.23,0.351015,0.306418
CAN,2004,1.4279,219.47,160.41,0.356194,0.31344
CAN,2005,1.5378,227.51,166.42,0.430326,0.312691
CAN,2006,1.7435,237.15,170.32,0.555911,0.331008
CAN,2007,1.7897,242.13,174.73,0.582064,0.32626
CAN,2008,2.014,250.06,177.12,0.700107,0.344858
CAN,2009,1.8767,255.18,180.81,0.629513,0.344513
CAN,2010,1.6359,261.07,185.56,0.492214,0.341433
CAN,2011,1.5662,267.33,188.51,0.448674,0.349332
CAN,2012,1.5901,275.97,193.86,0.463784,0.353131
CAN,2013,1.7148,290.85,197.82,0.539291,0.38545
CAN,2014,1.617,297.64,202.35,0.480569,0.385861
CAN,2015,1.52,308.52,206.48,0.418695,0.401578
CAN,2016,1.6372,324.98,214.87,0.492964,0.413737
CAN,2017,1.4842,332.99,220.28,0.394854,0.413215
CAN,2018,1.5215,348.76,223.96,0.419713,0.442923
CAN,2019,1.4177,364.76,231.14,0.349028,0.456197
AUS,1985,0.8163,86.14,102.94,-0.202951,-0.178222
AUS,1986,0.7823,89.42,105.43,-0.245525,-0.164642
AUS,1987,0.7953,91.99,108.66,-0.229009,-0.166532
AUS,1988,0.8343,95.38,112.78,-0.181192,-0.167543
AUS,1989,0.7621,96.97,115.41,-0.271665,-0.174166
AUS,1990,0.8051,101.46,118.11,-0.216794,-0.15196
AUS,1991,0.8717,103.62,122.64,-0.137276,-0.168576
AUS,1992,0.9272,106.92,126.52,-0.075574,-0.168327
AUS,1993,1.0365,110.27,129.24,0.035883,-0.158761
AUS,1994,1.0157,116.04,133.09,0.01558,-0.137038
AUS,1995,1.0513,120.98,135.95,0.050017,-0.116672
AUS,1996,0.9971,126.73,138.88,-0.002876,-0.091522
AUS,1997,1.0564,131.67,142.67,0.054834,-0.080225
AUS,1998,0.9688,132.85,144.06,-0.031656,-0.081024
AUS,1999,0.9422,133.58,145.68,-0.059525,-0.086695
AUS,2000,1.0395,138.84,148.7,0.038706,-0.068586
AUS,2001,1.1369,143.2,151.23,0.128316,-0.054595
AUS,2002,0.9926,145.13,155.45,-0.007455,-0.06867
AUS,2003,1.0169,149.45,158.23,0.016791,-0.057072
AUS,2004,0.9106,153.95,160.41,-0.093622,-0.041166
AUS,2005,0.8464,158.46,166.42,-0.166818,-0.048961
AUS,2006,0.8919,164.61,170.32,-0.114454,-0.034119
AUS,2007,0.8707,167.72,174.73,-0.138422,-0.040937
AUS,2008,0.8832,170.64,177.12,-0.124168,-0.03725
AUS,2009,0.8642,177.87,180.81,-0.145946,-0.016433
AUS,2010,0.8635,184.4,185.56,-0.146752,-0.006272
AUS,2011,0.8801,188.21,188.51,-0.127766,-0.001578
AUS,2012,0.8599,191.55,193.86,-0.15095,-0.012007
AUS,2013,0.9748,194.57,197.82,-0.025551,-0.016576
AUS,2014,0.9459,200.58,202.35,-0.055642,-0.00882
AUS,2015,0.9581,207.22,206.48,-0.042785,0.003562
AUS,2016,0.9859,212.96,214.87,-0.014207,-0.008908
AUS,2017,0.9715,221.45,220.28,-0.028921,0.00529
AUS,2018,0.9677,226.62,223.96,-0.032817,0.011842
AUS,2019,0.8691,227.16,231.14,-0.140336,-0.017362
CHE,1985,1.8737,155.86,102.94,0.627905,0.414824
CHE,1986,1.8564,162.78,105.43,0.618634,0.434365
CHE,1987,1.6548,165.83,108.66,0.503652,0.422717
CHE,1988,1.5697,171.29,112.78,0.450862,0.417974
CHE,1989,1.4968,173.52,115.41,0.40336,0.40778
CHE,1990,1.6261,176.5,118.11,0.48616,0.401675
CHE,1991,1.6159,183.81,122.64,0.479923,0.404621
CHE,1992,1.6369,192.8,126.52,0.492786,0.42124
CHE,1993,1.757,196.63,129.24,0.563632,0.419661
CHE,1994,1.6511,203.94,133.09,0.501446,0.426787
CHE,1995,1.5749,209.67,135.95,0.45422,0.433211
CHE,1996,1.6368,212.5,138.88,0.492726,0.425343
CHE,1997,1.5502,224.04,142.67,0.438394,0.45132
CHE,1998,1.5414,232.43,144.06,0.432688,0.478382
CHE,1999,1.5209,238.11,145.68,0.419326,0.491336
CHE,2000,1.5349,242.83,148.7,0.428471,0.490466
CHE,2001,1.5718,247.75,151.23,0.452213,0.493597
CHE,2002,1.5618,255.14,155.45,0.445863,0.495481
CHE,2003,1.5252,260.06,158.23,0.422147,0.496854
CHE,2004,1.6185,270.42,160.41,0.481521,0.522217
CHE,2005,1.604,275.41,166.42,0.472495,0.503761
CHE,2006,1.4979,286.36,170.32,0.404044,0.519584
CHE,2007,1.4803,297.02,174.73,0.392274,0.530564
CHE,2008,1.4768,308.16,177.12,0.389853,0.553809
CHE,2009,1.3624,310.75,180.81,0.309237,0.541506
CHE,2010,1.4214,320.39,185.56,0.351639,0.546196
CHE,2011,1.5048,326.59,188.51,0.408658,0.549552
CHE,2012,1.4946,329.89,193.86,0.401867,0.531608
CHE,2013,1.4571,335.03,197.82,0.376428,0.526881
CHE,2014,1.4259,345.43,202.35,0.354833,0.534783
CHE,2015,1.5395,354.31,206.48,0.431455,0.539982
CHE,2016,1.5996,362.59,214.87,0.469784,0.523241
CHE,2017,1.6399,368.6,220.28,0.494656,0.514793
CHE,2018,1.4887,386.45,223.96,0.397932,0.545553
CHE,2019,1.5409,394.43,231.14,0.432356,0.53441
SWE,1985,0.973,96.26,102.94,-0.0274,-0.067135
SWE,1986,1.044,99.0,105.43,0.04302,-0.062897
SWE,1987,1.0605,102.33,108.66,0.058703,-0.060026
SWE,1988,1.0099,104.93,112.78,0.009884,-0.072152
SWE,1989,1.0298,107.56,115.41,0.029329,-0.07047
SWE,1990,1.0424,110.28,118.11,0.041552,-0.068649
SWE,1991,1.1083,116.5,122.64,0.1028,-0.051377
SWE,1992,1.1714,119.58,126.52,0.15824,-0.056429
SWE,1993,1.028,122.62,129.24,0.027581,-0.05257
SWE,1994,0.9053,124.84,133.09,-0.099507,-0.064008
SWE,1995,0.9125,128.1,135.95,-0.091556,-0.059519
SWE,1996,0.9595,134.68,138.88,-0.041295,-0.030676
SWE,1997,1.0088,138.42,142.67,0.008745,-0.03024
SWE,1998,1.0139,138.9,144.06,0.013797,-0.036468
SWE,1999,0.9525,144.46,145.68,-0.048681,-0.008418
SWE,2000,0.9972,150.92,148.7,-0.002808,0.014805
SWE,2001,1.0448,154.74,151.23,0.043793,0.022924
SWE,2002,1.0864,163.86,155.45,0.082852,0.052659
SWE,2003,1.0714,169.35,158.23,0.068994,0.067902
SWE,2004,1.132,172.74,160.41,0.12397,0.074002
SWE,2005,1.1139,176.18,166.42,0.107846,0.057004
SWE,2006,1.1431,180.51,170.32,0.133753,0.058078
SWE,2007,1.2193,186.75,174.73,0.198315,0.066542
SWE,2008,1.2019,191.26,177.12,0.183863,0.07682
SWE,2009,1.1596,194.79,180.81,0.148116,0.074429
SWE,2010,1.2171,201.63,185.56,0.196449,0.08307
SWE,2011,1.2754,205.48,188.51,0.243265,0.086212
SWE,2012,1.317,215.21,193.86,0.275387,0.104474
SWE,2013,1.2849,226.82,197.82,0.250658,0.1368
SWE,2014,1.1395,230.26,202.35,0.130577,0.129198
SWE,2015,1.2175,241.57,206.48,0.196826,0.156964
SWE,2016,1.2216,248.76,214.87,0.200177,0.146479
SWE,2017,1.3943,252.9,220.28,0.332364,0.138081
SWE,2018,1.4061,261.01,223.96,0.34082,0.153093
SWE,2019,1.4387,271.31,231.14,0.363739,0.160222
NOR,1985,1.3671,112.0,102.94,0.312705,0.084337
NOR,1986,1.2974,114.7,105.43,0.260356,0.084308
NOR,1987,1.2797,118.02,108.66,0.246635,0.082617
NOR,1988,1.1985,123.22,112.78,0.18106,0.088563
NOR,1989,1.2135,129.32,115.41,0.193491,0.113791
NOR,1990,1.1664,132.58,118.11,0.153929,0.115542
NOR,1991,1.164,133.93,122.64,0.151856,0.08805
NOR,1992,1.1073,138.13,126.52,0.101936,0.08779
NOR,1993,1.0859,140.15,129.24,0.082419,0.081005
NOR,1994,1.0986,147.33,133.09,0.094019,0.101693
NOR,1995,1.0798,149.11,135.95,0.0768,0.092362
NOR,1996,0.9903,153.15,138.88,-0.009761,0.097815
NOR,1997,0.9932,157.71,142.67,-0.006805,0.100228
NOR,1998,1.0989,163.87,144.06,0.094271,0.128889
NOR,1999,1.1275,171.16,145.68,0.120036,0.161207
NOR,2000,1.2318,174.05,148.7,0.208497,0.157427
NOR,2001,1.2445,179.48,151.23,0.218743,0.17124
NOR,2002,1.2511,184.89,155.45,0.224023,0.173437
NOR,2003,1.2346,190.19,158.23,0.21071,0.183969
NOR,2004,1.2426,194.7,160.41,0.217193,0.193705
NOR,2005,1.1942,199.33,166.42,0.177437,0.180458
NOR,2006,1.1936,205.66,170.32,0.176944,0.188542
NOR,2007,1.1148,215.78,174.73,0.108711,0.211049
NOR,2008,1.2085,225.29,177.12,0.189405,0.240546
NOR,2009,1.1807,226.44,180.81,0.166085,0.22502
NOR,2010,1.1295,232.3,185.56,0.121746,0.224675
NOR,2011,1.1012,237.15,188.51,0.09638,0.229549
NOR,2012,1.1762,249.57,193.86,0.162311,0.252571
NOR,2013,1.2454,261.12,197.82,0.219483,0.277635
NOR,2014,1.2211,265.45,202.35,0.199742,0.27142
NOR,2015,1.1958,275.15,206.48,0.178854,0.287106
NOR,2016,1.1947,285.96,214.87,0.177864,0.285844
NOR,2017,1.2357,293.35,220.28,0.211617,0.286454
NOR,2018,1.2509,303.9,223.96,0.223862,0.305247
NOR,2019,1.2279,317.54,231.14,0.205266,0.317578
DNK,1985,1.2866,122.11,102.94,0.252039,0.170794
DNK,1986,1.2416,125.55,105.43,0.216383,0.174681
DNK,1987,1.2016,131.01,108.66,0.183687,0.187087
DNK,1988,1.0741,132.74,112.78,0.071455,0.163002
DNK,1989,1.0241,137.78,115.41,0.023805,0.177147
DNK,1990,0.9529,145.0,118.11,-0.0482,0.205078
DNK,1991,1.0071,152.49,122.64,0.007096,0.217801
DNK,1992,0.9992,156.95,126.52,-0.000776,0.215501
DNK,1993,1.0374,162.51,129.24,0.03673,0.229047
DNK,1994,1.0837,169.69,133.09,0.080338,0.242946
DNK,1995,1.0939,175.17,135.95,0.089787,0.253457
DNK,1996,1.1446,180.38,138.88,0.135093,0.261499
DNK,1997,1.0578,182.1,142.67,0.056192,0.244042
DNK,1998,1.125,189.33,144.06,0.117809,0.273267
DNK,1999,1.1667,194.66,145.68,0.154211,0.289859
DNK,2000,1.166,201.43,148.7,0.153544,0.303528
DNK,2001,1.2051,205.63,151.23,0.186549,0.307291
DNK,2002,1.24,209.42,155.45,0.215092,0.298037
DNK,2003,1.3172,211.44,158.23,0.275484,0.28987
DNK,2004,1.3686,219.12,160.41,0.313755,0.311839
DNK,2005,1.5119,228.47,166.42,0.41334,0.316906
DNK,2006,1.3716,238.31,170.32,0.315953,0.335885
DNK,2007,1.3125,241.82,174.73,0.271918,0.32499
DNK,2008,1.3833,249.27,177.12,0.324483,0.341701
DNK,2009,1.4019,254.63,180.81,0.337833,0.342347
DNK,2010,1.348,260.02,185.56,0.298636,0.337395
DNK,2011,1.2816,263.45,188.51,0.248119,0.334723
DNK,2012,1.2078,267.11,193.86,0.188828,0.320497
DNK,2013,1.1891,278.74,197.82,0.173156,0.342946
DNK,2014,1.2978,296.45,202.35,0.260634,0.381868
DNK,2015,1.2693,306.16,206.48,0.238465,0.3939
DNK,2016,1.2499,318.14,214.87,0.223061,0.392485
DNK,2017,1.4855,328.31,220.28,0.395723,0.399058
DNK,2018,1.6061,337.92,223.96,0.473817,0.411367
DNK,2019,1.575,345.29,231.14,0.454271,0.401348
NZL,1985,1.8548,174.11,102.94,0.61777,0.525517
NZL,1986,1.9248,181.51,105.43,0.654825,0.543294
NZL,1987,1.8138,183.55,108.66,0.59545,0.524269
NZL,1988,1.7795,188.58,112.78,0.576314,0.514115
NZL,1989,1.8098,195.78,115.41,0.593236,0.528436
NZL,1990,1.8134,198.53,118.11,0.595192,0.519285
NZL,1991,1.8456,206.08,122.64,0.612821,0.518979
NZL,1992,1.9212,215.13,126.52,0.65293,0.530808
NZL,1993,1.9237,222.91,129.24,0.654265,0.545074
NZL,1994,1.9053,225.16,133.09,0.644624,0.525802
NZL,1995,1.9307,232.6,135.95,0.65787,0.537002
NZL,1996,1.8129,236.04,138.88,0.594931,0.530407
NZL,1997,1.8289,246.32,142.67,0.603694,0.546109
NZL,1998,1.8752,255.9,144.06,0.628724,0.574593
NZL,1999,1.9815,263.79,145.68,0.683875,0.59375
NZL,2000,1.9818,270.15,148.7,0.684004,0.597055
NZL,2001,1.946,276.84,151.23,0.6658,0.604611
NZL,2002,1.9526,284.21,155.45,0.669171,0.603387
NZL,2003,2.0635,291.19,158.23,0.724405,0.609906
NZL,2004,2.0394,296.85,160.41,0.712632,0.615469
NZL,2005,2.1277,304.28,166.42,0.755029,0.603467
NZL,2006,2.2173,314.29,170.32,0.796309,0.612632
NZL,2007,2.1804,318.14,174.73,0.77953,0.599265
NZL,2008,2.2156,331.35,177.12,0.795515,0.626339
NZL,2009,2.1851,345.83,180.81,0.781659,0.648479
NZL,2010,2.4372,362.44,185.56,0.89083,0.669504
NZL,2011,2.3716,371.86,188.51,0.863545,0.679358
NZL,2012,2.5498,389.92,193.86,0.936024,0.698793
NZL,2013,2.4651,399.28,197.82,0.902214,0.702324
NZL,2014,2.2981,410.05,202.35,0.832072,0.706276
NZL,2015,2.1759,417.91,206.48,0.777429,0.705066
NZL,2016,2.1192,426.69,214.87,0.751031,0.686034
NZL,2017,2.2714,440.92,220.28,0.820416,0.693953
NZL,2018,2.349,448.94,223.96,0.854003,0.695434
NZL,2019,2.3045,461.42,231.14,0.834856,0.691286
KOR,1985,1.2645,126.92,102.94,0.234675,0.209382
KOR,1986,1.2785,134.69,105.43,0.245674,0.244951
KOR,1987,1.2426,137.91,108.66,0.21724,0.238398
KOR,1988,1.2008,141.17,112.78,0.18295,0.224548
KOR,1989,1.2937,147.56,115.41,0.257513,0.245689
KOR,1990,1.2553,151.01,118.11,0.227347,0.245713
KOR,1991,1.2308,156.5,122.64,0.207665,0.243737
KOR,1992,1.2516,162.49,126.52,0.224423,0.250192
KOR,1993,1.3119,164.42,129.24,0.271455,0.240759
KOR,1994,1.3093,173.12,133.09,0.269489,0.262969
KOR,1995,1.3271,177.56,135.95,0.282974,0.267024
KOR,1996,1.3735,183.71,138.88,0.317356,0.279764
KOR,1997,1.398,193.92,142.67,0.335014,0.30695
KOR,1998,1.3431,197.93,144.06,0.294962,0.317677
KOR,1999,1.3578,202.17,145.68,0.305844,0.327705
KOR,2000,1.3781,212.86,148.7,0.320693,0.358738
KOR,2001,1.4039,219.94,151.23,0.339279,0.374526
KOR,2002,1.5646,229.89,155.45,0.447621,0.391273
KOR,2003,1.5394,235.39,158.23,0.431384,0.397167
KOR,2004,1.6178,245.61,160.41,0.481052,0.425995
KOR,2005,1.6687,258.76,166.42,0.51205,0.44143
KOR,2006,1.6972,265.5,170.32,0.528963,0.443925
KOR,2007,1.7646,277.25,174.73,0.567914,0.461689
KOR,2008,1.8558,287.44,177.12,0.618327,0.484175
KOR,2009,1.9703,300.37,180.81,0.67821,0.507561
KOR,2010,1.9525,311.94,185.56,0.669127,0.519458
KOR,2011,2.0423,322.01,188.51,0.714067,0.535427
KOR,2012,2.0205,328.58,193.86,0.703328,0.527618
KOR,2013,2.0014,336.99,197.82,0.693841,0.532703
KOR,2014,2.0318,352.62,202.35,0.70892,0.555378
KOR,2015,1.9311,363.56,206.48,0.658068,0.565749
KOR,2016,1.9574,378.0,214.87,0.671619,0.564886
KOR,2017,1.9787,399.76,220.28,0.682448,0.595953
KOR,2018,2.013,413.02,223.96,0.699602,0.612044
KOR,2019,2.0256,433.73,231.14,0.705852,0.629393
MEX,1985,1.1146,112.3,102.94,0.108519,0.087062
MEX,1986,1.1142,114.31,105.43,0.108153,0.08085
MEX,1987,1.1811,116.8,108.66,0.166468,0.072267
MEX,1988,1.1057,118.18,112.78,0.100439,0.046804
MEX,1989,1.2189,122.33,115.41,0.197926,0.058204
MEX,1990,1.1732,125.96,118.11,0.159711,0.064288
MEX,1991,1.0859,132.76,122.64,0.082446,0.079228
MEX,1992,1.0834,133.24,126.52,0.080145,0.051703
MEX,1993,1.0214,136.47,129.24,0.021218,0.054434
MEX,1994,1.0485,141.83,133.09,0.04739,0.063594
MEX,1995,0.9768,145.16,135.95,-0.023474,0.065533
MEX,1996,1.042,151.16,138.88,0.041128,0.084728
MEX,1997,1.1663,155.57,142.67,0.153817,0.086602
MEX,1998,1.0693,158.27,144.06,0.067031,0.094067
MEX,1999,1.0803,161.74,145.68,0.07723,0.104564
MEX,2000,1.0812,167.15,148.7,0.078037,0.116982
MEX,2001,1.0265,172.97,151.23,0.026202,0.134309
MEX,2002,1.0519,181.35,155.45,0.050629,0.154121
MEX,2003,1.1109,189.4,158.23,0.105142,0.179792
MEX,2004,1.1811,196.24,160.41,0.166421,0.201572
MEX,2005,1.228,203.3,166.42,0.20537,0.200219
MEX,2006,1.2701,212.86,170.32,0.23907,0.222975
MEX,2007,1.2782,221.22,174.73,0.24544,0.235943
MEX,2008,1.2701,231.93,177.12,0.239092,0.269622
MEX,2009,1.3105,244.22,180.81,0.270378,0.300589
MEX,2010,1.3065,247.37,185.56,0.267367,0.287532
MEX,2011,1.3825,252.83,188.51,0.323876,0.293567
MEX,2012,1.3358,258.5,193.86,0.289549,0.28773
MEX,2013,1.2844,260.4,197.82,0.250306,0.274861
MEX,2014,1.149,260.64,202.35,0.138878,0.253108
MEX,2015,1.2377,271.03,206.48,0.213271,0.272047
MEX,2016,1.1707,280.72,214.87,0.157609,0.267334
MEX,2017,1.187,289.1,220.28,0.171453,0.271869
MEX,2018,1.3059,293.79,223.96,0.266862,0.271431
MEX,2019,1.3013,305.95,231.14,0.263399,0.280379
BRA,1985,0.9356,103.03,102.94,-0.066514,0.000908
BRA,1986,1.0263,105.81,105.43,0.025982,0.003641
