id,approved,income,age,debt_ratio,credit_score,employment_length
282,1,13973.32,69,0.234,729,7.5
283,1,37332.74,51,0.426,654,6.7
284,1,64030.7,63,0.477,748,4.6
285,1,53069.43,69,0.192,609,2.6
286,1,24370.47,42,0.258,588,2.4
287,1,12963.98,54,0.146,614,6.2
288,1,86054.86,52,0.476,759,6.0
289,1,25511.51,59,0.111,806,6.1
290,1,89808.29,59,0.137,522,1.3
291,1,22626.09,36,0.301,637,11.1
292,1,11535.16,57,0.32,665,10.7
293,1,12722.59,47,0.616,758,4.9
294,1,80392.6,86,0.178,726,5.2
295,1,39309.56,61,0.265,657,6.2
296,1,41311.92,72,0.224,668,3.5
297,1,19374.72,40,0.467,628,5.3
298,1,30148.26,74,0.124,804,3.2
299,1,52062.57,80,0.137,792,6.6
300,1,30752.12,62,0.227,577,1.8
301,1,72246.11,44,0.547,715,4.3
302,1,53875.28,70,0.268,678,1.1
303,1,98028.48,39,0.288,663,6.3
304,1,22362.77,47,0.451,734,3.3
305,1,40694.36,59,0.095,536,3.3
306,1,50773.88,39,0.232,822,2.9
307,1,88860.15,41,0.362,706,12.6
308,1,18819.0,42,0.248,706,5.0
309,1,73996.62,53,0.305,723,4.1
310,1,31667.98,80,0.067,642,4.2
311,1,64543.72,60,0.13,661,0.5
312,1,27661.15,63,0.49,570,4.1
313,1,28517.24,60,0.327,731,1.8
314,1,6695.92,34,0.277,604,6.8
315,1,230455.39,88,0.014,752,7.0
316,0,26692.03,42,0.409,810,2.1
317,1,24365.95,51,0.378,571,3.0
318,1,45491.02,53,0.026,652,5.1
319,1,5368.52,65,0.273,717,4.2
320,1,68383.08,62,0.602,676,5.9
321,1,79359.76,82,0.611,708,3.1
322,1,17219.39,36,0.182,737,4.3
323,1,83822.32,91,0.452,693,4.9
324,1,15348.04,64,0.282,610,9.8
325,1,12183.39,44,0.239,711,5.7
326,1,38441.14,35,0.059,636,4.2
327,1,18834.9,46,0.271,840,6.1
328,1,32144.26,65,0.644,737,2.5
329,1,63351.37,73,0.172,579,6.3
330,1,73130.91,56,0.501,536,5.5
331,1,128730.43,41,0.028,642,3.4
332,1,27676.51,54,0.193,757,14.9
333,1,20382.12,86,0.313,782,5.7
334,1,19352.54,42,0.204,602,4.4
335,1,204634.69,63,0.223,554,3.4
336,1,14138.06,40,0.503,663,14.1
337,1,40068.96,43,0.408,639,5.8
338,1,59311.69,59,0.308,611,3.6
339,1,56996.42,44,0.217,681,4.6
340,1,29205.48,38,0.277,757,4.5
341,1,27738.19,58,0.307,661,2.8
342,1,59100.48,51,0.142,764,3.8
343,1,33754.79,68,0.258,678,9.2
344,1,45890.52,47,0.091,549,9.1
345,1,14854.11,62,0.331,528,2.9
346,1,72387.2,64,0.589,685,7.0
347,0,48931.02,30,0.583,528,3.5
348,1,37889.26,77,0.165,659,7.3
349,1,129544.27,64,0.272,599,4.4
350,1,37864.53,57,0.153,538,7.9
351,1,42584.19,63,0.258,523,11.2
352,1,59935.33,57,0.198,599,2.0
353,1,85007.08,58,0.199,657,4.7
354,1,48453.11,59,0.14,663,5.8
355,1,40311.43,63,0.279,662,4.1
356,1,28593.31,57,0.536,699,4.6
357,1,59257.71,48,0.125,523,8.9
358,1,57422.5,52,0.454,531,3.1
359,1,19254.15,59,0.15,759,6.0
360,1,39161.06,44,0.356,648,1.4
361,1,60972.55,51,0.355,710,6.0
362,1,76421.98,46,0.453,780,5.0
363,1,101297.79,49,0.591,667,8.5
364,1,43148.89,34,0.105,721,7.4
365,1,32843.43,36,0.253,720,2.3
366,1,54846.57,81,0.129,648,2.3
367,1,6835.16,53,0.14,622,3.4
368,1,58164.45,56,0.393,736,7.0
369,1,50813.66,43,0.372,658,3.2
370,1,14281.53,59,0.122,616,0.5
371,1,41750.04,55,0.212,615,7.4
372,1,28387.23,73,0.398,621,3.7
373,1,22969.0,72,0.11,644,16.7
374,1,27014.87,63,0.231,617,4.4
375,1,50555.85,65,0.076,850,6.4
376,1,24865.11,69,0.312,654,8.8
377,1,28144.54,60,0.023,794,4.1
378,1,31528.92,65,0.229,654,1.3
379,1,94932.97,64,0.338,712,8.8
380,1,44794.3,66,0.311,850,5.0
381,1,135508.58,48,0.413,621,4.0
382,1,22885.85,35,0.099,775,6.8
383,1,78564.83,54,0.43,624,5.6
384,1,76158.99,69,0.227,683,1.3
385,1,22016.22,53,0.145,699,4.7
386,1,68063.7,45,0.561,850,10.5
387,1,25809.07,43,0.153,672,4.8
388,1,24892.39,54,0.282,560,2.8
389,1,17575.27,57,0.478,715,2.0
390,1,71676.47,58,0.242,718,6.5
391,1,17851.59,53,0.019,637,3.1
392,1,47305.49,45,0.306,700,7.2
393,1,17696.39,69,0.284,646,3.9
394,1,32057.81,61,0.48,716,2.1
395,1,8898.7,40,0.262,844,4.4
396,1,50838.41,72,0.07,664,7.4
397,1,25984.1,62,0.212,807,4.1
398,1,72033.69,45,0.265,759,8.5
399,1,50620.37,41,0.372,692,4.5
400,1,48820.14,52,0.238,660,6.9
401,1,47779.81,41,0.377,690,4.5
402,1,11337.71,90,0.148,739,9.4
403,0,9103.0,62,0.638,659,5.3
404,1,7567.99,43,0.186,595,7.8
405,1,31007.51,33,0.344,756,6.6
406,1,15157.7,42,0.122,619,2.7
407,1,24797.89,56,0.143,597,7.1
408,1,46630.34,72,0.282,690,8.7
409,1,53571.52,73,0.323,645,6.5
410,1,20356.33,52,0.212,776,5.6
411,1,11585.46,60,0.233,767,10.9
412,1,22315.55,57,0.186,604,8.3
413,1,59393.86,115,0.54,724,3.7
414,1,58542.22,86,0.553,643,3.8
415,1,34372.15,54,0.216,784,3.6
416,1,25532.84,104,0.391,767,5.5
417,1,28575.32,70,0.308,796,3.6
418,1,19756.09,80,0.242,738,2.3
419,1,20422.68,48,0.617,634,3.1
420,1,23815.84,51,0.28,730,13.6
421,0,30357.13,50,0.443,613,11.2
422,1,9484.97,70,0.255,573,11.9
423,1,26115.16,64,0.132,701,2.6
424,1,98446.96,55,0.384,540,9.5
425,1,30930.18,54,0.078,525,8.0
426,1,113268.36,69,0.292,710,7.7
427,1,15903.47,51,0.019,659,6.2
428,1,27589.7,88,0.111,752,3.4
429,1,11392.04,95,0.166,627,3.7
430,1,85715.53,76,0.108,771,2.4
431,1,192293.48,50,0.086,721,7.7
432,1,107572.48,66,0.219,614,4.9
433,1,41359.99,40,0.3,623,4.5
434,1,83751.21,64,0.192,671,11.9
435,1,37167.91,60,0.145,785,6.9
436,1,26423.29,58,0.344,612,3.3
437,1,40240.26,65,0.197,498,7.9
438,1,18153.69,57,0.192,654,3.1
439,1,61197.37,62,0.334,520,2.4
440,1,31144.93,45,0.35,709,1.3
441,1,80064.03,38,0.092,809,2.8
442,1,24067.58,49,0.197,767,6.1
443,1,24384.65,58,0.17,635,1.8
444,1,19247.12,66,0.671,675,6.1
445,1,61605.35,60,0.354,662,1.8
446,1,40877.91,80,0.498,634,6.9
447,1,57992.06,65,0.355,685,0.9
448,1,25959.71,60,0.079,676,9.4
449,1,18500.91,38,0.46,684,7.5
450,1,23226.24,40,0.337,807,1.8
451,1,64178.37,66,0.522,704,8.0
452,1,19050.74,56,0.155,563,11.1
453,1,30182.14,52,0.195,752,2.4
454,0,16561.37,32,0.678,750,9.4
455,1,30788.6,46,0.427,737,12.4
456,1,50094.4,63,0.214,724,4.3
457,1,86005.22,41,0.225,732,1.4
458,1,11229.07,34,0.318,760,9.6
459,1,11908.64,51,0.115,755,2.4
460,1,91348.99,54,0.386,662,6.9
461,1,99077.65,75,0.28,478,4.0
462,1,69125.35,41,0.142,729,3.8
463,1,32692.49,59,0.258,668,5.7
464,0,16597.62,56,0.583,528,9.5
465,1,24325.92,70,0.343,708,3.8
466,1,39978.86,47,0.06,583,1.1
467,1,18065.38,60,0.318,538,4.4
468,1,33869.22,55,0.08,704,6.7
469,1,5125.85,66,0.239,734,1.9
470,1,77651.4,45,0.226,650,5.4
471,1,11136.43,32,0.189,682,8.2
472,1,21255.02,61,0.278,625,5.6
473,1,41969.59,60,0.736,680,5.6
474,1,32604.41,53,0.281,514,3.8
475,1,49576.8,59,0.306,621,4.4
476,1,29583.11,68,0.143,672,6.1
477,1,7984.86,66,0.343,757,5.0
478,0,16135.75,39,0.699,522,5.5
479,1,32185.09,58,0.248,777,7.2
480,1,31272.73,49,0.216,570,6.8
481,1,32806.06,75,0.589,572,3.3
482,1,41042.26,70,0.133,741,3.5
483,1,59902.63,66,0.375,591,5.1
484,1,4367.47,64,0.014,779,7.2
485,1,207467.41,57,0.729,559,1.5
486,1,112834.32,71,0.262,784,6.1
487,1,69988.88,42,0.435,811,2.5
488,1,23205.38,65,0.322,698,6.1
489,1,24680.52,41,0.274,635,6.3
490,1,67053.01,47,0.14,638,7.0
491,1,73552.77,34,0.338,642,2.7
492,1,31122.83,58,0.291,677,7.7
493,1,16773.46,40,0.482,669,6.3
494,1,238215.41,66,0.384,813,4.5
495,1,13678.08,45,0.04,850,3.9
496,1,93868.03,46,0.454,730,3.7
497,1,14198.34,42,0.325,711,6.2
498,0,31843.7,47,0.461,730,5.2
499,1,100321.48,70,0.343,732,4.0
500,1,67537.83,90,0.447,754,4.9
501,1,133701.21,44,0.222,647,4.2
502,1,32519.99,54,0.285,739,8.6
503,1,46786.48,74,0.428,627,14.7
504,1,58148.36,45,0.027,664,6.5
505,1,27766.91,75,0.288,850,5.8
506,1,34302.55,50,0.161,739,7.7
507,1,231003.56,38,0.29,634,9.8
508,1,145527.79,42,0.273,755,11.5
509,1,31982.76,42,0.265,757,2.0
510,1,48107.86,85,0.579,669,2.6
511,1,32125.61,53,0.488,780,14.0
512,1,175485.72,57,0.19,645,0.9
513,1,52292.58,64,0.041,763,6.4
514,1,29288.37,35,0.339,642,2.7
515,1,65259.5,40,0.186,633,6.9
516,1,99263.6,53,0.403,657,4.4
517,1,51834.68,30,0.493,628,5.0
518,1,13901.29,83,0.035,693,6.5
519,1,37599.48,70,0.023,480,3.8
520,1,30957.77,51,0.153,710,6.1
521,1,170502.85,64,0.447,686,10.5
522,1,60952.02,49,0.207,622,2.7
523,1,67081.97,37,0.226,710,5.0
524,1,33043.02,40,0.085,667,6.7
525,1,12311.87,78,0.257,762,6.9
526,1,131358.2,54,0.292,786,4.2
527,1,58062.28,36,0.568,646,3.6
528,1,24723.56,63,0.081,615,6.7
529,0,20558.3,63,0.541,560,1.4
530,1,44875.54,71,0.122,645,6.3
531,1,11589.74,57,0.52,734,4.7
532,1,16478.12,44,0.431,659,3.7
533,1,111878.21,78,0.392,693,2.2
534,1,69108.24,56,0.405,850,4.9
535,1,53082.93,47,0.226,679,9.5
536,1,14936.87,66,0.107,721,1.7
537,1,30188.09,74,0.166,650,16.4
538,1,82696.78,45,0.478,733,13.1
539,1,86000.42,104,0.381,623,9.1
540,1,33146.33,43,0.336,700,4.4
541,1,72046.48,46,0.351,653,7.7
542,1,39895.74,56,0.373,615,5.5
543,1,11662.72,55,0.292,744,1.6
544,1,51326.42,45,0.25,678,8.9
545,1,42422.95,61,0.512,679,4.1
546,1,86572.49,55,0.333,740,1.4
547,1,28551.93,64,0.517,614,2.1
548,1,19566.67,60,0.525,758,6.9
549,1,24408.61,46,0.233,716,6.2
550,1,80700.78,57,0.307,742,10.7
551,1,21319.76,60,0.061,705,4.0
552,1,49617.52,39,0.367,698,4.8
553,1,55301.41,26,0.188,664,14.6
554,1,36271.05,51,0.306,604,13.2
555,1,37657.65,46,0.505,682,9.7
556,1,55255.49,50,0.382,829,2.7
557,1,40771.38,78,0.263,607,6.8
558,1,27418.75,50,0.042,779,5.1
559,1,107634.4,63,0.339,690,13.6
560,1,12585.12,53,0.431,582,8.1
561,1,28761.0,39,0.181,556,3.1
562,1,10254.16,73,0.181,628,11.6
563,1,20770.66,90,0.431,766,10.8
564,1,153259.68,79,0.096,597,7.0
565,1,21584.06,51,0.591,576,5.6
566,0,40426.85,38,0.458,574,11.7
567,1,33210.3,68,0.065,733,5.9
568,1,40732.56,85,0.096,569,9.0
569,0,35411.1,62,0.751,712,8.8
570,1,74932.51,65,0.099,706,2.2
571,1,21947.8,54,0.553,703,2.9
572,1,10129.91,56,0.155,705,5.1
573,1,62464.35,52,0.206,699,9.1
574,1,26249.0,43,0.159,727,3.0
575,1,29070.66,64,0.059,743,9.7
576,1,40856.9,37,0.553,706,7.5
577,1,127858.67,62,0.342,441,6.2
578,1,23976.98,49,0.745,848,3.2
579,1,23385.58,44,0.274,601,5.5
580,1,47878.53,71,0.148,662,3.0
581,1,14027.71,55,0.056,675,6.6
582,1,28324.27,68,0.378,710,2.1
583,1,106616.49,56,0.325,672,8.7
584,1,75073.11,25,0.08,682,6.3
585,0,42763.8,65,0.882,563,6.9
586,1,92384.75,56,0.327,708,3.6
587,1,19023.08,36,0.124,605,2.6
588,1,75276.06,47,0.496,748,5.7
589,1,75496.08,59,0.241,707,4.6
590,1,25179.59,46,0.358,666,4.9
591,1,43409.54,62,0.347,805,2.7
592,1,32185.67,59,0.068,662,3.7
593,1,39636.74,85,0.486,732,2.4
594,1,72330.72,57,0.211,570,6.1
595,1,17218.01,56,0.41,762,4.8
596,1,104015.75,62,0.202,628,2.5
597,1,86045.54,43,0.751,566,7.8
598,1,81259.29,47,0.272,791,2.0
599,1,44983.98,36,0.247,716,7.1
600,1,29280.41,61,0.146,659,3.4
601,1,22788.8,56,0.027,756,5.3
602,1,16434.4,48,0.378,658,3.0
603,1,39190.25,74,0.224,690,1.5
604,1,32095.02,43,0.265,777,10.7
605,1,179245.6,75,0.033,551,6.4
606,1,27008.57,55,0.238,564,3.7
607,1,76274.82,43,0.353,597,8.1
608,0,8009.73,56,0.447,641,4.8
609,1,37100.82,87,0.53,688,3.6
610,1,45277.11,91,0.442,607,6.3
611,0,13084.34,53,0.566,673,7.4
612,1,29848.75,48,0.23,725,5.3
613,1,72626.38,52,0.313,626,7.3
614,1,38052.72,54,0.577,686,6.8
615,1,16918.2,47,0.292,620,7.4
616,1,32972.68,57,0.039,584,6.4
617,1,49329.94,60,0.326,550,6.1
618,1,35776.61,72,0.128,808,3.3
619,1,191974.72,51,0.158,719,3.1
620,1,67631.25,49,0.062,676,6.4
621,1,28388.74,60,0.214,641,5.5
622,1,83470.48,89,0.335,656,5.8
623,1,13597.24,46,0.347,755,15.9
624,1,47066.78,81,0.188,697,5.4
625,1,94060.82,78,0.094,733,6.4
626,1,35519.49,40,0.324,817,6.9
627,1,34560.23,52,0.148,850,2.7
628,1,42403.15,52,0.159,584,1.3
629,1,35782.22,52,0.275,744,7.2
630,1,15885.24,59,0.207,697,13.9
631,1,18658.98,60,0.333,665,4.9
632,1,74379.79,47,0.112,780,5.8
633,1,73131.43,65,0.306,609,4.8
634,1,19480.8,70,0.187,741,10.6
635,1,40819.94,92,0.387,726,10.1
636,1,16835.06,44,0.469,711,4.7
637,1,50881.89,75,0.361,673,4.2
638,1,35646.75,55,0.119,693,3.8
639,1,37815.02,46,0.166,772,4.0
640,1,10167.92,48,0.385,782,1.6
641,1,35156.33,40,0.053,846,9.2
642,1,71626.33,38,0.079,817,7.0
643,1,25392.65,67,0.239,717,8.7
644,1,32289.46,82,0.33,507,9.6
645,1,20246.8,51,0.08,571,6.3
646,1,24156.21,74,0.721,663,4.6
647,0,18321.33,49,0.456,651,1.9
648,1,44204.52,51,0.221,706,3.6
649,1,32629.1,53,0.456,664,12.7
650,1,46311.16,75,0.284,715,7.3
651,1,28559.45,62,0.302,672,3.6
652,1,28134.62,37,0.206,709,2.5
653,1,21440.21,102,0.348,804,6.4
654,1,28299.62,69,0.489,718,5.6
655,1,40477.67,45,0.366,648,4.7
656,1,25672.79,53,0.263,739,5.8
657,1,37223.14,66,0.395,696,9.1
658,1,32531.55,33,0.129,710,9.8
659,1,109058.08,66,0.368,802,6.8
660,1,59020.66,43,0.297,692,1.8
661,1,33033.91,65,0.465,591,6.1
662,1,23811.47,47,0.312,775,9.7
663,1,20661.53,56,0.078,795,1.2
664,1,25871.6,56,0.163,845,11.9
