id,income,education,experience,female,region,urban
110,75.4,18,13.3,0,2,1
111,82.27,14,15.1,0,4,1
112,59.91,12,38.1,1,2,1
113,73.59,14,11.1,1,1,1
114,55.88,12,21.0,1,3,0
115,55.69,10,8.5,1,3,1
116,67.04,10,25.5,1,1,1
117,72.6,18,11.6,1,1,0
118,71.4,14,5.0,0,3,0
119,58.32,14,45.8,0,4,0
120,79.79,16,30.9,0,4,1
121,56.43,12,14.7,0,2,0
122,66.96,12,27.1,1,2,0
123,85.11,12,26.9,0,4,0
124,85.0,14,14.3,1,4,0
125,74.8,16,22.9,1,4,0
126,82.52,14,5.5,0,4,0
127,72.21,12,22.8,1,4,1
128,51.12,16,59.5,0,2,1
129,68.16,16,7.6,1,4,1
130,66.04,16,6.3,0,1,1
131,78.84,18,20.4,1,4,1
132,86.01,18,33.9,1,4,1
133,90.8,20,12.3,1,4,1
134,110.07,20,23.7,0,3,0
135,87.5,16,3.3,0,4,0
136,87.17,20,10.8,1,1,1
137,77.62,12,24.6,0,1,1
138,63.89,12,33.7,0,1,0
139,117.37,16,21.4,0,1,1
140,84.48,12,29.5,0,3,1
141,83.35,16,19.6,0,3,1
142,64.29,14,10.0,0,2,1
143,81.08,14,24.2,1,2,1
144,94.0,16,35.0,1,1,0
145,67.12,12,10.2,1,3,1
146,59.53,12,5.3,0,3,1
147,58.21,12,21.1,0,3,0
148,84.9,14,21.8,0,2,1
149,90.42,14,15.9,1,4,1
150,82.47,12,14.5,0,3,1
151,86.66,20,17.6,1,3,0
152,70.15,14,19.2,1,2,1
153,67.93,10,39.8,0,3,0
154,73.46,16,20.5,1,4,1
155,98.34,18,22.8,0,1,1
156,88.29,18,17.3,1,2,1
157,76.97,16,23.7,0,1,1
158,73.12,16,4.6,1,4,1
159,81.76,16,25.7,1,2,0
160,65.45,16,17.0,0,1,1
161,72.07,12,21.6,1,4,1
162,86.55,18,11.2,1,4,1
163,73.27,16,7.1,1,1,1
164,52.79,12,6.8,0,3,0
165,98.8,16,10.1,0,4,1
166,63.37,16,35.5,1,2,1
167,112.42,16,9.8,0,4,1
168,70.55,16,8.4,0,1,1
169,88.28,18,20.7,1,4,1
170,95.9,18,17.4,1,1,1
171,74.8,12,12.9,0,3,1
172,61.58,14,20.2,1,4,1
173,86.01,18,29.0,0,2,0
174,59.17,16,17.9,1,1,1
175,78.71,16,13.8,1,1,1
176,68.02,16,10.0,0,3,1
177,63.51,16,13.8,1,3,1
178,63.5,12,21.0,1,3,1
179,47.95,12,22.5,1,3,0
180,56.37,14,17.3,1,2,1
181,85.74,14,29.4,0,2,0
182,54.71,14,24.8,0,3,0
183,50.2,10,9.0,1,4,0
184,72.08,16,35.0,1,2,1
185,73.22,14,41.0,0,3,0
186,60.87,20,10.7,0,4,0
187,91.82,16,18.8,1,4,1
188,53.11,10,19.8,1,4,1
189,88.43,16,8.3,1,2,1
190,80.49,16,34.4,1,3,0
191,46.07,12,11.9,1,3,1
192,101.6,20,25.4,0,4,1
193,85.83,12,16.4,0,2,1
194,75.41,14,14.3,1,2,1
195,86.45,14,36.7,1,4,1
196,70.09,14,16.0,0,1,1
197,95.76,16,17.3,0,3,0
198,68.53,16,23.4,1,1,1
199,83.36,16,9.6,0,3,1
200,65.96,12,18.7,0,1,1
201,86.3,12,34.8,0,3,1
202,50.57,12,8.1,0,3,1
203,90.8,16,24.2,1,4,0
204,56.93,14,7.5,0,4,1
205,56.64,10,9.6,0,4,1
206,96.17,14,29.2,0,2,1
207,77.77,14,9.4,0,3,0
208,58.59,12,10.4,1,4,0
209,73.27,16,14.3,1,4,1
210,74.57,12,29.8,1,4,1
211,89.62,16,24.2,0,1,1
212,57.07,10,19.8,0,1,1
213,45.36,16,6.1,1,2,1
214,85.07,12,16.5,0,3,1
215,67.4,16,46.1,0,3,1
216,57.42,10,8.4,0,4,0
217,66.78,16,19.9,1,2,1
218,86.78,12,27.6,0,3,1
219,65.74,16,25.8,1,2,1
220,84.45,14,28.1,0,4,1
221,62.78,12,14.4,1,2,0
222,59.19,16,20.9,0,3,1
223,61.82,12,8.6,0,4,0
224,73.87,10,15.1,0,3,1
225,39.75,12,18.9,1,4,1
226,64.75,12,28.3,0,1,1
227,66.34,14,11.6,0,1,1
228,75.63,18,34.8,0,1,1
229,70.63,10,22.2,0,3,1
230,80.15,20,32.3,1,1,1
231,53.97,10,13.9,1,3,1
232,81.24,16,21.6,0,4,1
233,96.63,16,17.4,0,4,1
234,84.04,18,9.4,1,2,1
235,84.9,14,11.8,1,4,0
236,61.06,12,32.6,1,4,0
237,65.75,12,26.1,1,1,1
238,123.65,12,11.9,1,3,1
239,67.87,10,25.5,1,2,1
240,93.45,20,17.5,1,3,1
241,53.71,16,12.7,1,1,0
242,61.91,20,14.1,0,1,1
243,77.09,14,21.4,1,1,0
244,80.99,16,28.0,1,1,1
245,52.06,12,24.4,1,1,0
246,85.21,14,11.6,1,1,1
247,72.88,16,37.1,1,2,0
248,55.59,10,27.3,1,1,0
249,79.28,18,24.3,1,2,1
250,71.7,16,19.3,1,3,0
251,74.39,12,14.7,1,4,1
252,80.71,20,25.3,1,4,1
253,55.21,10,16.5,0,2,1
254,54.87,16,25.7,1,1,0
255,57.45,12,16.5,0,2,1
256,60.3,10,21.0,1,1,1
257,94.79,14,17.7,1,2,1
258,84.04,16,3.9,0,3,1
259,55.78,14,19.1,0,3,1
260,56.69,12,51.4,0,2,1
261,46.61,14,19.7,1,2,1
262,100.56,16,29.9,0,4,1
263,74.11,14,14.4,0,3,1
264,103.42,16,26.0,0,3,1
265,37.04,16,14.8,1,1,1
266,61.37,12,17.4,1,1,1
267,69.25,14,12.8,1,2,0
268,66.06,16,15.6,1,3,0
269,73.29,16,23.2,1,3,1
270,90.71,20,12.9,0,1,0
271,74.9,14,23.3,0,2,1
272,49.17,10,10.7,1,1,1
273,89.51,14,25.9,0,4,1
274,100.16,16,20.1,0,2,1
275,89.07,14,16.9,0,2,0
276,69.61,10,17.8,1,3,1
277,82.38,14,19.2,0,1,0
278,85.25,18,23.9,0,4,1
279,76.28,20,16.6,0,2,0
280,65.38,16,41.5,0,1,1
281,65.22,14,12.9,0,2,1
282,67.81,12,9.1,0,2,0
283,73.45,14,14.1,0,3,1
284,71.48,16,6.4,1,2,1
285,74.05,12,11.5,0,3,1
286,86.0,14,17.8,0,4,1
287,73.61,12,23.4,0,1,1
288,57.97,14,18.7,1,4,1
289,98.42,14,5.8,0,4,1
290,89.57,20,9.9,0,2,1
291,87.93,14,27.8,0,4,1
292,82.49,12,10.2,1,1,0
293,84.43,12,18.3,1,4,1
294,62.51,16,11.0,1,3,0
295,93.83,14,16.8,0,3,1
296,102.45,18,26.6,0,3,1
297,90.2,16,23.8,0,2,1
298,85.26,16,29.0,1,3,1
299,29.25,12,9.4,1,4,0
300,86.39,14,10.1,0,2,0
301,73.06,18,24.9,1,1,1
302,61.18,12,30.4,0,3,0
303,70.57,14,26.7,0,2,1
304,97.05,16,18.2,0,2,1
305,62.08,12,13.8,0,1,0
306,86.72,20,17.7,1,2,1
307,74.66,12,14.5,1,2,0
308,78.16,12,21.7,0,3,1
309,70.5,12,28.0,0,3,1
310,50.08,14,10.0,1,1,1
311,80.37,16,30.8,0,2,1
312,98.32,20,16.2,0,3,1
313,88.33,16,18.2,0,1,1
314,110.34,16,23.6,0,3,1
315,44.19,14,26.3,1,4,0
316,66.66,14,25.6,0,2,0
317,72.56,14,27.2,1,3,1
318,68.7,14,10.6,1,1,0
319,63.08,10,15.5,0,4,1
320,86.56,16,21.5,1,3,0
321,71.2,10,21.3,1,1,0
322,53.48,12,14.5,1,1,1
323,81.9,16,27.1,1,2,1
324,69.15,18,12.8,1,1,1
325,75.26,16,24.3,1,4,1
326,88.82,16,8.5,0,2,0
327,49.14,12,34.7,1,4,1
328,82.21,16,35.0,1,2,1
329,62.38,10,42.8,1,2,1
330,92.39,14,9.8,0,1,0
331,63.21,10,13.7,1,3,0
332,65.36,14,25.2,1,3,1
333,91.14,12,15.5,0,3,1
334,93.29,20,25.3,0,2,1
335,73.07,14,16.4,1,4,0
336,97.74,18,10.2,1,4,1
337,77.76,12,13.5,0,4,0
338,59.73,10,29.4,1,1,1
339,87.42,16,25.4,1,3,1
340,54.23,10,14.9,1,4,0
341,92.91,18,19.2,1,1,0
342,45.09,12,15.7,1,4,0
343,61.17,14,39.9,0,2,1
344,94.64,20,21.5,1,4,0
345,83.52,16,9.5,1,2,1
346,95.82,18,51.8,0,3,1
347,66.72,10,23.2,1,4,1
348,58.17,16,12.7,1,1,1
349,60.32,12,6.0,0,1,0
350,73.15,10,24.6,1,3,1
351,64.67,12,14.8,0,4,0
352,100.69,20,17.2,1,2,0
353,52.33,14,18.5,1,1,1
354,65.11,14,23.6,0,1,1
355,79.65,10,33.1,0,1,1
356,66.51,14,7.2,0,3,1
357,67.46,12,11.9,1,1,1
358,49.04,10,16.1,1,1,0
359,54.12,12,20.9,0,3,1
360,98.19,16,12.4,0,2,1
361,60.0,12,24.0,1,4,1
362,86.97,16,11.9,1,4,1
363,105.52,20,18.7,1,4,1
364,61.82,16,49.3,1,2,1
365,80.96,16,17.7,0,1,1
366,88.24,12,18.0,0,2,1
367,82.96,14,20.4,1,4,1
368,87.11,16,21.3,0,4,1
369,55.63,18,9.3,1,1,1
370,73.66,12,39.4,1,4,1
371,73.94,12,28.9,0,2,1
372,59.42,16,30.3,1,1,1
373,70.54,10,41.5,0,4,1
374,71.52,16,45.8,0,4,1
375,90.7,16,13.9,1,3,1
376,62.28,16,20.8,1,3,0
377,60.29,12,22.2,0,1,0
378,63.34,10,11.8,0,1,1
379,85.13,16,13.8,0,1,1
380,129.91,20,29.4,0,4,1
381,69.37,20,23.7,0,1,1
382,78.62,16,18.7,0,1,1
383,54.03,12,5.2,1,4,1
384,83.58,10,12.9,0,2,1
385,78.05,12,14.0,0,1,1
386,89.27,16,12.2,1,3,0
387,33.7,10,19.7,0,3,0
388,76.13,14,8.1,0,3,0
389,141.95,20,25.0,0,1,1
390,56.62,10,28.5,0,3,0
391,71.12,12,23.9,0,2,1
392,68.18,12,34.3,0,1,0
393,83.83,16,12.5,0,2,1
394,34.34,10,7.8,1,1,1
395,73.8,12,8.3,1,4,1
396,85.25,12,33.3,0,4,1
397,78.44,18,14.7,0,3,0
398,85.37,12,17.3,0,1,1
399,93.42,14,26.0,0,3,1
400,85.57,18,36.5,1,2,1
401,87.19,12,17.4,0,4,1
402,53.6,12,6.7,1,2,1
403,91.27,14,9.5,0,4,1
404,86.17,16,13.2,0,3,0
405,125.11,16,30.9,0,3,1
406,71.33,18,12.7,0,3,0
407,47.94,14,34.6,1,3,1
408,56.42,10,56.3,0,3,0
409,63.21,10,17.9,0,1,0
410,62.25,16,31.0,1,3,0
411,49.14,12,18.6,1,3,1
412,73.81,18,9.4,1,2,0
413,55.98,10,15.7,1,1,1
414,49.44,12,14.2,1,1,1
415,70.79,16,28.2,1,3,1
416,44.52,16,8.4,1,3,1
417,88.74,16,8.3,1,4,0
418,98.65,16,28.2,0,4,0
419,71.39,12,34.0,0,3,1
420,57.17,12,17.5,1,1,1
421,97.58,16,15.8,0,4,1
422,72.23,16,11.4,1,4,1
423,65.96,14,9.9,0,2,1
424,68.24,12,21.6,1,2,1
425,82.89,18,20.3,1,3,1
426,40.57,10,27.6,1,1,0
427,95.7,12,14.5,1,4,1
428,60.96,10,40.1,1,4,1
429,50.03,12,6.5,1,4,1
430,61.71,12,12.4,1,1,0
431,81.58,14,26.2,1,3,1
432,54.55,16,7.9,1,1,0
433,81.8,16,26.9,1,1,1
434,51.35,14,12.1,1,4,1
435,92.51,16,31.6,0,2,1
436,87.61,14,16.1,1,3,0
437,77.38,16,29.5,1,4,1
438,58.39,16,23.6,1,3,0
439,67.29,14,16.4,1,3,1
440,91.85,16,35.1,1,4,1
441,99.1,16,22.4,0,2,1
442,70.9,16,20.8,0,2,1
443,98.45,16,21.2,1,3,0
444,54.05,10,16.1,1,2,1
445,68.26,14,20.6,1,3,0
446,77.62,12,21.4,0,1,1
447,66.38,10,38.4,0,3,1
448,95.43,18,22.6,0,1,1
449,73.55,12,6.7,1,3,1
450,63.34,14,12.1,0,2,1
451,71.44,10,17.6,1,4,1
452,55.27,12,1.9,1,4,1
453,83.88,16,22.0,0,4,1
454,79.07,14,12.9,1,2,1
455,52.47,10,26.8,0,1,1
456,96.09,20,8.3,0,2,1
457,97.34,14,6.3,0,2,1
458,84.9,14,23.2,0,1,1
459,78.55,18,9.2,0,4,1
460,72.32,10,44.1,0,2,1
461,59.64,12,29.0,1,2,0
462,54.8,12,19.8,1,2,1
463,53.19,10,8.2,1,4,1
464,62.17,14,18.5,1,2,0
465,48.02,18,7.2,1,2,1
466,61.12,12,8.5,0,1,0
467,42.7,10,16.1,1,1,1
468,79.6,14,26.7,1,2,1
469,70.65,14,34.3,1,3,1
470,82.19,16,43.4,0,1,1
471,106.07,16,28.8,0,2,1
472,69.32,20,30.6,0,2,0
473,57.24,12,11.5,1,1,1
474,66.26,16,23.4,1,1,1
475,59.16,12,13.2,1,4,0
476,61.58,16,14.0,1,2,0
477,64.44,16,19.4,1,2,1
478,93.22,16,23.7,1,4,1
479,86.75,14,14.0,0,3,1
480,69.54,10,7.9,0,3,1
481,63.4,12,16.0,0,3,0
482,54.78,12,35.0,1,4,0
483,58.15,12,28.7,0,2,0
484,136.13,20,7.0,1,4,1
485,82.7,12,11.6,0,2,1
486,79.5,16,25.7,0,4,1
487,68.59,12,5.3,0,4,1
488,86.81,16,16.3,0,4,0
489,44.12,12,28.6,1,1,1
490,60.63,16,22.7,1,4,1
491,92.88,12,7.4,0,4,1
492,88.44,18,24.8,0,1,1
493,91.81,12,24.1,0,3,0
494,80.36,12,25.3,0,4,1
495,105.4,20,33.0,0,1,1
496,77.58,16,10.6,0,3,1
497,73.56,16,25.1,0,2,0
498,44.65,12,8.9,0,3,1
499,45.73,12,45.1,1,1,1
500,77.22,12,24.6,1,2,1
501,67.39,10,22.4,0,1,1
502,59.82,16,19.2,0,3,1
503,64.53,10,12.3,1,4,1
504,71.96,16,23.7,0,2,1
505,75.77,12,19.7,0,1,1
506,78.1,14,25.8,1,4,1
507,74.41,16,19.3,1,1,0
508,87.36,12,32.0,0,2,1
509,55.95,10,13.2,1,1,1
510,57.02,10,19.7,1,2,1
511,66.43,12,8.1,0,2,1
512,59.3,12,14.4,0,3,1
513,61.83,12,22.7,1,3,1
514,54.66,10,10.1,0,3,0
515,58.76,12,24.1,1,1,1
516,74.58,18,20.1,1,2,0
517,78.47,18,16.2,1,1,1
518,65.87,16,18.2,1,2,1
519,75.68,16,22.7,1,1,1
520,70.31,12,5.8,0,2,1
521,57.8,12,25.7,1,1,1
522,87.79,16,23.8,1,3,1
523,59.82,12,17.0,0,3,0
524,62.74,16,40.8,1,3,0
525,55.96,10,8.3,0,4,0
526,70.04,12,20.5,0,3,0
527,55.63,10,16.7,0,3,0
528,74.28,12,13.3,0,2,1
529,66.66,12,17.0,1,2,1
530,80.43,16,22.3,0,3,0
531,99.45,18,36.8,1,2,1
532,70.1,10,14.9,0,3,1
533,54.67,12,18.2,0,4,1
534,46.92,12,27.0,1,1,1
535,67.4,16,28.2,0,2,1
536,48.13,14,9.9,1,1,1
537,50.41,14,5.1,1,1,1
538,74.66,10,29.5,1,4,1
539,47.39,10,13.8,1,2,1
540,70.32,12,19.8,1,3,1
541,100.85,14,19.3,0,1,1
542,72.29,10,18.9,0,3,1
543,45.25,10,33.7,1,1,0
544,77.5,16,31.8,0,2,0
545,91.26,14,4.7,0,3,1
546,60.49,12,24.4,0,3,1
547,91.12,16,11.2,0,4,0
548,58.19,14,8.3,1,3,0
549,55.14,12,24.0,1,3,1
550,72.34,10,23.1,1,2,0
551,70.34,18,15.4,1,2,0
552,91.77,14,13.8,1,1,1
553,57.2,10,12.0,0,3,1
554,65.66,10,30.5,0,1,1
555,85.57,18,26.1,0,2,1
556,44.81,10,15.5,1,2,1
557,77.99,18,9.5,0,3,0
558,89.01,14,15.2,0,4,1
559,90.12,14,24.7,1,2,1
560,68.44,12,31.7,1,3,1
561,121.9,18,22.3,1,1,1
562,89.87,20,16.5,0,2,1
563,94.67,12,13.6,0,4,1
564,127.39,14,11.7,0,3,1
565,82.93,18,13.5,0,2,1
566,70.22,12,26.6,1,1,1
567,75.14,14,12.4,0,2,1
568,56.97,12,16.1,1,2,1
569,77.17,14,39.0,0,1,1
570,44.66,12,8.7,0,4,1
571,141.4,16,7.6,1,3,0
572,94.72,10,17.1,0,2,1
573,73.59,14,31.4,0,1,1
574,98.71,18,17.2,0,4,1
575,62.27,18,20.8,1,4,1
576,65.6,12,15.2,0,1,0
577,55.69,12,12.2,1,4,0
578,73.19,16,38.5,1,1,1
579,62.36,10,12.2,0,3,0
580,65.36,16,13.1,0,3,1
581,54.44,12,11.5,0,3,1
582,62.6,14,10.1,1,3,1
583,92.57,12,16.6,1,4,1
584,72.2,16,20.8,0,2,0
585,95.36,14,27.5,0,2,0
586,83.81,12,17.7,0,3,1
587,106.14,14,8.6,0,2,1
588,100.75,16,18.9,0,4,1
589,112.0,20,6.3,0,4,1
590,37.82,10,14.4,1,2,0
591,63.73,16,22.7,1,4,1
592,81.61,14,26.7,0,4,0
593,61.07,16,11.6,0,3,0
594,63.15,14,24.1,1,2,1
595,62.33,12,28.2,0,3,1
596,89.56,20,10.0,1,3,0
597,65.43,10,26.3,1,4,0
598,71.3,16,35.3,1,2,1
599,71.66,14,24.6,1,3,1
600,102.93,16,32.2,0,2,1
601,77.93,20,25.5,1,1,0
602,39.65,10,17.8,1,4,0
603,57.06,12,22.2,0,2,0
604,64.46,16,13.1,0,2,1
605,76.65,14,9.8,0,3,1
606,64.36,10,20.6,0,2,1
607,52.43,10,22.8,1,2,1
608,73.17,10,27.3,1,1,1
609,71.61,12,37.2,0,2,1
610,92.52,16,12.0,0,2,1
611,65.39,12,21.3,0,1,0
612,63.26,16,22.5,1,2,1
613,59.76,14,10.6,0,1,1
614,83.8,12,20.2,0,4,1
615,72.92,14,8.5,0,4,1
616,76.34,16,8.0,0,2,0
617,72.59,16,11.9,1,4,1
618,110.84,20,21.5,0,2,1
619,46.55,10,18.7,1,3,1
620,64.58,12,6.6,1,4,1
621,72.01,16,42.7,0,2,1
622,63.79,12,32.1,1,3,1
623,87.56,12,17.3,0,1,1
624,43.24,14,24.0,1,1,1
625,75.04,12,17.3,0,1,0
626,55.11,18,6.3,1,3,1
627,70.09,14,25.3,0,3,1
628,73.77,14,9.2,1,2,1
629,66.22,12,25.9,0,4,0
630,76.36,18,16.9,1,1,0
631,107.79,16,20.2,0,4,1
632,52.73,16,11.6,1,3,1
633,74.57,14,15.4,0,1,0
634,84.03,16,27.1,1,3,1
635,67.07,12,3.8,0,3,1
636,77.0,14,36.9,0,3,1
637,80.42,20,16.8,0,4,1
638,65.17,14,15.5,0,4,0
639,59.62,10,29.3,0,2,1
640,81.14,18,11.5,0,1,0
641,76.78,20,23.2,1,2,1
642,74.28,12,19.8,1,3,1
643,81.49,14,8.6,0,4,1
644,60.3,10,33.5,0,3,1
645,100.0,16,27.7,0,4,1
646,68.85,16,24.8,1,4,1
647,110.91,18,18.6,0,3,1
648,51.81,12,19.0,1,1,0
649,67.98,12,9.8,1,3,0
650,51.24,12,28.2,1,3,1
651,60.01,10,48.3,1,4,0
652,71.9,14,8.9,0,3,1
653,83.79,16,37.5,0,4,1
654,79.36,18,11.3,1,1,0
655,82.61,16,15.3,1,4,1
656,38.83,12,28.6,1,2,1
657,67.31,10,22.7,1,4,1
658,88.26,16,18.7,1,4,0
659,82.48,14,22.7,1,3,1
660,61.79,14,30.4,0,1,0
661,106.22,16,14.6,0,1,1
662,53.35,12,11.7,0,4,0
663,73.74,16,2.5,1,3,0
664,90.46,16,17.3,0,2,1
665,71.06,10,21.9,0,3,0
666,65.94,12,31.3,1,2,1
667,76.27,16,30.6,1,2,1
668,70.95,18,37.6,0,1,0
669,64.63,10,34.4,0,1,1
670,60.63,10,20.6,0,1,0
671,93.34,16,10.0,0,3,1
672,74.31,12,9.5,0,2,0
673,77.33,12,24.7,1,2,1
674,92.81,16,17.8,0,1,1
675,94.52,18,21.3,1,1,0
676,78.68,18,19.6,0,4,0
677,82.75,18,11.5,1,3,1
678,62.99,10,5.5,1,2,1
679,62.44,12,12.5,1,2,1
680,106.53,20,15.6,0,1,1
681,53.12,14,18.9,0,1,0
682,87.17,10,22.0,0,3,1
683,74.16,10,28.4,0,2,1
684,85.01,16,33.1,1,3,1
685,83.91,14,13.6,1,3,1
686,57.5,12,11.4,1,1,1
687,79.72,12,10.6,0,4,1
688,84.91,12,21.5,0,4,1
689,78.63,12,13.6,0,3,1
690,51.75,12,13.1,1,4,0
691,82.68,14,20.7,0,2,0
692,99.94,18,31.0,1,1,1
693,57.19,14,19.3,1,1,1
694,65.97,12,35.4,0,2,1
695,92.2,12,22.5,1,3,1
696,84.71,16,22.9,1,4,0
697,75.45,14,18.0,1,4,1
698,73.06,12,21.6,1,4,1
699,44.33,12,43.6,0,2,1
700,105.45,18,4.3,0,1,1
701,61.13,16,35.5,1,1,1
702,62.17,10,18.5,1,1,1
703,62.93,12,8.4,1,2,0
704,131.38,16,28.4,1,4,0
705,87.16,16,24.2,0,3,1
706,79.54,12,34.7,0,4,1
707,105.41,18,18.0,1,1,1
708,96.64,12,21.2,0,2,1
709,102.24,18,15.2,0,2,1
710,73.74,18,17.0,1,3,0
711,60.3,10,28.5,1,1,1
712,73.77,16,20.3,0,1,1
713,71.92,12,24.6,0,2,1
714,69.39,16,7.0,0,2,0
715,73.64,14,9.0,1,4,1
716,53.47,10,15.1,1,2,0
717,113.33,18,22.8,0,3,0
718,48.93,14,21.0,1,2,1
719,73.72,12,41.0,0,3,0
720,80.15,14,23.0,1,3,1
721,86.1,12,6.6,1,4,1
722,63.97,10,15.8,0,2,1
723,48.82,12,18.6,1,1,1
724,41.19,10,9.4,0,3,1
725,62.58,12,20.6,1,4,1
726,65.27,16,44.3,0,4,1
727,75.47,12,22.6,0,2,0
728,58.93,16,7.2,0,1,1
729,80.29,16,6.1,1,1,1
730,67.74,12,31.4,1,2,1
731,72.16,16,6.7,0,2,0
732,73.3,12,27.5,0,4,0
733,68.65,16,12.2,0,3,1
734,66.12,12,32.1,1,3,1
735,64.27,12,34.2,0,1,1
736,52.06,14,29.3,1,2,1
737,76.86,14,30.9,1,2,1
738,124.59,16,15.2,1,1,1
739,63.2,10,30.7,0,3,1
740,64.12,16,17.7,0,3,1
741,86.53,14,25.5,0,3,1
742,56.92,12,52.3,1,1,0
743,77.61,16,33.8,1,3,1
744,76.11,16,11.2,0,3,0
745,71.08,12,6.4,0,1,1
746,76.88,16,22.2,0,1,0
747,53.98,10,24.6,0,1,0
748,76.32,16,6.6,1,4,1
749,65.43,18,17.8,1,3,1
750,80.66,16,12.1,0,1,0
751,59.56,18,12.4,1,4,0
752,68.79,12,18.7,0,2,0
753,71.42,12,13.7,0,1,1
754,109.66,14,19.6,0,3,1
755,63.42,16,18.7,1,3,0
756,78.17,14,13.3,0,1,1
757,80.7,16,38.6,0,1,0
758,50.5,16,26.2,0,2,0
759,83.64,16,23.0,1,3,1
760,53.63,14,34.7,1,2,0
761,57.91,12,11.2,1,3,1
762,55.16,12,25.1,0,1,0
763,54.63,10,17.9,1,2,1
764,75.13,20,21.8,0,3,0
765,44.26,12,14.6,1,4,0
766,64.95,18,17.7,1,1,1
767,70.14,20,9.0,1,1,0
768,91.41,20,11.3,1,1,1
769,69.67,14,7.7,1,2,1
770,92.01,18,24.5,0,3,1
771,58.16,16,15.2,1,2,0
772,95.24,18,14.2,0,3,1
773,62.55,14,19.2,1,3,1
774,68.02,16,9.8,1,4,1
775,60.02,10,13.2,1,2,1
776,69.51,14,30.1,0,2,0
