"model_name","equation","variable","coefficient","std_error","statistic","p_value"
"heckman_2step","model_stat","_n_selected",78,NA,NA,NA
"heckman_2step","model_stat","_n_total",753,NA,NA,NA
"heckman_mle","model_stat","_rho",0.210930072032719,NA,NA,NA
"heckman_mle","model_stat","_sigma",2.678001179641,NA,NA,NA
"heckman_mle","model_stat","_lambda",0.564870981725382,NA,NA,NA
"heckman_mle","model_stat","_log_likelihood",-394.654730329464,NA,NA,NA
"heckman_mle","model_stat","_n_selected",78,NA,NA,NA
"heckman_mle","model_stat","_n_total",753,NA,NA,NA
"ols_working_only","model_stat","_r_squared",0.446985838769631,NA,NA,NA
"ols_working_only","model_stat","_r_squared_adj",0.424566345746778,NA,NA,NA
"tobit_pooled",NA,"(Intercept)",-7.10670275651271,0.71528043801045,-9.93554748439644,2.91569821496211e-23
"tobit_pooled",NA,"income",0.029566511627565,0.00551546272426195,5.36065840813409,8.2919179876973e-08
"tobit_pooled",NA,"age",0.0404185464918722,0.00818144573085898,4.94026946110766,7.80146829693847e-07
"tobit_pooled",NA,"chronic",2.94533390653919,0.0912314946223024,32.2841790407232,1.16645266219973e-228
"tobit_pooled",NA,"insurance",2.24471186456937,0.243643804138047,9.21308823144761,3.16874363705892e-20
"tobit_pooled",NA,"female",0.384386074740023,0.219467273300715,1.7514505418461,0.0798683335078558
"tobit_pooled",NA,"bmi",0.0792368212388043,0.0222706687080457,3.557900406025,0.000373830992251012
"tobit_pooled",NA,"logSigma",1.54019815428761,0.019377005596692,79.485870332336,0
"tobit_re_panel",NA,"(Intercept)",-7.20807951020712,0.781111692428654,-9.22797543561991,2.75795259803621e-20
"tobit_re_panel",NA,"income",0.0290196057350224,0.0051208735802115,5.6669248479717,1.453830683629e-08
"tobit_re_panel",NA,"age",0.0393221393222588,0.00944053847522457,4.16524326715627,3.11020745533749e-05
"tobit_re_panel",NA,"chronic",2.99272474936521,0.0878824382886813,34.0537291368104,3.57436731976176e-254
"tobit_re_panel",NA,"insurance",2.27109589398602,0.229661465336928,9.88888532368364,4.65178498904335e-23
"tobit_re_panel",NA,"female",0.369647992001736,0.28345867170359,1.30406309244359,0.192212071456947
"tobit_re_panel",NA,"bmi",0.0833031244887296,0.0221238863453937,3.76530249650617,0.000166347569659794
"tobit_re_panel",NA,"logSigmaMu",0.823261805758564,0.0654447259420006,12.5794981017747,2.73763630975617e-36
"tobit_re_panel",NA,"logSigmaNu",1.40380465067957,0.0209535415280616,66.9960564327301,0
"tobit_pooled",NA,"_sigma",4.66551467113416,NA,NA,NA
"tobit_pooled",NA,"_log_likelihood",-4736.74515003801,NA,NA,NA
"tobit_pooled",NA,"_n_censored",543,NA,NA,NA
"tobit_pooled",NA,"_n_uncensored",1457,NA,NA,NA
"tobit_re_panel",NA,"_sigma_e",4.07065797366571,NA,NA,NA
"tobit_re_panel",NA,"_sigma_u",2.27791785847207,NA,NA,NA
"tobit_re_panel",NA,"_rho_icc",0.238470065629749,NA,NA,NA
"tobit_re_panel",NA,"_log_likelihood",-4678.92877542899,NA,NA,NA
"tobit_re_panel",NA,"_n_censored",543,NA,NA,NA
"tobit_re_panel",NA,"_n_uncensored",1457,NA,NA,NA
"tobit_re_panel",NA,"_n_individuals",500,NA,NA,NA
