patents,log_rnd,log_sales,log_capital,industry,year
2.0,2.809638195553574,3.3939351534460123,2.367827845435688,1,1976
4.0,1.757215496609026,3.089411812549703,2.6174014074457506,3,1977
3.0,0.9903804663547717,1.4949744687927728,0.9556571209789295,2,1977
2.0,2.416430509112003,3.1689000939984004,2.55925775220555,5,1975
1.0,2.9354609390180153,5.11739205392497,3.6637359501147095,2,1977
43.0,5.121515896295859,7.069108387281702,6.313722714828265,1,1978
2.0,3.156329425767463,4.296589309125068,4.008768668110507,3,1979
13.0,4.179287413227669,4.928035685207221,4.137336324124464,5,1976
3.0,2.4008452817530177,2.418580862832192,2.027130623957494,5,1979
0.0,1.5780674802995704,2.8063197263332533,2.453244781203616,1,1979
4.0,1.8418598853211539,4.552067391444855,3.779486983477222,2,1979
3.0,2.129728722557096,3.8471708582889197,3.337845181957574,1,1976
26.0,5.5541636789221975,6.774377535897453,6.1908047615439115,2,1979
4.0,2.014335984930737,3.74687608968089,3.2426805231213023,3,1977
4.0,4.006187044483614,4.725707867986392,4.124732930004762,2,1975
5.0,1.9164873862955685,3.267825704946751,2.640335935715906,1,1976
4.0,4.117887615449093,5.6676263519569625,5.748716431768587,3,1978
7.0,3.461941159327036,4.918890833416512,4.218919032833652,1,1975
1.0,2.8120345228102916,4.707437583655332,4.502043409604422,2,1977
3.0,2.9510849686374794,4.623407581755505,4.556097322423328,1,1978
2.0,2.2142547654847315,4.04841777453873,3.5659411476963343,1,1975
5.0,3.5352866417784967,4.691100500663117,4.165906199668781,3,1977
2.0,2.454019823591064,4.402927527796338,4.1109793771680225,5,1976
3.0,1.5292730834793022,3.843741557291298,3.094431999990906,4,1977
1.0,1.466474910816457,2.4814001509907504,2.3840527009020223,1,1976
1.0,3.2071055012665433,4.263257673409264,3.8853407980410313,1,1979
10.0,4.894909507692522,7.062801675852638,6.738263916332539,2,1975
5.0,3.1919899362881257,4.596317942940596,4.110294124042397,4,1979
9.0,2.857634008668141,5.05954470470142,4.475885419307248,4,1978
7.0,3.3429913675230516,4.62172351157696,4.424091396464023,5,1979
13.0,4.567202090048189,6.794724878183545,6.077440074946677,2,1979
5.0,3.2632590016366274,4.829001910039354,4.310101199538944,1,1975
5.0,2.5068873229995154,4.136001734660863,4.203585610654436,1,1979
16.0,4.327546452071866,6.609905462906818,6.697482895025927,1,1977
5.0,3.514507726153936,4.8336224874318505,4.337318275310644,1,1979
11.0,4.842907190395191,5.872346142432711,5.438636337768617,5,1979
5.0,3.219881324666287,4.49559922065211,4.0266252547245,2,1977
2.0,1.5306371619353998,3.256804137256969,2.7651988742160345,5,1976
1.0,1.3582089609052022,2.075329424814945,1.5076614729618907,3,1975
27.0,4.9811135186775,6.79984897000306,6.01555408704857,3,1975
11.0,5.068398864939956,6.299013206131084,6.132344676406351,3,1976
4.0,2.784576944060879,4.858483274427661,4.710074752297899,5,1979
5.0,2.5401752146368146,2.8430450621865786,2.671042219552793,1,1977
18.0,4.753733150690643,5.860450263138558,5.273775262987947,1,1977
2.0,1.6715451815478144,2.3283111059307635,1.45482689233683,3,1976
1.0,1.9263275772530084,3.013212844071032,2.642614675542885,2,1977
6.0,3.7719921536268535,5.395825104181325,5.646335057429222,3,1978
3.0,2.5264738525684924,3.936860539843615,3.9480583986267277,4,1979
4.0,2.9938537599359143,4.367164975461907,4.11707599230071,3,1978
3.0,2.803868521770585,4.224276086080555,3.8915947523291194,2,1978
5.0,3.40508945855872,5.006783578868692,4.62930016704511,2,1979
23.0,4.68897823357646,5.684710212604906,5.173135875710631,4,1977
4.0,3.1087018882820945,4.96212670873162,4.555650607978354,2,1979
8.0,3.7727265519322293,5.6040595371249715,4.78925765396195,3,1976
1.0,0.539793478762773,2.2323124475908234,1.935117639295234,3,1975
2.0,2.9415379176838585,4.71980463905949,4.478500026902153,4,1977
0.0,1.9881236756485547,3.6363326760528842,2.9926700144967455,4,1975
2.0,1.5374243274916464,4.05496097885718,4.015653599835016,3,1975
8.0,1.9462171596854991,3.402670074159244,2.7857625625632436,2,1979
1.0,2.5990518711590256,3.9455102619917373,3.414744306873857,2,1978
10.0,4.099083050827216,5.2223192606485265,4.766552007623977,3,1976
1.0,1.4083287387125232,2.3921974034236047,1.415714571278826,2,1979
1.0,3.036757791113301,3.9145218973127633,3.6011841309011787,4,1975
1.0,2.418996679999706,3.474598023384247,2.3565085722270234,2,1976
2.0,2.6067922867656472,4.071452095939612,3.6390815307080415,4,1978
13.0,4.203309390365525,5.870456954614382,5.753561888105451,4,1976
12.0,3.6457385244047114,5.171309553680793,4.650333679382345,5,1978
6.0,4.604877728931292,5.722110090216436,5.544983650312067,1,1979
2.0,2.8145931849001196,4.764685466910102,4.4902122212541515,4,1975
3.0,2.1648688659951563,4.03457520214563,3.415465212140983,1,1975
2.0,2.7313694197434004,4.151545266032392,3.4848706394373545,2,1979
2.0,3.290996149525466,4.46453807719311,4.1511883872693875,1,1977
9.0,3.2118880301444532,4.986101990559353,4.189880447045433,1,1977
3.0,1.6987343133199602,3.2927211070630125,2.4454687796566725,1,1977
4.0,3.108587737953449,3.884524108245925,2.9536335812769376,1,1977
3.0,3.273873996166686,4.739883868174484,4.0810598460367675,5,1978
58.0,6.020968845040704,7.651986751077894,6.7429581374521845,1,1977
20.0,5.252213533538004,6.302366140294128,6.366605668686345,2,1975
2.0,1.976107979329416,3.5710296757481377,3.1664016403366766,4,1978
0.0,2.6551399661409887,3.427728723512094,3.187830300409122,5,1978
1.0,1.2438695977955962,3.4119626478016816,2.8761948894634637,5,1975
3.0,2.291151583243816,4.415126575773532,4.086561341532553,1,1976
8.0,3.3787260043084086,4.752467337156926,4.302314689741846,5,1978
6.0,4.447024345065881,6.128751513985417,5.064099049924202,4,1978
0.0,2.1250993947076697,2.4201384118077325,1.971054350733846,1,1975
3.0,2.215024271918644,3.1368504417859775,2.5127127466289134,3,1975
1.0,0.42325316431361415,1.7763637042375493,1.3460445032148198,5,1977
3.0,2.8048008953461108,3.768734384632681,3.246020398245631,2,1977
0.0,1.7251027057685244,3.582300947083854,3.0804959429530325,1,1979
2.0,2.3646726871607116,4.863320952534709,4.228823732742761,5,1977
0.0,1.9477670661988942,2.8594597064842433,2.00986744582009,5,1979
3.0,2.8868849348969317,3.9681532328543354,2.9739350335733366,5,1976
0.0,0.8907259303720427,2.508450114527008,1.915564089954258,5,1977
0.0,1.2395457055308114,3.5451037797806215,2.868239713969941,5,1975
42.0,5.555096534433957,6.4439093781640056,6.289168730919676,3,1977
0.0,1.455092902471163,3.079610963624634,2.60597398634932,1,1975
3.0,1.6838573058544324,4.094506731260987,3.3124198917959102,4,1977
8.0,5.204296233985577,5.878416659895944,5.118626068370798,2,1976
68.0,6.486080603088489,7.345545999665573,6.782063079827058,3,1975
0.0,1.59412004540959,2.882316742179171,2.116398554308785,4,1975
4.0,2.5581012518543633,3.7978070454266577,3.150577032728512,5,1977
4.0,3.4098666611286115,5.316167305005434,4.4560754275276375,2,1979
9.0,5.074437173286711,6.69526703319713,6.108459286109996,2,1975
0.0,1.815771505886115,2.428290476065051,2.0349999707363615,4,1977
6.0,2.7056665848694683,4.463371786319874,3.862619409239967,1,1976
7.0,3.932805091274093,5.144035647596268,5.5232139603521,3,1979
11.0,3.5217192893599423,5.658942897830562,5.044077176915047,4,1977
0.0,2.548612714523881,3.734818946305421,4.329342793869856,3,1979
4.0,2.8394124425807505,4.021104801029633,4.038143823251258,2,1976
0.0,1.350125029956022,3.1206908353582876,2.4851602550759924,5,1975
5.0,2.7141915072304017,4.59565474839887,3.952395947218831,2,1977
2.0,2.680335011989254,4.404384693957356,4.253113327999335,4,1978
4.0,3.278603867551507,3.9358052088591027,3.6494358214227844,3,1979
3.0,2.3336073374171806,4.102624557381306,3.191462260797066,1,1979
7.0,3.5658462270541667,4.5486922012169675,4.193901240688771,3,1979
3.0,4.215258981383794,5.832897037177926,4.66002094345703,1,1978
7.0,3.186515193202159,3.974647975502629,3.475223931455533,5,1976
5.0,3.422107690079044,5.145268763850575,4.522857910786195,4,1977
4.0,3.063786417093441,4.1604869649397545,3.175424645390172,2,1975
2.0,3.000101271709697,3.858783946579436,3.3194758117214103,3,1977
3.0,2.1341303597485832,3.991040427989783,3.7917436221970235,4,1976
4.0,3.3797931140079696,5.000615374846345,4.533533610354632,2,1975
5.0,2.8832560819038124,4.076267681207364,3.586950902064391,2,1976
28.0,5.511801970716714,7.737391395227246,7.6468138908877155,3,1977
14.0,4.888025882970291,6.16769967218542,5.744449293587667,2,1976
3.0,3.4630158630678007,4.979069700053268,4.701727328252499,4,1979
3.0,2.084331348366279,3.7187880722055793,2.941480745049349,1,1977
0.0,1.6651062336198985,2.8552732665555918,2.344889704300015,5,1979
12.0,4.4293715437066385,6.164939690406603,5.749778415150875,2,1978
7.0,3.3152990701765663,4.548572896594204,4.0804274757809775,3,1975
7.0,3.576172084069933,4.870352922961828,4.303416317439979,1,1976
2.0,0.9064968156309687,3.0878181355326393,2.402773875625705,2,1978
10.0,4.1129261778698165,5.0926331516136,4.892546820214415,4,1977
6.0,3.5453044058572356,3.8389142403924907,3.6513905301788725,2,1976
6.0,1.6674831787026265,3.9729516762085737,3.1415479115878147,1,1977
3.0,2.4341702310600613,5.208834207363562,4.832535269024982,3,1979
7.0,3.3164606452278234,4.613826012503157,4.53887864028222,1,1976
3.0,3.0629601580274923,3.5945411377173997,2.9613973249024683,2,1975
4.0,2.649394577035734,3.9941525889377623,3.3551416471279563,3,1976
3.0,2.875814078320847,4.232702603400512,4.191917180577525,3,1979
2.0,2.6976271461517376,4.102665225640609,3.5338207110015274,4,1978
3.0,3.1830750145229625,4.126380993562038,3.405706065833526,4,1979
9.0,4.765790367591788,6.5555709388300265,5.943255003318147,5,1979
1.0,-0.0799901291175571,1.682263558525486,0.9926691133970673,1,1975
3.0,2.715779682588379,3.468576872678726,3.3898576021059506,2,1976
6.0,3.2118149056469365,5.061413271494381,4.462101224995522,1,1975
3.0,3.3551927876245196,5.881535278597465,5.472321206438599,1,1975
2.0,2.553702502414452,4.139682668632982,3.784519716250376,2,1979
1.0,0.8919338610257008,2.223271279991448,1.46210459716553,3,1979
6.0,3.3935945804569316,4.822592973253171,3.878810620050902,5,1975
13.0,5.072820256997022,6.880448640481303,5.842137624101195,4,1978
2.0,1.159366314100635,1.7940305113470258,0.8995881498952543,4,1977
6.0,4.036593616437826,5.618788967926477,5.1517092224155325,4,1975
3.0,2.6057697322525275,3.9105377575211224,3.3047217086132195,1,1979
2.0,2.926410785005383,5.350323291483406,4.620276429948133,5,1979
2.0,1.7365217871552612,3.1494354202527823,2.6130820354629436,5,1977
2.0,2.598652593172948,4.9325963987327075,4.393367142359244,1,1978
14.0,4.56005351363875,5.508183164747747,4.761057225184892,3,1976
3.0,3.6991862903852484,5.492815873786645,5.010600667594424,5,1978
18.0,5.078773926491933,6.738474058387547,6.457260139299645,3,1977
16.0,4.4128942667732325,5.478370642840842,5.102712562591599,5,1979
1.0,3.5269040147154915,5.115602072033962,4.425428958713839,5,1975
10.0,5.09272143140135,7.198980849817151,6.698082862457164,3,1975
6.0,3.5267917904859587,4.864895938342658,4.262832945282157,1,1979
5.0,3.9935858121564705,4.647604487571589,3.9465807149109318,2,1976
1.0,2.64411485575835,4.135333442519627,3.7477858813889102,2,1976
7.0,3.0798549790310457,4.1286434316347895,3.401768982545848,3,1978
0.0,2.163091412039668,3.4919209427077265,2.878268161670208,3,1975
19.0,4.187500721513824,5.646706836671264,5.517150762744707,3,1977
2.0,1.5860356522621613,2.233209544254403,1.3005181068985296,1,1976
6.0,3.9388204109011937,4.630991241240855,4.28121466436793,2,1975
2.0,2.7712187309938088,4.512252148756572,4.508780751712127,4,1979
6.0,4.405496512160783,5.644137164075943,5.457650276951833,1,1975
11.0,3.901042786477512,4.118670615567228,3.924984163770725,2,1975
5.0,5.184775389176162,7.077197407480229,6.561545411882969,5,1978
9.0,3.8769296293663738,5.513114507003493,5.095269658667364,1,1979
4.0,1.1135516932161114,2.2566142811978693,1.8576638714900473,3,1975
5.0,2.919656192522159,3.761241086993038,3.0753304973482942,2,1978
0.0,1.5935913688862209,3.51149531704339,2.9095327086855787,1,1977
1.0,2.3780641891604706,4.052739500440685,3.4579251392473993,3,1979
26.0,4.813474119932065,7.504775261274102,6.881826724075495,3,1975
4.0,3.7650405730772354,5.475134872439704,4.790294472039033,1,1979
0.0,2.1612834857055043,3.8551350563365117,3.9875210588697447,1,1978
1.0,1.7835391602715214,3.200075195217239,2.809406670896577,1,1979
8.0,3.039338511451513,4.9477264450519085,5.101789464398751,4,1976
1.0,1.5401278207426468,3.3526704213667236,2.841852443327385,5,1979
0.0,2.194631667124103,4.3204941714067004,3.821884063074004,1,1978
4.0,3.3744113658614925,4.61374990654285,3.800090224105946,2,1975
9.0,4.386374443328036,5.668670706856054,4.812380389039718,2,1979
4.0,3.7305137666693278,4.990962181213337,4.430129666737627,2,1978
0.0,0.25045258968228,2.1458534502717743,1.7959617734908444,2,1976
11.0,3.365240074836312,5.614427294984678,4.968878961220956,1,1977
2.0,3.0864402878790935,4.357020041304443,4.015395332501737,3,1976
4.0,3.4966683424472316,4.784281478550686,4.284699273983691,2,1977
29.0,4.939451617981449,6.596490229916348,5.800649334828118,2,1979
0.0,0.5241140678343088,1.9012333178278582,1.5685647216246852,2,1979
