firm,year,ik,q,cashflow,sales,debt
7,2014,1.0,1.2998,0.1234,8.484,0.429
7,2015,1.0,0.9971,0.1166,8.5484,0.3943
7,2016,0.964985,0.6893,0.1166,8.6098,0.4182
7,2017,1.0,1.0423,0.0926,8.5669,0.4063
7,2018,0.991148,1.1892,0.1035,8.4655,0.3877
7,2019,0.995441,1.3822,0.1195,8.3197,0.4063
8,2010,0.861595,2.3187,0.1291,3.7531,0.3056
8,2011,1.0,2.4612,0.0926,3.5844,0.2973
8,2012,0.913283,2.0245,0.0882,3.5588,0.2729
8,2013,0.80236,1.5822,0.0927,3.6816,0.2997
8,2014,0.79573,1.8007,0.0865,3.7391,0.2845
8,2015,0.767695,1.7769,0.0988,3.8054,0.2879
8,2016,0.648838,1.0704,0.0788,3.596,0.3142
8,2017,0.698688,1.4091,0.1176,3.5857,0.3094
8,2018,0.737765,1.7327,0.1173,3.6669,0.3143
8,2019,0.759875,1.8203,0.0736,3.6721,0.2948
9,2010,0.989139,2.1455,0.1679,6.0902,0.3551
9,2011,1.0,2.0335,0.1556,6.0672,0.3667
9,2012,1.0,2.1465,0.1034,6.1552,0.3644
9,2013,0.941295,1.4596,0.1109,6.0806,0.3666
9,2014,0.878373,1.4181,0.1044,5.9899,0.3772
9,2015,0.812521,1.2803,0.0866,6.0566,0.3557
9,2016,0.884442,1.5797,0.0875,6.1115,0.2936
9,2017,0.945287,1.5367,0.0745,6.0442,0.3136
9,2018,0.946123,1.6918,0.0916,6.195,0.3136
9,2019,0.937858,1.6882,0.1006,6.148,0.2743
10,2010,0.706842,1.8678,0.1243,4.033,0.3454
10,2011,0.724884,1.8545,0.1052,4.0577,0.3249
10,2012,0.808708,2.0251,0.1295,4.0062,0.2852
10,2013,0.627805,1.3661,0.1168,4.0861,0.2806
10,2014,0.679309,1.6683,0.0777,4.1818,0.2796
10,2015,0.753498,1.8017,0.0879,4.1504,0.279
10,2016,0.689366,1.9377,0.0864,3.9539,0.299
10,2017,0.716433,1.765,0.0884,3.8631,0.2813
10,2018,0.770996,2.1102,0.1055,3.9314,0.322
10,2019,0.731979,1.8839,0.0888,3.8597,0.3092
11,2010,1.0,1.5733,0.1475,8.6132,0.3846
11,2011,1.0,1.8449,0.1534,8.6459,0.4049
11,2012,1.0,1.9531,0.1412,8.6992,0.4015
11,2013,1.0,2.0689,0.1576,8.7458,0.43
11,2014,1.0,2.0476,0.1339,8.7862,0.4107
11,2015,1.0,1.8912,0.1676,8.7558,0.4045
11,2016,1.0,1.5591,0.1702,8.7344,0.3544
11,2017,1.0,1.4624,0.153,8.6629,0.2769
11,2018,1.0,1.3052,0.1673,8.7056,0.2663
11,2019,1.0,1.4549,0.175,8.6206,0.2872
12,2010,1.0,1.2315,0.1671,8.6136,0.3625
12,2011,1.0,0.9823,0.1648,8.486,0.3925
12,2012,0.968512,1.0428,0.1261,8.4741,0.4303
12,2013,0.930956,0.9041,0.1286,8.5876,0.4568
12,2014,0.976593,0.8762,0.1161,8.5681,0.4864
12,2015,1.0,0.7871,0.1343,8.489,0.5069
12,2016,1.0,0.6822,0.1272,8.4848,0.4658
12,2017,1.0,1.008,0.1232,8.4068,0.4179
12,2018,1.0,1.2202,0.1358,8.4778,0.3497
12,2019,1.0,1.2673,0.1223,8.4899,0.361
13,2010,0.740065,0.851,0.029,6.2215,0.3997
13,2011,0.783297,1.2141,0.0651,6.2314,0.3896
13,2012,0.765273,1.39,0.1143,6.1637,0.4091
13,2013,0.830402,1.6649,0.1151,6.2909,0.3471
13,2014,0.827987,1.4326,0.1047,6.2357,0.3698
13,2015,0.773337,0.9638,0.0812,6.1864,0.3793
13,2016,0.659094,0.7379,0.1027,6.0897,0.3484
13,2017,0.655607,0.9847,0.0761,6.0696,0.3686
13,2018,0.692775,0.8348,0.0714,6.1226,0.3859
13,2019,0.846987,1.2904,0.0733,5.967,0.3826
14,2010,1.0,2.0725,0.1063,8.3146,0.3672
14,2011,1.0,2.0449,0.0799,8.4346,0.3517
14,2012,1.0,2.0756,0.1055,8.3019,0.3736
14,2013,1.0,1.7592,0.0901,8.2629,0.4285
14,2014,1.0,1.8053,0.0727,8.2897,0.4211
14,2015,1.0,1.7804,0.1076,8.3096,0.403
14,2016,1.0,1.8431,0.1302,8.3003,0.4124
14,2017,1.0,2.0341,0.118,8.2763,0.3567
14,2018,1.0,1.8492,0.111,8.2622,0.3386
14,2019,1.0,1.5834,0.1103,8.3624,0.3518
15,2010,0.896574,1.5077,0.0521,6.2199,0.3965
15,2011,1.0,1.9518,0.0351,6.2038,0.3587
15,2012,1.0,2.0539,0.0662,6.116,0.3795
15,2013,1.0,1.6127,0.0903,6.2639,0.3651
15,2014,0.992407,2.0276,0.0889,6.3767,0.3388
15,2015,1.0,2.239,0.0693,6.2891,0.2784
15,2016,0.906188,1.6625,0.0475,6.2376,0.2928
15,2017,0.863553,1.5639,0.0464,6.325,0.3265
15,2018,0.971794,1.9189,0.0632,6.2169,0.3493
15,2019,1.0,1.7993,0.1002,6.2897,0.3722
16,2010,0.922714,1.0814,0.1316,8.7343,0.4344
16,2011,0.897057,0.8991,0.1155,8.8489,0.4246
16,2012,0.914783,1.1797,0.0973,8.6838,0.4302
16,2013,0.92694,0.9161,0.1142,8.8082,0.4144
16,2014,0.908331,1.0167,0.0966,8.8284,0.3819
16,2015,0.906108,1.0029,0.1219,8.6538,0.3061
16,2016,0.976673,1.1992,0.1448,8.5867,0.3493
16,2017,1.0,1.4183,0.1688,8.6695,0.3663
16,2018,1.0,1.3447,0.1796,8.5165,0.3881
16,2019,1.0,1.216,0.1561,8.4541,0.3879
17,2010,0.80516,1.3526,0.0699,6.0137,0.3102
17,2011,0.877597,1.4783,0.0776,5.9712,0.2585
17,2012,0.855724,1.5269,0.0972,5.9922,0.2648
17,2013,0.794387,1.3322,0.0866,6.0514,0.3348
17,2014,0.80006,1.5683,0.0859,5.9962,0.4029
17,2015,0.841284,1.4884,0.1148,5.9959,0.3516
17,2016,0.894466,1.7366,0.1159,6.0072,0.3323
17,2017,0.904579,1.7947,0.1281,5.9663,0.2936
17,2018,0.873581,1.8661,0.0817,5.9817,0.292
17,2019,0.933013,1.8598,0.0643,6.1427,0.3326
18,2010,0.798438,1.9819,0.0579,4.2504,0.3172
18,2011,0.777081,2.0383,0.1144,4.167,0.2936
18,2012,0.745198,2.0124,0.0947,4.1224,0.3268
18,2013,0.74155,2.2427,0.1036,4.1721,0.3268
18,2014,0.772294,2.2334,0.1032,4.0737,0.295
18,2015,0.806358,2.3698,0.1318,4.2594,0.3455
18,2016,0.900816,2.421,0.1093,4.1984,0.2611
18,2017,0.789117,2.2445,0.0882,4.1613,0.2385
18,2018,0.78824,2.0924,0.0739,4.2468,0.2746
18,2019,0.843127,2.0132,0.0835,4.2629,0.2457
19,2010,0.809065,1.8499,0.0934,3.9416,0.2701
19,2011,0.740572,1.7635,0.094,3.8757,0.3084
19,2012,0.722605,1.6873,0.09,3.7311,0.3679
19,2013,0.707437,1.3814,0.0804,3.743,0.3591
19,2014,0.664839,1.4282,0.09,3.7767,0.3037
19,2015,0.653187,1.4847,0.0559,3.6869,0.2944
19,2016,0.694161,1.6377,0.0415,3.7548,0.309
19,2017,0.734799,1.9277,0.0197,3.6791,0.3579
19,2018,0.805129,2.1984,0.0504,3.5565,0.3561
19,2019,0.898578,2.618,0.0507,3.6441,0.3871
20,2010,0.750589,1.282,0.085,3.8714,0.1718
20,2011,0.70591,1.2485,0.0795,3.8595,0.1784
20,2012,0.715969,1.2198,0.1201,3.9281,0.2037
20,2013,0.784458,1.7529,0.1274,3.9309,0.1852
20,2014,0.831859,1.9234,0.1288,3.9547,0.2051
20,2015,0.870125,1.7368,0.1356,3.8691,0.2257
20,2016,0.848184,1.5725,0.1215,3.7631,0.2673
20,2017,0.807878,1.386,0.1016,3.6335,0.2975
20,2018,0.787315,1.5083,0.1068,3.7285,0.2889
20,2019,0.756644,1.5711,0.1052,3.7769,0.3015
21,2010,0.949607,1.4472,0.079,5.9858,0.2655
21,2011,0.89505,1.0927,0.0836,6.0984,0.2778
21,2012,0.955434,1.379,0.047,6.0407,0.2696
21,2013,0.913053,1.3205,0.0743,6.0842,0.3215
21,2014,0.878772,1.3167,0.0772,6.0938,0.3089
21,2015,0.961912,1.5063,0.0627,6.0417,0.3135
21,2016,0.929936,1.4772,0.0661,6.1207,0.3401
21,2017,0.935516,1.4728,0.0932,5.9821,0.3358
21,2018,1.0,1.8363,0.0914,5.8143,0.3604
21,2019,1.0,1.8326,0.1219,5.766,0.406
22,2010,0.776231,1.2073,0.1279,5.8233,0.4089
22,2011,0.829574,1.3304,0.1448,5.7725,0.4248
22,2012,0.783379,1.3806,0.1221,5.8835,0.4288
22,2013,0.722701,0.9674,0.1438,5.7766,0.414
22,2014,0.785459,1.2216,0.115,5.7681,0.3848
22,2015,0.736402,1.0355,0.1336,5.6745,0.3669
22,2016,0.78771,1.2013,0.0995,5.7542,0.3077
22,2017,0.815341,1.2642,0.1183,5.8558,0.2386
22,2018,0.8188,1.1162,0.0857,5.9092,0.2436
22,2019,0.808863,1.0872,0.0838,5.972,0.2392
23,2010,0.958013,1.9103,0.1254,6.0655,0.338
23,2011,0.919736,1.5993,0.0942,6.0912,0.3561
23,2012,0.924213,1.8686,0.0901,6.0858,0.3512
23,2013,0.914638,2.0464,0.0931,6.1338,0.42
23,2014,0.944517,1.8147,0.1144,6.1153,0.3657
23,2015,0.933708,1.5871,0.118,6.1817,0.3783
23,2016,0.931048,1.5657,0.1158,6.2012,0.4248
23,2017,0.933171,1.6071,0.091,6.0723,0.4071
23,2018,0.894606,1.5014,0.0787,6.04,0.3554
23,2019,0.880687,1.7,0.0959,6.1542,0.3474
24,2010,0.674621,1.8635,0.094,3.9574,0.2566
24,2011,0.698273,2.0317,0.1089,3.9502,0.261
24,2012,0.754404,2.2873,0.1021,3.7992,0.2181
24,2013,0.740355,1.8998,0.1084,3.8289,0.2596
24,2014,0.77362,2.3456,0.0767,3.8056,0.268
24,2015,0.838373,2.3306,0.0475,3.8969,0.272
24,2016,0.836375,2.0329,0.0553,4.0836,0.3043
24,2017,0.770656,2.2623,0.0801,3.8865,0.3019
24,2018,0.808512,2.325,0.1081,3.9775,0.3291
24,2019,0.839664,2.1069,0.1086,3.938,0.3272
25,2010,0.871318,1.7348,0.077,6.0472,0.2859
25,2011,0.92658,1.4006,0.0948,5.9201,0.295
25,2012,0.892388,1.4147,0.1099,5.9608,0.3173
25,2013,0.850353,1.5396,0.089,5.9498,0.3082
25,2014,0.853853,1.7909,0.0818,5.9072,0.3153
25,2015,0.946403,1.7393,0.0964,5.843,0.2645
25,2016,0.96306,1.7142,0.1069,5.9279,0.3073
25,2017,0.90987,1.4802,0.1024,6.0165,0.3114
25,2018,0.888911,1.8448,0.1137,6.1026,0.2981
25,2019,0.898374,1.5689,0.0946,6.1138,0.2231
26,2010,0.719774,1.2892,0.0833,4.1031,0.2616
26,2011,0.732928,1.6964,0.1124,4.1378,0.2625
26,2012,0.796161,1.63,0.1188,4.1254,0.2552
26,2013,0.762392,1.8285,0.1365,4.1067,0.2842
26,2014,0.766329,1.632,0.1486,4.0369,0.3029
26,2015,0.689632,1.8226,0.1348,4.0618,0.3459
26,2016,0.79078,1.7878,0.1485,4.0017,0.3167
26,2017,0.763556,1.7066,0.1171,4.0092,0.2571
26,2018,0.783262,1.8088,0.1335,4.0045,0.297
26,2019,0.743619,1.6318,0.1111,3.9232,0.2979
27,2010,0.834907,2.4585,0.0709,3.7483,0.2465
27,2011,0.90634,2.3262,0.0805,3.7901,0.2709
27,2012,0.857431,1.8047,0.0528,3.7743,0.2865
27,2013,0.86577,1.8425,0.0509,3.8822,0.2832
27,2014,0.78379,1.8246,0.0471,3.8284,0.3219
27,2015,0.892475,2.1974,0.0546,3.9399,0.3069
27,2016,0.881855,2.1388,0.053,3.8754,0.2888
27,2017,0.799187,1.8895,0.0505,3.8811,0.2722
27,2018,0.805338,1.6717,0.0606,3.8222,0.3103
27,2019,0.773771,1.4761,0.0273,3.7446,0.3118
28,2010,0.908407,1.6299,0.1286,5.9151,0.3441
28,2011,0.862279,1.5484,0.1375,5.8942,0.2772
28,2012,0.823339,1.7527,0.1052,5.9035,0.2784
28,2013,0.90542,1.7301,0.0926,5.9999,0.2974
28,2014,0.875586,1.7996,0.0832,5.8611,0.2813
28,2015,0.872855,1.4585,0.1195,5.8298,0.2452
28,2016,0.894799,1.553,0.1339,5.9077,0.263
28,2017,0.821116,1.7858,0.1223,5.9589,0.2776
28,2018,0.863935,1.9348,0.1353,5.9071,0.2725
28,2019,0.836618,1.5136,0.1338,5.9617,0.3505
29,2010,0.810644,1.0817,0.0504,5.7745,0.4134
29,2011,0.791357,1.209,0.1053,5.8531,0.4818
29,2012,0.791263,1.2758,0.1001,5.9374,0.4473
29,2013,0.794357,1.2901,0.1211,5.9458,0.4855
29,2014,0.834051,1.0543,0.0564,5.8426,0.4781
29,2015,0.805595,1.5052,0.066,5.8515,0.4671
29,2016,0.852791,1.6724,0.1059,5.7204,0.4454
29,2017,0.91272,1.6772,0.1178,5.7277,0.4775
29,2018,0.856196,1.5821,0.0771,5.9178,0.4371
29,2019,0.831457,1.5354,0.0569,5.8477,0.4505
30,2010,0.837876,2.2073,0.0579,3.9065,0.2844
30,2011,0.943493,2.5724,0.0866,3.9808,0.2979
30,2012,0.930284,2.3274,0.102,4.0499,0.2507
30,2013,0.922741,2.1453,0.1138,3.9085,0.2219
30,2014,0.882719,1.995,0.0723,3.9843,0.2247
30,2015,0.841315,1.7558,0.0676,4.1215,0.2277
30,2016,0.796411,1.5097,0.0771,4.1041,0.2383
30,2017,0.849473,1.9905,0.0734,4.1853,0.2362
30,2018,0.881917,1.8363,0.0819,4.0521,0.2838
30,2019,0.867257,2.0439,0.0818,4.0188,0.2766
31,2010,0.76474,1.492,0.0747,3.8988,0.255
31,2011,0.680976,1.5674,0.0792,3.8734,0.2543
31,2012,0.663391,1.6117,0.0809,3.819,0.3009
31,2013,0.658491,1.7039,0.0738,3.8686,0.2436
31,2014,0.665975,1.6727,0.0754,3.8156,0.2579
31,2015,0.715018,1.7908,0.1115,3.8656,0.2829
31,2016,0.769286,1.9221,0.0932,3.9479,0.256
31,2017,0.899672,2.228,0.0777,3.924,0.285
31,2018,1.0,2.5198,0.1012,3.8256,0.2822
31,2019,0.845823,2.0023,0.1214,3.8666,0.2684
32,2010,1.0,1.5064,0.1403,8.4836,0.4055
32,2011,1.0,1.4067,0.1186,8.4469,0.3869
32,2012,1.0,1.537,0.0765,8.4055,0.3655
32,2013,1.0,1.6392,0.0984,8.4637,0.387
32,2014,1.0,1.5364,0.1173,8.6477,0.4033
32,2015,1.0,0.9351,0.0661,8.6568,0.4531
32,2016,1.0,1.0673,0.0779,8.7535,0.4382
32,2017,1.0,1.0244,0.0526,8.6637,0.4155
32,2018,1.0,0.9835,0.0717,8.8079,0.3993
32,2019,1.0,1.119,0.0718,8.6325,0.3949
33,2010,1.0,1.5404,0.1478,8.1314,0.3111
33,2011,1.0,1.5352,0.1089,8.1591,0.3043
33,2012,1.0,1.5032,0.085,8.2967,0.3299
33,2013,1.0,1.2978,0.0643,8.463,0.3606
33,2014,1.0,1.4334,0.0311,8.4823,0.3231
33,2015,1.0,1.3855,0.0481,8.6147,0.3305
33,2016,1.0,1.2264,0.0847,8.5164,0.3469
33,2017,0.954736,0.9965,0.0866,8.4679,0.3596
33,2018,0.999786,1.143,0.1019,8.4799,0.401
33,2019,1.0,0.9077,0.0855,8.4873,0.3692
34,2010,0.896812,1.7067,0.1696,5.9833,0.2763
34,2011,0.970091,1.7028,0.1427,6.1176,0.2897
34,2012,0.890892,1.5542,0.1086,5.9905,0.2691
34,2013,0.956952,1.4644,0.1048,5.826,0.2467
34,2014,0.87234,1.6546,0.1074,5.9654,0.2495
34,2015,0.934326,1.7639,0.0939,5.9168,0.2956
34,2016,0.964278,1.7111,0.1167,5.9875,0.2697
34,2017,0.93866,1.4552,0.1138,5.9108,0.2657
34,2018,0.867859,1.4365,0.0903,5.9004,0.2171
34,2019,0.837056,1.4058,0.0871,5.9241,0.2549
35,2010,0.936257,2.3324,0.1074,3.9378,0.3831
35,2011,0.887789,2.3616,0.1168,3.9469,0.3939
35,2012,0.91515,2.3008,0.0904,3.9516,0.4155
35,2013,0.855702,2.0167,0.0755,3.8553,0.4088
35,2014,0.793381,1.8341,0.0778,3.8294,0.3981
35,2015,0.781733,1.8,0.0724,3.7804,0.3794
35,2016,0.725485,1.5484,0.0986,3.773,0.417
35,2017,0.663267,1.4567,0.0925,3.6922,0.3936
35,2018,0.742626,1.3693,0.1055,3.8388,0.3814
35,2019,0.651253,1.2435,0.0932,3.6774,0.3311
36,2010,1.0,1.5837,0.1456,8.2697,0.4094
36,2011,1.0,1.6729,0.0995,8.246,0.4671
36,2012,0.987488,1.3284,0.1196,8.183,0.462
36,2013,1.0,1.3818,0.1072,8.123,0.4698
36,2014,0.998351,1.367,0.1136,8.1576,0.4342
36,2015,0.971635,1.0193,0.0786,8.1297,0.3742
36,2016,0.913457,0.8062,0.0916,8.1935,0.3378
36,2017,1.0,1.408,0.0732,8.2247,0.3661
36,2018,1.0,1.4608,0.1266,8.2858,0.4333
36,2019,1.0,1.548,0.095,8.1766,0.4392
37,2010,0.948351,1.8104,0.0886,6.0591,0.3186
37,2011,0.895489,1.7185,0.0816,6.0366,0.3209
37,2012,0.893583,1.5842,0.0921,6.0316,0.3096
37,2013,0.928157,1.5505,0.0792,5.8758,0.3124
37,2014,0.92966,1.5535,0.1113,6.0768,0.3078
37,2015,0.889416,1.258,0.1228,6.0947,0.2971
37,2016,0.867767,1.5049,0.0945,6.1417,0.3468
37,2017,0.835518,1.4827,0.0778,6.0328,0.3608
37,2018,0.851202,1.3284,0.1285,6.0768,0.393
37,2019,0.866939,1.1557,0.0905,6.0768,0.3658
38,2010,0.859266,1.6362,0.135,5.84,0.4942
38,2011,0.902979,1.5703,0.1379,5.7855,0.447
38,2012,0.871864,1.6861,0.1057,5.8178,0.4469
38,2013,0.92092,1.6006,0.1442,5.8917,0.462
38,2014,0.856365,1.3336,0.1373,5.9957,0.4171
38,2015,0.86606,1.547,0.0972,6.0089,0.4471
38,2016,0.751319,1.2801,0.1216,5.8587,0.4478
38,2017,0.796823,1.2462,0.0991,5.9227,0.4015
38,2018,0.787327,1.2402,0.0675,5.9637,0.3858
38,2019,0.821503,1.66,0.07,5.9678,0.3603
39,2010,1.0,1.4702,0.0867,8.6221,0.4044
39,2011,1.0,1.0254,0.1033,8.6513,0.3597
39,2012,1.0,1.3605,0.1158,8.6745,0.3688
39,2013,1.0,1.4039,0.1082,8.7159,0.3925
39,2014,1.0,1.1749,0.1261,8.7485,0.3664
39,2015,1.0,1.1192,0.0986,8.7294,0.4015
39,2016,1.0,1.1653,0.1293,8.7828,0.3909
39,2017,1.0,1.1469,0.1533,8.8527,0.3751
39,2018,1.0,1.1266,0.148,8.7676,0.3859
39,2019,1.0,1.3124,0.1453,8.8563,0.3678
40,2010,0.617256,1.3934,0.0936,3.851,0.2813
40,2011,0.68484,1.4961,0.1122,3.7926,0.3064
40,2012,0.717633,1.3681,0.1064,3.8182,0.328
40,2013,0.655957,1.2108,0.1064,3.7705,0.3191
40,2014,0.623463,1.1897,0.1229,3.711,0.2713
40,2015,0.574378,1.5733,0.0926,3.6671,0.3019
40,2016,0.583894,1.417,0.089,3.7418,0.2778
40,2017,0.502304,1.3744,0.0798,3.7273,0.3284
40,2018,0.624841,1.5175,0.0278,3.6197,0.4057
40,2019,0.608768,1.3397,0.0373,3.6246,0.3972
41,2010,0.949209,1.6653,0.1069,6.165,0.4984
41,2011,1.0,1.8343,0.0817,6.0968,0.4809
41,2012,1.0,1.9265,0.1135,5.9549,0.47
41,2013,1.0,1.7997,0.1498,5.9717,0.4399
41,2014,1.0,1.7754,0.1539,5.9107,0.4209
41,2015,0.982663,1.4738,0.0922,5.7629,0.4661
41,2016,0.948115,1.5455,0.0674,5.7825,0.4652
41,2017,0.924411,1.5165,0.1022,5.7432,0.4415
41,2018,0.978926,1.8094,0.1011,5.6775,0.3803
41,2019,0.979213,1.7641,0.1339,5.821,0.3265
42,2010,0.733294,1.6271,0.0834,4.097,0.2377
42,2011,0.696108,1.7509,0.0812,4.0445,0.2613
42,2012,0.646316,1.5887,0.1022,4.0621,0.2956
42,2013,0.641827,1.6098,0.0934,3.9945,0.2639
42,2014,0.678227,1.726,0.1389,3.8675,0.2802
42,2015,0.671446,1.7274,0.1181,3.8435,0.2688
42,2016,0.672105,1.7582,0.0818,3.8473,0.2824
42,2017,0.659892,1.7132,0.0771,3.9801,0.2445
42,2018,0.695422,1.6799,0.0759,3.9892,0.3063
42,2019,0.76027,2.0126,0.059,4.0618,0.3424
43,2010,0.790739,1.7309,0.0822,3.799,0.3113
43,2011,0.743656,1.6112,0.0665,3.8559,0.3478
43,2012,0.769509,1.6505,0.0515,3.8589,0.302
43,2013,0.692054,1.5861,0.0815,3.6724,0.3716
43,2014,0.736207,1.4265,0.0666,3.7318,0.3808
43,2015,0.699986,1.4949,0.0629,3.5179,0.3299
43,2016,0.719489,1.6251,0.1042,3.503,0.3671
43,2017,0.647261,1.5425,0.0996,3.5176,0.3872
43,2018,0.717941,1.6074,0.0846,3.5884,0.3555
43,2019,0.800523,2.1253,0.0789,3.6553,0.3366
44,2010,0.807489,0.9328,0.0405,6.3729,0.3616
44,2011,0.848502,1.2979,0.0531,6.2423,0.3329
44,2012,0.904699,1.2664,0.0702,6.0617,0.3102
44,2013,0.754047,1.2164,0.0611,6.0398,0.3263
44,2014,0.778821,1.1862,0.077,5.9129,0.3643
44,2015,0.789709,1.2148,0.0887,6.0891,0.3958
44,2016,0.782073,1.0852,0.1285,6.3309,0.3588
44,2017,0.767428,0.9672,0.1061,6.3471,0.3681
44,2018,0.753935,0.7173,0.1117,6.378,0.3802
44,2019,0.753419,0.7148,0.1127,6.3858,0.3724
45,2010,0.838843,1.9901,0.0798,4.2503,0.2362
45,2011,0.85246,1.7755,0.0836,4.2155,0.2724
45,2012,0.838119,1.6401,0.0794,4.2487,0.3021
45,2013,0.727977,1.4395,0.0364,4.196,0.3596
45,2014,0.744114,1.5867,0.0606,4.0403,0.339
45,2015,0.840252,2.1069,0.0982,3.944,0.3718
45,2016,0.770055,1.562,0.0734,3.9133,0.3606
45,2017,0.741757,1.5885,0.1014,3.9836,0.3383
45,2018,0.787948,1.7247,0.0504,4.0356,0.3614
45,2019,0.77388,1.7993,0.0581,4.0217,0.3503
46,2010,1.0,1.633,0.1068,6.1525,0.334
46,2011,0.962538,1.6386,0.0765,6.102,0.3729
46,2012,0.99545,1.9555,0.1137,5.8932,0.3283
46,2013,1.0,1.7721,0.1321,6.0096,0.2804
46,2014,1.0,1.7192,0.1244,6.0124,0.2961
46,2015,1.0,1.7903,0.1326,5.9954,0.3388
46,2016,0.91642,1.628,0.1497,6.0211,0.3237
46,2017,0.939293,1.3368,0.1695,5.9613,0.349
46,2018,0.878484,1.3767,0.1635,6.1264,0.3509
46,2019,1.0,1.4039,0.1377,6.1097,0.3032
47,2010,0.770233,1.5247,0.0648,5.8411,0.3407
47,2011,0.806904,1.7979,0.1028,5.8277,0.3699
47,2012,0.892138,1.9278,0.0953,5.7335,0.3688
47,2013,0.920894,1.9004,0.0927,5.9069,0.3227
47,2014,0.980204,2.0527,0.0957,5.8137,0.3129
47,2015,0.910093,1.9872,0.1301,5.809,0.3741
47,2016,0.951345,2.1366,0.1136,5.9435,0.3791
47,2017,0.958219,1.9371,0.1464,5.8291,0.3737
47,2018,0.865557,1.5972,0.1403,5.8156,0.4114
47,2019,0.841424,1.2747,0.1176,5.851,0.4132
48,2010,0.783906,2.2178,0.078,4.1203,0.266
48,2011,0.80368,2.2932,0.0809,4.2111,0.2705
48,2012,0.842394,2.2764,0.0907,4.2452,0.2353
48,2013,0.803397,2.1483,0.1336,4.183,0.2465
