county_id,year,yield_per_acre,rainfall,fertilizer,temperature,latitude,longitude
14,2010,141.75,109.78,193.35,15.45,34.8849,-88.4624
14,2011,96.16,104.19,40.45,17.73,34.8849,-88.4624
14,2012,117.38,93.5,131.09,19.9,34.8849,-88.4624
14,2013,102.31,101.07,67.22,14.12,34.8849,-88.4624
14,2014,111.01,98.31,91.17,10.82,34.8849,-88.4624
14,2015,84.57,85.53,36.54,19.22,34.8849,-88.4624
14,2016,91.26,99.34,49.19,18.19,34.8849,-88.4624
14,2017,104.61,101.5,115.5,15.63,34.8849,-88.4624
14,2018,135.07,101.04,157.43,14.99,34.8849,-88.4624
14,2019,109.83,104.02,79.04,14.72,34.8849,-88.4624
15,2010,135.27,106.95,109.89,12.22,35.4399,-95.0292
15,2011,119.08,99.58,90.27,11.9,35.4399,-95.0292
15,2012,120.86,100.23,85.36,9.38,35.4399,-95.0292
15,2013,123.35,105.46,143.43,13.52,35.4399,-95.0292
15,2014,111.03,96.52,58.37,13.7,35.4399,-95.0292
15,2015,116.7,97.76,85.33,18.23,35.4399,-95.0292
15,2016,135.41,100.73,141.43,18.5,35.4399,-95.0292
15,2017,126.18,106.41,123.74,16.05,35.4399,-95.0292
15,2018,132.5,97.02,143.84,13.38,35.4399,-95.0292
15,2019,126.25,108.95,83.18,13.85,35.4399,-95.0292
16,2010,129.07,103.73,123.57,15.01,35.4398,-94.3148
16,2011,113.99,101.51,94.01,12.32,35.4398,-94.3148
16,2012,138.32,92.66,177.76,10.19,35.4398,-94.3148
16,2013,119.46,94.26,144.11,17.77,35.4398,-94.3148
16,2014,128.35,97.46,150.93,13.02,35.4398,-94.3148
16,2015,163.46,92.65,243.4,15.91,35.4398,-94.3148
16,2016,122.98,103.76,111.32,12.08,35.4398,-94.3148
16,2017,123.67,99.48,89.15,7.76,35.4398,-94.3148
16,2018,119.88,97.79,111.55,7.11,35.4398,-94.3148
16,2019,115.04,105.58,83.96,9.9,35.4398,-94.3148
17,2010,119.31,110.23,100.44,13.61,35.4987,-94.1058
17,2011,126.83,100.9,103.35,14.6,35.4987,-94.1058
17,2012,139.12,103.36,155.75,13.36,35.4987,-94.1058
17,2013,110.24,97.49,44.9,10.96,35.4987,-94.1058
17,2014,123.58,99.62,129.48,15.2,35.4987,-94.1058
17,2015,109.44,99.52,67.15,16.69,35.4987,-94.1058
17,2016,127.37,112.11,117.87,9.23,35.4987,-94.1058
17,2017,116.83,100.07,95.24,12.56,35.4987,-94.1058
17,2018,128.45,93.31,171.66,13.75,35.4987,-94.1058
17,2019,139.48,96.98,186.2,17.86,35.4987,-94.1058
18,2010,121.15,98.49,119.85,8.32,35.5823,-93.6221
18,2011,97.47,96.09,49.81,11.24,35.5823,-93.6221
18,2012,128.69,101.33,127.03,11.32,35.5823,-93.6221
18,2013,128.36,105.33,110.45,7.21,35.5823,-93.6221
18,2014,153.16,110.9,189.59,12.41,35.5823,-93.6221
18,2015,101.44,101.54,58.94,14.81,35.5823,-93.6221
18,2016,117.39,101.57,80.7,17.94,35.5823,-93.6221
18,2017,115.11,104.21,80.32,9.91,35.5823,-93.6221
18,2018,138.44,105.06,157.02,13.41,35.5823,-93.6221
18,2019,108.33,99.62,86.9,13.59,35.5823,-93.6221
19,2010,113.85,97.52,97.15,12.69,35.5209,-93.196
19,2011,127.13,95.52,111.15,6.94,35.5209,-93.196
19,2012,109.04,102.3,77.67,13.4,35.5209,-93.196
19,2013,123.28,101.45,138.94,13.11,35.5209,-93.196
19,2014,104.59,103.88,73.09,15.2,35.5209,-93.196
19,2015,112.99,103.72,94.56,10.71,35.5209,-93.196
19,2016,154.24,99.92,245.47,13.99,35.5209,-93.196
19,2017,98.41,101.09,54.46,9.47,35.5209,-93.196
19,2018,91.32,103.58,35.11,13.56,35.5209,-93.196
19,2019,98.59,96.35,50.22,12.97,35.5209,-93.196
20,2010,112.26,102.82,90.65,11.69,35.3672,-92.4803
20,2011,106.73,99.05,80.87,11.92,35.3672,-92.4803
20,2012,110.76,97.09,138.57,9.16,35.3672,-92.4803
20,2013,117.25,105.41,83.96,9.66,35.3672,-92.4803
20,2014,117.75,99.15,130.29,16.4,35.3672,-92.4803
20,2015,105.13,87.78,111.31,12.12,35.3672,-92.4803
20,2016,147.93,100.58,213.67,7.88,35.3672,-92.4803
20,2017,87.31,96.07,60.09,12.43,35.3672,-92.4803
20,2018,86.58,98.51,25.48,11.14,35.3672,-92.4803
20,2019,144.35,105.93,196.54,11.94,35.3672,-92.4803
21,2010,131.65,108.2,105.8,17.65,35.5738,-91.9829
21,2011,124.65,101.31,114.65,11.75,35.5738,-91.9829
21,2012,121.4,100.0,103.95,14.28,35.5738,-91.9829
21,2013,133.66,94.41,155.4,11.09,35.5738,-91.9829
21,2014,120.53,98.89,106.08,12.7,35.5738,-91.9829
21,2015,116.88,106.13,44.4,11.74,35.5738,-91.9829
21,2016,137.66,102.55,123.89,11.23,35.5738,-91.9829
21,2017,121.04,97.93,95.82,16.79,35.5738,-91.9829
21,2018,114.75,104.88,61.09,15.79,35.5738,-91.9829
21,2019,150.17,95.92,213.34,8.11,35.5738,-91.9829
22,2010,115.51,99.32,86.4,14.87,35.4884,-91.5301
22,2011,122.77,98.06,106.08,13.73,35.4884,-91.5301
22,2012,124.9,100.28,128.8,16.9,35.4884,-91.5301
22,2013,103.29,94.49,67.93,15.43,35.4884,-91.5301
22,2014,121.88,93.52,128.22,15.72,35.4884,-91.5301
22,2015,104.86,113.99,36.06,15.93,35.4884,-91.5301
22,2016,122.48,105.48,115.55,12.37,35.4884,-91.5301
22,2017,124.4,96.72,121.14,12.49,35.4884,-91.5301
22,2018,105.43,108.21,53.11,12.69,35.4884,-91.5301
22,2019,116.77,101.05,124.24,11.88,35.4884,-91.5301
23,2010,90.57,98.43,62.29,12.0,35.3521,-91.072
23,2011,87.54,101.83,44.49,17.26,35.3521,-91.072
23,2012,112.49,106.54,101.38,12.75,35.3521,-91.072
23,2013,144.63,97.88,177.07,15.02,35.3521,-91.072
23,2014,111.3,108.86,68.86,17.33,35.3521,-91.072
23,2015,104.54,96.61,86.17,14.45,35.3521,-91.072
23,2016,94.2,105.44,17.47,16.51,35.3521,-91.072
23,2017,108.66,97.12,89.81,8.86,35.3521,-91.072
23,2018,137.47,101.65,199.09,16.19,35.3521,-91.072
23,2019,111.9,99.57,78.16,11.59,35.3521,-91.072
24,2010,100.22,102.65,51.23,10.57,35.4539,-90.3943
24,2011,109.11,92.07,87.1,15.77,35.4539,-90.3943
24,2012,109.85,99.93,111.79,13.7,35.4539,-90.3943
24,2013,137.59,86.55,192.75,14.72,35.4539,-90.3943
24,2014,104.03,104.8,53.48,15.87,35.4539,-90.3943
24,2015,112.77,107.04,84.81,14.5,35.4539,-90.3943
24,2016,107.5,99.8,58.87,12.28,35.4539,-90.3943
24,2017,101.66,99.55,64.63,14.74,35.4539,-90.3943
24,2018,97.68,95.25,55.63,9.51,35.4539,-90.3943
24,2019,100.79,103.49,72.29,10.12,35.4539,-90.3943
25,2010,117.6,94.4,96.83,22.16,35.5344,-90.1763
25,2011,126.67,97.4,102.27,12.48,35.5344,-90.1763
25,2012,133.04,99.59,110.71,15.37,35.5344,-90.1763
25,2013,129.24,95.71,113.49,6.15,35.5344,-90.1763
25,2014,116.77,109.92,65.87,11.81,35.5344,-90.1763
25,2015,106.75,100.15,68.11,19.04,35.5344,-90.1763
25,2016,108.57,106.88,43.76,12.61,35.5344,-90.1763
25,2017,132.49,99.61,136.92,10.22,35.5344,-90.1763
25,2018,135.42,96.2,145.77,14.9,35.5344,-90.1763
25,2019,131.09,101.64,138.95,10.6,35.5344,-90.1763
26,2010,123.23,103.75,85.29,17.53,35.5324,-89.5385
26,2011,134.86,96.83,145.28,13.3,35.5324,-89.5385
26,2012,112.93,103.48,72.78,13.59,35.5324,-89.5385
26,2013,111.43,103.18,54.39,21.42,35.5324,-89.5385
26,2014,117.39,102.27,93.58,16.79,35.5324,-89.5385
26,2015,138.5,103.21,142.73,14.67,35.5324,-89.5385
26,2016,124.57,99.73,103.35,20.61,35.5324,-89.5385
26,2017,126.63,99.3,81.14,16.25,35.5324,-89.5385
26,2018,94.32,102.82,31.78,14.32,35.5324,-89.5385
26,2019,122.47,98.03,92.35,19.12,35.5324,-89.5385
27,2010,92.67,98.04,67.53,14.3,35.4323,-88.9388
27,2011,126.74,106.95,143.45,20.09,35.4323,-88.9388
27,2012,112.9,101.05,110.37,15.94,35.4323,-88.9388
27,2013,112.99,98.54,106.12,16.13,35.4323,-88.9388
27,2014,136.94,98.32,166.29,17.86,35.4323,-88.9388
27,2015,117.74,95.86,117.34,13.5,35.4323,-88.9388
27,2016,104.35,104.48,50.15,17.53,35.4323,-88.9388
27,2017,105.71,104.23,87.72,21.23,35.4323,-88.9388
27,2018,114.51,101.57,104.69,18.83,35.4323,-88.9388
27,2019,115.93,98.19,108.42,15.26,35.4323,-88.9388
28,2010,115.16,104.96,107.71,16.38,35.6031,-88.4069
28,2011,130.33,106.64,132.78,14.19,35.6031,-88.4069
28,2012,113.81,97.98,97.36,13.06,35.6031,-88.4069
28,2013,101.62,99.69,39.47,18.2,35.6031,-88.4069
28,2014,124.17,96.89,137.82,17.08,35.6031,-88.4069
28,2015,132.96,100.36,153.07,16.01,35.6031,-88.4069
28,2016,126.63,107.02,123.91,16.59,35.6031,-88.4069
28,2017,135.0,106.21,125.79,7.69,35.6031,-88.4069
28,2018,123.5,99.45,103.63,18.45,35.6031,-88.4069
28,2019,122.0,107.78,129.21,20.72,35.6031,-88.4069
29,2010,122.71,100.55,112.89,5.28,35.9161,-95.0309
29,2011,108.07,102.05,68.93,17.57,35.9161,-95.0309
29,2012,102.45,99.63,84.14,5.86,35.9161,-95.0309
29,2013,104.9,94.31,96.94,14.76,35.9161,-95.0309
29,2014,138.73,107.25,115.65,10.75,35.9161,-95.0309
29,2015,113.62,101.03,102.85,14.5,35.9161,-95.0309
29,2016,122.02,102.35,92.53,6.0,35.9161,-95.0309
29,2017,89.07,98.29,35.09,7.94,35.9161,-95.0309
29,2018,127.34,105.69,139.06,17.08,35.9161,-95.0309
29,2019,145.04,99.42,181.75,12.92,35.9161,-95.0309
30,2010,101.59,91.02,80.69,10.13,36.0331,-94.4024
30,2011,109.87,102.45,67.97,12.12,36.0331,-94.4024
30,2012,99.75,107.85,36.67,16.33,36.0331,-94.4024
30,2013,115.22,103.23,106.3,15.66,36.0331,-94.4024
30,2014,99.88,98.34,68.13,7.71,36.0331,-94.4024
30,2015,104.12,102.53,55.6,13.28,36.0331,-94.4024
30,2016,120.44,108.5,134.84,14.21,36.0331,-94.4024
30,2017,107.54,106.66,67.25,15.8,36.0331,-94.4024
30,2018,111.8,104.51,66.47,7.34,36.0331,-94.4024
30,2019,122.27,93.75,150.97,15.9,36.0331,-94.4024
31,2010,106.78,97.08,95.49,11.7,35.9521,-94.0186
31,2011,87.14,99.09,37.86,12.36,35.9521,-94.0186
31,2012,134.31,93.76,201.22,16.81,35.9521,-94.0186
31,2013,115.64,99.53,118.98,12.95,35.9521,-94.0186
31,2014,87.31,96.41,35.08,11.91,35.9521,-94.0186
31,2015,131.01,105.39,153.75,11.99,35.9521,-94.0186
31,2016,103.37,94.21,118.1,8.53,35.9521,-94.0186
31,2017,123.7,110.57,123.7,19.68,35.9521,-94.0186
31,2018,89.26,96.59,48.75,10.37,35.9521,-94.0186
31,2019,93.16,92.01,54.23,15.23,35.9521,-94.0186
32,2010,127.16,113.45,137.84,14.07,35.8894,-93.6196
32,2011,106.84,104.26,88.83,11.79,35.8894,-93.6196
32,2012,146.04,102.98,192.53,13.99,35.8894,-93.6196
32,2013,108.32,99.82,79.28,14.0,35.8894,-93.6196
32,2014,107.88,95.92,111.24,13.15,35.8894,-93.6196
32,2015,111.55,108.09,67.84,10.47,35.8894,-93.6196
32,2016,102.99,89.68,82.16,21.34,35.8894,-93.6196
32,2017,129.75,103.21,124.08,14.75,35.8894,-93.6196
32,2018,132.27,100.76,143.75,12.78,35.8894,-93.6196
32,2019,114.82,102.75,77.53,13.13,35.8894,-93.6196
33,2010,136.26,100.11,152.08,11.33,36.0813,-92.8644
33,2011,137.01,106.93,128.3,15.11,36.0813,-92.8644
33,2012,139.23,104.27,126.81,11.79,36.0813,-92.8644
33,2013,117.35,103.92,92.19,16.78,36.0813,-92.8644
33,2014,113.6,93.96,85.32,8.67,36.0813,-92.8644
33,2015,112.94,92.69,93.39,14.21,36.0813,-92.8644
33,2016,115.78,101.27,86.53,13.82,36.0813,-92.8644
33,2017,131.73,98.32,133.95,10.75,36.0813,-92.8644
33,2018,119.25,94.46,96.78,13.17,36.0813,-92.8644
33,2019,103.24,108.97,14.22,9.64,36.0813,-92.8644
34,2010,128.46,102.93,131.37,10.48,35.9928,-92.3996
34,2011,163.63,104.51,270.54,16.98,35.9928,-92.3996
34,2012,113.88,106.44,92.13,8.3,35.9928,-92.3996
34,2013,128.47,102.75,150.63,11.33,35.9928,-92.3996
34,2014,105.76,102.06,55.44,16.67,35.9928,-92.3996
34,2015,111.65,97.65,80.82,11.83,35.9928,-92.3996
34,2016,108.2,99.54,67.49,16.88,35.9928,-92.3996
34,2017,111.31,101.3,88.94,14.97,35.9928,-92.3996
34,2018,108.45,111.89,46.91,18.51,35.9928,-92.3996
34,2019,120.23,108.17,102.12,14.07,35.9928,-92.3996
35,2010,119.61,99.88,112.09,14.39,36.0362,-92.0645
35,2011,100.91,94.85,71.51,7.08,36.0362,-92.0645
35,2012,116.65,108.25,77.22,13.01,36.0362,-92.0645
35,2013,122.69,107.27,125.4,13.74,36.0362,-92.0645
35,2014,138.22,98.36,159.94,12.71,36.0362,-92.0645
35,2015,104.9,96.13,59.58,18.9,36.0362,-92.0645
35,2016,97.97,97.68,36.45,9.73,36.0362,-92.0645
35,2017,93.05,100.93,20.63,10.98,36.0362,-92.0645
35,2018,122.95,101.69,118.56,14.01,36.0362,-92.0645
35,2019,126.09,96.17,127.78,17.31,36.0362,-92.0645
36,2010,101.7,103.03,64.8,17.27,36.0361,-91.3462
36,2011,116.81,94.73,95.55,14.82,36.0361,-91.3462
36,2012,108.64,105.46,58.44,7.51,36.0361,-91.3462
36,2013,142.77,93.86,185.09,13.8,36.0361,-91.3462
36,2014,107.33,102.33,67.97,13.71,36.0361,-91.3462
36,2015,124.5,100.48,119.56,18.17,36.0361,-91.3462
36,2016,138.2,100.22,179.47,10.43,36.0361,-91.3462
36,2017,121.7,95.78,114.97,13.62,36.0361,-91.3462
36,2018,108.76,105.17,86.76,11.06,36.0361,-91.3462
36,2019,120.11,103.0,93.63,20.4,36.0361,-91.3462
37,2010,114.2,112.93,71.04,8.89,35.9964,-90.8435
37,2011,109.03,94.87,75.99,13.78,35.9964,-90.8435
37,2012,101.39,102.23,76.2,15.57,35.9964,-90.8435
37,2013,121.55,102.94,112.97,12.59,35.9964,-90.8435
37,2014,108.68,101.57,57.65,10.85,35.9964,-90.8435
37,2015,137.78,97.21,173.26,16.0,35.9964,-90.8435
37,2016,118.98,105.09,123.21,13.96,35.9964,-90.8435
37,2017,112.84,106.4,74.46,13.22,35.9964,-90.8435
37,2018,107.53,101.89,62.99,13.12,35.9964,-90.8435
37,2019,115.67,105.71,67.99,14.03,35.9964,-90.8435
38,2010,123.7,102.23,121.1,15.09,35.738,-90.4178
38,2011,131.32,105.43,137.45,8.88,35.738,-90.4178
38,2012,116.29,98.49,94.75,10.21,35.738,-90.4178
38,2013,131.15,104.91,120.93,15.11,35.738,-90.4178
38,2014,138.94,114.65,141.14,12.38,35.738,-90.4178
38,2015,147.41,106.08,175.03,14.41,35.738,-90.4178
38,2016,91.16,94.85,55.65,13.14,35.738,-90.4178
38,2017,129.47,102.47,111.91,16.1,35.738,-90.4178
38,2018,117.85,105.18,112.81,11.93,35.738,-90.4178
38,2019,121.98,103.07,89.86,13.28,35.738,-90.4178
39,2010,88.39,98.36,55.53,11.92,36.0087,-90.0299
39,2011,118.94,105.41,125.18,11.54,36.0087,-90.0299
39,2012,118.4,96.71,135.84,11.39,36.0087,-90.0299
39,2013,106.86,105.93,69.82,14.23,36.0087,-90.0299
39,2014,135.43,99.03,194.85,15.67,36.0087,-90.0299
39,2015,106.68,104.11,124.35,19.19,36.0087,-90.0299
39,2016,102.28,106.87,94.78,17.4,36.0087,-90.0299
39,2017,118.27,105.05,118.38,14.44,36.0087,-90.0299
39,2018,127.98,106.1,148.64,14.76,36.0087,-90.0299
39,2019,95.02,106.21,71.23,13.13,36.0087,-90.0299
40,2010,120.19,106.71,97.19,17.05,36.0092,-89.6988
40,2011,133.35,100.08,135.04,17.24,36.0092,-89.6988
40,2012,114.62,104.29,56.41,17.47,36.0092,-89.6988
40,2013,113.74,102.27,67.61,15.17,36.0092,-89.6988
40,2014,142.75,103.36,166.98,15.88,36.0092,-89.6988
40,2015,111.93,97.7,77.4,17.23,36.0092,-89.6988
40,2016,155.25,105.88,204.36,18.49,36.0092,-89.6988
40,2017,135.84,102.74,112.13,9.82,36.0092,-89.6988
40,2018,105.51,94.44,60.62,18.8,36.0092,-89.6988
40,2019,140.9,93.48,157.56,11.8,36.0092,-89.6988
41,2010,108.53,108.89,50.91,18.96,35.978,-88.9643
41,2011,99.17,99.89,57.58,16.3,35.978,-88.9643
41,2012,134.0,95.31,175.19,15.75,35.978,-88.9643
41,2013,93.3,92.73,42.46,12.73,35.978,-88.9643
41,2014,119.33,93.22,140.6,15.13,35.978,-88.9643
41,2015,106.1,98.35,71.65,16.05,35.978,-88.9643
41,2016,142.37,109.45,154.76,19.26,35.978,-88.9643
41,2017,130.34,96.34,144.57,12.77,35.978,-88.9643
41,2018,146.38,100.88,185.29,16.35,35.978,-88.9643
41,2019,102.37,100.81,41.58,15.39,35.978,-88.9643
42,2010,123.3,104.78,112.7,14.57,36.1478,-88.5518
42,2011,103.01,101.42,78.26,16.4,36.1478,-88.5518
42,2012,116.86,100.1,73.63,20.76,36.1478,-88.5518
42,2013,132.08,109.2,126.42,11.85,36.1478,-88.5518
42,2014,107.8,105.14,60.55,13.63,36.1478,-88.5518
42,2015,140.01,98.72,173.46,17.77,36.1478,-88.5518
42,2016,125.21,104.56,102.56,11.52,36.1478,-88.5518
42,2017,120.07,106.73,94.98,13.43,36.1478,-88.5518
42,2018,124.45,106.13,106.19,10.57,36.1478,-88.5518
42,2019,145.6,105.9,171.25,15.03,36.1478,-88.5518
43,2010,116.54,94.76,118.58,6.37,36.4192,-95.0502
43,2011,104.03,100.09,77.59,15.05,36.4192,-95.0502
43,2012,120.65,99.39,131.97,12.49,36.4192,-95.0502
43,2013,99.5,100.37,48.89,16.81,36.4192,-95.0502
43,2014,115.47,105.55,99.32,9.36,36.4192,-95.0502
43,2015,94.44,101.18,53.86,10.64,36.4192,-95.0502
43,2016,118.77,92.11,146.39,14.07,36.4192,-95.0502
43,2017,112.44,105.58,88.02,11.71,36.4192,-95.0502
43,2018,118.12,106.38,147.32,12.5,36.4192,-95.0502
43,2019,128.11,104.68,139.09,11.53,36.4192,-95.0502
44,2010,126.51,111.14,109.72,9.46,36.5915,-94.4671
44,2011,109.03,98.59,81.16,11.51,36.5915,-94.4671
44,2012,123.5,111.91,112.92,11.92,36.5915,-94.4671
44,2013,117.21,101.64,113.32,20.05,36.5915,-94.4671
44,2014,110.13,100.22,66.29,10.56,36.5915,-94.4671
44,2015,107.79,113.63,33.39,8.01,36.5915,-94.4671
