id,period,treatment,earnings,education,age,experience,female
23,0,1,4688.39,12.2,29.8,14.8,0
23,1,1,5003.36,12.2,29.8,14.8,0
24,0,0,4557.59,7.7,47.1,1.5,0
24,1,0,5052.84,7.7,47.1,1.5,0
25,0,1,4960.58,10.4,43.8,0.0,0
25,1,1,5779.67,10.4,43.8,0.0,0
26,0,0,5363.0,12.3,33.5,8.9,0
26,1,0,5460.5,12.3,33.5,8.9,0
27,0,0,4324.7,8.5,30.3,17.0,1
27,1,0,4537.08,8.5,30.3,17.0,1
28,0,1,5588.67,13.1,31.0,14.2,0
28,1,1,5761.49,13.1,31.0,14.2,0
29,0,1,3495.46,10.2,34.9,9.0,0
29,1,1,4933.26,10.2,34.9,9.0,0
30,0,1,4815.04,11.1,21.8,5.5,1
30,1,1,5072.73,11.1,21.8,5.5,1
31,0,1,4796.8,10.2,27.9,12.0,1
31,1,1,6285.13,10.2,27.9,12.0,1
32,0,0,5724.72,17.6,18.0,3.1,0
32,1,0,5324.18,17.6,18.0,3.1,0
33,0,1,3914.12,12.0,33.2,10.4,0
33,1,1,4445.27,12.0,33.2,10.4,0
34,0,0,4676.63,8.8,35.2,10.5,0
34,1,0,4349.8,8.8,35.2,10.5,0
35,0,0,4236.89,14.5,26.1,13.3,1
35,1,0,4855.68,14.5,26.1,13.3,1
36,0,0,4493.43,8.3,42.6,21.8,0
36,1,0,5524.55,8.3,42.6,21.8,0
37,0,0,5123.81,12.6,20.2,10.0,1
37,1,0,4569.5,12.6,20.2,10.0,1
38,0,0,3098.62,6.1,18.3,5.5,1
38,1,0,2647.42,6.1,18.3,5.5,1
39,0,1,3976.31,8.0,31.8,7.9,0
39,1,1,4539.97,8.0,31.8,7.9,0
40,0,1,3940.67,12.6,38.4,0.0,0
40,1,1,4150.16,12.6,38.4,0.0,0
41,0,0,5203.23,14.2,43.5,4.5,0
41,1,0,5791.29,14.2,43.5,4.5,0
42,0,0,4470.23,12.5,26.3,6.0,0
42,1,0,4478.47,12.5,26.3,6.0,0
43,0,0,3924.83,11.7,38.6,5.4,0
43,1,0,4789.51,11.7,38.6,5.4,0
44,0,0,3560.81,11.1,29.7,8.8,1
44,1,0,4857.17,11.1,29.7,8.8,1
45,0,1,4972.84,7.6,28.6,3.9,1
45,1,1,4876.73,7.6,28.6,3.9,1
46,0,0,2965.55,9.8,37.1,13.6,1
46,1,0,3049.83,9.8,37.1,13.6,1
47,0,1,3693.52,10.6,35.2,8.0,1
47,1,1,5418.07,10.6,35.2,8.0,1
48,0,0,4350.55,15.2,18.0,8.0,0
48,1,0,5050.66,15.2,18.0,8.0,0
49,0,1,4257.54,13.0,41.8,6.4,0
49,1,1,4772.74,13.0,41.8,6.4,0
50,0,0,4924.45,6.7,41.0,8.8,0
50,1,0,5038.12,6.7,41.0,8.8,0
51,0,1,3539.59,13.0,25.0,12.1,1
51,1,1,4782.98,13.0,25.0,12.1,1
52,0,0,4665.98,10.8,33.2,3.7,1
52,1,0,5018.61,10.8,33.2,3.7,1
53,0,1,4479.25,10.0,34.0,4.7,1
53,1,1,4216.91,10.0,34.0,4.7,1
54,0,0,5434.92,13.8,32.1,6.5,0
54,1,0,5626.0,13.8,32.1,6.5,0
55,0,0,3944.09,15.1,25.6,1.3,0
55,1,0,4778.29,15.1,25.6,1.3,0
56,0,1,3882.85,14.8,24.6,3.9,1
56,1,1,4543.72,14.8,24.6,3.9,1
57,0,1,5083.31,9.5,29.8,5.6,0
57,1,1,5219.22,9.5,29.8,5.6,0
58,0,1,5016.11,11.1,39.4,12.4,1
58,1,1,5117.01,11.1,39.4,12.4,1
59,0,1,4086.89,13.0,34.3,9.3,1
59,1,1,4054.86,13.0,34.3,9.3,1
60,0,1,3964.56,14.9,27.0,9.0,1
60,1,1,5202.5,14.9,27.0,9.0,1
61,0,0,5176.71,10.6,36.2,12.3,0
61,1,0,4534.37,10.6,36.2,12.3,0
62,0,0,4462.12,11.4,18.0,7.3,0
62,1,0,4773.55,11.4,18.0,7.3,0
63,0,0,4421.21,8.7,39.2,10.0,0
63,1,0,3569.39,8.7,39.2,10.0,0
64,0,1,2083.46,8.4,18.0,7.5,0
64,1,1,3067.4,8.4,18.0,7.5,0
65,0,0,5347.82,14.4,27.1,9.3,0
65,1,0,6188.95,14.4,27.1,9.3,0
66,0,0,4067.6,16.1,21.0,5.1,1
66,1,0,3755.32,16.1,21.0,5.1,1
67,0,1,3417.73,11.8,19.6,0.0,1
67,1,1,4226.87,11.8,19.6,0.0,1
68,0,1,3817.01,15.0,39.3,7.3,0
68,1,1,4030.81,15.0,39.3,7.3,0
69,0,0,5527.01,13.1,26.3,15.1,0
69,1,0,5366.02,13.1,26.3,15.1,0
70,0,0,4091.68,10.1,32.8,12.6,0
70,1,0,4725.77,10.1,32.8,12.6,0
71,0,0,5050.67,13.1,29.6,12.8,0
71,1,0,5137.01,13.1,29.6,12.8,0
72,0,0,5853.77,16.6,33.8,14.2,1
72,1,0,5780.71,16.6,33.8,14.2,1
73,0,0,5636.1,11.9,30.6,8.4,0
73,1,0,4226.5,11.9,30.6,8.4,0
74,0,1,5680.6,16.7,19.7,9.0,0
74,1,1,5893.95,16.7,19.7,9.0,0
75,0,1,4085.94,6.0,38.0,4.9,0
75,1,1,4088.41,6.0,38.0,4.9,0
76,0,1,5098.89,14.5,26.0,6.4,1
76,1,1,5552.23,14.5,26.0,6.4,1
77,0,0,2756.32,12.3,18.0,11.1,1
77,1,0,4274.69,12.3,18.0,11.1,1
78,0,1,5049.84,11.1,26.6,14.0,0
78,1,1,5060.32,11.1,26.6,14.0,0
79,0,0,4481.45,12.3,42.0,7.3,0
79,1,0,4709.93,12.3,42.0,7.3,0
80,0,0,4562.92,6.0,36.8,5.7,1
80,1,0,4318.69,6.0,36.8,5.7,1
81,0,1,5111.58,11.3,27.2,8.0,1
81,1,1,5214.73,11.3,27.2,8.0,1
82,0,0,3726.28,13.1,27.2,11.0,0
82,1,0,5086.75,13.1,27.2,11.0,0
83,0,0,5141.04,16.4,27.4,0.8,1
83,1,0,5279.83,16.4,27.4,0.8,1
84,0,1,5931.35,10.4,46.6,0.0,1
84,1,1,6442.76,10.4,46.6,0.0,1
85,0,0,4946.43,9.6,33.1,5.2,1
85,1,0,4457.04,9.6,33.1,5.2,1
86,0,1,3893.48,10.5,33.4,1.9,1
86,1,1,4420.2,10.5,33.4,1.9,1
87,0,0,5250.97,14.7,38.2,5.5,1
87,1,0,4997.67,14.7,38.2,5.5,1
88,0,1,4661.11,13.0,31.9,7.3,0
88,1,1,5219.5,13.0,31.9,7.3,0
89,0,0,5747.35,10.4,27.9,5.7,1
89,1,0,5631.22,10.4,27.9,5.7,1
90,0,0,4301.45,13.5,28.4,15.3,0
90,1,0,4880.83,13.5,28.4,15.3,0
91,0,1,4019.36,12.3,29.4,9.6,1
91,1,1,4876.65,12.3,29.4,9.6,1
92,0,0,4422.62,14.9,29.7,9.5,0
92,1,0,4203.56,14.9,29.7,9.5,0
93,0,0,5060.99,9.9,35.8,11.1,1
93,1,0,3607.46,9.9,35.8,11.1,1
94,0,0,3797.29,11.0,30.4,2.3,1
94,1,0,4370.62,11.0,30.4,2.3,1
95,0,0,4374.61,10.8,35.9,13.2,0
95,1,0,4170.55,10.8,35.9,13.2,0
96,0,0,4216.55,7.6,29.4,7.6,1
96,1,0,4581.89,7.6,29.4,7.6,1
97,0,0,4469.14,12.9,30.6,11.4,0
97,1,0,4561.47,12.9,30.6,11.4,0
98,0,1,4332.52,12.8,18.0,2.6,1
98,1,1,4905.83,12.8,18.0,2.6,1
99,0,0,5363.75,12.0,37.3,0.2,0
99,1,0,4741.07,12.0,37.3,0.2,0
100,0,0,3689.6,11.3,32.8,12.1,0
100,1,0,3259.39,11.3,32.8,12.1,0
101,0,0,4622.06,7.8,38.0,9.9,1
101,1,0,4994.19,7.8,38.0,9.9,1
102,0,0,3789.58,10.7,18.0,3.5,0
102,1,0,4002.24,10.7,18.0,3.5,0
103,0,1,5290.69,11.0,46.7,3.7,1
103,1,1,6628.46,11.0,46.7,3.7,1
104,0,0,3737.26,9.6,28.9,13.6,0
104,1,0,4660.83,9.6,28.9,13.6,0
105,0,1,5156.28,11.5,38.9,2.1,0
105,1,1,6112.99,11.5,38.9,2.1,0
106,0,0,5761.95,13.2,21.7,16.2,0
106,1,0,4927.86,13.2,21.7,16.2,0
107,0,1,5795.78,17.7,34.9,3.5,1
107,1,1,6793.58,17.7,34.9,3.5,1
108,0,1,4473.28,12.5,21.6,11.2,0
108,1,1,4455.98,12.5,21.6,11.2,0
109,0,1,5690.59,12.8,25.0,6.4,0
109,1,1,4555.74,12.8,25.0,6.4,0
110,0,1,4829.5,11.8,45.3,11.0,0
110,1,1,5813.43,11.8,45.3,11.0,0
111,0,1,4541.18,6.2,28.5,5.3,0
111,1,1,4830.36,6.2,28.5,5.3,0
112,0,0,4396.12,11.9,31.7,7.2,1
112,1,0,3576.22,11.9,31.7,7.2,1
113,0,0,4223.87,12.2,37.0,8.2,1
113,1,0,4380.26,12.2,37.0,8.2,1
114,0,1,5692.41,19.4,34.0,3.0,0
114,1,1,5856.75,19.4,34.0,3.0,0
115,0,0,4996.6,11.4,31.2,11.7,1
115,1,0,4233.34,11.4,31.2,11.7,1
116,0,0,5030.75,12.9,32.9,5.4,0
116,1,0,4170.8,12.9,32.9,5.4,0
117,0,1,4188.31,11.9,49.2,6.9,1
117,1,1,4739.49,11.9,49.2,6.9,1
118,0,0,3871.35,8.5,29.5,3.0,1
118,1,0,3324.1,8.5,29.5,3.0,1
119,0,1,5592.09,15.4,31.6,0.0,1
119,1,1,5306.72,15.4,31.6,0.0,1
120,0,1,4551.56,14.3,38.4,7.0,0
120,1,1,6349.5,14.3,38.4,7.0,0
121,0,1,5376.18,14.4,38.8,20.1,1
121,1,1,6128.0,14.4,38.8,20.1,1
122,0,1,4095.17,9.3,39.5,11.9,0
122,1,1,6299.67,9.3,39.5,11.9,0
123,0,0,4532.01,16.2,35.1,7.9,1
123,1,0,5103.48,16.2,35.1,7.9,1
124,0,0,4166.11,7.8,20.9,6.7,0
124,1,0,3972.42,7.8,20.9,6.7,0
125,0,0,5399.18,13.8,43.1,8.1,1
125,1,0,4739.14,13.8,43.1,8.1,1
126,0,0,5399.22,18.6,20.8,10.7,1
126,1,0,5669.11,18.6,20.8,10.7,1
127,0,1,4025.29,9.0,32.4,2.1,1
127,1,1,4929.16,9.0,32.4,2.1,1
128,0,1,4298.6,10.3,24.0,13.6,0
128,1,1,4978.82,10.3,24.0,13.6,0
129,0,0,3808.54,12.3,29.5,11.6,1
129,1,0,4672.57,12.3,29.5,11.6,1
130,0,0,4193.96,10.5,32.6,11.6,0
130,1,0,3804.39,10.5,32.6,11.6,0
131,0,1,5169.34,7.3,32.6,10.2,1
131,1,1,6594.16,7.3,32.6,10.2,1
132,0,0,4177.91,12.2,33.4,8.1,0
132,1,0,4880.41,12.2,33.4,8.1,0
133,0,0,4130.52,8.8,42.9,11.4,0
133,1,0,5024.25,8.8,42.9,11.4,0
134,0,0,4879.48,13.4,33.6,11.0,0
134,1,0,4776.64,13.4,33.6,11.0,0
135,0,1,4702.41,9.2,28.0,6.2,0
135,1,1,4480.22,9.2,28.0,6.2,0
136,0,1,5145.83,16.6,37.7,5.1,0
136,1,1,5844.64,16.6,37.7,5.1,0
137,0,1,4789.13,9.7,39.5,8.5,0
137,1,1,5962.03,9.7,39.5,8.5,0
138,0,1,3760.6,11.0,20.2,15.7,0
138,1,1,4988.44,11.0,20.2,15.7,0
139,0,0,4564.81,14.4,34.8,1.8,1
139,1,0,4453.69,14.4,34.8,1.8,1
140,0,0,4419.54,8.3,35.6,0.7,1
140,1,0,4552.54,8.3,35.6,0.7,1
141,0,1,4936.74,12.7,27.6,8.8,0
141,1,1,5003.25,12.7,27.6,8.8,0
142,0,0,5295.15,15.9,41.0,8.3,0
142,1,0,5479.32,15.9,41.0,8.3,0
143,0,1,3701.97,7.2,28.8,8.9,0
143,1,1,5510.41,7.2,28.8,8.9,0
144,0,1,4437.58,12.6,31.0,9.2,0
144,1,1,4820.67,12.6,31.0,9.2,0
145,0,1,5530.39,12.8,28.6,6.9,1
145,1,1,7045.15,12.8,28.6,6.9,1
146,0,1,5653.59,14.3,30.1,15.4,1
146,1,1,5536.38,14.3,30.1,15.4,1
147,0,1,4613.72,8.3,21.2,0.0,0
147,1,1,4908.27,8.3,21.2,0.0,0
148,0,1,4028.54,8.0,18.5,3.9,0
148,1,1,4213.21,8.0,18.5,3.9,0
149,0,0,5323.37,13.6,42.8,7.5,0
149,1,0,5786.83,13.6,42.8,7.5,0
150,0,0,4479.97,12.9,23.2,0.0,1
150,1,0,5627.55,12.9,23.2,0.0,1
151,0,0,3720.37,12.8,22.1,7.1,1
151,1,0,5333.73,12.8,22.1,7.1,1
152,0,1,4129.27,13.0,18.0,16.3,0
152,1,1,5151.89,13.0,18.0,16.3,0
153,0,0,4684.11,10.0,24.9,8.1,0
153,1,0,3837.63,10.0,24.9,8.1,0
154,0,1,3024.37,12.7,19.4,9.2,1
154,1,1,2396.67,12.7,19.4,9.2,1
155,0,0,5005.42,12.9,43.1,1.7,1
155,1,0,4953.86,12.9,43.1,1.7,1
156,0,1,3981.55,9.9,38.1,4.9,0
156,1,1,4724.03,9.9,38.1,4.9,0
157,0,0,6006.17,17.6,24.5,6.1,0
157,1,0,6183.02,17.6,24.5,6.1,0
158,0,1,5434.24,13.4,48.0,6.4,0
158,1,1,5312.51,13.4,48.0,6.4,0
159,0,1,4084.4,8.4,37.9,14.4,1
159,1,1,4641.74,8.4,37.9,14.4,1
160,0,0,4922.47,14.0,27.4,10.8,0
160,1,0,4883.64,14.0,27.4,10.8,0
161,0,0,3442.18,9.1,18.0,2.4,0
161,1,0,2905.05,9.1,18.0,2.4,0
162,0,1,5381.49,14.4,48.3,9.2,1
162,1,1,5793.66,14.4,48.3,9.2,1
163,0,0,4695.33,15.5,18.9,10.5,0
163,1,0,4814.16,15.5,18.9,10.5,0
164,0,0,4742.31,9.5,18.0,13.7,1
164,1,0,4453.45,9.5,18.0,13.7,1
165,0,1,4742.51,14.9,38.2,15.9,0
165,1,1,5147.27,14.9,38.2,15.9,0
166,0,1,5110.96,13.2,49.5,2.9,0
166,1,1,5603.86,13.2,49.5,2.9,0
167,0,1,3907.52,14.5,41.1,3.9,1
167,1,1,4585.99,14.5,41.1,3.9,1
168,0,0,5839.35,17.7,34.5,1.7,0
168,1,0,5381.43,17.7,34.5,1.7,0
169,0,0,4822.67,11.3,34.8,6.8,1
169,1,0,5136.25,11.3,34.8,6.8,1
170,0,1,5111.69,9.7,36.8,10.3,0
170,1,1,4823.41,9.7,36.8,10.3,0
171,0,1,4979.49,9.3,36.1,12.9,0
171,1,1,5550.58,9.3,36.1,12.9,0
172,0,1,4208.0,9.6,32.2,7.6,1
172,1,1,4763.92,9.6,32.2,7.6,1
173,0,0,6032.67,11.8,30.8,6.4,0
173,1,0,5326.54,11.8,30.8,6.4,0
174,0,0,3296.74,13.0,29.5,8.8,1
174,1,0,3757.83,13.0,29.5,8.8,1
175,0,0,4509.56,12.8,24.0,3.8,0
175,1,0,4283.06,12.8,24.0,3.8,0
176,0,0,4067.08,14.5,27.8,18.4,0
176,1,0,4251.1,14.5,27.8,18.4,0
177,0,0,4268.63,12.0,18.0,0.0,0
177,1,0,3718.62,12.0,18.0,0.0,0
178,0,0,5296.06,16.4,29.2,8.9,0
178,1,0,5374.01,16.4,29.2,8.9,0
179,0,1,5505.73,11.2,22.1,18.1,1
179,1,1,5587.83,11.2,22.1,18.1,1
180,0,0,3936.79,20.0,21.2,8.0,1
180,1,0,5258.2,20.0,21.2,8.0,1
181,0,1,4990.91,13.9,31.4,7.0,0
181,1,1,5014.92,13.9,31.4,7.0,0
182,0,1,5389.34,9.4,41.1,6.2,0
182,1,1,5603.39,9.4,41.1,6.2,0
183,0,1,4539.39,8.8,37.3,7.1,1
183,1,1,5044.44,8.8,37.3,7.1,1
184,0,0,4720.83,13.4,18.0,14.9,1
184,1,0,3121.95,13.4,18.0,14.9,1
185,0,1,3394.03,11.3,22.1,0.0,0
185,1,1,4163.1,11.3,22.1,0.0,0
186,0,1,5226.93,14.1,37.5,15.7,0
186,1,1,5930.9,14.1,37.5,15.7,0
187,0,1,3830.48,13.4,22.1,0.9,0
187,1,1,5125.6,13.4,22.1,0.9,0
188,0,1,5592.99,11.8,28.2,6.7,1
188,1,1,5262.11,11.8,28.2,6.7,1
189,0,1,3875.41,9.5,34.4,5.9,0
189,1,1,4361.13,9.5,34.4,5.9,0
190,0,1,4381.35,7.5,22.3,10.9,0
190,1,1,5153.16,7.5,22.3,10.9,0
191,0,0,5223.54,10.7,30.8,0.0,1
191,1,0,4989.33,10.7,30.8,0.0,1
192,0,1,5837.83,14.6,19.3,10.3,0
192,1,1,4933.85,14.6,19.3,10.3,0
193,0,0,3505.2,12.6,25.2,18.1,0
193,1,0,3903.77,12.6,25.2,18.1,0
194,0,1,3994.78,8.3,32.6,1.2,0
194,1,1,4612.27,8.3,32.6,1.2,0
195,0,0,3231.83,12.5,18.0,8.9,0
195,1,0,3268.86,12.5,18.0,8.9,0
196,0,0,4503.85,13.2,33.5,4.7,0
196,1,0,4798.65,13.2,33.5,4.7,0
197,0,1,4580.43,9.3,29.8,10.1,0
197,1,1,5447.04,9.3,29.8,10.1,0
198,0,1,5384.26,12.5,34.4,8.1,0
198,1,1,5594.98,12.5,34.4,8.1,0
199,0,0,4605.62,12.2,31.8,4.8,1
199,1,0,4779.96,12.2,31.8,4.8,1
200,0,0,3408.82,8.6,40.9,10.4,1
200,1,0,3251.66,8.6,40.9,10.4,1
201,0,1,5196.53,13.1,31.0,17.0,1
201,1,1,5595.82,13.1,31.0,17.0,1
202,0,0,5380.83,13.7,26.6,7.0,0
202,1,0,4728.94,13.7,26.6,7.0,0
203,0,1,4063.22,15.2,31.0,11.6,0
203,1,1,4319.21,15.2,31.0,11.6,0
204,0,0,5611.89,15.2,34.3,1.5,0
204,1,0,6414.14,15.2,34.3,1.5,0
205,0,1,3216.43,7.9,30.4,3.2,0
205,1,1,5135.1,7.9,30.4,3.2,0
206,0,1,5376.75,9.2,30.3,10.4,0
206,1,1,5223.26,9.2,30.3,10.4,0
207,0,0,4652.53,13.5,24.4,15.4,1
207,1,0,3804.29,13.5,24.4,15.4,1
208,0,0,2989.06,13.5,24.7,9.8,0
208,1,0,3025.13,13.5,24.7,9.8,0
209,0,0,3846.51,13.5,18.8,6.4,0
209,1,0,4182.93,13.5,18.8,6.4,0
210,0,1,5704.82,20.0,44.0,8.0,0
210,1,1,6737.75,20.0,44.0,8.0,0
211,0,1,4066.41,13.7,20.0,1.7,1
211,1,1,4124.67,13.7,20.0,1.7,1
212,0,1,4649.71,15.4,24.5,11.0,0
212,1,1,4654.95,15.4,24.5,11.0,0
213,0,0,6605.97,14.9,24.3,12.4,1
213,1,0,6095.15,14.9,24.3,12.4,1
214,0,0,4870.21,14.0,37.2,5.7,0
214,1,0,4798.58,14.0,37.2,5.7,0
215,0,0,4975.47,11.1,27.6,5.6,1
215,1,0,4692.2,11.1,27.6,5.6,1
216,0,0,5240.26,14.3,40.0,9.3,1
216,1,0,4293.46,14.3,40.0,9.3,1
217,0,1,2850.23,9.7,24.6,5.8,0
217,1,1,3732.62,9.7,24.6,5.8,0
218,0,1,4475.22,11.3,32.2,7.7,0
218,1,1,4782.08,11.3,32.2,7.7,0
219,0,1,4493.11,10.5,23.3,18.5,0
219,1,1,4133.46,10.5,23.3,18.5,0
220,0,0,4876.72,12.2,47.2,6.8,0
220,1,0,5377.98,12.2,47.2,6.8,0
221,0,1,5843.79,18.9,20.5,6.2,1
221,1,1,6542.03,18.9,20.5,6.2,1
222,0,1,4094.81,6.4,32.5,4.8,1
222,1,1,5449.33,6.4,32.5,4.8,1
223,0,1,4418.94,14.1,35.1,11.7,1
223,1,1,4943.07,14.1,35.1,11.7,1
224,0,1,3040.07,7.2,33.3,7.1,1
224,1,1,4737.13,7.2,33.3,7.1,1
225,0,0,4447.57,10.6,28.5,4.8,0
225,1,0,4626.37,10.6,28.5,4.8,0
226,0,0,3559.34,15.3,29.0,14.6,0
226,1,0,4196.9,15.3,29.0,14.6,0
227,0,1,3505.35,12.2,30.4,15.1,1
227,1,1,3641.3,12.2,30.4,15.1,1
228,0,0,4872.14,8.8,28.8,5.0,0
228,1,0,3763.21,8.8,28.8,5.0,0
229,0,0,4649.67,9.9,37.7,0.0,1
229,1,0,4315.28,9.9,37.7,0.0,1
230,0,1,4743.26,14.0,47.7,13.0,0
230,1,1,5621.38,14.0,47.7,13.0,0
231,0,1,2870.33,9.8,25.5,4.6,0
231,1,1,3326.31,9.8,25.5,4.6,0
232,0,1,3981.15,12.6,19.0,12.0,1
232,1,1,4219.92,12.6,19.0,12.0,1
233,0,0,4962.34,12.1,29.3,0.0,0
233,1,0,4922.55,12.1,29.3,0.0,0
234,0,0,3902.73,10.0,50.6,12.5,1
234,1,0,4433.03,10.0,50.6,12.5,1
235,0,1,4912.98,18.4,23.6,1.9,1
235,1,1,5077.6,18.4,23.6,1.9,1
236,0,1,4679.55,13.9,43.1,11.7,1
236,1,1,6149.65,13.9,43.1,11.7,1
237,0,1,5078.93,6.0,43.4,8.1,1
237,1,1,5518.06,6.0,43.4,8.1,1
238,0,1,4563.48,12.6,25.6,3.2,1
238,1,1,4108.98,12.6,25.6,3.2,1
239,0,1,4302.02,10.0,34.6,6.0,1
239,1,1,5429.45,10.0,34.6,6.0,1
240,0,1,4412.65,14.6,43.0,11.4,0
240,1,1,4180.17,14.6,43.0,11.4,0
241,0,0,5079.61,9.6,27.0,8.5,0
241,1,0,3687.91,9.6,27.0,8.5,0
242,0,1,3991.9,11.7,28.4,10.9,1
242,1,1,4574.77,11.7,28.4,10.9,1
243,0,1,4392.26,13.5,25.3,17.9,0
243,1,1,4721.25,13.5,25.3,17.9,0
244,0,1,5260.64,14.6,21.9,0.2,0
244,1,1,4660.08,14.6,21.9,0.2,0
245,0,0,5528.69,8.4,24.8,16.1,0
245,1,0,4884.75,8.4,24.8,16.1,0
246,0,1,3800.45,11.0,20.2,8.5,1
246,1,1,4558.06,11.0,20.2,8.5,1
247,0,0,5352.69,10.6,30.3,3.5,1
247,1,0,4554.39,10.6,30.3,3.5,1
248,0,1,3411.98,10.0,23.8,1.3,0
248,1,1,3916.56,10.0,23.8,1.3,0
249,0,0,5113.53,17.3,31.9,7.1,1
249,1,0,4734.31,17.3,31.9,7.1,1
250,0,1,4279.89,13.2,18.0,12.6,1
250,1,1,5318.47,13.2,18.0,12.6,1
251,0,0,3935.4,8.2,32.6,7.4,1
251,1,0,3767.94,8.2,32.6,7.4,1
252,0,0,4710.09,14.8,36.7,15.6,1
252,1,0,5589.1,14.8,36.7,15.6,1
253,0,0,4598.89,18.4,18.0,0.7,1
253,1,0,5396.29,18.4,18.0,0.7,1
254,0,1,5918.29,15.1,33.0,7.9,0
254,1,1,5801.15,15.1,33.0,7.9,0
255,0,0,4476.56,7.4,39.8,1.7,1
255,1,0,4886.07,7.4,39.8,1.7,1
256,0,0,5090.17,10.5,20.3,9.8,0
256,1,0,4175.61,10.5,20.3,9.8,0
257,0,1,5723.61,15.8,43.4,12.4,1
257,1,1,6174.45,15.8,43.4,12.4,1
258,0,0,4076.47,9.9,33.4,5.9,1
258,1,0,4147.95,9.9,33.4,5.9,1
259,0,1,4612.49,13.3,24.4,0.0,0
259,1,1,5242.98,13.3,24.4,0.0,0
260,0,1,3558.6,14.3,29.6,9.0,0
260,1,1,4500.04,14.3,29.6,9.0,0
261,0,1,4901.74,9.2,34.5,10.2,1
261,1,1,4859.22,9.2,34.5,10.2,1
262,0,0,4781.08,11.8,30.6,10.0,0
262,1,0,4211.49,11.8,30.6,10.0,0
263,0,1,3227.14,6.0,34.3,14.2,1
263,1,1,3391.25,6.0,34.3,14.2,1
264,0,0,3721.18,8.9,22.6,2.6,0
264,1,0,4015.27,8.9,22.6,2.6,0
265,0,0,4434.64,11.2,31.4,11.4,0
265,1,0,3860.55,11.2,31.4,11.4,0
266,0,0,2905.57,8.3,18.7,14.0,1
266,1,0,4242.58,8.3,18.7,14.0,1
267,0,1,5522.56,16.9,29.1,0.0,1
267,1,1,6453.98,16.9,29.1,0.0,1
268,0,0,3923.99,7.7,22.8,9.6,1
268,1,0,4663.39,7.7,22.8,9.6,1
269,0,1,3614.59,10.7,24.1,5.5,0
269,1,1,4763.98,10.7,24.1,5.5,0
270,0,1,4756.23,12.4,39.9,7.6,1
270,1,1,5156.01,12.4,39.9,7.6,1
271,0,0,5304.57,16.3,38.7,9.7,1
271,1,0,5117.38,16.3,38.7,9.7,1
272,0,0,4227.54,7.7,34.9,5.6,1
272,1,0,3634.98,7.7,34.9,5.6,1
273,0,1,5816.87,15.5,21.3,4.6,1
273,1,1,6062.24,15.5,21.3,4.6,1
274,0,1,4944.07,12.0,27.5,8.2,1
274,1,1,5052.19,12.0,27.5,8.2,1
275,0,1,3332.23,9.1,39.7,2.6,0
275,1,1,4093.78,9.1,39.7,2.6,0
276,0,0,4047.26,13.4,31.1,2.6,0
276,1,0,4366.24,13.4,31.1,2.6,0
277,0,0,4587.27,12.6,48.6,11.4,1
277,1,0,4574.73,12.6,48.6,11.4,1
278,0,0,4106.06,10.2,33.1,2.3,0
278,1,0,5165.33,10.2,33.1,2.3,0
279,0,0,3092.38,12.2,31.5,11.3,1
279,1,0,3799.01,12.2,31.5,11.3,1
